x^2-x-335091 5*13*17*1213 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-93],[94]] 1 [2,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-335085,5,1]>,[[-2,-1],[3,1]]>,<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-335049,13,1]>,[[-6,-1],[7,1]]>,<17,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-335019,17,1]>,[[-8,-1],[9,1]]>,<1213,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[32751,1213,1]>,[[-606,-1],[607,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,13,17,1213],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*13*17*1213,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,13,17,1213],[3,3,3,3],1,[1.000000000,0.9376995607,0.8852397986],<"1.5_13_17_1213.2t1.1",1>,[2,1]>]
x^5-10*x^3-x^2+7*x-2 5*13*17*1213 5 0 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 31 x^2+29*x+3 5 [[-9761046,-5432353],[-6422664,0],[-12299745,13561569],[-4777132,-13561569],[4631436,5432353]] 1 [5,6,2,5,6,4,4,7,7,5,3,3,7,5,7,5,6,6,7,6,4,6,4,3,5,6,6,4,5,6,7,7,5,3,4,5,4,4,2,2,6,6,6,5,3,4,4,4,7,7,5,5,6,3,5,3,4,5,2,4,3,7,5,5,4,6,6,7,3,4,5,7,3,5,3,6,3,3,4,4,7,6,5,4,4,7,3,6,4,3,4,2,4,5,6,4,7,6,6,7,6,7,3,5,3,3,5,5,4,3,7,7,4,5,3,7,7,3,5,3,5,5,6,5,7,2,7,6,3,3,7,3,4,3,7,6,6,6,6,5,6,5,6,3,7,4,7,5,6,5,7,5,5,6,4,4,7,4,6,7,4,3,3,2,5,6,5,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<5,4,2,[[1,2,3,5,4],[2,1,3,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[1,2,3,5,4],[2,1,3,5,4]],[2,1,3,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,4,1]>,[[-46970757844095,0],[6233114865970,0],[1,0]]>,[[[15083055148679,-15289175725557],[0,0]],[[-19127673589718,15289175725557],[0,0]],[[10277733307007,0],[0,0]],[[-6233114865969,0],[-1,0]],[[1,0],[1,0]]]>,<13,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[11,2,0,1]>,[[1575621667598883280532,0,0],[-3143167772328446770076,0,0],[1,0,0]]>,[[[3354439004969889777954,-9248681710718273322582,-6200860690630870693412],[0,0,0]],[[2551893741921694621772,8125714962885283334927,2699712249523382658852],[0,0,0]],[[-9049500519220031169818,1122966747832989987655,3501148441107488034560],[0,0,0]],[[3143167772328446770084,0,0],[-1,0,0]],[[8,0,0],[1,0,0]]]>,<17,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[14,1,0,1]>,[[932478263820988199196221,0,0],[1842110817836357357508008,0,0],[1,0,0]]>,[[[1088956442605251571622749,1424754516238475381152687,-1319736448334087582520678],[0,0,0]],[[869374993520224779293846,-363231370728960271061164,383007081362158490186768],[0,0,0]],[[-116220618289118993408593,-1061523145509515110091523,936729366971929092333910],[0,0,0]],[[-1842110817836357357508005,0,0],[-1,0,0]],[[3,0,0],[1,0,0]]]>,<1213,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,1209,1]>,[[-20512141913111727526626636998132636866462255671038218346084232,0],[-16817607238763694660255983358302637245001208360816639905117965,0],[1,0]]>,[[[22314057814030023335649493673247168380276092751367748872997177,0],[0,0]],[[-16600476594612412208206591724926520852775269609004229167152045,-7980293727411050281911131178240036650905092130874853197935325],[0,0]],[[-22531188458181305787698885306623284772502031503180159610964723,7980293727411050281911131178240036650905092130874853197935325],[0,0]],[[16817607238763694660255983358302637245001208360816639905118778,0],[-1,0]],[[813,0],[1,0]]]>*] [x,x^2-x-335091,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,13,17,1213],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,5*13*17*1213,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,13,17,1213],[8,8,8,8],1,[1.000000000,0.9376995607,0.8852397986],<"notfaithful",0>,[5,5]>,<4,5^3*13^3*17^3*1213^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1]],[[1],[-1]]],[5,13,17,1213],[8,9,9,8],1,[0,0,0],<"4.5e3_13e3_17e3_1213e3.10t12.1",1>,[5,5]>,<4,5*13*17*1213,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[5,13,17,1213],[8,9,9,8],1,[1.000000000,0.6945888127,0.9172800425],<"4.5_13_17_1213.5t5.1",1>,[5,5]>,<5,5^2*13^2*17^2*1213^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[5,13,17,1213],[8,9,9,8],1,[0,0,0],<"5.5e2_13e2_17e2_1213e2.10t13.1",1>,[5,5]>,<5,5^3*13^3*17^3*1213^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[1],[1]]],[5,13,17,1213],[8,9,9,8],1,[0,0,0],<"5.5e3_13e3_17e3_1213e3.6t14.1",1>,[5,5]>,<6,5^3*13^3*17^3*1213^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[5,13,17,1213],[8,9,9,8],1,[0,0,0],<"6.5e3_13e3_17e3_1213e3.20t35.1",1>,[5,5]>]
x^6-7*x^4-17*x^2+143 -2^6*11*13^3*19^2 0 3 48 "C2*S4" [[3,2,1,6,5,4],[4,2,3,1,5,6],[3,1,2,6,4,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[1,5,3,4,2,6]>,<2,3,[4,5,3,1,2,6]>,<2,6,[3,2,1,6,5,4]>,<2,6,[3,5,1,6,2,4]>,<3,8,[3,1,2,6,4,5]>,<4,6,[2,4,3,5,1,6]>,<4,6,[2,4,6,5,1,3]>,<6,8,[3,4,2,6,1,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 53 x^2+49*x+2 10 [[7035075140771390,-42519905945770633],[43504338613754872,0],[8139177902624181,-42519905945770633],[-7035075140771390,42519905945770633],[-43504338613754872,0],[-8139177902624181,42519905945770633]] 6 [7,5,8,9,5,1,10,5,7,8,10,10,7,10,6,5,10,10,10,3,9,8,5,3,10,10,5,8,7,5,8,10,6,10,9,7,7,6,7,6,9,5,7,4,9,7,6,3,1,8,10,9,7,4,5,2,9,9,10,7,3,7,7,4,7,2,10,6,3,9,8,5,7,6,2,10,7,6,3,7,7,3,7,5,6,4,10,5,9,8,7,9,3,10,8,3,10,9,6,9,6,5,6,6,3,6,6,9,5,6,6,5,8,8,8,9,8,4,7,8,10,8,6,3,8,10,6,7,7,9,9,7,5,7,5,9,10,7,9,10,7,9,4,7,5,10,9,8,7,10,7,7,7,6,9,9,10,6,10,4,8,6,9,9,10,3,9,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2-3*x+1>,[<x^3-42*x^2-4212*x-70200,4>,<x^6+84*x^5+2988*x^4-648864*x^3-68357520*x^2-3761982144*x-90039874752,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x-42,2>,<x^6-84*x^5+2988*x^4+648864*x^3-68357520*x^2+3761982144*x-90039874752,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,12,4,[[2,1,3,4,6,5],[3,4,6,5,2,1]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[3,4,6,5,2,1],[6,5,1,2,4,3]],[3,4,6,5,2,1],[1,4,7,7],[2],[[[1,2,4,3,6,5],[2,1,3,4,6,5]]],20,<<[],[1,1,0,1]>,[[230202,356098,-402092],[386580,-320336,-349172],[-120662,262710,-367206],[249074,184760,133862],[1,0,0]]>,[[[-50929,7198,56816],[59552,61422,-38182],[-64829,9667,-19838],[48531,22099,37553]],[[50929,-7198,-56816],[-59552,-61422,38182],[64829,-9667,19838],[-48531,-22099,-37553]],[[-44609,-50416,-45786],[-54864,60740,-41162],[19318,-11843,2721],[-3367,53518,9482]],[[44609,50416,45786],[54864,-60740,41162],[-19318,11843,-2721],[3367,-53518,-9482]],[[51549,-63678,-7198],[26944,42920,-9152],[-47803,14108,24825],[16090,20827,-49699]],[[-51549,63678,7198],[-26944,-42920,9152],[47803,-14108,-24825],[-16090,-20827,49699]]]>,<11,4,2,[[1,2,3,4,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[4,3,2,1,5,6],[1,2,3,4,6,5],[4,3,2,1,6,5]],[4,3,2,1,5,6],[1,5,3,6],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,7,1]>,[[239627509280185291078,0],[0,0],[1,0]]>,[[[-163480703469116542536,310246196116438703145],[0,0]],[[316954091486507436948,310246196116438703145],[0,0]],[[163480703469116542536,-310246196116438703145],[0,0]],[[-316954091486507436948,-310246196116438703145],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<13,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,6],[1],[[[2,1,4,3,6,5]]],20,<[],[2222781879322489269265,0,1]>,[[0,-1],[0,1],[1556969682471374299031,302314178293144463233],[1556969682471374299031,-302314178293144463233],[-1556969682471374299031,302314178293144463233],[-1556969682471374299031,-302314178293144463233]]>,<19,4,2,[[1,2,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[1,2,5,6,3,4],[1,2,6,5,4,3]],[1,2,5,6,3,4],[1,5,5,4],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,18,1]>,[[-6884986464011400545824209,3195876907678392934053508],[-10649016493278029430001065,-17889878924829095800380377],[1,0]]>,[[[-6667837355400115945655769,0],[0,0]],[[6667837355400115945655769,0],[0,0]],[[10649016493278029430001072,17889878924829095800380382],[-1,0]],[[7,5],[1,0]],[[-7,-5],[-1,0]],[[-10649016493278029430001072,-17889878924829095800380382],[1,0]]]>*] [x,x^2-x-52,x^2-x+62,x^2-x+36,x^6-2*x^5-26*x^4+65*x^3+92*x^2-95*x-475,x^3+x-3,x^4-2*x^3-10*x^2-22*x-33,0,0,x^4-2*x^3-10*x^2-22*x-33] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,11,13,19],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,11*19,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,11,13,19],[1,2,11,1,11],1,[1.000000000,1.582843421,1.228197365],<"notfaithful",0>,[6,11]>,<1,13*19,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,11,13,19],[1,5,5,11,11],1,[1.000000000,1.199368522,1.129343188],<"notfaithful",0>,[6,11]>,<1,11*13,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,13,19],[1,1,11,11,1],1,[1.000000000,2.627131755,1.468354438],<"notfaithful",0>,[6,11]>,<2,11^2*13*19,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[2,3,11,13,19],[7,5,11,12,12],1,[1.000000000,0.8102623273,0.7824014330],<"notfaithful",0>,[6,11]>,<2,13*19,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,3,11,13,19],[7,5,5,11,11],1,[1.000000000,0.6174878032,0.7729776935],<"notfaithful",0>,[6,11]>,<3,2^6*11^2*13*19,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]],[[1],[-2],[1]],[[1],[0],[-1]]],[2,3,11,13,19],[11,5,12,13,14],1,[0,0,0],<"notfaithful",0>,[6,11]>,<3,2^6*11*13^2*19,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1]],[[1],[0],[-1]],[[1],[-1]]],[2,3,11,13,19],[11,3,12,13,12],1,[0,0,0],<"3.2e6_11_13e2_19.6t11.1",1>,[6,11]>,<3,2^6*11*13*19^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1]],[[1],[0],[-1]],[[1],[-2],[1]],[[1],[1]]],[2,3,11,13,19],[11,4,12,13,14],1,[0,0,0],<"3.2e6_11_13_19e2.6t11.1",1>,[6,11]>,<3,2^6*11^2*13^2*19^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,11,13,19],[11,3,12,13,12],1,[0,0,0],<"notfaithful",0>,[6,11]>]
