x^5-2 2^4*5^5 1 2 20 "F5" [[5,1,2,3,4],[1,5,4,3,2],[1,4,2,5,3]] [<1,1,[1,2,3,4,5]>,<2,5,[1,5,4,3,2]>,<4,5,[1,4,2,5,3]>,<4,5,[1,3,5,2,4]>,<5,4,[5,1,2,3,4]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 19 x^2+18*x+2 5 [[-892827,-512110],[896856,512110],[-285348,-383652],[1089228,0],[-807909,383652]] 2 [4,3,1,4,5,3,4,2,3,2,5,4,5,3,4,3,2,5,4,5,3,2,3,2,4,5,3,4,2,3,4,5,4,2,2,1,4,3,4,3,2,5,5,3,4,2,5,3,4,2,3,2,1,1,4,3,2,5,4,5,3,3,4,5,3,4,5,4,4,2,3,2,4,3,2,3,2,4,5,2,2,5,1,3,2,3,2,4,5,3,4,2,4,5,2,3,2,5,3,5,4,4,3,2,1,4,4,3,2,5,4,3,4,2,5,1,3,4,3,2,5,3,4,3,5,5,2,2,4,3,2,3,5,4,5,2,3,4,4,2,5,5,3,4,2,2,3,4,2,3,4,5,3,4,4,1,2,2,4,5,4,3,4,1,4,3,5,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5-25000,3>,<x^5,4>]*],[*[5],"CYC",0,5*]] [*<2,20,5,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[3,2,1,5,4],[4,2,5,3,1],[5,2,4,1,3],[2,3,4,5,1]],[1,3,5,2,4],[1,2,3,4,5],[1],[[[2,3,4,5,1]]],20,<<[],[1,1,0,0,1]>,[[-2,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[1,0,0,0]]>,[[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[0,0,0,0],[153822,498606,513736,379859],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[0,0,0,0],[118640,316164,434059,158187],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[0,0,0,0],[273794,396241,72424,365059],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[0,0,0,0],[502319,361853,28357,145471],[0,0,0,0],[0,0,0,0],[0,0,0,0]]]>,<5,20,20,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[3,2,1,5,4],[4,2,5,3,1],[5,2,4,1,3],[2,3,4,5,1]],[1,2,3,4,5],[1,2,3,4,5],[1,2],[[[2,3,4,5,1],[1,3,5,2,4]],[[2,3,4,5,1]]],20,<[],[-44740276572145,29434392481675,-43562900872875,-38853398075800,-11773756992645,43562900872925,32966519579550,-42385525173500,-5886878496175,-31789143880005,1177375699475,-34143895278575,-43562900872770,-38853398075755,-36498646677255,-2354751398525,-44740276572140,35321270978010,-10596381293405,-31789143880210,1]>,[[-6765536761743,3258126775815,5031276288050,-4281417944195,-3523912909189,-1614673990125,3579904117770,227452121425,-3591769280521,3818145931584,2459497491525,-3405243286830,4699155729220,-417731401549,-2268856554991,-5744776508055,-5874231723322,-584809204138,-9190738345745,7932659766668],[-7267022206708,-2216999811115,4560853692525,9082018990825,9069573788506,-1653641552661,5781661599615,4887238546125,5607904519379,-2110613206145,8598626343464,-7280721691610,-4979887759845,-2231951018579,-4140212528447,6693304163246,-8733985828047,-5088812111646,-6610322251560,5327725758593],[-6570958544183,-2783570492045,-1234113108810,-729200997180,-6615238289649,-5823932202552,-6133608860745,-2337011930195,-1088427299331,-931724505734,1345092041931,-3081033259110,-5411224286805,7065677320681,3131679785577,-7777507637642,-1315989531012,8363178802161,4227380006807,-7183713062041],[6901437183392,-8691454115325,9013473561995,-5970998327705,2959575872481,3733202917927,5448873158240,1679787187950,-3473150572206,3441287346517,-5750407091354,-5904816677120,4681328107180,3799776431186,3220153033686,3428515712047,8591924399863,6113400614888,-4756009709159,-5324035943173],[-5371405998883,-8639588685455,1701995894365,1899598278255,-1889998462149,5359044827411,-8676830014880,-4457465925305,2545442632679,-4217095566222,-6652808785566,598328586545,1010628210250,-8215771331739,57236264175,3400464270404,7332282682518,-8802958101265,-2743796028468,-752636520047]]>*] [x,x^2-x-1,x^4-x^3+x^2-x+1,x^4-x^3+x^2-x+1,0] [1,2,2,2,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5],[3,6],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,3]>,<1,5,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,5],[4,6],0,[0.8506508084+0.5257311121*i,0.8648062660+0.2041530661*i,0.9587161227+0.1455658768*i],<"notfaithful",0>,[5,3]>,<1,5,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,5],[4,6],0,[0.8506508084-0.5257311121*i,0.8648062660-0.2041530661*i,0.9587161227-0.1455658768*i],<"notfaithful",0>,[5,3]>,<4,2^4*5^5,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1]]],[2,5],[6,6],1,[1.000000000,0.8536216369,0.9898388106],<"4.2e4_5e5.5t3.1",1>,[5,3]>]
x^3+153*x-1530 -3^4*17^2*23 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 29 x-1 5 [[705776],[7740078],[-8445854]] 2 [1,1,2,2,2,3,2,2,1,1,3,2,3,2,3,2,3,2,2,1,3,2,2,2,2,1,2,2,2,2,3,3,2,3,2,1,2,3,1,3,3,2,2,3,3,2,3,1,2,2,3,3,2,2,1,2,1,1,3,2,2,2,3,1,2,3,1,2,1,3,1,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,2,1,3,2,2,1,3,3,2,3,2,2,3,3,2,2,2,2,1,3,3,3,1,3,2,2,2,2,2,2,3,1,2,2,3,2,3,3,2,2,3,2,2,3,2,2,2,1,2,2,2,2,3,3,3,3,2,3,2,1,3,3,1,3,2,3,1,2,2,2,3,2,2,3,2,3,2,2,2,1,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-51774,62361,-10587]>,<3,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[2],[[[3,1,2]]],20,<[],[-86700,2601,102,1]>,[[0,116226147,-43299937],[35758941,-72575820,-87909496],[-35758941,-43650327,131209433]]>,<17,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[3,16,1]>,[[-1530,0],[153,0],[0,0],[1,0]]>,[[[1000118436827847922344231,633043730434427555593229],[-91996194975173689208296,-26441551602218668953984],[-109731135128577153380986,46051717030215687039165]],[[0,0],[1,0],[0,0]],[[-1000118436827847922344231,-633043730434427555593229],[91996194975173689208295,26441551602218668953984],[109731135128577153380986,-46051717030215687039165]]]>,<23,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-770836856181029674479521479,554318783928845307629137258,1]>,[[554318783928845307629137228,0],[-554318783928845307629137243,-1],[15,1]]>*] [x,x^2-x+6,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,17,23],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,23,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,17,23],[1,1,2,4],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[3,2]>,<2,3^4*17^2*23,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,17,23],[1,4,4,5],1,[1.000000000,4.098260245,1.774843513],<"2.3e4_17e2_23.3t2.1",1>,[3,2]>]
x^3+51*x-17 -3^4*17^2*23 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 31 x-1 5 [[-3531766],[5529174],[-1997408]] 2 [3,1,2,2,2,3,2,2,1,3,1,2,3,2,3,2,3,2,2,3,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,3,2,1,1,3,1,2,2,3,1,2,3,1,2,2,3,1,2,2,3,2,3,1,1,2,2,2,3,3,2,3,3,2,1,3,3,2,2,2,2,2,2,1,2,3,2,2,2,2,1,3,3,2,3,3,2,2,3,3,3,2,1,2,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,1,3,2,2,3,2,1,3,2,2,3,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,2,3,2,1,3,1,3,3,2,3,3,2,2,2,1,2,2,3,2,3,2,2,2,1,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[2],[[[3,1,2]]],20,<[],[93,63,6,1]>,[[2,1,0],[-378309226,313967848,198910796],[378309224,-313967849,188509693]]>,<17,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[3,16,1]>,[[-17,0],[51,0],[0,0],[1,0]]>,[[[-1333491249103797229792308,1865429297185811607476762],[99926052414578644338395,-92103434060431374078330],[-39220330855994036170362,54865567564288576690493]],[[0,0],[1,0],[0,0]],[[1333491249103797229792308,-1865429297185811607476762],[-99926052414578644338396,92103434060431374078330],[39220330855994036170362,-54865567564288576690493]]]>,<23,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-303021640615742077101895698,-87243999749300387300216101,1]>,[[-87243999749300387300216125,0],[87243999749300387300216113,-1],[12,1]]>*] [x,x^2-x+6,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,17,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,23,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,17,23],[1,2,4],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[3,2]>,<2,3^4*17^2*23,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,17,23],[4,4,5],1,[1.000000000,0.6304625948,0.7607408694],<"2.3e4_17e2_23.3t2.2",1>,[3,2]>]
x^3+51*x-1547 -3^4*17^2*23 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 13 x-1 5 [[172861],[-1364],[-171497]] 2 [3,1,2,2,2,1,2,2,1,3,3,2,1,2,1,2,3,2,2,3,3,2,2,2,2,1,2,2,2,2,3,3,2,3,2,3,2,3,1,3,3,2,2,1,3,2,3,1,2,2,1,3,2,2,3,2,3,1,3,2,2,2,3,3,2,3,3,2,1,1,3,2,2,2,2,2,2,3,2,1,2,2,2,2,3,1,3,2,3,3,2,2,3,1,1,2,3,2,2,1,1,2,2,2,2,3,1,3,3,3,3,2,2,2,2,2,2,3,3,2,2,1,2,3,3,2,2,3,2,2,1,2,2,2,3,2,2,2,2,3,1,3,1,2,3,2,1,1,3,3,3,2,3,3,2,2,2,3,2,2,1,2,1,2,2,2,1,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[2],[[[3,1,2]]],20,<[],[-1437,63,6,1]>,[[2,1,0],[308822180,-313967849,263677556],[-308822182,313967848,123742933]]>,<11,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[2,7,1]>,[[219688989132266936301,0],[20464411955795369503,-6453948456887865164],[4482960705595879360,6453948456887865164]]>,<17,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[3,16,1]>,[[-1547,0],[51,0],[0,0],[1,0]]>,[[[1968604389303787258345483,-1278011228829866288607415],[64427190305867971267207,22995426018555454211348],[-61636088745405448942827,81947652288756065699829]],[[0,0],[1,0],[0,0]],[[-1968604389303787258345483,1278011228829866288607415],[-64427190305867971267208,-22995426018555454211348],[61636088745405448942827,-81947652288756065699829]]]>,<23,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-721175570772406359412432192,-849090411153431601732993555,1]>,[[-849090411153431601732993577,0],[849090411153431601732993566,-1],[11,1]]>*] [x,x^2-x+6,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,11,17,23],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,23,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,11,17,23],[1,2,2,4],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[3,2]>,<2,3^4*17^2*23,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,11,17,23],[4,2,4,5],1,[1.000000000,0.7410324834,0.7734583020],<"2.3e4_17e2_23.3t2.3",1>,[3,2]>]
