x^5-x-4 2^6*11*71 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 347 x-1 5 [[464284733521],[1144725782132],[-495586115610],[-423766988412],[-689657411631]] 3 [5,6,6,6,4,4,4,2,5,5,7,6,3,7,7,5,5,4,5,2,7,7,7,6,7,5,4,7,5,5,4,7,5,6,6,7,6,2,2,3,4,2,3,4,6,6,6,4,6,4,5,4,3,6,7,5,5,5,5,6,6,5,4,6,6,5,5,3,1,6,5,5,3,7,3,7,7,7,5,5,6,5,5,5,6,2,5,4,6,4,5,6,7,4,6,2,4,4,6,6,5,5,3,7,7,6,4,7,2,6,6,5,6,7,7,3,3,4,2,2,5,6,5,5,5,3,5,4,5,6,5,4,5,5,6,4,2,5,4,4,5,2,5,3,3,3,2,7,5,5,5,6,5,4,5,7,4,4,6,5,6,7,4,3,3,4,5,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,3,5,5],[3],[[[1,3,2,5,4]]],20,<<[],[1,1,1]>,[[207836,288990],[203676,-378056],[1,0]]>,[[[-263172,0],[0,0]],[[1,0],[1,0]],[[58469,115912],[131071,0]],[[44529,-96970],[44549,18655]],[[-101971,-18942],[86523,112417]]]>,<11,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[9,2,0,1]>,[[-64826429638343183690,0,0],[54199546912220014206,0,0],[1,0,0]]>,[[[-148358597033279009798,-255429014918274742255,-124818834503014260897],[0,0,0]],[[213668679161553299892,244237001495738805760,-189673374823170033230],[0,0,0]],[[-11110535216054275900,11192013422535936495,314492209326184294127],[0,0,0]],[[-54199546912220014200,0,0],[-1,0,0]],[[6,0,0],[1,0,0]]]>,<71,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[7,69,1]>,[[-1743944039504726291870556975508834550,0],[4305010273789175997122818793042941642,0],[1,0]]>,[[[536743106253472611290696152445191635,-1979782120620046480099549022009184543],[0,0]],[[4382495231587497072289816791250455986,0],[0,0]],[[-614228064051793686457694150652706111,1979782120620046480099549022009184543],[0,0]],[[-4305010273789175997122818793042941576,0],[-1,0]],[[66,0],[1,0]]]>*] [x,x^2-x-195,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,71],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,11*71,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,71],[2,8,8],1,[1.000000000,1.339877242,0.9586477461],<"notfaithful",0>,[5,5]>,<4,2^6*11^3*71^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[-1]],[[1],[1]]],[2,11,71],[8,9,10],1,[0,0,0],<"4.2e6_11e3_71e3.10t12.1",1>,[5,5]>,<4,2^6*11*71,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,11,71],[8,9,10],1,[1.000000000,0.6899366992,0.9023686342],<"4.2e6_11_71.5t5.1",1>,[5,5]>,<5,2^6*11^2*71^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[-1],[1]]],[2,11,71],[8,9,10],1,[0,0,0],<"5.2e6_11e2_71e2.10t13.1",1>,[5,5]>,<5,2^6*11^3*71^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1],[-1],[1]],[[1],[1],[1]],[[1],[0],[-1]]],[2,11,71],[8,9,10],1,[0,0,0],<"5.2e6_11e3_71e3.6t14.1",1>,[5,5]>,<6,2^12*11^3*71^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[2,11,71],[8,9,10],1,[0,0,0],<"6.2e12_11e3_71e3.20t35.1",1>,[5,5]>]
x^2-x-5016 5*4013 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-12],[13]] 1 [1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-5010,5,1]>,[[-2,-1],[3,1]]>,<4013,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4021026,4013,1]>,[[-2006,-1],[2007,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,4013],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*4013,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,4013],[3,3],1,[1.000000000,2.800092987,1.475558216],<"1.5_4013.2t1.1",1>,[2,1]>]
x^2-x-24962 3*83*401 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-353],[354]] 1 [1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-24960,3,1]>,[[-1,-1],[2,1]]>,<83,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-23240,83,1]>,[[-41,-1],[42,1]]>,<401,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[15238,401,1]>,[[-200,-1],[201,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,83,401],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*83*401,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,83,401],[3,3,3],1,[1.000000000,3.009001288,1.420664463],<"1.3_83_401.2t1.1",1>,[2,1]>]
