x^2-x-46 5*37 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[-3210],[3211]] 1 [1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-40,5,1]>,[[-2,-1],[3,1]]>,<37,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[296,37,1]>,[[-18,-1],[19,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,37],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*37,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,37],[3,3],1,[1.000000000,1.444758181,1.192382892],<"1.5_37.2t1.1",1>,[2,1]>]
x^7-3*x^6-16*x^5+71*x^4-72*x^3-4*x^2+32*x-10 2^6*347^2*929^2 7 0 168 "PSL(2,7)" [[2,1,5,4,3,6,7],[3,2,6,5,4,7,1]] [<1,1,[1,2,3,4,5,6,7]>,<2,21,[2,1,5,4,3,6,7]>,<3,56,[4,3,7,6,5,1,2]>,<4,42,[3,2,6,5,4,7,1]>,<7,24,[2,3,4,5,6,7,1]>,<7,24,[4,5,6,7,1,2,3]>] [[1,1,1,1,1,1,1],[1,1,1,2,2],[1,2,4],[1,3,3],[7]] 47 x^3+3*x+42 6 [[-1367647899,-5155733882,84623015],[4053235645,0,0],[-3482445768,-2399148431,-3630666463],[4562421776,-1039637123,-2339949812],[918975170,3588022216,-1429955994],[3120916743,-1188873785,5060622457],[2973759665,-4583844324,2255326797]] 1 [3,6,3,5,4,4,6,6,2,2,4,4,6,6,3,5,6,5,4,3,3,3,4,4,5,5,3,5,3,6,3,3,4,3,4,3,4,4,3,5,4,5,4,3,6,2,6,5,2,2,4,5,2,2,4,6,4,3,3,4,5,2,3,2,3,5,5,3,4,3,3,6,6,3,6,2,5,6,3,6,4,3,5,4,5,5,5,4,2,5,3,5,6,5,6,3,3,6,4,6,4,3,6,2,3,4,2,6,4,2,3,3,4,5,3,4,3,5,3,5,6,4,3,4,3,2,3,2,3,3,6,6,4,3,4,6,4,3,6,4,3,3,3,5,6,2,6,6,6,6,2,5,6,4,2,4,3,1,6,5,4,3,2,6,3,3,6,2] [[*[1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2,2],"CYC",0,2*],[*[1,2,4],"CYC",0,4*],[*[1,3,3],"CYC",0,3*],[*[7],"ALT",[2,3,4,5,6,7,1],[<x-2578904,5>,<x+2578904,6>]*]] [*<2,12,4,[[1,2,3,6,7,4,5],[3,1,2,4,6,7,5]],[[1,2,3,4,5,6,7],[1,2,3,6,7,4,5],[3,1,2,4,6,7,5],[2,3,1,4,7,5,6]],[3,1,2,4,6,7,5],[1,2,3,3],[2],[[[1,2,3,5,4,7,6],[1,2,3,6,7,4,5]]],20,<<[],[1,1,0,1]>,[[-57754,0,0],[314112,0,0],[260234,0,0],[399938,0,0],[1,0,0]]>,[[[-252081,131771,-53804],[0,0,0],[0,0,0],[0,0,0]],[[160397,-516971,-483663],[0,0,0],[0,0,0],[0,0,0]],[[491625,385200,-511109],[0,0,0],[0,0,0],[0,0,0]],[[0,0,0],[1,0,0],[0,0,0],[0,0,0]],[[-274,58742,199558],[-252151,-182208,146062],[229344,37321,81872],[115630,227014,173445]],[[266,-207198,-61776],[-247119,-247150,153610],[104942,91036,26341],[56798,157171,85197]],[[124358,148456,-137782],[-25019,-94930,224616],[190002,133787,153931],[89716,140103,3502]]]>,<347,4,2,[[1,3,2,6,7,5,4]],[[1,2,3,4,5,6,7],[1,2,3,5,4,7,6],[1,3,2,6,7,5,4],[1,3,2,7,6,4,5]],[1,3,2,6,7,5,4],[1,2,4,4],[1],[[[1,2,3,5,4,7,6]]],20,<<[],[2,343,1]>,[[-266801765555417688893112273091428547342476854754832,314089257631761971804150994000213085819916329700119],[240417957229858507738797664655527077451980952887193,-577969981492937955545585600837683875721822099917],[1,0]]>,[[[220973804535615202065622064738083320493907251745987,0],[0,0]],[[304754697070061670065334790985948025112380918073296,13514956351803154758514686281899839282496331512982],[0,0]],[[153351116506117862098774334674348378670258716303277,-13514956351803154758514686281899839282496331512982],[0,0]],[[-240417957229858507738797664655527077451980952887145,577969981492937955545585600837683875721822100029],[-1,0]],[[48,112],[1,0]],[[-124410949038844288841208437347076570527711278626552,149848023337005248870544223042758121029172266407966],[693519470555239298349244244264606747165511613231,-510484833504829636961653414363242304276027017467]],[[-314250711843091937649725088395776076296854654608908,-150425993318498186826089808643595804904894088508107],[-693519470555239298349244244264606747165511613231,510484833504829636961653414363242304276027017467]]]>,<929,2,2,[[1,2,3,5,4,7,6]],[[1,2,3,4,5,6,7],[1,2,3,5,4,7,6]],[1,2,3,4,5,6,7],[1,2],[1],[[[1,2,3,5,4,7,6]]],20,<[],[-49761168343818000946912978102082545297354510085092700040255,-98275338354003059729673824980544816737139952070205178225350,1]>,[[60572508833324969708405225678488569250072842651705825901707,0],[73026137177813342695184626534227560622302019567738539482838,0],[-20811283054820220275056634488638860854236173783569155110125,0],[98275338354003059729673824980544816737139952070205178225854,-1],[504,1],[55849672163550544455185306121966587862056119133555804340944,-108559210487327063964336696585702263610409599510009712933],[-37659768152121166450713468061845425618055087067504794259318,108559210487327063964336696585702263610409599510009712933]]>*] [x,0,0,0,0,0] [1,2,3,4,5,6] <[1],[2,3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,347,929],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[7,5]>,<3,2^6*347^2*929^2,7,[[3,0,0,0,0,0],[-1,0,0,0,0,0],[0,0,0,0,0,0],[1,0,0,0,0,0],[0,1,1,0,1,0],[-1,-1,-1,0,-1,0]],[[[1,0,0,0,0,0],[-3,0,0,0,0,0],[3,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,0,0,0,0,0],[0,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,-1,-1,0,-1,0],[-1,-1,-1,0,-1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,1,1,0,1,0],[0,1,1,0,1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0]]],[2,347,929],[7,8,8],0,[0,0,0],<"3.2e6_347e2_929e2.42t37.1",1>,[7,5]>,<3,2^6*347^2*929^2,7,[[3,0,0,0,0,0],[-1,0,0,0,0,0],[0,0,0,0,0,0],[1,0,0,0,0,0],[-1,-1,-1,0,-1,0],[0,1,1,0,1,0]],[[[1,0,0,0,0,0],[-3,0,0,0,0,0],[3,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,0,0,0,0,0],[0,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,1,1,0,1,0],[0,1,1,0,1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,-1,-1,0,-1,0],[-1,-1,-1,0,-1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0]]],[2,347,929],[7,8,8],0,[0,0,0],<"3.2e6_347e2_929e2.42t37.1",2>,[7,5]>,<6,2^6*347^2*929^2,1,[[6],[2],[0],[0],[-1],[-1]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[-2],[-1],[4],[-1],[-2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1],[1]],[[1],[1],[1],[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-4],[6],[-4],[1]]],[2,347,929],[7,8,9],1,[0,0,0],<"6.2e6_347e2_929e2.7t5.1",1>,[7,5]>,<7,2^12*347^4*929^4,1,[[7],[-1],[1],[-1],[0],[0]],[[[1],[-7],[21],[-35],[35],[-21],[7],[-1]],[[1],[1],[-3],[-3],[3],[3],[-1],[-1]],[[1],[-1],[0],[-2],[2],[0],[1],[-1]],[[1],[1],[1],[1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[0],[0],[0],[0],[-1]],[[1],[-1]],[[1],[1],[-1],[-1]],[[1],[-3],[3],[-1]]],[2,347,929],[7,8,9],1,[0,0,0],<"7.2e12_347e4_929e4.8t37.1",1>,[7,5]>,<8,2^12*347^4*929^4,1,[[8],[0],[-1],[0],[1],[1]],[[[1],[-8],[28],[-56],[70],[-56],[28],[-8],[1]],[[1],[0],[-4],[0],[6],[0],[-4],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[0],[0],[-1],[1]],[[1],[-1],[0],[0],[0],[0],[0],[-1],[1]],[[1],[1],[1]],[[1],[0],[-2],[0],[1]],[[1],[-4],[6],[-4],[1]]],[2,347,929],[7,8,9],1,[0,0,0],<"8.2e12_347e4_929e4.21t14.1",1>,[7,5]>]
x^7-2*x^6-38*x^5+42*x^4+429*x^3-176*x^2-1393*x-572 2^6*347^2*929^2 7 0 168 "PSL(2,7)" [[1,3,2,6,5,4,7],[3,4,1,5,7,6,2]] [<1,1,[1,2,3,4,5,6,7]>,<2,21,[1,3,2,6,5,4,7]>,<3,56,[1,3,5,6,2,7,4]>,<4,42,[3,4,1,5,7,6,2]>,<7,24,[3,1,4,6,7,5,2]>,<7,24,[6,4,5,7,1,2,3]>] [[1,1,1,1,1,1,1],[1,1,1,2,2],[1,2,4],[1,3,3],[7]] 47 x^3+3*x+42 9 [[4624840822285,0,0],[184561437191246,-224830688636389,-401952046396341],[-443612800360507,296077142049305,-472889810453087],[-393006646345799,-47855919838186,-447586733445733],[104858962137773,-248221222211119,-198653929203947],[-71541774255719,457322956408251,29561584431560],[-505014492292044,-232492267771862,372390461964781]] 1 [3,6,3,5,4,4,6,6,2,2,4,4,6,6,3,5,6,5,4,3,3,3,4,4,5,5,3,5,3,6,3,3,4,3,4,3,4,4,3,5,4,5,4,3,6,2,6,5,2,2,4,5,2,2,4,6,4,3,3,4,5,2,3,2,3,5,5,3,4,3,3,6,6,3,6,2,5,6,3,6,4,3,5,4,5,5,5,4,2,5,3,5,6,5,6,3,3,6,4,6,4,3,6,2,3,4,2,6,4,2,3,3,4,5,3,4,3,5,3,5,6,4,3,4,3,2,3,2,3,3,6,6,4,3,4,6,4,3,6,4,3,3,3,5,6,2,6,6,6,6,2,5,6,4,2,4,3,1,6,5,4,3,2,6,3,3,6,2] [[*[1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2,2],"CYC",0,2*],[*[1,2,4],"CYC",0,4*],[*[1,3,3],"CYC",0,3*],[*[7],"ALT",[2,3,4,5,6,7,1],[<x+102452119208,5>,<x-102452119208,6>]*]] [*<2,12,4,[[1,3,2,5,4,6,7],[1,5,4,7,6,2,3]],[[1,2,3,4,5,6,7],[1,3,2,4,5,7,6],[1,5,4,7,6,2,3],[1,6,7,3,2,5,4]],[1,5,4,7,6,2,3],[1,2,3,3],[2],[[[1,3,2,4,5,7,6],[1,3,2,5,4,6,7]]],20,<<[],[1,1,0,1]>,[[512526,432114,234142],[497268,169020,290604],[122610,187592,-142050],[227378,330530,-501064],[1,0,0]]>,[[[399940,0,0],[0,0,0],[0,0,0],[0,0,0]],[[-75828,176689,212096],[146424,-141354,141592],[-81743,-145227,197362],[-12642,-62796,-110157]],[[220302,86853,204584],[-146424,141354,-141592],[81743,145227,-197362],[12642,62796,110157]],[[-168428,121724,98981],[-217410,-116562,231248],[-182999,208511,-146039],[-53063,72456,125929]],[[227450,124388,-72623],[217410,116562,-231248],[182999,-208511,146039],[53063,-72456,-125929]],[[86658,-26457,210071],[239714,-239310,156922],[-114952,141650,203191],[188855,77094,-66962]],[[-165804,41091,-128821],[-239714,239310,-156922],[114952,-141650,-203191],[-188855,-77094,66962]]]>,<347,4,2,[[2,1,3,6,7,5,4]],[[1,2,3,4,5,6,7],[1,2,3,5,4,7,6],[2,1,3,6,7,5,4],[2,1,3,7,6,4,5]],[2,1,3,6,7,5,4],[1,2,4,4],[1],[[[1,2,3,5,4,7,6]]],20,<<[],[2,343,1]>,[[-10146345338687537305961899514955739626099701798962,187678103225826283063547470954526460111551940121294],[69570223971671394099061608426483674051785049976579,-27029912703606309517029372563799678564992663025766],[1,0]]>,[[[-217687856346321024425311461004769326330658681489474,-577969981492937955545585600837683875721822100141],[0,0]],[[-19444152694243305673175599917443756958073701141111,577969981492937955545585600837683875721822100141],[0,0]],[[38475839811146409343448770629801834640244099382158,0],[0,0]],[[-69570223971671394099061608426483674051785049976273,27029912703606309517029372563799678564992663025865],[-1,0]],[[306,99],[1,0]],[[206735553109187192377110480278389184034086534448993,51039319908390588771055862074458891255106964647003],[393393076771813199154281202393382992139640274835,872940428063541456765555398293826083116491833665]],[[61490840091902122476989418440505738666186798775403,-78069232611996898288085234638258569820099627672967],[-393393076771813199154281202393382992139640274835,-872940428063541456765555398293826083116491833665]]]>,<929,2,2,[[1,2,3,5,4,7,6]],[[1,2,3,4,5,6,7],[1,2,3,5,4,7,6]],[1,2,3,4,5,6,7],[1,2],[1],[[[1,2,3,5,4,7,6]]],20,<[],[12810532437216177019485766370418597527990950402724792181923,-8357654710331847288277233632899869482006996867536441528285,1]>,[[77464055299182839454617190491905955882903778286636023116232,0],[112787362956318092128533217724077269018138688435875210274419,0],[-2621379043390842270584796428517698610235141717518145028500,0],[8357654710331847288277233632899869482006996867536441528640,-1],[355,1],[33370757985527648300014363878138173585934976441355577940127,-107623605092266403335944665021743194396818921984219029806],[-105846586219055038178328533760321359469625741753709248870,107623605092266403335944665021743194396818921984219029806]]>,<39727,2,1,[[1,5,4,3,2,6,7]],[[1,2,3,4,5,6,7],[1,5,4,3,2,6,7]],[1,5,4,3,2,6,7],[1,2],[1],[[]],20,<[],[3,39726,1]>,[[-25426971053521795481638563118748518215865482078337094592849272319189710320965760551039904930,0],[8499145439165379221515076720474585948312725483390062676357761970874427837416686194603041273,-34658127851138182541233884623986843590157213336727224161922376517179088866969110855536238947],[-29099619777792197451578932075192689016895296402683218498635685972302946039132316768726773782,-24459587681643782631656157448285409255917661661600883453889117278075497821400376405551705741],[32790164308111617821264356050954022826766388692916189779702377987724715523028743359917886250,24459587681643782631656157448285409255917661661600883453889117278075497821400376405551705741],[40487762180865921874313445222818988702902526437639813301613125040445924572662124986410763435,34658127851138182541233884623986843590157213336727224161922376517179088866969110855536238947],[1034057625934303118838220270110365671767011180394056594363534211750525571028315500905061,0],[618273715737366869526561699617379495548287650825279479316412899924855648753016107624491,0]]>*] [x,0,0,0,0,0] [1,2,3,4,5,6] <[1],[2,3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,347,929,39727],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[7,5]>,<3,2^6*347^2*929^2,7,[[3,0,0,0,0,0],[-1,0,0,0,0,0],[0,0,0,0,0,0],[1,0,0,0,0,0],[0,1,1,0,1,0],[-1,-1,-1,0,-1,0]],[[[1,0,0,0,0,0],[-3,0,0,0,0,0],[3,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,0,0,0,0,0],[0,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,-1,-1,0,-1,0],[-1,-1,-1,0,-1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,1,1,0,1,0],[0,1,1,0,1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0]]],[2,347,929,39727],[7,8,8,2],0,[0,0,0],<"3.2e6_347e2_929e2.42t37.2",1>,[7,5]>,<3,2^6*347^2*929^2,7,[[3,0,0,0,0,0],[-1,0,0,0,0,0],[0,0,0,0,0,0],[1,0,0,0,0,0],[-1,-1,-1,0,-1,0],[0,1,1,0,1,0]],[[[1,0,0,0,0,0],[-3,0,0,0,0,0],[3,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,0,0,0,0,0],[0,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,1,1,0,1,0],[0,1,1,0,1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,-1,-1,0,-1,0],[-1,-1,-1,0,-1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0]]],[2,347,929,39727],[7,8,8,2],0,[0,0,0],<"3.2e6_347e2_929e2.42t37.2",2>,[7,5]>,<6,2^6*347^2*929^2,1,[[6],[2],[0],[0],[-1],[-1]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[-2],[-1],[4],[-1],[-2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1],[1]],[[1],[1],[1],[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-4],[6],[-4],[1]]],[2,347,929,39727],[7,8,9,2],1,[0,0,0],<"6.2e6_347e2_929e2.7t5.2",1>,[7,5]>,<7,2^12*347^4*929^4,1,[[7],[-1],[1],[-1],[0],[0]],[[[1],[-7],[21],[-35],[35],[-21],[7],[-1]],[[1],[1],[-3],[-3],[3],[3],[-1],[-1]],[[1],[-1],[0],[-2],[2],[0],[1],[-1]],[[1],[1],[1],[1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[0],[0],[0],[0],[-1]],[[1],[-1]],[[1],[1],[-1],[-1]],[[1],[-3],[3],[-1]]],[2,347,929,39727],[7,8,9,2],1,[0,0,0],<"7.2e12_347e4_929e4.8t37.2",1>,[7,5]>,<8,2^12*347^4*929^4,1,[[8],[0],[-1],[0],[1],[1]],[[[1],[-8],[28],[-56],[70],[-56],[28],[-8],[1]],[[1],[0],[-4],[0],[6],[0],[-4],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[0],[0],[-1],[1]],[[1],[-1],[0],[0],[0],[0],[0],[-1],[1]],[[1],[1],[1]],[[1],[0],[-2],[0],[1]],[[1],[-4],[6],[-4],[1]]],[2,347,929,39727],[7,8,9,2],1,[0,0,0],<"8.2e12_347e4_929e4.21t14.2",1>,[7,5]>]
x^4-31*x^2-243 -3*1933^2 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 7 x-1 10 [[84416452],[12194584],[-12194584],[-84416452]] 4 [5,1,5,1,5,1,5,3,4,5,3,2,5,2,4,4,4,2,3,4,2,3,5,4,3,4,2,5,1,5,3,4,4,3,4,1,1,2,4,5,5,3,4,2,4,3,2,3,5,3,5,5,1,5,4,4,5,1,3,4,1,5,3,4,3,4,3,3,5,3,4,4,1,2,3,4,5,3,4,3,4,3,4,3,2,4,4,3,4,2,5,5,3,5,2,5,4,4,1,3,1,5,4,4,2,3,4,4,4,1,1,3,4,3,1,4,2,5,5,5,3,3,5,5,3,5,2,5,2,2,1,5,3,3,5,3,5,3,4,4,3,4,1,4,1,5,1,5,1,5,1,4,3,5,2,5,3,5,3,4,5,5,3,5,5,4,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-186,2>,<x^2+34992,3>]*],[*[4],"CYC",0,5*]] [*<2,4,1,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[]],20,<[],[1,1,0,0,1]>,[[149008,21453,142057,-150848],[-149008,-21453,-142057,150848],[-23775,-163195,-146277,-31700],[23775,163195,146277,31700]]>,<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[6748212,0,1]>,[[-813852979,0],[813852979,0],[0,86093433],[0,43046730]]>,<1933,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-63192889717092555500443361911919664178602528554288668563883391273,-225942282435446690869662848642176362997417749752131509634544082246,1]>,[[225942282435446690869662848642176362997417749752131509634544083318,-1],[1072,1],[-1072,-1],[-225942282435446690869662848642176362997417749752131509634544083318,1]]>*] [x,x^2-x-483,x^2-x+1,x^2-x+1450,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,1933],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,1933,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,1933],[3,1,6],1,[1.000000000,0.9332492933,0.8774935111],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,1933],[4,6,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,3*1933,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,1933],[1,6,6],1,[1.000000000,3.300375126,1.437472443],<"notfaithful",0>,[4,3]>,<2,3*1933,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,1933],[5,6,6],1,[1.000000000,1.576995668,1.110929797],<"2.3_1933.4t3.2",1>,[4,3]>]
