x 1 1 0 1 "C1" [] [<1,1,[1]>] [[1]] 2 x-1 5 [[0]] 1 [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] [[*[1],"CYC",0,1*]] [**] [0] [1] <[1]> [<1,1,1,[[1]],[[[1],[-1]]],[],[],1,[1.000000000,0.0000000000,1.644934067],<"1.1.1t1.1",1>,[1,1]>]
x^4-2*x^3+5*x^2+2*x-2 -2^2*3^2*277 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 163 x-1 5 [[57213146404],[42133559888],[-37785553939],[53502464692]] 3 [3,5,5,5,4,4,3,3,3,4,4,5,4,4,3,5,5,5,3,5,5,5,5,4,5,5,4,4,3,4,4,3,3,2,3,2,4,1,4,5,2,3,3,4,5,2,5,2,4,4,3,4,4,2,5,4,3,4,3,2,1,2,5,3,2,4,4,5,5,5,4,2,3,5,5,5,4,4,5,5,4,2,5,4,4,4,5,3,3,3,3,5,5,3,3,1,3,3,4,4,3,4,5,3,4,4,4,4,4,2,4,4,4,2,4,4,5,4,5,4,5,3,1,1,4,4,4,3,4,5,3,3,2,4,2,4,5,4,4,4,4,4,2,5,3,4,1,3,5,4,3,5,5,4,3,4,5,3,4,3,3,2,3,4,4,4,5,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,3,4],[1,2,4,3]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[1,2,4,3],[1,3,3,2],[2],[[[2,1,3,4]]],20,<<[],[1,1,1]>,[[-376806,0],[-443530,0],[1,0]]>,[[[0,0],[1,0]],[[-80758,0],[-1,0]],[[198865,-207318],[0,0]],[[-118105,207318],[0,0]]]>,<3,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-1275178278,-138587721],[-659259426,-659259423],[1,0]]>,[[[659259426,659259424],[-1,0]],[[0,1],[1,0]],[[1351387567,-695929381],[-563322712,-65012345]],[[1476137410,36669956],[563322712,65012345]]]>,<277,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[5,274,1]>,[[1857050771379618538127841898558317126071164044184,0],[3199088328697197021738380387517112853145296525231,0],[1,0]]>,[[[533779972288937718198729904586848435193292664189,-2976317616177440437706235618319513256413073509543],[0,0]],[[2665308356408259303539650482930264417952003860856,2976317616177440437706235618319513256413073509543],[0,0]],[[-3199088328697197021738380387517112853145296525137,0],[-1,0]],[[94,0],[1,0]]]>*] [x,x^2+277,x^3-x^2-8*x+14,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,277],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,2^2*277,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,277],[6,3,6],1,[1.000000000,0.5662800254,0.8538303741],<"notfaithful",0>,[4,5]>,<2,2^2*277,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,3,277],[6,3,6],1,[1.000000000,1.788343634,1.328951781],<"notfaithful",0>,[4,5]>,<3,2^4*3^2*277^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1]]],[2,3,277],[6,7,6],1,[0,0,0],<"3.2e4_3e2_277e2.6t8.1",1>,[4,5]>,<3,2^2*3^2*277,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[1]]],[2,3,277],[6,7,6],1,[1.000000000,0.7303099508,0.9086122349],<"3.2e2_3e2_277.4t5.1",1>,[4,5]>]
x^4-20826*x^2-82948*x+96921534 2^8*89^3*233^2 4 0 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 14 [[-75360900617554984],[71744104646467311],[8013638971982966],[-4396843000895293]] 1 [1,4,3,5,3,4,1,4,5,4,5,4,5,4,2,3,4,4,3,1,1,2,4,1,1,4,5,3,3,5,5,3,5,3,4,5,3,4,1,3,3,4,5,5,4,1,4,1,3,4,1,5,5,3,2,2,3,1,3,5,3,4,3,1,5,3,3,5,3,4,5,5,2,3,4,5,4,4,2,1,4,4,5,5,5,3,1,5,3,2,3,2,1,4,4,5,3,5,3,4,4,4,4,5,4,5,3,5,5,1,2,3,5,3,2,1,3,5,4,3,4,1,4,4,3,3,4,5,5,3,4,5,2,3,1,2,4,4,3,1,3,3,1,4,4,5,4,5,4,5,4,1,4,5,3,2,5,2,1,4,3,5,5,3,1,1,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-40940,2>,<x^2+164828*x-7297231040,3>]*],[*[4],"CYC",0,5*]] [*<2,4,4,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[1,2,3,4],[1,3,3,2],[2,4],[[[2,1,4,3],[3,4,1,2]],[[2,1,4,3]]],20,<[],[452542,-82948,-20826,0,1]>,[[0,1,0,0],[67158,-75589,88894,-74004],[-27644,122055,89637,34985],[-39514,-46467,83613,39019]]>,<3,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[2,2,1]>,[[33456000,0],[27730270,0],[58964308,-39582720],[8989585,39582720]]>,<5,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,4,1]>,[[35541006321849,-47145866948577],[33389610834907,47145866948577],[-3016278356723,6187771946765],[-8693879815658,-6187771946765]]>,<89,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[96921534,-82948,-20826,0,1]>,[[-481936862107999765554250183283918348794,-2131518422987108963254404292374818301,5414026975990106095988221114742660425,961394821466207108746944533364207508],[288084394254536003671317933112653277016,-2028570709026252720877279942997566780,-3997759873883613471545636726834382437,-3524066790687376006991715522627119073],[193852467853463761882932250171265071778,4160089132013361684131684235372385080,-1416267102106492624442584387908277988,2562671969221168898244770989262911565],[0,1,0,0]]>,<233,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[99983599529143079518759373731401589606488439899,98491271061528326141795071170243636799052539741,1]>,[[-98491271061528326141795071170243636799052539553,-1],[188,1],[59085081922368561849538555441616578336775680730,-345641480605643612488188914704093494199025199],[39406189139159764292256515728627058462276858635,345641480605643612488188914704093494199025199]]>,<977,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[52110181245352151682409184057783298775254580528810241581042,-273091788639025987103977989612150488258361707646253546315565,-101350612235246761937629127380238472552500339108778025869,57735507054910132656614260475529908941721449039495920]>*] [x,x^2-178,x^2-x-22,x^2-2,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,89,233,977],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*89,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,89,233,977],[6,1,3,6,1,1],1,[1.000000000,1.209973622,1.063921799],<"notfaithful",0>,[4,3]>,<1,89,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,89,233,977],[1,4,1,6,1,1],1,[1.000000000,1.464441402,1.222497768],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,89,233,977],[6,3,3,1,1,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<2,2^5*89^2*233^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]]],[2,3,5,89,233,977],[6,3,3,6,6,1],1,[0,0,0],<"2.2e5_89e2_233e2.4t3.1",1>,[4,3]>]
x^4-43*x^2+172 2^2*3^2*43^3 4 0 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 13 x-1 8 [[9920756],[170715497],[-170715497],[-9920756]] 1 [4,3,4,3,5,1,3,3,5,4,4,5,3,4,5,3,5,5,4,1,5,4,5,4,2,3,4,5,2,4,4,1,4,4,4,3,5,3,5,3,2,2,2,2,3,3,3,3,2,1,4,5,5,5,4,1,3,4,5,3,4,3,4,5,5,3,3,1,2,5,3,5,4,5,4,1,4,2,3,5,1,5,5,5,4,5,4,5,3,3,2,5,4,1,3,2,3,4,3,2,4,3,5,3,3,5,1,4,5,5,3,1,3,4,3,4,4,1,4,5,2,5,4,5,3,3,1,5,3,5,3,1,3,5,4,2,4,4,3,3,3,3,4,5,5,2,1,3,3,2,2,3,4,1,4,1,4,4,5,3,5,4,4,5,3,1,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-258,2>,<x^2-24768,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[2],[[[1,2,4,3]]],20,<<[],[1,1,1]>,[[-193654,0],[2,0],[1,0]]>,[[[99698,-62748],[0,0]],[[-99698,62748],[0,0]],[[1,0],[1,0]],[[-1,0],[-1,0]]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[174754470,0],[491280960,491280960],[1,0]]>,[[[8,8],[3,0]],[[-311581405,-311581405],[387420486,0]],[[311581405,311581405],[3,0]],[[-8,-8],[387420486,0]]]>,<43,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[3,42,1]>,[[172,0],[0,0],[-43,0],[0,0],[1,0]]>,[[[0,0],[-1,0],[0,0],[0,0]],[[0,0],[-2931700414552668356985925693319,-2208513609009254038886624020807],[0,0],[-5191954640790697545613002399060,-4902280796844497479989888312963]],[[0,0],[1,0],[0,0],[0,0]],[[0,0],[2931700414552668356985925693319,2208513609009254038886624020807],[0,0],[5191954640790697545613002399060,4902280796844497479989888312963]]]>*] [x,x^2-x-32,x^2-43,x^2-3,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,43],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*43,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,43],[1,6,6],1,[1.000000000,1.835836955,1.347240642],<"notfaithful",0>,[4,3]>,<1,2^2*43,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,43],[6,1,6],1,[1.000000000,1.349385015,1.102573667],<"notfaithful",0>,[4,3]>,<1,2^2*3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,43],[6,6,3],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[4,3]>,<2,2^2*3*43^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]]],[2,3,43],[6,6,7],1,[1.000000000,0.6010774808,0.7299837525],<"2.2e2_3_43e2.4t3.2",1>,[4,3]>]
x^4-x^3-5*x^2+51*x+150 2^2*3^2*43^3 0 2 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 13 x-1 7 [[6714698],[-2414407],[26519618],[-30819908]] 2 [1,1,4,3,5,1,3,3,5,4,4,5,3,4,5,3,5,5,4,2,5,4,5,4,2,3,4,5,2,4,4,2,4,4,4,3,5,3,5,3,1,2,1,2,3,3,3,3,1,1,4,5,5,5,4,2,3,4,5,3,4,3,4,5,5,3,3,1,1,5,3,5,4,5,4,2,4,2,3,5,2,5,5,5,4,5,4,5,3,3,1,5,4,2,3,1,3,4,3,2,4,3,5,3,3,5,2,4,5,5,3,1,3,4,3,4,4,2,4,5,2,5,4,5,3,3,1,5,3,5,3,2,3,5,4,2,4,4,3,3,3,3,4,5,5,1,1,3,3,1,2,3,4,2,4,2,4,4,5,3,5,4,4,5,3,2,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-78,2>,<x^2-70*x+1182,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[2],[[[1,2,4,3]]],20,<[],[14,64546,1]>,[[449970,0],[138863,0],[1,1],[-64545,262143]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-709067964,1006470768,1]>,[[-1006470768,-1],[0,1],[249456074,-249456073],[757014695,249456073]]>,<7,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[3,6,1]>,[[-34331089575713560,-26300602270273465],[-36112008549296772,26300602270273465],[-4212586422425072,3953630949749635],[-5136581750176596,-3953630949749635]]>,<43,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[3,42,1]>,[[13416,0],[4902,0],[688,0],[43,0],[1,0]]>,[[[200166929047456249046167144925907,0],[-4655044861568749977817840579700,0],[3879204051307291648181533816393,0],[775840810261458329636306763279,0]],[[68072201887041013571134154516350,174813186892440642685816322056396],[3570517903752079453154681481611,2386712691401884725301575584683],[4958131657774982507814826824147,-1481831715208706181917782746111],[622242290307487125595570727919,2375625416281432907500050009340]],[[11,0],[1,0],[0,0],[0,0]],[[198817036842900651823755372051734,-174813186892440642685816322056396],[1084526957816670524663159098088,-2386712691401884725301575584683],[2024435634578142458911934045367,1481831715208706181917782746111],[-1398083100568945455231877491198,-2375625416281432907500050009340]]]>*] [x,x^2-x-32,x^2-43,x^2-3,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,43],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*43,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,43],[1,6,3,6],1,[1.000000000,1.835836955,1.347240642],<"notfaithful",0>,[4,3]>,<1,2^2*43,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,43],[6,1,1,6],1,[1.000000000,1.349385015,1.102573667],<"notfaithful",0>,[4,3]>,<1,2^2*3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,43],[6,6,3,3],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[4,3]>,<2,2^2*3*43^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,3,7,43],[6,6,3,7],1,[1.000000000,3.445434598,1.519599638],<"2.2e2_3_43e2.4t3.4",1>,[4,3]>]
