x^2-x-14 3*19 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[1897],[-1896]] 1 [1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-12,3,1]>,[[-1,-1],[2,1]]>,<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[76,19,1]>,[[-9,-1],[10,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,19],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*19,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,19],[3,3],1,[1.000000000,1.512726167,1.284326634],<"1.3_19.2t1.1",1>,[2,1]>]
x^4-x^3-126*x^2-383*x+360 7^2*43^2*83^2 4 0 12 "A4" [[2,3,1,4],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<3,4,[2,3,1,4]>,<3,4,[3,1,2,4]>] [[1,1,1,1],[1,3],[2,2]] 41 x-1 6 [[1533899464],[2363946027],[-89531687],[941790438]] 1 [3,4,3,1,4,2,4,3,3,1,4,3,1,2,3,4,4,3,4,2,4,3,2,3,2,4,3,3,4,1,2,3,4,1,3,4,4,3,2,3,4,2,3,4,2,4,2,2,4,3,3,2,4,2,3,4,4,3,4,1,4,2,2,4,3,3,3,2,4,2,4,3,4,3,2,3,4,3,3,4,2,2,4,2,3,3,1,3,1,2,3,4,4,2,3,2,3,4,3,3,2,4,4,3,4,4,2,3,4,2,3,4,1,4,2,4,2,4,3,2,4,2,3,4,3,2,3,3,2,3,4,2,3,1,3,2,4,4,2,4,2,3,4,1,4,1,2,4,3,3,3,2,2,3,4,2,3,3,2,4,3,2,2,3,4,4,4,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,3],"ALT",[1,3,4,2],[<x-724507,4>,<x+724507,3>]*],[*[2,2],"CYC",0,2*]] [*<7,3,3,[[1,4,2,3]],[[1,2,3,4],[1,4,2,3],[1,3,4,2]],[1,2,3,4],[1,4,3],[1],[[[1,4,2,3]]],20,<[],[5983355948776080,21168217601752067,38459034104092707,1]>,[[38459034104092696,0,0],[-7586828480368798,4276820169356585,4837979388235959],[-30872205623723901,-4276820169356586,-4837979388235959],[4,1,0]]>,<29,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[4675099356468779065253161189,-24579408475859140848208719690,-217593804170823717940466309,1812119183791211032159475804]>,<43,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,2,2],[1],[[[2,1,4,3]]],20,<<[],[3,42,1]>,[[162323948142835283658500505587754,134254274772702470799306724281262],[47143944272709363095237025890282,13365334674352777157893588649463],[1,0]]>,[[[-47143944272709363095237025890267,-13365334674352777157893588649428],[-1,0]],[[15,35],[1,0]],[[189648768452680114181953096118149,106042416198740591223186254563479],[-3236690762738675860470172622060,-70149462160000713537403126670]],[[-142504824179970751086716070227896,-92677081524387814065292665914086],[3236690762738675860470172622060,70149462160000713537403126670]]]>,<83,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,2,2],[1],[[[2,1,4,3]]],20,<<[],[2,82,1]>,[[13443696855781414788183991834432038709,-15903368693689132968918993617653123320],[-36716598126609185254918068840769200377,-50806600931041240038430934857871301517],[1,0]]>,[[[36716598126609185254918068840769200434,50806600931041240038430934857871301528],[-1,0]],[[57,11],[1,0]],[[96189260731651078373036970782336618067,-40632869596590465742094259471389923202],[256640457055697674546090136356425599,1178047746504518966652860148530293549]],[[107841675264808166527427343945359377044,-10173731334450774296336675386481378337],[-256640457055697674546090136356425599,-1178047746504518966652860148530293549]]]>*] [x,x^3-x^2-2*x+1,x^3-x^2-2*x+1,0] [1,2,3,4] <[1],[2,3],[4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,29,43,83],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,4]>,<1,7,3,[[1,0],[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,7,29,43,83],[3,5,1,1,1],0,[0.8959532197+0.4441484303*i,0.5377473805+0.1052975456*i,0.7992187436+0.1018472971*i],<"notfaithful",0>,[4,4]>,<1,7,3,[[1,0],[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,7,29,43,83],[3,5,1,1,1],0,[0.8959532197-0.4441484303*i,0.5377473805-0.1052975456*i,0.7992187436-0.1018472971*i],<"notfaithful",0>,[4,4]>,<3,7^2*43^2*83^2,1,[[3],[-1],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[2,7,29,43,83],[3,5,1,6,6],1,[0,0,0],<"3.7e2_43e2_83e2.4t4.1",1>,[4,4]>]
x^4+145*x^2+5220 2^4*5^3*29^3 0 2 4 "C4" [[4,3,2,1],[2,4,1,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[2,4,1,3]>,<4,1,[3,1,4,2]>] [[1,1,1,1],[2,2],[4]] 37 x-1 5 [[-11178729],[3200296],[-3200296],[11178729]] 2 [1,2,1,4,4,3,2,3,3,1,4,1,4,2,2,4,1,3,3,1,2,3,3,4,1,3,3,4,1,2,1,3,2,1,1,1,1,1,3,3,2,1,4,1,3,1,3,3,4,3,4,1,2,4,3,2,3,3,3,1,4,1,1,4,4,1,3,1,3,2,3,3,1,4,3,4,3,3,1,4,2,4,2,2,2,1,4,4,4,4,1,4,4,3,2,1,2,2,3,3,4,4,1,3,2,1,4,3,3,3,2,3,1,4,1,3,4,3,2,3,1,3,1,3,2,2,1,1,1,2,3,1,3,2,1,3,1,3,2,3,1,2,2,2,4,4,2,3,4,4,3,3,4,1,2,3,1,2,4,2,1,4,2,4,3,1,1,2] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x-1740,3>,<x+1740,4>]*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[2],[[[2,1,4,3]]],20,<[],[235886,2,1]>,[[2,-131070],[-2,131070],[183417,183417],[-183417,-183417]]>,<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,2,1]>,[[46273868,46273868],[-46273868,-46273868],[211948845,211948845],[-211948845,-211948845]]>,<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[5220,0,145,0,1]>,[[0,-1,0,0],[0,3178914388033,0,3178914388021],[0,-3178914388033,0,-3178914388021],[0,1,0,0]]>,<29,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[5220,0,145,0,1]>,[[0,-1,0,0],[0,1017210207764998581596474957,0,1017210207764998581596474945],[0,-1017210207764998581596474957,0,-1017210207764998581596474945],[0,1,0,0]]>*] [x,0,x^2-x-36,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,29],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,2^2*5*29,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,3,5,29],[5,2,5,5],0,[0.7358822867+0.6771094890*i,0.7372851748-0.03066706630*i,0.8968985652-0.01715275860*i],<"1.2e2_5_29.4t1.3",1>,[4,1]>,<1,5*29,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,29],[1,1,5,5],1,[1.000000000,2.112534460,1.447063894],<"notfaithful",0>,[4,1]>,<1,2^2*5*29,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,5,29],[5,2,5,5],0,[0.7358822867-0.6771094890*i,0.7372851748+0.03066706630*i,0.8968985652+0.01715275860*i],<"1.2e2_5_29.4t1.3",2>,[4,1]>]
x^4+580 2^4*5^3*29^3 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 37 x-1 6 [[471199486],[674023763],[-674023763],[-471199486]] 3 [1,3,1,4,4,5,2,4,4,1,4,1,5,3,3,5,3,5,4,3,1,4,4,5,2,5,4,4,2,1,3,4,2,3,1,3,2,3,4,5,3,1,4,1,5,3,4,4,4,5,5,3,1,4,5,3,5,4,5,2,4,2,3,4,5,1,4,2,4,1,5,4,3,5,4,4,5,5,1,5,3,5,3,2,3,3,5,5,5,4,3,4,4,4,3,3,1,1,4,5,4,5,3,5,3,1,4,5,4,5,3,5,2,4,3,5,4,4,1,4,1,5,2,4,3,2,2,3,3,2,4,3,4,1,2,5,1,4,1,5,3,2,3,3,5,4,2,5,4,4,5,5,4,3,3,4,3,2,5,2,3,5,3,4,5,3,3,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x,2>,<x^2-83520,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[3,4,1,2]],[[1,2,3,4],[3,4,1,2]],[1,2,3,4],[1,3],[2],[[[3,4,1,2]]],20,<[],[420434,104090,1]>,[[0,1],[0,65535],[26982,65535],[-26982,1]]>,<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[580,0,0,0,1]>,[[0,-1,0,0],[0,-3459595983307,0,0],[0,3459595983307,0,0],[0,1,0,0]]>,<29,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[580,0,0,0,1]>,[[0,-1,0,0],[0,-2931464265274730785498311870,0,0],[0,2931464265274730785498311870,0,0],[0,1,0,0]]>*] [x,x^2+145,x^2-x-36,x^2+1,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,29],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*5*29,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,29],[6,3,6,6],1,[1.000000000,1.043580278,0.9285182498],<"notfaithful",0>,[4,3]>,<1,5*29,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,29],[1,1,6,6],1,[1.000000000,2.112534460,1.447063894],<"notfaithful",0>,[4,3]>,<1,2^2,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,29],[6,3,1,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,3]>,<2,2^2*5^2*29^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,3,5,29],[6,3,7,7],1,[1.000000000,2.180265530,1.343516779],<"2.2e2_5e2_29e2.4t3.1",1>,[4,3]>]
x^8-x^7+578*x^6-595*x^5+82921*x^4+220255*x^3+3015002*x^2+8960743*x+52921891 3^6*5^6*7^4*23^6 0 4 8 "Q8" [[8,4,7,1,6,3,5,2],[5,3,1,6,2,8,4,7],[2,1,5,8,3,7,6,4]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[2,1,5,8,3,7,6,4]>,<4,2,[8,4,7,1,6,3,5,2]>,<4,2,[5,3,1,6,2,8,4,7]>,<4,2,[7,6,4,5,8,1,2,3]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 149 x-1 5 [[-631730178],[16809810968],[-9790807212],[10933508478],[-1959895854],[16287347429],[32413825448],[9377716671]] 2 [4,5,1,4,1,5,5,3,5,3,2,4,3,4,4,5,3,3,4,3,5,3,5,2,4,3,4,5,3,5,5,3,5,2,1,2,4,5,4,4,3,3,2,5,4,3,1,5,5,3,4,3,3,1,4,5,3,1,5,1,4,5,5,3,4,4,2,4,4,1,4,2,4,4,3,5,2,5,2,2,2,3,2,4,2,4,3,4,3,5,5,1,5,3,1,5,3,2,4,2,5,5,5,2,3,5,4,4,3,2,5,4,5,3,3,1,4,4,4,2,3,5,5,4,2,2,3,3,4,4,1,5,3,4,3,3,5,4,5,3,1,3,5,5,2,2,5,4,1,4,5,2,5,4,4,1,3,3,4,1,4,5,5,1,5,5,1,5] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1,3],x^2>,[<x+34,3>,<x-3631,4>,<x+4856,5>]*]] [*<3,8,4,[[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4]],[[1,2,3,4,5,6,7,8],[3,4,1,2,7,8,5,6],[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4],[8,7,6,5,2,1,4,3]],[5,8,7,6,3,2,1,4],[1,2,3,5,4],[1],[[[2,3,4,1,6,7,8,5]]],20,<<[],[2,2,1]>,[[431584221,-1511740149],[-492769632,1019518863],[-29781939,1627840053],[1133671494,-609720702],[1,0]]>,[[[341169648,-1420963457],[395050928,134320401],[-373798781,-361155510],[-521926,41821836]],[[-993524607,-1229694098],[-163237312,-296533078],[-474548865,-391542100],[-31419141,172251324]],[[0,1],[1,0],[0,0],[0,0]],[[-481316535,-226406141],[-231813617,162212677],[-313913821,-409563857],[31941067,-214073160]],[[1334743978,990170954],[498807834,-452809426],[-463667350,281314243],[545244226,-117056131]],[[-1126750310,1716656177],[94489871,580136002],[184737498,147411227],[-286199386,-10141047]],[[-1560611060,-932149450],[-366460956,475400305],[373798781,361155510],[521926,-41821836]],[[-1000495514,1102386014],[-226836749,559534586],[-94868929,372380487],[-259566766,169019014]]]>,<5,4,4,[[2,4,1,3,7,8,6,5]],[[1,2,3,4,5,6,7,8],[4,3,2,1,6,5,8,7],[2,4,1,3,7,8,6,5],[3,1,4,2,8,7,5,6]],[1,2,3,4,5,6,7,8],[1,2,5,5],[1],[[[2,4,1,3,7,8,6,5]]],20,<[],[-12737375980,-227802023450,1289481036805,5509554953750,1]>,[[28137452798001,-7483064777471,-1318592378099,-79694387416],[-26855596079029,1112966307483,-6436589845671,883147956161],[42467470305796,-7672266484133,-1692080624961,-1331610500846],[-11676478317849,-5031121374004,9447262848731,528156932101],[6382573814328,347586177785,-44754063252,1769496302578],[2667291379103,648809447165,1221872017123,-857274869898],[641354144663,676952850475,1426594287677,1619908545699],[-3617095388762,-1673348475425,1210985024077,1282567287246]]>,<7,4,2,[[4,3,1,2,7,8,6,5]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[4,3,1,2,7,8,6,5],[3,4,2,1,8,7,5,6]],[4,3,1,2,7,8,6,5],[1,2,4,4],[1],[[[2,1,4,3,6,5,8,7]]],20,<<[],[3,6,1]>,[[7465597859772836,-29705399284141567],[32422163246560486,-31106402896569574],[1,0]]>,[[[20491841513021175,-3140591481302889],[-5522305409964515,-3740584334217029]],[[21708721556951019,15189788341343212],[5522305409964515,3740584334217029]],[[24281794276898429,-1736911159810717],[-1529298533214054,2957039030829212]],[[25415853930443828,-10312285700229606],[1529298533214054,-2957039030829212]],[[-32422163246560486,31106402896569577],[-1,0]],[[0,3],[1,0]],[[-16789808720645181,14737744985744211],[-4124550645098825,5440918569713300]],[[37106026987503218,33948118415298210],[4124550645098825,-5440918569713300]]]>,<11,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-78879064007563108763,21625921255728454212,167724249776647167612,25455677542728239005,8509776210594704859,2398959310475493128,1044661680668194273,2237585695011105662]>,<23,8,4,[[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4]],[[1,2,3,4,5,6,7,8],[3,4,1,2,7,8,5,6],[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4],[8,7,6,5,2,1,4,3]],[5,8,7,6,3,2,1,4],[1,2,3,5,4],[1],[[[2,3,4,1,6,7,8,5]]],20,<<[],[5,21,1]>,[[-58610830024065273431820493,-257248927304840005348041662],[-485906318701085665153275943,-569452606131008557488400562],[776009100415439955257351311,435969455404912068149393241],[-469807218231010817552942647,-126465250847457522763322838],[1,0]]>,[[[447929740059345479580853557,410393393824797166298631530],[31210299116067954218010574,26586599971355097837941592],[32328386076221529920135579,24097548642833646257613586],[14379627802387514393874463,14803489965341994809266907]],[[-716415293531640222684340900,-484915360038142527265985524],[-28360002099958883495995818,-35530825539606426675754377],[-16546316606203928680167965,30078803237703465128962303],[29808017495187479780532389,-31804477249685393532257956]],[[14,12],[1,0],[0,0],[0,0]],[[738292771703305560656430032,200987217060802883730676868],[-2850297016109070722014757,8944225568251328837812785],[-15782069470017601239967614,20439119047053599175332598],[30427825630015716387501635,17000987284343398722991049]],[[3783873182354962557239665,-344968212298760328375890972],[-4754156057361215655860712,-27798921694051224874791797],[17203088564626618234244312,-24437288312712184683681547],[-36155423082105873022382999,-31877747204468482265467339]],[[253617709803425078213779476,698021788082811906505971685],[-13823749341055924405745111,-37165752197303127193206863],[32735868119419678892494470,14615408339402022480871441],[-24773128457255870944159606,32494647807439308189173819]],[[257612095661940943284866312,-845254838063348972399633160],[-9095906450601400036518794,25263179948511714363472807],[-32328386076221529920135579,-24097548642833646257613586],[-14379627802387514393874463,-14803489965341994809266907]],[[731334934455854541315067046,365736011431839871506229561],[27673811849018540098124617,-34913976984748072857382634],[-17610570607824767206603203,33919428616143808460423692],[692708414158547798508581,14186589362371168885560427]]]>,<99551,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-2785286431017132998336057939338332619276380108915626507269056953954734745996293836489874550561648650,4177907135110659956302128507698222366247668462882945115454499882825859274593983351149469350478047631,-1078205931393960410163015537685796018247418497552636434506180150206358993224959185068748881143647984,1136202911410503315912663966398222591538570048110224179931918859716047451753533842781951512874022253,4269436706357406359419025037532315719247617199497072686183013970989055178136512710881769176786281325,3164485970307291777611006908834018975402246963403549833706734931736070025550882516292518084242881017,40188668398117593210799109024776279462923740793184813816947603881310599621981161369557738514685,43729358177949421590640349166688223979257595108425072558492464206420173927038592098277877945651]>,<1716419,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-4144638951524316426025355843560714149730598977084401767713731957223847747493253137419775407635377286410240529970847772359426,-18459885079187360445539472471535813787274441144346074420435866143042675710104480633800428803296589565697803320154521584774700,-24142015719641360073344127483691753264168990457549863894860721548702811375271294794639352150109499930167775824689776485882591,4985609193162408344133640163134265491145193668937484221557831852805086810362086370502572994365866716029364444441365200756170,13051056210257458408327221178408480445254338492425598021569604933717727479251473776224842439684975319140037322465242184159821,2562110348816657798707479579996311335242272424665318403190565725933531420224844165365301592202287511277134621288556488269930,1303928764995757955772696740220012597806057979746448614688627081710547704113048111039606449473009040649624613255759919,-12319015958700141651625252034223175899737976486120407884235722271053326208080114216572839394288988962412218158284013288]>,<21465061,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-134268051631203990646624170778624128599650238368856420077897940859801996573502066084068187610783465127845535426154283945885127272172820246755773694,183384199113111295658706835011346513327915894361792851305864988115608555242663718755186927704062007211475070959082253195501007473329930879954915978,-181227781073796354418957640568788326928919625509896577822182027517741969700576072019098716098962596897866075445690561409246759435980829527992891798,206064163086326254205033410342256464045831747944732698980063656931517775173821436636506512158344053609943396341565339819168223098538447939035008707,-20744576879032436389948326684820815627559862322811432584634377297506392672574211750231871244942523659924095707387270008794743220952752678269204617,58931320800628158935191337073900687856122812355032385486322299634894117642246020147209094269698893938723336740073281187200946393305265850802130132,2051021249677907042326725051655604431030544989679575297274270801596771943767274315430774949967815432725401073353134464539524843057783579851,-2100972360007988078012641001120279493813928854720384405033948696670334252678079458976989101316751323183572721803137653126189738028028169959]>*] [x,x^2-x-86,x^2-x-1,x^2-x-17,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,7,11,23,733,99551,1716419,21465061],[1,1,1,1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,3*5*23,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,7,11,23,733,99551,1716419,21465061],[6,6,1,1,6,1,1,1,1],1,[1.000000000,2.048451238,1.355357224],<"notfaithful",0>,[8,5]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,7,11,23,733,99551,1716419,21465061],[4,6,4,1,4,4,1,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,5]>,<1,3*23,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,7,11,23,733,99551,1716419,21465061],[6,1,3,1,6,3,1,1,1],1,[1.000000000,0.7746280617,0.8265466055],<"notfaithful",0>,[8,5]>,<2,3^2*5^2*7^2*23^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[3,5,7,11,23,733,99551,1716419,21465061],[6,6,6,1,6,3,1,1,1],-1,[0,0,0],<"2.3e2_5e2_7e2_23e2.8t5.3",1>,[8,5]>]
