x^2-x-10 41 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1215],[-1214]] 1 [1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<41,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[410,41,1]>,[[-20,-1],[21,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[41],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,41,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[41],[3],1,[1.000000000,1.299093062,1.203023023],<"1.41.2t1.1",1>,[2,1]>]
x^4+19 2^4*19^3 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 5 x-1 8 [[-143604],[-99678],[99678],[143604]] 3 [3,3,1,4,4,5,2,4,4,5,3,5,5,4,4,5,3,1,3,3,2,3,4,5,5,2,3,3,5,5,3,4,2,4,2,3,2,4,3,5,3,5,4,5,1,4,3,3,3,2,1,4,5,4,5,4,5,4,2,5,4,5,3,4,1,5,3,5,4,2,2,4,4,5,3,3,1,2,5,5,4,5,3,5,3,4,5,1,2,4,4,4,3,4,4,4,5,5,3,1,3,2,3,5,4,1,4,1,3,5,3,2,2,4,4,5,4,4,2,3,5,5,5,3,4,2,2,4,4,1,4,3,3,1,2,1,5,3,5,1,3,2,4,3,5,3,1,5,4,3,5,2,4,3,3,3,4,1,2,5,4,5,4,3,5,3,3,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x,2>,<x^2-2736,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[2,1,3,4],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[1,2,4,3],[3,4,2,1]],[3,4,1,2],[1,2,3,4,5],[2],[[[2,1,3,4],[2,1,4,3]]],20,<<[],[1,1,1]>,[[355866,460074],[-236756,123664],[-435000,268968],[245394,71354],[1,0]]>,[[[-70827,115072],[-39524,44944],[6119,128712],[12941,25883]],[[70827,-115072],[39524,-44944],[-6119,-128712],[-12941,-25883]],[[-99963,9792],[-91252,95588],[67396,57743],[72994,93561]],[[99963,-9792],[91252,-95588],[-67396,-57743],[-72994,-93561]]]>,<19,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[2,18,1]>,[[19,0],[0,0],[0,0],[0,0],[1,0]]>,[[[0,0],[-1,0],[0,0],[0,0]],[[0,0],[-253889288048008211564307,631263297659214728423070],[0,0],[0,0]],[[0,0],[1,0],[0,0],[0,0]],[[0,0],[253889288048008211564307,-631263297659214728423070],[0,0],[0,0]]]>*] [x,x^2-x+5,x^2-19,x^2+1,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,19],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,19,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,19],[3,3,6],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[4,3]>,<1,2^2*19,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,19],[6,1,6],1,[1.000000000,1.337249852,1.132121268],<"notfaithful",0>,[4,3]>,<1,2^2,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,19],[6,3,3],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,3]>,<2,2^4*19^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]]],[2,3,19],[6,3,6],1,[1.000000000,1.525207297,1.091239148],<"2.2e4_19e2.4t3.1",1>,[4,3]>]
x^8-714*x^6+132804*x^4-4078368*x^2+32626944 2^12*3^6*7^6*17^6 8 0 8 "Q8" [[8,7,6,5,4,3,2,1],[6,5,1,2,7,8,4,3],[5,3,7,1,8,2,6,4]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<4,2,[5,3,7,1,8,2,6,4]>,<4,2,[6,5,1,2,7,8,4,3]>,<4,2,[7,1,4,6,3,5,8,2]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 47 x-1 17 [[-10986027657631670620682892426],[5814927745234895577762960504],[637435776774221955528966101],[-1009661401613523975246194049],[1009661401613523975246194049],[-637435776774221955528966101],[-5814927745234895577762960504],[10986027657631670620682892426]] 1 [3,5,5,4,4,3,1,3,4,4,4,5,5,2,1,3,1,4,2,4,4,5,2,1,4,1,3,4,5,4,1,5,3,4,3,1,3,5,5,5,3,4,3,5,4,4,5,3,5,3,4,3,4,1,2,3,5,3,5,3,4,2,3,5,4,4,1,5,4,3,1,3,4,1,5,1,3,4,4,3,5,2,4,3,4,3,4,2,1,1,2,5,5,3,5,5,2,5,3,5,5,3,1,3,5,3,2,1,3,4,4,2,4,4,1,4,4,2,4,3,3,5,5,4,4,3,5,5,3,3,1,4,5,2,2,3,2,4,1,4,4,4,5,4,3,5,4,5,3,3,5,5,1,5,5,4,1,5,3,5,4,3,1,1,3,5,5,4] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1],x^7+2*x^6+3*x^5+4*x^4+5*x^3+6*x^2+7*x+8>,[<x^2-275755173195066868800,3>,<x^2-1465940537410802035968,4>,<x^2-77396228036129721600,5>]*]] [*<2,4,2,[[3,4,2,1,7,8,6,5]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[3,4,2,1,7,8,6,5],[4,3,1,2,8,7,5,6]],[3,4,2,1,7,8,6,5],[1,2,3,3],[3],[[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,1]>,[[80456,92322],[0,0],[1,0]]>,[[[0,0],[23413,14336]],[[0,0],[9355,18432]],[[0,0],[5477,26183]],[[0,0],[27291,6585]],[[0,0],[1950,362]],[[0,0],[2146,3734]],[[0,0],[2,0]],[[0,0],[4094,0]]]>,<3,8,4,[[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7],[8,3,6,1,4,7,2,5]],[2,5,8,3,6,1,4,7],[1,2,3,5,4],[1],[[[3,4,5,6,7,8,1,2]]],20,<<[],[2,2,1]>,[[-1110981189,771907848],[-1723463163,754114779],[-985674621,1407404559],[1093705578,1093705578],[1,0]]>,[[[309298662,-138706101],[5314409,287509581],[378385992,218422251],[102036672,348093855]],[[-573956280,117979902],[339461784,303722372],[184941468,198227493],[276391919,73200728]],[[84499119,514966329],[349172099,163167749],[290698227,159963741],[332564066,124080934]],[[-518154975,-199290375],[65951069,139954228],[262000413,383700402],[34543665,271034910]],[[-309298662,138706101],[382106080,99910908],[9034497,168998238],[285383817,39326634]],[[573956280,-117979902],[47958705,83698117],[202479021,189192996],[111028570,314219761]],[[-84499119,-514966329],[38248390,224252740],[96722262,227456748],[54856423,263339555]],[[518154975,199290375],[321469420,247466261],[125420076,3720087],[352876824,116385579]]]>,<7,8,4,[[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7],[8,3,6,1,4,7,2,5]],[2,5,8,3,6,1,4,7],[1,2,3,4,5],[1],[[[3,4,5,6,7,8,1,2]]],20,<<[],[3,6,1]>,[[-25379416972589183,31502671087709724],[36522575457375469,-366960206272912],[-27313695399702565,23902411036573006],[25096177634333939,21935505860698388],[1,0]]>,[[[-4980939453439061,-2760063398177008],[272924478356060,265286065147852],[-394100993147330,-452505293155321],[-610029028136416,-619251280065768]],[[-850228748895827,4682576666534305],[-279948333726607,-259846734314891],[724907757251230,-199797003419692],[-237103227079873,-118851178541501]],[[-394725828398118,3016791593181156],[663406495996583,262381216306679],[233894025775984,-247681925154923],[-114153684176735,711628616750711]],[[-1277786110534717,-851875862072746],[110267225710227,124370925108512],[-799350154471694,333638295999876],[771159404223365,591003885925907]],[[4980939453439061,2760063398177008],[-272924478356060,-265286065147852],[394100993147330,452505293155321],[610029028136416,619251280065768]],[[850228748895827,-4682576666534305],[279948333726607,259846734314891],[-724907757251230,199797003419692],[237103227079873,118851178541501]],[[394725828398118,-3016791593181156],[-663406495996583,-262381216306679],[-233894025775984,247681925154923],[114153684176735,-711628616750711]],[[1277786110534717,851875862072746],[-110267225710227,-124370925108512],[799350154471694,-333638295999876],[-771159404223365,-591003885925907]]]>,<17,4,4,[[3,4,7,8,2,1,6,5]],[[1,2,3,4,5,6,7,8],[7,8,6,5,4,3,1,2],[3,4,7,8,2,1,6,5],[6,5,1,2,8,7,3,4]],[1,2,3,4,5,6,7,8],[1,2,5,5],[1],[[[3,4,7,8,2,1,6,5]]],20,<[],[5712,0,-9811901949828908928249,0,1]>,[[0,-1,0,0],[0,2252128621717376236000,0,391110759716903872998],[0,-6117365590757924062784,0,375800156376049730193],[0,-4786128099608397438221,0,-195555379858451936499],[0,4786128099608397438221,0,195555379858451936499],[0,6117365590757924062784,0,-375800156376049730193],[0,1,0,0],[0,-2252128621717376236000,0,-391110759716903872998]]>,<67,2,1,[[3,4,1,2,8,7,6,5]],[[1,2,3,4,5,6,7,8],[3,4,1,2,8,7,6,5]],[3,4,1,2,8,7,6,5],[1,2],[1],[[]],20,<[],[2,63,1]>,[[-209971149646976331366148903194053893,98817984509717756856899294774873832],[1637191142764313649909496805331338692,737618601391567318102844294642797019],[209971149646976331366148903194053893,-98817984509717756856899294774873832],[-1637191142764313649909496805331338692,-737618601391567318102844294642797019],[-21910501541083337602186207893390857,91620576924406167653524006370103],[-18469796092517569361091410923222693,22242226845058547785835009454101627],[18469796092517569361091410923222693,-22242226845058547785835009454101627],[21910501541083337602186207893390857,-91620576924406167653524006370103]]>*] [x,x^2-x-89,x^2-x-4,x^2-x-5,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,17,67],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,3*7*17,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,17,67],[3,6,3,6,6,1],1,[1.000000000,0.6227560594,0.7725584441],<"notfaithful",0>,[8,5]>,<1,17,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,7,17,67],[1,4,4,4,6,1],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[8,5]>,<1,3*7,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,7,17,67],[3,6,1,6,1,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[8,5]>,<2,2^6*3^2*7^2*17^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,5,7,17,67],[6,6,3,6,6,2],-1,[0,0,0],<"2.2e6_3e2_7e2_17e2.8t5.1",1>,[8,5]>]
x^8+714*x^6+132804*x^4+4078368*x^2+32626944 2^12*3^6*7^6*17^6 0 4 8 "Q8" [[8,7,6,5,4,3,2,1],[6,5,1,2,7,8,4,3],[5,3,7,1,8,2,6,4]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<4,2,[5,3,7,1,8,2,6,4]>,<4,2,[6,5,1,2,7,8,4,3]>,<4,2,[7,1,4,6,3,5,8,2]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 43 x-1 17 [[1393456343472538681325296783],[1470456250845316466600038174],[2865389637446670385033426509],[-1641387935321112544806225233],[1641387935321112544806225233],[-2865389637446670385033426509],[-1470456250845316466600038174],[-1393456343472538681325296783]] 2 [3,4,4,5,5,3,1,3,5,5,5,4,4,1,2,3,2,5,1,5,5,4,1,1,5,1,3,5,4,5,2,4,3,5,3,2,3,4,4,4,3,5,3,4,5,5,4,3,4,3,5,3,5,2,2,3,4,3,4,3,5,2,3,4,5,5,2,4,5,3,1,3,5,1,4,2,3,5,5,3,4,2,5,3,5,3,5,2,1,2,1,4,4,3,4,4,2,4,3,4,4,3,2,3,4,3,1,1,3,5,5,2,5,5,2,5,5,1,5,3,3,4,4,5,5,3,4,4,3,3,2,5,4,2,2,3,2,5,1,5,5,5,4,5,3,4,5,4,3,3,4,4,2,4,4,5,2,4,3,4,5,3,2,2,3,4,4,5] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1],x^7+2*x^6+3*x^5+4*x^4+5*x^3+6*x^2+7*x+8>,[<x^2-267441689723017320000,3>,<x^2-75621384719276868864,4>,<x^2-1432415745605304569088,5>]*]] [*<2,4,2,[[3,4,2,1,7,8,6,5]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[3,4,2,1,7,8,6,5],[4,3,1,2,8,7,5,6]],[3,4,2,1,7,8,6,5],[1,2,3,3],[3],[[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,1]>,[[50616,-157858],[0,0],[1,0]]>,[[[0,0],[7029,14336]],[[0,0],[25739,18432]],[[0,0],[21861,9799]],[[0,0],[10907,22969]],[[0,0],[98,3734]],[[0,0],[3998,362]],[[0,0],[4094,2048]],[[0,0],[2,2048]]]>,<3,8,4,[[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7],[8,3,6,1,4,7,2,5]],[2,5,8,3,6,1,4,7],[1,2,3,4,5],[1],[[[3,4,5,6,7,8,1,2]]],20,<<[],[2,2,1]>,[[-1549420014,-597615609],[-1007612136,521343621],[-1719891510,-170209911],[-1549681956,-1549681956],[1,0]]>,[[[-95659380,255091680],[14880347,272629233],[247651506,225330984],[56332746,174844089]],[[-7971615,-218422251],[165149136,301596608],[370414377,200353257],[190744720,11829832]],[[-113196933,117979902],[130218407,120652469],[323116128,309298662],[64953802,209664014]],[[232771158,-248714388],[249829655,149520166],[285383817,117448461],[109476846,117448461]],[[95659380,-255091680],[372540142,114791256],[139768983,162089505],[331087743,212576400]],[[7971615,218422251],[222271353,85823881],[17006112,187067232],[196675769,375590657]],[[113196933,-117979902],[257202082,266768020],[64304361,78121827],[322466687,177756475]],[[-232771158,248714388],[137590834,237900323],[102036672,269972028],[277943643,269972028]]]>,<7,8,4,[[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[3,4,5,6,7,8,1,2],[2,5,8,3,6,1,4,7],[8,3,6,1,4,7,2,5]],[2,5,8,3,6,1,4,7],[1,2,3,5,4],[1],[[[3,4,5,6,7,8,1,2]]],20,<<[],[3,6,1]>,[[17922551749400081,33731602772122759],[27253452974907397,-37376347575794752],[-38600285936221163,-24955594579697096],[3658349096234707,-38405281183742690],[1,0]]>,[[[-5352564173498710,3040598607166876],[-511866619306925,-644509651880850],[-399240065352387,258228986002085],[771064495413079,80999212700252]],[[-5024816333866231,-4378220602271516],[-366080686651687,-206302703441194],[-548154519694460,-639732430469762],[498784625575236,-414481299887431]],[[1749538702206400,4546572178497279],[335065458341204,-218817065216315],[571682730609417,-81533090920862],[624367258326511,-284290738380294]],[[-3531618270622351,349492501825250],[275862408456248,-264774887220860],[-9022541928309,643072135338689],[672787404505871,195189136397865]],[[5352564173498710,-3040598607166876],[511866619306925,644509651880850],[399240065352387,-258228986002085],[-771064495413079,-80999212700252]],[[5024816333866231,4378220602271516],[366080686651687,206302703441194],[548154519694460,639732430469762],[-498784625575236,414481299887431]],[[-1749538702206400,-4546572178497279],[-335065458341204,218817065216315],[-571682730609417,81533090920862],[-624367258326511,284290738380294]],[[3531618270622351,-349492501825250],[-275862408456248,264774887220860],[9022541928309,-643072135338689],[-672787404505871,-195189136397865]]]>,<17,4,4,[[3,4,7,8,2,1,6,5]],[[1,2,3,4,5,6,7,8],[7,8,6,5,4,3,1,2],[3,4,7,8,2,1,6,5],[6,5,1,2,8,7,3,4]],[1,2,3,4,5,6,7,8],[1,2,4,4],[1],[[[3,4,7,8,2,1,6,5]]],20,<[],[5712,0,-9811901949828908927535,0,1]>,[[0,-1,0,0],[0,1832335055984011310895,0,10162501645871423058],[0,-764997627657521267708,0,402052627188714689854],[0,4576231316741714975669,0,5081250822935711529],[0,-4576231316741714975669,0,-5081250822935711529],[0,764997627657521267708,0,-402052627188714689854],[0,1,0,0],[0,-1832335055984011310895,0,-10162501645871423058]]>,<67,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-205166109520495997120887886621030317,-1251006588627443393578775842208711428,1251006588627443393578775842208711428,205166109520495997120887886621030317,-16167269698489813134812758880945857,-16754970331449325479528005161916022,16754970331449325479528005161916022,16167269698489813134812758880945857]>*] [x,x^2-x-5,x^2-x-4,x^2-x-89,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,17,67],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,3*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,17,67],[3,6,6,1,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[8,5]>,<1,17,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,17,67],[1,4,4,6,1],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[8,5]>,<1,3*7*17,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,17,67],[3,6,6,6,1],1,[1.000000000,0.6227560594,0.7725584441],<"notfaithful",0>,[8,5]>,<2,2^6*3^2*7^2*17^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,7,17,67],[6,6,6,6,1],-1,[0,0,0],<"2.2e6_3e2_7e2_17e2.8t5.2",1>,[8,5]>]
