x^2-x+34102 -3*41*1109 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-6564],[6565]] 2 [1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[34104,3,1]>,[[-1,-1],[2,1]]>,<41,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[34522,41,1]>,[[-20,-1],[21,1]]>,<1109,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[341572,1109,1]>,[[-554,-1],[555,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,41,1109],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*41*1109,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,41,1109],[3,3,3],1,[1.000000000,2.143542431,1.316055587],<"1.3_41_1109.2t1.1",1>,[2,1]>]
x^5+x^3-4*x^2-6*x-1 -3*41*1109 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 11 x^2+7*x+2 5 [[-64040,0],[-46185,27751],[-26750,34291],[-79391,-27751],[55315,-34291]] 2 [6,2,5,6,3,7,3,7,6,6,5,3,2,5,6,4,6,5,7,5,5,6,7,7,4,5,4,5,6,6,7,5,5,4,5,6,5,3,6,3,5,3,6,2,4,7,5,3,7,5,6,3,4,5,4,5,3,4,3,5,5,2,5,2,7,5,4,4,5,5,7,7,6,6,3,4,5,5,5,5,3,6,6,4,4,6,6,7,3,4,7,4,3,5,5,5,6,5,6,4,7,7,7,6,5,6,5,6,5,3,7,2,3,5,2,3,3,6,6,2,5,4,3,2,3,7,5,3,3,7,5,6,2,4,6,4,6,5,5,5,6,3,1,1,6,6,3,3,5,5,2,4,2,6,6,4,4,6,3,3,3,3,5,5,5,2,5,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<3,4,2,[[1,2,3,5,4],[2,1,3,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[1,2,3,5,4],[2,1,3,5,4]],[2,1,3,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,2,1]>,[[-1364408535,0],[-1309090260,0],[1,0]]>,[[[767586380,-197192641],[0,0]],[[1161971662,197192641],[0,0]],[[248136097,0],[0,0]],[[146828794,0],[-1,0]],[[1,0],[1,0]]]>,<41,4,2,[[1,2,3,5,4],[3,2,1,4,5]],[[1,2,3,4,5],[3,2,1,4,5],[1,2,3,5,4],[3,2,1,5,4]],[3,2,1,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[6,38,1]>,[[16187307886547800467237724148375,0],[-54224685585752504761180095882362,0],[1,0]]>,[[[81254480208973285356766808736930,-65665073788473461992993575149595],[0,0]],[[-9489705619376688663021878068853,0],[0,0]],[[54178322781071828048104819514326,65665073788473461992993575149595],[0,0]],[[54224685585752504761180095882380,0],[-1,0]],[[18,0],[1,0]]]>,<1109,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[1107,3,0,1]>,[[789035333923002287220132569262402940942161128569274167091215,0,0],[3650105901802091001425790162113028477529210124540164452980950,0,0],[1,0,0]]>,[[[493929296537393986778550805437369045052189987550210669582045,2681104231496180742265611850076200068046620876377076930651498,-1681099875683003717579723439226716498802534734203651034170126],[0,0,0]],[[2616644857750307275419802547161012593639949961937609167275528,-1537294537891763466453048598791478689422081157215011181711859,3339398525877509558935003876414794100712629374656235095070016],[0,0,0]],[[539531747514389739227436809514646838837070175052344616122517,-1143809693604417275812563251284721378624539719162065748939639,-1658298650194505841355280437188077601910094640452584060899890],[0,0,0]],[[-3650105901802091001425790162113028477529210124540164452980520,0,0],[-1,0,0]],[[430,0,0],[1,0,0]]]>*] [x,x^2-x+34102,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,41,1109],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,3*41*1109,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,41,1109],[8,8,8],1,[1.000000000,2.143542431,1.316055587],<"notfaithful",0>,[5,5]>,<4,3^3*41^3*1109^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1]],[[1],[-1]]],[3,41,1109],[8,8,9],1,[0,0,0],<"4.3e3_41e3_1109e3.10t12.1",1>,[5,5]>,<4,3*41*1109,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[3,41,1109],[8,8,9],1,[1.000000000,0.5929565371,0.8276603209],<"4.3_41_1109.5t5.1",1>,[5,5]>,<5,3^2*41^2*1109^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[3,41,1109],[8,8,9],1,[0,0,0],<"5.3e2_41e2_1109e2.10t13.1",1>,[5,5]>,<5,3^3*41^3*1109^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[1],[1]]],[3,41,1109],[8,8,9],1,[0,0,0],<"5.3e3_41e3_1109e3.6t14.1",1>,[5,5]>,<6,3^3*41^3*1109^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[3,41,1109],[8,8,9],1,[0,0,0],<"6.3e3_41e3_1109e3.20t35.1",1>,[5,5]>]
x^6-6*x^4+3*x^2-8 2^13*3^8 2 2 48 "C2*S4" [[1,3,2,4,6,5],[3,1,2,6,4,5],[1,2,6,4,5,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,2,3,1,5,6]>,<2,3,[4,2,6,1,5,3]>,<2,6,[1,3,2,4,6,5]>,<2,6,[4,3,2,1,6,5]>,<3,8,[3,1,2,6,4,5]>,<4,6,[6,2,1,3,5,4]>,<4,6,[6,5,1,3,2,4]>,<6,8,[6,1,2,3,4,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 7 x^2+6*x+3 19 [[-2445850747493426,-4125026203409327],[-493483897783750,4125026203409327],[-2922203699680746,0],[2445850747493426,4125026203409327],[493483897783750,-4125026203409327],[2922203699680746,0]] 5 [3,2,8,5,10,8,7,10,9,6,5,8,7,10,9,6,10,6,10,9,7,9,3,4,7,8,9,10,6,4,9,3,7,10,8,9,6,3,9,6,3,8,5,7,6,5,2,9,10,6,7,9,7,10,7,5,6,5,8,4,3,6,10,5,7,8,3,7,10,6,7,5,9,8,10,9,6,8,7,7,3,8,5,7,5,10,7,7,8,9,10,5,5,10,10,5,6,7,3,8,10,6,10,7,10,7,10,1,9,7,5,8,7,10,9,7,10,5,6,3,8,4,6,10,3,8,6,9,9,6,10,5,9,6,4,4,8,3,8,7,10,6,9,2,6,5,8,4,10,9,6,4,10,9,10,5,9,1,4,6,10,7,5,3,7,9,5,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2-3*x+1>,[<x^3-36*x^2-864*x+44928,4>,<x^6+72*x^5+1080*x^4+21600*x^3+2717712*x^2+94058496*x+962419968,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x-36,2>,<x^6-72*x^5+1080*x^4-21600*x^3+2717712*x^2-94058496*x+962419968,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,16,8,[[2,1,6,5,4,3],[1,2,4,3,5,6],[2,1,3,4,5,6]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[2,1,3,4,5,6],[2,1,4,3,6,5],[2,1,6,5,4,3],[1,2,3,4,6,5],[1,2,6,5,4,3],[2,1,3,4,6,5],[2,1,6,5,3,4],[1,2,6,5,3,4]],[2,1,3,4,5,6],[1,4,3,2,6,3,5,4,9,8],[2,4,6],[[[2,1,6,5,4,3],[1,2,4,3,5,6]],[[1,2,4,3,6,5],[2,1,6,5,4,3]],[[1,2,4,3,6,5]]],20,<<[],[1,1,1]>,[[489190,0],[-400096,0],[-421628,0],[46032,0],[-351782,0],[432048,0],[100888,0],[-85580,0],[1,0]]>,[[[-93512,75120],[51080,102160],[-124540,13064],[85988,-90168],[117870,104668],[4372,8744],[47118,94236],[30944,61888]],[[93512,-75120],[-51080,-102160],[124540,-13064],[-85988,90168],[13202,26404],[126700,122328],[83954,36836],[100128,69184]],[[11873,0],[94464,0],[-87903,0],[113177,0],[37483,0],[46128,0],[93378,0],[67501,0]],[[-11873,0],[-94464,0],[87903,0],[-113177,0],[93589,0],[84944,0],[37694,0],[63571,0]],[[30817,0],[-27698,0],[70407,0],[12677,0],[29523,0],[102762,0],[63135,0],[102141,0]],[[-30817,0],[27698,0],[-70407,0],[-12677,0],[101549,0],[28310,0],[67937,0],[28931,0]]]>,<3,6,3,[[2,3,1,6,4,5],[6,5,4,3,2,1]],[[1,2,3,4,5,6],[6,5,4,3,2,1],[2,3,1,6,4,5],[3,1,2,5,6,4],[5,4,6,1,3,2],[4,6,5,2,1,3]],[6,5,4,3,2,1],[1,2,7,7,10,10],[2],[[[2,3,1,6,4,5]]],20,<<[],[2,2,1]>,[[19325370,0],[85554603,0],[331481013,0],[1,0]]>,[[[-69011233,-69011233],[60743712,60743712],[-89329784,-89329784]],[[37771412,37771412],[-173556072,-173556072],[192208498,192208498]],[[-120515815,-120515815],[112812360,112812360],[-102878714,-102878714]],[[120515815,120515815],[-112812360,-112812360],[102878714,102878714]],[[-37771412,-37771412],[173556072,173556072],[-192208498,-192208498]],[[69011233,69011233],[-60743712,-60743712],[89329784,89329784]]]>*] [x,x^2+1,x^2+2,x^2-2,x^6-4*x^3+9*x^2+12*x+8,x^3-3*x-10,x^4-6*x^2-8*x+6,0,0,x^4-6*x^2-8*x+6] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,2^2,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3],[11,2],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,11]>,<1,2^3,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3],[11,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[6,11]>,<1,2^3,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3],[11,2],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[6,11]>,<2,2^5*3^4,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]]],[2,3],[11,11],1,[1.000000000,1.123982053,1.009627704],<"notfaithful",0>,[6,11]>,<2,2^3*3^4,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3],[11,12],1,[1.000000000,1.653898930,1.315131442],<"notfaithful",0>,[6,11]>,<3,2^9*3^4,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]]],[2,3],[11,12],1,[1.000000000,1.235126726,1.095157090],<"notfaithful",0>,[6,11]>,<3,2^10*3^4,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1]],[[1],[1]]],[2,3],[11,12],1,[1.000000000,1.024666184,0.9587457722],<"3.2e10_3e4.6t11.6",1>,[6,11]>,<3,2^7*3^4,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[1]]],[2,3],[11,11],1,[1.000000000,0.3760803328,0.6756585083],<"3.2e7_3e4.6t11.12",1>,[6,11]>,<3,2^10*3^4,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]]],[2,3],[11,12],1,[1.000000000,1.686731912,1.154177107],<"notfaithful",0>,[6,11]>]
x^6+6*x^2-8 2^13*3^8 2 2 48 "C2*S4" [[3,2,1,6,5,4],[4,2,3,1,5,6],[3,1,2,6,4,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[1,5,3,4,2,6]>,<2,3,[4,5,3,1,2,6]>,<2,6,[3,2,1,6,5,4]>,<2,6,[3,5,1,6,2,4]>,<3,8,[3,1,2,6,4,5]>,<4,6,[2,4,3,5,1,6]>,<4,6,[2,4,6,5,1,3]>,<6,8,[3,4,2,6,1,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 23 x^2+21*x+5 10 [[-11943180544810,0],[15246534855906,-569804096453],[-14214090332230,569804096453],[11943180544810,0],[-15246534855906,569804096453],[14214090332230,-569804096453]] 5 [3,2,8,9,10,6,7,10,5,8,5,8,7,10,5,6,10,6,10,9,7,9,3,1,7,8,5,10,6,4,5,3,7,10,6,5,6,3,9,8,3,6,9,7,6,9,3,5,10,8,7,5,7,10,7,9,6,5,6,4,2,8,10,9,7,6,3,7,10,6,7,9,9,6,10,9,8,8,7,7,3,8,9,7,5,10,7,7,6,9,10,9,9,10,10,5,6,7,3,8,10,8,10,7,10,7,10,4,9,7,5,8,7,10,9,7,10,9,8,2,8,4,6,10,3,6,6,9,5,8,10,9,9,8,4,4,6,3,8,7,10,8,9,3,8,5,6,4,10,9,6,4,10,9,10,5,5,4,4,6,10,7,9,3,7,9,5,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2-3*x+1>,[<x^3+864*x+13824,4>,<x^6-432*x^4+44928*x^3-326592*x^2-20155392*x-120932352,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x,2>,<x^6-432*x^4-44928*x^3-326592*x^2+20155392*x-120932352,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,16,8,[[1,2,6,5,3,4],[2,1,5,6,4,3],[1,2,3,4,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[2,1,3,4,5,6],[2,1,4,3,6,5],[1,2,3,4,6,5],[2,1,5,6,3,4],[1,2,6,5,4,3],[2,1,3,4,6,5],[2,1,5,6,4,3],[1,2,6,5,3,4]],[1,2,3,4,6,5],[1,4,3,2,3,6,5,4,9,8],[2,4,8],[[[1,2,6,5,3,4],[2,1,5,6,4,3]],[[1,2,6,5,3,4]],[[1,2,4,3,6,5]]],20,<<[],[1,1,1]>,[[-274746,0],[86872,0],[135380,0],[437192,0],[213194,0],[193432,0],[-448340,0],[8,0],[1,0]]>,[[[20506,0],[-27016,0],[-53836,0],[48632,0],[25054,0],[50336,0],[-46224,0],[65536,0]],[[-20506,0],[27016,0],[53836,0],[-48632,0],[-25054,0],[-50336,0],[46224,0],[65536,0]],[[40040,0],[-43626,0],[49617,0],[10975,0],[32391,0],[29935,0],[51050,0],[11974,0]],[[-40040,0],[43626,0],[-49617,0],[-10975,0],[-32391,0],[-29935,0],[14486,0],[53562,0]],[[-16464,-32928],[38974,-53124],[-47167,36738],[-3225,-6450],[1755,3510],[-23651,-47302],[20767,41534],[45097,24658]],[[16464,32928],[-38974,53124],[47167,-36738],[3225,6450],[-1755,-3510],[23651,47302],[44769,24002],[20439,40878]]]>,<3,6,3,[[3,1,2,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[3,1,2,5,6,4],[2,3,1,6,4,5],[5,4,6,3,2,1],[6,5,4,2,1,3]],[4,6,5,1,3,2],[1,2,7,7,10,10],[2],[[[3,1,2,5,6,4]]],20,<<[],[2,2,1]>,[[-1153252392,-1153252392],[-867073968,0],[1621122771,1621122771],[1,0]]>,[[[2,2],[1,0],[0,0]],[[-138573658,-138573658],[-216095240,0],[53562476,53562476]],[[-320287642,-320287642],[216095239,0],[333858013,333858013]],[[-2,-2],[-1,0],[0,0]],[[320287642,320287642],[-216095239,0],[53562476,53562476]],[[138573658,138573658],[216095240,0],[333858013,333858013]]]>*] [x,x^2+1,x^2+2,x^2-2,x^6-4*x^3+9*x^2+12*x+8,x^3-3*x-10,x^4-8*x-6,0,0,x^4-8*x-6] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,2^2,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3],[11,2],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,11]>,<1,2^3,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3],[11,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[6,11]>,<1,2^3,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3],[11,2],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[6,11]>,<2,2^5*3^4,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]]],[2,3],[11,11],1,[1.000000000,1.123982053,1.009627704],<"notfaithful",0>,[6,11]>,<2,2^3*3^4,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3],[11,12],1,[1.000000000,1.653898930,1.315131442],<"notfaithful",0>,[6,11]>,<3,2^11*3^4,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]]],[2,3],[11,12],1,[1.000000000,1.168013775,1.066350078],<"notfaithful",0>,[6,11]>,<3,2^10*3^4,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1]],[[1],[1]]],[2,3],[11,12],1,[1.000000000,0.8132922446,0.9159890902],<"3.2e10_3e4.6t11.7",1>,[6,11]>,<3,2^11*3^4,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1]],[[1],[1]]],[2,3],[11,12],1,[1.000000000,0.7270242521,0.8835814880],<"3.2e11_3e4.6t11.10",1>,[6,11]>,<3,2^8*3^4,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[-1]]],[2,3],[11,12],1,[1.000000000,1.194407659,0.9477019429],<"notfaithful",0>,[6,11]>]
