x^2 - 1663
x^2 - x - 1663
x^2 - x - 1664
x^2 - x + 1666
x^2 - x - 1669
x^2 - x - 1670
x^2 - x - 1671
x^2 - x - 1672
x^2 - x + 1673
x^2 - x - 1683
x^2 - x + 1685
x^2 - x - 1686
x^2 - x - 1687
x^2 - x - 1689
x^2 - x + 1691
x^2 - x + 1695
x^2 - 1695
x^2 - x - 1695
x^2 - x - 1696
x^2 - x + 1698
x^2 - x - 1698
x^2 - x - 1701
x^2 + 1702
x^2 - x - 1702
x^2 - x - 1704
x^2 - x + 1707
x^2 - x - 1708
x^2 - x - 1710
x^2 - x + 1711
x^2 - x + 1713
x^2 - 1714
x^2 + 1714
x^2 - x + 1716
x^2 - x + 1721
x^2 + 1721
x^2 - x + 1722
x^2 - x - 1723
x^2 - x - 1725
x^2 - x - 1726
x^2 - x + 1727
x^2 - 1731
x^2 - 1735
x^2 - x + 1740
x^2 - x + 1742
x^2 - x - 1745
x^2 - x + 1747
x^2 - x + 1748
x^2 - x + 1749
x^2 - x - 1749
x^2 + 1753
x^2 - x + 1758
x^2 - 1758
x^2 - x - 1761
x^2 - 1762
x^2 - x - 1763
x^2 - x - 1764
x^2 - x - 1765
x^2 - x - 1770
x^2 - 1771
x^2 - x + 1772
x^2 - 1774
x^2 - x - 1774
x^2 - x + 1775
x^2 - 1778
x^2 - x - 1779
x^2 + 1781
x^2 - x + 1782
x^2 - x - 1786
x^2 - 1787
x^2 - x - 1788
x^2 - x + 1791
x^2 - x - 1794
x^2 - x - 1796
x^2 - x + 1800
x^2 - x - 1801
x^2 - x + 1802
x^2 - x + 1803
x^2 - 1803
x^2 - x - 1803
x^2 - 1806
x^2 - x + 1810
x^2 - 1811
x^2 - x - 1812
x^2 - x - 1813
x^2 - x + 1815
x^2 - x - 1816
x^2 - x - 1818
x^2 + 1822
x^2 - x + 1823
x^2 - 1823
x^2 - x + 1827
x^2 - x - 1827
x^2 - x + 1833
x^2 - x - 1833
x^2 - x - 1834
x^2 - x + 1837
x^2 - x + 1838
x^2 - x + 1839
x^2 - 1839
x^2 - x + 1842
x^2 - x - 1843
x^2 - x + 1847
x^2 - 1847
x^2 - x - 1849
x^2 - x + 1851
x^2 - 1851
x^2 + 1853
x^2 - x - 1853
x^2 - x + 1857
x^2 - x - 1857
x^2 - 1858
x^2 - x - 1860
x^2 - x - 1862
x^2 - x - 1863
x^2 - x + 1866
x^2 - 1866
x^2 - x - 1866
x^2 - x + 1868
x^2 - x - 1868
x^2 + 1870
x^2 - x - 1870
x^2 - x - 1872
x^2 + 1873
x^2 - x + 1874
x^2 - 1874
x^2 - x - 1876
x^2 - x - 1878
x^2 - 1882
x^2 + 1882
x^2 - x - 1884
x^2 - x + 1889
x^2 - x - 1890
x^2 - x + 1893
x^2 - x - 1893
x^2 - x - 1894
x^2 - x - 1900
x^2 - x + 1901
x^2 - x + 1905
x^2 - 1906
x^2 - 1907
x^2 - x - 1911
x^2 - x - 1912
x^2 - x + 1913
x^2 + 1913
x^2 - 1915
x^2 - x + 1916
x^2 - x - 1916
x^2 - 1918
x^2 - x - 1918
x^2 - 1919
x^2 - x - 1920
x^2 + 1921
x^2 - x + 1925
x^2 - x + 1926
x^2 - x - 1926
x^2 - x - 1927
x^2 - x + 1929
x^2 - x - 1929
x^2 - x - 1930
