x^3 - x^2 + 16*x + 27
x^3 - x^2 + 9*x + 36
x^3 - x^2 - 16*x + 27
x^3 - x^2 - x - 13
x^3 - x^2 - 12*x + 14
x^3 - x^2 - 17*x + 13
x^3 - x^2 - 18*x + 20
x^3 - x^2 - 18*x - 21
x^3 - x^2 + 11*x - 4
x^3 - 18*x - 12
x^3 - x^2 + 2*x - 14
x^3 - x^2 - 5*x + 16
x^3 + 10*x - 24
x^3 - 11*x - 4
x^3 - x^2 + 8*x + 37
x^3 - x^2 + 10*x - 42
x^3 - x^2 + 7*x - 14
x^3 - x^2 + 11*x - 5
x^3 - x^2 - 10*x + 22
x^3 - x^2 - 11*x - 2
x^3 - x^2 + 14*x + 31
x^3 - x^2 + 13*x - 25
x^3 - 6*x - 41
x^3 - x^2 - 10*x + 46
x^3 - 20*x - 37
x^3 + 15*x - 34
x^3 + 10*x - 6
x^3 - x^2 - x + 14
x^3 - x^2 - 7*x + 18
x^3 - 12*x - 21
x^3 - x^2 - 6*x + 17
x^3 - x^2 - 2*x + 28
x^3 - x^2 + 2*x + 13
x^3 - x^2 + 11*x - 6
x^3 - x^2 + x + 27
x^3 - x^2 + 16*x + 8
x^3 - x^2 + 10*x - 28
x^3 - 4*x - 14
x^3 - x^2 + 11*x - 1
x^3 - x^2 + 19*x - 33
x^3 - x^2 - 2*x - 13
x^3 - 19*x - 42
x^3 + 3*x - 41
x^3 + 5*x - 13
x^3 - x^2 - x - 27
x^3 - x^2 + 13*x + 33
x^3 + 16*x - 12
x^3 - x^2 - 18*x + 33
x^3 - x^2 + 2*x - 28
x^3 - 6*x - 28
x^3 - 11*x - 3
x^3 - x^2 + 22*x - 21
x^3 - x^2 - 14*x - 11
x^3 - x^2 + 14*x - 24
x^3 - x^2 + x - 14
x^3 - x^2 + 14*x - 41
x^3 - x^2 - 6*x - 13
x^3 - x^2 - 7*x + 31
x^3 - x^2 + 17*x + 3
x^3 - x^2 - 13*x - 41
x^3 - x^2 - 11*x + 35
x^3 - x^2 - 15*x + 32
x^3 + 17*x - 6
x^3 - 5*x - 28
x^3 - x^2 + 5*x - 29
x^3 - x^2 - 21*x + 33
x^3 - x^2 + 9*x + 23
x^3 - x^2 - 17*x + 45
x^3 - x^2 - 17*x + 5
x^3 - 6*x - 15
x^3 + 11*x - 24
x^3 - x^2 + 8*x + 24
x^3 - x^2 + x - 42
x^3 - 4*x - 28
x^3 - x^2 + 10*x - 11
x^3 - x^2 + 5*x + 40
x^3 - x^2 + 14
x^3 - x^2 + 9*x - 29
x^3 - x^2 - 8*x - 14
x^3 - x^2 - 11*x + 24
x^3 - 2*x - 14
x^3 - x^2 - 5*x - 13
x^3 - x^2 + 5*x - 15
x^3 - x^2 - 19*x + 36
x^3 - x^2 - 4*x - 13
x^3 - x^2 - 12*x - 5
x^3 - 2*x - 28
x^3 - x - 14
x^3 - x - 28
x^3 - 14
x^3 - x^2 + 4*x - 15
x^3 - 11*x - 1
x^3 - x^2 - 19*x + 42
x^3 - 20*x - 20
x^3 - 12*x - 45
x^3 + 8*x - 11
x^3 - x^2 + 8*x - 14
x^3 + 3*x - 28
x^3 - x^2 - 28
x^3 + 10*x - 7
x^3 - x^2 - 13*x - 8
x^3 - x^2 - 11*x + 8
x^3 - x^2 + 6*x - 15
x^3 - x^2 - 14
x^3 + 11*x - 1
x^3 - x^2 - 12*x + 13
x^3 - x^2 - 20*x + 28
x^3 + 4*x - 28
x^3 - x^2 - 4*x - 41
x^3 - x^2 - 19*x + 23
x^3 - 17*x - 23
x^3 - x^2 - 15*x - 22
x^3 - 21*x - 24
x^3 - x^2 + 11*x - 8
x^3 - x^2 + 5*x + 12
x^3 - x^2 - 6*x + 45
x^3 + 6*x - 13
x^3 - x^2 + 8*x + 9
x^3 + 11*x - 2
x^3 - x^2 - 2*x + 15
x^3 - x^2 + 17*x + 28
x^3 + 14*x - 20
x^3 - x^2 - 14*x + 40
x^3 - x^2 - 14*x + 30
x^3 - x^2 + 10*x + 5
x^3 + 13*x - 22
x^3 - 23*x - 40
x^3 - x^2 - 12*x + 26
x^3 - x^2 - 18*x - 4
x^3 - x^2 - 19*x - 37
x^3 - 13*x - 23
x^3 - x^2 - 18*x + 16
x^3 + 6*x - 28
x^3 - x^2 - x + 29
x^3 - 13*x - 11
x^3 - x^2 + 2*x + 28
x^3 - x^2 - 20*x + 39
x^3 - 3*x - 43
x^3 - x^2 + 18*x - 4
x^3 - 7*x - 16
x^3 - x^2 + 18*x - 8
x^3 + 4*x - 14
x^3 - x^2 - 10*x - 28
x^3 - x^2 - 19*x - 23
x^3 - x^2 - 2*x - 28
x^3 + 11*x - 3
x^3 - 5*x - 15
x^3 - x^2 + x - 29
x^3 - x^2 - 15*x + 54
x^3 + 17*x - 10
x^3 - 7*x - 58
x^3 - x^2 - x - 14
x^3 - x^2 + 7*x - 45
x^3 - x^2 - 17*x - 18
x^3 - x^2 - 11*x + 1
x^3 - x^2 + 5*x + 27
x^3 - x^2 - 21*x - 28
x^3 - x^2 + 2*x - 15
x^3 - x^2 - 19*x - 9
x^3 - 22*x - 37
x^3 + 7*x - 28
x^3 - x^2 + 4*x + 42
x^3 - x^2 - 23*x + 6
x^3 - 19*x - 35
x^3 + 6*x - 43
x^3 - x^2 + 11*x - 9
x^3 - x^2 + 6*x - 45
x^3 - x^2 + 12*x + 52
x^3 - 14*x - 14
x^3 - x^2 - 11*x + 6
x^3 - x^2 + 4*x + 13
x^3 - x^2 - 7*x - 14
x^3 - 15*x - 17
x^3 - x^2 + 11*x + 2
x^3 - x^2 + 17*x + 7
x^3 + 21*x - 23
x^3 - x^2 + 18*x + 27
x^3 - x^2 - 18*x + 48
x^3 - x^2 + 2*x + 43
x^3 - 18*x - 4
x^3 - 7*x - 30
x^3 - x^2 - x + 15
x^3 - x^2 - 11*x + 2
x^3 - 10*x - 19
x^3 - x^2 - 8*x - 42
x^3 - 9*x - 45
x^3 - 8*x - 17
x^3 - x^2 + 10*x + 39
x^3 - x^2 + 18*x - 12
x^3 - x^2 + 12*x - 45
x^3 - x^2 + 2*x + 14
x^3 - x^2 - 3*x + 45
x^3 - x^2 - 11*x + 5
x^3 - x^2 - 11*x - 29
x^3 - x^2 - 6*x + 32
x^3 - x^2 - 8*x - 28
x^3 + 8*x - 28
x^3 + 12*x - 41
x^3 - x^2 - 2*x - 14
x^3 - x^2 - 11*x + 4
x^3 - x^2 + 9*x + 8
x^3 - x^2 + 4*x + 28
x^3 - x^2 + 4*x - 60
x^3 - x^2 + 3*x - 45
x^3 - x^2 - 6*x - 28
x^3 - x^2 - 13*x + 16
x^3 - 12*x - 47
x^3 - x^2 - 3*x + 16
x^3 - x^2 - 2*x + 45
x^3 - 14*x - 25
x^3 - x^2 - 21*x + 42
x^3 - x^2 - 14*x - 10
x^3 - 10*x - 32
x^3 - x^2 + 9*x - 14
x^3 - x^2 + 10*x + 24
x^3 - x^2 - 18*x + 12
x^3 - x^2 + 10*x + 6
x^3 - x^2 + 7*x + 11
x^3 + 7*x - 13
x^3 - 12*x - 6
x^3 + 18*x - 4
x^3 - x^2 - 10*x + 23
x^3 - x^2 + 8*x - 15
x^3 - x^2 - 6*x - 14
x^3 - x^2 + 11*x - 10
x^3 - 3*x - 15
x^3 - 6*x - 45
x^3 - x^2 - 16*x + 26
x^3 - x^2 - 3*x - 14
x^3 - x^2 - 17*x - 35
x^3 + 11*x - 5
x^3 - 14*x - 36
x^3 - x^2 + 22*x + 15
x^3 - x^2 - 3*x + 31
x^3 - x^2 + 5*x - 16
x^3 - x^2 + 15
x^3 - 9*x - 46
x^3 - x^2 + 11*x + 3
x^3 - 2*x - 15
x^3 - 20*x - 31
x^3 - x^2 + 45
x^3 - 3*x - 45
x^3 - x^2 - 10*x + 36
x^3 - x^2 - 3*x - 29
x^3 - x - 15
x^3 - x^2 + 22*x - 30
x^3 - 45
x^3 - 15
x^3 + x - 15
x^3 - x^2 - 5*x - 14
x^3 + 3*x - 45
x^3 - 13*x - 10
x^3 - x^2 + 3*x + 14
x^3 - 23*x - 30
x^3 - x^2 - 13*x - 31
x^3 - x^2 - 45
x^3 - x^2 - 15*x + 43
x^3 + 2*x - 15
x^3 - x^2 - 23*x + 39
x^3 - x^2 + 3*x - 31
x^3 + 9*x - 44
x^3 - x^2 - 18*x + 4
x^3 - x^2 - 15
x^3 - x^2 - 12*x - 3
x^3 - 12*x - 22
x^3 + 6*x - 14
x^3 - x^2 + 13*x - 29
x^3 - x^2 - 14*x - 32
x^3 - x^2 + 18*x + 4
x^3 - x^2 - 15*x - 33
x^3 + 9*x - 11
x^3 - 9*x - 32
x^3 + 3*x - 15
x^3 - 19*x - 10
x^3 - x^2 - 16*x - 15
x^3 + 10*x - 9
x^3 - x^2 - 19*x + 51
x^3 - x^2 + 18*x - 16
x^3 + 5*x - 30
x^3 - x^2 - 12*x + 11
x^3 - x^2 + 3*x - 16
x^3 - x^2 - 16*x + 35
x^3 - x^2 + 16*x - 24
x^3 - x^2 + 15*x - 45
x^3 - x^2 + 6*x + 28
x^3 - x^2 + 17*x - 21
x^3 - x^2 - x + 46
x^3 - 12*x - 5
x^3 - x^2 - 4*x + 17
x^3 - x^2 + 14*x - 28
x^3 + 18*x - 35
x^3 - 19*x - 28
x^3 - x^2 - 2*x - 45
x^3 - x^2 + 7*x - 16
x^3 - x^2 + 11*x - 31
x^3 - x^2 + 6*x - 32
x^3 - x^2 - 14*x + 19
x^3 - 21*x - 48
x^3 - 17*x - 31
x^3 + 11*x - 6
x^3 + 21*x - 27
x^3 - 16*x - 29
x^3 + 4*x - 15
x^3 - x^2 + 20*x - 38
x^3 - x^2 - 4*x - 60
x^3 - 46
x^3 - x^2 - 17*x - 26
x^3 - 15*x - 38
x^3 - x^2 - 11*x + 25
x^3 - x^2 + 12*x - 5
x^3 - x^2 - 21*x + 48
