x^3 - 26*x - 28
x^3 - x^2 - 12*x - 23
x^3 - x^2 - 8*x + 26
x^3 - x^2 - 34*x + 76
x^3 - 20*x - 27
x^3 - x^2 - 33*x + 82
x^3 - x^2 - 17*x - 12
x^3 - x^2 - 10*x - 62
x^3 - x^2 + 2*x - 22
x^3 - x^2 - 30*x + 9
x^3 + 5*x - 21
x^3 - x^2 - 24*x + 49
x^3 - x^2 + 29*x + 16
x^3 - x^2 - 29*x + 67
x^3 - x^2 - 16*x + 19
x^3 - x^2 + 12*x - 19
x^3 - x^2 - 25*x + 62
x^3 - x^2 + 23*x - 19
x^3 - x^2 - 27*x - 50
x^3 - x^2 + 25*x + 36
x^3 - x^2 - 23*x + 3
x^3 - 25*x - 43
x^3 - x^2 + 10*x + 15
x^3 - x^2 - 23*x + 11
x^3 - x^2 + 15*x - 4
x^3 - x^2 + 15*x - 6
x^3 - x^2 - 27*x + 43
x^3 - x^2 - 18*x - 15
x^3 - x^2 - 15*x - 3
x^3 - x^2 - 24*x - 8
x^3 - x^2 + 22*x + 12
x^3 - x^2 - 26*x - 20
x^3 - x^2 + 8*x + 40
x^3 - x^2 - 23*x + 7
x^3 - x^2 - 11*x - 63
x^3 - x^2 + 23*x + 5
x^3 - x^2 - 15*x + 13
x^3 - 21*x - 30
x^3 - x^2 + x - 22
x^3 - x^2 - 21*x - 24
x^3 - x^2 - 17*x + 23
x^3 - 32*x - 73
x^3 - x^2 - 19*x - 18
x^3 - x^2 - 20*x - 21
x^3 - 24*x - 12
x^3 - 25*x - 20
x^3 - x^2 + 7*x + 107
x^3 - x^2 - 14*x + 35
x^3 - 11*x - 46
x^3 - 2*x - 22
x^3 - x^2 + 15*x - 1
x^3 - 22
x^3 - x^2 - 15*x - 2
x^3 - 33*x - 31
x^3 - 16*x - 11
x^3 + 11*x - 17
x^3 - x^2 - 16*x + 18
x^3 - 19*x - 23
x^3 - 26*x - 46
x^3 - 22*x - 33
x^3 - 28*x - 36
x^3 - x^2 + 11*x + 14
x^3 - x^2 - 4*x - 21
x^3 - x^2 + 14*x + 6
x^3 - x^2 - 26*x + 36
x^3 - 15*x - 3
x^3 - x^2 - 31*x + 22
x^3 - x^2 - 16*x - 7
x^3 + 3*x - 111
x^3 - 14*x - 30
x^3 - x^2 - 2*x + 23
x^3 - x^2 - 23*x + 45
x^3 - 34*x - 73
x^3 + 13*x - 13
x^3 - x^2 - 6*x - 21
x^3 - 20*x - 41
x^3 - 18*x - 73
x^3 - x^2 - 25*x + 29
x^3 - x^2 - 28*x + 63
x^3 - x^2 + 20*x - 36
x^3 - 32*x - 66
x^3 - 15*x - 1
x^3 - x^2 - 32*x + 33
x^3 - 24*x - 81
x^3 - x^2 - 31*x + 4
x^3 - x^2 - 20*x + 34
x^3 - x^2 + 2*x - 23
x^3 - x^2 - 32*x - 44
x^3 - 17*x - 15
x^3 - 29*x - 40
x^3 - x^2 - 22*x - 39
x^3 - 27*x - 30
x^3 - x^2 + 13*x + 10
x^3 - 19*x - 39
x^3 - x^2 - 31*x + 13
x^3 - 23*x - 36
x^3 - x^2 - 32*x + 85
x^3 - 16*x - 10
x^3 - 26*x - 24
x^3 - x^2 - 17*x + 22
x^3 - x^2 - 9*x - 22
x^3 + 15*x - 3
x^3 - 20*x - 26
x^3 - x^2 - 15*x + 10
x^3 - x^2 - 18*x - 14
x^3 - 33*x - 27
x^3 - x^2 - 16*x + 17
x^3 - x^2 + 22*x + 16
x^3 - x^2 - 31*x + 74
x^3 - x^2 - 19*x + 30
x^3 - 25*x - 16
x^3 - 27*x - 49
x^3 - x^2 + 15*x + 2
x^3 - x^2 - 16*x - 6
x^3 - x^2 + 20*x + 24
x^3 - x^2 - 33*x - 18
x^3 - x^2 - 18*x + 26
x^3 - 30*x - 44
x^3 - 9*x - 25
x^3 - x^2 - 15*x + 1
x^3 - x^2 + 31*x - 30
x^3 - x^2 + 11*x - 22
x^3 - 30*x - 59
x^3 - x^2 - 29*x + 75
x^3 - 38*x - 93
x^3 - x^2 - 29*x - 31
x^3 - x^2 - 26*x - 38
x^3 - x^2 + 12*x + 13
x^3 - x^2 - 22*x + 41
x^3 - x^2 - 26*x - 16
x^3 - x^2 + 10*x - 23
x^3 - x^2 - 17*x - 10
x^3 - x^2 + 12*x + 63
x^3 - x^2 - 15*x + 2
x^3 - x^2 - 8*x - 44
x^3 + 15*x - 40
x^3 + 15*x - 5
x^3 + 30*x - 27
x^3 - x^2 - 15*x + 8
x^3 - 16*x - 9
x^3 - x^2 + 12*x - 21
x^3 - x^2 - 3*x - 22
x^3 - 24*x - 39
x^3 + 14*x - 11
x^3 - 10*x - 26
x^3 - x^2 + 3*x + 22
x^3 - x - 23
x^3 - 23
x^3 - x^2 - 24*x + 4
x^3 - x^2 - 27*x - 21
x^3 - 17*x - 14
x^3 - x^2 - 27*x + 39
x^3 - x^2 + 15*x - 13
x^3 - 33*x - 23
x^3 - x^2 - 33*x + 69
x^3 - x^2 - 15*x + 4
x^3 - x^2 - 15*x + 6
x^3 + 11*x - 44
x^3 + 5*x - 46
x^3 - x^2 - 24*x + 8
x^3 - x^2 - 15*x + 5
x^3 - x^2 - 22*x - 26
x^3 - x^2 - 6*x + 26
x^3 - x^2 - 32*x - 3
x^3 + 15*x - 6
x^3 - x^2 + 27*x + 36
x^3 - x^2 - 16*x - 5
x^3 - 23*x - 102
x^3 - 32*x - 52
x^3 - 33*x - 22
x^3 - x^2 + 20*x + 80
x^3 - x^2 - 20*x + 49
x^3 - x^2 - 33*x + 36
x^3 - x^2 - 26*x + 32
x^3 - x^2 + 12*x + 40
x^3 - x^2 + 5*x - 118
x^3 - 25*x - 12
x^3 - 36*x - 45
x^3 - x^2 - 17*x + 42
x^3 - x^2 - 28*x + 44
x^3 - x^2 - 30*x + 70
x^3 - x^2 - 23*x + 57
x^3 - x^2 + 22*x + 51
x^3 - x^2 - 4*x - 92
x^3 - x^2 - 4*x + 25
x^3 + 12*x - 17
x^3 - 33*x - 56
x^3 - x^2 - 14*x + 78
x^3 + 6*x - 70
x^3 + 27*x - 45
x^3 - 9*x - 48
x^3 + 9*x - 21
x^3 - x^2 - 31*x + 59
x^3 - x^2 - 18*x - 13
x^3 - 8*x - 25
x^3 - x^2 - 29*x + 49
x^3 - x^2 + 15*x - 14
x^3 + 13*x - 15
x^3 - x^2 + 22*x - 66
x^3 - 26*x - 20
x^3 - x^2 - 20*x - 52
x^3 - 3*x - 94
x^3 + x - 94
x^3 - x^2 + 6*x + 21
x^3 - x^2 + 21*x - 37
x^3 - x^2 - 16*x + 15
x^3 - x^2 - 32*x + 6
x^3 - x^2 - 17*x - 9
x^3 - x^2 + 24*x + 8
x^3 - x^2 - 32*x + 15
x^3 - x^2 - 18*x + 25
x^3 - x^2 - 34*x + 43
x^3 - x^2 - 20*x + 33
x^3 - x^2 - x + 24
x^3 - x^2 - 36*x + 93
x^3 - x^2 - 12*x + 100
x^3 - 16*x - 7
x^3 - 17*x - 13
x^3 - x^2 + 6*x - 25
x^3 - x^2 - 12*x - 92
x^3 + 8*x - 22
x^3 - 71
x^3 - x^2 - 19*x + 29
x^3 - x^2 - 37*x + 64
x^3 + 6*x - 23
x^3 - x^2 + 7*x - 25
x^3 - x^2 + 12*x - 22
x^3 - x^2 - 25*x + 21
x^3 - 25*x - 8
x^3 - 33*x - 69
x^3 - x^2 - 28*x - 24
x^3 - x^2 - 35*x + 96
x^3 - x^2 - 33*x - 9
x^3 - x^2 - 26*x + 55
x^3 - x^2 + 13*x + 12
x^3 - x^2 - 5*x + 26
x^3 - x^2 - 35*x + 89
x^3 - x^2 - 3*x + 25
x^3 - x^2 - 12*x - 25
x^3 - x^2 - 19*x - 16
x^3 - x^2 - 26*x - 12
x^3 - x^2 + 8*x - 25
x^3 - x^2 - 25*x - 3
x^3 - 33*x - 14
x^3 - 16*x - 6
x^3 - x^2 + 4*x - 25
x^3 - x^2 - 16*x + 14
