x^3-x^2+10*x+15 -3*5*29^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 17 x-1 5 [[-110817],[-232835],[343653]] 2 [3,1,1,2,2,2,1,3,3,2,3,2,2,2,3,1,2,3,2,2,2,1,1,2,2,2,2,3,3,3,2,2,3,1,2,3,2,2,3,3,2,1,2,2,3,3,3,2,3,1,1,2,3,2,3,3,2,3,2,2,2,3,2,2,2,3,3,2,1,1,3,2,2,2,1,3,2,2,2,3,2,3,2,2,3,3,2,2,2,2,3,2,2,2,3,1,2,2,2,3,2,3,3,2,3,2,1,3,2,1,2,2,3,1,1,2,2,3,1,2,3,2,3,3,3,2,3,2,2,2,1,1,3,2,2,3,3,2,3,2,3,2,2,1,3,2,2,3,3,1,2,2,2,3,2,2,3,2,2,2,1,1,2,2,3,1,1,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[1183968429,1118370939,1]>,[[-1206151998,0],[-1118370937,-1],[2,1]]>,<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-30476882062265,6840301215225,1]>,[[6840301215226,0],[-6840301215225,-1],[0,1]]>,<29,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,24,1]>,[[1015,0],[290,0],[29,0],[1,0]]>,[[[-25502692220852054205611055432,-68498190408403828632970911436],[299200258396075704853574985,279235906807589287470249985],[-351761272011752471801531799,1496501872313185166411251434]],[[10,0],[1,0],[0,0]],[[25502692220852054205611055423,68498190408403828632970911436],[-299200258396075704853574986,-279235906807589287470249985],[351761272011752471801531799,-1496501872313185166411251434]]]>*] [x,x^2-x+4,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*5,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,29],[4,4,2],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[3,2]>,<2,3*5*29^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[3,5,29],[4,4,5],1,[1.000000000,1.086553603,0.8946313826],<"2.3_5_29e2.3t2.1",1>,[3,2]>]
x^4-2*x^3+10*x^2-9*x-301 -5^2*11*257^2 2 1 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 31 x-1 6 [[-291348135],[352711402],[-352711401],[291348136]] 4 [5,2,3,4,4,5,5,5,3,4,1,1,5,4,2,1,2,4,3,3,5,4,4,2,2,5,1,4,5,3,4,5,3,4,5,5,3,2,4,5,3,3,3,5,5,1,4,3,5,3,4,4,4,3,1,4,3,5,4,5,5,5,5,3,2,3,3,4,4,4,1,5,1,5,2,1,3,3,1,5,1,3,5,3,5,1,3,5,5,1,1,4,1,4,2,5,3,3,5,5,4,4,5,5,4,2,3,5,3,5,4,5,2,3,2,3,3,3,3,5,3,5,4,3,3,4,2,2,3,4,4,4,3,1,5,4,3,5,3,5,5,4,3,4,1,1,4,4,2,3,4,3,2,5,3,2,5,2,4,5,3,4,5,1,1,2,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-9,2>,<x^2+16*x+4915,3>]*],[*[4],"CYC",0,5*]] [*<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,2,1]>,[[-385014597,1358377603],[385014598,-1358377603],[-443445289,137685444],[443445290,-137685444]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[27085695703745,-3841344981850],[22146562313600,-36610434663510],[1,0]]>,[[[-22146562313600,36610434663511],[-1,0]],[[0,1],[1,0]],[[1,-1],[-1,0]],[[22146562313601,-36610434663511],[1,0]]]>,<7,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[3,6,1]>,[[20657347317381271,0],[-20657347317381270,0],[2424484706148376,-1091654295512732],[-2424484706148375,1091654295512732]]>,<11,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,7,1]>,[[257687908881834475715,0],[11,0],[1,0]]>,[[[275449128335780492389,270914035219525857597],[0,0]],[[-275449128335780492388,-270914035219525857597],[0,0]],[[-5,0],[-1,0]],[[6,0],[1,0]]]>,<257,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-229292663439072062455476273565581948769211687872,-657771888402178143638305063707004449780059059377,1]>,[[657771888402178143638305063707004449780059059552,-1],[175,1],[-174,-1],[-657771888402178143638305063707004449780059059551,1]]>*] [x,x^2-x-321,x^2-x+3,x^2-x+3534,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,7,11,257],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5*257,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,7,11,257],[1,6,1,1,6],1,[1.000000000,1.134316172,0.9170411477],<"notfaithful",0>,[4,3]>,<1,11,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,7,11,257],[1,1,4,6,1],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[4,3]>,<1,5*11*257,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,7,11,257],[1,6,3,6,6],1,[1.000000000,3.170904865,1.486912303],<"notfaithful",0>,[4,3]>,<2,5*11*257,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[3,5,7,11,257],[2,6,3,6,7],1,[1.000000000,0.3799228257,0.7291395699],<"2.5_11_257.4t3.3",1>,[4,3]>]
x^4-2*x^3-34*x^2+35*x-15 -5^2*11*257^2 2 1 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 31 x-1 6 [[-25415746],[304473986],[-304473985],[25415747]] 4 [5,1,1,4,4,5,5,5,3,4,1,2,5,4,1,2,2,4,3,3,5,4,4,2,1,5,2,4,5,3,4,5,3,4,5,5,3,1,4,5,3,3,3,5,5,1,4,3,5,3,4,4,4,3,3,4,3,5,4,5,5,5,5,3,1,3,3,4,4,4,2,5,2,5,2,2,3,3,1,5,1,3,5,3,5,2,3,5,5,2,2,4,2,4,2,5,3,3,5,5,4,4,5,5,4,1,3,5,3,5,4,5,1,3,2,3,3,3,3,5,3,5,4,3,3,4,2,2,3,4,4,4,3,2,5,4,3,5,3,5,5,4,3,4,1,1,4,4,2,3,4,3,1,5,3,2,5,2,4,5,3,4,5,1,2,1,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+35,2>,<x^2-72*x+1395,3>]*],[*[4],"CYC",0,5*]] [*<3,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-82788909,82788910,-178412974,178412975]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-26173460074415,-33002827929945,1]>,[[33002827929945,-1],[0,1],[1,-1],[-33002827929944,1]]>,<11,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,7,1]>,[[257687908881834475693,0],[11,0],[1,0]]>,[[[33592976229720906503,297919419608160262944],[0,0]],[[-33592976229720906502,-297919419608160262944],[0,0]],[[-5,0],[-1,0]],[[6,0],[1,0]]]>,<257,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,251,1]>,[[-67800969628850534003982151039948792425479057939,-6870232323075612425781180666758543493919893101],[-61728167036600211969951692417583051588442150800,-120094933062387349130464941518483487018828483325],[1,0]]>,[[[61728167036600211969951692417583051588442150990,120094933062387349130464941518483487018828483476],[-1,0]],[[190,151],[1,0]],[[-189,-151],[-1,0]],[[-61728167036600211969951692417583051588442150989,-120094933062387349130464941518483487018828483476],[1,0]]]>*] [x,x^2-x-321,x^2-x+3,x^2-x+3534,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,11,257],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5*257,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,11,257],[1,6,1,6],1,[1.000000000,1.134316172,0.9170411477],<"notfaithful",0>,[4,3]>,<1,11,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,11,257],[1,1,6,1],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[4,3]>,<1,5*11*257,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,11,257],[1,6,6,6],1,[1.000000000,3.170904865,1.486912303],<"notfaithful",0>,[4,3]>,<2,5*11*257,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[3,5,11,257],[1,6,7,7],1,[1.000000000,2.001469863,1.231168501],<"2.5_11_257.4t3.4",1>,[4,3]>]
x^4-2*x^3-3*x^2+4*x+39 5^2*7^2*641 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 13 x-1 6 [[1462474],[-1462473],[-2141523],[2141524]] 3 [3,4,1,1,2,1,4,5,5,4,5,3,5,5,4,5,3,5,5,2,2,2,4,3,4,5,2,5,4,5,5,3,3,5,2,2,2,3,4,2,4,5,1,3,5,5,4,4,4,3,3,1,3,5,4,5,3,3,3,1,4,2,4,5,4,3,4,5,5,3,2,1,2,5,1,2,2,4,4,5,5,1,4,1,5,3,4,5,3,3,1,3,3,4,1,1,5,5,1,2,5,5,4,2,1,1,4,4,4,3,4,3,5,3,2,1,2,4,5,2,3,3,1,5,3,4,4,5,4,4,1,3,2,5,5,3,4,2,4,4,5,2,3,3,5,3,4,4,5,5,3,5,3,1,5,4,4,3,2,5,5,5,3,5,5,4,1,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+4,2>,<x^2-10*x-616,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[4,3,2,1],[1,3],[1],[[]],20,<[],[1,1,1]>,[[146324,88413],[-57910,88413],[-146323,-88413],[57911,-88413]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[12908774450740,-18763581152330,1]>,[[18763581152334,-1],[4,1],[-3,-1],[-18763581152333,1]]>,<7,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[15308613320116417,36073110301943092,1]>,[[-36073110301943086,-1],[6,1],[-5,-1],[36073110301943087,1]]>,<641,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[67766667865398349749296806590912416499904662046418516616,641,1]>,[[49561466023703608327624100053924195686546022350633589258,0],[-49561466023703608327624100053924195686546022350633589257,0],[-320,-1],[321,1]]>*] [x,x^2-x+9,x^2-x-160,x^2-x+5609,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,7,641],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,7,641],[3,6,6,1],1,[1.000000000,1.062052159,0.9100948684],<"notfaithful",0>,[4,3]>,<1,641,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,7,641],[1,1,1,6],1,[1.000000000,1.975140591,1.279553463],<"notfaithful",0>,[4,3]>,<1,5*7*641,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,7,641],[3,6,6,6],1,[1.000000000,0.6711766113,0.7318475721],<"notfaithful",0>,[4,3]>,<2,5*7*641,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,5,7,641],[3,6,6,6],1,[1.000000000,1.913144475,1.141472238],<"2.5_7_641.4t3.1",1>,[4,3]>]
x^4-x^3-28*x^2+71*x+421 5^2*7^2*641 0 2 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 73 x-1 5 [[-601687731],[-802608248],[370290784],[1034005196]] 3 [3,4,3,2,2,2,4,5,5,4,5,3,5,5,4,5,3,5,5,2,1,2,4,3,4,5,1,5,4,5,5,3,3,5,2,2,1,3,4,1,4,5,1,3,5,5,4,4,4,3,3,1,3,5,4,5,3,3,3,1,4,1,4,5,4,3,4,5,5,3,1,1,1,5,1,1,2,4,4,5,5,1,4,2,5,3,4,5,3,3,2,3,3,4,1,2,5,5,2,2,5,5,4,2,1,2,4,4,4,3,4,3,5,3,2,1,1,4,5,2,3,3,2,5,3,4,4,5,4,4,1,3,2,5,5,3,4,1,4,4,5,2,3,3,5,3,4,4,5,5,3,5,3,2,5,4,4,3,1,5,5,5,3,5,5,4,1,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-34,2>,<x^2-151*x+4258,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[410668,162393],[248275,-162393],[29461,62504],[-33043,-62504]]>,<3,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[2,2,1]>,[[884229155,234112013],[416005129,-234112013],[-36887218,0],[-101085598,0]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[7480703263040,32767680824905],[32501387811145,40092551815735],[1,0]]>,[[[-32501387811143,-40092551815731],[-1,0]],[[2,4],[1,0]],[[-45811539068504,27296306012236],[-8124679974107,-57180705892]],[[-17054504760979,12796245803491],[8124679974107,57180705892]]]>,<7,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[1],[[[2,1,4,3]]],20,<<[],[3,6,1]>,[[-1550563587537314,-20305954885143655],[-33633393523015867,2087579875263386],[1,0]]>,[[[33633393523015867,-2087579875263382],[-1,0]],[[0,4],[1,0]],[[-27840451238178449,26996860839563128],[3259692632989274,-4464302695486573]],[[-5792942284837417,-24909280964299750],[-3259692632989274,4464302695486573]]]>,<641,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[49771794754192024662048833997363210639499553114989053717,34686104815831304304681449005091098744137807686354191693,1]>,[[-12936424137426657868829664771560627467107312422103350457,0],[47622528953257962173511113776651726211245120108457541909,0],[-34686104815831304304681449005091098744137807686354191572,-1],[121,1]]>*] [x,x^2-x+9,x^2-x-160,x^2-x+5609,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,641],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,641],[3,1,6,6,1],1,[1.000000000,1.062052159,0.9100948684],<"notfaithful",0>,[4,3]>,<1,641,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,7,641],[1,4,1,1,6],1,[1.000000000,1.975140591,1.279553463],<"notfaithful",0>,[4,3]>,<1,5*7*641,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,7,641],[3,3,6,6,6],1,[1.000000000,0.6711766113,0.7318475721],<"notfaithful",0>,[4,3]>,<2,5*7*641,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,3,5,7,641],[3,3,6,6,7],1,[1.000000000,0.8212000961,0.9893229636],<"2.5_7_641.4t3.2",1>,[4,3]>]
