x^2+1402 -2^3*701 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 17 x-1 5 [[-641475],[641475]] 2 [1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[1402,0,1]>,[[0,1],[0,262143]]>,<701,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1402,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,701],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*701,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,701],[3,3],1,[1.000000000,0.5873188042,0.8435337582],<"1.2e3_701.2t1.2",1>,[2,1]>]
x^6+6*x^4-3*x^3+18*x^2-12*x+8 -2^3*3^6*37^2 0 3 48 "C2*S4" [[4,2,3,1,6,5],[2,4,6,1,3,5],[1,2,3,6,5,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,3,2,6,1,4]>,<2,3,[1,3,2,4,5,6]>,<2,3,[1,3,2,6,5,4]>,<2,6,[4,2,3,1,6,5]>,<2,6,[4,3,2,1,6,5]>,<3,8,[2,4,6,1,3,5]>,<4,6,[1,6,4,2,5,3]>,<4,6,[5,6,4,2,1,3]>,<6,8,[2,6,4,1,3,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 41 x^2+38*x+6 9 [[135060288743902,0],[28514781092844,-24248976255732],[-13099314638854,142379793923230],[-32169924371223,24248976255732],[67114702591549,0],[141961400975743,-142379793923230]] 6 [3,1,10,10,9,6,7,9,10,10,6,6,5,9,8,8,7,8,7,6,4,8,9,4,5,6,8,9,8,7,10,1,5,4,8,10,10,9,10,6,7,10,3,5,8,6,7,10,7,10,9,10,9,7,4,6,6,10,8,4,5,8,7,3,5,8,9,7,7,10,7,8,10,10,7,10,3,10,4,9,5,8,10,4,6,9,7,9,10,8,7,10,8,5,9,2,6,5,9,8,5,10,4,7,7,5,7,9,8,4,6,10,9,4,8,5,5,10,2,9,6,7,8,7,7,10,8,6,6,10,7,8,3,8,5,5,8,7,3,7,7,8,3,7,6,8,8,7,9,8,3,9,5,8,9,10,8,5,7,6,1,9,6,5,7,6,6,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3+21*x^2-150*x-3984,4>,<x^6-24*x^5-150*x^4+120*x^3+48357*x^2+761400*x+2904984,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+15,2>,<x^6+24*x^5+426*x^4+5208*x^3+35397*x^2+122472*x+170424,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,4,2,[[1,2,3,4,6,5],[1,3,2,4,5,6]],[[1,2,3,4,5,6],[1,3,2,4,5,6],[1,2,3,4,6,5],[1,3,2,4,6,5]],[1,3,2,4,5,6],[1,3,3,4],[3],[[[1,2,3,4,6,5]]],20,<<[],[1,1,1]>,[[332814,0],[360612,0],[1,0]]>,[[[-350897,0],[0,0]],[[-246424,-176875],[0,0]],[[-69549,176875],[0,0]],[[-53702,0],[0,0]],[[32442,0],[32766,0]],[[-32766,0],[-32766,0]]]>,<3,6,6,[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[2,3,1,5,6,4]],[1,2,3,4,5,6],[1,5,7],[1,2],[[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[2,3,1,5,6,4]]],20,<[],[494757111,1484271333,-1358660364,-1704321882,-1064682984,-1708535688,1]>,[[-301193839,-193877220,353272387,152974134,286851228,472026598],[518923913,-191269962,-480796148,-290708905,68833002,-185223014],[-7787758,385147182,127523761,137734771,-355684230,-286803584],[156639262,25581831,76558767,33295746,296725010,347630400],[-255627182,-340019733,336000915,117409881,290912624,91192097],[-110954396,314437902,362281296,236714862,187203344,336018481]]>,<37,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,6,5,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,33,1]>,[[9112349988996696700056222843098,-3716638522460530746655388930406],[7395432724499686403636717753779,-4066780843196574843342662545103],[1,0]]>,[[[-8389594956611415246237002167132,-10628899773363589180107434367447],[0,0]],[[-4473157435530353202985474843396,10628899773363589180107434367447],[0,0]],[[-7395432724499686403636717753779,4066780843196574843342662545120],[-1,0]],[[0,17],[1,0]],[[862550870218124754903418102336,-8929984175262989273006559897152],[302679596161191421037581196083,67108202657451915405016298033]],[[-3726849420237828628730477124830,4863203332066414429663897352015],[-302679596161191421037581196083,-67108202657451915405016298033]]]>*] [x,x^2-222,x^2-x+28,x^2+2,x^6-78*x^4+1632*x^2-14208,x^3+3*x-12,x^4-2*x^3+9*x^2-2*x-5,0,0,x^4-2*x^3+9*x^2-2*x-5] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,37],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,2^3*3*37,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,37],[11,11,11],1,[1.000000000,0.7647262465,0.9398982425],<"notfaithful",0>,[6,11]>,<1,3*37,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,37],[1,11,11],1,[1.000000000,2.385494229,1.398869164],<"notfaithful",0>,[6,11]>,<1,2^3,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,37],[11,1,2],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[6,11]>,<2,2^6*3^3*37,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,3,37],[11,11,12],1,[1.000000000,1.433887853,1.060520604],<"notfaithful",0>,[6,11]>,<2,3^3*37,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,37],[1,11,12],1,[1.000000000,2.486992767,1.662383823],<"notfaithful",0>,[6,11]>,<3,2^6*3^3*37,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[-1]],[[1],[-2],[1]]],[2,3,37],[11,12,13],1,[1.000000000,0.9296623563,0.8964013858],<"notfaithful",0>,[6,11]>,<3,2^3*3^3*37,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[0],[-1]],[[1],[-1]],[[1],[2],[1]]],[2,3,37],[11,12,13],1,[1.000000000,1.530099100,1.177870560],<"3.2e3_3e3_37.6t11.4",1>,[6,11]>,<3,2^3*3^4*37^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[0],[-1]],[[1]],[[1],[1]]],[2,3,37],[11,12,13],1,[0,0,0],<"3.2e3_3e4_37e2.6t11.4",1>,[6,11]>,<3,2^6*3^4*37^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]],[[1]],[[1],[-1]]],[2,3,37],[11,12,13],1,[0,0,0],<"notfaithful",0>,[6,11]>]
x^6-2*x^5-5*x^4+24*x^3-37*x^2+170*x-367 2^6*7^3*331^2 2 2 12 "D12" [[5,6,4,3,1,2],[1,3,2,6,5,4],[2,1,3,4,6,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,6,4,3,1,2]>,<2,3,[2,1,3,4,6,5]>,<2,3,[6,5,4,3,2,1]>,<3,2,[3,1,2,6,4,5]>,<6,2,[4,5,6,2,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 29 x^2+24*x+2 7 [[-2248571567,-6642382611],[328847252,0],[1919724316,6642382611],[6395544203,6553027773],[4371764432,-6553027773],[6482567675,0]] 3 [3,3,4,3,6,2,4,5,6,3,5,3,6,4,3,5,3,6,4,4,6,4,5,4,6,6,1,6,5,5,4,1,3,5,5,6,4,4,1,4,4,2,4,5,1,3,6,1,3,6,5,4,4,3,2,6,4,5,3,5,1,4,3,3,4,3,2,1,4,6,4,2,1,3,6,3,5,6,5,6,5,3,4,4,3,2,1,5,4,4,3,3,4,6,6,5,6,6,3,3,4,3,1,5,6,2,5,6,4,4,5,3,3,3,6,3,3,5,3,4,6,3,6,4,3,5,3,3,3,4,4,4,4,1,2,2,4,5,6,3,1,3,4,4,4,1,4,4,5,6,5,4,6,1,4,6,6,2,6,4,6,1,6,3,3,5,4,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x+38,2>,<x^3-14*x^2+6644*x-85528,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[2,1,4,3,6,5],[5,6,3,4,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,3,4,1,2],[6,5,4,3,2,1]],[5,6,3,4,1,2],[1,4,3,2],[2],[[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[26416,189154],[440646,-230194],[1,0]]>,[[[1,0],[1,0]],[[-47429,-31950],[-1,0]],[[62909,0],[27124,-12165]],[[-1,0],[-27124,12165]],[[1,0],[27123,-12165]],[[-15479,31950],[-27123,12165]]]>,<3,2,1,[[1,3,2,5,4,6]],[[1,2,3,4,5,6],[1,3,2,5,4,6]],[1,3,2,5,4,6],[1,3],[1],[[]],20,<[],[2,2,1]>,[[271163531,0],[-1524154543,550204721],[862220416,-550204721],[-49509368,86072397],[165766327,-86072397],[-112906850,0]]>,<5,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,4],[1],[[]],20,<[],[2,4,1]>,[[-6360875957170,31933251564543],[17675017916384,44746713604083],[-38726450574717,-31933251564543],[29423026781302,-44746713604083],[-3988664496006,-6260024288585],[1977946330209,6260024288585]]>,<7,4,2,[[2,1,4,3,6,5],[5,6,3,4,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,3,4,1,2],[6,5,4,3,2,1]],[5,6,3,4,1,2],[1,4,3,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,6,1]>,[[-3275753214284068,0],[-3275753214284061,0],[1,0]]>,[[[-30478187218652400,16983985228700544],[-281065209325440,1806127461120377]],[[-33353489928143108,28778303172758298],[281065209325440,-1806127461120377]],[[3275753214284063,0],[-1,0]],[[2,0],[1,0]],[[27202434004368338,-16983985228700544],[281065209325441,-1806127461120377]],[[33353489928143107,-28778303172758298],[-281065209325441,1806127461120377]]]>,<331,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,3,4],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,326,1]>,[[95369203788249959642028328673901882866424463036014,-32101973369446518226003081794117375100467213679157],[-44412222615490725194074551982159737258342666579986,-92266206688096067593204817088611704427456630235978],[1,0]]>,[[[-44412222615490725194074551982159737258342666580225,-92266206688096067593204817088611704427456630236480],[0,0]],[[-119650736669476092499364025960877369213900241327466,92266206688096067593204817088611704427456630236480],[0,0]],[[44412222615490725194074551982159737258342666580106,92266206688096067593204817088611704427456630236229],[-1,0]],[[120,251],[1,0]],[[-9839405207354315011619023799362272158121983170163,73462217438116432687700405174781691924396642810843],[-256106567549603454091067070951715897183147950644,12587447731901083150908155587652637271456699456]],[[-119716650638651438792240585321298650159435784029971,83478368389269346022318412818144895179604735480278],[256106567549603454091067070951715897183147950644,-12587447731901083150908155587652637271456699456]]]>*] [x,x^2+2317,x^2-x+83,x^2-7,x^3-x^2+13*x-37,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,13,331],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^2*7*331,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,7,13,331],[7,3,3,7,1,7],1,[1.000000000,0.7831917460,0.8782025185],<"notfaithful",0>,[6,3]>,<1,331,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,13,331],[2,2,1,2,2,7],1,[1.000000000,0.5180326472,0.7273844767],<"notfaithful",0>,[6,3]>,<1,2^2*7,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,13,331],[7,1,2,7,2,2],1,[1.000000000,1.046454885,1.065817093],<"notfaithful",0>,[6,3]>,<2,2^2*7*331,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,5,7,13,331],[7,3,3,7,1,7],1,[1.000000000,2.342727626,1.375085175],<"notfaithful",0>,[6,3]>,<2,2^2*7*331,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]]],[2,3,5,7,13,331],[7,3,3,7,2,7],1,[1.000000000,0.6644666076,0.7915379551],<"2.2e2_7_331.6t3.5",1>,[6,3]>]
