x^8-3*x^7+552*x^6-525*x^5+100941*x^4+37495*x^3+7807718*x^2+7799441*x+236066741 5^6*11^4*41^6 0 4 8 "Q8" [[3,6,2,8,7,1,4,5],[2,1,6,5,4,3,8,7],[8,7,4,6,3,5,1,2]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[2,1,6,5,4,3,8,7]>,<4,2,[8,7,4,6,3,5,1,2]>,<4,2,[3,6,2,8,7,1,4,5]>,<4,2,[5,4,8,1,2,7,3,6]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 131 x-1 5 [[-3935232910],[-6475934917],[-792521620],[-6852761215],[-17796813244],[684632437],[-12733174347],[9322316168]] 2 [4,5,1,5,3,5,5,3,4,3,2,4,1,4,5,5,2,2,5,3,4,3,4,3,5,3,4,4,3,4,4,1,5,1,3,3,5,4,5,4,3,3,3,5,4,3,3,4,5,3,5,3,1,1,5,5,2,2,4,3,4,5,4,3,5,5,3,4,5,1,4,1,4,4,1,5,2,5,1,1,2,3,2,4,3,4,2,5,1,5,4,3,4,1,3,5,3,3,4,1,5,5,5,2,3,5,5,5,2,3,4,4,4,1,2,3,5,4,5,3,2,5,4,5,3,2,3,3,5,4,2,4,3,5,2,2,5,4,4,3,2,1,5,5,2,3,4,4,1,4,4,2,5,5,4,2,3,3,5,1,4,4,5,3,5,4,3,5] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1,3],x^2>,[<x+8,3>,<x-1133,4>,<x+2188,5>]*]] [*<3,4,1,[[2,4,1,3,8,7,5,6]],[[1,2,3,4,5,6,7,8],[4,3,2,1,6,5,8,7],[2,4,1,3,8,7,5,6],[3,1,4,2,7,8,6,5]],[2,4,1,3,8,7,5,6],[1,2,5,5],[1],[[]],20,<[],[2,0,0,2,1]>,[[1621988985,-811962947,374909075,1363967146],[-1575393190,1281410830,437053872,144701113],[-990687672,-1281410830,1133759184,1426111943],[-356127157,811962947,1541062270,552004199],[-169100594,-251785197,530651702,226477157],[439248496,251785197,-329482585,-25308040],[-567618195,197348484,-278866505,381871933],[435427863,-197348484,77697388,579220417]]>,<5,4,4,[[2,4,1,3,6,8,5,7]],[[1,2,3,4,5,6,7,8],[4,3,2,1,8,7,6,5],[2,4,1,3,6,8,5,7],[3,1,4,2,7,5,8,6]],[1,2,3,4,5,6,7,8],[1,2,4,4],[1],[[[2,4,1,3,6,8,5,7]]],20,<[],[40123910777195,-5970686823870,-33965536178790,-33204374554325,1]>,[[27225968356474,1556254101169,3465734477732,5977275107111],[-40801645344426,7606158798403,-987117152854,8158471239299],[46780051542289,-9162412899573,-2478617324878,4937739981715],[4,1,0,0],[37991377469628,4215481285324,-5465082803534,4015898477637],[1750321812178,3958947816143,6139333668117,-3273796674566],[32732104657853,3283342136557,1637011908428,6792542804101],[-10310746853372,7615715090101,-2311262773011,-7534644607172]]>,<11,4,2,[[7,8,5,6,4,3,2,1]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[7,8,5,6,4,3,2,1],[8,7,6,5,3,4,1,2]],[7,8,5,6,4,3,2,1],[1,2,3,3],[1],[[[2,1,4,3,6,5,8,7]]],20,<<[],[2,7,1]>,[[-260814763696242129869,20531499831866493459],[249714810620726691735,-273946294811098331653],[1,0]]>,[[[-76394436929620065953,48462968380743279906],[29309933017440146507,0]],[[225483326430355051769,225483326430355051766],[-29309933017440146507,0]],[[-249714810620726691726,273946294811098331662],[-1,0]],[[9,9],[1,0]],[[191941352723691149800,116780243913572799199],[10616385810324799929,20386363482804848764]],[[331719752708133873590,282023456207888878331],[-10616385810324799929,-20386363482804848764]],[[308721596637263949008,115546915794071083846],[1692816275689502185,10616385810324799928]],[[-59006786016537257293,283256784327390593683],[-1692816275689502185,-10616385810324799928]]]>,<41,4,4,[[2,4,1,3,7,5,8,6]],[[1,2,3,4,5,6,7,8],[4,3,2,1,8,7,6,5],[2,4,1,3,7,5,8,6],[3,1,4,2,6,8,5,7]],[1,2,3,4,5,6,7,8],[1,2,3,3],[1],[[[2,4,1,3,7,5,8,6]]],20,<[],[79543915007800552155728801701559,81571216105628264025671292366276,44654593499380040044824800645776,-84694231093755217485599001972047,1]>,[[-52396651087994544884255475803752,1438269423196416675471172561034,245020362261096773541362150088,1499891167475341410155199968552],[-78561182215981006709888256823930,-1322835088196169008487766688734,-38463407453440128706391879056,469090953180797835003891669134],[35484281441309839576712888534955,-115434335000247666983405872301,-206556954807656644834970271032,-1968982120656139245159091637686],[9,1,0,0],[84653848792784406491447001778501,-1754222876424429011139506474104,245020362261096773541362150088,1499891167475341410155199968552],[26105183814668883446276784995329,-517636115044784476039910165438,-1136536979459576967541078707780,559153910225912227578871717304],[4983328997999314262994306225009,-75917969040251728618058236961,1218520019029654902842986046254,-1519153362260721197015546456036],[-20268809742786892183287248906118,-2046559209159337942813009173858,-327003401831174708843269488562,-539891715440532440718525229820]]>,<401,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-3746334029439315311191080541941314989893675956099978,-5033954401811116016634690893273352247246519787908437,1401954940333580526925947160094459972336456448982031,-945678456972405885693968195596586484735882745172100,4935781659997504166484611906753058005592698953538045,-95460936395712367777060805079938517485589303810545,6360967561264026694869333214195069430468714560668,-10284046486782918299633255656055804080881171569402]>,<168391,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-162793785923369584515973554279124817774199281099545738653427007780907384026277323993036151349163053032462,131092757914659782555653179199177098969324740576677876672251271463093761065198126458264711027859883932871,-125627030657476497977120243585145032484298677892060199933070199992294307903053294217259214786804131616014,112800998173841648783173442217061981306362100252284949311186513315033206887430473604206312252986362823880,4298293903428774305839462283181461197060213807928486995645427005276721292774606551710897478413951698876,-116020266294028387518071210564267261759050179265148075696596262164354661434598288591724162687670978584784,-495668265376005552551300210221660541415336912978177498433648803634961384395619358199438291841970946,-608389642373261876504414507148188392788699056220683782443432544240174770236740156330694889850962718]>,<627961,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[19558208153871084183111239738646123467231643498010390476777792565548308549234703195863979560581669268755336788311050,-1831961991903090146150488696537769192606209189396108475664800586457894307991161632006407027735109019188279923140725,-9861602363542593819751190620078330055965772489512082389769928030523804099719626202387170337706335267705411639226264,-20676692752017419455145246913956574521455748524799736027288926565644922320089844612359722783625704563354689103520296,7717634979909559345137795067670339542339236670991075211365490172927532251183301069981346523177372740502296749055545,-17816019025030144949969062908036195931314887671007786490839527565852575276815452070400929739089732979630305968119157,51137182644770930566444712485375829178716416017916621673492066976546972633820148449321011908973097514444536141,40486888729887345191322383947308765974710529144038717758643296789314968225523603225537211771641708788101321551]>,<12831391,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[3852350932534220759138246664744941612459812787409040324550980670667198206621902995439593593414586302219853707615650985316793277771558223198943,1467664612061755924734683349770432097594145255677390717737068725614056924305208564363411689845387285983001420039012213146949579693164489328965,-4684211063778109854476733620218511740677987789446117419189624402793289933985095864059585558578459443472392872996831606675758269616082108939349,-5358170797036531371354169191460572052743348747950450048800644526967130623025525160759778435324122349918756374807246492954647547413452956458906,3620246635193388765353189099600090940905388516121419540887782646273095424876808227810524154760964721365395063871711582911012213943429922971433,-2849623769768014602542927906360502752994366040466007840691692777037162579372013375677937067517487296344569754019736950853489903757123624118384,402436202147681536943624361498733292018955600467205587851038180588414990395906148422695535845735625440564369998092996728047626624571119,-59907614801685336329111006075022719426639611136028422633740139630103059137006533447274917480681304313747399898685221366334708297665676]>,<109,4,1,[[4,3,6,5,8,7,2,1]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[4,3,6,5,8,7,2,1],[8,7,2,1,4,3,6,5]],[4,3,6,5,8,7,2,1],[1,2,3,3],[1],[[]],20,<[],[6,98,11,0,1]>,[[12130269437471784203079311096826451750752,-16455761256476192699136730737789508086131,-21997755698072255400395067559094150295718,-21768815020734014402645949515829755472128],[-2854907307888007205415526544992876842636,-11433608558063702090844063406972742846275,16426435277027710473555438537544774612689,14114984638545747611088074690101897415552],[25897455729874161790180768558172364528860,-5321292957155733421280136551871722358303,-16241976356400126241897249893321859978357,-24224514512184352732951943019347911329278],[9885080734405612596756755170479394938761,-5185633514157224533673778934994931977821,7474166424704174705991729983147667446276,9926722819851065528909019407994850996031],[4491088993531422421269457496914771041257,22739442968512160187302300730653854513299,-9496365373708624967451677705661852405481,829423221216055957127653405756953944267],[16281075447880325739840020604812548147728,14662167064324871370316589851661274814012,5285217975050285899880125419053159151605,15590287111410177921124388933951796402351],[-22357591028061467898089900837667413305061,2092734450894564141807610107183190390566,-5469676895677870131538314063276073785937,-5480757237771572799260520604705782488625],[12571635670569087726777769698371290747143,-1098048197878742954491791057869414449347,24019954647076705661855015281608335254923,11012668979666892916609276702077950531830]]>,<163,4,1,[[8,7,2,1,4,3,6,5]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[8,7,2,1,4,3,6,5],[4,3,6,5,8,7,2,1]],[8,7,2,1,4,3,6,5],[1,2,4,4],[1],[[]],20,<[],[2,91,8,0,1]>,[[63607994294156742719947096509890740775011792,-80404398711429819851959415870338097566703477,84564459775704408844864880838632820659042311,-3706104361690426225507039833135883904653274],[82777688753137707827527657720309618606846927,21076105888660415226731126449974802347792651,11647251144982774083414439784027253032124182,-78121645925193990435072374600093895259625095],[-44236826003059127048364471223525897681141860,-42772851415731738892885822003370364301445565,-80690409211013772688415333023112978864820800,-86128381394182043979388252306669090682413893],[31477977850719610755621891852277573378641289,-3609083409036652034528969611450393577451668,-62071544735418456015050705206571454732681667,-46949257609780733620153178009172456226460902],[-85929265090260198337393510818458705129192669,-74034680158724003579871735190960975513444210,28547483879158651449990493511831735228358282,-41780987204480719111035161612255171091042491],[-72626602012765649043453262558463032472102214,30435749445248497325925029082407823907894533,-58299511580759346205976133052475063917825786,37991130692091353817197795757431659405485079],[-54369332783316611019078894507739826736011645,-8739003918177173659770333529012261954241619,-47945290892370545547019777210324210006172397,-49029063911876209760733972352553673220140892],[79298364991387524145193493025709529257948383,-17239798259970414891636682829135533099095446,-51040398919444604279804669143893101154718926,-82851611363209011401301424047321488534538134]]>*] [x,x^2-x-10,x^2-x-1,x^2-x-51,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,11,41,109,163,401,168391,627961,12831391],[1,1,1,1,1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,41,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,11,41,109,163,401,168391,627961,12831391],[3,1,3,6,3,1,1,1,1,1],1,[1.000000000,1.299093062,1.203023023],<"notfaithful",0>,[8,5]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,11,41,109,163,401,168391,627961,12831391],[4,6,1,1,1,4,1,1,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,5]>,<1,5*41,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,11,41,109,163,401,168391,627961,12831391],[1,6,3,6,3,3,1,1,1,1],1,[1.000000000,1.050623227,0.9146140274],<"notfaithful",0>,[8,5]>,<2,5^2*11^2*41^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[3,5,11,41,109,163,401,168391,627961,12831391],[3,6,6,6,3,3,1,1,1,1],-1,[0,0,0],<"2.5e2_11e2_41e2.8t5.1",1>,[8,5]>]
x^2-x+1416 -7*809 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-6],[7]] 2 [1,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1428,7,1]>,[[-3,-1],[4,1]]>,<809,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[165036,809,1]>,[[-404,-1],[405,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,809],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*809,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,809],[3,3],1,[1.000000000,2.337839105,1.426028330],<"1.7_809.2t1.1",1>,[2,1]>]
x^2-x+11389 -3*5*3037 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-1204],[1205]] 2 [2,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[11391,3,1]>,[[-1,-1],[2,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[11395,5,1]>,[[-2,-1],[3,1]]>,<3037,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2317231,3037,1]>,[[-1518,-1],[1519,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,5,3037],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*5*3037,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,5,3037],[3,3,3],1,[1.000000000,0.8831472025,0.8166850887],<"1.3_5_3037.2t1.1",1>,[2,1]>]
x^3-x^2+15*x+30 -3*5*3037 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 13 x-1 5 [[71442],[152849],[147003]] 2 [2,1,1,3,2,1,2,3,1,3,2,2,1,3,2,3,2,1,2,3,3,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,3,1,2,2,3,3,2,3,2,2,3,2,1,2,1,2,1,2,3,3,2,3,2,3,1,1,2,2,1,1,2,1,1,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,1,2,2,2,3,1,3,3,2,2,3,3,3,2,2,2,2,3,3,2,3,2,3,2,3,3,2,1,2,3,1,3,2,3,1,1,2,3,2,2,2,3,2,1,3,2,3,2,3,1,2,2,2,1,2,1,1,1,2,2,2,1,3,3,2,2,3,2,2,1,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[50707941,-472610151,1]>,[[-472610150,0],[472610151,-1],[0,1]]>,<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[41355163449120,18011423369580,1]>,[[18011423369581,0],[-18011423369580,-1],[0,1]]>,<3037,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-2128520369959957759742871525262043107641959565469923960215787740898239,-1067507063602962124168294309907213447417092291027732306711683312481060,1]>,[[-1067507063602962124168294309907213447417092291027732306711683312485539,0],[1067507063602962124168294309907213447417092291027732306711683312483300,-1],[2240,1]]>*] [x,x^2-x+11389,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,3037],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*5*3037,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,3037],[4,4,4],1,[1.000000000,0.8831472025,0.8166850887],<"notfaithful",0>,[3,2]>,<2,3*5*3037,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[3,5,3037],[4,4,4],1,[1.000000000,2.330260645,1.238340229],<"2.3_5_3037.3t2.1",1>,[3,2]>]
x^2+13882 -2^3*11*631 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 19 x-1 5 [[-941765],[941765]] 2 [1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[13882,0,1]>,[[0,1],[0,262143]]>,<11,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[13882,0,1]>,[[0,-1],[0,1]]>,<631,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[13882,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,11,631],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*11*631,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,11,631],[3,3,3],1,[1.000000000,0.4799503998,0.8405886159],<"1.2e3_11_631.2t1.1",1>,[2,1]>]
x^3-x^2-27*x-97 -2^3*11*631 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 73 x-1 5 [[123437126],[903768596],[-1027205721]] 2 [1,2,2,2,1,2,2,3,2,3,2,3,2,2,2,3,2,2,3,2,1,1,2,3,1,3,1,2,2,2,3,3,2,2,3,3,2,3,2,2,1,1,2,3,1,2,1,2,3,2,3,2,3,3,3,2,2,2,2,2,2,2,3,3,2,1,1,2,1,1,2,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,2,2,2,3,2,3,3,2,2,2,2,3,2,2,3,3,3,3,2,1,3,2,3,2,3,2,3,3,1,3,2,2,1,1,3,2,1,2,2,2,2,1,3,2,3,2,3,3,1,3,2,2,2,2,2,2,1,2,1,3,3,3,3,2,2,1,2,3,2,3,3,3,2,3,3,3,3,3,2,1,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[3],[[[1,3,2]]],20,<[],[10318,437908,1]>,[[-86381,0],[1,1],[86381,-1]]>,<11,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-107823882223102902318,291986995271060853940,1]>,[[291986995271060853923,0],[-291986995271060853931,-1],[9,1]]>,<631,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[17680676633053956104728598914283710298076445866820609504,-1176099542933364369222097721908393837009922088948282615,1]>,[[-1176099542933364369222097721908393837009922088948283588,0],[1176099542933364369222097721908393837009922088948283102,-1],[487,1]]>*] [x,x^2+13882,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,631],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^3*11*631,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,11,631],[4,4,4],1,[1.000000000,0.4799503998,0.8405886159],<"notfaithful",0>,[3,2]>,<2,2^3*11*631,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,11,631],[4,4,4],1,[1.000000000,2.353319513,1.357829134],<"2.2e3_11_631.3t2.1",1>,[3,2]>]
x^2-x-8557 13*2633 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[487],[-486]] 1 [2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-8515,13,1]>,[[-6,-1],[7,1]]>,<2633,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1724615,2633,1]>,[[-1316,-1],[1317,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[13,2633],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,13*2633,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[13,2633],[3,3],1,[1.000000000,0.5643329737,0.7306898684],<"1.13_2633.2t1.1",1>,[2,1]>]
