x^2-x-608 3*811 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-1670],[1671]] 1 [1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-606,3,1]>,[[-1,-1],[2,1]]>,<811,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[163822,811,1]>,[[-405,-1],[406,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,811],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*811,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,811],[3,3],1,[1.000000000,1.877059464,1.299402413],<"1.3t811.2.1.2t1.1",1>,[2,1]>]
x^3-x^2-43*x-88 5^2*1693 3 0 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 47 x-1 5 [[-70868461],[-57744922],[-100731623]] 1 [2,3,2,2,2,3,2,2,2,2,3,3,2,3,1,2,1,3,2,3,2,2,1,3,1,1,2,2,2,3,3,1,1,3,3,3,2,2,2,1,1,3,2,2,2,2,3,3,3,2,1,1,3,2,2,2,3,1,2,3,3,3,2,2,3,2,2,1,2,2,3,2,1,2,1,1,3,3,3,2,2,3,3,1,2,2,2,2,3,2,2,3,3,3,3,1,2,3,3,2,1,3,3,3,2,3,2,2,2,2,2,3,3,2,2,2,1,2,2,3,2,3,2,3,1,2,1,2,2,2,1,3,3,2,1,3,2,2,3,2,2,3,2,2,2,3,2,3,2,1,2,3,3,2,2,2,2,2,2,3,3,2,2,2,1,1,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<5,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,4,1]>,[[-170,0],[-35,0],[5,0],[1,0]]>,[[[-42148460792973,2767627513670],[1898095695868,-3819323734097],[1430903798508,715451899254]],[[2,0],[1,0],[0,0]],[[42148460792972,-2767627513670],[-1898095695869,3819323734097],[-1430903798508,-715451899254]]]>,<1693,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-5963411668361708362462156478077466837489871502678353708488670474,16799376808476988768491080143149088433533855881399312042713283990,1]>,[[16799376808476988768491080143149088433533855881399312042713280937,0],[-16799376808476988768491080143149088433533855881399312042713282463,-1],[1527,1]]>*] [x,x^2-x-423,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,1693],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,1693,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[5,1693],[2,4],1,[1.000000000,0.6869374189,0.8404569069],<"notfaithful",0>,[3,2]>,<2,5^2*1693,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[5,1693],[4,5],1,[1.000000000,0.8859121177,0.9436249706],<"2.5e2t1693.6.1.3t2.1",1>,[3,2]>]
x^4-x^3-8*x^2+10*x+3 5^2*1693 4 0 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 47 x-1 5 [[-83109294],[112851993],[1582503],[-31325201]] 1 [5,4,3,5,5,4,5,3,3,5,4,4,5,4,1,3,2,4,3,4,5,5,2,4,2,2,5,3,3,4,4,2,2,4,4,4,3,5,5,2,2,4,5,5,5,3,4,4,4,5,2,2,4,3,3,5,4,1,3,4,4,4,5,5,4,3,5,2,5,3,4,3,2,5,2,2,4,4,4,5,3,4,4,1,3,5,5,3,4,3,3,4,4,4,4,1,3,4,4,5,2,4,4,4,5,4,3,3,5,3,3,4,4,5,3,3,2,5,5,4,3,4,3,4,2,5,2,5,3,5,2,4,4,5,1,4,5,3,4,5,5,4,5,5,3,4,5,4,5,2,3,4,4,3,5,3,5,5,5,4,4,5,5,3,2,2,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<5,6,3,[[1,3,4,2],[1,4,3,2]],[[1,2,3,4],[1,4,3,2],[1,3,4,2]],[1,4,3,2],[1,3,4],[1],[[[1,3,4,2]]],20,<<[],[2,4,1]>,[[15779910857460,0],[-3570830028405,0],[19029696388425,0],[1,0]]>,[[[19029696388423,0],[0,0],[0,0]],[[-46680558398914,5259002807805],[-5158354044412,-7347548604237],[5542256806937,-6765614760594]],[[1,0],[1,0],[0,0]],[[27650862010491,-5259002807805],[5158354044411,7347548604237],[-5542256806937,6765614760594]]]>,<1693,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[2230676399147453565985233764314893518269051049639675782932723606,6834972740378629719927515708635601139531236829413575542663241719,1]>,[[14120669449522850401745287416763718799463040125013379261711229066,0],[-7285696709144220681817771708128117659931803295599803719047989258,0],[-6834972740378629719927515708635601139531236829413575542663240763,-1],[956,1]]>*] [x,x^2-x-423,x^3-x^2-43*x-88,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,1693],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,1693,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,1693],[3,6],1,[1.000000000,0.6869374189,0.8404569069],<"notfaithful",0>,[4,5]>,<2,5^2*1693,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1]],[[1],[-1]]],[5,1693],[6,7],1,[1.000000000,0.8859121177,0.9436249706],<"notfaithful",0>,[4,5]>,<3,5^2*1693^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1]]],[5,1693],[6,7],1,[0,0,0],<"3.5e2t1693e2.24.1.6t8.1",1>,[4,5]>,<3,5^2*1693,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1]],[[1],[-2],[1]]],[5,1693],[6,7],1,[1.000000000,0.5257273668,0.7631457948],<"3.5e2t1693.24.1.4t5.1",1>,[4,5]>]
