x^2+42529 -2^2*71*599 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1189],[1189]] 2 [1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[42530,2,1]>,[[1,1],[-1,-1]]>,<71,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[42529,0,1]>,[[0,-1],[0,1]]>,<599,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[42529,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,71,599],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*71*599,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,71,599],[3,3,3],1,[1.000000000,0.6093506496,0.8974997490],<"1.2e2_71_599.2t1.1",1>,[2,1]>]
x^6-2*x^5+3*x^4-x^3-x^2+x+1 -2^2*71*599 0 3 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 107 x^2+103*x+2 5 [[-4154885748,0],[1635475619,42787211],[-2771607114,-42787211],[-5814252332,5301015604],[1903436841,0],[-4823684571,-5301015604]] 2 [8,11,5,10,11,11,10,10,11,10,10,9,11,9,9,10,11,9,9,8,11,7,10,8,5,11,8,4,10,5,9,9,9,5,7,8,8,9,9,9,11,11,9,7,6,9,6,4,9,8,9,11,9,10,4,11,11,5,10,6,5,11,7,4,7,7,11,10,4,7,7,6,8,7,11,10,10,11,2,8,6,10,10,9,3,8,4,7,8,9,7,10,4,8,9,7,8,11,11,10,4,7,8,10,10,5,7,10,6,11,9,8,6,5,9,10,7,11,10,10,7,11,9,10,8,11,5,8,9,10,7,9,9,9,10,10,6,10,11,9,8,7,8,9,11,8,6,10,9,11,7,7,7,5,7,4,6,10,3,9,7,11,2,5,8,10,9,11] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<2,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,7,7],[2],[[[1,2,3,4,6,5]]],20,<<[],[1,1,0,0,1]>,[[47606,0,0,0],[-14378,0,0,0],[1,0,0,0]]>,[[[-58068,212285,372474,276894],[0,0,0,0]],[[-332500,386748,327997,260510],[0,0,0,0]],[[-466745,186835,-371594,431042],[0,0,0,0]],[[-205641,262708,-328877,80130],[0,0,0,0]],[[1,0,0,0],[1,0,0,0]],[[14379,0,0,0],[-1,0,0,0]]]>,<71,8,2,[[1,2,3,4,6,5],[4,1,2,3,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[4,1,2,3,5,6],[2,3,4,1,5,6],[4,1,2,3,6,5],[2,3,4,1,6,5]],[4,1,2,3,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[7,41,4,0,1]>,[[1792234426424470313568667320165505808,0,0,0],[-4146625926010123100563253271663304623,0,0,0],[1,0,0,0]]>,[[[5215245106190681471332068392833593350,-294197681062425373546232968994644170,974448808667385663824833768010499110,2379869031443989516459572376767292257],[0,0,0,0]],[[2221970271475997497387502336232691732,629416794390697140116499227036678164,-2743171080702667649398913484233088039,-3420116903473948374952835093782674206],[0,0,0,0]],[[-2056353478481022073590189669501344262,-2550889201685899326327845789244319908,-3979008882531884608786209956514988270,-1238935745742382486819321684036476480],[0,0,0,0]],[[1069122751195641036970232808904956916,2215670088357627559757579531202285914,-4848879421824254438302577467395625202,2279183617772341345312584401051858429],[0,0,0,0]],[[4146625926010123100563253271663304645,0,0,0],[-1,0,0,0]],[[22,0,0,0],[1,0,0,0]]]>,<599,6,2,[[1,2,3,4,6,5],[1,3,4,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3,4,2,5,6],[1,4,2,3,5,6],[1,3,4,2,6,5],[1,4,2,3,6,5]],[1,3,4,2,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[592,2,0,1]>,[[12546388371442982074552491020719554764986332096056825257,0,0],[7129140669570237726442151862169754457806019223768882364,0,0],[1,0,0]]>,[[[13204100776883158094004454412528630409100239937761297879,0,0],[0,0,0]],[[1615705898044763993254994709230345172733420610019349392,-16442118338280038399046144405080832128133097497949431004,-6109972976644789960235759819739404497253778520444481024],[0,0,0]],[[-15548640123372722495991907162273059744577207125285063364,2115040541437178999974320442797225099490728680101860255,16378737215318467361099389733640571273272847303905597410],[0,0,0]],[[7857974118015038135174609902683838620549565801273298243,14327077796842859399071823962283607028642368817847570749,-10268764238673677400863629913901166776019068783461116386],[0,0,0]],[[-7129140669570237726442151862169754457806019223768882256,0,0],[-1,0,0]],[[108,0,0],[1,0,0]]]>*] [x,x^2+42529,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,71,599],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,2^2*71*599,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,71,599],[12,12,12],1,[1.000000000,0.6093506496,0.8974997490],<"notfaithful",0>,[6,16]>,<5,2^2*71*599,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[-1],[1]]],[2,71,599],[12,12,13],1,[1.000000000,0.7079422992,0.9488134567],<"5.2e2_71_599.6t16.1",1>,[6,16]>,<5,2^4*71^2*599^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]]],[2,71,599],[12,12,13],1,[0,0,0],<"5.2e4_71e2_599e2.12t183.1",1>,[6,16]>,<5,2^8*71^4*599^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[1]],[[1],[-1]]],[2,71,599],[12,12,13],1,[0,0,0],<"5.2e8_71e4_599e4.12t183.1",1>,[6,16]>,<5,2^6*71^3*599^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[1],[1]]],[2,71,599],[12,12,13],1,[0,0,0],<"5.2e6_71e3_599e3.6t16.1",1>,[6,16]>,<9,2^6*71^3*599^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]],[[1],[0],[0],[-2],[0],[0],[1]]],[2,71,599],[12,12,13],1,[0,0,0],<"9.2e6_71e3_599e3.10t32.1",1>,[6,16]>,<9,2^12*71^6*599^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]]],[2,71,599],[12,12,13],1,[0,0,0],<"9.2e12_71e6_599e6.20t145.1",1>,[6,16]>,<10,2^12*71^6*599^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[-1],[1]]],[2,71,599],[12,12,13],1,[0,0,0],<"10.2e12_71e6_599e6.30t176.1",1>,[6,16]>,<10,2^8*71^4*599^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[0],[0],[-2],[0],[0],[1]]],[2,71,599],[12,12,13],1,[0,0,0],<"10.2e8_71e4_599e4.30t176.1",1>,[6,16]>,<16,2^16*71^8*599^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]]],[2,71,599],[12,12,13],1,[0,0,0],<"16.2e16_71e8_599e8.36t1252.1",1>,[6,16]>]
x^4-2*x^3+8*x^2+26*x+37 2^6*3^2*5*11^2 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 89 x-1 5 [[1458092622],[-143115345],[2473636317],[1795445857]] 2 [4,5,4,4,1,5,5,2,5,3,3,4,3,4,5,4,3,3,5,3,5,2,4,1,4,3,5,4,3,4,4,2,4,1,3,1,4,5,4,5,3,2,3,5,5,3,1,5,4,1,5,1,3,3,4,4,1,1,5,3,4,5,4,3,4,4,3,5,4,3,4,1,5,5,3,5,1,4,1,3,3,1,1,4,1,5,2,5,3,5,5,1,5,1,3,4,2,1,4,3,4,5,4,3,2,4,5,5,3,3,4,5,4,3,3,2,5,5,4,2,2,5,5,5,3,3,2,3,5,5,1,4,3,4,3,3,4,4,4,3,2,3,5,4,1,3,5,5,3,5,5,1,5,4,5,3,1,1,5,3,5,5,4,3,4,5,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-62,2>,<x^2-32*x+76,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[3,4,1,2],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[2,1,3,4],[4,3,1,2]],[1,2,4,3],[1,2,3,4,5],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,1]>,[[70,0],[40,0],[8,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0],[0,0]],[[142985,0],[-1,0],[23831,0],[95325,0]],[[20997,184978],[-127547,-255094],[89314,202459],[161235,155651]],[[-163981,-184978],[127547,255094],[148999,59685],[5584,106493]]]>,<3,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-1253111265,-939833457],[313277817,313277820],[1,0]]>,[[[-313277817,-313277819],[-1,0]],[[0,1],[1,0]],[[1599144826,508588814],[-280642779,-45743956]],[[-1285867007,-195310996],[280642779,45743956]]]>,<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[3617974068815,0],[-3617974068805,0],[1,0]]>,[[[-24166819827306,-35020774306608],[0,0]],[[20548845758501,35020774306608],[0,0]],[[3617974068806,0],[-1,0]],[[1,0],[1,0]]]>,<11,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[222460743771726283846,-74066808201818344968,1]>,[[74066808201818344978,-1],[10,1],[1604461608292928816,1119032756025562004],[-14512179361696727511,-1119032756025562004]]>*] [x,x^2-11,x^2-x-1,x^2-55,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*11,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[6,3,1,6],1,[1.000000000,0.9024906449,0.9468447206],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,11],[4,4,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,2^2*5*11,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,11],[6,1,6,6],1,[1.000000000,1.397414591,1.113047101],<"notfaithful",0>,[4,3]>,<2,2^4*3^2*5*11,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,5,11],[6,6,7,8],1,[1.000000000,0.8872114573,0.9647288907],<"2.2e4_3e2_5_11.4t3.2",1>,[4,3]>]
x^4-2*x^3-16*x^2-16*x-2 2^6*3^2*5*11^2 4 0 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 6 [[12834696],[-10247206],[5529525],[-8117013]] 1 [4,5,4,4,2,5,5,1,5,3,3,4,3,4,5,4,3,3,5,3,5,1,4,1,4,3,5,4,3,4,4,1,4,2,3,2,4,5,4,5,3,2,3,5,5,3,2,5,4,1,5,2,3,3,4,4,1,2,5,3,4,5,4,3,4,4,3,5,4,3,4,2,5,5,3,5,1,4,1,3,3,1,2,4,2,5,2,5,3,5,5,2,5,2,3,4,2,1,4,3,4,5,4,3,1,4,5,5,3,3,4,5,4,3,3,2,5,5,4,1,2,5,5,5,3,3,2,3,5,5,2,4,3,4,3,3,4,4,4,3,1,3,5,4,1,3,5,5,3,5,5,1,5,4,5,3,2,1,5,3,5,5,4,3,4,5,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+28,2>,<x^2+52*x+496,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[3,4,1,2],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[2,1,3,4],[4,3,1,2]],[1,2,4,3],[1,2,3,4,5],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,1]>,[[-2,0],[-16,0],[-16,0],[-2,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0]],[[-4,0],[-13,0],[262141,0],[1,0]],[[-141644,240994],[118153,236294],[196022,129897],[66123,132247]],[[141650,-240994],[-118141,-236294],[66125,132247],[196020,129897]]]>,<3,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-313277823,-3],[313277817,313277820],[1,0]]>,[[[-313277817,-313277819],[-1,0]],[[0,1],[1,0]],[[1599144826,508588814],[-280642779,-45743956]],[[-1285867007,-195310996],[280642779,45743956]]]>,<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[-7235948137615,0],[-3617974068805,0],[1,0]]>,[[[-33576512191278,-39725620488594],[0,0]],[[29958538122473,39725620488594],[0,0]],[[3617974068806,0],[-1,0]],[[1,0],[1,0]]]>,<11,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[1],[[[2,1,4,3]]],20,<<[],[2,7,1]>,[[68253090931329745518,-34141632565218414445],[183134090424462582669,148431167968783596369],[1,0]]>,[[[-183134090424462582662,-148431167968783596364],[-1,0]],[[7,5],[1,0]],[[28219397842583310819,-193824449932479377962],[-27208460432761284883,-125071951101540472]],[[154914692581879271838,-330494377031297034880],[27208460432761284883,125071951101540472]]]>*] [x,x^2-11,x^2-x-1,x^2-55,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*11,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[6,3,1,6],1,[1.000000000,0.9024906449,0.9468447206],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,11],[4,4,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,2^2*5*11,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,11],[6,1,6,6],1,[1.000000000,1.397414591,1.113047101],<"notfaithful",0>,[4,3]>,<2,2^4*3^2*5*11,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]]],[2,3,5,11],[6,6,7,7],1,[1.000000000,0.8624264196,0.9596689215],<"2.2e4_3e2_5_11.4t3.6",1>,[4,3]>]
