x^2-x+242 -967 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[58806],[-58805]] 2 [1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<967,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[234014,967,1]>,[[-483,-1],[484,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[967],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,967,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[967],[3],1,[1.000000000,1.111294899,1.131002672],<"1.967.2t1.1",1>,[2,1]>]
x^4-x^3+3*x^2-70*x-41 -3^2*31*61^2 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 67 x-1 5 [[-638441112],[-536706421],[-389910072],[214932499]] 3 [4,3,4,4,5,5,3,4,3,5,1,5,4,5,2,5,4,5,1,4,5,3,5,3,4,4,4,4,4,4,3,1,3,5,2,3,4,4,3,2,5,3,4,4,3,5,4,5,2,3,4,5,3,3,4,5,3,5,3,4,2,2,4,4,5,4,5,5,5,2,5,4,3,4,1,5,3,4,5,3,4,4,2,3,4,4,5,3,5,5,4,4,3,5,5,4,3,2,3,4,4,5,4,5,3,2,5,4,4,5,1,5,2,3,3,5,3,3,2,4,4,5,3,4,4,4,5,3,4,4,5,3,4,5,5,4,5,3,3,3,2,5,5,3,3,2,2,2,3,3,4,5,5,4,4,3,2,3,2,5,5,5,5,2,4,3,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<3,4,2,[[2,1,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[2,1,3,4]],[2,1,3,4],[1,2,3,3],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-102870708,0],[-58806816,0],[1,0]]>,[[[87328714,-405591801],[188470292,188470292]],[[-263749151,405591801],[198950197,198950197]],[[-5,0],[3,0]],[[176420443,0],[129140160,0]]]>,<31,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[5469880505066293928424105181,295090427454484530415429212192,1]>,[[-41487810638657413679452657530,0],[-335212290725940337941260731912,0],[-295090427454484530415429212175,-1],[17,1]]>,<61,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[[2,1,4,3]]],20,<<[],[2,60,1]>,[[222895029418664348560360004452935362,218630902548503821093372651689211429],[-21201924576250596673217934033028848,-246654817135386599358462174076888137],[1,0]]>,[[[21201924576250596673217934033028892,246654817135386599358462174076888141],[-1,0]],[[44,4],[1,0]],[[-208349249154370332759469000056944391,-204044754525068988664162872156132562],[2669309895288243275940765548352954,-4023145100680839592176140724051195]],[[187147324578119736086251066023915456,-42610062610317610694299301920755583],[-2669309895288243275940765548352954,4023145100680839592176140724051195]]]>*] [x,x^2-x+8,x^3+x-1,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,31,61],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,31,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,31,61],[3,6,3],1,[1.000000000,1.692740092,1.252979949],<"notfaithful",0>,[4,5]>,<2,31,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[3,31,61],[3,6,3],1,[1.000000000,0.4313610546,0.7242255250],<"notfaithful",0>,[4,5]>,<3,3^2*31^2*61^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1]]],[3,31,61],[6,7,7],1,[0,0,0],<"3.3e2_31e2_61e2.6t8.1",1>,[4,5]>,<3,3^2*31*61^2,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1]],[[1],[-2],[1]],[[1],[1]]],[3,31,61],[6,7,8],1,[1.000000000,1.561151900,1.132087971],<"3.3e2_31_61e2.4t5.1",1>,[4,5]>]
x^4-2*x^3-7820513*x^2+7820514*x+15261189543428 5*1621^3*9649^3 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 61 x-1 14 [[-82040146713158081260112],[-4063536116454002377887826],[4063536116454002377887827],[82040146713158081260113]] 1 [3,4,4,3,5,4,4,2,3,2,1,3,2,3,3,4,5,1,3,5,4,5,4,1,4,1,3,4,1,3,3,5,3,1,5,5,3,4,3,3,2,5,1,3,3,5,1,4,4,1,4,5,5,5,4,4,2,5,3,2,4,3,3,5,3,3,5,3,4,1,3,5,3,3,5,4,2,4,5,1,2,5,5,4,5,3,1,4,5,4,3,2,4,2,5,4,5,1,4,1,4,4,4,5,5,4,4,3,2,2,4,3,4,5,5,5,4,3,4,1,5,3,3,4,2,2,1,1,3,3,1,3,2,3,2,1,3,3,4,1,5,5,4,4,5,5,4,3,5,4,4,2,3,3,4,5,2,5,4,5,4,3,3,2,3,4,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+7820514,2>,<x^2-15641030*x-183018609111680,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[-182004,243566],[98718,-243566],[182005,-243566],[-98717,243566]]>,<3,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[2,2,1]>,[[-288842964,1454549236],[288842965,-1454549236],[110183312,0],[-110183311,0]]>,<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[-39026114778990,0],[5,0],[1,0]]>,[[[27252817208770,37468266514541],[0,0]],[[-27252817208769,-37468266514541],[0,0]],[[-2,0],[-1,0]],[[3,0],[1,0]]]>,<19,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,18,1]>,[[2724309626765158998411423,14921024080908445852795114],[-2724309626765158998411422,-14921024080908445852795114],[-489967548969353272274609,-164353041866612229648511],[489967548969353272274610,164353041866612229648511]]>,<31,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[48311147893268769575239610731,-48311147893268769575239610730,-9078999101985206674326978710,9078999101985206674326978711]>,<43,2,1,[[3,4,1,2]],[[1,2,3,4],[3,4,1,2]],[3,4,1,2],[1,3],[1],[[]],20,<[],[3,42,1]>,[[345470612063690474439120877661,4411564541341519157798927485779],[290127282053031699674823864639,4411564541341519157798927485779],[-290127282053031699674823864638,-4411564541341519157798927485779],[-345470612063690474439120877660,-4411564541341519157798927485779]]>,<1621,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[10555346439788,-10547350974,-3879053,3242,1]>,[[-810,-1,0,0],[-7414438316035619655701842379253975509354825559461208028096574311,1303593782283806388175613412317157941231744301626378117887637,-344927756783934341342053342565983943237643414715370027391421,-3173077985151117578066144582133853980730512021652641252061012],[7414438316035619655701842379253975509354825559461208028096574312,-1303593782283806388175613412317157941231744301626378117887637,344927756783934341342053342565983943237643414715370027391421,3173077985151117578066144582133853980730512021652641252061012],[811,1,0,0]]>,<9649,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[374995335422228,373716248814,131834287,19298,1]>,[[-4824,-1,0,0],[1200851703475727047000718878242741238883330502647303588762498228327229690793151,2208576525422730518291860176129813360166965248906044844616722843156210023762,-390460667620837920632146752243253263692664590069657353123366910041078643433,1782915610420838111196995475939771139142863543461665415377868584276536165914],[-1200851703475727047000718878242741238883330502647303588762498228327229690793150,-2208576525422730518291860176129813360166965248906044844616722843156210023762,390460667620837920632146752243253263692664590069657353123366910041078643433,-1782915610420838111196995475939771139142863543461665415377868584276536165914],[4825,1,0,0]]>*] [x,x^2-x-3910257,x^2-x-19551286,x^2-x-1,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,19,31,43,1621,9649],[1,1,1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,1621*9649,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,19,31,43,1621,9649],[3,1,1,1,1,3,6,6],1,[0,0,0],<"notfaithful",0>,[4,3]>,<1,5*1621*9649,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,19,31,43,1621,9649],[1,4,6,1,1,1,6,6],1,[0,0,0],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,19,31,43,1621,9649],[3,3,6,1,1,3,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<2,5*1621^2*9649^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]]],[2,3,5,19,31,43,1621,9649],[3,3,6,2,1,3,7,7],1,[0,0,0],<"2.5_1621e2_9649e2.4t3.2",1>,[4,3]>]
x^6-34*x^3-250 2^8*3^6*11^3 2 2 12 "D12" [[6,5,4,3,2,1],[2,1,6,5,4,3],[1,4,5,2,3,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,3,2,5,4,1]>,<2,3,[6,5,4,3,2,1]>,<2,3,[1,4,5,2,3,6]>,<3,2,[3,4,5,6,1,2]>,<6,2,[4,1,6,3,2,5]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 53 x^2+49*x+2 6 [[6764520571,0],[1064929943,4078128578],[-3477645842,9947452525],[715879782,-4078128578],[-3286874729,-9947452525],[-1780809725,0]] 4 [4,2,4,5,4,6,3,5,3,3,2,5,3,1,3,4,3,6,6,3,6,5,4,4,5,3,6,4,2,4,1,4,4,5,3,5,1,6,4,3,3,5,3,6,3,6,5,2,4,1,3,4,6,3,4,4,4,5,2,3,1,3,1,3,5,4,6,6,4,6,4,4,6,6,6,3,4,1,4,6,3,5,4,1,1,3,4,2,3,6,3,4,6,4,2,4,4,4,5,6,5,3,4,3,5,5,3,3,3,2,5,6,4,6,6,4,2,3,4,4,5,6,3,3,2,3,5,3,2,2,1,4,6,5,3,6,4,5,4,3,1,3,6,4,5,3,6,3,6,3,6,4,6,4,6,3,1,4,6,3,3,3,5,3,4,3,6,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+30,2>,<x^3,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,12,6,[[2,1,4,3,6,5],[3,4,5,6,1,2],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3],[3,4,5,6,1,2],[4,3,6,5,2,1]],[1,2,5,6,3,4],[1,2,4,3,5,6],[1,4],[[[2,1,4,3,6,5],[3,4,5,6,1,2]],[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[-250,0],[0,0],[0,0],[-34,0],[0,0],[0,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0],[0,0],[0,0]],[[0,0],[-29961,0],[0,0],[0,0],[44939,0],[0,0]],[[0,0],[0,1],[0,0],[0,0],[0,0],[0,0]],[[0,0],[0,-29961],[0,0],[0,0],[0,44939],[0,0]],[[0,0],[-1,-1],[0,0],[0,0],[0,0],[0,0]],[[0,0],[29961,29961],[0,0],[0,0],[217205,217205],[0,0]]]>,<3,12,6,[[3,1,2,6,4,5],[1,3,2,4,6,5],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[1,3,2,4,6,5],[4,6,5,1,3,2],[3,1,2,6,4,5],[6,4,5,3,1,2]],[4,5,6,1,2,3],[1,2,4,3,5,6],[1,2],[[[3,1,2,6,4,5],[1,3,2,4,6,5]],[[3,1,2,6,4,5]]],20,<<[],[2,2,1]>,[[-696626511,-321232086],[1396904868,-963696258],[700278357,-1284928344],[1396904868,-963696258],[245805144,1252713843],[942431655,1573945929],[1,0]]>,[[[-150043806,-437189315],[375467490,-452311188],[24294336,-531842833],[-339025986,235677672],[302729844,393649098],[-323700657,-299051152]],[[458071092,-263004158],[-274754556,-366945033],[507698484,-287413393],[347351577,226390310],[463076751,-120154605],[-129712818,333192881]],[[-308027286,-462067994],[-100712934,-343005246],[-531992820,-343005241],[-8325591,-462067982],[396454872,-273494493],[453413475,-34141729]],[[-51501068,-535992424],[-323196594,-187564296],[-473027779,270988678],[194785659,-568214154],[561292326,549186549],[-211504897,-554365031]],[[70406977,-195245632],[563072226,468480387],[-308592193,284150083],[87482015,-437246567],[165218118,108321732],[-362980483,-218575937]],[[-18905909,-431023411],[-239875632,-280916091],[-380641495,-555138761],[-282267674,-156800746],[435751023,504753186],[574485380,-389320499]]]>,<5,2,1,[[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5]],[1,3,2,4,6,5],[1,4],[1],[[]],20,<[],[2,4,1]>,[[8672211054369,0],[-1589834828886,-22468722561007],[-7082376225483,22468722561007],[1638168223690,0],[-1338259365110,1647761006180],[-299908858580,-1647761006180]]>,<7,3,1,[[4,3,5,6,2,1]],[[1,2,3,4,5,6],[4,3,5,6,2,1],[6,5,2,1,3,4]],[4,3,5,6,2,1],[1,5,5],[1],[[]],20,<[],[4,0,6,1]>,[[287865296934451,4979784350350444,5555514944219346],[1502541995385667,1943092604222404,4948176594993738],[2584955030006499,-762939982329676,4406970077683322],[-1066399931967983,-3033447762766614,-5166247626702580],[-4087497025392166,-1180152621892728,2043748512696083],[778534635033532,-1946336587583830,-389267317516766]]>,<11,4,2,[[2,1,4,3,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[4,3,2,1,5,6],[3,4,1,2,6,5]],[4,3,2,1,5,6],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,7,1]>,[[142789891489193304587,0],[-296662854063598499290,0],[1,0]]>,[[[42912609138054760072,-41465988941835998537],[-15806109638520956630,-13253044246493779936]],[[187607967556582199331,-138612007821707945676],[15806109638520956630,13253044246493779936]],[[-187607967556582199339,138612007821707945676],[-15806109638520956631,-13253044246493779936]],[[333174531730906749831,41465988941835998537],[15806109638520956631,13253044246493779936]],[[296662854063598499298,0],[-1,0]],[[8,0],[1,0]]]>*] [x,x^2-x+1,x^2-11,x^2+33,x^3-2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7,11],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,7,11],[3,7,3,1,3],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,2^2*11,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,11],[7,2,1,1,7],1,[1.000000000,0.9024906449,0.9468447206],<"notfaithful",0>,[6,3]>,<1,2^2*3*11,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7,11],[7,7,2,1,7],1,[1.000000000,1.093762170,0.9854869242],<"notfaithful",0>,[6,3]>,<2,2^2*3^3,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]]],[2,3,5,7,11],[7,7,3,5,3],1,[1.000000000,0.8146240592,0.9743024320],<"notfaithful",0>,[6,3]>,<2,2^4*3^3*11^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]]],[2,3,5,7,11],[7,7,3,5,7],1,[1.000000000,0.9362949886,0.9831131991],<"2.2e4_3e3_11e2.6t3.3",1>,[6,3]>]
