x^4-x^3-29*x^2+19*x+191 5^3*11*59 4 0 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 61 x-1 5 [[-57572588],[-164451832],[67398146],[154626275]] 1 [5,5,1,3,1,5,3,4,3,4,4,3,4,5,3,5,4,1,3,2,5,4,5,4,3,1,3,3,1,3,3,1,5,4,2,1,3,5,3,5,4,1,4,3,3,1,2,5,5,4,5,4,4,2,5,3,4,4,3,4,5,3,3,1,3,5,2,5,5,1,3,4,3,3,2,5,1,3,4,2,4,4,2,5,4,3,2,5,4,3,3,4,5,4,1,5,4,1,3,2,3,3,5,2,2,5,3,3,2,2,3,5,5,1,2,2,5,5,5,1,2,5,3,3,4,2,2,4,5,3,1,3,4,5,4,1,3,3,3,1,2,2,3,3,2,4,3,5,4,3,3,4,5,5,5,1,2,4,5,2,5,3,5,2,3,3,4,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+9,2>,<x^2-37*x-469,3>]*],[*[4],"CYC",0,5*]] [*<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[-5,-5,55,15,1]>,[[-26009299538356,-3467906605111,1733953302558,-8669766512784],[-31130517035941,4040722391143,8204063668854,7861262683105],[-38227615066331,-572815786033,9135469356713,808503829679],[4,1,0,0]]>,<11,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-11,-31849157430974399780,1]>,[[-54675194954306674918,0],[22826037523332275135,0],[-29309933017440146509,-1],[2,1]]>,<59,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,58,1]>,[[-84973080788869871094910966951440227,0],[98831262149244164253686132068001121,0],[1,0]]>,[[[72978496597139404959167277955682052,81887099484959166385607883926857473],[0,0]],[[25852765552104759294518854112319036,-81887099484959166385607883926857473],[0,0]],[[-98831262149244164253686132068001104,0],[-1,0]],[[17,0],[1,0]]]>*] [x,x^2-x-1,x^2-x-811,x^2-x-162,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,11,59],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,11,59],[6,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,5*11*59,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,11,59],[6,6,6],1,[1.000000000,0.5677521750,0.7312593650],<"notfaithful",0>,[4,3]>,<1,11*59,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,11,59],[1,6,6],1,[1.000000000,2.775096491,1.523397962],<"notfaithful",0>,[4,3]>,<2,5^2*11*59,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[5,11,59],[6,7,8],1,[1.000000000,0.8231743562,0.9381295060],<"2.5e2_11_59.4t3.1",1>,[4,3]>]
x^3-x^2-48*x-188 -2^3*5^2*29^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 19 x-1 5 [[38125],[746865],[-784989]] 2 [1,3,2,2,3,2,3,1,2,2,2,2,1,3,2,2,1,2,3,2,3,2,1,3,3,2,2,3,2,3,2,3,1,1,2,2,2,3,2,2,3,2,2,1,2,2,1,2,3,2,3,2,3,3,1,2,2,2,2,3,1,2,1,2,3,2,3,3,3,2,3,2,2,2,3,2,2,2,1,3,3,2,2,1,2,1,3,3,2,2,3,2,2,3,3,2,2,1,3,2,3,2,3,3,3,1,1,3,2,1,2,2,3,3,2,1,1,2,2,3,2,1,2,3,1,2,2,2,2,2,1,2,2,2,1,3,2,3,2,3,3,2,2,3,2,2,2,1,3,2,2,3,3,2,3,2,2,3,1,2,1,1,2,3,3,2,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[3],[[[1,3,2]]],20,<[],[116498,454568,1]>,[[-139443,0],[8370,131070],[-131070,2]]>,<5,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,4,1]>,[[-280,0],[-40,0],[5,0],[1,0]]>,[[[13087755987242,-17297979916535],[-7363068569512,-8449905866787],[5633270577858,2816635288929]],[[2,0],[1,0],[0,0]],[[-13087755987243,17297979916535],[7363068569511,8449905866787],[-5633270577858,-2816635288929]]]>,<29,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,24,1]>,[[232,0],[232,0],[29,0],[1,0]]>,[[[88497288075554876598893320196,0],[-873431951411708289632662106,-2361508963422222499394790468],[1106517012697174648793420159,2635235270470594341390639042]],[[10,0],[1,0],[0,0]],[[88497288075554876598893320196,0],[873431951411708289632662105,2361508963422222499394790468],[-1106517012697174648793420159,-2635235270470594341390639042]]]>*] [x,x^2+2,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^3,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,29],[4,2,2],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[3,2]>,<2,2^3*5^2*29^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,5,29],[4,5,5],1,[1.000000000,1.419006564,1.181001529],<"2.2e3_5e2_29e2.3t2.1",1>,[3,2]>]
x^3-x^2+97*x-333 -2^3*5^2*29^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[60495],[42985],[57572]] 2 [1,1,2,2,1,2,3,3,2,2,2,2,3,3,2,2,1,2,3,2,3,2,3,1,3,2,2,3,2,3,2,3,3,3,2,2,2,3,2,2,1,2,2,3,2,2,3,2,3,2,3,2,1,3,1,2,2,2,2,3,3,2,3,2,3,2,3,1,1,2,3,2,2,2,3,2,2,2,3,3,1,2,2,3,2,3,1,3,2,2,3,2,2,3,3,2,2,3,1,2,1,2,3,1,3,3,3,1,2,3,2,2,3,3,2,1,1,2,2,1,2,1,2,1,3,2,2,2,2,2,1,2,2,2,3,1,2,3,2,3,3,2,2,1,2,2,2,3,3,2,2,3,3,2,3,2,2,3,3,2,1,3,2,3,3,2,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[3],[[[1,3,2]]],20,<[],[-522222,-182712,1]>,[[-182713,0],[1,1],[-79431,-1]]>,<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[161124183,-121318306,-39805876]>,<5,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,4,1]>,[[-135,0],[105,0],[5,0],[1,0]]>,[[[43244949791337,45464332805825],[1433880256388,-4051431453837],[3755513718572,1877756859286]],[[2,0],[1,0],[0,0]],[[-43244949791338,-45464332805825],[-1433880256389,4051431453837],[-3755513718572,-1877756859286]]]>,<29,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,24,1]>,[[1537,0],[377,0],[29,0],[1,0]]>,[[[56745036457943742927374885612,-2646020968134261139293202882],[-2446119086679815656747598372,559064398600430964801723011],[-2772098423994780262388563329,-1756823513647062894260426028]],[[10,0],[1,0],[0,0]],[[-56745036457943742927374885621,2646020968134261139293202882],[2446119086679815656747598371,-559064398600430964801723011],[2772098423994780262388563329,1756823513647062894260426028]]]>*] [x,x^2+2,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,29],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^3,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,29],[4,1,2,2],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[3,2]>,<2,2^3*5^2*29^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,5,29],[4,1,5,5],1,[1.000000000,4.547598078,1.703540729],<"2.2e3_5e2_29e2.3t2.2",1>,[3,2]>]
