x^4-34018*x^2+79466048 2^6*73^2*233^3 4 0 4 "C4" [[4,3,2,1],[2,4,1,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[2,4,1,3]>,<4,1,[3,1,4,2]>] [[1,1,1,1],[2,2],[4]] 7 x-1 15 [[-1007171540017],[1842831924012],[-1842831924012],[1007171540017]] 1 [1,3,4,1,4,2,4,2,1,1,1,2,4,4,4,3,4,3,4,1,4,3,3,2,3,2,4,1,1,1,3,1,4,3,4,3,1,3,1,1,3,1,4,3,2,4,3,4,3,1,1,3,2,1,4,1,1,2,4,3,1,1,1,3,3,4,1,1,3,2,2,1,3,4,4,3,4,3,3,3,4,3,4,1,3,1,4,2,3,4,1,2,3,2,1,1,3,1,3,3,2,2,3,4,1,3,1,3,1,2,1,4,3,3,4,1,2,1,2,3,2,2,4,1,1,1,4,3,2,4,3,3,1,2,1,4,1,3,2,2,1,3,1,2,3,3,4,3,4,3,1,2,1,4,2,3,1,3,4,1,1,3,3,3,4,2,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+516529312,3>,<x-516529312,4>]*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[3],[[[2,1,4,3]]],20,<[],[61262,0,1]>,[[0,4],[0,32764],[0,77661],[0,53411]]>,<13,2,1,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[4,3,2,1],[1,2],[1],[[]],20,<[],[2,12,1]>,[[609270194315825180311,-142108349343270155061],[-148943036972001910556,462482923963148385133],[148943036972001910556,-462482923963148385133],[-609270194315825180311,142108349343270155061]]>,<73,4,2,[[2,3,4,1]],[[1,2,3,4],[3,4,1,2],[2,3,4,1],[4,1,2,3]],[2,3,4,1],[1,2,4,3],[1],[[[3,4,1,2]]],20,<<[],[5,70,1]>,[[7664408866009646822672906454974889601,2857495649333874522156486671208769789],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[-956673627858582442744284769525508,-856665208452353007912667647772740]],[[0,0],[1,0]],[[0,0],[956673627858582442744284769525508,856665208452353007912667647772740]]]>,<233,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[79466048,0,-34018,0,1]>,[[0,-1,0,0],[0,-348748828009399888132178522574735540560024597,0,-42367828060262351225863072136873063146621589],[0,348748828009399888132178522574735540560024597,0,42367828060262351225863072136873063146621589],[0,1,0,0]]>*] [x,0,x^2-x-58,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,73,233],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,2^3*73*233,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,13,73,233],[5,2,5,5],0,[0.9622001654-0.2723432423*i,1.116446141-0.02394472283*i,1.007208608+0.05846277184*i],<"1.2e3_73_233.4t1.1",1>,[4,1]>,<1,233,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,13,73,233],[1,1,3,5],1,[1.000000000,1.407615151,1.176607793],<"notfaithful",0>,[4,1]>,<1,2^3*73*233,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,13,73,233],[5,2,5,5],0,[0.9622001654+0.2723432423*i,1.116446141+0.02394472283*i,1.007208608-0.05846277184*i],<"1.2e3_73_233.4t1.1",2>,[4,1]>]
x^3-174*x-1769 -3^4*19*29^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 61 x-1 5 [[274003887],[-28149520],[-245854367]] 2 [2,2,3,1,3,2,3,1,3,2,2,2,2,3,3,2,2,1,2,2,3,2,3,2,2,1,2,2,2,2,2,1,3,3,1,2,3,3,2,2,2,2,3,2,3,3,2,2,2,3,1,3,2,1,2,3,2,3,3,2,1,2,2,3,3,2,2,2,3,3,3,3,3,2,2,2,3,3,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,3,3,2,2,2,3,2,3,2,2,3,3,1,1,2,2,2,3,3,3,1,2,1,1,3,2,2,2,2,2,3,1,1,3,3,1,3,2,2,3,3,3,2,2,2,3,2,3,3,2,2,2,3,2,1,2,2,1,1,2,2,2,1,1,1,2,1,2,3,2,2,2,2,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[2],[[[3,1,2]]],20,<<[],[2,2,1]>,[[-2109,0],[-162,0],[6,0],[1,0]]>,[[[2,0],[1,0],[0,0]],[[173963261,173963262],[-78023543,503107191],[6935426,6935426]],[[-173963263,-173963262],[78023542,-503107191],[380485063,380485063]]]>,<7,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-32828374667885987,3703822641214609,-5072133529448051]>,<19,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[12203606171129248669174100,-10858200496214148699466929,1]>,[[-10858200496214148699466965,0],[10858200496214148699466947,-1],[18,1]]>,<29,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,24,1]>,[[-1769,0],[-174,0],[0,0],[1,0]]>,[[[10721645158594516722956393373,45142114467660314693026359548],[1028072798541283980393433955,1357185492918021892028379844],[1433387336142372728231295233,-389156159203968230112296203]],[[0,0],[1,0],[0,0]],[[-10721645158594516722956393373,-45142114467660314693026359548],[-1028072798541283980393433956,-1357185492918021892028379844],[-1433387336142372728231295233,389156159203968230112296203]]]>*] [x,x^2-x+5,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,19,29],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,19,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,7,19,29],[2,1,4,2],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[3,2]>,<2,3^4*19*29^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,7,19,29],[4,1,5,4],1,[1.000000000,1.266729422,1.055008126],<"2.3e4_19_29e2.3t2.1",1>,[3,2]>]
x^3-261*x-2088 -3^4*19*29^2 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 43 x-1 5 [[22038795],[20074603],[-42113398]] 2 [2,2,3,3,3,2,3,1,3,2,2,2,2,1,1,2,2,3,2,2,1,2,3,2,2,3,2,2,2,2,2,3,1,3,3,2,3,1,2,2,2,2,1,2,3,3,2,2,2,1,3,1,2,1,2,3,2,1,1,2,3,2,2,3,1,2,2,2,3,3,1,3,3,2,2,2,3,3,2,2,3,2,2,2,2,1,2,1,3,3,3,3,2,1,3,3,2,2,2,3,2,3,2,2,1,3,1,3,2,2,2,3,1,1,3,2,3,3,1,2,2,2,2,2,3,1,3,3,3,3,3,2,2,3,3,1,2,2,2,3,2,1,3,2,2,2,3,2,3,2,2,3,3,2,2,2,3,3,1,2,3,2,3,2,2,2,2,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-334344,0],[111641,-111062],[222703,111062]]>,<3,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[2],[[[2,3,1]]],20,<<[],[2,2,1]>,[[-161472,0],[7569,0],[-174,0],[1,0]]>,[[[0,0],[145282683,0],[185360665,0]],[[174734772,174734772],[126896559,5827656],[44880547,-56149365]],[[-174734772,-174734772],[115241247,-5827656],[157179277,56149365]]]>,<19,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[3923848569723902424382731,7418244132630920018357189,1]>,[[7418244132630920018357175,0],[-7418244132630920018357182,-1],[7,1]]>,<29,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,24,1]>,[[-2088,0],[-261,0],[0,0],[1,0]]>,[[[-6019996522421887248037202554,-30000762402053449470300873613],[2636458449334865589752376382,-2069018096693341342779370594],[2069018096693341342779370594,-844792033040553469698194062]],[[0,0],[1,0],[0,0]],[[6019996522421887248037202554,30000762402053449470300873613],[-2636458449334865589752376383,2069018096693341342779370594],[-2069018096693341342779370594,844792033040553469698194062]]]>*] [x,x^2-x+5,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,19,29],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,19,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,19,29],[2,2,4,2],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[3,2]>,<2,3^4*19*29^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,19,29],[2,4,5,4],1,[1.000000000,0.8870708809,0.9942617315],<"2.3e4_19_29e2.3t2.2",1>,[3,2]>]
