x^2-534 2^3*3*89 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1028],[1028]] 1 [1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-534,0,1]>,[[0,1],[0,262143]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-534,0,1]>,[[0,-1],[0,1]]>,<89,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-534,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,89],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*3*89,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,89],[3,3,3],1,[1.000000000,1.368437156,1.054951892],<"1.2e3_3_89.2t1.2",1>,[2,1]>]
x^4-x^3-130*x^2-326*x+1231 3^2*149^3 4 0 4 "C4" [[3,1,4,2],[4,3,2,1]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[3,1,4,2]>,<4,1,[2,4,1,3]>] [[1,1,1,1],[2,2],[4]] 31 x-1 5 [[-7824895],[-13569251],[4565459],[-11800463]] 1 [3,3,2,2,3,4,2,1,4,2,1,1,3,4,1,1,3,2,1,4,1,4,4,4,4,3,2,2,4,1,1,3,4,3,1,4,3,3,4,1,2,4,1,3,4,4,4,4,3,1,4,4,4,2,4,2,1,3,3,1,4,1,2,3,3,2,1,1,2,3,3,1,2,3,1,2,4,3,1,3,1,1,1,4,4,2,3,4,4,1,1,3,3,4,3,3,3,3,2,3,2,1,1,4,2,2,2,3,4,1,4,1,3,3,2,1,2,4,4,2,4,3,2,4,1,3,2,2,4,3,2,4,1,4,2,2,2,2,4,1,4,1,4,1,3,4,3,1,1,1,2,4,3,2,4,2,1,1,4,1,1,3,1,4,4,4,4,2] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x-773,3>,<x+1462,4>]*]] [*<3,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,3,4],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[1593354072,-450114231],[1593354126,-150038070],[1,0]]>,[[[-1593354126,150038072],[-1,0]],[[0,2],[1,0]],[[697356884,637341652],[318670826,434896972]],[[895997243,-787379726],[-318670826,-434896972]]]>,<5,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,4,1]>,[[-693194805067,-34077956110147],[40251197994896,34077956110147],[7046710965251,3876113116020],[-8457741498829,-3876113116020]]>,<19,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-18258405301988736824821073,12372691037847000685157248,-297703620788006151812805,248158917948801524104694]>,<149,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[154281007,5552634,74798,447,1]>,[[69397,41100347158666214418117239144601008745136,-41100347158666214418117239144601008743214,-61650520737999321627175858716901513114847],[11635508280618405301768990401836545575220296,86310729033199050278046202203662118361123,-8220069431733242883623447828920201748643,-90420763749065671719857926118122219235109],[-11635508280618405301768990401836545575289804,67815572811799253789893444588591664424089,49320416590399457301740686973521210491857,-43155364516599525139023101101831059180393],[112,1,0,0]]>*] [x,0,x^2-x-37,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,19,149],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,3*149,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[3,5,19,149],[5,2,1,5],0,[0.8869786763+0.4618103808*i,0.6499323324+0.2686928330*i,0.8875933329+0.2219401138*i],<"1.3_149.4t1.1",1>,[4,1]>,<1,149,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,19,149],[3,1,1,5],1,[1.000000000,0.6735958333,0.7597109366],<"notfaithful",0>,[4,1]>,<1,3*149,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[3,5,19,149],[5,2,1,5],0,[0.8869786763-0.4618103808*i,0.6499323324-0.2686928330*i,0.8875933329-0.2219401138*i],<"1.3_149.4t1.1",2>,[4,1]>]
x^4-x^3+2461*x^2-2461*x+1212781 5^3*11^2*179^2 0 2 4 "C4" [[4,1,2,3],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<4,1,[4,1,2,3]>,<4,1,[2,3,4,1]>] [[1,1,1,1],[2,2],[4]] 19 x-1 6 [[-19133262],[21680793],[-14067950],[11520420]] 2 [3,4,1,3,1,3,4,1,3,1,1,4,1,3,3,3,2,2,3,2,4,2,3,2,4,2,3,4,2,3,3,1,4,1,1,2,4,3,3,3,1,2,1,3,3,2,1,3,4,1,4,1,1,2,4,4,1,1,3,1,4,4,3,2,3,3,2,4,4,2,3,1,3,3,1,4,2,3,1,1,2,2,1,4,1,4,1,3,1,3,4,1,3,1,2,3,2,2,4,2,3,4,4,2,1,4,4,3,1,2,4,3,3,2,2,2,4,3,4,2,1,4,3,4,2,1,2,2,4,3,2,3,2,4,2,2,4,3,3,1,2,1,4,3,1,1,4,4,1,4,4,2,3,4,3,1,2,1,4,2,3,4,3,1,3,4,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x-2461,3>,<x+7384,4>]*]] [*<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[1242505,17435,2545,15,1]>,[[41519944390699,-6849244056756,1121347852091,830398887814],[34665218119289,670239902098,306612434763,-8843438801677],[19182269130634,6179004154657,-1427960286854,8013039913863],[4,1,0,0]]>,<11,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[18136750072349350783,-273946294811098331664,1]>,[[273946294811098331668,-1],[4,1],[149088889500734985815,29309933017440146508],[249714810620726691715,-29309933017440146508]]>,<179,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[480409536046729178153379187748250570924945406,477427102648816647872137507988735754970360079,1]>,[[-477427102648816647872137507988735754970359937,-1],[142,1],[-33093024219454863955817865092862708418059436,397879236873811028645354154897982902966630],[510520126868271511827955373081598463388419232,-397879236873811028645354154897982902966630]]>,<239,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-13238731095030227961505864649026096235878448063,77642294785301264852298301844826115436470825376,-666320060632767898462866407742395634798280350,-300048164759113717621941793012750262849007643]>,<1019,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-137026019148062184154855114905202861486603964965049430504740,521061104098577035069040532324140045445545200241929146388498,-53849828885274188769775349483295272421146743914485591404,665256989476344990175946159050471550221647651013655408998]>*] [x,0,x^2-x-1,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,11,179,239,1019],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,5*11*179,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[5,11,179,239,1019],[5,5,5,1,1],0,[-0.8506508084-0.5257311121*i,0.8207222904+0.3583493601*i,0.9560053808+0.1542296324*i],<"1.5_11_179.4t1.1",1>,[4,1]>,<1,5,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,11,179,239,1019],[5,1,1,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,1]>,<1,5*11*179,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[5,11,179,239,1019],[5,5,5,1,1],0,[-0.8506508084+0.5257311121*i,0.8207222904-0.3583493601*i,0.9560053808-0.1542296324*i],<"1.5_11_179.4t1.1",2>,[4,1]>]
x^5-2*x^4-25*x^2-35*x-60 5^3*11^2*179^2 1 2 20 "F5" [[2,4,1,5,3],[1,5,4,2,3],[1,3,2,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[1,3,2,5,4]>,<4,5,[1,5,4,2,3]>,<4,5,[1,4,5,3,2]>,<5,4,[2,4,1,5,3]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 59 x^2+58*x+2 9 [[2874032235094480,1634986569727514],[-3000140615893794,0],[935537058495993,-1555348673670839],[3337765196102997,-1634986569727514],[-4147193873799674,1555348673670839]] 2 [4,3,1,4,1,4,3,5,4,1,5,3,5,4,4,4,2,2,4,2,3,2,4,2,3,2,4,3,2,4,4,5,3,5,5,2,3,4,4,4,1,2,1,4,4,2,5,4,3,5,3,5,5,2,3,3,5,1,4,1,3,3,4,2,4,4,2,3,3,2,4,5,4,4,5,3,2,4,5,5,2,2,5,3,1,3,5,4,5,4,3,5,4,5,2,4,2,2,3,2,4,3,3,2,5,3,3,4,5,2,3,4,4,2,2,2,3,4,3,2,5,3,4,3,2,5,2,2,3,4,2,4,2,3,2,2,3,4,4,5,2,5,3,4,5,5,3,3,1,3,3,2,4,3,4,5,2,5,3,2,4,3,4,5,4,3,2,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5-8*x^4+300*x^3-261475*x^2-26766965*x-1712868990,3>,<x^5-8*x^4+300*x^3-192560*x^2-6437040*x-459895840,4>]*],[*[5],"CYC",0,5*]] [*<5,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,4,3],[1],[[[1,3,5,2,4]]],20,<[],[24880676234455,13369892260570,-27819297199415,14990949135155,1]>,[[14990949135157,0,0,0],[8911061441485,-5551446162531,-4294733700468,3606552312146],[40029466632290,-4084556652922,-9080087421479,4423869816403],[31435954431695,-9437483512673,-5698665206178,-8030422128549],[0,1,0,0]]>,<11,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-97687214559504103303,181027018585792460092,1]>,[[158208129484155109605,0],[-181027018585792460083,-1],[9,1],[-20971385003470097481,1520313561981107399],[-17368816343307098339,-1520313561981107399]]>,<179,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-237973460995994214564704121607016932913213166,-447688402947538355117340071636450773994151530,1]>,[[274693949449200346637336950934322861275021150,0],[447688402947538355117340071636450773994151688,-1],[158,1],[-286895788829953643334221711123836275426403175,1997167196461648295336676283209022073755390],[-435486563566785058420455311446937359842769819,-1997167196461648295336676283209022073755390]]>*] [x,x^2-x-1,x^4-x^3+2461*x^2-2461*x+1212781,x^4-x^3+2461*x^2-2461*x+1212781,0] [1,2,4,2,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,179],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,11,179],[3,6,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,3]>,<1,5*11*179,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,5,11,179],[4,6,6,6],0,[-0.8506508084-0.5257311121*i,0.8207222904+0.3583493601*i,0.9560053808+0.1542296324*i],<"notfaithful",0>,[5,3]>,<1,5*11*179,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,5,11,179],[4,6,6,6],0,[-0.8506508084+0.5257311121*i,0.8207222904-0.3583493601*i,0.9560053808-0.1542296324*i],<"notfaithful",0>,[5,3]>,<4,5^3*11^2*179^2,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[-2],[1]]],[2,5,11,179],[3,6,7,7],1,[0,0,0],<"4.5e3_11e2_179e2.5t3.1",1>,[5,3]>]
x^6-2*x^5-15*x^4+20*x^3+60*x^2-32*x-1154 2^11*3^3*193^3 2 2 12 "D12" [[2,1,6,4,5,3],[3,6,1,5,4,2],[1,5,3,6,2,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,6,1,5,4,2]>,<2,3,[2,1,6,4,5,3]>,<2,3,[6,3,2,5,4,1]>,<3,2,[5,1,4,6,2,3]>,<6,2,[4,3,5,2,6,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 11 x^2+7*x+2 10 [[6181415461,0],[7172919747,6637811365],[10313889947,0],[-1727151128,-2725405273],[12583089394,-6637811365],[-8586738818,2725405273]] 3 [1,3,4,6,3,5,1,6,3,4,6,1,5,3,6,4,6,5,3,2,4,3,6,5,5,5,3,6,4,5,3,6,4,3,4,6,4,6,2,4,6,4,3,1,5,2,3,3,3,4,5,3,5,3,4,6,4,3,4,5,2,5,2,3,4,5,3,5,3,1,1,3,3,5,3,3,1,5,5,1,3,5,6,4,3,3,4,4,1,3,6,3,2,3,6,6,4,1,3,5,3,4,6,1,3,1,2,4,2,4,6,5,5,6,3,4,3,6,4,3,1,4,1,3,3,4,4,6,3,5,6,2,6,5,5,5,5,2,5,5,6,1,3,6,5,3,4,4,2,6,5,4,2,6,6,3,2,4,5,5,6,4,6,2,4,3,3,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x+34,2>,<x^3-34*x^2+28802*x+363460,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,4,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,3,4,5,6],[1,4,3,2],[2,4],[[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[2,1,4,3,6,5]]],20,<[],[56122,354052,149422,-314532,1]>,[[-219163,247592,30949,231195],[-95367,-247592,231195,30949],[0,1,0,0],[-3058,-76905,87052,60144],[-42980,14551,-30949,30949],[98426,62353,-56103,-91093]]>,<3,4,2,[[2,1,4,3,6,5],[5,6,3,4,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,3,4,1,2],[6,5,4,3,2,1]],[5,6,3,4,1,2],[1,4,3,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[-984169230,0],[127089879,0],[1,0]]>,[[[-1679847262,-1679847262],[-1,581130733]],[[-1552757383,127089878],[1,-581130733]],[[-127089878,0],[-1,0]],[[1,0],[1,0]],[[1679847262,1679847262],[0,-581130733]],[[1679847262,-127089878],[0,581130733]]]>,<17,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[1267108024766430553562953,1202097840478287402299275,1466616365048632540493270,1395517201120652579609057,3043591702241770113181,-74789438042915699440368]>,<23,2,1,[[1,4,3,2,6,5]],[[1,2,3,4,5,6],[1,4,3,2,6,5]],[1,4,3,2,6,5],[1,3],[1],[[]],20,<[],[5,21,1]>,[[-674556870529071841727280336,0],[-208437931483999940475247225,438357250214783158803123639],[-233406373091845235913262100,0],[-833161029321514560721367639,-438357250214783158803123639],[31856716098188286253079887,31003678062287102513042430],[-22296755789115182025543247,-31003678062287102513042430]]>,<37,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[5901692265089316516617446549141,-4071204766667017517111869450859,10117023865137219270896966382749,7103767536434622939171840854912,51665875926887126955565029001,269946944795077623666641645621]>,<193,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[2,1,4,3,6,5]]],20,<[],[-1043969226095579136214939955899760153306536928,231766392522364864580812712077193916142784896,1]>,[[-231766392522364864580812712077193916142784740,-1],[156,1],[-1617312384623558069079977004741896883529074972,13164382980460589521052129676245716971816803],[-70891405767057561260160760901970297674867191,-13164382980460589521052129676245716971816803],[70891405767057561260160760901970297674867036,13164382980460589521052129676245716971816802],[1849078777145922933660789716819090799671859713,-13164382980460589521052129676245716971816802]]>*] [x,x^2+1158,x^2+1,x^2-1158,x^3-x^2+17*x-5,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,17,23,37,193],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^3*3*193,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,17,23,37,193],[7,7,1,3,1,7],1,[1.000000000,1.107839483,0.9848046167],<"notfaithful",0>,[6,3]>,<1,2^2,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,17,23,37,193],[7,2,1,2,1,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,3]>,<1,2^3*3*193,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,17,23,37,193],[7,7,1,1,1,7],1,[1.000000000,0.9105929504,0.9572548800],<"notfaithful",0>,[6,3]>,<2,2^3*3*193,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,17,23,37,193],[7,7,1,3,1,7],1,[1.000000000,2.446457020,1.467077739],<"notfaithful",0>,[6,3]>,<2,2^5*3*193,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,17,23,37,193],[7,8,1,3,1,9],1,[1.000000000,1.012027895,0.9250295256],<"2.2e5_3_193.6t3.1",1>,[6,3]>]
