x^2-682 2^3*11*31 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-14],[14]] 1 [1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-682,0,1]>,[[0,1],[0,262143]]>,<11,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-682,0,1]>,[[0,-1],[0,1]]>,<31,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-682,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,11,31],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*11*31,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,11,31],[3,3,3],1,[1.000000000,1.124959267,1.057862231],<"1.2e3_11_31.2t1.2",1>,[2,1]>]
x^6-x^5+2*x^4-x^3-2*x^2-2*x-1 2^2*157*449 2 2 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 47 x^2+45*x+5 5 [[-84618514,-53582734],[20952289,-20520995],[33154446,53582734],[-53899354,53588925],[27017036,20520995],[57394098,-53588925]] 4 [11,10,10,11,7,11,10,11,11,5,10,8,8,9,2,11,10,2,9,11,9,9,5,9,11,9,7,6,10,10,9,6,10,9,9,9,3,7,9,11,9,8,3,9,9,7,7,9,11,8,11,11,9,10,10,9,11,10,11,8,11,11,9,8,8,10,5,8,6,9,10,11,11,9,10,9,10,9,9,3,10,10,5,11,11,5,6,7,8,10,5,9,8,5,11,9,9,8,8,10,6,8,10,9,9,4,7,4,6,10,9,11,8,2,11,11,10,7,9,10,7,2,9,9,8,3,11,4,10,10,8,10,7,11,10,7,7,11,5,2,11,9,7,8,10,10,7,11,8,11,7,9,7,10,7,11,6,11,11,10,11,9,10,4,8,9,9,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<2,18,3,[[1,2,3,6,4,5],[2,3,1,4,6,5]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[3,1,2,4,5,6],[2,3,1,4,5,6],[1,2,3,6,4,5],[2,3,1,5,6,4],[3,1,2,6,4,5],[2,3,1,4,6,5],[3,1,2,4,6,5]],[2,3,1,4,6,5],[1,3,6,6,6,5,5,11,11],[1],[[[1,2,3,6,4,5]]],20,<<[],[1,1,0,1,1,0,1]>,[[106990,0,0,0,0,0],[92128,0,0,0,0,0],[325936,0,0,0,0,0],[1,0,0,0,0,0]]>,[[[92919,-237622,241277,510950,431231,62603],[0,0,0,0,0,0],[0,0,0,0,0,0]],[[459235,193839,-114851,-211082,514547,-356638],[0,0,0,0,0,0],[0,0,0,0,0,0]],[[198708,43783,-126426,-299868,102798,294035],[0,0,0,0,0,0],[0,0,0,0,0,0]],[[-59119,0,0,0,0,0],[234296,0,0,0,0,0],[157461,0,0,0,0,0]],[[212433,-34880,-38336,-113856,-49024,224384],[91976,-119800,106424,243864,-155152,232560],[3500,9045,226691,192463,6550,216358]],[[144401,34880,38336,113856,49024,-224384],[198016,119800,-106424,-243864,155152,-232560],[101183,253099,35453,69681,255594,45786]]]>,<157,4,2,[[1,2,3,4,6,5],[3,2,1,4,5,6]],[[1,2,3,4,5,6],[3,2,1,4,5,6],[1,2,3,4,6,5],[3,2,1,4,6,5]],[3,2,1,4,5,6],[1,3,3,4],[1],[[[1,2,3,4,6,5]]],20,<<[],[5,152,1]>,[[5923343255842670469872225892920935296361155,0],[-40957948190729403386971000495501548575871679,0],[1,0]]>,[[[-10975922262664888651206927394655673218746111,8138261306849531162980142002097724935412849],[0,0]],[[-36461543758765209791711883629423761101638314,0],[0,0]],[[-6098274663246207923640999260280218897509144,-8138261306849531162980142002097724935412849],[0,0]],[[12577792493946902979588809788858104642021819,0],[0,0]],[[40957948190729403386971000495501548575871715,0],[-1,0]],[[36,0],[1,0]]]>,<449,6,2,[[1,2,3,4,6,5],[1,3,4,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3,4,2,5,6],[1,4,2,3,5,6],[1,3,4,2,6,5],[1,4,2,3,6,5]],[1,3,4,2,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[446,1,0,1]>,[[-34039589013924372228768945755637655208834320579820957,0,0],[12195223184986626338485656718641527843304717668754885,0,0],[1,0,0]]>,[[[-15444894831484190903684288080249654528987316376973871,0,0],[0,0,0]],[[-19911546958850755730804531169558145717803958891561595,53303626430520745621949680984503629852398847332664362,-43687379446511542217291769153782809762851955360206393],[0,0,0]],[[43087993662883332991904413275663546909051990693568871,29998451542038618621991663831093333981961104369369070,50811931486089590866771647514049729177431969017489306],[0,0,0]],[[4463671312438239981070062692785781181044002243720725,27596715197188136704180299240018541219342464735182569,-7124552039578048649479878360266919414580013657282913],[0,0,0]],[[-12195223184986626338485656718641527843304717668754507,0,0],[-1,0,0]],[[378,0,0],[1,0,0]]]>*] [x,x^2-x-17623,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,157,449],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,157*449,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,157,449],[2,12,12],1,[1.000000000,0.3011548010,0.6737858503],<"notfaithful",0>,[6,16]>,<5,2^2*157*449,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[0],[0],[-1]],[[1],[-2],[0],[2],[-1]],[[1],[-1],[0],[-1],[1]]],[2,157,449],[12,13,14],1,[1.000000000,0.5032133022,0.8554964779],<"5.2e2_157_449.6t16.1",1>,[6,16]>,<5,2^4*157^2*449^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]]],[2,157,449],[12,13,14],1,[0,0,0],<"5.2e4_157e2_449e2.12t183.1",1>,[6,16]>,<5,2^2*157^4*449^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[-1]]],[2,157,449],[12,13,14],1,[0,0,0],<"5.2e2_157e4_449e4.12t183.1",1>,[6,16]>,<5,2^4*157^3*449^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[1]],[[1],[0],[-1]],[[1],[1],[1]]],[2,157,449],[12,13,14],1,[0,0,0],<"5.2e4_157e3_449e3.6t16.1",1>,[6,16]>,<9,2^6*157^3*449^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1]],[[1],[-2],[-1],[4],[-1],[-2],[1]],[[1],[0],[0],[-2],[0],[0],[1]]],[2,157,449],[12,13,14],1,[0,0,0],<"9.2e6_157e3_449e3.10t32.1",1>,[6,16]>,<9,2^6*157^6*449^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[2,157,449],[12,13,14],1,[0,0,0],<"9.2e6_157e6_449e6.20t145.1",1>,[6,16]>,<10,2^6*157^6*449^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[2],[0],[-2],[-1]],[[1],[-1],[0],[-1],[1]]],[2,157,449],[12,13,14],1,[0,0,0],<"10.2e6_157e6_449e6.30t176.1",1>,[6,16]>,<10,2^6*157^4*449^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[0],[0],[-2],[0],[0],[1]]],[2,157,449],[12,13,14],1,[0,0,0],<"10.2e6_157e4_449e4.30t176.1",1>,[6,16]>,<16,2^12*157^8*449^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1]],[[1],[0],[-4],[0],[6],[0],[-4],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]]],[2,157,449],[12,13,14],1,[0,0,0],<"16.2e12_157e8_449e8.36t1252.1",1>,[6,16]>]
x^3-x^2+11*x+31 -2^2*3*19*163 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 31 x-1 5 [[-632865],[3695174],[-3062308]] 2 [2,1,3,2,3,3,3,1,3,2,1,3,1,3,2,3,2,3,1,1,2,3,2,2,2,3,3,2,3,3,3,2,1,2,3,2,2,1,1,1,3,1,3,3,2,1,1,2,1,2,3,1,3,2,2,2,2,2,2,1,2,2,2,1,3,2,3,1,2,2,1,2,1,2,2,3,1,3,2,2,2,2,2,1,2,3,2,1,2,2,1,3,2,3,3,2,2,2,2,2,2,3,1,2,2,3,3,2,2,1,2,2,3,2,2,3,2,2,2,2,2,2,3,2,1,2,1,1,2,3,3,3,3,2,3,2,3,2,3,3,3,2,2,2,2,3,3,2,2,2,2,3,2,2,3,1,1,1,2,3,2,2,3,3,2,2,3,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[42,0],[12,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[365675,-317226],[346432,168577],[282352,40416]],[[-365675,317226],[177855,355711],[241936,483872]]]>,<3,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-1355653266,-1009974897,1]>,[[-1009974898,0],[1009974898,-1],[1,1]]>,<19,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[17669593936029386547038404,-3044127638162338713824590,1]>,[[-3044127638162338713824593,0],[3044127638162338713824592,-1],[2,1]]>,<163,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[47443565620876013579361452194754253007356549,-9406851196898925298316111707036686349629868,1]>,[[-9406851196898925298316111707036686349630133,0],[9406851196898925298316111707036686349630001,-1],[133,1]]>*] [x,x^2-x+2323,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,19,163],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*19*163,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,19,163],[2,4,4,4],1,[1.000000000,1.042962326,0.8344495284],<"notfaithful",0>,[3,2]>,<2,2^2*3*19*163,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,19,163],[4,5,5,5],1,[1.000000000,1.097088727,1.064694350],<"2.2e2_3_19_163.3t2.1",1>,[3,2]>]
x^4-x^3-7*x^2-61*x+196 2^2*47^2*59 0 2 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 53 x-1 5 [[-202053483],[173596698],[-148555632],[177012418]] 3 [1,4,3,4,3,5,2,5,3,3,3,4,3,3,1,1,1,4,3,4,5,4,2,4,4,4,2,5,5,5,5,2,3,5,4,3,4,5,5,4,3,3,2,3,2,5,3,5,3,5,5,4,1,4,3,4,4,4,2,3,1,3,4,5,5,3,4,4,2,5,4,5,3,3,4,4,3,4,4,5,3,5,2,3,4,3,3,4,3,3,3,4,4,4,5,3,5,2,4,4,5,3,3,5,2,3,3,3,5,4,5,4,1,4,5,3,4,4,2,1,2,5,3,2,3,5,2,1,5,2,2,5,3,3,1,4,4,5,5,5,1,5,2,4,3,3,1,5,3,2,3,5,4,3,4,4,3,4,5,4,4,3,2,5,4,3,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+80,2>,<x^2+110*x+2494,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[2],[[[1,2,4,3]]],20,<[],[54830,-27418,1]>,[[84388,0],[-111807,0],[1,1],[27419,262143]]>,<3,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[2,2,1]>,[[-952429543,-1238154475],[1523879407,1238154475],[-326259025,0],[-245190838,0]]>,<47,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-1267294323279036926172990249287660,-297639004779524921525398927129151,1]>,[[297639004779524921525398927129169,-1],[18,1],[483630249174719366641684873287004,-10705027596521831783487985194209],[-781269253954244288167083800416190,10705027596521831783487985194209]]>,<59,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[118695153075054298125083613653435673,97633875406519658066912685210877594,1]>,[[97396372941357832183410792883900194,0],[237502465161825883501892326977323,0],[-97633875406519658066912685210877555,-1],[39,1]]>*] [x,x^2-x+12,x^2-59,x^2+2773,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,47,59],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,47,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,47,59],[1,1,6,1],1,[1.000000000,2.291241928,1.447558489],<"notfaithful",0>,[4,3]>,<1,2^2*59,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,47,59],[6,4,1,6],1,[1.000000000,0.9068989869,0.9255729589],<"notfaithful",0>,[4,3]>,<1,2^2*47*59,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,47,59],[6,3,6,6],1,[1.000000000,0.4772708663,0.8461151498],<"notfaithful",0>,[4,3]>,<2,2^2*47*59,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,47,59],[6,3,6,6],1,[1.000000000,2.117980891,1.344448638],<"2.2e2_47_59.4t3.1",1>,[4,3]>]
