x^2+745 -2^2*5*149 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-5955],[5955]] 2 [1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[746,2,1]>,[[1,1],[-1,-1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[745,0,1]>,[[0,-1],[0,1]]>,<149,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[745,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,5,149],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*5*149,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,5,149],[3,3,3],1,[1.000000000,0.9207923941,0.9238193369],<"1.2e2_5_149.2t1.1",1>,[2,1]>]
x^4-x^3-12*x^2+11*x+49 3^3*7*37 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[2,1,3,4]>,<4,2,[4,3,1,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 5 [[493226],[-626366],[374635],[-241494]] 3 [3,4,5,1,5,2,5,1,3,3,1,4,3,4,3,5,5,2,2,5,4,4,3,5,1,3,2,5,4,3,1,5,5,4,5,2,4,4,5,3,3,4,3,4,5,2,2,4,5,4,5,3,2,5,5,5,3,4,4,3,1,3,4,5,1,5,4,2,3,4,5,5,4,2,1,5,3,4,3,2,3,4,3,4,2,5,3,4,5,4,5,5,4,5,4,5,3,3,1,4,4,3,5,3,2,2,5,3,5,4,1,1,5,4,4,5,1,5,3,5,2,1,3,3,4,3,4,3,1,4,1,5,1,4,3,1,3,4,5,3,4,5,1,3,1,3,2,5,2,5,2,3,4,3,4,3,4,3,4,3,3,5,4,3,3,3,4,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+2,2>,<x^2-23*x-62,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[-299060,-242899],[-56161,242899],[56161,19244],[36917,-19244]]>,<3,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[2,2,1]>,[[48,0],[-12,0],[-9,0],[3,0],[1,0]]>,[[[-5,0],[290565368,0],[290565367,0],[-290565367,0]],[[1054135777,-689256426],[374067332,-61780717],[-447864468,278548949],[117165590,553013640]],[[1,0],[1,0],[0,0],[0,0]],[[-1054135772,689256426],[497628766,61780717],[157299101,-278548949],[173399777,-553013640]]]>,<7,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[39707662885353869,22143577275619772,1]>,[[-16458494723988758,-22797790370746286],[15804281628862233,0],[-22143577275619766,-1],[6,1]]>,<37,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,33,1]>,[[7026235196750909381558823295556,0],[-1120535203902040230623248122195,0],[1,0]]>,[[[-8435675200643439382805958283356,-4681385369616720936215339126220],[0,0]],[[7315139996741399152182710161098,4681385369616720936215339126220],[0,0]],[[1120535203902040230623248122227,0],[-1,0]],[[32,0],[1,0]]]>*] [x,x^2-x+1,x^2-x-194,x^2-x+65,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,37],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,37],[3,6,1,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,3*7*37,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,37],[1,6,6,6],1,[1.000000000,1.750780344,1.283219255],<"notfaithful",0>,[4,3]>,<1,7*37,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,37],[3,3,6,6],1,[1.000000000,0.7808362768,0.7635552179],<"notfaithful",0>,[4,3]>,<2,3^2*7*37,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,7,37],[3,6,7,8],1,[1.000000000,1.375180274,1.080649651],<"2.3e2_7_37.4t3.2",1>,[4,3]>]
x^4-2*x^3+15*x^2-14*x+52 3^3*7*37 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[2,1,3,4]>,<4,2,[4,3,1,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 13 x-1 5 [[-4004],[4005],[72726],[-72725]] 3 [3,4,5,1,5,1,5,2,3,3,2,4,3,4,3,5,5,1,2,5,4,4,3,5,2,3,1,5,4,3,1,5,5,4,5,2,4,4,5,3,3,4,3,4,5,1,2,4,5,4,5,3,1,5,5,5,3,4,4,3,2,3,4,5,2,5,4,2,3,4,5,5,4,2,1,5,3,4,3,1,3,4,3,4,1,5,3,4,5,4,5,5,4,5,4,5,3,3,2,4,4,3,5,3,2,1,5,3,5,4,2,1,5,4,4,5,2,5,3,5,1,1,3,3,4,3,4,3,2,4,1,5,1,4,3,2,3,4,5,3,4,5,1,3,2,3,1,5,1,5,2,3,4,3,4,3,4,3,4,3,3,5,4,3,3,3,4,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-14,2>,<x^2+26*x-608,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[-252332,233198],[38758,-233198],[252333,-233198],[-38757,233198]]>,<3,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[2,2,1]>,[[84,0],[54,0],[27,0],[6,0],[1,0]]>,[[[-1,0],[-1,0],[0,0],[0,0]],[[1342529801,-400862400],[-166294864,-166294864],[100946736,100946736],[-106707555,-106707555]],[[2,0],[1,0],[0,0],[0,0]],[[-1342529800,400862400],[166294864,166294864],[-100946736,-100946736],[106707555,106707555]]]>,<7,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[35505111746372499,7,1]>,[[37840068905802064,0],[-37840068905802063,0],[-3,-1],[4,1]]>,<37,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,33,1]>,[[-2241070407804080461246496244168,0],[37,0],[1,0]]>,[[[487257484317316303132078886248,3532937372786073522415012930500],[0,0]],[[-487257484317316303132078886247,-3532937372786073522415012930500],[0,0]],[[-18,0],[-1,0]],[[19,0],[1,0]]]>*] [x,x^2-x+1,x^2-x-194,x^2-x+65,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,37],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,37],[3,6,1,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,3*7*37,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,37],[1,6,6,6],1,[1.000000000,1.750780344,1.283219255],<"notfaithful",0>,[4,3]>,<1,7*37,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,37],[3,3,6,6],1,[1.000000000,0.7808362768,0.7635552179],<"notfaithful",0>,[4,3]>,<2,3^2*7*37,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,7,37],[3,6,7,8],1,[1.000000000,1.436004934,1.091018669],<"2.3e2_7_37.4t3.3",1>,[4,3]>]
x^3-x^2-1040*x-9941 3121^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 23 x-1 5 [[2774678],[-1536115],[-1238562]] 1 [3,3,3,3,2,1,3,3,1,1,3,2,3,1,1,2,1,1,1,1,1,1,3,1,2,3,3,1,3,1,2,2,1,1,3,3,3,1,3,3,3,1,1,2,1,2,2,3,1,1,2,2,1,3,2,2,1,2,3,3,3,3,1,1,1,1,2,1,2,3,2,2,1,1,1,2,2,1,3,3,3,3,2,1,3,2,2,3,2,3,1,2,1,3,1,2,3,2,2,3,2,2,1,2,2,3,2,2,1,3,1,1,1,1,3,1,1,2,2,3,2,3,2,1,3,3,3,3,2,2,2,2,1,1,3,3,3,3,3,2,1,3,3,3,1,2,3,3,2,1,1,2,2,2,2,1,2,3,2,3,3,2,3,1,2,3,1,3] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x-40573,2>,<x+40573,3>]*]] [*<13,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-8950903772440436415423,651813373365440087417,-472431343177680336055]>,<3121,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[9005392699,12986481,6242,1]>,[[591469045798235378472292464844823931221913011641480448008931378446346,-1137076025244925431218761547282583655024504347916976189699964199842,-189512670874154238536460257880430609170750724652829364949994033360],[-591469045798235378472292464844823931221913011641480448008931378448426,1137076025244925431218761547282583655024504347916976189699964199841,189512670874154238536460257880430609170750724652829364949994033360],[2081,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,3121],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,3121,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,13,3121],[3,1,4],0,[-0.9766746742+0.2147244298*i,0.3723195210-0.4727487430*i,0.7572313086-0.2606405838*i],<"1.3121.3t1.1",1>,[3,1]>,<1,3121,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,13,3121],[3,1,4],0,[-0.9766746742-0.2147244298*i,0.3723195210+0.4727487430*i,0.7572313086+0.2606405838*i],<"1.3121.3t1.1",2>,[3,1]>]
x^5-x^4-9*x^3+8*x^2+3*x-1 3121^2 5 0 10 "D10" [[2,1,3,5,4],[5,3,2,4,1]] [<1,1,[1,2,3,4,5]>,<2,5,[5,3,2,4,1]>,<5,2,[4,3,1,5,2]>,<5,2,[5,1,4,2,3]>] [[1,1,1,1,1],[1,2,2],[5]] 7 x^2+6*x+3 6 [[-43390,-6840],[-2350,6840],[12101,0],[-24213,-52894],[57853,52894]] 1 [4,3,3,2,2,3,2,1,4,2,2,2,3,1,2,3,4,2,4,2,4,4,2,2,2,2,2,2,2,2,3,1,4,3,2,2,4,1,4,2,2,3,4,2,2,2,2,2,2,3,4,2,3,2,2,2,2,4,1,2,2,4,2,2,4,4,2,2,4,4,2,2,2,1,2,3,4,2,2,2,4,3,2,2,2,2,4,2,2,2,4,1,2,2,4,2,3,3,2,4,2,2,2,3,2,1,2,3,2,2,4,2,3,3,2,2,2,3,3,2,4,2,2,3,4,3,4,3,2,2,2,2,4,2,3,3,2,3,1,4,1,4,3,4,1,2,2,2,2,2,3,2,4,1,3,2,2,3,2,2,2,1,2,4,3,3,2,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x+3121,3>,<x-3121,4>]*]] [*<3121,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[748221296636617626828758500193853922521610929884458103773571559000266,659689225898068656571043515880608388772583778045010117053623020948955,1]>,[[-2191371674311410003837516829867023976772430616785703726640504914427518,0],[-659689225898068656571043515880608388772583778045010117053623020947411,-1],[1544,1],[3026670516583450350629930988382308635718908342701331265610023327887496,-1046291862731645089499167911006006099157299968149788151701099881329],[-175609616373971690221370642634676270173893947870617421915895392514110,1046291862731645089499167911006006099157299968149788151701099881329]]>*] [x,x^2-x-780,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3121],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,3121,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3121],[1,5],1,[1.000000000,3.050662166,1.526085902],<"notfaithful",0>,[5,2]>,<2,3121,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3121],[4,5],1,[1.000000000,0.4995687685,0.8644544974],<"2.3121.5t2.1",1>,[5,2]>,<2,3121,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3121],[4,5],1,[1.000000000,0.6337597311,0.7445280211],<"2.3121.5t2.1",2>,[5,2]>]
x^5-x^4+13*x^3-111*x^2+294*x-252 3^2*7^2*17^2*103^2 1 2 10 "D10" [[4,5,3,1,2],[3,2,1,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[4,5,3,1,2]>,<5,2,[5,4,1,3,2]>,<5,2,[2,3,5,1,4]>] [[1,1,1,1,1],[1,2,2],[5]] 11 x^2+7*x+2 8 [[-33697639,49276842],[-43632772,-96925890],[35476368,0],[50082229,-49276842],[-8228185,96925890]] 2 [2,1,4,1,2,2,1,2,4,3,2,3,2,2,2,3,4,3,2,2,2,2,3,2,4,2,1,1,4,2,2,2,2,4,2,2,4,2,2,3,2,2,3,1,2,2,4,2,3,2,2,2,2,2,2,4,2,4,3,3,2,2,4,2,3,3,2,2,3,3,2,2,4,3,3,2,4,2,4,2,2,3,3,3,2,1,2,2,3,2,4,3,4,2,1,2,3,3,2,2,2,4,2,1,2,3,4,2,4,2,3,4,2,4,4,4,4,1,2,2,3,2,2,2,2,2,2,3,3,1,4,2,2,4,2,1,4,3,4,2,2,1,4,2,1,2,4,2,4,1,3,3,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x+1765008,3>,<x-1765008,4>]*]] [*<2,2,1,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[2,1,3,5,4],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-176660,162766],[184862,-162766],[126119,0],[113421,99018],[14403,-99018]]>,<3,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[203136738,-316967184,1]>,[[571704243,0],[-4700853,4700855],[-109129599,-4700855],[316967186,-1],[2,1]]>,<7,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[19838401309363098,-39218223525020862,1]>,[[-21194220556933376,0],[39218223525020862,-1],[0,1],[32823229400449034,457818718556799],[28945033929075482,-457818718556799]]>,<17,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[152293231054848824714171,876816360475722577503858,1]>,[[-1266225160544213249486570,0],[-876816360475722577503848,-1],[10,1],[1191197293575045436089627,33558221547777162385859],[951844227444890390900782,-33558221547777162385859]]>,<103,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[5732836756260276607263845724018837427528,4215295353523842727284692258260624755762,1]>,[[-3301900712206427194866281421371386893250,0],[-4215295353523842727284692258260624755738,-1],[24,1],[7377264763911035709391079603995462031687,50697284420641565341954881406431471013],[139931301819234212759894075636549617278,-50697284420641565341954881406431471013]]>*] [x,x^2-x+9193,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,17,103],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,3*7*17*103,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,7,17,103],[2,5,5,5,5],1,[1.000000000,0.6553256148,0.8203049456],<"notfaithful",0>,[5,2]>,<2,3*7*17*103,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,7,17,103],[2,5,5,5,5],1,[1.000000000,2.418552784,1.255063951],<"2.3_7_17_103.5t2.1",1>,[5,2]>,<2,3*7*17*103,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,7,17,103],[2,5,5,5,5],1,[1.000000000,1.729801213,1.150587279],<"2.3_7_17_103.5t2.1",2>,[5,2]>]
