x^2-x-29175 13*47*191 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-60],[61]] 1 [2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-29133,13,1]>,[[-6,-1],[7,1]]>,<47,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-28623,47,1]>,[[-23,-1],[24,1]]>,<191,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-20055,191,1]>,[[-95,-1],[96,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[13,47,191],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,13*47*191,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[13,47,191],[3,3,3],1,[1.000000000,1.292836723,0.9475451247],<"1.13_47_191.2t1.1",1>,[2,1]>]
x^6-3*x^5+5*x^4-4*x^3+x-1 13*47*191 2 2 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 41 x^2+38*x+6 5 [[-43750515,-41514189],[18995852,38553438],[-55760380,-38553438],[-2133385,-56382510],[27658054,41514189],[54990377,56382510]] 4 [10,7,7,9,11,6,9,10,11,7,10,9,2,10,8,10,11,10,7,9,10,4,9,6,8,10,9,8,5,9,5,10,10,6,3,10,10,6,8,10,9,9,4,7,10,8,10,5,7,11,7,10,10,9,9,9,6,10,6,4,9,6,6,10,4,11,9,10,9,9,8,11,4,9,9,11,9,8,9,9,9,7,11,11,10,9,7,8,9,9,10,8,7,6,5,8,8,11,10,9,9,11,5,9,11,5,10,9,11,10,10,8,7,10,10,11,9,2,9,4,9,8,8,6,9,10,11,8,10,10,9,9,5,11,9,11,3,9,7,8,7,10,7,6,11,9,9,9,7,7,11,10,3,9,8,9,9,7,7,11,7,7,8,8,9,3,9,7] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<13,6,2,[[1,2,3,4,6,5],[4,2,1,3,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[4,2,1,3,5,6],[3,2,4,1,5,6],[4,2,1,3,6,5],[3,2,4,1,6,5]],[4,2,1,3,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[11,2,0,1]>,[[-4470712106510184776085,0,0],[341568539466251597734,0,0],[1,0,0]]>,[[[-4143631711660685867869,-9378886206661657479720,-2358752465249263351288],[0,0,0]],[[3337453813451255796186,0,0],[0,0,0]],[[2595222491257709745421,5683848487451123619057,-6807093700500866360721],[0,0,0]],[[-1447476053582028076007,3695037719210533860663,9165846165750129712009],[0,0,0]],[[-341568539466251597731,0,0],[-1,0,0]],[[3,0,0],[1,0,0]]]>,<47,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[5,40,8,0,1]>,[[695260591709950733323281397469006,0,0,0],[-550579034552958620456947886005168,0,0,0],[1,0,0,0]]>,[[[791461421452040612770182506379828,-1366223740095638358079846390694351,-1324039629830073127665318008565079,-829991943672190169259174120515352],[0,0,0,0]],[[361174055358354576448831392637572,215356704433524538872055452298185,999092996567574015247231394062598,1059249096841535991369039331083470],[0,0,0,0]],[[101477787524784253808854518201515,273022273146840490224251456195064,-801003122502289760543116212506322,91715595272719966624428977896417],[0,0,0,0]],[[961976413074197745965931708118257,877844762515273328983539482201102,1125949755764788872961202827008803,-320972748442065788734294188464535],[0,0,0,0]],[[550579034552958620456947886005200,0,0,0],[-1,0,0,0]],[[32,0,0,0],[1,0,0,0]]]>,<191,4,2,[[1,2,3,4,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[4,3,2,1,5,6],[1,2,3,4,6,5],[4,3,2,1,6,5]],[4,3,2,1,5,6],[1,4,3,2],[1],[[[1,2,3,4,6,5]]],20,<<[],[19,190,1]>,[[-966979450955597301517485639029033805669793109,0],[789037499637163708093665160561587448769642811,0],[1,0]]>,[[[175300362349498640812813191873915800941514217,55259333754055586804206103157894655258967281],[0,0]],[[38487709132065753927010021109362210983701745,2008416229614916082724336387903978205315396049],[0,0]],[[-1626090874012018221756740113540862554277822674,-2008416229614916082724336387903978205315396049],[0,0]],[[-1973764148861942593921727428629241572005923571,-55259333754055586804206103157894655258967281],[0,0]],[[-789037499637163708093665160561587448769642663,0],[-1,0]],[[148,0],[1,0]]]>*] [x,x^2-x-29175,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[13,47,191],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,13*47*191,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[13,47,191],[12,12,12],1,[1.000000000,1.292836723,0.9475451247],<"notfaithful",0>,[6,16]>,<5,13*47*191,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[-2],[0],[1]]],[13,47,191],[12,13,14],1,[1.000000000,0.2883796254,0.6488143537],<"5.13_47_191.6t16.1",1>,[6,16]>,<5,13^2*47^2*191^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[-1],[-1]]],[13,47,191],[12,13,14],1,[0,0,0],<"5.13e2_47e2_191e2.12t183.1",1>,[6,16]>,<5,13^4*47^4*191^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1]],[[1],[1]]],[13,47,191],[12,13,12],1,[0,0,0],<"5.13e4_47e4_191e4.12t183.1",1>,[6,16]>,<5,13^3*47^3*191^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-2],[1]]],[13,47,191],[12,13,14],1,[0,0,0],<"5.13e3_47e3_191e3.6t16.1",1>,[6,16]>,<9,13^3*47^3*191^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]],[[1],[-2],[-1],[4],[-1],[-2],[1]]],[13,47,191],[12,13,14],1,[0,0,0],<"9.13e3_47e3_191e3.10t32.1",1>,[6,16]>,<9,13^6*47^6*191^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[-1],[-1]]],[13,47,191],[12,13,14],1,[0,0,0],<"9.13e6_47e6_191e6.20t145.1",1>,[6,16]>,<10,13^6*47^6*191^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[-2],[0],[1]]],[13,47,191],[12,13,14],1,[0,0,0],<"10.13e6_47e6_191e6.30t176.1",1>,[6,16]>,<10,13^4*47^4*191^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]]],[13,47,191],[12,13,14],1,[0,0,0],<"10.13e4_47e4_191e4.30t176.1",1>,[6,16]>,<16,13^8*47^8*191^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]],[[1],[0],[-4],[0],[6],[0],[-4],[0],[1]]],[13,47,191],[12,13,14],1,[0,0,0],<"16.13e8_47e8_191e8.36t1252.1",1>,[6,16]>]
x^8-5*x^6+6*x^4+3*x^2-1 -2^10*23^4 2 3 48 "GL2(F3)" [[8,2,5,3,4,6,1,7],[3,8,5,2,7,4,1,6],[3,2,1,8,7,6,5,4],[5,6,7,8,1,2,3,4],[4,3,6,5,8,7,2,1]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[5,6,7,8,1,2,3,4]>,<2,12,[3,2,1,8,7,6,5,4]>,<3,8,[8,2,5,3,4,6,1,7]>,<4,6,[3,8,5,2,7,4,1,6]>,<6,8,[6,8,7,5,2,4,3,1]>,<8,6,[6,3,4,1,2,7,8,5]>,<8,6,[2,7,8,5,6,3,4,1]>] [[1,1,1,1,1,1,1,1],[1,1,2,2,2],[1,1,3,3],[2,2,2,2],[2,6],[4,4],[8]] 31 x^2+29*x+3 8 [[358230159711,237576207386],[315488629262,0],[-301356878883,420367303581],[291648445045,-237576207386],[-358230159711,-237576207386],[-315488629262,0],[301356878883,-420367303581],[-291648445045,237576207386]] 3 [3,8,6,8,8,4,5,7,3,6,3,5,4,3,8,4,8,6,3,7,4,3,3,6,6,4,3,7,6,6,3,8,4,3,6,7,6,8,3,6,3,5,3,4,6,7,8,8,3,5,6,3,6,8,6,7,5,7,5,5,3,6,8,7,4,4,3,4,8,5,6,7,8,5,7,3,5,4,6,5,3,1,8,6,3,3,6,4,4,3,3,3,7,3,3,7,6,5,3,6,3,6,3,4,8,2,3,5,8,4,7,6,2,3,3,4,8,8,6,3,6,5,4,3,3,5,4,3,8,6,7,8,8,4,6,5,1,7,5,1,7,4,8,8,4,7,5,4,7,8,5,4,8,3,7,3,7,5,5,1,3,6,8,8,4,3,3,6] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2,2],"CYC",0,3*],[*[1,1,3,3],"CYC",0,4*],[*[2,2,2,2],"CYC",0,2*],[*[2,6],"CYC",0,6*],[*[4,4],"CYC",0,5*],[*[8],"RES",<[1,3],x^3-7*x^2+11*x-5>,[<x^3+184*x-5152,7>,<x^3+184*x+5152,8>]*]] [*<2,8,4,[[4,3,2,1,6,5,7,8],[1,2,4,3,8,7,6,5]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[4,3,2,1,6,5,7,8],[2,1,3,4,7,8,5,6],[3,4,2,1,7,8,6,5]],[1,2,4,3,8,7,6,5],[1,2,3,3,5],[2],[[[2,1,4,3,6,5,8,7],[4,3,2,1,6,5,7,8]]],20,<<[],[1,1,1]>,[[261806,237648],[418356,101136],[399248,-461112],[-224718,-352360],[1,0]]>,[[[-26687,-40112],[-50768,14440],[-15193,4152],[28936,-50400]],[[26687,40112],[50768,-14440],[15193,-4152],[-28936,50400]],[[-1879,56002],[60024,27192],[-55911,19282],[28678,-52140]],[[1879,-56002],[-60024,-27192],[55911,-19282],[-28678,52140]],[[79640,8645],[122116,77668],[220919,-198436],[-18395,158411]],[[-79640,-8645],[-122116,-77668],[-220919,198436],[18395,-158411]],[[26781,84565],[-223304,-79436],[76605,69952],[-99178,135535]],[[-26781,-84565],[223304,79436],[-76605,-69952],[99178,-135535]]]>,<23,6,3,[[1,2,4,5,3,7,8,6],[2,1,5,4,3,6,8,7]],[[1,2,3,4,5,6,7,8],[2,1,5,4,3,6,8,7],[1,2,4,5,3,7,8,6]],[2,1,5,4,3,6,8,7],[1,3,4],[1],[[[1,2,4,5,3,7,8,6]]],20,<<[],[5,21,1]>,[[762665191391805326936118891,0],[-220372146989925808874148021,0],[-131310121864637672809772190,0],[1,0]]>,[[[557737475663707596529470541,625169798603310456834581309],[0,0],[0,0]],[[-557737475663707596529470541,-625169798603310456834581309],[0,0],[0,0]],[[-805393797042821118132936070,-328122152854954235135587141],[5991241064147240576468120,18336182703154668283927556],[-21714728398668354945760315,33463107260884304558455440]],[[14,0],[1,0],[0,0]],[[-779451912427127551981186913,328122152854954235135587141],[-5991241064147240576468121,-18336182703154668283927556],[21714728398668354945760315,-33463107260884304558455440]],[[-14,0],[-1,0],[0,0]],[[779451912427127551981186913,-328122152854954235135587141],[5991241064147240576468121,18336182703154668283927556],[-21714728398668354945760315,33463107260884304558455440]],[[805393797042821118132936070,328122152854954235135587141],[-5991241064147240576468120,-18336182703154668283927556],[21714728398668354945760315,-33463107260884304558455440]]]>*] [x,x^2+1,x^3-x^2+8*x-6,0,0,x^4-x^3+x^2-2,x^4-x^3+x^2-2,0] [1,2,3,4,5,4,5,8] <[1],[2],[3],[4,5],[6],[7],[8]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,23]>,<1,2^2,1,[[1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,23],[9,3,3],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[8,23]>,<2,2^2*23^2,1,[[2],[2],[0],[-1],[2],[-1],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-2],[1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1]],[[1]]],[2,7,23],[9,3,10],1,[1.000000000,1.747943703,1.295769207],<"notfaithful",0>,[8,23]>,<2,2^4*23^2,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[-1,0,0,0],[0,0,0,0],[1,0,0,0],[0,-1,0,-1],[0,1,0,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,1,0,1],[-1,0,0,0]],[[1,0,0,0],[0,-1,0,-1],[-1,0,0,0]],[[1,0,0,0]]],[2,7,23],[9,8,9],0,[-1.000000000-5.447416332E-14*i,0.8201524980+0.8015533254*i,1.014819770+0.2005882409*i],<"2.2e4_23e2.24t22.1",1>,[8,23]>,<2,2^4*23^2,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[-1,0,0,0],[0,0,0,0],[1,0,0,0],[0,1,0,1],[0,-1,0,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,-1,0,-1],[-1,0,0,0]],[[1,0,0,0],[0,1,0,1],[-1,0,0,0]],[[1,0,0,0]]],[2,7,23],[9,8,9],0,[-1.000000000+5.447416332E-14*i,0.8201524980-0.8015533254*i,1.014819770-0.2005882409*i],<"2.2e4_23e2.24t22.1",2>,[8,23]>,<3,2^4*23^2,1,[[3],[3],[-1],[0],[-1],[0],[1],[1]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[1]]],[2,7,23],[9,7,9],1,[1.000000000,0.9981485443,0.9105713762],<"notfaithful",0>,[8,23]>,<3,2^2*23^2,1,[[3],[3],[1],[0],[-1],[0],[-1],[-1]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[2,7,23],[9,7,10],1,[1.000000000,0.6604920432,0.9176722592],<"notfaithful",0>,[8,23]>,<4,2^8*23^2,1,[[4],[-4],[0],[1],[0],[-1],[0],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[4],[6],[4],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[2],[0],[1]],[[1],[1],[0],[1],[1]],[[1],[0],[0],[0],[1]],[[1],[0],[0],[0],[1]],[[1]],[[1],[0],[-1]]],[2,7,23],[9,7,10],1,[1.000000000,0.8522151343,0.9663519978],<"4.2e8_23e2.8t23.1",1>,[8,23]>]
