x^2-x-83538 19*43*409 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[54],[-53]] 1 [1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-83448,19,1]>,[[-9,-1],[10,1]]>,<43,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-83076,43,1]>,[[-21,-1],[22,1]]>,<409,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-41718,409,1]>,[[-204,-1],[205,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[19,43,409],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,19*43*409,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[19,43,409],[3,3,3],1,[1.000000000,3.203583402,1.475899674],<"1.19_43_409.2t1.1",1>,[2,1]>]
x^4-5*x^2-2 -2^5*3^2*11^2 2 1 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 6 [[-3671283],[-889024],[889024],[3671283]] 4 [1,1,5,5,3,5,1,3,5,4,4,4,2,3,5,5,3,5,2,5,3,5,1,3,2,4,4,2,5,3,5,1,3,3,4,5,4,1,4,4,3,4,5,3,4,4,3,4,2,4,2,4,3,3,3,4,5,5,5,1,3,4,3,5,1,5,1,3,1,5,3,4,4,5,1,5,5,4,3,3,3,4,4,1,5,3,3,3,4,4,3,4,4,2,1,4,5,3,3,5,3,4,2,1,3,2,3,1,5,3,5,5,3,2,4,3,2,5,5,2,4,3,4,3,2,4,4,5,4,5,3,4,4,4,1,3,5,3,5,2,3,4,4,1,4,5,5,2,1,5,5,3,2,4,2,5,5,3,3,4,3,2,5,3,3,5,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-30,2>,<x^2+288,3>]*],[*[4],"CYC",0,5*]] [*<2,4,4,[[2,1,3,4],[1,2,4,3]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[1,2,3,4],[1,4,4,2],[2,4],[[[2,1,3,4],[1,2,4,3]],[[2,1,3,4]]],20,<[],[-454186,28044,-510262,4,1]>,[[-85050,-47376,56511,18837],[85050,47376,205633,243307],[-85047,-85050,-42525,0],[85047,85050,42525,0]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[16738095,-259124268,1]>,[[259124270,-1],[2,1],[-2,-1],[-259124270,1]]>,<11,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,7,1]>,[[190769877685480420888,0],[178019854849770418254,50862815671362976644],[1,0]]>,[[[-178019854849770418247,-50862815671362976642],[-1,0]],[[7,2],[1,0]],[[-7,-2],[-1,0]],[[178019854849770418247,50862815671362976642],[1,0]]]>*] [x,x^2-x-8,x^2+2,x^2+66,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,11],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*11,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11],[1,6,6],1,[1.000000000,1.332797188,1.249510981],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,11],[6,1,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,3]>,<1,2^3*3*11,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,11],[6,6,6],1,[1.000000000,1.546813295,1.070381945],<"notfaithful",0>,[4,3]>,<2,2^5*3*11,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,11],[6,7,8],1,[1.000000000,1.365973733,1.119528037],<"2.2e5_3_11.4t3.3",1>,[4,3]>]
x^4+x^2-8 -2^5*3^2*11^2 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 41 x-1 5 [[-43884921],[27313933],[-27313933],[43884921]] 4 [1,1,5,5,1,5,2,3,5,4,4,4,1,3,5,5,3,5,2,5,3,5,2,3,2,4,4,1,5,3,5,2,3,3,4,5,4,1,4,4,3,4,5,3,4,4,3,4,1,4,1,4,3,3,3,4,5,5,5,2,3,4,3,5,1,5,1,3,2,5,3,4,4,5,1,5,5,4,3,3,3,4,4,1,5,3,3,3,4,4,3,4,4,1,1,4,5,3,3,5,3,4,1,2,3,2,3,2,5,3,5,5,3,2,4,3,2,5,5,1,4,3,4,3,2,4,4,5,4,5,3,4,4,4,2,3,5,3,5,1,3,4,4,2,4,5,5,1,1,5,5,3,2,4,2,5,5,3,3,4,3,1,5,3,3,5,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+6,2>,<x^2+1152,3>]*],[*[4],"CYC",0,5*]] [*<2,4,4,[[2,1,3,4],[2,1,4,3]],[[1,2,3,4],[2,1,4,3],[2,1,3,4],[1,2,4,3]],[1,2,3,4],[1,2,4,4],[2,4],[[[2,1,3,4],[2,1,4,3]],[[2,1,3,4]]],20,<[],[-241102,20,14,4,1]>,[[58472,-98572,92114,52550],[-58472,98572,38958,78522],[-53155,-21262,-10631,0],[53155,21262,10631,0]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[807221829,-804794649,1]>,[[804794651,-1],[2,1],[-2,-1],[-804794651,1]]>,<11,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-179272319470463117162,-262740943854048851796,1]>,[[262740943854048851803,-1],[7,1],[-7,-1],[-262740943854048851803,1]]>*] [x,x^2-x-8,x^2+2,x^2+66,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,11],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*11,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11],[1,6,6],1,[1.000000000,1.332797188,1.249510981],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,11],[6,1,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[4,3]>,<1,2^3*3*11,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,11],[6,6,6],1,[1.000000000,1.546813295,1.070381945],<"notfaithful",0>,[4,3]>,<2,2^5*3*11,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]]],[2,3,11],[6,7,7],1,[1.000000000,1.387965909,1.124781237],<"2.2e5_3_11.4t3.4",1>,[4,3]>]
x^4-x^3-4*x^2-16*x-59 -5^3*199 2 1 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 29 x-1 5 [[8520524],[-3944802],[1401821],[-5977542]] 4 [5,3,1,5,4,5,3,4,5,1,2,3,4,5,5,5,4,1,3,4,3,1,3,1,3,4,5,3,4,3,3,2,3,1,4,1,5,3,3,3,4,4,4,5,3,4,4,3,5,4,3,1,4,1,5,5,2,2,3,4,3,5,3,2,5,3,1,3,3,4,3,2,3,3,2,5,4,3,4,4,4,2,1,5,4,5,2,3,2,5,3,2,5,4,4,3,2,1,5,4,3,3,5,4,4,3,3,3,2,1,5,5,5,4,4,4,5,5,5,2,2,3,5,5,2,2,1,1,5,3,4,3,4,5,4,1,3,3,5,2,4,2,3,5,1,1,5,5,1,3,5,4,3,5,5,2,2,4,3,2,5,5,3,2,3,5,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+19,2>,<x^2+33*x+521,3>]*],[*[4],"CYC",0,5*]] [*<3,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,2,1]>,[[1650544007,149131364],[1352281279,-149131364],[-161429839,-403409397],[-516872512,403409397]]>,<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[5,160,80,15,1]>,[[46748741000304,2243939568014,-8227778416054,7479798560049],[25616581838244,-8320412939917,-3658942987462,-2285346519910],[23002108802074,6076473371902,-7186764924609,-5194452040139],[4,1,0,0]]>,<17,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[3,16,1]>,[[1777800902214013909639602,-91503516044189345351545],[-822374247726529087137279,91503516044189345351545],[-87746438761406578338337,48745861060291979114103],[88609527014527055224627,-48745861060291979114103]]>,<199,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,193,1]>,[[2894369244684902617382595440165067786110518591,0],[2572359293187596007860736820377945589868065263,0],[1,0]]>,[[[-3269050620432736846685605247121886174559453354,1476377821476282600574491213789578043577867897],[0,0]],[[-3644118476024041713586198305919854698460077445,-1476377821476282600574491213789578043577867897],[0,0]],[[-2572359293187596007860736820377945589868065232,0],[-1,0]],[[31,0],[1,0]]]>*] [x,x^2-x-1,x^2-x+249,x^2-x+50,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,17,199],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,17,199],[3,6,3,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,5*199,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,17,199],[1,6,1,6],1,[1.000000000,0.7967614611,0.8702324638],<"notfaithful",0>,[4,3]>,<1,199,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,17,199],[3,1,3,6],1,[1.000000000,2.004314387,1.269170315],<"notfaithful",0>,[4,3]>,<2,5^2*199,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]]],[3,5,17,199],[3,6,3,7],1,[1.000000000,0.9439550202,0.9539231270],<"2.5e2_199.4t3.1",1>,[4,3]>]
x^4-x^3+16*x^2+10*x+61 13^2*797 0 2 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 5 [[63691703],[-34859593],[20263917],[-49096026]] 2 [5,4,5,5,3,3,1,5,4,4,5,5,3,1,5,4,5,1,3,3,3,4,5,3,5,4,2,1,3,4,2,2,3,4,5,3,2,3,5,4,2,1,4,3,3,1,4,3,3,5,2,3,5,4,1,1,4,5,1,5,4,3,3,2,1,5,5,1,4,5,3,3,1,1,3,3,1,3,3,5,4,3,3,4,4,4,3,5,3,3,4,5,5,4,3,2,5,1,4,3,1,3,4,2,1,5,3,5,4,2,4,3,5,5,3,4,3,1,2,4,5,4,4,5,3,1,5,1,4,3,3,3,1,2,3,5,3,3,1,4,3,3,4,5,4,5,3,1,1,3,5,1,4,2,1,4,4,5,2,3,3,4,3,4,5,5,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-29,2>,<x^2-17*x-127,3>]*],[*[4],"CYC",0,5*]] [*<13,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,12,1]>,[[-8495951720790269623069,-5125557111516819413631],[-143047720937213939340,-1607588268062935609789],[1,0]]>,[[[143047720937213939349,1607588268062935609791],[-1,0]],[[9,2],[1,0]],[[516801621465732774559,3777660368085138150705],[634323081374330513424,421042213866897563987]],[[-659849342402946713916,-5385248636148073760498],[-634323081374330513424,-421042213866897563987]]]>,<17,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-579688907086056265326666,1674590682531059378252260,-87585711760900523645174,-51026320943497289891807]>,<797,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[2826610300984215529782752476378580493263690365871839330524,2333814205360336636806488083071988789430073767907894401968,1]>,[[-1655349456265615441444376178828810488350655883511813307419,0],[3989163661625952078250864261900799277780729651419707708014,0],[-2333814205360336636806488083071988789430073767907894401281,-1],[687,1]]>*] [x,x^2-x-3,x^2-x-199,x^2-x-2590,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[13,17,797],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,13,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[13,17,797],[6,1,1],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[4,3]>,<1,797,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[13,17,797],[1,1,6],1,[1.000000000,0.4183578235,0.6860393267],<"notfaithful",0>,[4,3]>,<1,13*797,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[13,17,797],[6,1,6],1,[1.000000000,2.137468931,1.271681465],<"notfaithful",0>,[4,3]>,<2,13*797,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[13,17,797],[6,1,7],1,[1.000000000,0.9696140692,0.9534488471],<"2.13_797.4t3.1",1>,[4,3]>]
x^6-2*x^5-33*x^4+20*x^3+220*x^2+64*x-188 2^9*43^4 6 0 6 "C6" [[4,3,5,6,2,1],[5,4,6,2,1,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,4,6,2,1,3]>,<3,1,[4,3,5,6,2,1]>,<3,1,[6,5,2,1,3,4]>,<6,1,[2,6,1,3,4,5]>,<6,1,[3,1,4,5,6,2]>] [[1,1,1,1,1,1],[2,2,2],[3,3],[6]] 59 x^2+58*x+2 5 [[194936823,199771984],[259009964,-199771984],[186984369,-199771984],[-307928047,199771984],[46950535,-199771984],[334970657,199771984]] 1 [1,5,5,4,2,6,4,5,3,6,3,5,1,2,1,5,2,6,5,4,4,4,5,3,1,6,4,2,5,1,1,2,1,5,5,1,6,6,3,2,6,6,3,1,6,1,2,1,5,6,4,3,4,6,1,3,2,4,5,3,6,2,5,3,3,2,6,4,5,5,4,4,3,6,2,1,2,5,4,1,2,6,1,3,4,6,3,1,5,3,5,3,4,6,6,4,6,3,6,6,5,2,2,3,5,4,6,4,3,1,3,2,4,6,4,1,2,1,2,6,2,4,2,5,5,6,2,3,1,2,2,3,3,6,4,3,2,6,5,1,5,2,3,5,5,1,6,3,2,3,6,1,5,1,2,1,1,4,4,5,2,4,1,6,3,3,1,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^2>,[<x+112,3>,<x-60,4>]*],[*[6],"RES",<[1],x^2>,[<x+128,5>,<x-44,6>]*]] [*<2,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,2],[3],[[[2,1,4,3,6,5]]],20,<[],[-221310,-44484,1]>,[[1,1],[44485,262143],[-53776,1],[-9292,65535],[-12950,1],[31534,65535]]>,<43,6,3,[[2,3,1,5,6,4],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[2,3,1,5,6,4],[3,1,2,6,4,5],[5,6,4,2,3,1],[6,4,5,3,1,2]],[4,5,6,1,2,3],[1,2,3,4,5,6],[1],[[[2,3,1,5,6,4]]],20,<<[],[3,42,1]>,[[203251771319720816601718864788040,-129187974302610803609904419700971],[-46108679149442769396840830286376,-131390142031913199029051604915479],[35164612772420986452191906222627,-131770113994855547628292767749526],[1,0]]>,[[[-188766833897454923261964294484278,-4573747083045067846806602693567],[-4571119424683629438298473287986,-476285956976849416464410506214],[-5430885671830208307454147342953,0]],[[18,22],[1,0],[0,0]],[[153602221125033936809772388261687,136343861077900615475099370443137],[4571119424683629438298473287985,476285956976849416464410506214],[5430885671830208307454147342953,0]],[[-165323758715840932293836357002562,-92420489746282099599001781193295],[-4571119424683629438298473287986,-476285956976849416464410506214],[-5430885671830208307454147342953,0]],[[23443075181613990968127937481734,-87846742663237031752195178499706],[1,0],[0,0]],[[177045296306647927777900325743403,48497118414663583722904191943409],[4571119424683629438298473287985,476285956976849416464410506214],[5430885671830208307454147342953,0]]]>,<601,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-6560756989075215146698472973105937943370569086535408407,-13048864797185034604804718186745275041828931430269384180,10451985463740287327015466638650245618494713580990710817,-11040700649444108546917735891259902299294711587979460911,21383204928254597283393989616729197101452622985979721,-12287613937843671588342625178112244382143987140856759]>*] [x,x^2-2,x^3-x^2-14*x-8,0,x^3-x^2-14*x-8,0] [1,2,3,4,2,6] <[1],[2],[3,5],[4,6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,43,601],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,1]>,<1,2^3,1,[[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,43,601],[7,2,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[6,1]>,<1,43,3,[[1,0],[1,0],[0,1],[-1,-1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,43,601],[1,7,1],0,[0.7369270783+0.6759722488*i,1.281795694+0.3423057539*i,1.214013327+0.1263752881*i],<"notfaithful",0>,[6,1]>,<1,2^3*43,3,[[1,0],[-1,0],[0,1],[-1,-1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[2,43,601],[7,7,1],0,[-0.7369270783-0.6759722488*i,0.9369059798-0.6705109658*i,1.045730038-0.1605891700*i],<"1.2e3_43.6t1.1",1>,[6,1]>,<1,43,3,[[1,0],[1,0],[-1,-1],[0,1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,43,601],[1,7,1],0,[0.7369270783-0.6759722488*i,1.281795694-0.3423057539*i,1.214013327-0.1263752881*i],<"notfaithful",0>,[6,1]>,<1,2^3*43,3,[[1,0],[-1,0],[-1,-1],[0,1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[2,43,601],[7,7,1],0,[-0.7369270783+0.6759722488*i,0.9369059798+0.6705109658*i,1.045730038+0.1605891700*i],<"1.2e3_43.6t1.1",2>,[6,1]>]
