x^2-x-3982 17*937 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1288],[1289]] 1 [1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<17,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-3910,17,1]>,[[-8,-1],[9,1]]>,<937,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[215510,937,1]>,[[-468,-1],[469,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[17,937],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,17*937,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[17,937],[3,3],1,[1.000000000,2.452779116,1.295419069],<"1.17_937.2t1.1",1>,[2,1]>]
x^4-30*x^2-112*x-160 -2^6*7^2*367 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 13 x-1 8 [[-73825683],[357600287],[31420045],[-315194649]] 4 [1,5,4,1,4,1,5,5,3,5,2,3,3,4,2,3,3,1,1,5,3,5,3,3,5,2,4,2,5,2,5,5,1,5,3,3,4,4,4,2,4,2,3,4,5,1,2,4,3,2,4,5,5,3,5,5,4,2,3,1,3,4,5,4,3,5,4,4,1,4,5,5,1,5,4,1,5,1,4,5,3,5,3,3,2,4,1,4,1,5,3,1,3,1,2,4,4,5,5,3,4,3,3,2,2,3,3,3,5,3,2,5,4,3,3,2,5,4,5,2,4,4,4,4,3,5,5,4,4,4,4,3,5,3,5,5,4,3,1,4,5,3,3,4,2,2,4,5,5,3,5,5,2,4,2,5,5,3,5,2,1,4,5,3,4,4,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+16,2>,<x^2+140*x+18112,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[50146,228400,1]>,[[-4,4],[3900,32764],[-4,3857],[127180,127215]]>,<7,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[6614649226181059,-7910513521914808,1]>,[[7910513521914814,-1],[6,1],[-38546327778624182,2984704333361468],[30635814256709362,-2984704333361468]]>,<367,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-442167702804288656338103392692259806831523540663974,-754197273587360547778608671285921268303991513858509,1]>,[[-537055784002834943498457942434438958099744282796258,0],[-217141489584525604280150728851482310204247231062661,0],[754197273587360547778608671285921268303991513858714,-1],[205,1]]>*] [x,x^2-14,x^2-x+92,x^2+5138,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,367],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,367],[6,6,1],1,[1.000000000,0.9087107831,0.9420581177],<"notfaithful",0>,[4,3]>,<1,367,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,367],[1,1,6],1,[1.000000000,1.475908215,1.172607197],<"notfaithful",0>,[4,3]>,<1,2^3*7*367,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,367],[6,6,6],1,[1.000000000,1.402499778,1.085029285],<"notfaithful",0>,[4,3]>,<2,2^3*7*367,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,7,367],[6,6,6],1,[1.000000000,2.303753727,1.359335612],<"2.2e3_7_367.4t3.4",1>,[4,3]>]
x^4-2*x^3+13*x^2-12*x-20 -2^6*7^2*367 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 31 x-1 5 [[7818174],[253524],[-253523],[-7818173]] 4 [1,5,4,3,4,2,5,5,3,5,1,3,3,4,1,3,3,2,1,5,3,5,3,3,5,1,4,2,5,2,5,5,1,5,3,3,4,4,4,1,4,1,3,4,5,2,2,4,3,1,4,5,5,3,5,5,4,1,3,1,3,4,5,4,3,5,4,4,1,4,5,5,4,5,4,2,5,2,4,5,3,5,3,3,1,4,1,4,2,5,3,2,3,1,2,4,4,5,5,3,4,3,3,2,2,3,3,3,5,3,1,5,4,3,3,2,5,4,5,2,4,4,4,4,3,5,5,4,4,4,4,3,5,3,5,5,4,3,2,4,5,3,3,4,1,1,4,5,5,3,5,5,2,4,2,5,5,3,5,1,1,4,5,3,4,4,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-12,2>,<x^2+22*x+488,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[52450,203136,1]>,[[-13054,131070],[-131070,2],[-1,131070],[-118017,2]]>,<7,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,6,1]>,[[31670951481141308,-11492959633572970],[-12946682113398033,-30912982803670009],[1,0]]>,[[[12946682113398036,30912982803670011],[-1,0]],[[3,2],[1,0]],[[-2,-2],[-1,0]],[[-12946682113398035,-30912982803670011],[1,0]]]>,<367,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[6,366,1]>,[[-456418733787204727310171518753973529250800757946085,0],[367,0],[1,0]]>,[[[835009786690404310072639685266059912993032530560044,-526902992464070622523842125411813307907195436401482],[0,0]],[[-835009786690404310072639685266059912993032530560043,526902992464070622523842125411813307907195436401482],[0,0]],[[-183,0],[-1,0]],[[184,0],[1,0]]]>*] [x,x^2-14,x^2-x+92,x^2+5138,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,367],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,367],[6,6,1],1,[1.000000000,0.9087107831,0.9420581177],<"notfaithful",0>,[4,3]>,<1,367,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,367],[1,1,6],1,[1.000000000,1.475908215,1.172607197],<"notfaithful",0>,[4,3]>,<1,2^3*7*367,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,367],[6,6,6],1,[1.000000000,1.402499778,1.085029285],<"notfaithful",0>,[4,3]>,<2,2^3*7*367,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,7,367],[6,7,7],1,[1.000000000,1.585904781,1.281491963],<"2.2e3_7_367.4t3.5",1>,[4,3]>]
x^5-x^4-11*x^3+34*x^2+184*x+224 89^2*139^2 1 2 10 "D10" [[3,5,1,4,2],[2,1,3,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[3,5,1,4,2]>,<5,2,[3,4,2,5,1]>,<5,2,[2,5,4,1,3]>] [[1,1,1,1,1],[1,2,2],[5]] 13 x^2+12*x+2 8 [[260738900,-164396445],[-7734058,0],[97678084,155510544],[-136987002,-155510544],[-213695923,164396445]] 2 [2,3,3,2,3,2,2,3,3,2,2,2,2,4,3,2,3,3,3,1,2,3,2,1,2,4,4,4,2,2,2,4,2,1,4,3,2,2,3,3,2,2,2,2,3,2,1,2,2,4,2,2,3,4,4,4,2,2,2,4,3,4,4,2,2,2,2,4,4,2,1,2,4,2,4,1,4,1,2,3,4,2,1,2,1,2,2,3,4,3,2,2,2,4,4,2,2,3,1,2,4,2,2,2,1,3,4,2,1,3,4,3,4,3,2,2,2,2,3,2,4,3,2,2,2,3,4,2,3,3,2,3,2,2,4,2,2,4,2,2,4,2,2,1,4,2,1,4,2,2,1,3,2,4,2,4,4,2,2,2,1,3,3,3,4,2,4,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-1385552,4>,<x+1385552,3>]*]] [*<2,2,1,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[2,1,3,5,4],[1,2],[1],[[]],20,<[],[1,1,1]>,[[493662,257701],[235961,-257701],[-79226,0],[46480,-43076],[-41516,43076]]>,<7,2,1,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,3,2,5,4],[1,2],[1],[[]],20,<[],[3,6,1]>,[[37256129091250328,0],[6358890674175868,-19697682218090967],[-35039548612502332,19697682218090967],[-1016164451256454,2990339572630683],[3839588483705734,-2990339572630683]]>,<89,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-92404767199716272106497400814078828651,-138523841153902704929632715510839454318,1]>,[[319606071299540668950235564840041069299,0],[138523841153902704929632715510839454380,-1],[62,1],[-155881802826884271257952291709781803432,-5164310843414801958451893277746916788],[-302248109626559102621915988641098720308,5164310843414801958451893277746916788]]>,<139,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[126221111002817262420060603619190089727143,339476513265515814239979615278618225520725,1]>,[[1486218548778509009098331125832863241522206,0],[-339476513265515814239979615278618225520602,-1],[123,1],[68304345289681878256465207071029361242170,-15472776285225437116217353015595874704091],[-1215046380802675073114816717625274377243896,15472776285225437116217353015595874704091]]>*] [x,x^2-x+3093,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,89,139],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,89*139,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,7,89,139],[2,2,5,5],1,[1.000000000,1.129815323,0.9201024379],<"notfaithful",0>,[5,2]>,<2,89*139,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,7,89,139],[2,2,5,5],1,[1.000000000,0.4352346774,0.8211524881],<"2.89_139.5t2.1",1>,[5,2]>,<2,89*139,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,7,89,139],[2,2,5,5],1,[1.000000000,1.797797034,1.166734171],<"2.89_139.5t2.1",2>,[5,2]>]
x^5-2*x^4-45*x^3-45*x^2+160*x+203 17^2*1901^2 5 0 10 "D10" [[4,5,3,1,2],[3,2,1,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[4,5,3,1,2]>,<5,2,[5,4,1,3,2]>,<5,2,[2,3,5,1,4]>] [[1,1,1,1,1],[1,2,2],[5]] 7 x^2+6*x+3 10 [[-129225439,0],[100172160,3486383],[-5028320,53769865],[79253862,-3486383],[-45172261,-53769865]] 1 [2,4,2,2,2,4,1,4,4,2,2,4,3,3,3,3,2,3,4,3,2,2,1,4,3,2,2,1,2,3,2,1,3,1,3,2,4,3,2,3,2,3,2,1,3,4,4,2,2,2,2,2,2,4,2,2,4,4,3,3,2,1,2,2,4,2,2,2,4,2,4,2,2,4,2,2,3,3,3,3,2,3,2,4,2,2,1,1,2,4,2,4,2,3,2,2,2,2,2,4,1,2,2,2,3,2,2,2,4,2,4,4,2,1,3,2,3,3,2,2,2,1,2,2,4,2,4,3,4,3,2,3,2,2,2,1,3,2,3,4,4,2,3,1,1,2,2,2,2,2,2,2,3,2,2,4,2,1,3,4,4,2,3,4,2,3,3,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-2843896,3>,<x+2843896,4>]*]] [*<2,2,1,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[2,1,3,5,4],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-183382,-145813],[-37569,145813],[-16099,0],[-87051,113134],[61959,-113134]]>,<11,2,1,[[3,2,1,5,4]],[[1,2,3,4,5],[3,2,1,5,4]],[3,2,1,5,4],[1,2],[1],[[]],20,<[],[2,7,1]>,[[53317839240118161550,79536459708411162882],[-135362409931487628630,0],[169312616213800030577,-79536459708411162882],[-11184165009772881847,-16939650834622691296],[-14924790064243135357,16939650834622691296]]>,<17,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-1699473108755876157174430,1511234161757905008159168,1]>,[[313865762230928570352553,0],[-1511234161757905008159166,-1],[2,1],[716406680179607343010943,64798109575154024216278],[480961719347369094795670,-64798109575154024216278]]>,<1901,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[118913003148574069064122898444591526084140179829596853698117174436,162112252568033866008421328672727592197023641077013767855914943806,1]>,[[28723979608495581656398989044108874879710840167299101771697524810,0],[-162112252568033866008421328672727592197023641077013767855914942192,-1],[1614,1],[-117972240938071002332589956647862308195897307856298420137507128370,-80006140498673876473077314156928919449816790727568421451566421],[-128515906802123247398076610128416148984064888024720011082721393861,80006140498673876473077314156928919449816790727568421451566421]]>*] [x,x^2-x-8079,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,17,1901],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,17*1901,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,11,17,1901],[2,2,5,5],1,[1.000000000,0.8629530920,0.8508484164],<"notfaithful",0>,[5,2]>,<2,17*1901,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,11,17,1901],[2,2,5,5],1,[1.000000000,1.585996283,1.140493669],<"2.17_1901.5t2.1",1>,[5,2]>,<2,17*1901,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,11,17,1901],[2,2,5,5],1,[1.000000000,0.7340676793,0.8849485933],<"2.17_1901.5t2.1",2>,[5,2]>]
x^5-x^4+16*x^3-4*x^2+37*x-13 2^6*3^2*41^3 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 31 x^2+29*x+3 5 [[-9447930,13903160],[14237771,0],[-10394601,-6882956],[-11831456,-13903160],[-11192934,6882956]] 3 [4,2,6,5,7,5,7,7,4,5,3,3,1,3,7,7,6,4,2,5,4,5,6,5,2,5,6,6,7,3,4,3,2,6,7,7,5,4,5,4,5,5,5,5,6,5,5,6,7,2,2,5,4,4,5,2,4,6,4,2,4,2,6,2,7,5,7,4,5,6,3,6,3,3,4,5,4,5,6,6,6,7,3,4,7,4,4,5,3,7,6,7,6,4,7,7,5,7,3,4,7,7,5,4,7,7,5,7,4,5,4,3,4,6,6,7,7,3,2,5,6,7,4,5,5,6,5,7,7,6,6,3,5,5,6,4,5,4,6,5,6,6,2,7,3,2,3,6,6,1,4,6,5,7,6,6,5,5,7,6,3,6,5,5,5,3,7,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,12,4,[[1,4,5,2,3],[1,2,4,5,3]],[[1,2,3,4,5],[1,4,5,2,3],[1,2,4,5,3],[1,2,5,3,4]],[1,2,4,5,3],[1,3,4,4],[2],[[[1,3,2,5,4],[1,4,5,2,3]]],20,<<[],[1,1,0,1]>,[[-95626,0,0],[179780,0,0],[432546,0,0],[305390,0,0],[1,0,0]]>,[[[-218901,0,0],[0,0,0],[0,0,0],[0,0,0]],[[1,0,0],[1,0,0],[0,0,0],[0,0,0]],[[-111477,-75976,247622],[45437,13328,199228],[69680,82085,104520],[138906,49024,77287]],[[248291,141818,-261302],[54573,145604,212932],[149670,79348,93433],[9518,121641,14277]],[[82087,-65842,13680],[162133,103212,112128],[42794,100711,64191],[113720,91479,170580]]]>,<3,4,2,[[2,1,3,5,4],[1,2,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4],[1,2,3,5,4],[2,1,3,4,5]],[1,2,3,5,4],[1,3,2,2],[1],[[[2,1,3,5,4]]],20,<<[],[2,2,1]>,[[236905842,0],[29487849,0],[1,0]]>,[[[2,0],[3,0]],[[-88463545,0],[387420486,0]],[[386238514,0],[0,0]],[[-162527924,-13640439],[111088532,111088532]],[[-135247046,13640439],[-111088532,-111088532]]]>,<41,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,3,5,5],[1],[[[1,3,5,2,4]]],20,<[],[-18266355044999062013670940717283,-57715840421963906325278252862601,12645446654983572443736255055846,-7498706693360751859387409158511,1]>,[[-7498706693360751859387409158590,0,0,0],[-77450477574738674407908941056890,1145403590569085585163245600482,2011250905935851550290376632382,1398090343303148200774467142073],[-13658449119005655887313673830051,1769439536092486807528772859418,241618700218888729193973520709,-2025288250602628437009029264961],[-81560149569315847348419822019289,1479493043007230765918465590460,2141466563514062879126133897270,627197907299480236234562122888],[20,1,0,0]]>*] [x,x^2-x-10,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,41],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,41,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,41],[1,2,8],1,[1.000000000,1.299093062,1.203023023],<"notfaithful",0>,[5,5]>,<4,2^6*3^2*41^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]],[[1],[2],[1]]],[2,3,41],[8,9,8],1,[0,0,0],<"4.2e6_3e2_41e3.10t12.1",1>,[5,5]>,<4,2^6*3^2*41^3,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1]],[[1],[-2],[1]]],[2,3,41],[8,9,8],1,[0,0,0],<"4.2e6_3e2_41e3.5t5.1",1>,[5,5]>,<5,2^6*3^2*41^4,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[1]],[[1],[-1],[-1],[1]],[[1],[-1]]],[2,3,41],[8,9,10],1,[0,0,0],<"5.2e6_3e2_41e4.10t13.1",1>,[5,5]>,<5,2^6*3^2*41^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[1],[-1],[-1]],[[1],[-2],[1]]],[2,3,41],[8,9,10],1,[0,0,0],<"5.2e6_3e2_41e3.6t14.1",1>,[5,5]>,<6,2^12*3^4*41^5,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1]],[[1],[0],[-1]],[[1],[-1]]],[2,3,41],[8,9,10],1,[0,0,0],<"6.2e12_3e4_41e5.20t35.1",1>,[5,5]>]
