x^2+7361 -2^2*17*433 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[46],[-46]] 2 [1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[7362,2,1]>,[[1,1],[-1,-1]]>,<17,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[7361,0,1]>,[[0,-1],[0,1]]>,<433,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[7361,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,17,433],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*17*433,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,17,433],[3,3,3],1,[1.000000000,2.050545880,1.166538311],<"1.2e2t17t433.2.1.2t1.1",1>,[2,1]>]
x^5-2*x^3-3*x^2+x+1 -2^2*17*433 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 29 x^2+24*x+2 5 [[4500639,10115182],[7870059,-10115182],[8159411,124603],[5168939,-124603],[-5187899,0]] 2 [4,6,6,5,6,6,4,6,5,3,5,2,7,6,3,6,5,4,6,5,6,4,4,7,6,5,3,7,2,4,5,2,3,4,7,4,2,5,6,4,7,4,5,6,2,3,4,5,7,6,7,4,5,3,6,6,5,2,7,5,6,6,3,5,6,6,2,7,2,7,5,7,6,7,6,7,3,7,7,4,7,3,3,4,4,6,5,4,7,4,7,7,4,4,6,6,5,5,4,5,2,2,4,3,7,4,6,5,6,6,5,5,6,7,5,7,6,6,4,3,7,3,6,7,7,7,4,4,7,3,5,1,6,4,3,7,7,3,5,6,5,6,5,6,3,4,2,5,4,5,5,4,2,2,1,5,5,3,5,5,4,5,6,7,4,6,5,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[2],[[[1,2,3,5,4]]],20,<<[],[1,1,0,1]>,[[-405110,0,0],[-139738,0,0],[1,0,0]]>,[[[323868,477561,-492904],[0,0,0]],[[-433878,-50028,-56659],[0,0,0]],[[-29730,-427533,-499013],[0,0,0]],[[1,0,0],[1,0,0]],[[139739,0,0],[-1,0,0]]]>,<17,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[14,1,0,1]>,[[-1734351622260333680213882,0,0],[-1134544153534298168087546,0,0],[1,0,0]]>,[[[1560299872387728996464028,748952562658024138426920,-1156509521298829943661777],[0,0,0]],[[1059529800839840992119032,755111660667213803822202,-1907664628620661950179271],[0,0,0]],[[309857579885704365730977,-1504064223325237942249122,-1000057256728080628560553],[0,0,0]],[[1134544153534298168087555,0,0],[-1,0,0]],[[9,0,0],[1,0,0]]]>,<433,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[428,1,0,1]>,[[-645357371895576238511343108152384850808496728960217,0,0],[-21598559205330460317388494256247038838033239407284676,0,0],[1,0,0]]>,[[[-961713951432642042386275481597028395160323817966658,-6805123967534937376655052864244651650045062215183322,9356708675516267095114833905727976826276133976692367],[0,0,0]],[[2285902047846590383776056025074598050011226953944818,-7255860639472962428658493114854527831017978201554282,14228132674435115734358331165735416494033460134559581],[0,0,0]],[[-22922747301744408658778274799724608492884142543262868,14060984607007899805313545979099179481063040416737604,-23584841349951382829473165071463393320309594111251948],[0,0,0]],[[21598559205330460317388494256247038838033239407284692,0,0],[-1,0,0]],[[16,0,0],[1,0,0]]]>*] [x,x^2+7361,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17,433],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^2*17*433,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,17,433],[8,8,8],1,[1.000000000,2.050545880,1.166538311],<"notfaithful",0>,[5,5]>,<4,2^6*17^3*433^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]]],[2,17,433],[8,8,8],1,[0,0,0],<"4.2e6t17e3t433e3.120.1.10t12.1",1>,[5,5]>,<4,2^2*17*433,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[0],[-1]]],[2,17,433],[8,8,8],1,[1.000000000,0.4909934463,0.8524692305],<"4.2e2t17t433.120.1.5t5.1",1>,[5,5]>,<5,2^4*17^2*433^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]]],[2,17,433],[8,8,8],1,[0,0,0],<"5.2e4t17e2t433e2.120.1.10t13.1",1>,[5,5]>,<5,2^6*17^3*433^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]]],[2,17,433],[8,8,8],1,[0,0,0],<"5.2e6t17e3t433e3.120.1.6t14.1",1>,[5,5]>,<6,2^6*17^3*433^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[-1]]],[2,17,433],[8,8,8],1,[0,0,0],<"6.2e6t17e3t433e3.120.1.20t35.1",1>,[5,5]>]
x^6-x^5-77*x^4+51*x^3+1757*x^2-625*x-11593 7^4*97^3 6 0 6 "C6" [[3,4,1,2,6,5],[4,5,2,6,3,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,4,1,2,6,5]>,<3,1,[4,5,2,6,3,1]>,<3,1,[6,3,5,1,2,4]>,<6,1,[2,6,4,5,1,3]>,<6,1,[5,1,6,3,4,2]>] [[1,1,1,1,1,1],[2,2,2],[3,3],[6]] 13 x^2+12*x+2 5 [[-131835,125189],[-183851,-125189],[-148931,-125189],[-166755,125189],[121492,-125189],[138588,125189]] 1 [4,3,6,2,3,2,5,6,6,2,3,6,2,1,4,3,5,4,5,2,3,4,2,4,1,3,4,6,3,1,2,6,5,2,6,3,5,4,1,6,5,2,4,3,1,5,2,2,3,4,6,2,3,2,6,5,3,6,5,2,3,1,1,5,4,6,6,2,5,2,3,6,5,6,1,6,3,4,6,5,1,1,3,2,6,6,1,6,1,1,4,3,3,1,6,1,4,3,6,6,1,3,5,6,3,5,2,4,5,2,4,3,1,5,1,5,1,3,6,2,3,1,4,3,4,1,6,6,1,4,5,1,4,2,6,2,3,3,2,3,1,6,3,2,3,2,2,3,6,6,4,1,2,6,5,2,6,6,1,5,6,2,1,4,5,5,5,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^2>,[<x-65,3>,<x-79,4>]*],[*[6],"RES",<[1],x^2>,[<x+32,5>,<x+18,6>]*]] [*<7,6,3,[[2,3,1,5,6,4],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[2,3,1,5,6,4],[3,1,2,6,4,5],[5,6,4,2,3,1],[6,4,5,3,1,2]],[4,5,6,1,2,3],[1,2,3,4,5,6],[1],[[[2,3,1,5,6,4]]],20,<<[],[3,6,1]>,[[1661921490612565,-39530456415659258],[5395561092290516,-31560901605672621],[-16186683276871625,34500572056515467],[1,0]]>,[[[10791122184581078,32373366553743205],[607773000792059,-3597040728193689],[1,0]],[[4,4],[1,0],[0,0]],[[5395561092290555,12918327687353337],[-607773000792060,3597040728193689],[-1,0]],[[-13,28776325825549508],[607773000792059,-3597040728193689],[1,0]],[[-10791122184581087,-3597040728193693],[1,0],[0,0]],[[-5395561092290536,9321286959159640],[-607773000792060,3597040728193689],[-1,0]]]>,<97,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,2],[1],[[[2,1,4,3,6,5]]],20,<[],[-1599596662412109891444359593104226854710,1750222079015171039886087930572421221358,1]>,[[-1750222079015171039886087930572421221268,-1],[90,1],[-1419224325020798820699884422561521207268,-1],[330997753994372219186203508010900014090,1],[-2174858429120522986493028317242975878701,-1],[-424636350105351946606940386670554657343,1]]>,<785651,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[2675802036011452483188820419031355040060079246228498393095134957787780019118025579484144230291854549792592374571374935,-1646338148736842152012974281000880114860065450131753495003053457459531123617813504376637880561947249278459139785140791,-3468482213660728330062407756471591929565453430752899025629995469124584014881059942351568763706196925964724628379595244,1409554439111507667710715480410642079165425838559409229445832468468086223880635792136556064246382324936458158807126957,-4107304603091785492647515872554837004059838951634063920433279285839156646532693417407948613200300633333701351336,-476495967923344049427461613982086694197857881510422976751160449270570596370771799917985397080802267013639202621]>*] [x,x^2-x-24,x^3-x^2-2*x+1,0,x^3-x^2-2*x+1,0] [1,2,2,4,3,6] <[1],[2],[3,5],[4,6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,97,785651],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,1]>,<1,97,1,[[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,97,785651],[1,2,7,1],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[6,1]>,<1,7,3,[[1,0],[1,0],[0,1],[-1,-1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,7,97,785651],[4,7,1,1],0,[0.8959532197-0.4441484303*i,0.5377473805-0.1052975456*i,0.7992187436-0.1018472971*i],<"notfaithful",0>,[6,1]>,<1,7*97,3,[[1,0],[-1,0],[0,1],[-1,-1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[2,7,97,785651],[4,7,7,1],0,[-0.8959532197+0.4441484303*i,0.5808232648+0.1517690275*i,0.8316031094-0.04560034914*i],<"1.7t97.6.2.6t1.1",1>,[6,1]>,<1,7,3,[[1,0],[1,0],[-1,-1],[0,1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,7,97,785651],[4,7,1,1],0,[0.8959532197+0.4441484303*i,0.5377473805+0.1052975456*i,0.7992187436+0.1018472971*i],<"notfaithful",0>,[6,1]>,<1,7*97,3,[[1,0],[-1,0],[-1,-1],[0,1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[2,7,97,785651],[4,7,7,1],0,[-0.8959532197-0.4441484303*i,0.5808232648-0.1517690275*i,0.8316031094+0.04560034914*i],<"1.7t97.6.2.6t1.1",2>,[6,1]>]
