x^2-x+90 -359 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-72],[73]] 2 [1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<359,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[32310,359,1]>,[[-179,-1],[180,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[359],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,359,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[359],[3],1,[1.000000000,3.150331454,1.535144264],<"1.359.2t1.1",1>,[2,1]>]
x^6-2*x^5+x^4+x^3+x^2-2*x+1 -7*107^2 0 3 48 "C2*S4" [[3,2,1,6,5,4],[6,2,3,4,5,1],[3,1,2,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,5,4,3,2,1]>,<2,3,[6,2,3,4,5,1]>,<2,3,[6,2,4,3,5,1]>,<2,6,[1,3,2,5,4,6]>,<2,6,[6,3,2,5,4,1]>,<3,8,[3,1,2,5,6,4]>,<4,6,[4,2,1,6,5,3]>,<4,6,[6,4,2,5,3,1]>,<6,8,[4,1,2,5,6,3]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 29 x^2+24*x+2 7 [[-4735499497,-5118735963],[-3372998106,0],[-4733711005,-1728057991],[2239928161,1728057991],[-4012625312,0],[-2634970548,5118735963]] 6 [9,10,8,5,7,10,6,10,7,4,6,7,10,9,3,7,8,10,9,5,8,7,3,10,8,10,6,1,9,9,9,8,4,8,7,7,6,7,8,6,5,8,9,7,7,10,5,10,10,6,7,7,2,2,8,7,8,3,9,5,3,10,8,8,3,9,4,7,5,8,6,9,8,4,5,10,5,2,5,8,6,7,4,8,10,9,5,7,10,7,10,6,5,9,9,10,2,6,6,9,4,5,6,7,7,10,10,8,7,6,8,5,5,6,9,9,10,8,4,5,3,9,3,4,10,9,9,8,10,8,9,7,9,5,10,8,6,8,10,5,10,9,5,5,8,3,6,10,10,5,5,10,7,8,5,9,9,6,10,3,9,5,4,6,7,8,9,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-3*x^2-x-29,4>,<x^6-x^5+5*x^4-209*x^3-404*x^2-2404*x-397,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-2,2>,<x^6-7*x^5+13*x^4+13*x^3-132*x^2+276*x-283,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<7,4,2,[[1,2,3,4,6,5],[2,1,4,3,5,6]],[[1,2,3,4,5,6],[2,1,4,3,5,6],[1,2,3,4,6,5],[2,1,4,3,6,5]],[2,1,4,3,5,6],[1,5,3,6],[1],[[[1,2,3,4,6,5]]],20,<<[],[3,6,1]>,[[34138178283579839,0],[32287118479800646,0],[1,0]]>,[[[-17029039247131993,32940148795116051],[0,0]],[[24706866875007704,-32940148795116051],[0,0]],[[-34581386829081017,24267455730458174],[0,0]],[[-20601588616606059,-24267455730458174],[0,0]],[[-32287118479800640,0],[-1,0]],[[6,0],[1,0]]]>,<107,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,5],[1],[[[1,2,4,3,6,5]]],20,<[],[-10124938054063931389736896737624446196597,12895143934594592347635383867940311234616,1]>,[[-15523230931291690365605041103876034611329,0],[4640665519071399153597399116670852155687,0],[-12895143934594592347635383867940311234551,-1],[65,1],[5822398043217587769776653411934861580258,-87063348992035911030234097011497745194],[17955311303597295789866372443210632109872,87063348992035911030234097011497745194]]>*] [x,x^2-x-187,x^2-x+27,x^2-x+2,x^6-2*x^5-25*x^4+52*x^3+143*x^2-338*x-580,x^3-x^2+3*x-2,x^4-x^3-x^2+5*x-3,0,0,x^4-x^3-x^2+5*x-3] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[7,107],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,7*107,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[7,107],[11,11],1,[1.000000000,0.6919403545,0.7549584966],<"notfaithful",0>,[6,11]>,<1,107,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[7,107],[5,11],1,[1.000000000,0.9111276756,0.8622772806],<"notfaithful",0>,[6,11]>,<1,7,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[7,107],[11,1],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[6,11]>,<2,7^2*107,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[7,107],[11,12],1,[1.000000000,1.750112345,1.184813630],<"notfaithful",0>,[6,11]>,<2,107,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[7,107],[5,11],1,[1.000000000,0.7629520274,0.9347617521],<"notfaithful",0>,[6,11]>,<3,7^2*107,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[-2],[1]]],[7,107],[11,12],1,[1.000000000,0.4963835072,0.7400333735],<"notfaithful",0>,[6,11]>,<3,7*107,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[0],[-1]],[[1],[-2],[1]]],[7,107],[11,12],1,[1.000000000,0.5725781260,0.7782532568],<"3.7_107.6t11.1",1>,[6,11]>,<3,7*107^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[0],[-1]],[[1],[-1]]],[7,107],[11,12],1,[1.000000000,1.334657909,1.208365429],<"3.7_107e2.6t11.1",1>,[6,11]>,<3,7^2*107^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[-1]]],[7,107],[11,12],1,[1.000000000,1.668290648,1.274633803],<"notfaithful",0>,[6,11]>]
x^6-3*x^5-15*x^4-9*x^3+264*x^2-576*x+1536 -2^4*3^7*29^3 0 3 12 "D12" [[2,1,4,3,5,6],[3,6,1,5,4,2],[1,5,3,6,2,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,4,1,2,6,5]>,<2,3,[3,6,1,5,4,2]>,<2,3,[2,1,4,3,5,6]>,<3,2,[5,1,6,3,2,4]>,<6,2,[4,6,2,5,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 11 x^2+7*x+2 10 [[2691745111,61323629],[2262479708,-61323629],[6651508391,-12505403056],[-9560368621,12505403056],[8455430320,0],[-10500794906,0]] 3 [4,4,3,5,4,5,4,6,3,4,2,6,4,2,4,3,3,6,5,3,6,6,3,4,6,4,5,3,1,4,2,4,4,5,3,5,2,6,3,3,3,5,4,6,3,5,6,1,3,2,3,3,5,4,3,4,4,6,1,3,1,4,2,4,5,4,6,6,3,5,3,4,6,5,6,3,4,1,3,6,3,6,3,2,1,4,4,1,4,5,4,4,5,4,1,4,3,3,5,6,5,3,4,4,5,6,3,3,4,2,6,5,4,6,5,4,1,3,4,4,5,5,4,3,1,3,5,3,2,2,2,4,6,6,3,6,4,5,4,4,1,3,6,4,6,4,6,3,6,3,5,4,5,4,6,4,1,3,5,3,4,3,6,4,3,4,5,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+72,2>,<x^3+72*x^2+1728*x-207360,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[3,1,2,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[3,1,2,5,6,4]],[1,3,2,4,6,5],[1,4,5],[1],[[[3,1,2,5,6,4]]],20,<<[],[1,1,1]>,[[854,0],[1602,0],[61482,0],[1,0]]>,[[[-8184,0],[8,0],[0,0]],[[-7672,1360],[1672,3352],[840,1680]],[[7352,-1360],[6512,4840],[7352,6512]],[[-397005,0],[362803,0],[503808,0]],[[57877,275490],[218154,274823],[479765,414762]],[[-217613,-275490],[467619,249465],[65003,109526]]]>,<3,12,6,[[2,3,1,6,4,5],[4,5,6,1,2,3],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[4,5,6,1,2,3],[1,3,2,4,6,5],[2,3,1,6,4,5],[5,4,6,3,2,1]],[1,3,2,4,6,5],[1,2,3,4,5,6],[1,2],[[[2,3,1,6,4,5],[4,5,6,1,2,3]],[[2,3,1,6,4,5]]],20,<<[],[2,2,1]>,[[1536,0],[-576,0],[264,0],[-9,0],[-15,0],[-3,0],[1,0]]>,[[[546028890,0],[-426097537,0],[-405621450,0],[-181359591,0],[559679599,0],[56878008,0]],[[-188004873,-191905086],[-273167929,204119814],[-472557337,128074427],[-143967335,174874527],[-368438076,-96398689],[324175724,214807440]],[[195805299,191905086],[480853910,-204119814],[433555276,-128074427],[-493716389,-174874527],[-175640698,96398689],[281981333,172613049]],[[0,0],[1,0],[0,0],[0,0],[0,0],[0,0]],[[-420076125,437969265],[-360330731,111594225],[502326791,-301115698],[-324022750,-152413674],[100619468,-472710853],[279553482,29940281]],[[-133753188,-437969265],[578742286,-111594225],[-57703280,301115698],[-19195402,152413674],[-116220293,472710853],[219672920,357480208]]]>,<29,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,24,1]>,[[-29749407726343568641661394418,0],[71086269684307065985542235906,0],[1,0]]>,[[[-71086269684307065985542235885,0],[-1,0]],[[21,0],[1,0]],[[-35828559797278292652213192100,58420682996630894111183784116],[554251598657407330839598925,-1647744685651290550696121679]],[[-78775157284295460332998923784,10189593412317135606303156583],[-554251598657407330839598925,1647744685651290550696121679]],[[-21968342507541725738330887676,-58420682996630894111183784116],[-2622704671841559879505428462,1647744685651290550696121679]],[[30663753122312791511298599026,-10189593412317135606303156583],[2622704671841559879505428462,-1647744685651290550696121679]]]>,<149,2,1,[[3,4,1,2,6,5]],[[1,2,3,4,5,6],[3,4,1,2,6,5]],[3,4,1,2,6,5],[1,3],[1],[[]],20,<[],[2,145,1]>,[[-368210578543825404894855732621687075172836,-3618053620930838441483427514972576381966649],[-11444642917327240875527277333286965795044065,-3875550731400281309703469172065451762884175],[651691828599510030597565855757337425595251,3618053620930838441483427514972576381966649],[-2176430193660702802551291471032374999256709,3875550731400281309703469172065451762884175],[-7629348602368300696293958722699242016648,-49004122689791248704928456887239555854762],[69809077285440096020284396200263861831278,49004122689791248704928456887239555854762]]>*] [x,x^2-x+1,x^2-x+22,x^2-x-7,x^3-2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,29,149],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,29,149],[3,7,3,3],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,3*29,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,29,149],[1,7,7,2],1,[1.000000000,2.020884518,1.322758729],<"notfaithful",0>,[6,3]>,<1,29,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,29,149],[2,2,7,1],1,[1.000000000,0.6117662896,0.7583749766],<"notfaithful",0>,[6,3]>,<2,2^2*3^3,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]]],[2,3,29,149],[7,7,3,3],1,[1.000000000,0.8146240592,0.9743024320],<"notfaithful",0>,[6,3]>,<2,2^2*3^3*29^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]]],[2,3,29,149],[7,7,7,3],1,[1.000000000,0.8518150279,0.9761448388],<"2.2e2_3e3_29e2.6t3.1",1>,[6,3]>]
x^6+24*x^4+144*x^2+176 -2^4*3^6*5^2*11^3 0 3 12 "D12" [[2,1,3,5,4,6],[1,3,2,4,6,5],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,6,5,1,3,2]>,<2,3,[2,1,3,5,4,6]>,<3,2,[3,1,2,6,4,5]>,<6,2,[5,6,4,2,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 37 x^2+33*x+2 8 [[-1131097634466,-848523196686],[-1229667775196,848523196686],[-1151714044259,0],[1131097634466,848523196686],[1229667775196,-848523196686],[1151714044259,0]] 2 [3,1,1,6,4,6,3,3,1,6,5,4,2,6,5,1,4,3,4,4,6,3,3,4,4,6,4,3,3,5,6,6,5,3,6,3,4,4,3,3,4,5,4,2,3,5,3,4,3,5,3,6,3,4,1,3,4,3,2,6,6,3,6,4,4,5,5,6,3,3,1,6,4,6,5,5,4,4,4,3,4,5,6,4,3,1,4,6,2,4,5,6,4,6,5,3,4,4,6,3,2,3,3,2,3,4,5,3,4,3,6,6,1,5,1,4,4,5,5,6,5,2,3,1,5,2,5,4,4,6,3,3,5,4,6,3,5,6,5,2,3,2,4,3,1,4,2,3,5,5,6,4,4,3,4,4,3,4,2,2,5,3,2,4,5,1,5,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x+144,2>,<x^3-15552*x+279936,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[6,5,2,1,3,4],[2,1,6,5,4,3]],[[1,2,3,4,5,6],[2,1,6,5,4,3],[6,5,2,1,3,4]],[2,1,6,5,4,3],[1,3,5],[1],[[[6,5,2,1,3,4]]],20,<<[],[1,1,1]>,[[22,0],[36,0],[12,0],[1,0]]>,[[[0,0],[22694,-20148],[14705,29410]],[[0,0],[-22694,20148],[18063,3358]],[[-28200,0],[26490,22694],[5590,14705]],[[28200,0],[-26490,-22694],[27178,18063]],[[28200,0],[-3796,22694],[9115,14705]],[[-28200,0],[3796,-22694],[23653,18063]]]>,<3,6,6,[[3,1,2,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[3,1,2,5,6,4]],[1,2,3,4,5,6],[1,4,5],[1,2],[[[3,1,2,5,6,4],[1,3,2,4,6,5]],[[3,1,2,5,6,4]]],20,<[],[-678184185,1452231846,1726437606,-129772665,1121935998,847730238,1]>,[[529375385,546195357,-82263532,104749368,326151786,125082128],[277837892,320958261,324391772,-161168272,-355605018,211916783],[355048190,295107849,-242128240,56418904,29453232,-336998911],[-529375385,-546195357,82263532,-104749368,-326151786,-125082128],[-355048190,-295107849,242128240,-56418904,-29453232,336998911],[-277837892,-320958261,-324391772,161168272,355605018,-211916783]]>,<5,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[-9025234727935,-13500450969815,1]>,[[13500450969823,0],[-13500450969823,0],[13500450969819,-1],[4,1],[-4,-1],[-13500450969819,1]]>,<11,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,7,1]>,[[-206923460333413120770,0],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[1,0]],[[283625390055684591379,-207285600669472977835],[-30579545224207273145,0]],[[283625390055684591379,-207285600669472977835],[30579545224207273145,0]],[[-283625390055684591379,207285600669472977835],[-30579545224207273145,0]],[[-283625390055684591379,207285600669472977835],[30579545224207273145,0]]]>*] [x,x^2-x-41,x^2-x+3,x^2-x+4,x^3-12*x-6,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3*5*11,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,11],[3,7,7,7],1,[1.000000000,0.7968649727,0.8195708379],<"notfaithful",0>,[6,3]>,<1,11,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[2,1,1,7],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[6,3]>,<1,3*5,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[1,7,7,2],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[6,3]>,<2,2^2*3^3*5*11,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,11],[7,7,8,8],1,[1.000000000,1.089818815,1.024722569],<"notfaithful",0>,[6,3]>,<2,2^2*3^3*5*11,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,5,11],[7,7,8,9],1,[1.000000000,1.536695321,1.064469562],<"2.2e2_3e3_5_11.6t3.1",1>,[6,3]>]
