x^5+3*x^3-2*x^2+3*x-3 3^4*709 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 17 x^2+16*x+3 5 [[584435,0],[-39259,0],[198179,586373],[-78708,0],[-664647,-586373]] 3 [5,1,6,6,6,5,2,6,5,6,5,7,5,6,6,7,4,7,6,7,2,7,5,7,5,2,3,5,5,6,4,2,2,7,4,4,4,6,5,5,4,6,3,3,7,3,3,2,6,5,5,5,5,4,4,3,7,6,6,5,4,6,5,5,6,2,5,5,7,7,5,5,5,3,5,5,3,4,6,4,5,2,4,7,5,5,7,4,3,6,7,6,4,3,7,5,7,3,4,5,5,5,6,4,6,3,6,6,2,3,4,5,5,5,1,7,7,6,5,5,4,6,2,6,5,5,1,7,5,5,7,6,7,4,7,6,6,6,7,4,3,6,7,5,5,6,3,7,5,7,7,6,5,6,7,4,5,4,6,2,6,5,5,4,4,4,7,7] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<3,6,6,[[1,2,4,5,3],[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4],[1,2,4,5,3]],[1,2,3,4,5],[1,3,4],[1,2],[[[1,2,4,5,3],[2,1,3,5,4]],[[1,2,4,5,3]]],20,<[],[-1536334437,-1066689891,-289400763,-142419699,-262188210,1159274271,1]>,[[1448041386,-325159905,1424344629,-504603238,-83317182,-458146093],[445745037,325159905,-1424344629,504603238,83317182,458146093],[214436000,506422218,-482137385,75166593,550145090,304406351],[543243452,-79821330,-521676002,-274887160,-505403569,-447322444],[-326942941,-426600888,-158448080,199720567,-44741521,142916093]]>,<709,2,2,[[1,2,3,5,4]],[[1,2,3,4,5],[1,2,3,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,2,3,5,4]]],20,<[],[289160685942897491186093907095767531992274225468074520547,470206728315317739937653019593892490218334045840864649897,1]>,[[167577101213796807513704096829216367675570361531946504577,0],[133255684928948038267010180900050436661767189138871848046,0],[169373942172572894156938741864625685880996495170046297064,0],[-470206728315317739937653019593892490218334045840864649792,-1],[105,1]]>*] [x,x^2-x-177,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,709],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,709,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,709],[1,8],1,[1.000000000,1.307885270,0.9556669875],<"notfaithful",0>,[5,5]>,<4,3^4*709^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]]],[3,709],[8,8],1,[0,0,0],<"4.3e4_709e3.10t12.1",1>,[5,5]>,<4,3^4*709,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1]],[[1],[-3],[3],[-1]]],[3,709],[8,9],1,[1.000000000,0.9635186562,1.054392552],<"4.3e4_709.5t5.1",1>,[5,5]>,<5,3^6*709^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1]],[[1],[-3],[3],[-1]]],[3,709],[8,9],1,[0,0,0],<"5.3e6_709e2.10t13.1",1>,[5,5]>,<5,3^6*709^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[-2],[1]]],[3,709],[8,9],1,[0,0,0],<"5.3e6_709e3.6t14.1",1>,[5,5]>,<6,3^8*709^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1]],[[1],[-3],[3],[-1]]],[3,709],[8,9],1,[0,0,0],<"6.3e8_709e3.20t35.1",1>,[5,5]>]
x^3-x^2-342*x-2016 13^2*79^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 7 x-1 6 [[28133],[45657],[43860]] 1 [1,1,3,1,2,1,2,1,2,2,3,1,3,3,3,3,3,2,3,2,3,1,3,3,2,3,2,1,2,3,2,1,2,1,1,3,1,1,2,2,3,3,2,1,2,2,2,3,2,1,3,2,1,2,1,2,1,1,1,2,3,1,3,3,2,1,2,1,1,3,1,2,1,2,1,2,3,3,2,2,1,3,1,2,1,3,3,3,3,3,3,2,3,3,2,1,1,3,1,1,3,2,2,1,1,2,1,3,1,2,3,2,2,2,2,1,1,3,3,2,2,3,2,3,1,1,3,2,2,1,1,2,2,3,1,3,2,3,1,2,1,2,2,2,2,3,2,1,1,3,2,3,1,3,3,2,1,1,3,3,3,1,3,1,2,2,1,3] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x-6162,2>,<x+6162,3>]*]] [*<2,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[372787,214704,-63202]>,<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[347144140,-253205589,-93938550]>,<13,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,2,3],[1],[[[3,1,2]]],20,<[],[-4446,-117,26,1]>,[[35,-243653381729241018448,243653381729241018446],[-43,243653381729241018447,-243653381729241018446],[9,1,0]]>,<79,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[125926,7979,158,1]>,[[-29882750658947865148328943459133844484,-567393999853440477499916647958237544,-189131333284480159166638882652745853],[29882750658947865148328943459133844432,567393999853440477499916647958237543,189131333284480159166638882652745853],[53,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,13,79],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,13*79,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3,13,79],[1,1,4,4],0,[0.9856975619-0.1685239343*i,2.720180852-0.1737608312*i,1.490709451-0.03565845031*i],<"1.13_79.3t1.1",1>,[3,1]>,<1,13*79,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,13,79],[1,1,4,4],0,[0.9856975619+0.1685239343*i,2.720180852+0.1737608312*i,1.490709451+0.03565845031*i],<"1.13_79.3t1.1",2>,[3,1]>]
x^3-x^2-342*x-989 13^2*79^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 23 x-1 5 [[-1048501],[574016],[474486]] 1 [3,3,3,2,1,1,3,2,1,1,3,3,2,1,3,3,1,3,2,3,3,1,3,2,3,2,2,3,2,1,1,1,3,2,2,3,1,2,1,3,2,3,3,3,1,3,1,2,3,1,3,2,2,3,3,1,2,3,2,2,2,2,3,3,2,1,3,1,2,2,3,2,3,3,3,3,3,1,1,3,3,3,3,3,3,3,1,2,1,3,3,1,1,2,2,2,3,3,3,1,3,1,3,3,1,2,3,3,1,1,1,1,3,2,3,2,2,2,2,3,1,2,2,1,3,1,1,3,2,1,3,1,1,2,2,2,3,1,2,1,1,1,3,2,1,1,2,1,1,3,3,2,1,2,2,2,2,2,3,3,2,2,3,2,1,2,3,1] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x+11297,2>,<x-11297,3>]*]] [*<11,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-35926630693180500131,-25618764138083384542,386304382849338383]>,<13,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[-3419,-117,26,1]>,[[5183171938603854392414,398705533738758030183,265803689159172020123],[-5183171938603854392422,-398705533738758030184,-265803689159172020123],[9,1,0]]>,<79,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[126953,7979,158,1]>,[[24449523266411889666814590102927690966,309487636283694805909045444340856841,206325090855796537272696962893904567],[-24449523266411889666814590102927691018,-309487636283694805909045444340856842,-206325090855796537272696962893904567],[53,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,13,79],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,13*79,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,11,13,79],[3,1,4,4],0,[-0.7775053747+0.6288762933*i,0.3982294028-0.3611193758*i,0.7680512251-0.2377754769*i],<"1.13_79.3t1.2",1>,[3,1]>,<1,13*79,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,11,13,79],[3,1,4,4],0,[-0.7775053747-0.6288762933*i,0.3982294028+0.3611193758*i,0.7680512251+0.2377754769*i],<"1.13_79.3t1.2",2>,[3,1]>]
