x^2-1207 2^2*17*71 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-44],[44]] 1 [1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-1206,2,1]>,[[1,1],[-1,-1]]>,<17,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1207,0,1]>,[[0,-1],[0,1]]>,<71,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1207,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,17,71],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*17*71,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,17,71],[3,3,3],1,[1.000000000,0.8437657894,1.038423108],<"1.2e2_17_71.2t1.1",1>,[2,1]>]
x^6-2*x^5-x^4+x^3+2*x^2+x-1 -5^3*839 4 1 72 "S3wrC2" [[2,1,4,3,6,5],[1,3,2,4,5,6],[1,3,5,4,2,6]] [<1,1,[1,2,3,4,5,6]>,<2,6,[2,1,4,3,6,5]>,<2,6,[1,2,5,4,3,6]>,<2,9,[1,2,5,6,3,4]>,<3,4,[4,3,5,6,2,1]>,<3,4,[4,2,3,6,5,1]>,<4,18,[2,1,6,3,4,5]>,<6,12,[3,1,4,5,6,2]>,<6,12,[4,2,5,6,3,1]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,2,3],[2,2,2],[2,4],[3,3],[6]] 19 x^2+18*x+2 5 [[-1208403,0],[-368178,-974558],[-158827,974558],[425508,-294977],[527006,0],[782896,294977]] 3 [8,8,8,8,9,7,7,4,8,9,3,8,9,8,8,2,4,4,7,3,2,3,7,9,7,4,7,7,9,7,2,9,8,9,9,9,7,7,7,7,4,9,9,8,8,9,6,2,2,3,7,9,6,9,2,7,3,5,7,4,8,8,7,6,2,2,9,8,8,3,7,9,7,2,9,7,9,7,9,9,3,6,4,2,9,8,4,2,3,7,2,9,8,5,4,7,4,9,8,4,7,7,7,3,5,8,7,8,3,4,2,2,7,4,4,4,7,7,8,9,6,2,7,8,9,9,4,3,7,7,3,7,4,8,5,9,2,8,7,9,3,3,7,7,3,6,8,8,1,2,8,4,7,2,7,4,6,4,2,9,2,8,2,3,8,8,6,7] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,2,3],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,8*]] [*<5,6,2,[[3,4,5,6,2,1]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,2,1,4,3],[4,3,6,5,1,2],[3,4,5,6,2,1],[6,5,1,2,3,4]],[3,4,5,6,2,1],[1,2,5,5,8,8],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,3,0,1]>,[[-3406364939450,39221220851070,-14348727626015],[17457382801810,-43886732724740,-23060452479305],[1,0,0]]>,[[[-17457382801806,43886732724740,23060452479306],[-1,0,0]],[[4,0,1],[1,0,0]],[[-2709728288518,15710945383652,40444753426340],[-7531153670803,-1785708893745,5025994029184]],[[16470107248232,-21993727644658,-1775420066275],[7531153670803,1785708893745,-5025994029184]],[[987275553575,-21893005080082,-21285032413031],[-7531153670802,-1785708893745,5025994029184]],[[2709728288515,-15710945383652,-40444753426341],[7531153670802,1785708893745,-5025994029184]]]>,<839,6,2,[[1,2,3,4,6,5],[1,3,4,2,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3,4,2,5,6],[1,4,2,3,5,6],[1,3,4,2,6,5],[1,4,2,3,6,5]],[1,3,4,2,5,6],[1,3,6,6,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[828,4,0,1]>,[[-7844078692285048225535916602882479196662726159798433438300,0,0],[10898427091862015498146827358165094742875985524930816028070,0,0],[1,0,0]]>,[[[10898427091862015498146827358165094742875985524930816026953,0,0],[0,0,0]],[[-12234736989518004875687765169387740208746063143434530674319,-590032502855360874279841584322227909952691584787305088479,-12055595045916488584944787644271406977345774575156844274670],[0,0,0]],[[13518375741804280993187485984529383737362120635754408085157,12046699711196875159551373316249000986275777885467116452836,12536959578023842129007182949949523300576796134776798303734],[0,0,0]],[[-1283638752286276117499720815141643528616057492319877410837,-11456667208341514285271531731926773076323086300679811364357,-481364532107353544062395305678116323231021559619954029064],[0,0,0]],[[-10898427091862015498146827358165094742875985524930816027511,0,0],[-1,0,0]],[[559,0,0],[1,0,0]]]>*] [x,x^2-x+1049,x^2-x-1,x^2-x+210,x^4-2*x^3+10*x^2-9*x+230,0,0,0,0] [1,2,2,2,5,6,7,8,9] <[1],[2],[3],[4],[5],[6],[7],[8],[9]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,839],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,13]>,<1,5*839,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,839],[10,10],1,[1.000000000,0.3880376601,0.7037922688],<"notfaithful",0>,[6,13]>,<1,5,1,[[1],[-1],[1],[1],[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,839],[10,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,13]>,<1,839,1,[[1],[1],[-1],[1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,839],[1,10],1,[1.000000000,3.579174167,1.572367110],<"notfaithful",0>,[6,13]>,<2,5*839,1,[[2],[0],[0],[-2],[2],[2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1]]],[5,839],[10,10],1,[1.000000000,1.593205135,1.117841737],<"notfaithful",0>,[6,13]>,<4,5^2*839^3,1,[[4],[0],[-2],[0],[-2],[1],[0],[0],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1],[1]],[[1],[-1]]],[5,839],[10,11],1,[0,0,0],<"4.5e2_839e3.12t36.1",1>,[6,13]>,<4,5^2*839,1,[[4],[0],[2],[0],[-2],[1],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[1],[0],[-1],[-1]],[[1],[1],[1]],[[1],[0],[0],[-1]]],[5,839],[10,11],1,[1.000000000,0.4958065612,0.8820215284],<"4.5e2_839.6t13.1",1>,[6,13]>,<4,5*839^2,1,[[4],[2],[0],[0],[1],[-2],[0],[-1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[1],[0],[1]],[[1],[0],[0],[-1]],[[1],[1],[1]]],[5,839],[10,11],1,[0,0,0],<"4.5_839e2.6t13.1",1>,[6,13]>,<4,5^3*839^2,1,[[4],[-2],[0],[0],[1],[-2],[0],[1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1]],[[1],[1],[1]]],[5,839],[10,11],1,[0,0,0],<"4.5e3_839e2.12t34.1",1>,[6,13]>]
x^4-x^3-465*x^2+5662*x-19124 17^3*73^3 4 0 4 "C4" [[4,3,2,1],[2,4,1,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[2,4,1,3]>,<4,1,[3,1,4,2]>] [[1,1,1,1],[2,2],[4]] 7 x-1 7 [[-225561],[190663],[-248215],[283114]] 1 [2,3,2,1,2,3,1,1,4,1,1,4,3,4,3,3,3,4,2,4,1,4,3,1,3,4,3,2,3,1,1,1,1,2,2,3,3,1,1,3,3,4,4,2,2,2,3,2,3,3,2,4,1,1,1,4,3,3,1,4,3,1,3,3,2,4,3,2,3,2,2,1,3,1,2,2,1,3,3,3,4,4,1,3,4,4,2,1,1,2,4,4,4,3,4,3,1,1,2,1,4,2,4,4,2,4,1,2,3,1,3,3,2,4,4,4,2,4,3,1,2,3,2,1,1,3,1,1,2,1,2,1,1,1,3,4,4,4,1,4,4,4,1,4,3,3,3,4,3,3,3,2,4,1,2,4,3,1,1,3,4,1,2,4,3,2,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x-4266,3>,<x-6748,4>]*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[1,1,1]>,[[113264,-147859],[261123,147859],[217172,-239846],[-67270,239846]]>,<17,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[2261,1853,510,51,1]>,[[574,322,47,1],[2032115703323786261200584,-140,-23,119536217842575662423576],[2032115703323786261200431,-183,-24,119536217842575662423576],[13,1,0,0]]>,<73,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[7869911,610937,17520,219,1]>,[[171094,9562,173,1],[9234793886067596145280412703733116165,-4845,-87,126504025836542412949046749366208268],[9234793886067596145280412703733119888,-4718,-86,126504025836542412949046749366208268],[55,1,0,0]]>*] [x,0,x^2-x-310,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17,73],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,17*73,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,17,73],[2,5,5],0,[-0.05686531168+0.9983818590*i,0.5899875688+0.2457224906*i,0.7727813853+0.08924034594*i],<"1.17_73.4t1.2",1>,[4,1]>,<1,17*73,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,17,73],[1,5,5],1,[1.000000000,2.047798253,1.278690144],<"notfaithful",0>,[4,1]>,<1,17*73,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,17,73],[2,5,5],0,[-0.05686531168-0.9983818590*i,0.5899875688-0.2457224906*i,0.7727813853-0.08924034594*i],<"1.17_73.4t1.2",2>,[4,1]>]
x^4-x^3-465*x^2-4266*x-9196 17^3*73^3 4 0 4 "C4" [[4,3,1,2],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<4,1,[4,3,1,2]>,<4,1,[3,4,2,1]>] [[1,1,1,1],[2,2],[4]] 11 x-1 6 [[-461252],[246017],[578394],[-363158]] 1 [2,3,1,2,1,4,1,1,4,2,2,4,3,3,4,4,4,4,2,4,1,4,4,1,3,3,4,1,3,2,1,2,1,1,2,4,4,2,2,3,4,4,3,1,1,1,3,2,3,4,1,3,2,1,1,3,3,4,2,3,3,1,4,3,1,4,4,1,3,2,2,1,3,1,1,2,1,3,3,4,4,3,2,4,4,3,1,1,1,2,3,4,4,4,4,3,1,2,2,2,4,2,3,3,1,3,1,2,4,2,3,4,1,4,3,4,1,3,3,1,2,3,1,2,2,4,2,2,2,1,2,2,2,1,4,3,3,4,1,4,4,4,2,4,4,3,3,4,4,4,3,1,3,2,1,4,4,2,1,3,4,1,2,3,4,1,2,4] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x+10626,3>,<x-1784,4>]*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-520296,-366403],[-153893,366403],[-212488,-50590],[-161898,50590]]>,<5,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-9449376796978,-552020861952,-520699320482,-921994817462]>,<17,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[-116875,-8075,510,51,1]>,[[-242,-47814487137030264969435,-19125794854812105987771,76503179419248423951089],[-2032115703323786261200711,95628974274060529938864,-38251589709624211975545,81284628132951450448032],[-2032115703323786261200660,-47814487137030264969430,57377384564436317963316,81284628132951450448032],[13,1,0,0]]>,<73,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,3,4],[1],[[[2,4,1,3]]],20,<[],[7333799,601009,17520,219,1]>,[[-1477567021770815383244866032597307852,-30360966200770179107771219847889673,-111323542736157323395161139442263270,20240644133846786071847479898593323],[-1108175266328111537433649524447986624,-111323542736157323395161139442263423,-20240644133846786071847479898593326,116383703769619019913123009416911607],[2585742288098926920678515557045294422,-111323542736157323395161139442263442,-121443864803080716431084879391559941,116383703769619019913123009416911607],[55,1,0,0]]>*] [x,0,x^2-x-310,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,17,73],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,17*73,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,5,17,73],[2,1,5,5],0,[0.9547808089-0.2973106238*i,0.7521764502+0.1058861881*i,0.8146500384+0.08302898819*i],<"1.17_73.4t1.3",1>,[4,1]>,<1,17*73,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,17,73],[1,1,5,5],1,[1.000000000,2.047798253,1.278690144],<"notfaithful",0>,[4,1]>,<1,17*73,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,5,17,73],[2,1,5,5],0,[0.9547808089+0.2973106238*i,0.7521764502-0.1058861881*i,0.8146500384-0.08302898819*i],<"1.17_73.4t1.3",2>,[4,1]>]
x^8-x^7-736*x^6-6970*x^5+58489*x^4+1011019*x^3+4122950*x^2+4843792*x-1306112 3^6*19^6*41^6 8 0 8 "Q8" [[5,6,8,7,1,2,4,3],[2,5,4,8,6,1,3,7],[7,8,2,1,4,3,5,6]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[5,6,8,7,1,2,4,3]>,<4,2,[7,8,2,1,4,3,5,6]>,<4,2,[2,5,4,8,6,1,3,7]>,<4,2,[3,7,5,2,8,4,6,1]>] [[1,1,1,1,1,1,1,1],[2,2,2,2],[4,4]] 61 x-1 5 [[33761923],[415434791],[158594415],[176937059],[-303600185],[-57253511],[69401036],[351320774]] 1 [1,3,4,5,3,3,3,3,4,5,4,4,1,2,3,5,2,1,3,5,1,3,4,5,3,3,4,1,3,2,4,4,3,1,3,3,5,1,5,1,5,3,3,3,4,5,3,4,5,5,3,3,4,4,5,3,1,1,1,5,1,5,4,3,5,5,3,4,3,2,4,4,1,4,4,5,4,5,1,4,4,3,2,4,3,4,2,5,4,5,4,3,4,4,5,3,5,5,4,1,3,3,5,2,5,5,3,3,1,3,4,2,4,1,2,5,5,4,3,5,4,3,1,5,5,4,5,3,5,1,2,2,3,5,4,1,5,4,2,3,4,4,5,5,4,5,1,2,2,2,4,4,5,5,4,1,5,3,5,1,4,2,5,5,5,1,3,5] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2,2],"CYC",0,2*],[*[4,4],"RES",<[1,3],x^2>,[<x-9418,3>,<x+11902,4>,<x+11900,5>]*]] [*<2,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[25274,-17568,1064,17619,-23,825,37,-91]>,<3,8,4,[[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4]],[[1,2,3,4,5,6,7,8],[3,4,1,2,7,8,5,6],[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4],[8,7,6,5,2,1,4,3]],[5,8,7,6,3,2,1,4],[1,2,4,3,5],[1],[[[2,3,4,1,6,7,8,5]]],20,<<[],[2,2,1]>,[[-1032414234,-702717369],[769751493,496064817],[984400005,-136844418],[788513205,-954878991],[1,0]]>,[[[-695535693,625339],[-525672454,-371453349],[-248548570,281413352],[-110884670,406684890]],[[731264547,-1349903006],[-571296193,-278095432],[-63525251,-552572536],[-265924329,297046069]],[[0,1],[1,0],[0,0],[0,0]],[[-824242059,-1182627740],[-65292821,-512712686],[312073821,271159184],[376808999,458530508]],[[-1368344387,-89814697],[-260947833,79199120],[266562353,95162144],[159277261,-281110872]],[[-1627446554,1429395725],[260222483,164150026],[162089402,578495345],[265924329,-297046069]],[[-900596468,295403462],[342356277,-265871234],[431433696,-263253017],[-567528443,458530508]],[[1198116214,896920916],[-341630927,22522088],[302176016,-410404472],[142326853,119626433]]]>,<19,8,4,[[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4]],[[1,2,3,4,5,6,7,8],[3,4,1,2,7,8,5,6],[2,3,4,1,6,7,8,5],[5,8,7,6,3,2,1,4],[8,7,6,5,2,1,4,3]],[5,8,7,6,3,2,1,4],[1,2,4,3,5],[1],[[[2,3,4,1,6,7,8,5]]],20,<<[],[2,18,1]>,[[10418320014689363891541954,6111115469238772911869068],[11117412923579587183062682,-4410911775358400217238355],[1998014544786890898709150,15372075461520240944507221],[877022289316804628243458,-18697539807737778582428482],[1,0]]>,[[[13214554087252325384921667,-4467982867526331612704875],[-304104607275021130846669,60185076931729058237522],[604246498980670153822634,-643068885294713436580681],[-401546523512407249317293,465445037084657125049660]],[[153223713654868353519500,-3460755782469741104572928],[-817745498611646061553685,626422538475601479203043],[-928024151677959891848895,332543693225933459453613],[-405372353134543452988263,775865394274660011821844]],[[6,12],[1,0],[0,0],[0,0]],[[-14244800090223998366684607,-10963694999812106893649280],[-856569549773646396723626,-686607615407330537440565],[323777652697289738026261,310525192068779977127068],[806918876646950702305556,737109224300996452252475]],[[7361729435611264693399949,1985262435619215228352716],[535811594053184824624197,822043008283704882747168],[963103455814869210840255,-657806076028089708228671],[-189935710976982910592767,348991028463319241232937]],[[5081569200123299338171085,16835046388151902914209050],[671575117058845290179781,-735741376333023120403730],[-693465260860213920104157,792498228212392998709784],[405372353134543452988263,-775865394274660011821844]],[[11384965190291706588022967,-2745057637370609691621954],[-743510361942722130460667,-986269047977195527912547],[-898711189776237234386407,669298012375688710806653],[-800547093577054088857677,737109224300996452252475]],[[14638731920836492202005035,2817182463407671159987259],[-463876349169307984343311,899967416026513765569109],[629072994821581943650309,-803990164559992001287766],[585110451419493546462181,-310234858489655681663568]]]>,<41,4,4,[[2,4,1,3,6,8,5,7]],[[1,2,3,4,5,6,7,8],[4,3,2,1,8,7,6,5],[2,4,1,3,6,8,5,7],[3,1,4,2,7,5,8,6]],[1,2,3,4,5,6,7,8],[1,2,5,5],[1],[[[2,4,1,3,6,8,5,7]]],20,<[],[89519949631355993452833399658477,-50495065860605054028411379744806,-46247068130974773924774748850661,-69739984484498191865826621071512,1]>,[[-55194160056567254673258250424117,-1350410264479059169752356347472,-1472097820809718315447485456587,1453985647612977183194659594588],[-10580144732923267352994919105650,1552288959874613064059466904279,1241702489900676763387421296709,187437624233018297172172703571],[-44653493682432215610950055463474,-201878695395553894307110556808,230395330909041552060064159878,-1641423271845995480366832298159],[16,1,0,0],[-11090172650180778419892455328245,462591250410765554750186408842,813656391454185276750040819558,-1277657178177470188824398011432],[-2156550888388397664067174773779,1019832580098082983183282888650,-195693368303903504619347943067,606514607008094327183618467955],[-23093922158184814567528637713409,619276824281148784047069583664,1268383612234809104261581901487,-1679535414245036871753964117521],[-33399338787744201214338353256142,-2101700654789997321980538881156,-1886346635385090876392274777978,-2043658184254390425215740389363]]>,<271,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-278309403614260732805080807246791562583556834486,-1280554836507247039177011866898182880845602811360,2213710362336470894009869435811246182119467428026,-510497823763263751648041606302316415278262871530,560245398964025544787035741816148614352086329004,1622080087978657727538642650780613879525816161775,4781497811934723711199073930378491990960799639,-7136921816724557315095359770751162099232192789]>,<853,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[1642236797827548505804040563242475949912836759861391478370,-20298442322483550105132025061314732313250742715827419764441,-2072716719409481285984306767865003540502015744899741206905,10742166689369055311897792456959163468940574891047202842542,16220746389731339270596139836653999991539501838129628907027,-10180957452753171780272200728102929029003784963721042946458,-5066132142732360599948245556051714271758342358883517724,2764706144097028111119278369018206507147275058998575913]>,<90659,1,1,[],[[1,2,3,4,5,6,7,8]],[1,2,3,4,5,6,7,8],[1],[1],[[]],20,[],[-378734864721075970053534614678046848697595102740215105981336207059047541499104175673682146890723095,-307594460776202724828822534845194529717070316475736615371073189167120437706770672790796877894296157,685485828225739020244217739980664777520257859718272136897136624532742633613356796933610126739244831,-12401343000795511613936826927290429207949770803584915725393820516171861728228346241511824569201911,-562784382542049013535652671623695616307021033001817698462376856332636970628814089950441477301763319,476593008672200836738673020305050196626856921494478610540930011097661954118856454796765180438905591,-1966751343206998128818964398942013761852955524966948891010521313107357841627304473515716967578,5290188685230649687893907067911553172304920578361835685957843409071059066786890226670101600527]>*] [x,x^2-x-10,x^2-x-584,x^2-x-14,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11,13,17,19,41,271,853,90659],[1,1,1,1,1,1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,5]>,<1,41,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11,13,17,19,41,271,853,90659],[1,3,1,3,3,3,3,6,1,1,1],1,[1.000000000,1.299093062,1.203023023],<"notfaithful",0>,[8,5]>,<1,3*19*41,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,11,13,17,19,41,271,853,90659],[1,6,4,1,1,1,6,6,1,1,1],1,[1.000000000,1.739240078,1.274754336],<"notfaithful",0>,[8,5]>,<1,3*19,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,11,13,17,19,41,271,853,90659],[1,6,3,3,3,3,6,1,1,1,1],1,[1.000000000,1.512726167,1.284326634],<"notfaithful",0>,[8,5]>,<2,3^2*19^2*41^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1]]],[2,3,5,11,13,17,19,41,271,853,90659],[1,6,3,3,3,3,6,6,1,1,1],-1,[0,0,0],<"2.3e2_19e2_41e2.8t5.1",1>,[8,5]>]
