x^4-11*x^2+20 2^4*5*41^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 31 x-1 5 [[8939171],[5945503],[-5945503],[-8939171]] 1 [4,5,1,5,3,5,5,3,4,3,1,4,3,4,5,5,2,2,5,3,4,3,4,3,5,3,4,4,3,4,4,2,5,2,3,3,5,4,5,4,3,3,3,5,4,3,3,4,5,3,5,3,1,1,5,5,1,2,4,3,4,5,4,3,5,5,3,4,5,2,4,2,4,4,1,5,2,5,2,1,1,3,1,4,3,4,2,5,2,5,4,3,4,1,3,5,3,3,4,1,5,5,5,1,3,5,5,5,2,3,4,4,4,1,1,3,5,4,5,3,1,5,4,5,3,1,3,3,5,4,1,4,3,5,1,2,5,4,4,3,1,2,5,5,2,3,4,4,2,4,4,1,5,5,4,2,3,3,5,1,4,4,5,3,5,4,3,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-66,2>,<x^2-2880,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[2,1,3,4]],[1,2,4,3],[1,2,4,4],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[160550,0],[2,0],[1,0]]>,[[[2,0],[-131070,0]],[[-2,0],[131070,0]],[[142793,-238702],[142793,-238702]],[[-142793,238702],[-142793,238702]]]>,<5,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-33204374554345,0,1]>,[[-19184336009446,0],[19184336009446,0],[0,-1],[0,1]]>,<41,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[6,38,1]>,[[-88047178556359431499750299899480,0],[15844937122515099707773722408659,29281488736409362537729645294898],[1,0]]>,[[[-15844937122515099707773722408621,-29281488736409362537729645294896],[-1,0]],[[38,2],[1,0]],[[-38,-2],[-1,0]],[[15844937122515099707773722408621,29281488736409362537729645294896],[1,0]]]>*] [x,x^2-x-10,x^2-x-1,x^2-x-51,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,41],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,41,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,41],[1,1,6],1,[1.000000000,1.299093062,1.203023023],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,41],[4,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,5*41,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,41],[3,6,6],1,[1.000000000,1.050623227,0.9146140274],<"notfaithful",0>,[4,3]>,<2,2^4*5*41,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,41],[6,7,8],1,[1.000000000,1.066369349,1.028798667],<"2.2e4_5_41.4t3.6",1>,[4,3]>]
x^2-x+3779 -5*3023 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 13 x-1 5 [[-55803],[55804]] 2 [2,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3785,5,1]>,[[-2,-1],[3,1]]>,<3023,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2288411,3023,1]>,[[-1511,-1],[1512,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,3023],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*3023,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,3023],[3,3],1,[1.000000000,0.4599581325,0.7066888429],<"1.5_3023.2t1.1",1>,[2,1]>]
x^3-x^2-15*x-28 -5*3023 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 19 x-1 5 [[-458821],[-812959],[-1204318]] 2 [2,2,1,2,2,3,3,1,2,3,2,2,2,1,2,3,3,3,2,3,3,2,2,2,2,2,1,3,3,2,2,3,2,3,2,3,2,2,2,1,3,2,2,2,1,1,2,3,2,3,3,2,2,3,2,2,1,3,3,1,2,3,3,2,2,3,3,1,2,3,1,2,3,2,1,3,2,3,2,3,3,2,2,2,3,3,2,3,2,2,3,3,2,1,2,2,2,2,3,2,2,1,3,2,3,2,1,2,3,3,3,3,2,2,3,3,1,2,3,1,2,3,2,3,2,3,2,2,2,2,2,2,2,1,3,2,2,1,2,1,3,1,2,3,2,3,3,1,3,2,3,3,3,2,1,3,2,2,2,2,2,2,1,2,1,3,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-21627863047365,45026493385215,1]>,[[45026493385208,0],[-45026493385211,-1],[4,1]]>,<3023,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-231327317721206991089626436198448761162872915362875702512642893237423,-1189614873035252336394245009655728032148513619804474396970914335965583,1]>,[[-1189614873035252336394245009655728032148513619804474396970914335967482,0],[1189614873035252336394245009655728032148513619804474396970914335966533,-1],[950,1]]>*] [x,x^2-x+3779,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,3023],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,5*3023,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[5,3023],[4,4],1,[1.000000000,0.4599581325,0.7066888429],<"notfaithful",0>,[3,2]>,<2,5*3023,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[5,3023],[4,4],1,[1.000000000,1.706811993,1.119529690],<"2.5_3023.3t2.1",1>,[3,2]>]
x^2-x+13752 -67*821 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-18],[19]] 2 [1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<67,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[14874,67,1]>,[[-33,-1],[34,1]]>,<821,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[182262,821,1]>,[[-410,-1],[411,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[67,821],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,67*821,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[67,821],[3,3],1,[1.000000000,2.893307841,1.438392470],<"1.67_821.2t1.1",1>,[2,1]>]
x^3-x^2-24*x-135 -67*821 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[19201],[63291],[78560]] 2 [3,1,2,2,1,3,2,3,3,3,1,3,2,2,2,1,2,1,1,3,3,2,2,3,3,2,3,2,3,2,2,3,2,3,3,2,3,1,2,2,1,2,1,3,2,1,3,3,2,2,1,3,3,2,3,1,3,2,3,1,2,3,2,3,3,2,3,2,2,1,3,2,2,2,3,2,2,3,1,2,3,3,2,1,3,2,1,2,2,2,2,2,2,2,3,3,2,3,2,1,3,2,2,3,2,1,2,3,2,2,1,2,1,2,1,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2,3,2,2,3,3,1,1,2,1,2,2,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,1,2,3,3,3,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-252307289,276142518,-23835228]>,<67,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[736544664990147124200224267989649261,-836485063660177222536222426148929218,1]>,[[-836485063660177222536222426148929245,0],[836485063660177222536222426148929232,-1],[14,1]]>,<821,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[4974625095095799143236690702985661266863369811565546058902,-5501882246860414699568288598238013976890626427871068554568,1]>,[[-5501882246860414699568288598238013976890626427871068555461,0],[5501882246860414699568288598238013976890626427871068555015,-1],[447,1]]>*] [x,x^2-x+13752,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,67,821],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,67*821,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,67,821],[1,4,4],1,[1.000000000,2.893307841,1.438392470],<"notfaithful",0>,[3,2]>,<2,67*821,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[3,67,821],[1,4,4],1,[1.000000000,1.397971158,0.9728256354],<"2.67_821.3t2.1",1>,[3,2]>]
x^6-3*x^5+9*x^4-13*x^3+14*x^2-8*x+2 -2^4*23*37^2 0 3 48 "C2*S4" [[2,1,3,5,4,6],[5,2,3,4,1,6],[2,3,1,6,4,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,4,6,2,1,3]>,<2,3,[1,2,6,4,5,3]>,<2,3,[5,2,6,4,1,3]>,<2,6,[2,1,3,5,4,6]>,<2,6,[2,1,6,5,4,3]>,<3,8,[2,3,1,6,4,5]>,<4,6,[3,2,5,4,6,1]>,<4,6,[3,4,5,2,6,1]>,<6,8,[2,3,5,6,4,1]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 131 x^2+127*x+2 7 [[285729160831908,13230725609804],[-70447747811578,-13230725609804],[-297659875130622,0],[70447747811579,13230725609804],[-285729160831907,-13230725609804],[297659875130623,0]] 2 [5,7,8,10,10,9,6,8,8,9,9,3,7,6,7,10,9,8,3,7,7,8,10,6,6,7,8,3,6,6,7,5,3,4,10,4,10,9,9,7,5,10,6,5,7,6,7,7,6,10,4,5,8,8,9,10,1,7,5,8,8,3,7,5,8,4,5,10,9,4,5,10,3,10,10,8,8,7,6,9,10,6,6,10,5,7,5,6,5,9,8,8,9,1,5,8,7,10,6,9,9,6,6,8,10,5,9,7,7,4,5,10,10,10,6,10,6,5,5,10,8,7,10,9,4,6,8,7,6,10,7,10,10,6,7,6,10,10,6,5,7,7,4,6,5,3,9,9,5,4,4,3,9,7,8,6,8,4,10,3,9,10,5,2,6,10,9,9] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3+3*x^2-61*x+65,4>,<x^6+48*x^5+845*x^4+6080*x^3+6467*x^2-114672*x-364433,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-6,2>,<x^6+6*x^5-100*x^4+40*x^3+1472*x^2-2688*x+256,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,6,3,[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[2,3,1,5,6,4]],[1,3,2,4,6,5],[1,5,7],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[-417030,0],[179454,0],[45106,0],[1,0]]>,[[[0,0],[1,0],[0,0]],[[-279282,-513458],[124234,248469],[268795,13302]],[[234176,513458],[400053,275819],[255493,510986]],[[1,0],[524287,0],[0,0]],[[279283,513458],[400054,275819],[255493,510986]],[[-234175,-513458],[124235,248469],[268795,13302]]]>,<23,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[5,19,3,0,1]>,[[-126307157147289632870517603,0,0,0],[23,0,0,0],[1,0,0,0]]>,[[[617237586792793351277567722,328166569546716184927814181,-139803944818242143458502214,-815100791098638204893538187],[0,0,0,0]],[[557758650842320808705333048,661833759296165439974647065,-134836173777225203927826246,504954195018446133372749433],[0,0,0,0]],[[-617237586792793351277567721,-328166569546716184927814181,139803944818242143458502214,815100791098638204893538187],[0,0,0,0]],[[-557758650842320808705333047,-661833759296165439974647065,134836173777225203927826246,-504954195018446133372749433],[0,0,0,0]],[[-11,0,0,0],[-1,0,0,0]],[[12,0,0,0],[1,0,0,0]]]>,<37,4,2,[[1,2,4,3,6,5],[2,1,3,4,5,6]],[[1,2,3,4,5,6],[2,1,3,4,5,6],[1,2,4,3,6,5],[2,1,4,3,6,5]],[2,1,3,4,5,6],[1,3,5,6],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,33,1]>,[[-1404362722328126690687529756390,0],[-8965240479382358289386860559025,0],[1,0]]>,[[[9067543024287839314354861041165,-851814584386261782565538954281],[0,0]],[[-9067543024287839314354861041164,851814584386261782565538954281],[0,0]],[[8965240479382358289386860559050,0],[-1,0]],[[25,0],[1,0]],[[-24,0],[-1,0]],[[-8965240479382358289386860559049,0],[1,0]]]>*] [x,x^2-x+213,x^2-x-9,x^2-x+6,x^6-3*x^5+88*x^4-159*x^3+1578*x^2-2273*x+9103,x^3-x^2-3*x+1,x^4-x^3-10*x^2+8*x+18,0,0,x^4-x^3-10*x^2+8*x+18] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,23,37],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,23*37,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,23,37],[2,11,11],1,[1.000000000,1.076924092,0.9111851788],<"notfaithful",0>,[6,11]>,<1,37,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,23,37],[5,5,11],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[6,11]>,<1,23,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,23,37],[1,11,2],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[6,11]>,<2,2^2*23^2*37,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,23,37],[11,11,12],1,[1.000000000,0.8465493749,0.9152699602],<"notfaithful",0>,[6,11]>,<2,2^2*37,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,23,37],[11,5,12],1,[1.000000000,0.5465728812,0.8656192389],<"notfaithful",0>,[6,11]>,<3,2^2*23^2*37,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]],[[1],[0],[-1]]],[2,23,37],[11,12,13],1,[1.000000000,1.357956163,1.269525895],<"notfaithful",0>,[6,11]>,<3,2^2*23*37,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[0],[1]],[[1],[0],[-1]]],[2,23,37],[11,12,13],1,[1.000000000,2.125762951,1.375861666],<"3.2e2_23_37.6t11.1",1>,[6,11]>,<3,2^2*23*37^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[1]],[[1],[-1]]],[2,23,37],[11,12,13],1,[1.000000000,0.6989465529,0.7771671442],<"3.2e2_23_37e2.6t11.1",1>,[6,11]>,<3,2^2*23^2*37^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[-1]]],[2,23,37],[11,12,11],1,[0,0,0],<"notfaithful",0>,[6,11]>]
