x^2-x+891 -7*509 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-81],[82]] 2 [2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[903,7,1]>,[[-3,-1],[4,1]]>,<509,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[65661,509,1]>,[[-254,-1],[255,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[7,509],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,7*509,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[7,509],[3,3],1,[1.000000000,1.157882906,0.8827318066],<"1.7_509.2t1.1",1>,[2,1]>]
x^4-11*x^2+6 2^3*3*97^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 5 [[-52220357],[52680470],[-52680470],[52220357]] 1 [4,4,3,5,4,5,5,3,3,3,4,5,5,1,2,1,5,4,3,3,1,4,5,4,1,2,4,5,4,4,5,5,5,3,3,4,5,2,2,3,5,5,2,2,1,5,3,5,4,4,5,3,2,5,5,3,2,5,5,5,2,1,2,3,2,3,3,3,5,5,4,3,5,5,1,3,1,4,5,3,4,4,2,3,5,5,4,3,1,4,4,1,4,4,3,1,2,4,3,5,2,1,5,5,2,3,5,4,3,3,4,4,4,3,4,5,1,1,3,5,4,2,2,4,1,2,5,3,4,4,3,2,4,5,5,3,2,1,3,4,2,3,4,5,4,3,5,4,3,3,4,4,3,3,3,3,5,5,2,3,5,5,4,4,5,3,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-66,2>,<x^2-864,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,3,4],[1,2,4,3]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[1,2,4,3],[1,4,4,2],[3],[[[2,1,3,4]]],20,<<[],[1,1,1]>,[[-268766,0],[0,0],[1,0]]>,[[[0,0],[1,0]],[[0,0],[262143,0]],[[-95271,-190542],[0,0]],[[95271,190542],[0,0]]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[1400554104,0],[0,0],[1,0]]>,[[[-1103686498,-1103686498],[0,0]],[[1103686498,1103686498],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<97,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-2718541170616332746770301185177899230490,897080063418571677829617669678278971630,1]>,[[-897080063418571677829617669678278971565,-1],[65,1],[-65,-1],[897080063418571677829617669678278971565,1]]>*] [x,x^2-x-24,x^2-6,x^2-582,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,97],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,97,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,97],[1,1,6],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[4,3]>,<1,2^3*3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,97],[6,6,1],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[4,3]>,<1,2^3*3*97,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,97],[6,6,6],1,[1.000000000,0.9875084942,0.9784857464],<"notfaithful",0>,[4,3]>,<2,2^3*3*97,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,3,97],[6,6,7],1,[1.000000000,0.5166602664,0.7215199654],<"2.2e3_3_97.4t3.2",1>,[4,3]>]
x^3-x^2+13*x+83 -2^2*19^2*37 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 31 x-1 5 [[-2730692],[-9112878],[11843571]] 2 [1,2,2,2,2,2,2,1,3,2,1,1,3,3,2,1,3,2,2,2,3,3,2,2,2,3,3,2,2,2,2,1,3,2,3,2,3,3,3,3,3,3,1,2,3,1,2,2,3,1,1,3,2,3,2,2,1,2,2,2,1,3,2,3,2,3,3,3,1,1,2,2,2,3,2,3,2,3,2,2,2,2,1,3,3,2,2,2,2,1,3,3,3,2,3,3,1,3,3,2,1,2,1,2,2,2,3,1,2,1,3,1,3,2,3,3,1,1,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,3,2,3,2,2,2,2,3,2,1,3,3,2,3,1,3,3,3,3,1,1,3,2,2,2,3,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[2],[[[1,3,2]]],20,<[],[247406,231090,1]>,[[231089,0],[1,1],[-231089,262143]]>,<19,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[1],[[[3,1,2]]],20,<[],[2280,494,38,1]>,[[11394362380337659917226823,540935312496870157499474,-689358186242323638845494],[-11394362380337659917226835,-540935312496870157499475,689358186242323638845494],[13,1,0]]>,<37,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-10426144542915839457081892012714,-7804156243943299455768879125279,1]>,[[-7804156243943299455768879125332,0],[7804156243943299455768879125306,-1],[27,1]]>*] [x,x^2+37,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,19,37],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^2*37,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,19,37],[4,1,4],1,[1.000000000,0.5164746508,0.8377678648],<"notfaithful",0>,[3,2]>,<2,2^2*19^2*37,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,19,37],[4,5,4],1,[1.000000000,2.321188572,1.352322002],<"2.2e2_19e2_37.3t2.1",1>,[3,2]>]
x^4-x^3-15*x^2+19*x+88 2^3*7^2*13^2 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 23 x-1 5 [[-1446699],[-262467],[1132009],[577158]] 3 [1,5,5,1,4,5,3,5,1,4,3,4,3,4,3,4,5,5,4,1,3,2,5,3,3,5,3,4,4,2,1,5,2,5,4,2,5,4,3,5,4,5,2,1,4,3,4,3,5,5,1,2,3,5,3,2,5,3,4,2,5,5,5,3,3,4,4,2,4,5,3,2,3,4,4,3,4,5,1,3,5,4,2,3,3,4,2,1,5,1,5,3,2,4,4,3,5,3,5,4,4,4,5,2,4,3,5,3,2,3,3,4,1,5,1,2,5,3,4,4,5,1,5,4,5,4,4,3,3,5,4,2,1,4,3,3,5,5,5,2,5,4,2,4,5,3,5,3,5,1,4,3,4,3,4,1,2,3,3,5,4,1,2,5,2,3,2,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-2,2>,<x^2-40*x+62,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[3],[[[1,2,4,3]]],20,<[],[98658,286812,1]>,[[-121352,524288],[-116125,0],[1,1],[-24667,-1]]>,<7,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-15897899037921684,-15541419245223368,1]>,[[15541419245223374,-1],[6,1],[-29635557177824810,-759751867453169],[14094137932601431,759751867453169]]>,<13,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,5,5],[1],[[[2,1,4,3]]],20,<<[],[2,12,1]>,[[3349689675510764437540,2974832741671545680107],[273293569545946796769,7964283834457990898976],[1,0]]>,[[[-273293569545946796769,-7964283834457990898969],[-1,0]],[[0,7],[1,0]],[[2608168535540297665878,-4345474266279079518501],[13445939661822651564,106459880346229455948]],[[-2334874965994350869108,-6695205674143729021338],[-13445939661822651564,-106459880346229455948]]]>*] [x,x^2-x+2,x^2-2,x^2+14,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,13],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,13],[1,6,3],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,13],[6,1,4],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<1,2^3*7,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,13],[6,6,1],1,[1.000000000,1.679251908,1.165526701],<"notfaithful",0>,[4,3]>,<2,2^3*7*13^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,7,13],[6,6,7],1,[1.000000000,2.120152189,1.347230493],<"2.2e3_7_13e2.4t3.1",1>,[4,3]>]
x^4-x^3-4*x^2-10*x+100 2^3*3*97^2 0 2 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 5 [[62027974],[-62188313],[20885067],[-20724727]] 2 [1,4,3,5,4,5,5,3,3,3,4,5,5,1,1,2,5,4,3,3,1,4,5,4,1,1,4,5,4,4,5,5,5,3,3,4,5,2,1,3,5,5,1,2,2,5,3,5,4,4,5,3,2,5,5,3,1,5,5,5,2,2,2,3,2,3,3,3,5,5,4,3,5,5,1,3,2,4,5,3,4,4,1,3,5,5,4,3,2,4,4,2,4,4,3,2,1,4,3,5,2,2,5,5,2,3,5,4,3,3,4,4,4,3,4,5,1,2,3,5,4,2,1,4,1,1,5,3,4,4,3,1,4,5,5,3,1,1,3,4,2,3,4,5,4,3,5,4,3,3,4,4,3,3,3,3,5,5,2,3,5,5,4,4,5,3,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-10,2>,<x^2+44*x+430,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[3],[[[1,2,4,3]]],20,<[],[10,-255528,1]>,[[205595,0],[-198978,0],[0,1],[-6616,-1]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[82675527,0],[466851375,0],[1,0]]>,[[[847319729,147042674],[0,0]],[[553234381,-147042674],[0,0]],[[-238292650,0],[387420486,0]],[[8,0],[3,0]]]>,<5,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,4,1]>,[[39729022465449,24352710314958],[37685612846242,-24352710314958],[3407473723465,1983909361530],[-4528163722655,-1983909361530]]>,<97,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[1326918704093760134816663261206600137535,-928019253434047908423193206398834766716,1]>,[[928019253434047908423193206398834766798,-1],[82,1],[323404002236764492339658737257639831038,5006148398423021656587952640071591871],[-1251423255670812400762851943656474597917,-5006148398423021656587952640071591871]]>*] [x,x^2-x-24,x^2-6,x^2-582,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,97],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,97,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,97],[1,1,3,6],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[4,3]>,<1,2^3*3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,97],[6,6,1,1],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[4,3]>,<1,2^3*3*97,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,97],[6,6,3,6],1,[1.000000000,0.9875084942,0.9784857464],<"notfaithful",0>,[4,3]>,<2,2^3*3*97,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,5,97],[6,7,3,6],1,[1.000000000,1.636433059,1.203609809],<"2.2e3_3_97.4t3.6",1>,[4,3]>]
x^4-x^3+1916*x^2-1916*x+735361 3^2*5^3*7^2*73^2 0 2 4 "C4" [[3,1,4,2],[4,3,2,1]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[3,1,4,2]>,<4,1,[2,4,1,3]>] [[1,1,1,1],[2,2],[4]] 11 x-1 7 [[-2842631],[-3522606],[8109269],[-1744031]] 2 [3,3,1,4,1,3,3,1,4,2,1,4,1,4,3,3,1,2,4,2,3,2,4,2,3,2,3,4,2,3,4,2,3,2,1,2,4,4,3,3,2,2,1,4,4,2,1,4,4,2,3,2,1,1,4,3,2,1,3,1,4,3,4,1,3,3,2,3,3,1,3,1,3,3,1,3,1,3,2,2,2,2,1,3,1,3,2,4,1,3,3,2,4,1,2,3,2,2,4,2,4,3,4,2,2,4,4,3,2,1,3,4,4,1,2,2,3,3,4,1,2,3,3,3,1,1,1,1,3,4,2,3,2,4,2,2,4,3,4,1,2,2,4,3,2,2,4,4,2,3,4,2,4,3,3,2,1,1,3,1,3,4,4,2,4,4,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^2>,[<x+5749,3>,<x-1916,4>]*]] [*<3,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,3,4],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[787016043,1310965872],[1133671494,-609720702],[1,0]]>,[[[-1133671494,609720704],[-1,0]],[[0,2],[1,0]],[[-1047901576,1219441411],[-28589973,552540761]],[[-1305211330,1657622284],[28589973,-552540761]]]>,<5,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[758545,13620,2000,15,1]>,[[33436883715799,4966958313749,2999604685698,8298132205566],[34839924617189,36640332508,-7439019620531,-1210550140469],[27090623307634,-5003598646258,4439414934833,-7087582065097],[4,1,0,0]]>,<7,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,4,3],[1],[[[2,1,4,3]]],20,<<[],[3,6,1]>,[[-6247362722377098,-31288260935113889],[17275484960781782,19057206036529269],[1,0]]>,[[[-17275484960781776,-19057206036529263],[-1,0]],[[6,6],[1,0]],[[17275484960781773,8366879582044341],[5522305409964516,3740584334217029]],[[-2,10690326454484916],[-5522305409964516,-3740584334217029]]]>,<19,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[4729918276334580045654894,-15171933681083762544760981,182572809371859049079616,367344317075755504406577]>,<31,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-49293159729824369594434605998,-256085410101480130684361911779,-3866352512312054357798789551,5855651264031007910595422735]>,<73,4,2,[[3,4,2,1]],[[1,2,3,4],[2,1,4,3],[3,4,2,1],[4,3,1,2]],[3,4,2,1],[1,2,3,4],[1],[[[2,1,4,3]]],20,<<[],[5,70,1]>,[[-8996474532084479124581085735253838688,-921682279783238413780259220024191516],[-6380582704277196561579972573990451834,-6250881202395197368657984707424403725],[1,0]]>,[[[6380582704277196561579972573990451869,6250881202395197368657984707424403787],[-1,0]],[[35,62],[1,0]],[[-3218884715763578393480543682476493142,-7880592139997643990679419247110188739],[-55381412450075914127635105680038479,74320089431923278794352760886009576]],[[-3161697988513618168099428891513958761,1629710937602446622021434539685784890],[55381412450075914127635105680038479,-74320089431923278794352760886009576]]]>,<251,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[460369858677259312853691922993527356381791905235,-32909163990956679971300895825019903772639430253,-672253370673319150646740808171114812293310079,998187727405740922482946833136458714009415457]>*] [x,0,x^2-x-1,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,7,19,31,73,251],[1,1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,3*5*7*73,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[3,5,7,19,31,73,251],[5,5,5,1,1,5,1],0,[-0.5257311121-0.8506508084*i,0.8190517835+0.5062018408*i,0.9496461774+0.2443248395*i],<"1.3_5_7_73.4t1.1",1>,[4,1]>,<1,5,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,7,19,31,73,251],[3,5,3,1,1,3,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,1]>,<1,3*5*7*73,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[3,5,7,19,31,73,251],[5,5,5,1,1,5,1],0,[-0.5257311121+0.8506508084*i,0.8190517835-0.5062018408*i,0.9496461774-0.2443248395*i],<"1.3_5_7_73.4t1.1",2>,[4,1]>]
x^5-x^4+33*x^3-59*x^2+57*x-428 3^2*5^3*7^2*73^2 1 2 20 "F5" [[2,3,4,5,1],[3,2,1,5,4],[4,2,5,3,1]] [<1,1,[1,2,3,4,5]>,<2,5,[3,2,1,5,4]>,<4,5,[4,2,5,3,1]>,<4,5,[5,2,4,1,3]>,<5,4,[2,3,4,5,1]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 29 x^2+24*x+2 12 [[46825660798603954,144853709898299381],[-85649244189917801,-26194327006412192],[94954090544167903,0],[-164614962446963275,26194327006412192],[108484455294109220,-144853709898299381]] 2 [4,3,1,4,5,4,4,5,3,2,1,3,1,3,4,4,5,2,3,2,4,2,3,2,4,2,4,3,2,4,3,2,4,2,5,2,3,3,4,4,2,2,5,3,3,2,5,3,3,2,4,2,5,5,3,4,2,5,4,5,3,4,3,1,4,4,2,4,4,5,4,5,4,4,5,4,1,4,2,2,2,2,5,4,5,4,2,3,5,4,4,2,3,5,2,4,2,2,3,2,3,4,3,2,2,3,3,4,2,5,4,3,3,5,2,2,4,4,3,5,2,4,4,4,1,5,5,5,4,3,2,4,2,3,2,2,3,4,3,5,2,2,3,4,2,2,3,3,2,4,3,2,3,4,4,2,5,5,4,5,4,3,3,2,3,3,2,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5+65*x^4+102065*x^3+3877795*x^2+1967705245*x-217861977024,3>,<x^5+65*x^4+102065*x^3+4613635*x^2+2474836975*x-113894139309,4>]*],[*[5],"CYC",0,5*]] [*<3,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,2,3,4],[1],[[[1,3,2,5,4]]],20,<<[],[2,2,1]>,[[-196442901,-1535404236],[1104263433,-915848391],[1,0]]>,[[[553439252,0],[0,0]],[[-1104263433,915848392],[-1,0]],[[0,1],[1,0]],[[797422420,1618792703],[59534574,-548757769]],[[-246598238,952143305],[-59534574,548757769]]]>,<5,4,4,[[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3]],[1,2,3,4,5],[1,2,3,4],[1],[[[1,3,5,2,4]]],20,<[],[-33157095256430,81522005505,1788917946460,-34196186543430,1]>,[[-34196186543437,0,0,0],[4997066053887,5051637757064,-2938799558353,7658175383386],[6559876634882,9431848854638,-3924222300919,-1465664448386],[22639243854667,4589999716422,6863021859272,-6192510935000],[2,1,0,0]]>,<7,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,2,4,3],[1],[[[1,3,2,5,4]]],20,<<[],[3,6,1]>,[[-28022212428209741,-26965427647122118],[1337965932159717,-8810988857216882],[1,0]]>,[[[-24250401289991250,0],[0,0]],[[-1337965932159711,8810988857216886],[-1,0]],[[6,4],[1,0]],[[26895000188206216,-32763333569789876],[4865401528592973,-499088172974136]],[[-1306632966055260,23952344712572986],[-4865401528592973,499088172974136]]]>,<31,1,1,[],[[1,2,3,4,5]],[1,2,3,4,5],[1],[1],[[]],20,[],[-4900323484604264338411960225,-30041807578058926806564969074,178084614815230814054176936609,-7429779739557735149013420138,-5688730693187510591900922345]>,<41,1,1,[],[[1,2,3,4,5]],[1,2,3,4,5],[1],[1],[[]],20,[],[89415603899794968716114032813480,62386072068038933262418512221439,-9350829725895949271961098404116,-389015920356464577014994956077,-1443072892179787054020962063173]>,<73,4,2,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,2,4,3],[1],[[[1,3,2,5,4]]],20,<<[],[5,70,1]>,[[-6277093319220477932437269800566432673,1340246782633234449551829851766335614],[1100303072809694713929068208858330337,-364718284056036495287620738047814290],[1,0]]>,[[[-9208289514728440483130062733869149647,0],[0,0]],[[-1100303072809694713929068208858330337,364718284056036495287620738047814317],[-1,0]],[[0,27],[1,0]],[[-30325726432677182183395508609663147,-6137232674333483552614428053911840782],[75757818089849548210057024881392690,-24694748512061622676156728235832033]],[[-8130669458164379911318298956129264069,5772514390277447057326807315864026438],[-75757818089849548210057024881392690,24694748512061622676156728235832033]]]>*] [x,x^2-x-1,x^4-x^3+1916*x^2-1916*x+735361,x^4-x^3+1916*x^2-1916*x+735361,0] [1,2,4,4,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,7,31,41,73],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,7,31,41,73],[3,6,3,1,1,3],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,3]>,<1,3*5*7*73,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[3,5,7,31,41,73],[6,6,6,1,1,6],0,[-0.5257311121-0.8506508084*i,0.8190517835+0.5062018408*i,0.9496461774+0.2443248395*i],<"notfaithful",0>,[5,3]>,<1,3*5*7*73,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[3,5,7,31,41,73],[6,6,6,1,1,6],0,[-0.5257311121+0.8506508084*i,0.8190517835-0.5062018408*i,0.9496461774-0.2443248395*i],<"notfaithful",0>,[5,3]>,<4,3^2*5^3*7^2*73^2,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[3,5,7,31,41,73],[6,7,6,1,1,6],1,[0,0,0],<"4.3e2_5e3_7e2_73e2.5t3.1",1>,[5,3]>]
