x^2+14 -2^3*7 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-38],[38]] 2 [1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[14,0,1]>,[[0,1],[0,262143]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[14,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,7],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*7,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,7],[3,3],1,[1.000000000,1.679251908,1.165526701],<"1.2e3_7.2t1.2",1>,[2,1]>]
x^3-x^2-2562*x+48969 7687^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 13 x-1 6 [[767951],[-231657],[-536293]] 1 [3,1,3,3,3,1,2,2,3,2,1,2,1,3,2,3,1,3,2,1,1,2,2,2,3,1,3,2,2,2,2,2,1,1,2,1,2,2,2,2,3,3,3,1,2,1,2,2,1,3,1,3,1,1,2,3,3,3,3,3,2,1,1,2,1,2,2,2,2,3,1,1,2,1,2,1,1,2,2,3,2,3,2,3,3,1,2,2,3,2,3,1,3,2,1,1,3,1,2,1,1,1,2,3,3,3,3,2,3,2,3,1,1,3,1,2,1,1,1,1,3,3,3,2,3,2,3,2,3,3,2,1,3,3,1,3,2,2,1,3,1,1,2,1,1,2,2,3,1,2,2,1,1,2,2,1,1,1,3,3,2,3,2,1,3,1,1,3] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x+69183,2>,<x-69183,3>]*]] [*<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-1119397619,61181277,-104045124]>,<7687,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,2,3],[1],[[[3,1,2]]],20,<[],[134571981219,78784063,15374,1]>,[[172988154968078841801503182926877897601040901297149273674908245150344100624910,-30005317196666032141104580534561016018566567156176969545970815688884973091,-7501329299166508035276145133640254004641641789044242386492703922221243558],[-172988154968078841801503182926877897601040901297149273674908245150344100630034,30005317196666032141104580534561016018566567156176969545970815688884973090,7501329299166508035276145133640254004641641789044242386492703922221243558],[5125,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7687],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,7687,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3,7687],[3,1,4],0,[0.9959538449-0.08986622695*i,0.7804399705-0.4372639081*i,0.9222808928-0.2286888199*i],<"1.7687.3t1.1",1>,[3,1]>,<1,7687,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,7687],[3,1,4],0,[0.9959538449+0.08986622695*i,0.7804399705+0.4372639081*i,0.9222808928+0.2286888199*i],<"1.7687.3t1.1",2>,[3,1]>]
x^4-2*x^3-3*x^2+4*x-76 -5^2*11*109 2 1 8 "D8" [[3,4,1,2],[1,2,4,3]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[2,1,3,4]>,<4,2,[4,3,1,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 5 [[1233195],[-1233194],[-355996],[355997]] 4 [3,3,1,5,4,3,3,1,5,4,2,5,2,5,5,5,4,4,5,2,5,1,5,2,3,1,5,3,4,3,3,4,3,2,1,2,3,5,3,5,4,4,2,5,5,4,4,3,5,4,5,4,1,4,5,5,4,2,3,4,3,5,5,1,5,5,1,3,5,4,3,2,5,5,4,5,4,5,1,4,4,2,4,3,4,3,4,5,4,3,3,4,5,2,2,3,2,4,5,4,3,5,3,1,4,5,5,5,4,2,3,3,5,2,4,4,5,3,3,4,1,3,3,3,4,2,4,4,3,3,1,5,1,5,1,1,5,3,3,4,4,1,3,5,2,4,3,5,4,3,5,2,5,5,3,4,2,4,3,2,3,5,3,4,3,5,4,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+4,2>,<x^2-10*x+1224,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[-55594,-30840],[-24754,30840],[24755,-30840],[55595,30840]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-29728337066045,4332639271805,1]>,[[-4332639271801,-1],[4,1],[-3,-1],[4332639271802,1]]>,<11,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,7,1]>,[[173320373691106625797,0],[11,0],[1,0]]>,[[[140823381476922828044,40235251850549379441],[0,0]],[[-140823381476922828043,-40235251850549379441],[0,0]],[[-5,0],[-1,0]],[[6,0],[1,0]]]>,<109,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[6,108,1]>,[[23640047378874260663325583756763918220482,0],[109,0],[1,0]]>,[[[-23436448184306854693209813919134209382382,-1990789068536689513977922162657574183196],[0,0]],[[23436448184306854693209813919134209382383,1990789068536689513977922162657574183196],[0,0]],[[-54,0],[-1,0]],[[55,0],[1,0]]]>*] [x,x^2-x-1,x^2-x+300,x^2-x+1499,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,109],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,109],[3,6,1,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,11*109,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,11,109],[1,1,6,6],1,[1.000000000,3.447655615,1.543926543],<"notfaithful",0>,[4,3]>,<1,5*11*109,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,11,109],[3,6,6,6],1,[1.000000000,0.6491951425,0.7336629604],<"notfaithful",0>,[4,3]>,<2,5*11*109,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[2,5,11,109],[3,6,7,7],1,[1.000000000,1.629021806,1.117505842],<"2.5_11_109.4t3.2",1>,[4,3]>]
