x^2-x+24648 -19*5189 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[60],[-59]] 2 [1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[24738,19,1]>,[[-9,-1],[10,1]]>,<5189,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[6756078,5189,1]>,[[-2594,-1],[2595,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[19,5189],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,19*5189,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[19,5189],[3,3],1,[1.000000000,4.502396630,1.595392168],<"1.19_5189.2t1.1",1>,[2,1]>]
x^6+2*x^4+x^2-x+1 -19*5189 0 3 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 97 x^2+96*x+5 5 [[438086307,-1100915492],[1952697826,-2948339430],[3077890455,1100915492],[3385248421,-481887039],[-1877637377,481887039],[1611054625,2948339430]] 2 [9,9,7,5,8,7,7,8,10,5,9,10,8,10,11,9,5,6,9,10,9,6,11,7,2,11,9,8,8,3,5,5,7,4,9,10,11,4,8,8,11,11,5,9,11,11,10,8,10,9,7,9,2,9,11,7,11,7,4,7,7,9,2,11,4,4,10,7,8,10,11,8,7,7,10,7,11,8,9,10,9,9,4,9,10,9,8,5,10,10,6,8,9,9,7,8,8,8,7,7,11,8,7,11,10,9,9,4,10,6,7,10,10,10,8,7,11,9,11,11,10,7,5,10,9,8,10,4,9,4,9,5,10,6,8,11,10,8,7,11,7,6,7,11,5,4,7,6,9,4,11,9,4,9,11,10,11,2,8,10,8,11,10,7,6,9,8,8] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<19,8,2,[[1,2,3,4,6,5],[4,1,2,3,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[4,1,2,3,5,6],[2,3,4,1,5,6],[4,1,2,3,6,5],[2,3,4,1,6,5]],[4,1,2,3,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,11,2,0,1]>,[[14928199431885744371571808,0,0,0],[12719244157764979848816185,0,0,0],[1,0,0,0]]>,[[[-15048875042009520254296321,6389392112567890474196909,-12913866546467923686674796,-2922400759243129772909499],[0,0,0,0]],[[-16433911914006709073487050,-130323210697869143741114,-7313931634982091250960369,-7186334320048280063809118],[0,0,0,0]],[[15994700017000272673238192,14470909730011631716495692,-8541353079763887216426368,-5384995332531213564959004],[0,0,0,0]],[[-9382642360765021689994257,16859994825664305146404114,-8820822196332056039294068,15493730411822623401677621],[0,0,0,0]],[[-12719244157764979848816175,0,0,0],[-1,0,0,0]],[[10,0,0,0],[1,0,0,0]]]>,<5189,4,2,[[1,2,3,4,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[4,3,2,1,5,6],[1,2,3,4,6,5],[4,3,2,1,6,5]],[4,3,2,1,5,6],[1,4,3,2],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,5179,1]>,[[78369716675011816974913880599485267848222568115128548354946776008350224997,0],[83374279773996843298536125327942432159941224036177615060462028665348511509,0],[1,0]]>,[[[54154841340534642429639089738752195161703306588375712660618011354252169685,58313372970175705356586256358381492982370373509248750839873415911963563506],[0,0]],[[35944078456612351419402920089527256561052901925457383237564482880608129439,20679159736807103751750990027755482492993610977671821469591533095291416025],[0,0]],[[97216487800674962730943470172976001673836011272218941528078907827434218499,-20679159736807103751750990027755482492993610977671821469591533095291416025],[0,0]],[[96355396823404892216924323651601170494800769414067867259069905716065335219,-58313372970175705356586256358381492982370373509248750839873415911963563506],[0,0]],[[-83374279773996843298536125327942432159941224036177615060462028665348509575,0],[-1,0]],[[1934,0],[1,0]]]>*] [x,x^2-x+24648,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[19,5189],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,19*5189,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[19,5189],[12,12],1,[1.000000000,4.502396630,1.595392168],<"notfaithful",0>,[6,16]>,<5,19*5189,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[-2],[0],[1]]],[19,5189],[12,13],1,[1.000000000,0.6529477346,0.9386563501],<"5.19_5189.6t16.1",1>,[6,16]>,<5,19^2*5189^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[1],[-1],[-1]]],[19,5189],[12,13],1,[0,0,0],<"5.19e2_5189e2.12t183.1",1>,[6,16]>,<5,19^4*5189^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[1]],[[1],[-1]]],[19,5189],[12,13],1,[0,0,0],<"5.19e4_5189e4.12t183.1",1>,[6,16]>,<5,19^3*5189^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[-2],[1]]],[19,5189],[12,13],1,[0,0,0],<"5.19e3_5189e3.6t16.1",1>,[6,16]>,<9,19^3*5189^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]],[[1],[-2],[-1],[4],[-1],[-2],[1]]],[19,5189],[12,13],1,[0,0,0],<"9.19e3_5189e3.10t32.1",1>,[6,16]>,<9,19^6*5189^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[-1],[-1]]],[19,5189],[12,13],1,[0,0,0],<"9.19e6_5189e6.20t145.1",1>,[6,16]>,<10,19^6*5189^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[-2],[0],[1]]],[19,5189],[12,13],1,[0,0,0],<"10.19e6_5189e6.30t176.1",1>,[6,16]>,<10,19^4*5189^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]]],[19,5189],[12,13],1,[0,0,0],<"10.19e4_5189e4.30t176.1",1>,[6,16]>,<16,19^8*5189^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]],[[1],[0],[-4],[0],[6],[0],[-4],[0],[1]]],[19,5189],[12,13],1,[0,0,0],<"16.19e8_5189e8.36t1252.1",1>,[6,16]>]
x^6-2*x^5+24*x^4-66*x^3+310*x^2-456*x+982 -2^8*7^3*11^3 0 3 12 "D12" [[3,6,1,5,4,2],[1,2,4,3,6,5],[2,1,6,5,4,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,6,5,4,3]>,<2,3,[3,6,1,5,4,2]>,<2,3,[6,3,2,4,5,1]>,<3,2,[6,3,4,2,1,5]>,<6,2,[4,5,1,6,3,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 13 x^2+12*x+2 9 [[3340649599,0],[-4127719111,0],[2279284813,-2939054614],[-4870057311,2939054614],[5277633109,2365535246],[-1899791097,-2365535246]] 3 [4,5,6,4,4,4,4,3,6,3,5,5,4,4,1,1,5,4,6,6,4,4,3,6,6,4,1,4,3,5,4,3,5,3,3,4,6,2,3,4,6,6,6,3,3,1,4,5,3,6,3,4,4,5,2,4,2,3,3,3,3,4,3,1,6,5,6,3,4,4,6,4,5,3,6,5,5,2,1,4,1,1,4,6,3,6,5,3,4,6,5,3,6,4,2,3,6,6,3,3,4,3,3,3,4,6,1,4,2,4,3,3,1,5,6,5,5,5,5,4,6,3,4,2,5,3,5,5,5,4,4,4,6,1,4,4,2,3,6,3,3,3,6,4,6,5,4,4,5,2,3,6,2,3,2,2,4,2,4,4,6,3,4,5,5,5,2,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+22,2>,<x^3+44*x^2+648*x+3184,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,12,6,[[3,4,6,5,1,2],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[3,4,1,2,6,5],[6,5,2,1,3,4],[3,4,6,5,1,2]],[1,2,5,6,3,4],[1,2,4,3,5,6],[1,4],[[[3,4,6,5,1,2]],[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[982,0],[-456,0],[310,0],[-66,0],[24,0],[-2,0],[1,0]]>,[[[0,0],[1,0],[0,0],[0,0],[0,0],[0,0]],[[172966,0],[5923,0],[80846,0],[128208,0],[101003,0],[119170,0]],[[-37504,58780],[131936,-89849],[-116889,91754],[189373,-83189],[162592,69234],[89260,92034]],[[142774,-199564],[223736,-241459],[-98043,83516],[-47845,-29835],[215628,1777],[5808,217272]],[[-96284,-58780],[221785,89849],[-208643,-91754],[-251726,83189],[93358,192910],[259370,170110]],[[-181950,199564],[-59093,241459],[-181559,-83516],[-18010,29835],[213851,260367],[50680,44872]]]>,<7,4,2,[[2,1,4,3,6,5],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3],[2,1,5,6,3,4]],[1,2,6,5,4,3],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,6,1]>,[[-22536541422981089,0],[-10045219739788303,0],[1,0]]>,[[[10045219739788309,0],[-1,0]],[[6,0],[1,0]],[[-8009120226888929,-1854339427828142],[3901009364581381,5235862735729536]],[[4828517855927919,-10830369122129476],[-3901009364581381,-5235862735729536]],[[-9981533708907226,10830369122129476],[4716376679049549,5235862735729536]],[[3116916340079923,1854339427828142],[-4716376679049549,-5235862735729536]]]>,<11,4,2,[[2,1,4,3,6,5],[6,5,3,4,2,1]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[6,5,3,4,2,1],[5,6,4,3,1,2]],[6,5,3,4,2,1],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,7,1]>,[[314464501142108493187,0],[80404856367241620621,0],[1,0]]>,[[[-283576836712497766652,-111315578642316571969],[-5996110642213563867,15094255672689583744]],[[-61305448997253275171,1291374672781757074],[5996110642213563867,-15094255672689583744]],[[-80404856367241620619,0],[-1,0]],[[2,0],[1,0]],[[-70345071706725574689,-1291374672781757074],[-10662280545788442507,15094255672689583744]],[[-177117781148841772070,111315578642316571969],[10662280545788442507,-15094255672689583744]]]>,<53,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[12468038617339832344072591923750481,5113181820173992466056700259979150,-14057410886570854312069135642267943,-15024541941363145025841883144495907,-137124776160349696695503725294585,96111019090635576631249577658466]>,<1847,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,3],[1],[[]],20,<[],[5,1845,1]>,[[9739881323587158935666985975171544457643877674154324516991137999,82982136822848235881335737915174962190092484762046633918371668667],[91298203282797978928481954803475919143079673224402752330216265828,-18194769929854332880883862897323974971928509413616218712651151830],[-67693498547007827973259119963803028098010472682157704214684011180,18194769929854332880883862897323974971928509413616218712651151830],[-33939433611643295173202111341499794920780128185283896309373855099,-82982136822848235881335737915174962190092484762046633918371668667],[-20501985166625361137382715340444355671766518657226569533522825,-55282810959443972547688646136177239717793213041267849570674871],[37465075074715014339647608222082227844187667388157283772938364,55282810959443972547688646136177239717793213041267849570674871]]>*] [x,x^2-x+3,x^2+77,x^2-7,x^3-x^2+x+1,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,11,53,1847],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,11,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,7,11,53,1847],[3,3,7,1,3],1,[1.000000000,0.9472258251,0.9095391053],<"notfaithful",0>,[6,3]>,<1,2^2*7*11,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,11,53,1847],[7,7,7,1,2],1,[1.000000000,1.432070839,1.089798316],<"notfaithful",0>,[6,3]>,<1,2^2*7,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,11,53,1847],[7,7,2,1,1],1,[1.000000000,1.046454885,1.065817093],<"notfaithful",0>,[6,3]>,<2,2^2*11,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,7,11,53,1847],[7,3,8,1,3],1,[1.000000000,0.5772184495,0.8595438191],<"notfaithful",0>,[6,3]>,<2,2^4*7^2*11,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,7,11,53,1847],[7,7,8,1,3],1,[1.000000000,0.8456120998,0.9201592188],<"2.2e4_7e2_11.6t3.1",1>,[6,3]>]
x^4-32*x^2-80*x-39 2^8*5^2*89 4 0 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 79 x-1 5 [[-564257090],[-95037906],[-1338711283],[-1079050120]] 1 [1,4,1,5,3,4,3,5,5,5,4,4,4,4,3,2,5,5,2,2,3,1,4,4,3,5,5,1,3,5,5,3,5,3,5,4,2,4,3,2,3,5,4,5,4,2,5,3,2,5,3,4,4,3,3,3,3,2,1,4,1,4,1,1,5,2,3,5,1,5,5,4,3,2,5,5,5,4,1,1,5,5,4,5,4,1,2,5,3,3,1,2,3,5,5,5,3,4,2,5,4,4,4,4,5,5,1,5,4,2,3,1,5,3,2,2,1,5,4,3,5,3,4,4,3,3,5,4,5,1,5,5,1,2,2,2,4,4,1,2,3,3,3,4,5,4,4,5,5,5,4,2,4,5,2,2,4,1,3,5,2,5,5,3,3,3,4,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-52,2>,<x^2+100*x-704,3>]*],[*[4],"CYC",0,5*]] [*<2,4,4,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[1,2,3,4],[1,3,3,2],[2,4],[[[2,1,4,3],[3,4,1,2]],[[2,1,4,3]]],20,<[],[-150,-140,-26,4,1]>,[[1,1,0,0],[116439,44143,-22312,-43584],[-116443,-96577,-30117,96013],[3,52433,52429,-52429]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-236239330185,-45371996740830,1]>,[[45371996740834,-1],[4,1],[-456520962744,846062890230],[-6768503121844,-846062890230]]>,<89,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,82,1]>,[[32488423296419275741704150857199767846,0],[-407679412580546479354513625495448992074,0],[1,0]]>,[[[-429159516181306738800559322023246157669,160506775479144355766328723087472381190],[0,0]],[[21480103600760259446045696527797165565,-160506775479144355766328723087472381190],[0,0]],[[407679412580546479354513625495448992089,0],[-1,0]],[[15,0],[1,0]]]>*] [x,x^2-10,x^2-x-22,x^2-890,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,89],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,89],[6,6,1],1,[1.000000000,1.150086523,1.092365033],<"notfaithful",0>,[4,3]>,<1,89,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,89],[1,1,6],1,[1.000000000,1.464441402,1.222497768],<"notfaithful",0>,[4,3]>,<1,2^3*5*89,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,89],[6,6,6],1,[1.000000000,0.7884626080,0.9062508704],<"notfaithful",0>,[4,3]>,<2,2^5*5*89,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,89],[6,7,8],1,[1.000000000,1.278848961,1.052922430],<"2.2e5_5_89.4t3.1",1>,[4,3]>]
