x^4-2121*x^2+532512 2^3*3^2*17^2*113^2*137^2 4 0 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 73 x-1 8 [[162971576493960],[904049740929],[-904049740929],[-162971576493960]] 1 [1,5,5,3,5,5,1,5,3,5,2,4,2,4,2,5,5,5,4,3,1,3,5,1,1,5,3,4,5,1,3,4,3,5,5,3,5,4,1,5,4,4,1,1,4,3,5,2,4,4,2,3,1,5,2,3,5,1,4,3,5,5,5,3,3,4,5,3,5,4,3,2,3,5,4,1,4,4,1,3,4,5,3,3,3,4,2,1,4,3,4,2,2,4,4,2,4,2,5,4,5,4,4,3,5,2,4,3,1,1,1,5,3,5,1,1,5,2,5,4,4,3,5,4,4,5,4,3,3,4,5,3,3,5,1,3,4,4,5,2,4,5,3,4,5,2,4,3,5,3,5,2,5,2,5,1,3,3,3,4,5,3,1,4,3,3,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-12726,2>,<x^2-76681728,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[1,2,3,4],[1,4],[3],[[[2,1,3,4]]],20,<[],[32718,0,1]>,[[0,4],[0,65532],[54093,0],[-54093,0]]>,<3,4,2,[[2,3,4,1]],[[1,2,3,4],[3,4,1,2],[2,3,4,1],[4,1,2,3]],[2,3,4,1],[1,2,5,5],[1],[[[3,4,1,2]]],20,<<[],[2,2,1]>,[[-686924208,1056469053],[0,0],[1,0]]>,[[[0,0],[387420488,0]],[[0,0],[129285222,139252928]],[[0,0],[1,0]],[[0,0],[258135267,248167561]]]>,<17,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-1476364062742321981953227,-1716673802769715616710138,1]>,[[1716673802769715616710148,-1],[10,1],[-10,-1],[-1716673802769715616710148,1]]>,<43,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[3,42,1]>,[[-15706765317590581441334492782722,0],[15706765317590581441334492782722,0],[-1887073191463179592401005227545,-1641542248687829973196470918346],[1887073191463179592401005227545,1641542248687829973196470918346]]>,<113,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-28861709905456631154177247335369048452317,14314501864574722868446363902813488641869,1]>,[[-14314501864574722868446363902813488641766,-1],[103,1],[-103,-1],[14314501864574722868446363902813488641766,1]]>,<137,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,131,1]>,[[-68436296124647118590654312964534659848180,-1533700542777685167800234123644939988725140],[27537111145462270586443777303642796960072,-1200565864142339198817515397510443782270391],[1,0]]>,[[[-27537111145462270586443777303642796960049,1200565864142339198817515397510443782270429],[-1,0]],[[23,38],[1,0]],[[-23,-38],[-1,0]],[[27537111145462270586443777303642796960049,-1200565864142339198817515397510443782270429],[1,0]]]>*] [x,x^2-x-65794,x^2-2,x^2-526354,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,17,43,113,137],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,17*113*137,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,17,43,113,137],[1,3,6,1,6,6],1,[1.000000000,0.8758768585,1.111041522],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,17,43,113,137],[6,4,1,4,1,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<1,2^3*17*113*137,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,17,43,113,137],[6,1,6,3,6,6],1,[1.000000000,2.200096030,1.169275202],<"notfaithful",0>,[4,3]>,<2,2^3*3^2*17*113*137,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]],[[1],[1]]],[2,3,17,43,113,137],[6,7,6,3,6,8],1,[0,0,0],<"2.2e3_3e2_17_113_137.4t3.1",1>,[4,3]>]
x^2-x+4703 -13*1447 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-683],[684]] 2 [2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4745,13,1]>,[[-6,-1],[7,1]]>,<1447,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[528155,1447,1]>,[[-723,-1],[724,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[13,1447],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,13*1447,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[13,1447],[3,3],1,[1.000000000,0.5497372590,0.7303600922],<"1.13_1447.2t1.1",1>,[2,1]>]
x^3-29*x-80 -13*1447 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 5 x-1 5 [[1230],[-838],[-392]] 2 [2,2,1,2,2,1,3,2,3,2,2,2,3,3,3,3,2,2,3,3,1,2,3,3,2,3,3,2,3,3,2,3,2,2,3,1,2,3,2,2,2,3,1,2,3,1,3,3,3,3,1,2,2,2,1,2,2,2,3,3,3,3,1,3,2,2,1,2,2,2,2,1,2,2,3,1,2,2,3,3,2,2,2,3,2,1,2,2,2,3,1,3,3,2,3,2,2,1,1,3,2,3,2,3,2,2,2,2,2,3,2,3,3,1,2,2,3,2,2,1,2,2,3,1,2,3,2,2,3,2,2,3,2,2,1,2,2,3,2,3,2,2,1,2,3,1,2,3,3,2,3,2,2,1,2,1,3,3,2,1,2,2,1,2,1,2,3,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[1,1,1]>,[[294768,0],[-159943,-25118],[-134825,25118]]>,<13,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[4360364289733245243112,8645095709675926299448,1]>,[[8645095709675926299424,0],[-8645095709675926299436,-1],[12,1]]>,<1447,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-501031046884899072285672821619343878849949181635783996829140814,-368225573905148803930227994647556817452894874457147111908892202,1]>,[[-368225573905148803930227994647556817452894874457147111908893990,0],[368225573905148803930227994647556817452894874457147111908893096,-1],[894,1]]>*] [x,x^2-x+4703,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,1447],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,13*1447,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,13,1447],[2,4,4],1,[1.000000000,0.5497372590,0.7303600922],<"notfaithful",0>,[3,2]>,<2,13*1447,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,13,1447],[2,4,4],1,[1.000000000,2.041988170,1.170043725],<"2.13_1447.3t2.1",1>,[3,2]>]
x^2-x+14676 -47*1249 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-57],[58]] 2 [1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<47,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[15228,47,1]>,[[-23,-1],[24,1]]>,<1249,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[404676,1249,1]>,[[-624,-1],[625,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[47,1249],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,47*1249,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[47,1249],[3,3],1,[1.000000000,2.800744396,1.430823324],<"1.47_1249.2t1.1",1>,[2,1]>]
x^3-25*x-67 -47*1249 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 19 x-1 5 [[766203],[-67855],[-698348]] 2 [3,3,2,2,3,2,3,1,1,3,2,3,3,1,1,2,2,2,1,2,2,3,3,2,3,1,1,1,1,3,1,2,2,2,2,3,2,1,3,3,1,3,1,3,2,3,2,1,3,2,3,3,2,3,2,2,3,2,1,2,3,2,2,2,2,1,3,2,1,2,2,3,2,2,2,3,3,2,2,3,2,3,2,2,1,2,2,2,1,3,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,1,2,3,2,3,3,2,3,2,2,3,3,1,2,2,3,2,1,1,2,2,3,2,3,2,3,2,2,3,2,3,2,2,3,1,3,3,2,3,3,1,2,2,2,2,2,1,2,3,2,1,1,3,2,3,2,2,3,2,3,2,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<47,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[659103469402439487151429956357518,-529331517140751380173277724829415,1]>,[[-529331517140751380173277724829469,0],[529331517140751380173277724829442,-1],[27,1]]>,<1249,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[32050243728377895928978559455182286917225589552997690228811041,36093437260199640207430616928782068360809767440615831769434532,1]>,[[36093437260199640207430616928782068360809767440615831769432092,0],[-36093437260199640207430616928782068360809767440615831769433312,-1],[1220,1]]>*] [x,x^2-x+14676,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[47,1249],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,47*1249,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[47,1249],[4,4],1,[1.000000000,2.800744396,1.430823324],<"notfaithful",0>,[3,2]>,<2,47*1249,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[47,1249],[4,4],1,[1.000000000,0.4586421243,0.6777697496],<"2.47_1249.3t2.1",1>,[3,2]>]
