x^2-x-15025 60101 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1225],[-1224]] 1 [2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<60101,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[903017525,60101,1]>,[[-30050,-1],[30051,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[60101],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,60101,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[60101],[3],1,[1.000000000,0.4328658742,0.7243832218],<"1.60101.2t1.1",1>,[2,1]>]
x^6-x^3+1 -3^9 0 3 6 "C6" [[5,4,1,6,3,2],[6,5,4,3,2,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,5,4,3,2,1]>,<3,1,[5,4,1,6,3,2]>,<3,1,[3,6,5,2,1,4]>,<6,1,[2,3,6,1,4,5]>,<6,1,[4,1,2,5,6,3]>] [[1,1,1,1,1,1],[2,2,2],[3,3],[6]] 17 x^2+16*x+3 5 [[-463024,126729],[276950,319162],[-386762,192433],[-625976,-192433],[-570071,-319162],[349026,-126729]] 2 [6,1,5,4,6,3,2,1,5,6,3,1,5,4,6,2,5,4,3,2,1,4,6,2,4,6,3,2,1,5,1,5,6,3,5,4,3,1,5,6,2,1,6,3,2,1,3,4,6,3,2,5,4,2,5,6,2,1,4,6,3,5,1,5,4,6,4,3,5,4,6,2,4,3,1,5,6,1,5,3,5,4,2,1,4,6,2,4,6,3,2,6,1,5,3,2,5,2,1,1,4,2,5,6,3,1,6,2,5,4,3,1,5,4,1,6,3,2,5,6,3,4,6,2,4,2,4,2,4,3,1,5,3,1,5,3,2,3,5,2,1,6,3,2,1,6,4,6,3,2,3,2,1,5,4,6,1,6,1,5,6,2,3,2,5,6,1,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^2>,[<x-3,3>,<x+6,4>]*],[*[6],"RES",<[1],x^4-7*x^3-2*x^2+5*x+2>,[<x+21,5>,<x+12,6>]*]] [*<3,6,6,[[6,5,4,1,3,2]],[[1,2,3,4,5,6],[5,4,6,2,1,3],[2,3,1,6,4,5],[3,1,2,5,6,4],[6,5,4,1,3,2],[4,6,5,3,2,1]],[1,2,3,4,5,6],[1,2,3,4,6,5],[1,3],[[[6,5,4,1,3,2]],[[2,3,1,6,4,5]]],20,<[],[57,180,234,159,60,12,1]>,[[-4,-4,-1,0,0,0],[-28,-76,-79,387420449,387420479,387420488],[32,80,80,40,10,1],[2,1,0,0,0,0],[14,31,24,8,1,0],[-16,-32,-24,387420481,387420488,0]]>*] [x,x^2-x+1,x^3-3*x-1,0,x^3-3*x-1,0] [1,2,3,4,2,6] <[1],[2],[3,5],[4,6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,1]>,<1,3,1,[[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3],[7],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,1]>,<1,3^2,3,[[1,0],[1,0],[0,1],[-1,-1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[3],[7],0,[0.7660444431-0.6427876097*i,0.5894898174-0.1730977885*i,0.8313555572-0.1465904153*i],<"notfaithful",0>,[6,1]>,<1,3^2,3,[[1,0],[-1,0],[0,1],[-1,-1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[3],[7],0,[0.6427876097+0.7660444431*i,1.136275919+0.4135706123*i,1.099240738+0.2245063353*i],<"1.3e2.6t1.1",1>,[6,1]>,<1,3^2,3,[[1,0],[1,0],[-1,-1],[0,1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[3],[7],0,[0.7660444431+0.6427876097*i,0.5894898174+0.1730977885*i,0.8313555572+0.1465904153*i],<"notfaithful",0>,[6,1]>,<1,3^2,3,[[1,0],[-1,0],[-1,-1],[0,1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[3],[7],0,[0.6427876097-0.7660444431*i,1.136275919-0.4135706123*i,1.099240738-0.2245063353*i],<"1.3e2.6t1.1",2>,[6,1]>]
x^6-3*x^4+3*x^2+4 -2^4*3^6*5^4 0 3 48 "C2*S4" [[2,1,3,5,4,6],[1,5,3,4,2,6],[3,1,2,6,4,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[1,2,6,4,5,3]>,<2,3,[1,5,6,4,2,3]>,<2,6,[2,1,3,5,4,6]>,<2,6,[2,1,6,5,4,3]>,<3,8,[3,1,2,6,4,5]>,<4,6,[1,3,5,4,6,2]>,<4,6,[4,3,5,1,6,2]>,<6,8,[3,1,5,6,4,2]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 13 x^2+12*x+2 12 [[10091170164144,0],[1223609839321,-3679079213860],[1376596767993,-11419609766575],[-10091170164144,0],[-1223609839321,3679079213860],[-1376596767993,11419609766575]] 6 [5,2,5,10,8,4,9,10,6,9,10,7,9,10,8,9,6,7,3,6,7,10,8,5,7,9,10,6,7,5,3,8,9,10,9,10,7,3,8,5,6,4,8,7,9,2,2,10,6,7,9,8,4,8,9,8,5,10,7,9,10,5,10,8,4,9,10,1,6,7,5,8,3,7,3,8,9,7,5,1,6,7,8,7,10,6,9,4,5,10,6,6,2,8,10,8,5,5,10,7,10,9,6,5,10,7,8,5,6,7,10,7,5,10,3,5,3,6,5,8,7,7,9,8,3,5,7,8,10,4,2,6,10,7,9,4,9,10,5,5,10,9,3,8,7,6,1,5,10,8,7,9,10,8,10,8,10,5,7,9,8,9,10,6,5,8,10,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2-3*x+1>,[<x^3-18*x^2+108*x-8856,4>,<x^6+36*x^5+108*x^4-34128*x^3-1061424*x^2-10077696*x-45349632,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x-18,2>,<x^6-36*x^5+108*x^4+34128*x^3-1061424*x^2+10077696*x-45349632,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,8,4,[[1,2,4,3,5,6],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[1,2,6,5,4,3],[1,2,3,4,6,5],[1,2,6,5,3,4]],[1,2,6,5,4,3],[1,4,5,3,8],[2],[[[1,2,4,3,6,5],[1,2,4,3,5,6]]],20,<<[],[1,1,1]>,[[465666,136768],[-316336,-482920],[515016,494692],[-412838,1740],[1,0]]>,[[[-30426,0],[0,131072],[0,0],[131072,131072]],[[30426,0],[0,131072],[0,0],[131072,131072]],[[8910,53245],[-205966,-110994],[18499,-39154],[30113,-238689]],[[-8910,-53245],[205966,110994],[-18499,39154],[-30113,238689]],[[209331,88257],[-193880,-226698],[-82185,-187260],[160514,-236079]],[[-209331,-88257],[193880,226698],[82185,187260],[-160514,236079]]]>,<3,12,6,[[2,3,1,6,4,5],[1,3,2,4,6,5],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[1,3,2,4,6,5],[4,5,6,1,2,3],[2,3,1,6,4,5],[6,5,4,2,1,3]],[4,6,5,1,3,2],[1,2,5,6,7,10],[1,2],[[[2,3,1,6,4,5],[1,3,2,4,6,5]],[[2,3,1,6,4,5]]],20,<<[],[2,2,1]>,[[1706600361,0],[1633016682,0],[1593667029,0],[1627901055,0],[1268240466,0],[1307590119,0],[1,0]]>,[[[-6789967,-6789967],[-316876722,-316876722],[327964033,327964033],[-476237307,-476237307],[531638809,531638809],[21741447,21741447]],[[356166947,356166947],[149285244,149285244],[519674890,519674890],[448783241,448783241],[497223889,497223889],[321419561,321419561]],[[544383245,544383245],[167591478,167591478],[314622544,314622544],[27454066,27454066],[133398769,133398769],[-343161008,-343161008]],[[6789967,6789967],[316876722,316876722],[-327964033,-327964033],[476237307,476237307],[-531638809,-531638809],[-21741447,-21741447]],[[-544383245,-544383245],[-167591478,-167591478],[-314622544,-314622544],[-27454066,-27454066],[-133398769,-133398769],[343161008,343161008]],[[-356166947,-356166947],[-149285244,-149285244],[-519674890,-519674890],[-448783241,-448783241],[-497223889,-497223889],[-321419561,-321419561]]]>,<5,6,3,[[2,3,1,5,6,4],[3,2,1,4,6,5]],[[1,2,3,4,5,6],[3,2,1,4,6,5],[2,3,1,5,6,4]],[3,2,1,4,6,5],[1,5,7],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,4,1]>,[[3347398521440,0],[47643884552260,0],[-10188362886575,0],[1,0]]>,[[[-8234171232961,17177681572030],[2819384179758,-3358679492152],[-2368737648731,8352374339697]],[[4,0],[1,0],[0,0]],[[18422534119544,-17177681572030],[-2819384179759,3358679492152],[2368737648731,-8352374339697]],[[-4,0],[-1,0],[0,0]],[[-18422534119544,17177681572030],[2819384179759,-3358679492152],[-2368737648731,8352374339697]],[[8234171232961,-17177681572030],[-2819384179758,3358679492152],[2368737648731,-8352374339697]]]>*] [x,x^2-3,x^2-x+1,x^2+1,x^6+9*x^4+12*x^2-48,x^3-5,x^4+6*x^2-16*x-3,0,0,x^4+6*x^2-16*x-3] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,2^2*3,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5],[11,11,2],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[6,11]>,<1,3,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5],[5,11,5],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,11]>,<1,2^2,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5],[11,2,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,11]>,<2,2^4*3^3*5^2,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]]],[2,3,5],[11,11,11],1,[1.000000000,1.353971627,1.035390708],<"notfaithful",0>,[6,11]>,<2,3^3*5^2,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]]],[2,3,5],[5,11,11],1,[1.000000000,1.163730417,1.051795683],<"notfaithful",0>,[6,11]>,<3,2^6*3^3*5^2,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]]],[2,3,5],[11,12,12],1,[1.000000000,1.420934517,1.150715516],<"notfaithful",0>,[6,11]>,<3,2^4*3^3*5^2,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[1]]],[2,3,5],[11,12,11],1,[1.000000000,1.613801106,1.244001824],<"3.2e4_3e3_5e2.6t11.1",1>,[6,11]>,<3,2^4*3^4*5^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[1]],[[1]]],[2,3,5],[11,12,11],1,[1.000000000,0.5522184105,0.7641056853],<"3.2e4_3e4_5e2.6t11.1",1>,[6,11]>,<3,2^6*3^4*5^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[1]]],[2,3,5],[11,11,12],1,[1.000000000,0.9410699956,0.9673469548],<"notfaithful",0>,[6,11]>]
x^5+10*x^3-140*x^2-615*x+2908 -2^8*3^3*5^8 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 19 x^2+18*x+2 5 [[-659848,-1095783],[275389,-704527],[-744546,1095783],[576380,704527],[552625,0]] 2 [2,2,5,6,5,6,5,3,7,7,6,6,5,3,5,5,2,3,4,5,6,3,5,7,6,2,3,5,6,2,4,2,5,4,5,4,4,4,7,5,5,6,2,3,7,3,6,6,2,4,7,5,3,7,7,7,7,4,4,5,3,5,6,7,6,7,6,3,5,6,5,7,4,4,6,5,5,4,7,6,5,6,7,4,3,2,5,6,7,3,5,7,6,5,4,5,2,7,3,4,3,5,7,5,6,4,5,7,2,3,3,4,5,3,6,5,4,7,2,5,4,4,2,7,4,7,3,5,4,4,6,2,3,3,5,6,5,6,5,5,4,5,3,7,6,7,4,5,4,7,3,7,6,5,4,5,3,7,4,2,5,5,6,2,5,7,6,6] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,24,12,[[1,5,4,3,2],[1,2,4,5,3],[1,2,3,5,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,4,3,2,5],[1,3,5,4,2],[1,4,5,3,2]],[1,2,3,5,4],[1,3,2,4,5],[1,6],[[[1,5,4,3,2],[1,2,4,5,3]],[[1,3,2,5,4],[1,5,4,3,2]]],20,<<[],[1,1,1]>,[[-246630,0],[260272,0],[-3736,0],[362916,0],[-315468,0],[226760,0],[-428996,0],[113068,0],[-300724,0],[233288,0],[-62880,0],[-511268,0],[1,0]]>,[[[-322428,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]],[[25267,0],[-6212,0],[-1470,0],[24484,0],[-9880,0],[-17660,0],[22793,0],[-1212,0],[-26232,0],[-28670,0],[-32436,0],[12188,0]],[[11755,0],[12696,0],[-5826,0],[-11592,0],[23294,0],[-21628,0],[7773,0],[-25504,0],[21166,0],[6694,0],[-3172,0],[-23374,0]],[[8275,-6712],[-5068,-3652],[-3482,-14260],[584,14060],[-30176,18598],[-5024,16200],[-8867,12832],[14704,2692],[-19426,21618],[23758,25540],[-23592,-17256],[10590,9994]],[[14987,6712],[-1416,3652],[10778,14260],[-13476,-14060],[16762,-18598],[-21224,-16200],[-21699,-12832],[12012,-2692],[24492,-21618],[-1782,-25540],[-6336,17256],[596,-9994]]]>,<3,12,6,[[1,2,5,3,4],[1,2,3,5,4],[2,1,3,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[1,2,3,5,4],[2,1,3,5,4],[1,2,5,3,4],[2,1,5,3,4]],[2,1,3,4,5],[1,2,2,3,4,7],[1,2],[[[1,2,5,3,4],[1,2,3,5,4]],[[1,2,5,3,4]]],20,<<[],[2,2,1]>,[[1286579193,0],[372953178,0],[-781275261,0],[-1021877685,0],[-340568040,0],[813660399,0],[1,0]]>,[[[-504170374,1593426446],[0,0],[0,0],[0,0],[0,0],[0,0]],[[-204238865,-1593426446],[0,0],[0,0],[0,0],[0,0],[0,0]],[[464575946,0],[-280286175,0],[-568577326,0],[-185239284,0],[470524994,0],[413689977,0]],[[402359603,0],[-2359260,0],[272832194,0],[-523866439,0],[3865385,0],[456711389,0]],[[-158526310,0],[282645435,0],[295745132,0],[-453155744,0],[-474390379,0],[291860101,0]]]>,<5,20,5,[[4,1,2,5,3],[1,5,2,3,4]],[[1,2,3,4,5],[5,3,2,4,1],[3,1,5,4,2],[2,5,1,4,3],[4,1,2,5,3]],[1,5,2,3,4],[1,3,5,5,6],[2],[[[4,1,2,5,3]]],20,<<[],[2,4,4,0,1]>,[[1230,0,0,0],[-975,0,0,0],[0,0,0,0],[50,0,0,0],[10,0,0,0],[1,0,0,0]]>,[[[2,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-9263345754753,-9176548322775,8408815466045,7200913044490],[-9013832486609,-4136002408215,-8634666452580,1162376278840],[733679157257,1209644754186,-1724647966078,122759274596],[-1673014910429,1570156351886,-734095079466,-1339840672374],[-113739852398,-937659766146,-1690821032516,-1453830772872]],[[-6394808996818,-8960735028790,-2426090213785,9022533640980],[6196091782326,-3228934993430,7264972299195,8348249419385],[1742388261599,1001750390922,-1512114501186,-954259089093],[1762113322497,-1230899531042,-1508632896471,1593126371813],[195379189634,642890865671,-502722115795,-871291281467]],[[-1605840960748,8434304652730,-5262193841215,-6563894256835],[7065501068546,-6929808172595,-6474302695480,5081911625825],[-803462638757,-1001124872471,-1834546829457,-316355415156],[643660312329,-1313572884720,23339982482,1470559204330],[914623085273,-842533239939,1346012294181,679098587512]],[[-1809490615808,-9370507629290,-720531411045,9413933899490],[-4247760364264,-4778740753885,7843996848865,4480949004075],[-1672604780099,-1210270272637,1256612031096,1147855229653],[-732758724397,974316063876,-1595309272170,-1723844903769],[-996262422509,1137302140414,847530854130,1646023466827]]]>,<233,6,1,[[2,3,1,5,4]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,5,4],[1,2,4,4,7,7],[1],[[]],20,<[],[3,32,215,122,3,0,1]>,[[-81190093476419654515439336099815568653429386707,361191103569496796660608480043997517930719287,-41493072111151762465039884623179692383186712309,-100000918454898105233854628084297776498639796088,-61377440520760217981154236869860701410977749641,-80427641311829014434753127888995452537644959093],[79183146682934777847104348894417421637264562878,-78884591318857159685159782895452444350729691755,-4154605682343566180121103617392286902118055540,-20237819578714521942120741938095716127129933532,20690157497330429123332296242635149259394001225,54960598239595013534352459885970558430763130352],[-5365485833327106778005131339360579548713552551,78523400215287662888499174415408446832798972468,45647677793495328645160988240571979285304767849,-102152883027539427803470681531053655238717531981,40687283023429788857821940627225552151583748416,25467043072234000900400668003024894106881828741],[227172512415683676541832371362571338563743622,-330559683273039250628219885552104416701831703,-324205013800499600971615807020902667580445885,-437027533047090865988801672906106739447073209,387730634428027763083823942589361478073843765,-341685309997773985449161613893691725963316027],[463966777795165070844971319859116449269951079,330559683273039250628219885552104416701831703,324205013800499600971615807020902667580445885,437027533047090865988801672906106739447073209,-387730634428027763083823942589361478073843765,341685309997773985449161613893691725963316027]]>*] [x,x^2-x+1,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,233],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,3,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,233],[2,8,2,2],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[5,5]>,<4,2^8*3^5*5^8,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[1]],[[1]]],[2,3,5,233],[8,9,9,7],1,[0,0,0],<"4.2e8_3e5_5e8.10t12.3",1>,[5,5]>,<4,2^8*3^3*5^8,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1]],[[1],[0],[-1]],[[1]]],[2,3,5,233],[8,9,10,7],1,[0,0,0],<"4.2e8_3e3_5e8.5t5.1",1>,[5,5]>,<5,2^10*3^6*5^8,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,5,233],[8,9,10,7],1,[0,0,0],<"5.2e10_3e6_5e8.10t13.3",1>,[5,5]>,<5,2^10*3^7*5^8,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,233],[8,8,9,7],1,[0,0,0],<"5.2e10_3e7_5e8.6t14.1",1>,[5,5]>,<6,2^16*3^7*5^8,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1]],[[1],[1]],[[1],[0],[1]]],[2,3,5,233],[8,9,10,7],1,[0,0,0],<"6.2e16_3e7_5e8.20t35.7",1>,[5,5]>]
