x^2-x-720 43*67 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[90],[-89]] 1 [1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<43,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-258,43,1]>,[[-21,-1],[22,1]]>,<67,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[402,67,1]>,[[-33,-1],[34,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[43,67],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,43*67,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[43,67],[3,3],1,[1.000000000,3.398770355,1.571094619],<"1.43_67.2t1.1",1>,[2,1]>]
x^6-2*x^5-7*x^4+10*x^3+14*x^2-8*x-4 2^4*5^3*2011 6 0 72 "S3wrC2" [[2,1,4,3,6,5],[1,3,2,4,5,6],[1,3,5,4,2,6]] [<1,1,[1,2,3,4,5,6]>,<2,6,[2,1,4,3,6,5]>,<2,6,[1,2,5,4,3,6]>,<2,9,[1,2,5,6,3,4]>,<3,4,[4,3,5,6,2,1]>,<3,4,[4,2,3,6,5,1]>,<4,18,[2,1,6,3,4,5]>,<6,12,[3,1,4,5,6,2]>,<6,12,[4,2,5,6,3,1]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,2,3],[2,2,2],[2,4],[3,3],[6]] 11 x^2+7*x+2 5 [[-1978,-40234],[-66369,0],[17386,-4514],[44421,0],[48984,4514],[-42442,40234]] 1 [2,8,5,8,4,2,7,5,7,9,9,7,6,7,8,7,4,9,8,9,7,5,7,4,7,6,7,8,4,7,7,4,2,4,3,9,2,8,8,7,4,6,9,2,8,3,9,8,8,9,7,4,4,6,7,7,3,6,7,9,7,2,8,3,7,7,5,7,7,4,7,4,7,7,9,8,5,2,3,4,9,5,9,7,5,7,9,7,4,8,7,9,7,9,9,7,5,9,7,9,7,7,7,3,9,8,8,8,9,4,7,8,7,6,3,4,8,7,8,3,3,2,7,8,9,9,4,4,8,8,9,7,3,7,4,3,7,2,8,5,3,6,2,8,9,4,7,8,3,7,7,9,7,7,7,9,5,3,8,9,7,2,7,6,8,7,6,7] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,2,3],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,8*]] [*<2,8,4,[[1,2,3,4,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[2,1,5,6,3,4],[1,2,4,3,5,6],[2,1,6,5,3,4]],[2,1,5,6,3,4],[1,4,2,3,7],[2],[[[1,2,3,4,6,5],[1,2,4,3,6,5]]],20,<<[],[1,1,1]>,[[435770,362762],[-243028,-312560],[167624,-322128],[394714,-338814],[1,0]]>,[[[-110553,-195018],[0,0],[0,0],[0,0]],[[84465,195018],[0,0],[0,0],[0,0]],[[-57604,-97980],[-117504,-44620],[-112109,39544],[60359,59886]],[[-93986,30854],[117504,44620],[112109,-39544],[-60359,-59886]],[[64888,60780],[102376,-26652],[-20412,-96713],[75765,37538]],[[112792,6346],[-102376,26652],[20412,96713],[-75765,-37538]]]>,<5,6,2,[[2,1,4,3,6,5],[5,6,2,1,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,2,1,4,3],[4,3,6,5,1,2],[6,5,1,2,3,4],[3,4,5,6,2,1]],[5,6,2,1,4,3],[1,2,5,5,8,8],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,3,0,1]>,[[-6097729347685,-17985656462840,25283512772100],[36107935114865,1622113162550,33948539497540],[1,0,0]]>,[[[-36107935114864,-1622113162549,-33948539497538],[-1,0,0]],[[1,1,2],[1,0,0]],[[45104567748379,-31911704999209,46766982675856],[5257855856535,7918585372313,2461881677516]],[[-28019247355686,-8545643697449,41248537221011],[-5257855856535,-7918585372313,-2461881677516]],[[-31240249170074,10167756859998,-7299997723473],[5257855856536,7918585372313,2461881677516]],[[-45104567748379,31911704999208,-46766982675858],[-5257855856536,-7918585372313,-2461881677516]]]>,<2011,4,2,[[1,2,3,4,6,5],[1,2,4,3,5,6]],[[1,2,3,4,5,6],[1,2,4,3,5,6],[1,2,3,4,6,5],[1,2,4,3,6,5]],[1,2,4,3,5,6],[1,3,3,4],[1],[[[1,2,3,4,6,5]]],20,<<[],[3,2004,1]>,[[-205734496327476300352986525279483999730405608947859876589052300465,0],[380219030775145402472586280321442447442802802016479754017699203300,0],[1,0]]>,[[[-233690991423955793339135061374820229014356448426122512277725262883,0],[0,0]],[[380219030775145402472586280321442447442802802016479754017699200297,0],[0,0]],[[-278475123476321048998127296556267619956318358391504911870111400749,495926433350299469123584370113184096310657668069863431027923130617],[0,0]],[[512166114900276842337262357931087848970674806817627424147836663633,-495926433350299469123584370113184096310657668069863431027923130617],[0,0]],[[-380219030775145402472586280321442447442802802016479754017699201798,0],[-1,0]],[[1502,0],[1,0]]]>*] [x,x^2-10055,x^2-x-1,x^2-2011,x^4-186*x^2+605,0,0,0,0] [1,2,2,2,5,6,7,8,9] <[1],[2],[3],[4],[5],[6],[7],[8],[9]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,2011],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,13]>,<1,2^2*5*2011,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,2011],[10,10,10],1,[1.000000000,0.8314175249,0.8914210678],<"notfaithful",0>,[6,13]>,<1,5,1,[[1],[-1],[1],[1],[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,2011],[2,10,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,13]>,<1,2^2*2011,1,[[1],[1],[-1],[1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,2011],[10,1,10],1,[1.000000000,2.241829743,1.206974478],<"notfaithful",0>,[6,13]>,<2,2^4*5*2011,1,[[2],[0],[0],[-2],[2],[2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,2011],[10,11,12],1,[1.000000000,1.321727815,1.044195362],<"notfaithful",0>,[6,13]>,<4,2^8*5^2*2011^3,1,[[4],[0],[-2],[0],[-2],[1],[0],[0],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[1],[1]],[[1],[1]]],[2,5,2011],[10,11,12],1,[0,0,0],<"4.2e8_5e2_2011e3.12t36.1",1>,[6,13]>,<4,2^4*5^2*2011,1,[[4],[0],[2],[0],[-2],[1],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[2],[3],[2],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[1],[0],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[-1],[1]]],[2,5,2011],[10,11,12],1,[1.000000000,0.7931588874,1.003337670],<"4.2e4_5e2_2011.6t13.1",1>,[6,13]>,<4,2^6*5*2011^2,1,[[4],[2],[0],[0],[1],[-2],[0],[-1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[1],[0],[1]],[[1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[-1]]],[2,5,2011],[10,11,12],1,[0,0,0],<"4.2e6_5_2011e2.6t13.1",1>,[6,13]>,<4,2^6*5^3*2011^2,1,[[4],[-2],[0],[0],[1],[-2],[0],[1],[0]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[2],[3],[2],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[1],[0],[1]],[[1],[1]],[[1],[-1]],[[1],[0],[-1]]],[2,5,2011],[10,11,12],1,[0,0,0],<"4.2e6_5e3_2011e2.12t34.1",1>,[6,13]>]
x^5-2*x^4+10*x^3+45*x+18 2^9*3^5*7^2 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 47 x^2+45*x+5 5 [[-37600938,0],[-35279495,-110166620],[105973258,110166620],[-99367996,-44453405],[66275173,44453405]] 3 [1,1,3,2,5,7,7,6,6,6,5,7,7,4,3,3,5,7,6,4,3,5,5,7,4,4,5,7,7,7,5,5,5,6,4,5,5,3,3,3,5,5,3,6,6,5,6,5,7,5,5,6,6,7,5,6,6,2,5,5,3,6,6,3,6,4,3,6,7,2,5,4,5,5,6,4,3,7,2,4,5,2,4,6,7,5,5,4,6,5,7,3,5,7,4,3,3,5,3,2,4,4,5,5,4,4,7,2,6,6,5,5,5,6,5,2,4,6,6,5,7,4,4,7,4,6,7,6,2,2,6,4,5,5,7,6,4,3,4,5,6,6,7,7,2,6,5,2,3,6,7,7,4,6,4,4,5,2,6,1,7,7,5,5,5,6,2,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,8,8,[[1,3,2,4,5],[1,5,4,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,3,2,4,5],[1,5,4,3,2],[1,4,5,3,2]],[1,2,3,4,5],[1,3,2,3,5],[2,4,6],[[[1,3,2,4,5],[1,5,4,3,2]],[[1,3,2,5,4],[1,3,2,4,5]],[[1,3,2,5,4]]],20,<[],[281230,109200,-497180,-186736,472338,394600,-337680,-354124,1]>,[[284534,524288,0,0,0,0,0,0],[64081,60478,46350,62054,16228,19296,11359,39418],[17837,-62590,46146,954,33092,33152,9009,58678],[8611,-22414,59128,27864,39232,17752,51549,29458],[18155,24526,44984,40200,42520,60872,59155,3518]]>,<3,6,6,[[3,1,2,4,5],[1,3,2,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[3,1,2,4,5]],[1,2,3,4,5],[1,2,4],[1,4],[[[3,1,2,4,5],[1,3,2,4,5]],[[3,1,2,4,5]]],20,<[],[-537588222,-1402851069,-307631466,-1689070158,65625129,-302373324,1]>,[[-76816380,157426578,48323145,-112483512,59395594,112975083],[-114934764,82823763,52962159,-9572940,31259725,101026620],[62703096,147170148,-101285304,122056452,38484844,44278623],[-469427648,0,0,0,0,0],[211055209,0,0,0,0,0]]>,<7,6,3,[[1,2,4,5,3],[2,1,3,4,5]],[[1,2,3,4,5],[2,1,3,4,5],[1,2,4,5,3],[1,2,5,3,4],[2,1,4,5,3],[2,1,5,3,4]],[2,1,3,4,5],[1,2,4,4,7,7],[1],[[[1,2,4,5,3]]],20,<<[],[3,6,1]>,[[35694699077094617,0],[7289147730165203,0],[-36427288365776567,0],[1,0]]>,[[[-3348381318102547,31552509720799247],[0,0],[0,0]],[[-33078907047674027,-31552509720799247],[0,0],[0,0]],[[1913139253338729,0],[3890265763649871,0],[4555297420199498,0]],[[3,0],[1,0],[0,0]],[[34514149112437844,0],[-3890265763649872,0],[-4555297420199498,0]]]>*] [x,x^2-6,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^3*3,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7],[8,8,2],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[5,5]>,<4,2^13*3^7*7^2,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[0],[-1]]],[2,3,7],[8,8,9],1,[0,0,0],<"4.2e13_3e7_7e2.10t12.1",1>,[5,5]>,<4,2^9*3^5*7^2,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[-1]],[[1],[-2],[1]],[[1],[0],[-1]]],[2,3,7],[8,9,10],1,[0,0,0],<"4.2e9_3e5_7e2.5t5.1",1>,[5,5]>,<5,2^12*3^10*7^4,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1]]],[2,3,7],[8,8,8],1,[0,0,0],<"5.2e12_3e10_7e4.10t13.1",1>,[5,5]>,<5,2^13*3^11*7^4,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1]],[[1],[1]]],[2,3,7],[8,9,10],1,[0,0,0],<"5.2e13_3e11_7e4.6t14.1",1>,[5,5]>,<6,2^19*3^11*7^4,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1]],[[1],[-1]],[[1],[0],[-1]]],[2,3,7],[8,9,10],1,[0,0,0],<"6.2e19_3e11_7e4.20t35.1",1>,[5,5]>]
x^5-15*x^3-15*x^2+10*x-17 -2^2*5^8*7 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 113 x-1 5 [[-5021448332],[-3712902865],[4141168029],[-8033930856],[-5797237769]] 2 [3,7,5,4,6,7,2,5,6,4,5,4,7,3,5,3,5,5,3,3,7,6,5,5,7,7,5,6,6,1,6,5,4,5,4,3,5,6,5,7,4,5,4,4,6,7,3,5,2,5,4,6,5,5,7,4,5,7,6,6,2,2,5,5,5,6,4,6,4,7,2,6,7,6,6,5,4,5,3,5,5,6,3,7,5,6,4,6,7,4,5,5,6,4,6,7,5,5,7,4,4,6,5,3,6,5,5,5,6,7,7,6,6,7,3,4,5,2,3,3,7,6,2,3,5,6,4,5,2,7,4,3,4,4,5,5,2,5,7,4,5,6,6,6,5,7,2,5,7,4,4,5,6,5,3,4,6,7,7,5,3,6,3,2,6,5,4,5] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,6,3,[[1,2,5,3,4],[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4],[1,2,5,3,4]],[2,1,3,5,4],[1,3,4],[1],[[[1,2,5,3,4]]],20,<<[],[1,1,1]>,[[106158,0],[206852,0],[145550,0],[1,0]]>,[[[-258398,-436803],[0,0],[0,0]],[[178405,436803],[0,0],[0,0]],[[199371,0],[-27994,0],[170085,0]],[[239743,74576],[54558,81122],[50968,9877]],[[165167,-74576],[-26564,-81122],[41091,252267]]]>,<3,6,1,[[3,1,2,5,4]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,5,4],[1,2,4,4,7,7],[1],[[]],20,<[],[2,2,1,0,2,0,1]>,[[499254831,1535578461,592810509,593221810,1580100808,1350796736],[1103228606,1194803883,962962014,1247767282,1289338647,-643255106],[-1397337625,756402057,-1555772523,1645795309,617344946,-707541630],[-578441057,419780901,-390381987,-141038268,-86006709,68681514],[373295245,-419780901,390381987,141038268,86006709,-68681514]]>,<5,20,5,[[4,1,2,5,3],[1,5,2,3,4]],[[1,2,3,4,5],[1,4,5,2,3],[1,3,4,5,2],[1,5,2,3,4],[4,1,2,5,3]],[1,5,2,3,4],[1,3,5,5,6],[2],[[[4,1,2,5,3]]],20,<<[],[2,4,4,0,1]>,[[-145,0,0,0],[-150,0,0,0],[-25,0,0,0],[25,0,0,0],[10,0,0,0],[1,0,0,0]]>,[[[2,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-4408215093423,260999886170,4788885194205,-1483080772590],[-7338815976579,-6539061883515,-2410621661685,-8786476854455],[-1901313078993,1473116925661,183512467857,-756112671569],[-962386667284,-620296758984,-1287416974056,1809048182151],[1311855899064,-1190403353525,-1566548217044,210085022509]],[[-7838150406508,-1342251509340,-1748276420855,1731715199755],[4548477029811,2358487195405,-618656765375,339139659510],[-963761913476,1149065049352,-367458466826,1195284095267],[-698420557763,-1889903269782,1452329198719,70539436808],[-1670437004957,-645441245247,-1022733920141,1396576033650]],[[-5163874421203,-8245084830655,6540929557810,-2902996790920],[5055411127266,9073274137955,-8074872641750,5478928276245],[1354401772743,1705793310214,-590568050732,-426386463806],[1651306238809,-1582462116415,1902335326757,-717788138235],[-1669390332939,-1841654603905,-268062879636,-377754857889]],[[-1663246406993,9326336453825,9491947996965,2654362363755],[-2265072180499,-4892699449845,-7969335259315,2968408918700],[1510673219726,-513278019602,774514049701,-12784959892],[9500986238,277964879556,1747449714205,-1161799480724],[-1786725826793,-137198062948,-957352248804,-1228906198270]]]>,<7,6,2,[[1,2,3,5,4],[2,3,1,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[2,3,1,4,5],[3,1,2,4,5],[2,3,1,5,4],[3,1,2,5,4]],[2,3,1,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[4,0,6,1]>,[[-17615830040846296,0,0],[34862168459104560,0,0],[1,0,0]]>,[[[19682724297208204,-16076932853830862,-3351322265430701],[0,0,0]],[[-14819939077795406,-32090438820005706,10153693071059126],[0,0,0]],[[29999383239691750,-31624894623775433,-6802370805628425],[0,0,0]],[[-34862168459104554,0,0],[-1,0,0]],[[6,0,0],[1,0,0]]]>*] [x,x^2-x+2,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,7,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7],[1,2,2,8],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[5,5]>,<4,2^2*5^8*7^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1]],[[1],[-1]]],[2,3,5,7],[8,7,9,10],1,[0,0,0],<"4.2e2_5e8_7e3.10t12.1",1>,[5,5]>,<4,2^2*5^8*7,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1]],[[1],[0],[0],[-1]]],[2,3,5,7],[8,7,9,10],1,[0,0,0],<"4.2e2_5e8_7.5t5.2",1>,[5,5]>,<5,2^4*5^8*7^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[0],[0],[-1]]],[2,3,5,7],[8,7,9,10],1,[0,0,0],<"5.2e4_5e8_7e2.10t13.3",1>,[5,5]>,<5,2^4*5^8*7^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[1],[1]]],[2,3,5,7],[8,7,8,9],1,[0,0,0],<"5.2e4_5e8_7e3.6t14.1",1>,[5,5]>,<6,2^4*5^8*7^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[0],[-1]]],[2,3,5,7],[8,7,9,10],1,[0,0,0],<"6.2e4_5e8_7e3.20t35.1",1>,[5,5]>]
