x^2-642 2^3*3*107 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[-43217],[43217]] 1 [1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-642,0,1]>,[[0,1],[0,262143]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-642,0,1]>,[[0,-1],[0,1]]>,<107,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-642,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,107],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*3*107,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,107],[3,3,3],1,[1.000000000,0.7384079837,0.9428621844],<"1.2e3_3_107.2t1.2",1>,[2,1]>]
x^4-54*x^2-19 -2^6*11^2*17^2*19 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 23 x-1 7 [[-42023915],[-1159606954],[1159606954],[42023915]] 4 [4,4,3,3,1,5,3,1,1,4,4,5,4,2,3,4,5,2,5,4,1,5,1,4,5,3,5,5,4,5,4,3,1,3,3,4,2,2,5,4,5,5,3,4,1,2,5,5,5,1,2,1,4,3,4,2,5,1,1,5,3,5,4,2,3,5,5,4,3,3,2,2,2,5,4,5,2,3,5,5,2,4,5,4,5,3,5,3,3,3,3,3,4,2,2,3,4,5,4,1,5,3,4,5,3,1,3,3,5,4,5,3,3,1,3,5,2,3,3,4,4,4,4,4,1,3,3,2,3,3,1,5,4,2,3,3,4,5,4,1,5,1,2,5,4,4,2,4,3,5,4,3,3,5,4,4,1,3,3,4,1,5,1,5,4,4,4,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-324,2>,<x^2+2736,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[3,4,1,2],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[2,1,3,4],[4,3,1,2]],[1,2,4,3],[1,2,3,4,5],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,1]>,[[2638,0],[244,0],[56044,0],[82,0],[1,0]]>,[[[-12039,0],[-18084,0],[23612,0],[-24119,0]],[[12039,0],[18084,0],[-23612,0],[24119,0]],[[9033,18066],[22940,45880],[-30946,-61892],[6771,13542]],[[-9033,-18066],[-22940,-45880],[30946,61892],[-6771,-13542]]]>,<11,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-159705906710581215523,-263362023913993511551,1]>,[[263362023913993511558,-1],[7,1],[-7,-1],[-263362023913993511558,1]]>,<17,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,16,1]>,[[1034640572865430482524278,0],[-1375548370712868240219454,-1188001398001001660627832],[1,0]]>,[[[1375548370712868240219462,1188001398001001660627833],[-1,0]],[[8,1],[1,0]],[[-8,-1],[-1,0]],[[-1375548370712868240219462,-1188001398001001660627833],[1,0]]]>,<19,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[551829165877925735353266,0,1]>,[[-7526934502237702304645792,0],[7526934502237702304645792,0],[0,-1],[0,1]]>*] [x,x^2-187,x^2-x+5,x^2+3553,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,17,19],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2*11*17,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,17,19],[6,6,6,1],1,[1.000000000,1.187715988,1.061377873],<"notfaithful",0>,[4,3]>,<1,19,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,11,17,19],[4,1,1,6],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[4,3]>,<1,2^2*11*17*19,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,11,17,19],[6,6,6,6],1,[1.000000000,0.6324606572,0.8537327930],<"notfaithful",0>,[4,3]>,<2,2^4*11*17*19,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,11,17,19],[6,7,8,7],1,[1.000000000,1.348922337,1.025088022],<"2.2e4_11_17_19.4t3.1",1>,[4,3]>]
x^6-3*x^5-36*x^4+73*x^3+474*x^2-669*x-2113 2^4*3^6*53^3 2 2 12 "D12" [[6,4,5,2,3,1],[1,6,4,3,5,2],[5,3,2,6,1,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,4,6,2,1,3]>,<2,3,[5,3,2,6,1,4]>,<2,3,[1,6,4,3,5,2]>,<3,2,[3,5,4,1,6,2]>,<6,2,[2,3,5,6,4,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 11 x^2+7*x+2 10 [[-2267192850,-2321491517],[7398986819,2321491517],[11129048808,0],[-11954176832,2321491517],[-8851453800,-2321491517],[4544787858,0]] 4 [3,2,3,5,4,5,4,6,3,4,2,5,3,1,4,4,4,6,6,3,6,6,3,4,5,3,6,4,2,4,2,4,3,6,4,6,2,5,3,3,3,6,3,6,4,5,5,1,4,1,3,3,5,3,3,3,4,5,2,4,2,4,1,4,6,4,5,6,4,6,3,3,5,6,6,3,3,2,3,5,3,6,4,1,1,3,4,2,4,6,4,3,5,3,2,3,3,4,5,5,5,3,3,3,6,5,4,4,4,2,5,6,3,5,6,3,1,4,4,3,5,5,3,4,2,3,6,3,1,1,2,4,5,5,3,6,3,6,3,3,1,3,5,3,6,4,6,4,5,4,5,3,6,3,5,4,2,4,5,4,4,4,5,4,3,4,5,1] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+27,2>,<x^3+117*x^2+4563*x+58455,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[2,3,1,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[2,3,1,5,6,4]],[4,6,5,1,3,2],[1,3,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[-203514,-521232],[-95200,-76196],[19046,38098],[1,0]]>,[[[0,1],[1,0],[0,0]],[[-19048,-19049],[0,1],[0,0]],[[2,-19047],[524287,524287],[0,0]],[[-336827,374923],[1,0],[0,0]],[[-355875,355873],[0,1],[0,0]],[[-336825,355875],[524287,524287],[0,0]]]>,<3,12,6,[[3,1,2,6,4,5],[1,3,2,4,6,5],[4,5,6,1,2,3]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[1,3,2,4,6,5],[4,6,5,1,3,2],[3,1,2,6,4,5],[6,4,5,3,1,2]],[4,5,6,1,2,3],[1,2,4,3,5,6],[1,2],[[[3,1,2,6,4,5],[1,3,2,4,6,5]],[[3,1,2,6,4,5]]],20,<<[],[2,2,1]>,[[-631630806,-1161802485],[1591891983,1376946],[960261177,-1160425539],[1591891983,1376946],[1734616395,-625493160],[-1120537200,536309325],[1,0]]>,[[[447844734,154964828],[316727571,334229373],[-6820207,483066075],[254172852,-190760994],[-315543125,-193797330],[557435893,-450348102]],[[451935645,545413304],[-385416429,498278160],[326271008,54566418],[259625378,301389042],[-248897495,-440619954],[50274635,71605929]],[[-192713475,-574441963],[68688858,329753934],[-319450801,-537632493],[-513798230,-110628048],[564440620,-527844183],[554550939,378742173]],[[-410953690,458427871],[316727571,334229373],[-6820207,483066075],[254172852,-190760994],[-315543125,-193797330],[557435893,-450348102]],[[-406862779,-313385120],[-385416429,498278160],[326271008,54566418],[259625378,301389042],[-248897495,-440619954],[50274635,71605929]],[[110749568,-270978920],[68688858,329753934],[-319450801,-537632493],[-513798230,-110628048],[564440620,-527844183],[554550939,378742173]]]>,<5,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,3],[1],[[]],20,<[],[2,4,1]>,[[-46484261118825,-12409670386212],[3154420426023,12409670386212],[-10417621854917,-3031873363704],[1709871599899,3031873363704],[-3791572447286,-600069214505],[-1391295589266,600069214505]]>,<53,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,49,1]>,[[-14718021857551109524019612112433713,0],[-4753461983960291884732428970302543,0],[1,0]]>,[[[4753461983960291884732428970302588,0],[-1,0]],[[45,0],[1,0]],[[-8094091497017461612487812276906696,2742106580984203171767702161375865],[-1,0]],[[-12847553480977753497220241247209239,2742106580984203171767702161375865],[1,0]],[[10470822488997607554854026762057924,-2742106580984203171767702161375865],[-1,0]],[[5717360505037315670121597791755381,-2742106580984203171767702161375865],[1,0]]]>,<83,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,3],[1],[[]],20,<[],[2,82,1]>,[[-5412051588024006610987928038491015499,15069091741225509656880982364472049102],[-37339903753173647698316564082873063858,-15069091741225509656880982364472049102],[-9842446953903010483605632869892994056,72115848152274505174374869990598972478],[95346357636298319102214617112621152773,-72115848152274505174374869990598972478],[-379093567663886246151183134237964342,-230710469511789133478086043072003027],[1135728730635225338421820573439884190,230710469511789133478086043072003027]]>,<359,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,3],[1],[[]],20,<[],[7,358,1]>,[[-388823628758911628856805193229568881934905771986612,-408248249370976223208875822581930376567392138931177],[385007340631542794239801611543438620290947810619834,196223971883284932012554206512013126103907395899653],[-320456519357762822504783737962101265226238234731885,-196223971883284932012554206512013126103907395899653],[356548218122021642989296256438900204402550984042639,408248249370976223208875822581930376567392138931177],[1067554102352706974258695094128737220534001074998,-1192673114782809952079486450854012824447892853230],[-1644587293406263346009293812568676675545919675820,1192673114782809952079486450854012824447892853230]]>*] [x,x^2-x+1,x^2-x-13,x^2-x+40,x^3-2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,53,83,359],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,53,83,359],[3,7,3,3,3,3],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,53,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,53,83,359],[2,2,2,7,2,2],1,[1.000000000,0.5400249451,0.7162159234],<"notfaithful",0>,[6,3]>,<1,3*53,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,53,83,359],[1,7,1,7,1,1],1,[1.000000000,2.491445036,1.405777042],<"notfaithful",0>,[6,3]>,<2,2^2*3^3,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]]],[2,3,5,53,83,359],[7,7,3,3,3,3],1,[1.000000000,0.8146240592,0.9743024320],<"notfaithful",0>,[6,3]>,<2,2^2*3^3*53^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]]],[2,3,5,53,83,359],[7,7,3,7,3,3],1,[1.000000000,0.8772114802,0.9769977556],<"2.2e2_3e3_53e2.6t3.1",1>,[6,3]>]
x^7-x^6-x^5-2*x^4-7*x^3-x^2+3*x+1 5717^2 3 2 168 "PSL(2,7)" [[5,6,3,4,1,2,7],[1,3,4,5,2,7,6]] [<1,1,[1,2,3,4,5,6,7]>,<2,21,[5,6,3,4,1,2,7]>,<3,56,[3,6,5,2,1,4,7]>,<4,42,[6,7,4,1,5,3,2]>,<7,24,[2,7,4,5,1,3,6]>,<7,24,[6,3,1,2,7,5,4]>] [[1,1,1,1,1,1,1],[1,1,1,2,2],[1,2,4],[1,3,3],[7]] 11 x^3+2*x+9 6 [[190685,604540,-671153],[-194461,466304,176177],[-157644,-299530,646680],[835575,-166774,-822857],[-197014,0,0],[424870,94632,-52624],[869551,-699172,723777]] 2 [6,5,3,3,3,3,5,5,4,2,4,4,4,5,2,2,3,2,5,3,3,5,6,3,2,3,5,3,4,5,2,5,6,6,4,3,3,4,5,3,6,4,2,6,6,6,6,3,5,5,3,3,3,4,6,3,5,6,6,4,3,3,4,4,6,4,4,4,6,5,6,5,3,5,4,3,5,3,6,4,4,3,4,4,3,4,6,3,2,4,2,4,6,3,6,3,3,5,5,4,3,3,4,4,3,3,3,3,3,2,5,4,5,2,4,3,3,3,3,5,6,6,2,6,2,4,3,6,2,5,4,5,2,4,3,3,3,2,4,6,4,3,4,4,5,4,3,3,6,4,6,3,5,2,4,4,6,3,3,3,4,4,6,3,4,2,4,6] [[*[1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2,2],"CYC",0,2*],[*[1,2,4],"CYC",0,4*],[*[1,3,3],"CYC",0,3*],[*[7],"ALT",[2,3,4,5,6,7,1],[<x-5717,6>,<x+5717,5>]*]] [*<5717,4,2,[[1,2,3,5,4,7,6],[1,3,2,4,5,7,6]],[[1,2,3,4,5,6,7],[1,3,2,4,5,7,6],[1,2,3,5,4,7,6],[1,3,2,5,4,6,7]],[1,3,2,4,5,7,6],[1,2,2,2],[1],[[[1,2,3,5,4,7,6]]],20,<<[],[2,5716,1]>,[[-347762906024825926917919654261260713815424707728878439658548745587396218843,0],[-419851441229281867711291073988580451779754577320241181254737153663943878024,0],[1,0]]>,[[[121392181326982134435363419438661659499317073667979955449868887725783920928,0],[0,0]],[[34410283426006130678593305201079047015490488900582296279118949675129290306,-338715657534513394036907626694062693740854097735139297772485340252721457098],[0,0]],[[-302586313851189222099938287677794153277660507229923653891197995196697030118,338715657534513394036907626694062693740854097735139297772485340252721457098],[0,0]],[[419851441229281867711291073988580451779754577320241181254737153663943882010,0],[-1,0]],[[3986,0],[1,0]],[[293504422846556447875619291345777561021297076880380255467892187160597495087,-46820437331840244648171867902616254533223829055639078749971849950051473663],[45367337033673153159716754762167769989201391077046120405253139642177010,80217713505878846608944217122079178519298145024115119623520607778986292]],[[-566572014977637358600928802296304566038198709539260034560419183028757562198,46820437331840244648171867902616254533223829055639078749971849950051473663],[-45367337033673153159716754762167769989201391077046120405253139642177010,-80217713505878846608944217122079178519298145024115119623520607778986292]]]>*] [x,0,0,0,0,0] [1,2,3,4,5,6] <[1],[2,3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5717],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[7,5]>,<3,5717^2,7,[[3,0,0,0,0,0],[-1,0,0,0,0,0],[0,0,0,0,0,0],[1,0,0,0,0,0],[0,1,1,0,1,0],[-1,-1,-1,0,-1,0]],[[[1,0,0,0,0,0],[-3,0,0,0,0,0],[3,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,0,0,0,0,0],[0,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,-1,-1,0,-1,0],[-1,-1,-1,0,-1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,1,1,0,1,0],[0,1,1,0,1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0]]],[2,5717],[6,7],0,[0,0,0],<"3.5717e2.42t37.1",1>,[7,5]>,<3,5717^2,7,[[3,0,0,0,0,0],[-1,0,0,0,0,0],[0,0,0,0,0,0],[1,0,0,0,0,0],[-1,-1,-1,0,-1,0],[0,1,1,0,1,0]],[[[1,0,0,0,0,0],[-3,0,0,0,0,0],[3,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,0,0,0,0,0],[0,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[-1,0,0,0,0,0],[1,0,0,0,0,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,1,1,0,1,0],[0,1,1,0,1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[0,-1,-1,0,-1,0],[-1,-1,-1,0,-1,0],[-1,0,0,0,0,0]],[[1,0,0,0,0,0],[1,0,0,0,0,0]]],[2,5717],[6,7],0,[0,0,0],<"3.5717e2.42t37.1",2>,[7,5]>,<6,5717^2,1,[[6],[2],[0],[0],[-1],[-1]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[-2],[-1],[4],[-1],[-2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1],[1]],[[1],[1],[1],[1],[1],[1],[1]],[[1],[-2],[0],[2],[-1]]],[2,5717],[5,7],1,[0,0,0],<"6.5717e2.7t5.1",1>,[7,5]>,<7,5717^4,1,[[7],[-1],[1],[-1],[0],[0]],[[[1],[-7],[21],[-35],[35],[-21],[7],[-1]],[[1],[1],[-3],[-3],[3],[3],[-1],[-1]],[[1],[-1],[0],[-2],[2],[0],[1],[-1]],[[1],[1],[1],[1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[0],[0],[0],[0],[-1]],[[1],[1],[-1],[-1]]],[2,5717],[5,7],1,[0,0,0],<"7.5717e4.8t37.1",1>,[7,5]>,<8,5717^4,1,[[8],[0],[-1],[0],[1],[1]],[[[1],[-8],[28],[-56],[70],[-56],[28],[-8],[1]],[[1],[0],[-4],[0],[6],[0],[-4],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[0],[0],[-1],[1]],[[1],[-1],[0],[0],[0],[0],[0],[-1],[1]],[[1],[0],[-2],[0],[1]]],[2,5717],[5,7],1,[0,0,0],<"8.5717e4.21t14.1",1>,[7,5]>]
