x^2-x-521 3*5*139 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 31 x-1 5 [[-3394213],[3394214]] 1 [2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-519,3,1]>,[[-1,-1],[2,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-515,5,1]>,[[-2,-1],[3,1]]>,<139,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4309,139,1]>,[[-69,-1],[70,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,5,139],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*5*139,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,5,139],[3,3,3],1,[1.000000000,0.4309884952,0.7663066857],<"1.3_5_139.2t1.1",1>,[2,1]>]
x^6+8*x^4+29*x^2+26 -2^9*13^3 0 3 6 "S3" [[4,3,2,1,6,5],[6,1,5,3,4,2]] [<1,1,[1,2,3,4,5,6]>,<2,3,[4,3,2,1,6,5]>,<3,2,[6,1,5,3,4,2]>] [[1,1,1,1,1,1],[2,2,2],[3,3]] 11 x^2+7*x+2 5 [[80073,32688],[-12308,32688],[50588,37461],[-80073,-32688],[12308,-32688],[-50588,-37461]] 2 [1,3,3,3,2,1,3,2,2,2,1,3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,1,3,1,2,3,2,3,1,3,2,2,1,2,3,2,2,2,3,2,3,3,2,3,3,3,2,1,3,2,2,3,2,2,1,3,2,2,3,1,2,3,3,3,2,1,2,2,2,3,2,1,2,2,3,3,3,3,2,3,2,2,3,1,1,3,1,3,2,2,1,3,1,3,3,3,3,3,3,2,2,2,2,3,2,1,2,2,3,1,2,2,2,1,1,3,2,2,2,2,1,2,2,3,2,3,2,2,2,2,3,2,2,3,2,3,2,2,2,1,3,1,1,3,3,3,3,2,3,2,2,2,1,3,2,3,3,3,2,3,2,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"CYC",0,3*]] [*<2,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,2],[3],[[[2,1,4,3,6,5]]],20,<[],[382138,0,1]>,[[0,1],[0,262143],[15925,15924],[15925,460],[-15925,15924],[-15925,460]]>,<13,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,2],[1],[[[2,1,4,3,6,5]]],20,<[],[7311994229416171337042,0,1]>,[[0,-1],[0,1],[-6768936209563638164447,540665242313592388937],[-6768936209563638164447,-540665242313592388937],[6768936209563638164447,540665242313592388937],[6768936209563638164447,-540665242313592388937]]>*] [x,x^2+26,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,2]>,<1,2^3*13,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,13],[4,4],1,[1.000000000,1.848351028,1.184397141],<"notfaithful",0>,[6,2]>,<2,2^3*13,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,13],[4,4],1,[1.000000000,0.9710515157,1.119319646],<"2.2e3_13.3t2.2",1>,[6,2]>]
x^8-10*x^6+38*x^4-60*x^2+36 2^18*3^2*5^4 0 4 16 "D8:C2" [[8,7,6,5,4,3,2,1],[2,1,4,3,6,5,8,7],[4,6,7,1,8,2,3,5],[2,8,4,6,3,5,1,7]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<2,2,[2,1,4,3,6,5,8,7]>,<2,2,[4,6,7,1,8,2,3,5]>,<2,2,[1,7,3,5,4,6,2,8]>,<4,1,[6,5,1,2,7,8,4,3]>,<4,1,[3,4,8,7,2,1,5,6]>,<4,2,[7,1,5,3,6,4,8,2]>,<4,2,[6,4,1,7,2,8,5,3]>,<4,2,[4,3,7,8,1,2,6,5]>] [[1,1,1,1,1,1,1,1],[1,1,1,1,2,2],[2,2,2,2],[4,4]] 29 x-1 6 [[-70888925],[-120606290],[-214414097],[-87435798],[87435798],[214414097],[120606290],[70888925]] 4 [7,7,1,6,10,8,8,4,9,1,10,8,5,9,9,3,10,5,9,4,3,10,7,5,3,2,6,7,5,8,7,10,8,4,2,10,8,9,9,3,10,5,4,3,3,10,4,6,7,5,8,4,1,10,8,9,2,10,8,5,9,3,9,4,3,3,4,3,7,5,8,4,6,8,4,9,1,8,5,1,10,5,4,3,10,6,5,3,1,7,6,4,7,10,4,9,2,5,9,5,9,3,6,5,4,3,7,8,4,2,6,8,8,4,10,5,9,9,3,10,5,3,3,7,4,1,5,4,7,8,4,9,10,8,5,1,3,9,3,5,4,2,6,6,5,4,8,8,4,9,8,5,9,9,9,4,10,5,3,2,6,8,7,10,8,9,10,8] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2,2],"CYC",0,5*],[*[2,2,2,2],"RES",<[1],x^2-3*x+1>,[<x-60,2>,<x^2,3>,<x^2-4320,4>]*],[*[4,4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x-16,6>,<x+16,7>,<x^2-480,8>,<x^2+320,9>,<x^2+864,10>]*]] [*<2,16,8,[[1,2,4,3,5,6,8,7],[3,4,1,2,7,8,5,6],[6,5,8,7,1,2,3,4]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7],[3,4,1,2,7,8,5,6],[1,2,4,3,5,6,8,7],[8,7,5,6,3,4,2,1],[6,5,8,7,1,2,3,4],[5,6,7,8,2,1,4,3],[4,3,1,2,8,7,5,6],[8,7,6,5,3,4,1,2],[6,5,7,8,1,2,4,3]],[6,5,8,7,1,2,3,4],[1,2,4,5,3,7,6,10,8,9],[2,4,6],[[[1,2,4,3,5,6,8,7],[3,4,1,2,7,8,5,6]],[[2,1,4,3,6,5,8,7],[1,2,4,3,5,6,8,7]],[[2,1,4,3,6,5,8,7]]],20,<<[],[1,1,1]>,[[-416790,356522],[281616,294144],[-230244,411616],[442552,-72200],[427016,338866],[198960,146496],[312016,-66344],[266064,-341692],[1,0]]>,[[[25426,37042],[-21364,-3334],[-51061,-15978],[-52458,36906],[-59330,15298],[-31099,38998],[61579,7353],[11988,45354]],[[-25426,-37042],[21364,3334],[51061,15978],[52458,-36906],[59330,-15298],[31099,-38998],[3957,58183],[53548,20182]],[[-52156,-1128],[-44804,1924],[14723,-52074],[-34994,31562],[-41884,-62981],[-41481,42526],[11389,12799],[41006,17145]],[[52156,1128],[44804,-1924],[-14723,52074],[34994,-31562],[41884,62981],[41481,-42526],[54147,52737],[24530,48391]],[[53964,47106],[-36130,18368],[-62127,60021],[41864,57310],[-17880,-31130],[-45509,-11453],[33048,41671],[30550,28472]],[[-53964,-47106],[36130,-18368],[62127,-60021],[-41864,-57310],[17880,31130],[45509,11453],[32488,23865],[34986,37064]],[[-16676,-63972],[-24368,-47540],[-65143,22493],[23200,966],[60419,-16306],[-15291,63273],[1800,12321],[46947,25088]],[[16676,63972],[24368,47540],[65143,-22493],[-23200,-966],[-60419,16306],[15291,-63273],[63736,53215],[18589,40448]]]>,<3,8,2,[[1,2,3,4,7,8,5,6],[2,3,4,1,6,7,8,5]],[[1,2,3,4,5,6,7,8],[3,4,1,2,7,8,5,6],[1,2,3,4,7,8,5,6],[3,4,1,2,5,6,7,8],[2,3,4,1,6,7,8,5],[4,1,2,3,8,5,6,7],[2,3,4,1,8,5,6,7],[4,1,2,3,6,7,8,5]],[2,3,4,1,6,7,8,5],[1,2,5,5,7,6,9,9],[1],[[[1,2,3,4,7,8,5,6]]],20,<<[],[2,0,0,2,1]>,[[-1162261470,0,-28589973,-28589973],[0,0,0,0],[1,0,0,0]]>,[[[818816648,-1683670450,23018577,841835225],[0,0,0,0]],[[864853802,-1711039643,1734058220,-887872379],[0,0,0,0]],[[-818816648,1683670450,-23018577,-841835225],[0,0,0,0]],[[-864853802,1711039643,-1734058220,887872379],[0,0,0,0]],[[0,0,0,0],[387420488,0,0,0]],[[0,0,0,0],[28589972,0,222300217,222300217]],[[0,0,0,0],[1,0,0,0]],[[0,0,0,0],[358830517,0,165120272,165120272]]]>,<5,2,2,[[2,1,4,3,6,5,8,7]],[[1,2,3,4,5,6,7,8],[2,1,4,3,6,5,8,7]],[1,2,3,4,5,6,7,8],[1,3],[1],[[[2,1,4,3,6,5,8,7]]],20,<[],[-27377194358095,43215628979570,1]>,[[-43215628979566,-1],[4,1],[41311336449488,5516220439379],[22460883290583,-5516220439379],[-22460883290583,5516220439379],[-41311336449488,-5516220439379],[-4,-1],[43215628979566,1]]>*] [x,x^2+30,x^2-30,x^2+1,x^2-6,x^2+5,x^2-x-1,x^2+6,0,0] [1,2,2,2,2,2,2,2,9,10] <[1],[2],[3],[4],[5],[6],[7],[8],[9,10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,7],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,11]>,<1,2^3*3*5,1,[[1],[1],[-1],[-1],[-1],[-1],[-1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,7],[11,11,11,3],1,[1.000000000,1.147147442,0.9992128871],<"notfaithful",0>,[8,11]>,<1,2^3*3*5,1,[[1],[1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,7],[11,11,11,1],1,[1.000000000,1.127932331,1.021096493],<"notfaithful",0>,[8,11]>,<1,2^2,1,[[1],[1],[1],[-1],[1],[-1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,7],[11,4,1,4],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[8,11]>,<1,2^3*3,1,[[1],[1],[1],[1],[-1],[-1],[-1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7],[11,11,1,5],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[8,11]>,<1,2^2*5,1,[[1],[1],[-1],[-1],[1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,7],[11,1,11,1],1,[1.000000000,1.404962946,1.128043325],<"notfaithful",0>,[8,11]>,<1,5,1,[[1],[1],[-1],[1],[1],[-1],[-1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,7],[3,3,11,3],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[8,11]>,<1,2^3*3,1,[[1],[1],[1],[-1],[-1],[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,7],[11,11,1,1],1,[1.000000000,1.282549830,1.057806613],<"notfaithful",0>,[8,11]>,<2,2^7*3*5,4,[[2,0],[-2,0],[0,0],[0,0],[0,0],[0,-2],[0,2],[0,0],[0,0],[0,0]],[[[1,0],[-2,0],[1,0]],[[1,0],[2,0],[1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,2],[-1,0]],[[1,0],[0,-2],[-1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0]],[[1,0],[0,-1]],[[1,0],[-1,0]]],[2,3,5,7],[11,12,13,6],0,[1.000000000+1.098913508E-14*i,1.193449629+0.08264121006*i,1.034392025+0.07277367888*i],<"2.2e7_3_5.8t11.1",1>,[8,11]>,<2,2^7*3*5,4,[[2,0],[-2,0],[0,0],[0,0],[0,0],[0,2],[0,-2],[0,0],[0,0],[0,0]],[[[1,0],[-2,0],[1,0]],[[1,0],[2,0],[1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,0],[-1,0]],[[1,0],[0,-2],[-1,0]],[[1,0],[0,2],[-1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0],[0,0],[1,0]],[[1,0]],[[1,0],[0,1]],[[1,0],[-1,0]]],[2,3,5,7],[11,12,13,6],0,[1.000000000-1.098913508E-14*i,1.193449629-0.08264121006*i,1.034392025-0.07277367888*i],<"2.2e7_3_5.8t11.1",2>,[8,11]>]
x^8-4*x^7+14*x^6-28*x^5+56*x^4-70*x^3+7*x^2+24*x-12 -3^4*7^7*17^3 2 3 16 "D16" [[8,7,6,5,4,3,2,1],[6,1,4,2,7,5,8,3],[6,5,8,7,2,1,4,3],[5,6,2,1,8,7,3,4]] [<1,1,[1,2,3,4,5,6,7,8]>,<2,1,[8,7,6,5,4,3,2,1]>,<2,4,[1,6,7,5,4,2,3,8]>,<2,4,[6,5,8,7,2,1,4,3]>,<4,2,[5,6,2,1,8,7,3,4]>,<8,2,[6,1,4,2,7,5,8,3]>,<8,2,[7,5,1,6,3,8,4,2]>] [[1,1,1,1,1,1,1,1],[1,1,2,2,2],[2,2,2,2],[4,4],[8]] 227 x-1 6 [[5099335548898],[-23313557129800],[-67094610313198],[20436559302868],[-20436559302867],[67094610313199],[23313557129801],[-5099335548897]] 3 [4,1,5,3,6,7,3,6,7,7,4,3,2,5,3,4,3,4,5,6,4,3,3,3,4,3,6,6,3,7,2,5,4,4,4,5,6,3,5,5,4,4,4,3,7,4,3,7,1,7,6,4,4,3,3,4,1,7,3,4,4,3,6,5,4,6,2,3,6,6,3,4,4,5,3,3,4,4,7,7,2,2,7,7,4,4,7,5,3,5,3,1,3,4,3,5,3,5,6,3,3,4,3,4,3,6,3,3,4,4,4,2,6,4,1,7,4,3,6,4,7,3,1,7,4,4,3,5,6,7,5,6,3,1,3,7,3,4,3,6,4,7,3,7,6,1,4,5,6,4,3,1,5,5,3,6,2,1,7,1,7,4,1,3,4,5,3,4] [[*[1,1,1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2,2],"CYC",0,3*],[*[2,2,2,2],"RES",<[1],x^2>,[<x-8,2>,<x^4+24*x^3+356*x^2+2544*x+11712,4>]*],[*[4,4],"CYC",0,5*],[*[8],"RES",<[1,7],x^2>,[<x+26,6>,<x-2,7>]*]] [*<2,2,1,[[2,1,4,3,8,7,6,5]],[[1,2,3,4,5,6,7,8],[2,1,4,3,8,7,6,5]],[2,1,4,3,8,7,6,5],[1,4],[1],[[]],20,<[],[1,1,1]>,[[-16726,31092],[-47818,-31092],[47819,31092],[16727,-31092],[-20136,60529],[80666,60529],[20137,-60529],[-80665,-60529]]>,<3,2,2,[[2,1,4,3,7,8,5,6]],[[1,2,3,4,5,6,7,8],[2,1,4,3,7,8,5,6]],[1,2,3,4,5,6,7,8],[1,4],[1],[[[2,1,4,3,7,8,5,6]]],20,<[],[1577792391,154977213,1]>,[[-154977213,-1],[0,1],[1,-1],[154977214,1],[15308369,59388647],[23277194,59388647],[-23277193,-59388647],[-15308368,-59388647]]>,<7,16,8,[[2,3,4,5,6,7,8,1],[1,8,7,6,5,4,3,2]],[[1,2,3,4,5,6,7,8],[5,6,7,8,1,2,3,4],[1,8,7,6,5,4,3,2],[2,1,8,7,6,5,4,3],[3,4,5,6,7,8,1,2],[2,3,4,5,6,7,8,1],[4,5,6,7,8,1,2,3]],[1,8,7,6,5,4,3,2],[1,2,3,4,5,6,7],[1],[[[2,3,4,5,6,7,8,1]]],20,<<[],[3,6,1]>,[[38724,0],[77616,0],[69055,0],[35770,0],[11816,0],[2548,0],[350,0],[28,0],[1,0]]>,[[[-3,0],[-1,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]],[[37027662052453363,-35680569217190086],[-2727395249164380,937911451611034],[-3297081680719274,-1925798945599452],[2587715132954675,4222431248648529],[-1059086295829737,-1074255158178370],[403043421928669,1488846154954189],[-4493334840030225,4641441503470212],[-5068642215773397,-3765272145804143]],[[-25183528357727029,31501623696230324],[939801429641231,4112898871671458],[-2146861972289013,-715620657429671],[-2394585527631240,-798195175877080],[-455734343621592,-151911447873864],[4743439600315707,1581146533438569],[-2715050995240598,-4704648726871247],[-4298167659738730,2366909175211471]],[[-11734278462757875,-35680569217190086],[-3044031226542559,937911451611034],[3141183192495705,-1925798945599452],[-50918011809787,4222431248648529],[-5386444653240483,-1074255158178370],[-2868861677576678,1488846154954189],[-1854701695267932,4641441503470212],[5274799711694825,-3765272145804143]],[[4,0],[1,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]],[[-37027662052453362,35680569217190086],[2727395249164380,-937911451611034],[3297081680719274,1925798945599452],[-2587715132954675,-4222431248648529],[1059086295829737,1074255158178370],[-403043421928669,-1488846154954189],[4493334840030225,-4641441503470212],[5068642215773397,3765272145804143]],[[25183528357727030,-31501623696230324],[-939801429641231,-4112898871671458],[2146861972289013,715620657429671],[2394585527631240,798195175877080],[455734343621592,151911447873864],[-4743439600315707,-1581146533438569],[2715050995240598,4704648726871247],[4298167659738730,-2366909175211471]],[[11734278462757876,35680569217190086],[3044031226542559,-937911451611034],[-3141183192495705,1925798945599452],[50918011809787,-4222431248648529],[5386444653240483,1074255158178370],[2868861677576678,-1488846154954189],[1854701695267932,-4641441503470212],[-5274799711694825,3765272145804143]]]>,<17,4,2,[[1,2,4,3,6,5,8,7],[2,1,5,6,3,4,7,8]],[[1,2,3,4,5,6,7,8],[2,1,5,6,3,4,7,8],[1,2,4,3,6,5,8,7],[2,1,6,5,4,3,8,7]],[2,1,5,6,3,4,7,8],[1,3,3,2],[1],[[[1,2,4,3,6,5,8,7]]],20,<<[],[3,16,1]>,[[1966081772364626796831643,0],[17,0],[1,0]]>,[[[252537667144212489977445,1809668448801339539797881],[0,0]],[[-252537667144212489977444,-1809668448801339539797881],[0,0]],[[-911957152675896361893716,-1001638106856218509482767],[118211834376763874160708,0]],[[1142673069566690299775849,-1001638106856218509482767],[-118211834376763874160708,0]],[[-1142673069566690299775848,1001638106856218509482767],[118211834376763874160708,0]],[[911957152675896361893717,1001638106856218509482767],[-118211834376763874160708,0]],[[-8,0],[-1,0]],[[9,0],[1,0]]]>*] [x,x^2-x+30,x^2-x-5,x^2-x+13,x^4-x^3-11*x^2-18*x-12,0,0] [1,2,2,2,5,6,7] <[1],[2],[3],[4],[5],[6,7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,17,53],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[8,6]>,<1,7*17,1,[[1],[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,17,53],[1,1,8,8,1],1,[1.000000000,2.879893264,1.533250389],<"notfaithful",0>,[8,6]>,<1,3*7,1,[[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,17,53],[4,8,8,1,4],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[8,6]>,<1,3*17,1,[[1],[1],[-1],[-1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,7,17,53],[3,8,3,8,3],1,[1.000000000,0.8798219250,0.8313330724],<"notfaithful",0>,[8,6]>,<2,3*7^2*17,1,[[2],[2],[0],[0],[-2],[0],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[2],[1]],[[1],[0],[1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,3,7,17,53],[3,8,9,8,3],1,[1.000000000,1.385674612,1.112642544],<"notfaithful",0>,[8,6]>,<2,3*7^2*17,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,1,0,-1],[0,-1,0,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,-1,0,1],[1,0,0,0]],[[1,0,0,0],[0,1,0,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]],[[1,0,0,0]],[[1,0,0,0],[1,0,0,0]]],[2,3,7,17,53],[3,8,9,10,3],1,[1.000000000,1.741107027,1.196381149],<"2.3_7e2_17.8t6.1",1>,[8,6]>,<2,3*7^2*17,8,[[2,0,0,0],[-2,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,-1,0,1],[0,1,0,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,1,0,-1],[1,0,0,0]],[[1,0,0,0],[0,-1,0,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]],[[1,0,0,0]],[[1,0,0,0],[1,0,0,0]]],[2,3,7,17,53],[3,8,9,10,3],1,[1.000000000,1.696784340,1.188508786],<"2.3_7e2_17.8t6.1",2>,[8,6]>]
