x^2-1178 2^3*19*31 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[7507],[-7507]] 1 [1,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-1178,0,1]>,[[0,1],[0,262143]]>,<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1178,0,1]>,[[0,-1],[0,1]]>,<31,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1178,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,19,31],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*19*31,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,19,31],[3,3,3],1,[1.000000000,0.6810949939,0.8797648211],<"1.2e3_19_31.2t1.1",1>,[2,1]>]
x^3-28*x-92 -2^2*5*1759 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 7 x-1 5 [[2115],[-6144],[4029]] 2 [2,3,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,3,1,3,2,3,3,3,2,3,1,3,2,2,1,2,2,1,2,1,2,1,2,3,2,2,3,3,3,2,2,2,2,2,1,1,3,3,3,2,1,1,2,1,2,2,3,2,3,2,2,2,3,3,3,3,2,3,3,2,2,2,1,3,3,3,2,3,2,2,1,3,3,2,2,2,3,3,2,2,3,3,3,1,2,3,1,3,3,3,3,1,2,3,3,3,2,3,2,3,2,1,2,3,1,3,2,3,2,2,2,2,1,3,1,3,3,2,2,2,2,2,3,2,2,3,3,1,2,3,1,2,2,1,2,3,3,2,2,2,3,2,2,3,3,3,1,3,2,3,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[3,1,2]]],20,<<[],[1,1,1]>,[[130014,0],[196,0],[524260,0],[1,0]]>,[[[0,0],[62686,0],[210855,0]],[[-185416,153456],[-112750,-162814],[252892,192351]],[[185416,-153456],[50064,162814],[60541,69793]]]>,<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-13423728532670,-10016829465305,1]>,[[-10016829465313,0],[10016829465309,-1],[4,1]]>,<1759,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[11134098365109657648365668608780534465933068153915603417678612165,-17435688856857849231636193368880854561976878495478333328205262883,1]>,[[-17435688856857849231636193368880854561976878495478333328205263627,0],[17435688856857849231636193368880854561976878495478333328205263255,-1],[372,1]]>*] [x,x^2-x+2199,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,1759],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,5*1759,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,1759],[2,4,4],1,[1.000000000,1.071968267,0.9136686514],<"notfaithful",0>,[3,2]>,<2,2^2*5*1759,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,5,1759],[4,5,5],1,[1.000000000,1.297924736,0.9799924757],<"2.2e2_5_1759.3t2.1",1>,[3,2]>]
x^4-2*x^3-19*x^2+20*x+325 2^4*5281 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 13 x-1 7 [[6764420],[-6764419],[17058943],[-17058942]] 3 [3,3,1,5,3,1,4,5,5,4,5,2,2,3,3,4,5,4,3,3,1,3,5,4,1,4,3,5,2,2,3,3,4,5,4,5,2,3,5,4,5,4,5,4,4,5,3,3,5,1,4,5,4,5,2,5,1,5,4,2,5,4,3,5,4,4,3,2,5,4,4,3,5,2,5,5,4,2,4,1,5,1,3,4,3,5,4,2,4,3,3,3,5,3,3,5,4,1,5,2,5,2,5,1,3,2,3,4,3,2,5,4,4,5,5,4,5,5,4,3,4,1,2,5,5,2,1,3,5,4,5,5,5,4,1,2,4,3,1,2,5,1,5,5,1,5,2,4,3,3,4,1,5,3,3,3,5,4,4,1,5,2,3,3,2,5,3,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+20,2>,<x^2-42*x-4840,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[4,3,2,1]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[3,4,1,2]],[4,3,2,1],[1,3,3,2],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-312266,102144],[-51074,-102144],[1,0]]>,[[[0,1],[1,0]],[[51074,102145],[-1,0]],[[1,-1],[-1,0]],[[-51073,-102145],[1,0]]]>,<3,2,1,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[4,3,2,1],[1,3],[1],[[]],20,<[],[2,2,1]>,[[175759758,128565127],[81370497,128565127],[-175759757,-128565127],[-81370496,-128565127]]>,<5,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-963862502880,5668098919360,-5668098919359,963862502881]>,<5281,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[15783025586226762074656147681855604508717510444116891227392846671162706134,5281,1]>,[[132806770588701537717990481381234435781536650641664588971926955728505887842,0],[-132806770588701537717990481381234435781536650641664588971926955728505887841,0],[-2640,-1],[2641,1]]>*] [x,x^2+1,x^2-x-1320,x^2+5281,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,5281],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^2,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,5281],[6,3,1,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,3]>,<1,5281,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,5281],[1,1,1,6],1,[1.000000000,3.249348813,1.539952360],<"notfaithful",0>,[4,3]>,<1,2^2*5281,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,5281],[6,3,1,6],1,[1.000000000,1.123996961,0.9555946580],<"notfaithful",0>,[4,3]>,<2,2^2*5281,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,3,5,5281],[6,3,1,7],1,[1.000000000,1.210585206,0.8868744601],<"2.2e2_5281.4t3.1",1>,[4,3]>]
x^6-3*x^5+6*x^4-7*x^3+14*x^2-11*x+3 -2^4*3*5^2*151^2 0 3 48 "C2*S4" [[3,2,1,4,6,5],[1,2,5,4,3,6],[2,3,1,5,6,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,4,5,2,3,1]>,<2,3,[1,4,3,2,5,6]>,<2,3,[1,4,5,2,3,6]>,<2,6,[3,2,1,4,6,5]>,<2,6,[3,4,1,2,6,5]>,<3,8,[2,3,1,5,6,4]>,<4,6,[1,5,2,3,4,6]>,<4,6,[6,5,2,3,4,1]>,<6,8,[2,5,1,3,6,4]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 19 x^2+18*x+2 10 [[-1561120178515,-1195302173913],[-1764504338950,825788338639],[-2086739641905,0],[1764504338951,-825788338639],[2086739641906,0],[1561120178516,1195302173913]] 6 [6,3,3,7,10,7,8,4,10,10,7,9,6,5,8,3,10,9,7,8,7,9,10,6,5,8,9,10,9,10,5,8,6,7,6,5,4,7,8,6,6,5,10,9,10,9,5,9,8,7,10,3,7,10,3,10,2,9,4,6,4,10,9,10,5,3,4,4,6,4,10,8,4,7,9,6,8,9,10,5,6,9,6,7,7,10,8,9,10,5,2,8,9,10,5,6,8,10,7,4,5,10,6,10,7,5,10,2,6,4,7,5,10,5,9,10,5,6,6,3,5,5,10,3,9,10,7,8,9,1,9,6,5,5,6,9,6,5,8,6,5,8,5,6,7,10,5,3,5,10,7,6,5,3,5,10,5,8,9,6,10,8,7,8,10,10,7,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3+128*x-384,4>,<x^6+18*x^5+44*x^4-1032*x^3-17536*x^2-103296*x-368384,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-3,2>,<x^6-91*x^4+480*x^3-9517*x^2+24864*x-188537,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,6,3,[[2,3,1,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[2,3,1,5,6,4]],[4,6,5,1,3,2],[1,6,7],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[-464882,387320],[-384846,10372],[521692,-5186],[1,0]]>,[[[0,1],[1,0],[0,0]],[[397442,-276711],[79106,279305],[161345,0]],[[129442,281899],[445181,244983],[362943,0]],[[1,-1],[524287,0],[0,0]],[[-397441,276711],[445182,244983],[362943,0]],[[-129441,-281899],[79107,279305],[161345,0]]]>,<3,4,2,[[1,2,3,4,6,5],[1,2,4,3,5,6]],[[1,2,3,4,5,6],[1,2,4,3,5,6],[1,2,3,4,6,5],[1,2,4,3,6,5]],[1,2,4,3,5,6],[1,3,3,4],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,2,1]>,[[319724232,0],[3,0],[1,0]]>,[[[-847448436,0],[0,0]],[[847448437,0],[0,0]],[[-448406994,1294985206],[0,0]],[[448406995,-1294985206],[0,0]],[[-4,0],[387420486,0]],[[5,0],[3,0]]]>,<5,4,2,[[1,2,4,3,6,5],[2,1,3,4,5,6]],[[1,2,3,4,5,6],[2,1,3,4,5,6],[1,2,4,3,6,5],[2,1,4,3,6,5]],[2,1,3,4,5,6],[1,3,5,6],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,4,1]>,[[-10709946257680,0],[-8155479584975,0],[1,0]]>,[[[-18475097510895,-33079406665604],[0,0]],[[18475097510896,33079406665604],[0,0]],[[8155479584979,0],[-1,0]],[[4,0],[1,0]],[[-3,0],[-1,0]],[[-8155479584978,0],[1,0]]]>,<151,4,2,[[1,2,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[1,2,5,6,3,4],[1,2,6,5,4,3]],[1,2,5,6,3,4],[1,5,5,4],[1],[[[1,2,4,3,6,5]]],20,<<[],[6,149,1]>,[[18070106308939260877755502092721601992047752,5623215402629265919231617718690875966860766],[-927678439516031040231381335881044537727843,-6384700301128802098408279835644551207390021],[1,0]]>,[[[-9873459404667240079303671199833454172959086,0],[0,0]],[[9873459404667240079303671199833454172959087,0],[0,0]],[[927678439516031040231381335881044537727926,6384700301128802098408279835644551207390165],[-1,0]],[[83,144],[1,0]],[[-82,-144],[-1,0]],[[-927678439516031040231381335881044537727925,-6384700301128802098408279835644551207390165],[1,0]]]>*] [x,x^2-x-566,x^2-x+189,x^2-x+1,x^6-32*x^4-42*x^3+256*x^2+672*x-1824,x^3+8*x-6,x^4-4*x^2-6*x+4,0,0,x^4-4*x^2-6*x+4] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,151],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,3*5*151,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,151],[1,11,11,11],1,[1.000000000,2.320105827,1.362386612],<"notfaithful",0>,[6,11]>,<1,5*151,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,151],[5,1,11,11],1,[1.000000000,1.372011157,0.9330277026],<"notfaithful",0>,[6,11]>,<1,3,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,151],[2,11,2,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,11]>,<2,2^2*3^2*5*151,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,5,151],[11,11,12,13],1,[1.000000000,0.8572513642,0.9509233255],<"notfaithful",0>,[6,11]>,<2,2^2*5*151,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,151],[11,1,12,12],1,[1.000000000,1.981635744,1.274746255],<"notfaithful",0>,[6,11]>,<3,2^2*3^2*5*151,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]],[[1],[0],[-1]]],[2,3,5,151],[11,12,13,13],1,[1.000000000,1.313754840,1.193221929],<"notfaithful",0>,[6,11]>,<3,2^2*3*5*151,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[-1]]],[2,3,5,151],[11,12,12,12],1,[1.000000000,0.7548476107,0.8115014909],<"3.2e2_3_5_151.6t11.1",1>,[6,11]>,<3,2^2*3*5^2*151^2,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[0],[-1]],[[1],[1]]],[2,3,5,151],[11,12,11,13],1,[0,0,0],<"3.2e2_3_5e2_151e2.6t11.1",1>,[6,11]>,<3,2^2*3^2*5^2*151^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[1]]],[2,3,5,151],[11,11,11,11],1,[0,0,0],<"notfaithful",0>,[6,11]>]
