x^2-1794 2^3*3*13*23 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1487],[-1487]] 1 [1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-1794,0,1]>,[[0,1],[0,262143]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1794,0,1]>,[[0,-1],[0,1]]>,<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1794,0,1]>,[[0,-1],[0,1]]>,<23,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1794,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,13,23],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*3*13*23,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,13,23],[3,3,3,3],1,[1.000000000,1.609320763,1.073387160],<"1.2e3_3_13_23.2t1.1",1>,[2,1]>]
x^3-x^2+5*x+33 -2^2*8179 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[-33209],[-76667],[-51174]] 2 [2,2,3,3,1,2,3,2,3,3,3,2,3,2,2,1,1,3,1,1,3,2,1,3,3,2,3,2,1,2,3,3,2,2,3,2,2,3,3,2,2,1,3,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,3,2,1,1,3,1,2,1,1,1,3,2,3,2,2,3,3,2,2,2,3,1,2,1,1,3,1,3,1,3,2,2,1,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,1,1,2,2,3,2,3,3,2,3,1,3,2,1,1,3,2,2,2,3,2,2,2,2,2,1,2,2,3,2,2,3,3,2,3,2,2,2,2,2,3,1,2,2,3,1,1,2,2,3,1,3,3,2,1,2,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[38,0],[6,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[406143,-236290],[156586,313173],[244229,488458]],[[-406143,236290],[367701,211115],[280059,35830]]]>,<8179,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-870870243527668262211799989736188954779280899953030227760635532701193327097941,52163379793468421836835716117130083074567626303639353663600736834138282579503,1]>,[[52163379793468421836835716117130083074567626303639353663600736834138282564336,0],[-52163379793468421836835716117130083074567626303639353663600736834138282571919,-1],[7584,1]]>*] [x,x^2-x+2045,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,8179],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,8179,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,8179],[2,4],1,[1.000000000,0.8684399172,0.7715149700],<"notfaithful",0>,[3,2]>,<2,2^2*8179,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,8179],[4,5],1,[1.000000000,0.8781599221,0.9619570484],<"2.2e2_8179.3t2.1",1>,[3,2]>]
x^6-2*x^5+149*x^4-228*x^3+5556*x^2-5920*x+67012 -2^6*23^3*79^3 0 3 12 "D12" [[2,1,4,3,6,5],[3,6,1,5,4,2],[1,5,3,6,2,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,4,1,2,6,5]>,<2,3,[3,6,1,5,4,2]>,<2,3,[1,5,3,6,2,4]>,<3,2,[4,5,2,6,3,1]>,<6,2,[5,1,6,3,4,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 11 x^2+7*x+2 13 [[-12349506142688,0],[5780840286418,-14129071898593],[-6897047431193,0],[-2914863127754,-7528849220304],[1116207144776,14129071898593],[15264369270443,7528849220304]] 2 [1,5,6,6,4,5,4,4,4,3,3,4,3,2,5,4,5,4,4,5,1,4,4,6,6,5,6,6,4,4,5,3,4,5,4,3,4,3,3,3,3,2,6,3,3,6,1,3,2,4,3,3,6,6,1,4,5,1,5,6,4,4,1,1,2,5,1,6,3,3,3,6,4,4,6,4,6,5,4,3,6,6,4,6,3,1,3,6,3,5,4,4,3,5,3,6,3,4,4,5,3,6,4,2,4,3,5,5,3,3,5,4,6,6,6,6,4,1,5,6,4,3,6,3,5,4,4,3,4,2,5,4,4,6,1,4,2,4,4,5,3,1,1,6,3,4,3,5,5,3,1,4,5,3,4,4,4,3,4,2,1,6,3,4,4,2,5,1] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-74,2>,<x^3+294*x^2-192916*x+11194184,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,2,[[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4]],[1,2,3,4,5,6],[1,3],[2],[[[2,1,5,6,3,4]]],20,<[],[187234,94134,1]>,[[73877,-2],[1,2],[-27700,-6309],[19360,6311],[-23526,6309],[23526,-6311]]>,<3,3,1,[[6,5,2,1,3,4]],[[1,2,3,4,5,6],[6,5,2,1,3,4],[4,3,5,6,2,1]],[6,5,2,1,3,4],[1,5,5],[1],[[]],20,<[],[1,2,0,1]>,[[555719215,157240240,416789411],[446237965,-359056328,-246452260],[386900338,-55543546,580740620],[-573594938,-261476782,-139630837],[329123165,414599874,-334288360],[17875724,104236542,-277158574]]>,<19,2,1,[[3,2,1,4,6,5]],[[1,2,3,4,5,6],[3,2,1,4,6,5]],[3,2,1,4,6,5],[1,4],[1],[[]],20,<[],[2,18,1]>,[[795374519250556213110516,16931586300966167757779649],[2458016718522241666967843,0],[-3253391237772797880078358,-16931586300966167757779649],[9448968320350293494338454,0],[-441130514804524934906294,805664792095676910660989],[884260472755799386187736,-805664792095676910660989]]>,<23,4,2,[[2,1,4,3,6,5],[5,6,3,4,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,3,4,1,2],[6,5,4,3,2,1]],[5,6,3,4,1,2],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[5,21,1]>,[[382489500813495625331190585,0],[629263405323737950539704702,0],[1,0]]>,[[[-420237044947828239682228253,-285187694471400738482673433],[4100023004826763645867956,14602949034286493787589041]],[[-691630870557619647885981850,-340999649544892203575397809],[-4100023004826763645867956,-14602949034286493787589041]],[[-629263405323737950539704685,0],[-1,0]],[[17,0],[1,0]],[[420237044947828239682228237,285187694471400738482673433],[-4100023004826763645867957,-14602949034286493787589041]],[[-395261555453228744498208665,340999649544892203575397809],[4100023004826763645867957,14602949034286493787589041]]]>,<79,4,2,[[2,1,4,3,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[3,4,1,2,5,6],[4,3,2,1,6,5]],[3,4,1,2,5,6],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,78,1]>,[[-42198068807154186519516021165221809953,0],[-9540285570928386409345126025408202343,0],[1,0]]>,[[[-37916050839519428398593953962168978546,8222486078662947522598804296088132284],[558185374676141865997612171151180809,-553081554348924019397413771774873949]],[[33215039498212931419876280675734661345,36603412510891098821072941398414424250],[-558185374676141865997612171151180809,553081554348924019397413771774873949]],[[37916050839519428398593953962168978510,-8222486078662947522598804296088132284],[-558185374676141865997612171151180810,553081554348924019397413771774873949]],[[-42755325069141317829221406701142863724,-36603412510891098821072941398414424250],[558185374676141865997612171151180810,-553081554348924019397413771774873949]],[[9540285570928386409345126025408202380,0],[-1,0]],[[37,0],[1,0]]]>,<877,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-7215485197293866160527850015794301232253686366959822215821,23734384933984266123203520066228437813630707979403393371382,-26315473889251739556462356003129190434137420536075117126508,2581088955267473433258835936900752620506712556671723755127,13963331779259699425690932519921752085155375297663934504,15119550540533712910105867491641201201160647351486468387]>*] [x,x^2-79,x^2+1817,x^2-x+6,x^3-x^2-4*x+2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,19,23,79,877],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^2*79,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,19,23,79,877],[7,1,3,3,7,1],1,[1.000000000,1.712991811,1.180696823],<"notfaithful",0>,[6,3]>,<1,2^2*23*79,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,19,23,79,877],[7,1,1,7,7,1],1,[1.000000000,1.474016703,1.081185121],<"notfaithful",0>,[6,3]>,<1,23,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,19,23,79,877],[1,1,2,7,2,1],1,[1.000000000,1.965202054,1.403216905],<"notfaithful",0>,[6,3]>,<2,2^2*79,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,19,23,79,877],[7,5,3,3,7,1],1,[1.000000000,0.8805969600,1.109810529],<"notfaithful",0>,[6,3]>,<2,2^2*23^2*79,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[-1]],[[1]],[[1],[1]]],[2,3,19,23,79,877],[7,5,3,8,9,1],1,[1.000000000,1.738044391,1.250237990],<"2.2e2_23e2_79.6t3.4",1>,[6,3]>]
x^6-2*x^5-23*x^4+50*x^3+65*x^2-116*x+2 2^9*3^2*367^2 6 0 12 "D12" [[1,5,6,4,2,3],[2,1,4,3,6,5],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,3,2,1,6,5]>,<2,3,[4,6,5,1,3,2]>,<2,3,[1,5,6,4,2,3]>,<3,2,[3,5,6,2,4,1]>,<6,2,[5,1,4,6,3,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 23 x^2+21*x+5 8 [[-33421142978,0],[-38556528419,26846110748],[-21238227146,26846110748],[27571541030,0],[24163028121,-26846110748],[-36829655887,-26846110748]] 1 [4,2,6,5,6,6,5,3,4,6,1,6,4,3,4,3,3,6,2,5,1,4,3,4,4,3,4,3,3,4,4,6,4,3,3,5,3,3,5,3,2,6,4,4,6,5,6,4,3,6,1,1,4,3,5,1,2,5,2,4,6,6,3,5,5,2,3,4,3,3,5,5,1,3,3,4,6,6,1,4,3,3,4,5,5,6,4,4,3,4,3,4,5,3,2,5,6,5,3,6,3,3,3,4,6,5,3,4,5,1,5,3,1,6,5,4,3,5,6,3,3,4,6,2,6,2,3,1,4,3,3,4,4,6,5,4,6,6,3,5,3,3,5,2,2,4,3,5,3,4,3,5,6,5,2,5,4,4,4,3,3,5,4,3,5,5,4,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+20,2>,<x^3-26*x^2-1492*x+14984,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[3],[[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[-305906,0],[-248760,0],[1,0]]>,[[[0,0],[1,0]],[[248760,0],[262143,0]],[[-235990,-98841],[1,0]],[[12770,-98841],[262143,0]],[[-137149,98841],[1,0]],[[111611,98841],[262143,0]]]>,<3,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,2,1]>,[[-1175923569,694028556],[-637617609,1069973274],[1,0]]>,[[[1244206884,-534986635],[0,0]],[[-1172604247,534986635],[0,0]],[[637617611,-1069973272],[-1,0]],[[2,2],[1,0]],[[1707590881,-2],[-1,0]],[[1069973272,1069973272],[1,0]]]>,<367,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[822114863857623145497163238668888028824894954631076,168635326035990739665109425069299166656207080654829,1]>,[[-30201419125403852150539365207082964651350701358190,0],[757294171302834483349022782085777144839949081882681,0],[-168635326035990739665109425069299166656207080654572,-1],[257,1],[618860264392247595834452722223560942835092702586299,-1],[787495590428238335499562147292860109491299783241128,1]]>,<2099,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,3],[1],[[]],20,<[],[2,2095,1]>,[[-349508605952900319422768209940937635592470969579339657820748781539,-948051015883072846934666852047145313342843580909673152395143087897],[739687006639362336957164704869356071840221340559621369259264605235,260808923721923691681499608369483490275704058864957227824268741325],[-5256493633414847962637791335870116011531891170365945919772586442,-260808923721923691681499608369483490275704058864957227824268741325],[-1119352420058994658566285617126034276064907929199171188858235256045,948051015883072846934666852047145313342843580909673152395143087897],[471277990339219217048035548756162872333594894028302100744686846,207013237849973274897420240131044705314846414637113428194906938],[40218267106187255516930582731627787951294843183407825541518406,-207013237849973274897420240131044705314846414637113428194906938]]>*] [x,x^2-x-275,x^2-2,x^2-2202,x^3-x^2-9*x+12,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,367,2099],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3*367,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,367,2099],[3,7,7,3],1,[1.000000000,1.066845413,0.8623461914],<"notfaithful",0>,[6,3]>,<1,2^3,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,367,2099],[7,2,1,2],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[6,3]>,<1,2^3*3*367,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,367,2099],[7,7,7,1],1,[1.000000000,0.8905279379,0.9711059096],<"notfaithful",0>,[6,3]>,<2,3*367,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,367,2099],[3,7,7,3],1,[1.000000000,1.107123935,1.109205062],<"notfaithful",0>,[6,3]>,<2,2^6*3*367,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,367,2099],[7,8,9,3],1,[1.000000000,0.9562396575,0.9303924072],<"2.2e6_3_367.6t3.3",1>,[6,3]>]
x^6-2*x^5-75*x^4-500*x^3+2020*x^2+21888*x-915008 31^3*503^3 2 2 12 "D12" [[2,1,4,3,6,5],[6,5,4,3,2,1],[1,4,5,2,3,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,5,4,3,2,1]>,<2,3,[2,1,4,3,6,5]>,<2,3,[5,6,3,4,1,2]>,<3,2,[5,4,1,6,3,2]>,<6,2,[4,1,2,5,6,3]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 29 x^2+24*x+2 10 [[-104526197353781,0],[66518944906098,92587288063035],[114975306959460,110402825681931],[-52039802105737,-92587288063035],[-10449109605678,-110402825681931],[-14479142800360,0]] 4 [1,6,3,5,6,6,4,3,6,4,4,4,3,6,5,4,1,6,5,3,2,2,6,4,1,3,3,3,3,5,4,5,4,4,3,4,3,3,4,5,4,4,3,3,6,2,3,6,3,6,5,4,4,4,5,6,4,6,4,5,1,5,3,3,4,5,4,4,4,3,4,3,6,5,5,2,2,5,6,4,3,1,3,2,3,5,4,4,4,6,3,3,4,4,4,1,6,5,4,3,1,6,3,2,4,3,2,3,1,6,5,4,3,4,6,6,4,2,5,5,5,2,4,3,1,5,4,2,5,3,6,4,3,4,6,3,4,4,2,4,5,4,4,2,4,5,5,5,4,4,3,2,2,1,3,4,1,4,3,6,4,6,4,5,1,4,6,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+646,2>,<x^3-154*x^2-253928*x+72887296,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-13973,1947,10388,-13284,3586,11338]>,<17,2,1,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,4,3,6,5],[1,4],[1],[[]],20,<[],[3,16,1]>,[[271045971609268102825965,0],[-1384148805156732496611442,0],[-1179712540611090657176410,1544127872509630865365434],[-1500370060879749368613748,-1544127872509630865365434],[-2539402268450325682025,106275111323954712534052],[-29434133655666452296786,-106275111323954712534052]]>,<31,4,2,[[2,1,4,3,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[4,3,2,1,5,6],[3,4,1,2,6,5]],[4,3,2,1,5,6],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[3,29,1]>,[[-304919034134875725063827888585,0],[-190303458658490705325725472764,0],[1,0]]>,[[[-81161570926373165018121533320,93625601106278396670139752157],[-6300013401154222163641086789,-4170804755246911217270812446]],[[109703722387073459717093289646,7565773957729204118420226873],[6300013401154222163641086789,4170804755246911217270812446]],[[-109703722387073459717093289671,-7565773957729204118420226873],[-6300013401154222163641086790,-4170804755246911217270812446]],[[-109141887732117540307603939469,-93625601106278396670139752157],[6300013401154222163641086790,4170804755246911217270812446]],[[190303458658490705325725472790,0],[-1,0]],[[26,0],[1,0]]]>,<461,2,1,[[4,2,3,1,6,5]],[[1,2,3,4,5,6],[4,2,3,1,6,5]],[4,2,3,1,6,5],[1,4],[1],[[]],20,<[],[2,460,1]>,[[7450395863081511896600081249648972755855323537545912,-49585213347135070342623844656411591416923370801245551],[-76372357067628223719798736492169402464756180888586030,0],[-83396356228983210495062860636388396696941222128807962,0],[75945960365901698598462779386739423941085898591262051,49585213347135070342623844656411591416923370801245551],[-5941923474856324236278082625248258541605270928077,-197071697803730419136803621002981685408190504837422],[142459161079749950288850239395694460195471056018341,197071697803730419136803621002981685408190504837422]]>,<503,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[497076089912538551854621751148241117095735615213434371,-205058507418966697863504607264172914658224282558721245,1]>,[[205058507418966697863504607264172914658224282558721643,-1],[398,1],[49766148066715442838798311951992877213428492816591637,-53816393353146335531663690710720676939442410467335],[-71527716485888576962666988476638637381969796903790654,53816393353146335531663690710720676939442410467335],[-133530790933078120900837618787534277276254485654930988,-53816393353146335531663690710720676939442410467334],[-49766148066715442838798311951992877213428492816592034,53816393353146335531663690710720676939442410467334]]>,<773,2,1,[[2,1,3,4,6,5]],[[1,2,3,4,5,6],[2,1,3,4,6,5]],[2,1,3,4,6,5],[1,4],[1],[[]],20,<[],[2,772,1]>,[[2829949776925260430117717769372114084780530776842788159455,588226762943005010226827378473318200260452740949111186603],[1287553917677553220587445951412925167962244538448834467617,-588226762943005010226827378473318200260452740949111186603],[1684658678894008922186893514643710256029676348481709198130,0],[1309810421457001026204045844502834561269363259436119674809,0],[544745912967458612308803939206068995376097241838867826,64619968999462581062429591220991127117779069445608677],[3200350562688630650799318181544316740666906142653448841,-64619968999462581062429591220991127117779069445608677]]>*] [x,x^2-x+126,x^2-x-3898,x^2-x+8,x^3-x^2+2*x+8,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17,31,461,503,773],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,503,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,17,31,461,503,773],[1,3,3,3,7,3],1,[1.000000000,2.941610553,1.483276948],<"notfaithful",0>,[6,3]>,<1,31*503,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,17,31,461,503,773],[1,1,7,1,7,1],1,[1.000000000,1.276171381,1.161525849],<"notfaithful",0>,[6,3]>,<1,31,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,17,31,461,503,773],[1,2,7,2,1,2],1,[1.000000000,1.692740092,1.252979949],<"notfaithful",0>,[6,3]>,<2,503,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,17,31,461,503,773],[1,3,3,3,7,3],1,[1.000000000,1.968734999,1.527227208],<"notfaithful",0>,[6,3]>,<2,31^2*503,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[2,17,31,461,503,773],[1,3,7,3,8,3],1,[1.000000000,5.548015259,1.967061530],<"2.31e2_503.6t3.1",1>,[6,3]>]
