x^3-33*x-44 3^3*7*11^2 3 0 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 17 x-1 5 [[-348991],[33429],[315562]] 1 [2,1,3,1,2,2,1,2,2,2,2,3,3,1,3,2,3,2,3,2,2,3,3,3,2,3,2,2,1,2,3,3,2,2,2,1,2,3,1,3,2,2,2,3,2,2,3,2,3,2,2,2,2,3,3,2,3,2,1,2,2,3,2,1,2,2,1,3,2,2,3,2,2,1,3,1,2,2,2,2,3,3,2,2,2,2,2,3,1,3,1,3,3,2,3,3,3,1,2,3,3,2,3,2,3,2,3,3,2,2,2,3,2,2,3,2,2,3,2,2,2,3,3,2,2,2,1,3,2,2,1,2,3,1,3,2,1,2,3,2,2,2,3,2,2,1,2,3,2,2,3,1,3,1,3,2,3,1,2,3,2,2,3,1,2,3,3,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,1,[[1,3,2]],[[1,2,3],[1,3,2]],[1,3,2],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-154476,0],[-253551,-137290],[-116261,137290]]>,<3,6,6,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,2,3],[1,2,3],[1,2],[[[2,3,1],[1,3,2]],[[2,3,1]]],20,<[],[-1459864758,-892809873,497681151,1321117290,1185386067,-205104957,1]>,[[-513954649,-58231737,329121964,359926932,-181834009,414040241],[480168176,149456226,468243496,339456755,255550142,380867931],[33786473,-91224489,364896007,462877780,-73716133,367353295]]>,<7,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-34343736369975249,18753766380572643,1]>,[[18753766380572633,0],[-18753766380572638,-1],[5,1]]>,<11,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,7,1]>,[[-44,0],[-33,0],[0,0],[1,0]]>,[[[257935591686355077187,73695883338958593482],[-7130855070902266129,6699625758087144862],[18855200147554769637,-3349812879043572431]],[[0,0],[1,0],[0,0]],[[-257935591686355077187,-73695883338958593482],[7130855070902266128,-6699625758087144862],[-18855200147554769637,3349812879043572431]]]>*] [x,x^2-x-5,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*7,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,11],[2,4,4,2],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[3,2]>,<2,3^3*7*11^2,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,7,11],[2,4,5,4],1,[1.000000000,1.278915545,1.050938392],<"2.3e3t7t11e2.6.1.3t2.1",1>,[3,2]>]
x^2+6749 -2^2*17*397 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[28],[-28]] 2 [1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[6750,2,1]>,[[1,1],[-1,-1]]>,<17,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[6749,0,1]>,[[0,-1],[0,1]]>,<397,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[6749,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,17,397],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*17*397,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,17,397],[3,3,3],1,[1.000000000,1.606125395,1.148339704],<"1.2e2t17t397.2.1.2t1.1",1>,[2,1]>]
x^2-x+4256 -29*587 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[3962],[-3961]] 2 [1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<29,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[4466,29,1]>,[[-14,-1],[15,1]]>,<587,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[90398,587,1]>,[[-293,-1],[294,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[29,587],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,29*587,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[29,587],[3,3],1,[1.000000000,1.444717966,1.177409949],<"1.29t587.2.1.2t1.1",1>,[2,1]>]
