x^2-x-201 5*7*23 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-30],[31]] 1 [2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-195,5,1]>,[[-2,-1],[3,1]]>,<7,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-189,7,1]>,[[-3,-1],[4,1]]>,<23,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-69,23,1]>,[[-11,-1],[12,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,7,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*7*23,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,7,23],[3,3,3],1,[1.000000000,1.025957054,0.8988128232],<"1.5_7_23.2t1.1",1>,[2,1]>]
x^5-2*x^4-x^3+3*x^2+2*x-1 2^2*7681 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 499 x-1 5 [[-5985500647211],[968780308100],[-12067494863800],[10575273226467],[6508941976446]] 3 [3,6,6,4,6,5,5,6,2,6,7,7,5,5,7,4,5,4,7,7,6,6,7,2,6,3,4,5,2,5,6,5,6,6,4,7,4,5,5,7,2,6,2,5,2,5,5,7,4,2,4,6,7,2,3,6,3,5,3,5,6,7,3,7,3,3,4,5,7,4,5,7,5,6,3,4,4,7,2,3,6,4,6,2,4,7,7,7,6,5,6,2,5,3,1,2,5,7,5,5,5,5,7,6,6,7,2,5,5,7,5,2,6,5,5,6,3,5,7,3,5,6,5,3,4,6,7,4,6,2,3,5,4,5,5,4,6,6,6,4,5,3,6,7,6,5,4,3,6,7,6,5,4,5,5,5,7,5,5,7,6,3,6,3,3,3,5,7] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,6,3,[[1,2,4,5,3],[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4],[1,2,4,5,3]],[2,1,3,5,4],[1,3,4],[1],[[[1,2,4,5,3]]],20,<<[],[1,1,1]>,[[-261382,0],[-86188,0],[-136440,0],[1,0]]>,[[[-141254,-146067],[0,0],[0,0]],[[4813,146067],[0,0],[0,0]],[[1,0],[1,0],[0,0]],[[-363943,184248],[461808,399329],[125338,250676]],[[500385,-184248],[62479,124959],[398950,273612]]]>,<7681,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[17,7680,1]>,[[23805284406554345234351343015857726163899391002393393228054379957273679495988,0],[-224215266126705819101670758234695525125135355128281975288177772119105759116538,0],[1,0]]>,[[[24636464272056983798972518363634870054350399889441736756523493150379040991586,0],[0,0]],[[54245912773380337939223636916802888782534793010898294962527625591825510538724,77084110855159228366843007643376234481776828674998114307869710977085387698145],[0,0]],[[207825178772310529607952782642636616424250167759759683478496172858519259032683,-77084110855159228366843007643376234481776828674998114307869710977085387698145],[0,0]],[[224215266126705819101670758234695525125135355128281975288177772119105759121574,0],[-1,0]],[[5036,0],[1,0]]]>*] [x,x^2-x-1920,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7681],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,7681,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7681],[1,8],1,[1.000000000,3.804227243,1.591281119],<"notfaithful",0>,[5,5]>,<4,2^2*7681^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[1]]],[2,7681],[8,9],1,[0,0,0],<"4.2e2_7681e3.10t12.1",1>,[5,5]>,<4,2^2*7681,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[-1],[-1],[1]]],[2,7681],[8,9],1,[1.000000000,0.7058491987,0.9194164057],<"4.2e2_7681.5t5.1",1>,[5,5]>,<5,2^4*7681^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[-1]],[[1],[-1],[-1],[1]]],[2,7681],[8,9],1,[0,0,0],<"5.2e4_7681e2.10t13.1",1>,[5,5]>,<5,2^4*7681^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[0],[-1]]],[2,7681],[8,9],1,[0,0,0],<"5.2e4_7681e3.6t14.1",1>,[5,5]>,<6,2^4*7681^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[2],[1]],[[1],[1],[-1],[-1]]],[2,7681],[8,9],1,[0,0,0],<"6.2e4_7681e3.20t35.1",1>,[5,5]>]
x^4-2*x^3-23*x^2-42*x-21 -2^6*3^2*7*11^2 2 1 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 29 x-1 5 [[-387729],[5252262],[5580637],[10065981]] 4 [3,4,5,4,1,4,5,5,3,1,5,3,5,3,5,3,4,4,2,3,5,1,5,4,4,4,5,3,1,1,1,5,1,5,2,2,5,1,4,4,2,5,3,3,1,5,3,5,5,5,3,2,5,4,4,1,5,4,1,3,5,4,5,5,4,3,2,3,3,4,4,1,5,2,1,5,3,5,1,5,4,3,1,4,4,2,1,3,4,3,4,4,3,3,2,4,5,4,5,2,3,1,5,3,3,4,4,5,3,5,4,2,2,4,3,2,4,5,3,3,5,3,4,2,4,2,3,5,5,4,3,2,3,3,5,5,5,5,5,3,5,2,3,3,5,5,4,5,4,3,1,4,1,4,2,3,2,4,5,4,1,3,2,4,2,5,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+46,2>,<x^2+126*x+4032,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[135580,64550],[-306352,435876],[1,0]]>,[[[0,1],[1,0]],[[-217936,88413],[262143,0]],[[-170769,-17383],[244761,153385]],[[-135581,-71031],[17383,108759]]]>,<3,4,2,[[2,1,4,3],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[2,1,3,4]],[1,2,4,3],[1,2,4,4],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-1443693423,0],[-1443693423,0],[1,0]]>,[[[1443693423,0],[-1,0]],[[0,0],[1,0]],[[400442563,-621102927],[545020145,545020145]],[[1642648417,621102927],[-545020145,-545020145]]]>,<7,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,6,1]>,[[7991638542218086,0],[7991638542218086,0],[1,0]]>,[[[-4570203409082633,-29452762992601226],[0,0]],[[12561841951300721,29452762992601226],[0,0]],[[-7991638542218086,0],[-1,0]],[[0,0],[1,0]]]>,<11,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[175016054467292855564,2765076368592363870,1]>,[[-2765076368592363862,-1],[8,1],[62314114608001530498,-6974349184157769549],[-59549038239409166642,6974349184157769549]]>*] [x,x^2-22,x^2-x+2,x^2+154,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*11,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,11],[6,1,1,6],1,[1.000000000,1.274160922,1.099926244],<"notfaithful",0>,[4,3]>,<1,7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,11],[1,4,6,1],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[4,3]>,<1,2^3*7*11,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,11],[6,3,6,6],1,[1.000000000,1.012627002,0.9377801114],<"notfaithful",0>,[4,3]>,<2,2^3*3^2*7*11,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]],[[1],[-1]]],[2,3,7,11],[6,7,6,8],1,[1.000000000,0.6827201552,0.7914120193],<"2.2e3_3e2_7_11.4t3.3",1>,[4,3]>]
x^4-2*x^3-17*x^2-48*x-18 -2^6*3^2*7*11^2 2 1 8 "D8" [[3,4,1,2],[1,2,4,3]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[2,1,3,4]>,<4,2,[4,3,1,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 113 x-1 5 [[533069711],[7982805234],[-155576124],[-8360298819]] 4 [1,4,5,1,1,4,5,5,3,2,5,3,5,3,5,3,4,4,2,3,5,2,5,4,4,4,5,3,2,1,2,5,1,5,1,1,5,1,4,4,2,5,3,3,2,5,3,5,5,5,3,1,5,4,4,2,5,4,2,3,5,4,5,5,4,3,2,3,3,4,4,2,5,1,1,5,3,5,1,5,4,3,2,4,4,2,1,3,4,3,4,4,3,3,2,4,5,4,5,1,3,2,5,3,3,4,4,5,3,5,4,1,2,4,3,2,4,5,3,3,5,3,4,2,4,1,3,5,5,4,3,1,3,3,5,5,5,5,5,3,5,1,3,3,5,5,4,5,4,3,2,4,1,4,2,3,1,4,5,4,1,3,1,4,2,5,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+40,2>,<x^2+138*x+5328,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[3],[[[2,1,4,3]]],20,<[],[-82818,116964,1]>,[[0,1],[-116964,262143],[59979,59980],[56987,5556]]>,<3,4,2,[[2,1,4,3],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[2,1,3,4]],[1,2,4,3],[1,2,4,4],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[39388809,0],[-481231137,0],[1,0]]>,[[[387420495,0],[3,0]],[[-493409028,0],[387420486,0]],[[516077803,-505467687],[430486931,430486931]],[[1527013177,505467687],[-430486931,-430486931]]]>,<7,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-15983277084436172,-7991638542218086,1]>,[[7499037643120021,0],[-15490676185338107,0],[7991638542218087,-1],[1,1]]>,<11,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-158977702852697876323,240462411078968189353,1]>,[[-240462411078968189346,-1],[7,1],[92936864203610088513,26906880637554897637],[147525546875358100828,-26906880637554897637]]>*] [x,x^2-22,x^2-x+2,x^2+154,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,2^3*11,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,11],[6,1,1,6],1,[1.000000000,1.274160922,1.099926244],<"notfaithful",0>,[4,3]>,<1,7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,11],[1,4,6,1],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[4,3]>,<1,2^3*7*11,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,11],[6,3,6,6],1,[1.000000000,1.012627002,0.9377801114],<"notfaithful",0>,[4,3]>,<2,2^3*3^2*7*11,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,3,7,11],[6,7,6,6],1,[1.000000000,2.208890658,1.366104476],<"2.2e3_3e2_7_11.4t3.4",1>,[4,3]>]
x^4-x^3-3*x^2-71*x+227 83^2*197 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 29 x-1 6 [[-275100318],[-87183674],[-73170085],[-159369243]] 3 [5,4,5,2,4,5,4,3,2,1,4,2,1,3,3,3,2,2,5,5,5,5,1,5,3,3,5,3,2,4,1,4,3,5,5,4,3,3,4,1,5,3,1,1,1,4,5,3,4,4,3,3,4,3,3,5,5,5,4,5,5,1,5,3,2,4,3,5,3,4,1,4,5,4,3,4,5,4,1,2,1,5,1,3,5,2,3,3,5,4,5,1,3,3,1,3,4,1,4,5,4,2,1,3,5,5,3,4,5,3,1,3,2,1,3,5,5,5,3,4,3,4,5,3,2,4,5,5,1,2,2,5,2,4,5,3,1,2,3,5,1,3,5,3,3,2,1,4,4,4,5,2,5,5,4,4,5,4,5,4,5,4,5,5,4,4,2,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+95,2>,<x^2+121*x+3217,3>]*],[*[4],"CYC",0,5*]] [*<3,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[2,2,1]>,[[-349637615,0],[174606608,0],[-158273395,141631590],[-54116086,-141631590]]>,<83,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-2363804161088934700813175671657914652,62101851072218857340740986693113707752,1]>,[[-62101851072218857340740986693113707720,-1],[32,1],[92020602490779840862943053932512813799,-549680392862864759093713476395709768],[-29918751418560983522202067239399106110,549680392862864759093713476395709768]]>,<197,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-3746286235939921789735677928995561312614249223,-3324342997161061202563268673841734665948626501,1]>,[[1540211311104929633516594390276671138677806976,0],[2885852939067714688277272792191795890970882611,0],[3324342997161061202563268673841734665948626658,-1],[157,1]]>*] [x,x^2-x+21,x^2-x-49,x^2-x+4088,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,83,197],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,83,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,83,197],[1,6,1],1,[1.000000000,1.034503778,0.8892453794],<"notfaithful",0>,[4,3]>,<1,197,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,83,197],[4,1,6],1,[1.000000000,0.4750008885,0.6996107555],<"notfaithful",0>,[4,3]>,<1,83*197,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,83,197],[3,6,6],1,[1.000000000,2.162023378,1.269260084],<"notfaithful",0>,[4,3]>,<2,83*197,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[3,83,197],[3,6,6],1,[1.000000000,0.6546899393,0.9115735864],<"2.83_197.4t3.2",1>,[4,3]>]
