x^2-215 2^2*5*43 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 19 x-1 5 [[-62429],[62429]] 1 [1,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-214,2,1]>,[[1,1],[-1,-1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-215,0,1]>,[[0,-1],[0,1]]>,<43,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-215,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,5,43],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*5*43,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,5,43],[3,3,3],1,[1.000000000,0.6106860558,0.8703358070],<"1.2e2_5_43.2t1.1",1>,[2,1]>]
x^4-2*x^3-22*x^2+23*x+121 5^2*2029 4 0 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[2,1,3,4]>,<4,2,[4,3,1,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 11 x-1 7 [[6869170],[-6869169],[8458718],[-8458717]] 1 [5,3,3,5,1,3,5,4,5,2,2,5,1,5,3,3,4,1,3,4,5,4,3,1,3,1,3,5,4,5,3,2,5,2,4,4,3,5,3,3,1,2,4,5,3,4,4,5,3,4,5,4,4,2,5,5,4,4,3,2,5,3,3,1,3,5,1,3,5,4,5,4,5,3,4,3,4,3,4,2,4,4,2,3,4,5,4,3,4,5,3,4,3,1,2,5,4,1,5,1,3,5,5,4,4,3,3,5,4,2,3,3,5,4,2,4,3,5,3,2,2,5,5,3,2,2,4,4,3,3,2,5,1,5,4,4,5,3,5,1,2,2,5,5,2,4,5,3,4,5,5,4,3,3,3,2,1,1,5,4,5,5,3,4,5,3,4,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+23,2>,<x^2-48*x-1453,3>]*],[*[4],"CYC",0,5*]] [*<3,2,1,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[4,3,2,1],[1,3],[1],[[]],20,<[],[2,2,1]>,[[-452341755,-208732304],[34877148,-208732304],[452341756,208732304],[-34877147,208732304]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[-35636606890090,-30212607268725],[-33050373169400,31158529235615],[1,0]]>,[[[33050373169404,-31158529235612],[-1,0]],[[4,3],[1,0]],[[-3,-3],[-1,0]],[[-33050373169403,31158529235612],[1,0]]]>,<2029,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2028,1]>,[[676548945278144778392823270693280857079426682786568831182243626060,0],[2029,0],[1,0]]>,[[[337903513400124754859553881189868888745627743446771930909631569425,504402676450674061866097885556088780920279410746901968748861330785],[0,0]],[[-337903513400124754859553881189868888745627743446771930909631569424,-504402676450674061866097885556088780920279410746901968748861330785],[0,0]],[[-1014,0],[-1,0]],[[1015,0],[1,0]]]>*] [x,x^2-x-1,x^2-x-507,x^2-x-2536,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,2029],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,2029],[3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,2029,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,2029],[1,1,6],1,[1.000000000,1.183280423,0.9265395510],<"notfaithful",0>,[4,3]>,<1,5*2029,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,2029],[3,6,6],1,[1.000000000,1.957544243,1.234467632],<"notfaithful",0>,[4,3]>,<2,5*2029,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[3,5,2029],[3,6,6],1,[1.000000000,0.8364904195,0.9288780258],<"2.5_2029.4t3.1",1>,[4,3]>]
x^4-32*x^2+283 2^4*3^2*283 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 7 [[-314385341],[-278106987],[278106987],[314385341]] 3 [3,1,5,4,5,2,5,1,5,3,1,4,3,2,3,5,5,1,1,5,1,2,5,3,1,3,4,3,4,3,4,3,3,2,5,4,2,4,3,5,5,1,3,4,5,4,4,1,5,4,3,3,4,5,3,5,3,4,4,3,4,3,4,5,4,3,2,1,5,2,3,3,2,2,4,5,3,4,5,4,5,1,3,2,1,5,5,2,5,2,3,5,4,5,4,3,5,3,4,4,4,5,5,5,2,2,3,5,3,4,4,4,3,1,2,5,4,5,5,5,1,4,3,5,2,3,2,3,4,4,2,3,4,4,3,1,3,1,5,5,1,5,4,5,1,3,2,5,4,3,1,5,4,5,2,5,4,5,4,3,3,5,1,3,5,5,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-192,2>,<x^2-40752,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[2,1,3,4],[4,3,2,1]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[1,2,4,3],[4,3,1,2]],[4,3,2,1],[1,2,3,4,5],[2],[[[2,1,3,4],[2,1,4,3]]],20,<<[],[1,1,1]>,[[260362,-470790],[488616,-153368],[-156932,164068],[449394,499326],[1,0]]>,[[[87407,-87350],[38,-20],[-87403,87328],[-13,-11]],[[-87407,87350],[-38,20],[87403,-87328],[13,11]],[[12519,-49902],[-37430,-112398],[-12530,49879],[112334,74895]],[[-12519,49902],[37430,112398],[12530,-49879],[-112334,-74895]]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[151963464,97977345,1]>,[[-293932030,387420486],[5,3],[-5,387420486],[293932030,3]]>,<283,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,282,1]>,[[-3806957217298312785928026553208788061208625556768,0],[0,0],[1,0]]>,[[[2313536666246921606666778273238519621356484968747,4174588755024528224861509405074084726699628990661],[0,0]],[[-2313536666246921606666778273238519621356484968747,-4174588755024528224861509405074084726699628990661],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>*] [x,x^2-x+1,x^2-283,x^2+849,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,283],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,283],[3,6,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,2^2*283,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,283],[6,1,6],1,[1.000000000,1.155462956,1.058317161],<"notfaithful",0>,[4,3]>,<1,2^2*3*283,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,283],[6,6,6],1,[1.000000000,1.509468531,1.043708843],<"notfaithful",0>,[4,3]>,<2,2^4*3*283,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,283],[6,7,8],1,[1.000000000,1.487818332,1.118907559],<"2.2e4_3_283.4t3.2",1>,[4,3]>]
x^4+32*x^2+283 2^4*3^2*283 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 6 [[1750829168],[1306780123],[-1306780123],[-1750829168]] 3 [3,3,5,4,5,2,5,2,5,3,2,4,3,1,3,5,5,1,2,5,1,1,5,3,1,3,4,3,4,3,4,3,3,1,5,4,2,4,3,5,5,1,3,4,5,4,4,2,5,4,3,3,4,5,3,5,3,4,4,3,1,3,4,5,4,3,1,1,5,2,3,3,1,2,4,5,3,4,5,4,5,1,3,2,2,5,5,2,5,1,3,5,4,5,4,3,5,3,4,4,4,5,5,5,1,2,3,5,3,4,4,4,3,2,1,5,4,5,5,5,1,4,3,5,1,3,2,3,4,4,1,3,4,4,3,1,3,2,5,5,2,5,4,5,1,3,2,5,4,3,1,5,4,5,1,5,4,5,4,3,3,5,2,3,5,5,2,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+192,2>,<x^2-40752,3>]*],[*[4],"CYC",0,5*]] [*<2,8,4,[[2,1,3,4],[4,3,2,1]],[[1,2,3,4],[2,1,4,3],[4,3,2,1],[1,2,4,3],[4,3,1,2]],[4,3,2,1],[1,2,3,4,5],[2],[[[2,1,3,4],[2,1,4,3]]],20,<<[],[1,1,1]>,[[-378454,-500518],[-478008,-308056],[-172132,494724],[-212366,165918],[1,0]]>,[[[-116497,29178],[-87306,-87316],[-116459,29120],[-58253,-116523]],[[116497,-29178],[87306,87316],[116459,-29120],[58253,116523]],[[-113193,108802],[75258,-117182],[56094,-23945],[77806,2943]],[[113193,-108802],[-75258,117182],[-56094,23945],[-77806,-2943]]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[235457025,0],[97977345,97977345],[1,0]]>,[[[-293932030,-293932030],[387420486,0]],[[5,5],[3,0]],[[-5,-5],[387420486,0]],[[293932030,293932030],[3,0]]]>,<283,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[3806957217298312785928026553208788061208625556768,0,1]>,[[5156073250676420167728516757486824443853544362601,0],[-5156073250676420167728516757486824443853544362601,0],[0,-1],[0,1]]>*] [x,x^2-x+1,x^2-283,x^2+849,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,283],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,283],[3,6,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,2^2*283,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,283],[6,1,6],1,[1.000000000,1.155462956,1.058317161],<"notfaithful",0>,[4,3]>,<1,2^2*3*283,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,283],[6,6,6],1,[1.000000000,1.509468531,1.043708843],<"notfaithful",0>,[4,3]>,<2,2^4*3*283,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,283],[6,7,8],1,[1.000000000,0.6158363206,0.8834916851],<"2.2e4_3_283.4t3.4",1>,[4,3]>]
x^6+18*x^4-4*x^3+107*x^2-296*x-178 2^9*13^3*167 2 2 48 "C2*S4" [[1,4,3,2,5,6],[2,1,4,3,5,6],[5,1,6,3,2,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,4,1,2,6,5]>,<2,3,[1,2,3,4,6,5]>,<2,3,[1,4,3,2,6,5]>,<2,6,[2,1,4,3,5,6]>,<2,6,[2,1,4,3,6,5]>,<3,8,[5,1,6,3,2,4]>,<4,6,[1,5,3,6,4,2]>,<4,6,[3,5,1,6,4,2]>,<6,8,[5,1,6,3,4,2]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 31 x^2+29*x+3 12 [[-25758934866694854,-145368695034724932],[-280238834957553780,-175514423174291848],[251619302197579369,145368695034724932],[83702734365611246,175514423174291848],[-136167425547905803,0],[106843158808963822,0]] 5 [1,7,10,7,8,5,10,8,9,8,4,10,9,10,7,5,5,6,5,10,9,5,5,8,6,9,5,4,10,3,6,10,8,10,3,10,6,9,3,6,7,6,8,9,10,8,7,7,9,7,7,7,9,1,10,8,5,10,5,8,4,7,5,6,10,4,9,7,10,10,6,4,6,9,9,7,9,4,5,8,7,7,7,7,5,10,8,5,7,3,4,10,3,7,9,8,4,10,4,10,10,7,7,10,10,6,9,5,8,7,5,1,8,9,7,2,9,9,8,3,3,10,6,9,9,8,2,5,9,7,5,7,9,6,8,9,10,5,5,7,5,10,5,5,9,1,7,4,4,7,7,10,7,9,7,8,6,8,2,10,8,10,7,10,9,10,5,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-8*x^2+3567*x-27562,4>,<x^6-14*x^5+3662*x^4-429072*x^3-3973423*x^2-980704106*x-2383302296,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x+2,2>,<x^6+14*x^5-2700*x^4-135720*x^3-2786780*x^2-28335528*x-117026528,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,6],[3],[[[2,1,4,3,6,5]]],20,<[],[-170550,-243200,1]>,[[0,1],[243200,262143],[15157,5112],[2869,11272],[-83253,62405],[-14133,68667]]>,<13,4,2,[[2,1,4,3,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[3,4,1,2,5,6],[4,3,2,1,6,5]],[3,4,1,2,5,6],[1,6,5,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,12,1]>,[[9416609043591882455934,0],[5467091355753523109913,0],[1,0]]>,[[[5187458776369003041856,-6077528122618827161472],[-547362138012898689752,291436187102012105048]],[[-4074687130966707437364,-2111335788993916929772],[547362138012898689752,-291436187102012105048]],[[2097941148271731224316,6077528122618827161472],[341164487889294381703,-291436187102012105048]],[[2256378562079496281099,2111335788993916929772],[-341164487889294381703,291436187102012105048]],[[-5467091355753523109910,0],[-1,0]],[[3,0],[1,0]]]>,<67,2,1,[[3,2,1,4,6,5]],[[1,2,3,4,5,6],[3,2,1,4,6,5]],[3,2,1,4,6,5],[1,5],[1],[[]],20,<[],[2,63,1]>,[[-93136561043483562694201161847755297,923108489264845004899606856855691941],[-61262935301724574670220132694230787,0],[1560306525926823231083147251090085238,-923108489264845004899606856855691941],[1204802103125786213654372384286723148,0],[-15333208759276747531123921193386001,3955032413553133575924799581070393],[-16534753671102843981664153860329745,-3955032413553133575924799581070393]]>,<79,2,1,[[2,1,3,4,6,5]],[[1,2,3,4,5,6],[2,1,3,4,6,5]],[2,1,3,4,6,5],[1,5],[1],[[]],20,<[],[3,78,1]>,[[40844114903041054345294169093272204821,23898325412783329995678155180962743202],[-30260227757186776417865327473791076915,-23898325412783329995678155180962743202],[16149604302107263099109402712927400570,0],[-15488980747692635742403662873590313185,0],[-507663639890014497967475254545934875,-494444879062910317651194881726693392],[-523755063016962191168606541024004345,494444879062910317651194881726693392]]>,<167,4,2,[[1,2,3,4,6,5],[1,2,4,3,5,6]],[[1,2,3,4,5,6],[1,2,4,3,5,6],[1,2,3,4,6,5],[1,2,4,3,6,5]],[1,2,4,3,5,6],[1,3,3,4],[1],[[[1,2,3,4,6,5]]],20,<<[],[5,166,1]>,[[15254851970507697637081402335688387720843424,0],[130322085022472835580796676670487206658642606,0],[1,0]]>,[[[-114477754766482724656102078824823894151930642,0],[0,0]],[[-32860580309922330529972041877543713285565691,0],[0,0]],[[93201487449959935101789696064943523666024615,-5694236752475690537236231231702312554291243],[0,0]],[[-100203019255084247207559891765294081985971451,5694236752475690537236231231702312554291243],[0,0]],[[-130322085022472835580796676670487206658642519,0],[-1,0]],[[87,0],[1,0]]]>*] [x,x^2-x+42,x^2+26,x^2-4342,x^6-3*x^5+127*x^4-245*x^3+5410*x^2-5794*x+77872,x^3-x-2,x^4-x^3-10*x^2+26*x+8,0,0,x^4-x^3-10*x^2+26*x+8] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,67,79,167],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,167,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,13,67,79,167],[1,2,2,2,11],1,[1.000000000,2.674141121,1.471486590],<"notfaithful",0>,[6,11]>,<1,2^3*13,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,13,67,79,167],[11,11,5,5,1],1,[1.000000000,1.848351028,1.184397141],<"notfaithful",0>,[6,11]>,<1,2^3*13*167,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,13,67,79,167],[11,11,1,1,11],1,[1.000000000,1.307062342,1.090719675],<"notfaithful",0>,[6,11]>,<2,2^3*13*167^2,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,13,67,79,167],[11,12,5,5,13],1,[0,0,0],<"notfaithful",0>,[6,11]>,<2,2^3*13,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,13,67,79,167],[11,11,5,5,1],1,[1.000000000,0.9710515157,1.119319646],<"notfaithful",0>,[6,11]>,<3,2^3*13*167^2,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-2],[1]],[[1],[1]]],[2,13,67,79,167],[11,11,5,5,12],1,[0,0,0],<"notfaithful",0>,[6,11]>,<3,2^6*13^2*167,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[1]],[[1],[0],[-1]]],[2,13,67,79,167],[11,12,3,3,13],1,[0,0,0],<"3.2e6_13e2_167.6t11.2",1>,[6,11]>,<3,2^3*13*167,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]]],[2,13,67,79,167],[11,12,4,4,13],1,[1.000000000,2.991242483,1.739327412],<"3.2e3_13_167.6t11.2",1>,[6,11]>,<3,2^6*13^2*167^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[2,13,67,79,167],[11,11,3,3,12],1,[0,0,0],<"notfaithful",0>,[6,11]>]
