x^2-x-52563 167*1259 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[69],[-68]] 1 [2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<167,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-45591,167,1]>,[[-83,-1],[84,1]]>,<1259,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[343707,1259,1]>,[[-629,-1],[630,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[167,1259],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,167*1259,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[167,1259],[3,3],1,[1.000000000,0.6635650768,0.8704632701],<"1.167_1259.2t1.1",1>,[2,1]>]
x^6-2*x^5+x^4+x^3-2*x^2+3*x-1 167*1259 2 2 720 "S6" [[2,1,3,4,5,6],[2,3,4,5,6,1]] [<1,1,[1,2,3,4,5,6]>,<2,15,[2,1,4,3,6,5]>,<2,15,[2,1,3,4,5,6]>,<2,45,[2,1,4,3,5,6]>,<3,40,[2,3,1,5,6,4]>,<3,40,[2,3,1,4,5,6]>,<4,90,[2,3,4,1,6,5]>,<4,90,[2,3,4,1,5,6]>,<5,144,[2,3,4,5,1,6]>,<6,120,[2,3,4,5,6,1]>,<6,120,[2,3,1,5,4,6]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,1,3],[1,1,2,2],[1,1,4],[1,2,3],[1,5],[2,2,2],[2,4],[3,3],[6]] 131 x^2+127*x+2 5 [[-8586256965,0],[15194080763,0],[-19059742022,-3012923875],[-7994960077,12967262991],[16366183244,3012923875],[4080695059,-12967262991]] 4 [10,9,10,9,8,7,11,11,10,10,8,10,5,8,10,8,9,9,10,10,11,11,8,10,7,11,9,9,11,10,9,4,8,11,8,10,9,9,8,11,9,10,9,11,5,11,11,8,11,11,3,11,8,10,10,3,5,9,6,10,11,9,8,8,6,7,9,10,10,7,9,11,9,5,11,2,6,10,10,4,9,9,8,11,11,7,7,8,11,8,11,10,9,8,5,11,9,6,4,4,9,10,11,11,7,7,10,2,7,10,8,10,9,10,8,7,7,9,5,11,9,11,9,4,11,8,7,5,11,10,9,11,9,11,9,10,11,7,9,7,5,11,6,9,8,2,11,6,10,4,9,10,11,11,10,7,10,11,8,2,11,8,10,11,9,7,7,8] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,1,3],"CYC",0,6*],[*[1,1,2,2],"CYC",0,4*],[*[1,1,4],"CYC",0,8*],[*[1,2,3],"CYC",0,11*],[*[1,5],"CYC",0,9*],[*[2,2,2],"CYC",0,2*],[*[2,4],"CYC",0,7*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,10*]] [*<167,8,2,[[1,2,3,4,6,5],[2,3,4,1,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5],[2,3,4,1,5,6],[4,1,2,3,5,6],[2,3,4,1,6,5],[4,1,2,3,6,5]],[2,3,4,1,5,6],[1,4,3,2,8,8,7,7],[1],[[[1,2,3,4,6,5]]],20,<<[],[5,120,3,0,1]>,[[-104379285981587716821605167532696723202151563,0,0,0],[-81114349299016235431716581097091316871230834,0,0,0],[1,0,0,0]]>,[[[-19102015362802866299748217587706647518360597,67360342298766987861390271989380327211739268,-7357057924013061428851800578422795247385440,-132706553568001352621660700894671391854500777],[0,0,0,0]],[[6095108385791711168781444106983038244567525,-125779604369392076572292441731472213482986322,-42709346896566175858042075043255595365488707,18400871683637857217925546264986320097767546],[0,0,0,0]],[[-118474102881967040293620514097690247277750193,-82150794084710671580166805358600154440223296,-101485345336049675169946164000076657701535123,-32610199917168462209372250556577320465294873],[0,0,0,0]],[[50366660559961959992870706481322539680312269,140570056155335760291068975100692040711470350,-133110201747373290415800953451450324101676331,-137746070102470245259533587886942980194057497],[0,0,0,0]],[[81114349299016235431716581097091316871230916,0,0,0],[-1,0,0,0]],[[82,0,0,0],[1,0,0,0]]]>,<1259,6,2,[[1,2,3,4,6,5],[1,4,2,3,5,6]],[[1,2,3,4,5,6],[1,2,3,4,6,5],[1,4,2,3,5,6],[1,3,4,2,5,6],[1,4,2,3,6,5],[1,3,4,2,6,5]],[1,4,2,3,5,6],[1,3,6,6,11,11],[1],[[[1,2,3,4,6,5]]],20,<<[],[1257,3,0,1]>,[[25072601437181988185008097222818599683030322862018710424926634,0,0],[20643557647836978406119504900598625198699880137244056448404522,0,0],[1,0,0]]>,[[[-5509380749483031108839695811751157753588423334930444525915471,0,0],[0,0,0]],[[-32996038217856184751761937198294145231696328843557104425926939,-30409437990451058438037754969139021231159901808195686179524013,45888865661221912758194274699553686807413787016191981124502483],[0,0,0]],[[3567102250341239620619126318903225711546622785462011791972512,24607416654532148242029745665312247317838185681037062632551678,14111155018043119904458473895083079842552761318201826608562808],[0,0,0]],[[-44536687389720055433750653534397882400526993494729831641504885,5802021335918910196008009303826773913321716127158623546972335,40118541075289977417199916531501818222998454690605617516713510],[0,0,0]],[[-20643557647836978406119504900598625198699880137244056448404269,0,0],[-1,0,0]],[[253,0,0],[1,0,0]]]>*] [x,x^2-x-52563,0,0,0,0,0,0,0,0,0] [1,2,3,4,5,6,7,8,9,10,11] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[167,1259],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,16]>,<1,167*1259,1,[[1],[-1],[-1],[1],[1],[1],[1],[-1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[167,1259],[12,12],1,[1.000000000,0.6635650768,0.8704632701],<"notfaithful",0>,[6,16]>,<5,167*1259,1,[[5],[-1],[3],[1],[-1],[2],[-1],[1],[0],[-1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[-1],[1]]],[167,1259],[12,13],1,[1.000000000,0.3757857890,0.7195037917],<"5.167_1259.6t16.1",1>,[6,16]>,<5,167^2*1259^2,1,[[5],[-3],[1],[1],[2],[-1],[-1],[-1],[0],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]]],[167,1259],[12,13],1,[0,0,0],<"5.167e2_1259e2.12t183.1",1>,[6,16]>,<5,167^4*1259^4,1,[[5],[1],[-3],[1],[-1],[2],[-1],[-1],[0],[1],[0]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[3],[2],[-2],[-3],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[-1],[1],[0],[-1]],[[1],[1]],[[1],[-1]]],[167,1259],[12,13],1,[0,0,0],<"5.167e4_1259e4.12t183.1",1>,[6,16]>,<5,167^3*1259^3,1,[[5],[3],[-1],[1],[2],[-1],[-1],[1],[0],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-3],[2],[2],[-3],[1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-2],[1],[-1],[2],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[0],[-1],[-1],[0],[1]],[[1],[1],[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[1],[1]]],[167,1259],[12,13],1,[0,0,0],<"5.167e3_1259e3.6t16.1",1>,[6,16]>,<9,167^3*1259^3,1,[[9],[3],[3],[1],[0],[0],[1],[-1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-3],[0],[8],[-6],[-6],[8],[0],[-3],[1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[0],[0],[-2],[-2],[0],[0],[1],[1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[0],[-1],[0],[0],[-1],[0],[0],[1]],[[1],[0],[-1],[0],[-1],[0],[1]],[[1],[0],[0],[-2],[0],[0],[1]]],[167,1259],[12,13],1,[0,0,0],<"9.167e3_1259e3.10t32.1",1>,[6,16]>,<9,167^6*1259^6,1,[[9],[-3],[-3],[1],[0],[0],[1],[1],[-1],[0],[0]],[[[1],[-9],[36],[-84],[126],[-126],[84],[-36],[9],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[3],[0],[-8],[-6],[6],[8],[0],[-3],[-1]],[[1],[-1],[-4],[4],[6],[-6],[-4],[4],[1],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[0],[0],[-3],[0],[0],[3],[0],[0],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[-1],[0],[0],[-2],[2],[0],[0],[1],[-1]],[[1],[1],[1],[1],[1],[-1],[-1],[-1],[-1],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[0],[0],[1],[0],[0],[-1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]]],[167,1259],[12,13],1,[0,0,0],<"9.167e6_1259e6.20t145.1",1>,[6,16]>,<10,167^6*1259^6,1,[[10],[2],[-2],[-2],[1],[1],[0],[0],[0],[-1],[1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[-1],[0],[-1],[1]]],[167,1259],[12,13],1,[0,0,0],<"10.167e6_1259e6.30t176.1",1>,[6,16]>,<10,167^4*1259^4,1,[[10],[-2],[2],[-2],[1],[1],[0],[0],[0],[1],[-1]],[[[1],[-10],[45],[-120],[210],[-252],[210],[-120],[45],[-10],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-2],[-3],[8],[2],[-12],[2],[8],[-3],[-2],[1]],[[1],[2],[-3],[-8],[2],[12],[2],[-8],[-3],[2],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[-1],[0],[-3],[3],[0],[3],[-3],[0],[-1],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[1],[0],[-2],[0],[-2],[0],[1],[0],[1]],[[1],[0],[0],[0],[0],[-2],[0],[0],[0],[0],[1]],[[1],[-1],[0],[1],[-1],[0],[-1],[1],[0],[-1],[1]],[[1],[1],[0],[-1],[-1],[0],[-1],[-1],[0],[1],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[0],[0],[-2],[0],[0],[1]]],[167,1259],[12,13],1,[0,0,0],<"10.167e4_1259e4.30t176.1",1>,[6,16]>,<16,167^8*1259^8,1,[[16],[0],[0],[0],[-2],[-2],[0],[0],[1],[0],[0]],[[[1],[-16],[120],[-560],[1820],[-4368],[8008],[-11440],[12870],[-11440],[8008],[-4368],[1820],[-560],[120],[-16],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[0],[-8],[0],[28],[0],[-56],[0],[70],[0],[-56],[0],[28],[0],[-8],[0],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[2],[3],[-2],[-7],[-12],[-2],[8],[18],[8],[-2],[-12],[-7],[-2],[3],[2],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[0],[0],[0],[-4],[0],[0],[0],[6],[0],[0],[0],[-4],[0],[0],[0],[1]],[[1],[-1],[0],[0],[0],[-3],[3],[0],[0],[0],[3],[-3],[0],[0],[0],[-1],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[1],[0],[1],[0],[-2],[0],[-2],[0],[-2],[0],[1],[0],[1],[0],[1]],[[1],[0],[0],[0],[-2],[0],[0],[0],[1]],[[1],[1],[1],[-2],[-2],[-2],[1],[1],[1]]],[167,1259],[12,13],1,[0,0,0],<"16.167e8_1259e8.36t1252.1",1>,[6,16]>]
x^6-3*x^4-10*x^3-57*x^2-90*x-36 3^6*5^4*1429 2 2 48 "C2*S4" [[4,2,3,1,6,5],[2,4,6,1,3,5],[1,2,3,6,5,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,3,2,6,1,4]>,<2,3,[1,3,2,4,5,6]>,<2,3,[1,3,2,6,5,4]>,<2,6,[4,2,3,1,6,5]>,<2,6,[4,3,2,1,6,5]>,<3,8,[2,4,6,1,3,5]>,<4,6,[1,6,4,2,5,3]>,<4,6,[5,6,4,2,1,3]>,<6,8,[2,6,4,1,3,5]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 13 x^2+12*x+2 14 [[457024980865129,0],[-1323826775056201,479390855479059],[798235730593669,-479390855479059],[234883165987440,156852727890515],[1481032466308703,0],[-1647349568698740,-156852727890515]] 5 [6,1,5,7,6,4,9,7,5,6,10,10,8,7,8,8,6,10,4,9,10,10,6,5,10,8,10,8,7,8,4,8,5,10,9,10,7,3,9,6,6,3,9,10,8,4,4,10,6,7,9,8,3,5,9,6,5,7,10,6,10,9,7,6,3,9,7,4,6,10,9,9,4,7,3,6,9,10,9,1,5,7,6,10,7,9,9,1,6,10,9,8,2,6,7,5,6,6,7,7,10,8,5,5,7,7,6,8,5,7,10,7,8,10,2,6,4,8,9,5,7,7,6,6,1,6,7,6,10,4,2,8,7,10,5,3,6,7,5,6,7,8,1,6,10,5,1,8,10,9,10,9,10,6,7,5,10,9,10,5,5,5,7,6,6,9,7,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-60*x^2-25600,4>,<x^6-15*x^5-1125*x^4-215725*x^3+2313000*x^2+144720000*x+3440475000,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-15,2>,<x^6+15*x^5+675*x^4-9275*x^3-117000*x^2+1080000*x-5400000,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,2,1,[[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4]],[2,1,5,6,3,4],[1,6],[1],[[]],20,<[],[1,1,1]>,[[-154984,226386],[142918,-226386],[154984,-173705],[-256514,-41421],[-195599,173705],[-215093,41421]]>,<3,6,6,[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[2,3,1,5,6,4]],[1,2,3,4,5,6],[1,5,7],[1,2],[[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[2,3,1,5,6,4]]],20,<[],[-221944479,-194069214,-213730053,-1183981329,-95297361,-1396770030,1]>,[[-96865086,-458321256,387296487,363217458,120637397,159443154],[538452135,-354261144,168006870,182870796,83259077,291267893],[-457684074,-349679067,219537621,228752724,183524015,324129931],[487502572,29863506,-71235080,-167889054,-240358205,-294856215],[48571546,-50736291,473309239,-210884692,-439991615,-166112713],[-519977093,20872785,-402074159,378773746,-481911647,460968928]]>,<5,6,3,[[2,3,1,5,6,4],[3,2,1,4,6,5]],[[1,2,3,4,5,6],[3,2,1,4,6,5],[2,3,1,5,6,4]],[3,2,1,4,6,5],[1,5,7],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,4,1]>,[[-33120316388335,0],[14034596451085,0],[47336287065985,0],[1,0]]>,[[[-45654013398696,-34834792843010],[5651975721743,7594359442903],[-4960289340546,-2480144670273]],[[4,0],[1,0],[0,0]],[[-1682273667281,34834792843010],[-5651975721744,-7594359442903],[4960289340546,2480144670273]],[[-1868976688944,0],[-6402570893776,0],[6957785752174,0]],[[-17722005333014,2679539304920],[-8814313781831,3528943549703],[7312706727586,-4140943362226]],[[-28440162552694,-2679539304920],[-3856601652518,-3528943549703],[4802993848365,4140943362226]]]>,<1429,4,2,[[1,2,3,4,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[4,3,2,1,5,6],[1,2,3,4,6,5],[4,3,2,1,6,5]],[4,3,2,1,5,6],[1,4,3,2],[1],[[[1,2,3,4,6,5]]],20,<<[],[6,1425,1]>,[[-359192329929960112414982267887309174097070642722421901405565547,0],[510835041855898820740654907419202684716827591009954827195265740,0],[1,0]]>,[[[141396140289069184195938699539866418977788689507921922053830612,114892996634607490979193394768067946344473783473005976710461601],[0,0]],[[57552894349068441199590625434205178663173524568704386012767375,-551163180631836843566640916603766218089780772544094766601782206],[0,0]],[[-10376904519094809486444450066202069305853494875411357107794898,551163180631836843566640916603766218089780772544094766601782206],[0,0]],[[322262911736856004831570032511333156381718871808739876236461317,-114892996634607490979193394768067946344473783473005976710461601],[0,0]],[[-510835041855898820740654907419202684716827591009954827195265073,0],[-1,0]],[[667,0],[1,0]]]>*] [x,x^2-x+1072,x^2-x+1,x^2-x-357,x^6-3*x^5+3219*x^4-6423*x^3+3450753*x^2-3479697*x+1231941348,x^3-5,x^4+6*x^2-1429*x-4278,0,0,x^4+6*x^2-1429*x-4278] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,1429],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,3*1429,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,1429],[1,11,2,11],1,[1.000000000,2.303108342,1.325649255],<"notfaithful",0>,[6,11]>,<1,3,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,1429],[5,11,5,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,11]>,<1,1429,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,1429],[2,1,1,11],1,[1.000000000,1.386635330,0.9581071589],<"notfaithful",0>,[6,11]>,<2,3^3*5^2*1429^2,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]]],[2,3,5,1429],[5,11,11,11],1,[0,0,0],<"notfaithful",0>,[6,11]>,<2,3^3*5^2,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]]],[2,3,5,1429],[5,11,11,1],1,[1.000000000,1.163730417,1.051795683],<"notfaithful",0>,[6,11]>,<3,3^3*5^2*1429^2,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]]],[2,3,5,1429],[5,11,11,11],1,[0,0,0],<"notfaithful",0>,[6,11]>,<3,3^3*5^2*1429,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[2],[1]]],[2,3,5,1429],[4,11,11,12],1,[1.000000000,1.369216378,0.9841200223],<"3.3e3_5e2_1429.6t11.1",1>,[6,11]>,<3,3^4*5^2*1429,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1]],[[1],[1]],[[1],[2],[1]]],[2,3,5,1429],[3,11,12,13],1,[0,0,0],<"3.3e4_5e2_1429.6t11.1",1>,[6,11]>,<3,3^4*5^2*1429^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,5,1429],[3,11,12,13],1,[0,0,0],<"notfaithful",0>,[6,11]>]
