x^4-x^3-4*x^2+x+7 3^2*97 0 2 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 73 x-1 5 [[36984580],[349830841],[622109271],[-1008924691]] 3 [3,2,5,4,3,4,5,4,5,5,2,4,5,2,3,3,5,2,4,5,1,1,5,3,4,3,1,5,2,3,4,5,5,4,5,2,4,1,3,5,5,4,3,2,3,4,4,4,3,1,5,5,2,5,5,5,3,4,4,5,1,3,1,5,1,5,4,4,5,4,3,5,4,4,1,5,3,2,5,4,3,2,3,4,4,5,3,4,3,2,3,3,1,3,4,3,3,3,4,4,1,3,5,5,2,4,5,3,5,4,2,2,3,4,2,5,2,3,5,5,1,1,3,3,1,3,4,5,1,2,4,3,2,4,5,4,3,1,5,3,1,5,2,5,1,5,4,3,4,5,2,3,4,5,4,5,4,5,2,5,5,5,1,3,5,5,4,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+4,2>,<x^2-3*x-22,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[1,1,1]>,[[371592,482291],[-110699,-482291],[152697,41998],[110699,-41998]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-232513134,-956302920],[1731635835,-11756361],[1,0]]>,[[[-1731635835,11756363],[-1,0]],[[0,2],[1,0]],[[213980243,-956311247],[-555359164,-495786003]],[[1517655593,944554882],[555359164,495786003]]]>,<97,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[5,96,1]>,[[-1022349868131504709978192636979615939602,0],[1219377873466963858118868091715686815429,0],[1,0]]>,[[[2305526633192512054591657420924327210758,1281525321216692259271444508634766380364],[0,0]],[[-1086148759725548196472789329208640395364,-1281525321216692259271444508634766380364],[0,0]],[[-1219377873466963858118868091715686815411,0],[-1,0]],[[18,0],[1,0]]]>*] [x,x^2-x+1,x^2-x-24,x^2-x+73,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,97],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,97],[3,6,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,97,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,97],[1,1,6],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[4,3]>,<1,3*97,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,97],[3,6,6],1,[1.000000000,0.7366536915,0.8096157472],<"notfaithful",0>,[4,3]>,<2,3*97,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[2,3,97],[3,6,6],1,[1.000000000,0.8942985246,0.9559791933],<"2.3t97.8.1.4t3.1",1>,[4,3]>]
x^2-x-10191 5*31*263 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[105],[-104]] 1 [2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-10185,5,1]>,[[-2,-1],[3,1]]>,<31,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-9951,31,1]>,[[-15,-1],[16,1]]>,<263,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[7101,263,1]>,[[-131,-1],[132,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,31,263],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*31*263,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,31,263],[3,3,3],1,[1.000000000,1.268726606,0.9204187053],<"1.5t31t263.2.1.2t1.1",1>,[2,1]>]
x^3-52*x-139 5*31*263 3 0 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 43 x-1 5 [[29741345],[66912036],[50355062]] 1 [2,3,1,3,2,3,3,2,3,3,1,3,2,1,1,2,2,2,1,2,2,3,1,2,3,2,2,3,3,1,2,2,1,1,3,2,2,3,2,2,2,2,2,1,2,1,2,3,3,1,2,3,3,3,3,1,2,2,2,3,1,3,2,3,3,2,2,3,2,1,2,1,3,1,2,2,1,3,2,3,3,2,2,2,3,3,2,2,2,1,2,1,2,3,3,3,3,1,2,2,3,3,2,2,3,2,3,3,2,2,2,2,3,2,2,3,1,3,3,3,2,3,1,2,2,2,2,1,3,2,3,2,3,2,2,1,2,2,3,3,3,2,3,2,3,3,2,2,2,3,2,2,2,2,1,2,2,2,2,3,2,2,3,2,3,2,1,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[26259437112740,-28094778159355,1]>,[[-28094778159359,0],[28094778159357,-1],[2,1]]>,<31,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[105143953417762025310737882080,182076299409905895363892236402,1]>,[[182076299409905895363892236382,0],[-182076299409905895363892236392,-1],[10,1]]>,<263,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-800715553725183257304451395049111409351514899357,303353328298268741115999429290196113809787409890,1]>,[[303353328298268741115999429290196113809787409458,0],[-303353328298268741115999429290196113809787409674,-1],[216,1]]>*] [x,x^2-x-10191,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,31,263],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,5*31*263,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[5,31,263],[4,4,4],1,[1.000000000,1.268726606,0.9204187053],<"notfaithful",0>,[3,2]>,<2,5*31*263,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[5,31,263],[4,4,4],1,[1.000000000,0.9172153210,0.9596766093],<"2.5t31t263.6.1.3t2.1",1>,[3,2]>]
x^4-x^3-9*x^2-3*x+7 5*31*263 4 0 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 43 x-1 5 [[-34332701],[-48471780],[-41789434],[-22414527]] 1 [5,4,3,4,5,4,4,5,4,4,3,4,3,1,2,3,5,5,2,5,3,4,2,3,4,5,3,4,4,2,5,5,2,2,4,3,5,4,3,5,5,5,5,2,3,2,5,4,4,1,5,4,4,4,4,1,3,3,3,4,2,4,5,4,4,5,5,4,5,1,3,2,4,2,5,5,2,4,5,4,4,5,3,5,4,4,5,3,3,2,3,2,3,4,4,4,4,2,3,3,4,4,3,3,4,3,4,4,5,5,5,5,4,3,5,4,2,4,4,4,3,4,2,5,5,5,5,1,4,5,4,3,4,3,5,2,3,3,4,4,4,3,4,3,4,4,3,3,3,4,5,3,5,5,2,5,5,3,5,4,5,5,4,5,4,3,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[-35717585141570,0],[16394949071110,0],[1,0]]>,[[[8369290122455,-23755950116706],[0,0]],[[8025658948654,23755950116706],[0,0]],[[-16394949071109,0],[-1,0]],[[1,0],[1,0]]]>,<31,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[3,29,1]>,[[-148555128959610896337419594749,0],[-168378356173505974493102458354,0],[1,0]]>,[[[328052340392388415896058919696,-272717028885854719316711500794],[0,0]],[[175359832253187891646981223510,272717028885854719316711500794],[0,0]],[[168378356173505974493102458375,0],[-1,0]],[[21,0],[1,0]]]>,<263,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,3],[1],[[[1,2,4,3]]],20,<[],[-1103496364711636579486968189065489692505197576676,240196383154745952693190659437987427595081018823,1]>,[[-748498580765591821844475247740376831674037714276,0],[988694963920337774537665907178364259269118733038,0],[-240196383154745952693190659437987427595081018792,-1],[31,1]]>*] [x,x^2-x-10191,x^3-52*x-139,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,31,263],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,5*31*263,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,31,263],[6,6,6],1,[1.000000000,1.268726606,0.9204187053],<"notfaithful",0>,[4,5]>,<2,5*31*263,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[-1]]],[5,31,263],[6,6,6],1,[1.000000000,0.9172153210,0.9596766093],<"notfaithful",0>,[4,5]>,<3,5^2*31^2*263^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1]]],[5,31,263],[6,6,7],1,[0,0,0],<"3.5e2t31e2t263e2.24.1.6t8.1",1>,[4,5]>,<3,5*31*263,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[0],[-1]],[[1],[-2],[1]]],[5,31,263],[6,6,7],1,[1.000000000,0.4930152581,0.7475634165],<"3.5t31t263.24.1.4t5.1",1>,[4,5]>]
x^6-2*x^5+3*x^3-2*x+1 -3*199^2 0 3 48 "C2*S4" [[3,2,1,6,5,4],[2,3,1,6,4,5],[1,2,4,3,5,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,5,4,3,2,1]>,<2,3,[6,2,4,3,5,1]>,<2,3,[6,2,3,4,5,1]>,<2,6,[3,2,1,6,5,4]>,<2,6,[6,3,2,5,4,1]>,<3,8,[2,3,1,6,4,5]>,<4,6,[4,2,1,6,5,3]>,<4,6,[4,5,1,6,2,3]>,<6,8,[4,1,2,5,6,3]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 7 x^2+6*x+3 12 [[4689994677,4634475750],[4982496845,6088054363],[-1249211346,0],[4715547379,0],[-3863254931,-6088054363],[4565714579,-4634475750]] 6 [10,8,10,3,8,7,8,9,10,4,7,9,6,7,10,10,8,7,5,6,9,7,6,10,9,6,7,6,5,8,9,4,6,7,8,7,3,5,8,6,6,9,8,7,8,3,5,5,10,9,6,10,9,4,4,4,10,7,5,8,5,10,9,10,1,6,3,9,8,9,8,10,5,5,7,10,6,9,8,9,6,3,10,7,5,10,10,5,10,7,6,4,1,6,5,6,4,10,3,5,9,8,10,6,9,5,8,6,4,7,7,3,10,9,9,6,7,10,10,10,7,9,10,2,7,10,7,4,7,9,5,8,9,3,8,3,8,5,4,10,9,4,5,10,7,10,7,4,7,8,3,6,9,2,7,10,3,6,5,10,10,10,9,10,6,4,9,7] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,4*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3-3*x^2+10*x-37,3>,<x^6-5*x^5+43*x^4-319*x^3+284*x^2-4868*x-3928,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-2,2>,<x^6-11*x^5+43*x^4-67*x^3-85*x^2+445*x-613,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<3,8,2,[[1,2,3,4,6,5],[3,1,4,2,5,6]],[[1,2,3,4,5,6],[4,3,2,1,5,6],[1,2,3,4,6,5],[4,3,2,1,6,5],[3,1,4,2,5,6],[2,4,1,3,5,6],[3,1,4,2,6,5],[2,4,1,3,6,5]],[3,1,4,2,5,6],[1,3,4,2,8,8,9,9],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,0,0,2,1]>,[[-381730620,0,0,0],[1552526892,0,0,0],[1,0,0,0]]>,[[[1063620826,-1469641108,-1160900567,-746991555],[0,0,0,0]],[[-336579998,-262675777,332889426,-130242203],[0,0,0,0]],[[589683260,262675777,-856049609,-392917980],[0,0,0,0]],[[235802802,1469641108,1684060750,1270151738],[0,0,0,0]],[[-1552526890,0,0,0],[-1,0,0,0]],[[2,0,0,0],[1,0,0,0]]]>,<199,4,2,[[1,2,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[1,2,5,6,3,4],[1,2,6,5,4,3]],[1,2,5,6,3,4],[1,5,3,5],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,193,1]>,[[277532459375987982198537301685163084280399195,-325027535672590564214585250782880876647679134],[-4229098855479361064466234704707625952964877251,4715571541644055595397165499327832980959313652],[1,0]]>,[[[2150973690805316155627929823870229764878241596,0],[0,0]],[[-618225143562435087356924381847660095858715885,0],[0,0]],[[4229098855479361064466234704707625952964877382,-4715571541644055595397165499327832980959313643],[-1,0]],[[131,9],[1,0]],[[-3986636930400531984394076534570462065437562581,-3036380589336842396954452766955596043848673176],[-13123044334599967266892926214877606589904960,-23707635469437470769085320285636190099814034]],[[-1775210472321710148343163612159733556546840641,-1733576258663476575780922107136257438079609191],[13123044334599967266892926214877606589904960,23707635469437470769085320285636190099814034]]]>*] [x,x^2-x+1,x^2-x+50,x^2-x-149,x^6-2*x^5-13*x^4+17*x^3+46*x^2-21*x-147,x^3-x^2+4*x-1,x^4-x^3-x^2-2*x+1,0,0,x^4-x^3-x^2-2*x+1] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,199],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,3,1,[[1],[-1],[1],[-1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,199],[11,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,11]>,<1,199,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,199],[5,11],1,[1.000000000,2.004314387,1.269170315],<"notfaithful",0>,[6,11]>,<1,3*199,1,[[1],[-1],[1],[-1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,199],[11,11],1,[1.000000000,0.7518275004,0.7956930604],<"notfaithful",0>,[6,11]>,<2,3^2*199,1,[[2],[-2],[2],[-2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[3,199],[11,12],1,[1.000000000,1.873091192,1.323693582],<"notfaithful",0>,[6,11]>,<2,199,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[3,199],[5,11],1,[1.000000000,0.5953516474,0.7654373749],<"notfaithful",0>,[6,11]>,<3,3^2*199,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[1]],[[1],[0],[-1]]],[3,199],[11,12],1,[1.000000000,0.5995538288,0.8823278994],<"notfaithful",0>,[6,11]>,<3,3*199^2,1,[[3],[-3],[-1],[1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[0],[1]],[[1],[1]]],[3,199],[11,12],1,[1.000000000,0.7215155246,0.9475728727],<"3.3t199e2.48.1.6t11.1",1>,[6,11]>,<3,3*199,1,[[3],[-3],[-1],[1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[0],[1]],[[1],[0],[-1]]],[3,199],[11,12],1,[1.000000000,0.7577751508,0.9617947999],<"3.3t199.48.1.6t11.1",1>,[6,11]>,<3,3^2*199^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[3,199],[11,12],1,[1.000000000,1.740130670,1.135321842],<"notfaithful",0>,[6,11]>]
