x^2-40279 2^2*47*857 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[34],[-34]] 1 [1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-40278,2,1]>,[[1,1],[-1,-1]]>,<47,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-40279,0,1]>,[[0,-1],[0,1]]>,<857,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-40279,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,47,857],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*47*857,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,47,857],[3,3,3],1,[1.000000000,1.735343408,1.173450468],<"1.2e2_47_857.2t1.1",1>,[2,1]>]
x^3-x^2-37*x+106 -3*7^2*193 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 29 x-1 5 [[10074729],[-1698045],[-8376683]] 2 [2,1,3,1,3,2,3,2,2,1,3,2,3,1,1,1,2,2,3,3,2,2,2,1,3,2,2,2,3,3,2,2,2,3,3,3,1,2,1,3,2,1,2,1,2,3,1,2,1,3,1,2,3,3,2,3,1,2,3,1,2,2,2,2,2,2,1,3,1,2,3,2,2,2,1,2,2,2,3,3,3,2,1,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,3,2,3,3,1,2,2,3,2,3,2,3,2,2,2,3,3,3,3,2,2,2,3,3,3,1,1,2,2,2,3,3,2,1,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,1,2,3,2,2,2,1,2,2,2,2,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-1418877042,-1586806422,1]>,[[-1586806423,0],[1586806423,-1],[1,1]]>,<7,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[1],[[[3,1,2]]],20,<[],[21,28,14,1]>,[[-4841803197328365,-4045738110574373,3118847670211542],[4841803197328361,4045738110574372,-3118847670211542],[5,1,0]]>,<193,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-473181935089384960445813391868329884616439696,1133338905402514179153743719399394909943588521,1]>,[[1133338905402514179153743719399394909943588164,0],[-1133338905402514179153743719399394909943588342,-1],[179,1]]>*] [x,x^2-x+145,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,193],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,3*193,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,7,193],[4,1,4],1,[1.000000000,1.044481081,0.8542431491],<"notfaithful",0>,[3,2]>,<2,3*7^2*193,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[3,7,193],[4,5,4],1,[1.000000000,1.552259793,1.142192260],<"2.3_7e2_193.3t2.1",1>,[3,2]>]
x^4+79*x^2-108 -3*6673^2 2 1 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 7 x-1 11 [[-389996606],[-388059600],[388059600],[389996606]] 4 [4,4,5,1,5,2,4,1,4,5,2,3,4,3,5,5,5,3,1,5,3,3,4,4,3,5,1,4,3,5,1,4,5,1,5,1,3,3,5,5,5,3,5,3,4,1,3,3,4,3,5,4,2,4,4,4,4,1,2,5,2,5,3,5,2,4,2,3,5,1,4,5,2,2,3,4,5,2,4,3,4,2,5,3,2,5,5,3,5,3,5,5,1,4,2,4,4,4,2,3,3,5,4,5,3,2,5,5,5,3,3,1,5,3,3,5,3,4,4,5,3,3,4,4,2,4,3,5,3,2,3,4,3,3,5,1,5,3,5,4,2,5,1,4,1,4,2,5,2,5,2,5,1,5,2,5,3,5,1,5,5,4,2,4,4,4,3,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+474,2>,<x^2+15552,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,4,3],[1,4],[1],[[]],20,<[],[1,1,1]>,[[-44566,0],[44566,0],[-215575,93138],[215575,-93138]]>,<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[210833448,0],[0,0],[1,0]]>,[[[819881519,819881519],[0,0]],[[-819881519,-819881519],[0,0]],[[0,0],[129140160,0]],[[0,0],[258280329,0]]]>,<6673,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[5,6670,1]>,[[-7406871229035828983945876325987155749896915931328185723292924013754131022141,-11529996303700934701744440206619247453890178741215801111640049558393960294792],[-10119470315726955779751958377110469846588027577809890014247037095029086666773,-11996292160327863393522338217030769358485815479607649006677581341050462496098],[1,0]]>,[[[10119470315726955779751958377110469846588027577809890014247037095029086671114,11996292160327863393522338217030769358485815479607649006677581341050462499877],[-1,0]],[[4341,3779],[1,0]],[[-4341,-3779],[-1,0]],[[-10119470315726955779751958377110469846588027577809890014247037095029086671114,-11996292160327863393522338217030769358485815479607649006677581341050462499877],[1,0]]]>*] [x,x^2-x-1668,x^2-x+1,x^2-x+5005,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,6673],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,6673,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,6673],[1,1,6],1,[1.000000000,2.953865706,1.477289588],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,6673],[4,6,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,3*6673,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,6673],[3,6,6],1,[1.000000000,1.154601258,0.8616698687],<"notfaithful",0>,[4,3]>,<2,3*6673,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[2,3,6673],[3,6,6],1,[1.000000000,1.226303375,0.9913069841],<"2.3_6673.4t3.2",1>,[4,3]>]
x^6+11*x^4+52*x^2+108 -2^4*3^3*5^4*11^2 0 3 12 "D12" [[2,1,3,5,4,6],[1,3,2,4,6,5],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,6,5,1,3,2]>,<2,3,[2,1,3,5,4,6]>,<3,2,[3,1,2,6,4,5]>,<6,2,[5,6,4,2,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 13 x^2+12*x+2 8 [[-383896535,0],[-356264054,361707432],[197631088,-361707432],[383896535,0],[356264054,-361707432],[-197631088,361707432]] 3 [2,4,3,5,3,4,6,5,6,2,4,5,6,1,6,3,6,4,4,6,4,5,3,3,5,6,4,3,4,3,5,3,3,1,6,1,1,4,3,6,6,5,6,4,6,4,1,4,3,5,6,3,4,2,3,3,3,5,4,6,5,6,1,2,5,3,4,4,3,4,3,3,4,4,4,2,3,1,3,4,6,5,3,1,5,6,3,4,2,4,2,3,4,3,4,3,3,3,5,4,5,2,3,6,1,5,6,2,6,4,1,4,3,4,4,3,4,6,3,3,5,4,2,6,4,6,5,2,4,4,5,3,4,1,2,4,3,5,3,6,5,2,4,3,1,2,4,6,4,2,4,3,4,3,4,6,5,3,4,6,6,6,1,6,3,6,4,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x+66,2>,<x^3+18*x^2-2592*x+275616,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[1,2,5,6,3,4],[2,1,4,3,6,5]],[[1,2,3,4,5,6],[1,2,5,6,3,4],[2,1,4,3,6,5],[2,1,6,5,4,3]],[2,1,4,3,6,5],[1,4,2,3],[2],[[[1,2,5,6,3,4]]],20,<<[],[1,1,1]>,[[303202,0],[-451982,144612],[1,0]]>,[[[-203379,117530],[0,0]],[[203379,-117530],[0,0]],[[0,0],[1,0]],[[0,0],[65535,0]],[[58766,-13540],[65535,0]],[[-58766,13540],[1,0]]]>,<3,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[46139376,0],[0,0],[1,0]]>,[[[0,0],[258280329,0]],[[0,0],[129140160,0]],[[-702202378,-702202378],[360761360,0]],[[-702202378,-702202378],[-360761360,0]],[[702202378,702202378],[360761360,0]],[[702202378,702202378],[-360761360,0]]]>,<5,6,3,[[2,3,1,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[2,3,1,5,6,4]],[4,6,5,1,3,2],[1,3,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[2,4,1]>,[[37335400505280,18667700252640],[-16580580324370,0],[43538570739225,-25914430450700],[1,0]]>,[[[-8055020939051,12957215225352],[-8352476048017,592133558023],[-7429173310519,0]],[[4,2],[1,0],[0,0]],[[-35483549800166,12957215225352],[8352476048016,-592133558023],[7429173310519,0]],[[-4,-2],[-1,0],[0,0]],[[35483549800166,-12957215225352],[-8352476048016,592133558023],[-7429173310519,0]],[[8055020939051,-12957215225352],[8352476048017,-592133558023],[7429173310519,0]]]>,<11,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[1,2,4,3,6,5],[2,1,5,6,3,4],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,4,3,2],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,7,1]>,[[-104915045520207261042,35385871324228186366],[-255895502669548971757,119101283503717439276],[1,0]]>,[[[-40806012047263419629,84448281548290452849],[0,0]],[[40806012047263419629,-84448281548290452849],[0,0]],[[255895502669548971760,-119101283503717439272],[-1,0]],[[3,4],[1,0]],[[-3,-4],[-1,0]],[[-255895502669548971760,119101283503717439272],[1,0]]]>*] [x,x^2+33,x^2-x+1,x^2-11,x^3-x^2+12*x+12,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^2*3*11,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,11],[7,7,3,7],1,[1.000000000,1.093762170,0.9854869242],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[2,7,2,2],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,2^2*11,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11],[7,2,1,7],1,[1.000000000,0.9024906449,0.9468447206],<"notfaithful",0>,[6,3]>,<2,2^2*3*5^2*11,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3,5,11],[7,7,8,7],1,[1.000000000,2.419528629,1.471030125],<"notfaithful",0>,[6,3]>,<2,2^2*3*5^2*11,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1]]],[2,3,5,11],[7,7,8,7],1,[1.000000000,0.4409533619,0.7011236026],<"2.2e2_3_5e2_11.6t3.1",1>,[6,3]>]
x^6-2*x^5+53*x^4-48*x^3+331*x^2+104*x+4 5^2*11^5*31^3 2 2 12 "D12" [[2,1,3,6,5,4],[1,3,2,4,6,5],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,6,5,1,3,2]>,<2,3,[2,1,3,6,5,4]>,<2,3,[6,4,5,2,3,1]>,<3,2,[3,1,2,5,6,4]>,<6,2,[5,4,6,3,2,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 29 x^2+24*x+2 9 [[-5250389079569,6658567248105],[-5477397299530,-6658567248105],[-3779359596769,0],[-4374368199841,-4108784150438],[-2819207355615,0],[7193575555457,4108784150438]] 3 [4,6,1,4,3,5,5,6,6,3,1,2,6,1,3,6,5,3,3,5,5,3,1,4,3,2,3,4,2,3,1,6,2,3,2,3,3,3,5,4,4,4,5,4,1,4,6,2,4,4,4,3,3,4,3,5,4,3,5,6,4,4,4,1,6,3,4,1,5,6,2,6,6,4,1,6,4,3,4,3,5,5,2,6,2,3,4,5,3,6,3,6,6,3,4,4,4,5,5,2,4,1,4,3,3,3,2,4,5,3,4,5,3,4,4,4,6,2,3,6,5,5,5,3,5,2,4,4,3,4,3,5,5,2,3,2,2,5,6,3,6,3,6,5,4,5,4,4,4,6,4,4,6,4,3,4,6,4,4,3,2,1,5,5,3,6,4,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x-21,2>,<x^3+102*x^2-52*x+933824,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,1,[[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4]],[2,1,5,6,3,4],[1,4],[1],[[]],20,<[],[1,1,1]>,[[40618,-106452],[-115074,106452],[2608,-230613],[250450,137983],[233221,230613],[112467,-137983]]>,<5,2,2,[[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[1,3,2,4,6,5]]],20,<[],[-1873171813305,-21239235021600,1]>,[[-21239235021607,0],[21239235021604,-1],[4,1],[-295367965023,0],[9394886134737,3202249076573],[-9099518169713,-3202249076573]]>,<11,12,6,[[2,3,4,5,6,1],[1,6,5,4,3,2]],[[1,2,3,4,5,6],[4,5,6,1,2,3],[1,6,5,4,3,2],[2,1,6,5,4,3],[3,4,5,6,1,2],[2,3,4,5,6,1]],[1,6,5,4,3,2],[1,2,3,4,5,6],[1],[[[2,3,4,5,6,1]]],20,<<[],[2,7,1]>,[[18260,0],[17600,0],[7403,0],[1760,0],[253,0],[22,0],[1,0]]>,[[[72823453059710104085,0],[-22540592613719794120,0],[-29255482441303453069,0],[-16109430525329810904,0],[-14816893046780843689,0],[725082000161615755,0]],[[-88531818134171825651,166919479085253766729],[30120050286480443985,8605728653280126853],[-26421400755376477627,-7548971644393279322],[25167337384151849736,24664693666447541722],[-4301043957788653506,16245156140178826510],[-23966515999174834749,19363462763841995625]],[[-65237485274941099413,-296557357469693160335],[26062583349552373573,4226367726483564718],[4425863157168639218,-20388848146256466745],[25115052315577768535,22348407857522116964],[1529800264696427286,-1679613216769712731],[2444947458950363047,-25408899203883042432]],[[4,0],[1,0],[0,0],[0,0],[0,0],[0,0]],[[-7585967784769004671,296557357469693160335],[-3521990735832579453,-4226367726483564718],[24829619284134813851,20388848146256466745],[-9005621790247957631,-22348407857522116964],[13287092782084416403,1679613216769712731],[-3170029459111978802,25408899203883042432]],[[88531818134171825648,-166919479085253766729],[-30120050286480443986,-8605728653280126853],[26421400755376477627,7548971644393279322],[-25167337384151849736,-24664693666447541722],[4301043957788653506,-16245156140178826510],[23966515999174834749,-19363462763841995625]]]>,<31,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[2,1,4,3,6,5]]],20,<[],[321317660471001701204414457478,71890215149051028754091147060,1]>,[[-71890215149051028754091147031,-1],[29,1],[181798096550961871312827972610,10678034009959591825038692373],[125088980723104013473105619639,-10678034009959591825038692373],[-53198765574052984719014472607,10678034009959591825038692374],[-181798096550961871312827972638,-10678034009959591825038692374]]>,<97,2,1,[[4,2,3,1,6,5]],[[1,2,3,4,5,6],[4,2,3,1,6,5]],[4,2,3,1,6,5],[1,3],[1],[[]],20,<[],[5,96,1]>,[[-2550219069420765708741292131142385780600,2073753148433443342955617401765740448189],[-536721666319257086884641018434304404402,0],[-2461109923711865489768172031593917527893,0],[-426614436134841375990273386300269641907,-2073753148433443342955617401765740448189],[-12056437746712314080816571501221454071,-5258054889020903542202411523875420572],[-11834620600780348982968961511543517856,5258054889020903542202411523875420572]]>*] [x,x^2-x+39,x^2-x+14,x^2-x-85,x^3-x^2+15*x-20,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,31,37,97],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,5*31,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,11,31,37,97],[3,7,3,7,1,3],1,[1.000000000,1.009355177,0.8874743248],<"notfaithful",0>,[6,3]>,<1,5*11,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,31,37,97],[1,7,7,1,2,2],1,[1.000000000,1.694449068,1.228569278],<"notfaithful",0>,[6,3]>,<1,11*31,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,31,37,97],[2,1,7,7,2,1],1,[1.000000000,0.6091138346,0.7397929282],<"notfaithful",0>,[6,3]>,<2,5*11^2*31,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,5,11,31,37,97],[3,7,8,7,1,3],1,[1.000000000,1.052708787,0.9783813842],<"notfaithful",0>,[6,3]>,<2,5*11^2*31,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[-1]],[[1]]],[2,5,11,31,37,97],[3,7,8,7,2,3],1,[1.000000000,2.080713592,1.228558136],<"2.5_11e2_31.6t3.3",1>,[6,3]>]
