x^2-x-396 5*317 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-72],[73]] 1 [1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-390,5,1]>,[[-2,-1],[3,1]]>,<317,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[24726,317,1]>,[[-158,-1],[159,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,317],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*317,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,317],[3,3],1,[1.000000000,2.753465242,1.486490963],<"1.5_317.2t1.1",1>,[2,1]>]
x^5-x^4-10*x^3+9*x^2+3*x-1 29^2*149^2 5 0 10 "D10" [[4,5,3,1,2],[5,3,2,4,1]] [<1,1,[1,2,3,4,5]>,<2,5,[5,3,2,4,1]>,<5,2,[2,3,5,1,4]>,<5,2,[3,5,4,2,1]>] [[1,1,1,1,1],[1,2,2],[5]] 13 x^2+12*x+2 5 [[-108703,-91539],[99953,108365],[-151880,0],[-124114,91539],[-86548,-108365]] 1 [4,3,3,3,3,2,2,2,2,1,2,2,3,3,2,4,2,2,3,2,2,1,2,4,4,3,3,4,2,2,2,4,4,2,1,2,1,4,2,4,3,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,3,4,2,4,4,3,2,3,4,2,2,4,2,4,1,2,1,2,1,2,4,2,2,4,4,3,4,2,3,3,2,4,2,4,2,3,4,4,4,4,2,1,2,3,2,2,2,2,2,4,2,3,3,3,3,2,1,2,4,4,2,2,4,4,2,2,4,1,2,3,3,1,3,2,1,1,3,2,2,3,2,1,3,2,1,2,2,2,3,2,1,2,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x+4321,4>,<x-4321,3>]*]] [*<29,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-35797608247849933204927723537,-11647580953890765040248608645,1]>,[[37148487630895100040763644336,0],[11647580953890765040248608663,-1],[18,1],[-76454014879222312098164607909,528920151355151103290546321],[27657946294436447017152354893,-528920151355151103290546321]]>,<149,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[4041413245762602475487739908500774532935955,-7148538328345902130812262705889578393649410,1]>,[[2794167234318488411044478952486081647296992,0],[7148538328345902130812262705889578393649536,-1],[126,1],[205655871258892327490157005663838655859863,60994148267185152239682549370114565872105],[-10148361433923282869346898664039498696806516,-60994148267185152239682549370114565872105]]>*] [x,x^2-x-1080,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,29,149],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,29*149,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,29,149],[1,5,5],1,[1.000000000,3.592134910,1.583929246],<"notfaithful",0>,[5,2]>,<2,29*149,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,29,149],[4,5,5],1,[1.000000000,0.3308952179,0.8269513645],<"2.29_149.5t2.1",1>,[5,2]>,<2,29*149,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,29,149],[4,5,5],1,[1.000000000,0.6747321443,0.7533341591],<"2.29_149.5t2.1",2>,[5,2]>]
x^5-x^4-6*x^3+83*x^2+193*x-18 3^2*71^2*167^2 1 2 10 "D10" [[3,4,1,2,5],[5,3,2,4,1]] [<1,1,[1,2,3,4,5]>,<2,5,[3,4,1,2,5]>,<5,2,[2,4,5,3,1]>,<5,2,[4,3,1,5,2]>] [[1,1,1,1,1],[1,2,2],[5]] 7 x^2+6*x+3 9 [[-1775850,0],[6384365,-9420767],[5562569,6381502],[7627164,-6381502],[-17798247,9420767]] 2 [2,1,3,2,3,3,2,3,2,2,2,2,2,2,4,2,2,2,4,1,2,2,4,2,2,4,2,2,2,2,2,4,1,4,2,2,3,4,1,4,2,2,2,1,2,3,2,4,2,3,2,4,3,2,2,2,2,2,2,3,2,2,3,2,2,4,1,2,2,4,3,2,4,2,2,1,2,2,2,4,2,2,2,2,1,2,4,3,3,2,4,2,3,3,2,2,2,1,2,4,2,2,4,1,2,3,4,3,1,2,4,4,2,4,2,4,2,3,3,3,1,4,2,2,3,1,4,3,3,2,2,1,3,2,4,1,2,2,4,3,2,3,3,2,2,2,4,2,2,3,4,1,2,2,2,3,2,2,1,4,2,3,2,4,4,3,3,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-1920834,4>,<x+1920834,3>]*]] [*<2,2,1,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,3,2,5,4],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-305626,0],[421284,300769],[120515,-300769],[174637,61158],[113479,-61158]]>,<3,2,2,[[1,4,5,2,3]],[[1,2,3,4,5],[1,4,5,2,3]],[1,2,3,4,5],[1,2],[1],[[[1,4,5,2,3]]],20,<[],[275299005,-142815231,1]>,[[-979150554,0],[142815232,-1],[18061357,53102645],[1,1],[43432987,-53102645]]>,<71,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[3873544256912230025619329997320839449,668333635392748309650382186717548390,1]>,[[-4622988107126709059300924161629681310,0],[-668333635392748309650382186717548325,-1],[65,1],[-4035782420404987089464091603585919895,47466348765125218777605592694517782],[-1269506413466976574247469188200052935,-47466348765125218777605592694517782]]>,<167,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-32888288615549220320393954351653925985816019,-90178019306628222838117844139498163849734035,1]>,[[-32515373876596547054735036134911631606224345,0],[90178019306628222838117844139498163849734069,-1],[34,1],[50656361536576175795327531663664846750608892,616608668651255585121730133392619472560816],[-108319006966607851578710339668251378994118649,-616608668651255585121730133392619472560816]]>*] [x,x^2-x+8893,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,71,167],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,3*71*167,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,71,167],[2,5,5,5],1,[1.000000000,0.6662877470,0.8221036640],<"notfaithful",0>,[5,2]>,<2,3*71*167,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,71,167],[2,5,5,5],1,[1.000000000,1.143593932,1.096456007],<"2.3_71_167.5t2.1",1>,[5,2]>,<2,3*71*167,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,71,167],[2,5,5,5],1,[1.000000000,2.322927266,1.240067473],<"2.3_71_167.5t2.1",2>,[5,2]>]
x^6-2*x^5+23*x^4+34*x^3+65*x^2+172*x+118 -2^9*3^4*37^3 0 3 48 "C2*S4" [[3,6,4,1,2,5],[4,5,3,1,2,6],[1,2,3,5,4,6]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,6,5,4,3]>,<2,3,[1,2,6,4,5,3]>,<2,3,[1,2,6,5,4,3]>,<2,6,[4,5,3,1,2,6]>,<2,6,[4,5,6,1,2,3]>,<3,8,[3,6,4,1,2,5]>,<4,6,[1,2,5,3,6,4]>,<4,6,[2,1,5,3,6,4]>,<6,8,[3,6,5,1,2,4]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[1,1,4],[2,2,2],[2,4],[3,3],[6]] 29 x^2+24*x+2 14 [[42345134581008654265,-124943376793623686127],[317527344223605983,120294190335989751157],[-138685986154759914916,0],[88839286038464213025,-120294190335989751157],[65403850869982486503,124943376793623686127],[-58219812678919044858,0]] 6 [2,4,9,10,7,7,10,10,7,5,9,4,5,3,8,10,8,4,9,6,7,5,7,10,8,3,5,7,7,3,10,6,5,9,3,10,8,10,7,10,8,8,7,8,10,5,5,3,8,6,9,4,8,6,10,8,10,2,7,10,10,10,9,4,8,2,3,7,6,6,3,8,10,6,5,7,5,8,10,6,7,4,7,7,5,1,3,6,5,9,6,7,9,7,10,1,10,9,2,7,10,5,8,10,5,8,6,9,8,7,9,6,9,9,9,9,10,7,9,1,7,7,10,6,9,5,7,8,5,8,5,6,3,7,5,6,10,9,9,10,9,10,10,8,7,8,7,10,10,6,6,5,10,6,10,4,5,9,4,2,6,9,5,4,10,6,9,7] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"RES",<[1],x^2>,[<x^3+36*x^2-29733*x+1669522,4>,<x^6+414*x^5+37080*x^4-1402576*x^3-27238176*x^2+3467489472*x+231075762688,5>]*],[*[1,1,4],"CYC",0,8*],[*[2,2,2],"RES",<[1],x^2>,[<x-98,2>,<x^6-246*x^5+20898*x^4-708088*x^3+13473537*x^2-1128668202*x+58306485136,6>]*],[*[2,4],"CYC",0,9*],[*[3,3],"CYC",0,7*],[*[6],"CYC",0,10*]] [*<2,8,4,[[2,1,4,3,6,5],[1,2,4,3,6,5],[2,1,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,4,3,6,5],[2,1,3,4,5,6],[1,2,5,6,3,4],[2,1,6,5,4,3],[1,2,6,5,4,3],[2,1,5,6,3,4]],[2,1,6,5,4,3],[1,6,5,3,5,2,4,6],[2,4],[[[2,1,4,3,6,5],[1,2,4,3,6,5]],[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[28206,-331090],[-19788,291688],[307872,-429514],[229268,-464020],[1,0]]>,[[[42602,-43564],[110768,-90392],[232541,202739],[160331,144672]],[[-211066,43564],[-110768,90392],[29603,59405],[101813,117472]],[[-223668,214219],[159902,60528],[97178,101837],[125035,11611]],[[-115820,-13085],[-159902,-60528],[164966,160307],[137109,250533]],[[257713,-202291],[-62510,163682],[88627,164966],[70896,147349]],[[250241,1157],[62510,-163682],[173517,97178],[191248,114795]]]>,<3,8,4,[[2,1,4,5,6,3],[2,1,3,6,5,4]],[[1,2,3,4,5,6],[1,2,5,6,3,4],[2,1,3,6,5,4],[1,2,4,3,6,5],[2,1,4,5,6,3]],[2,1,3,6,5,4],[1,4,4,5,9],[1],[[[2,1,4,5,6,3]]],20,<<[],[2,2,1]>,[[-95833173,0],[1651797360,0],[-1274014281,0],[-849548499,0],[1,0]]>,[[[-1218636862,949529589],[-222571005,-222571005],[-261354886,-261354886],[-167664936,-167664936]],[[369088361,-949529589],[222571005,222571005],[261354886,261354886],[167664936,167664936]],[[218985574,0],[-294802057,0],[-253329492,0],[-416834784,0]],[[-804463430,-1119744894],[-220655647,-368056675],[-355397661,-482062407],[246977270,38559878]],[[1,0],[1,0],[0,0],[0,0]],[[1435026358,1119744894],[515457703,368056675],[-553534314,482062407],[169857514,-38559878]]]>,<37,4,2,[[2,1,4,3,6,5],[5,6,3,4,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,3,4,1,2],[6,5,4,3,2,1]],[5,6,3,4,1,2],[1,6,4,6],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,33,1]>,[[3172608597817461073889280284700,0],[6055888089971920410244956500178,0],[1,0]]>,[[[-4308623217389330323447940818267,3819995956750050117061917629],[-252076688304022778204818468219,128900991596884946027434223281]],[[10922376750364861468628670565302,3716908407354914662414688746854],[252076688304022778204818468219,-128900991596884946027434223281]],[[-6055888089971920410244956500156,0],[-1,0]],[[22,0],[1,0]],[[-4434683083962081977310984100024,-3819995956750050117061917629],[-131285474065331102872207930881,-128900991596884946027434223281]],[[3876817640958471242375210853125,-3716908407354914662414688746854],[131285474065331102872207930881,128900991596884946027434223281]]]>,<1433,2,1,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,4,3,6,5],[1,5],[1],[[]],20,<[],[3,1420,1]>,[[-84463656319328823930852194301474932263866136834468652351958272,0],[-662943179252777590556061013815797867170902032413949296177063940,0],[-666605304589520612382378305113683829424679056546982347038210970,-6851740901466325550259353823192120511285350570716897928545423],[-270145734564703048089260577556820262451511605071165049031637517,6851740901466325550259353823192120511285350570716897928545423],[-408665761424793751403442072921377715932929413527680543403254,-415404539557512761295787497071728936035826594587887834655642],[-418571237286254071733558375653144535387870867776970303451912,415404539557512761295787497071728936035826594587887834655642]]>*] [x,x^2-3,x^2+222,x^2+74,x^6-2*x^5+x^4-3*x^2-18*x-27,x^3-x^2+9*x+3,x^4-2*x^3+3*x^2+4*x-8,0,0,x^4-2*x^3+3*x^2+4*x-8] [1,2,2,2,6,3,5,8,9,4] <[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,37,1433],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,11]>,<1,2^2*3,1,[[1],[-1],[-1],[1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,37,1433],[11,11,1,2],1,[1.000000000,0.7603459963,0.9497031263],<"notfaithful",0>,[6,11]>,<1,2^3*3*37,1,[[1],[1],[1],[1],[-1],[-1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,37,1433],[11,11,11,5],1,[1.000000000,1.265099359,1.001374493],<"notfaithful",0>,[6,11]>,<1,2^3*37,1,[[1],[-1],[-1],[1],[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,37,1433],[11,1,11,1],1,[1.000000000,1.826013639,1.161586921],<"notfaithful",0>,[6,11]>,<2,2^5*3*37,1,[[2],[-2],[-2],[2],[0],[0],[-1],[0],[0],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[-1],[1]],[[1]],[[1],[-1]]],[2,3,37,1433],[11,12,12,5],1,[1.000000000,1.554233863,1.138295082],<"notfaithful",0>,[6,11]>,<2,2^3*3*37,1,[[2],[2],[2],[2],[0],[0],[-1],[0],[0],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,3,37,1433],[11,11,11,5],1,[1.000000000,2.032890098,1.441517730],<"notfaithful",0>,[6,11]>,<3,2^5*3^3*37,1,[[3],[3],[-1],[-1],[1],[1],[0],[-1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[1],[1],[1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1]],[[1],[0],[-1]]],[2,3,37,1433],[11,12,13,5],1,[1.000000000,1.510083218,1.278839910],<"notfaithful",0>,[6,11]>,<3,2^6*3^3*37^2,1,[[3],[-3],[1],[-1],[1],[-1],[0],[1],[-1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1],[1],[1]],[[1],[0],[0],[1]],[[1],[1]],[[1]]],[2,3,37,1433],[11,12,11,3],1,[0,0,0],<"3.2e6_3e3_37e2.6t11.1",1>,[6,11]>,<3,2^5*3^2*37,1,[[3],[-3],[1],[-1],[-1],[1],[0],[-1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[1]],[[1],[1]],[[1],[0],[-1]]],[2,3,37,1433],[11,11,12,4],1,[1.000000000,0.5673437121,0.7480019825],<"3.2e5_3e2_37.6t11.1",1>,[6,11]>,<3,2^8*3^2*37^2,1,[[3],[3],[-1],[-1],[-1],[-1],[0],[1],[1],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[1]]],[2,3,37,1433],[11,12,12,3],1,[0,0,0],<"notfaithful",0>,[6,11]>]
