x^2+35338 -2^3*17669 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[52848],[-52848]] 2 [1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[35338,0,1]>,[[0,1],[0,262143]]>,<17669,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[35338,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,17669],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*17669,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,17669],[3,3],1,[1.000000000,0.7186167653,0.8601716996],<"1.2e3t17669.2.1.2t1.1",1>,[2,1]>]
x^5-x^4-3*x^3+2*x+3 -2^3*17669 3 1 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 23 x^2+21*x+5 5 [[-310287,966203],[-1291521,-966203],[2247291,-2749239],[-2699705,0],[2054223,2749239]] 2 [4,5,5,7,6,6,5,5,3,6,6,3,3,7,6,6,4,6,2,6,4,7,7,3,5,5,2,3,4,6,5,5,4,3,4,5,6,6,4,7,5,4,7,7,5,5,7,6,4,7,5,6,2,5,3,5,6,6,5,4,5,4,6,2,5,5,6,3,3,2,3,4,5,5,2,7,2,5,4,3,7,4,3,5,7,5,5,5,5,6,4,4,7,6,6,7,3,3,3,4,6,7,7,7,3,7,3,6,4,4,6,2,6,4,5,5,7,5,6,4,7,5,4,3,7,2,6,5,5,7,5,7,4,5,2,3,5,4,7,5,7,4,4,6,7,7,2,3,7,7,7,4,4,3,4,7,2,6,5,6,7,2,6,2,6,4,6,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[3],[[[1,2,3,5,4]]],20,<<[],[1,1,0,1]>,[[-110146,0,0],[236412,0,0],[1,0,0]]>,[[[-195583,-345137,112708],[0,0,0]],[[-204345,373761,99565],[0,0,0]],[[-412237,-28624,-212273],[0,0,0]],[[1,0,0],[1,0,0]],[[-236411,0,0],[262143,0,0]]]>,<17669,2,2,[[1,2,3,5,4]],[[1,2,3,4,5],[1,2,3,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,2,3,5,4]]],20,<[],[476335541668791811709184690194919960894451658323944899200764160615051772964241303201,4292753692083753281081482395026340260313281884825460640613102578698441360256446903470,1]>,[[-3972574189181130376190492638975954158468579777027061372603165756515316623294256296394,0],[1756635378009079403686579279357517430571024944140150623422567507238882101188290317823,0],[-2286379815192358899176402434951151443533861111208325973589825859042061143656734107643,0],[-4292753692083753281081482395026340260313281884825460640613102578698441360256446892428,-1],[11042,1]]>*] [x,x^2+35338,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17669],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2^3*17669,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,17669],[8,8],1,[1.000000000,0.7186167653,0.8601716996],<"notfaithful",0>,[5,5]>,<4,2^9*17669^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[-1]]],[2,17669],[8,8],1,[0,0,0],<"4.2e9t17669e3.120.1.10t12.1",1>,[5,5]>,<4,2^3*17669,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[2,17669],[8,9],1,[1.000000000,0.7645469896,0.9784711032],<"4.2e3t17669.120.1.5t5.1",1>,[5,5]>,<5,2^6*17669^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[2,17669],[8,9],1,[0,0,0],<"5.2e6t17669e2.120.1.10t13.1",1>,[5,5]>,<5,2^9*17669^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[1],[1]],[[1],[-2],[1]]],[2,17669],[8,9],1,[0,0,0],<"5.2e9t17669e3.120.1.6t14.1",1>,[5,5]>,<6,2^9*17669^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-3],[3],[-1]]],[2,17669],[8,9],1,[0,0,0],<"6.2e9t17669e3.120.1.20t35.1",1>,[5,5]>]
x^6-x^5-2*x^4+5*x^3-2*x^2-x+1 2^4*5^3*7^2 2 2 12 "D12" [[1,3,2,5,4,6],[2,1,4,3,6,5],[6,5,4,3,2,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,5,4,3,2,1]>,<2,3,[2,1,4,3,6,5]>,<2,3,[5,6,3,4,1,2]>,<3,2,[5,3,6,1,4,2]>,<6,2,[3,1,5,2,6,4]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 19 x^2+18*x+2 5 [[-1197911,42841],[-1067931,-27121],[183511,0],[-321064,0],[507050,-42841],[-579753,27121]] 4 [3,6,4,2,5,6,6,4,3,5,4,3,4,3,6,3,4,4,3,1,2,5,2,4,6,4,6,3,5,3,3,4,3,4,1,5,2,3,6,6,1,4,5,3,3,4,5,6,6,4,3,5,4,4,2,3,4,4,3,5,6,6,6,4,6,3,1,3,3,4,6,1,6,3,1,2,5,6,5,4,4,5,5,2,4,3,5,3,4,3,6,4,3,5,5,6,4,4,2,5,3,3,2,1,1,6,2,6,5,4,6,3,3,4,5,1,6,2,3,5,4,3,6,3,4,5,5,4,2,6,5,3,5,3,4,4,6,6,6,5,4,5,3,3,4,4,2,2,4,3,3,4,3,2,3,1,5,4,6,4,3,3,3,4,3,6,1,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-1,2>,<x^3-5*x^2-13*x+73,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[2,3,1,5,6,4],[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2],[2,3,1,5,6,4]],[4,6,5,1,3,2],[1,3,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[-467562,0],[80220,273890],[193670,387344],[1,0]]>,[[[0,1],[1,0],[0,0]],[[164470,235523],[477214,96041],[270488,444935]],[[-358140,425711],[47073,428247],[253800,79353]],[[125203,-294745],[454181,240014],[94729,0]],[[-467563,-467563],[330618,136945],[524287,0]],[[-512545,101073],[263777,147329],[429560,0]]]>,<5,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,4,1]>,[[-23122416918105,0],[41903111590790,0],[1,0]]>,[[[-41903111590786,0],[-1,0]],[[4,0],[1,0]],[[-24683927963457,2768940198343],[-8227975987819,7280808842156]],[[8736074623553,-45060502676147],[8227975987819,-7280808842156]],[[-35759688756829,-2768940198343],[795761299807,-7280808842156]],[[-1756777953109,45060502676147],[-795761299807,7280808842156]]]>,<7,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[3,6,1]>,[[16469976472882520,4831872549751751],[15297825813659676,3489017790579846],[1,0]]>,[[[-22911765890601116,-22546223827109093],[0,0]],[[32573310774441441,22546223827109093],[0,0]],[[-15297825813659673,-3489017790579841],[-1,0]],[[3,5],[1,0]],[[1096626190476069,-32872108325933700],[1623374781677988,251566543637193]],[[4539654739343277,36361126116513536],[-1623374781677988,-251566543637193]]]>*] [x,x^2-x+9,x^2-x-1,x^2-x+2,x^3+2*x-2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,7],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,5*7,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,7],[3,7,7],1,[1.000000000,1.062052159,0.9100948684],<"notfaithful",0>,[6,3]>,<1,5,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,7],[2,7,2],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[6,3]>,<1,7,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,7],[1,2,7],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[6,3]>,<2,2^2*5*7,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,5,7],[7,8,8],1,[1.000000000,0.7825576715,0.9289735578],<"notfaithful",0>,[6,3]>,<2,2^2*5*7,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,5,7],[7,8,8],1,[1.000000000,0.9486849961,1.045669080],<"2.2e2t5t7.12.1.6t3.2",1>,[6,3]>]
