x^2+2914 -2^3*31*47 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1531],[-1531]] 2 [1,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[2914,0,1]>,[[0,1],[0,262143]]>,<31,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2914,0,1]>,[[0,-1],[0,1]]>,<47,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2914,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,31,47],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*31*47,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,31,47],[3,3,3],1,[1.000000000,0.6983712382,0.9131908994],<"1.2e3_31_47.2t1.2",1>,[2,1]>]
x^3-x^2+10*x+14 -2^3*31*47 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 43 x-1 5 [[-5571056],[8959167],[-3388110]] 2 [1,2,3,2,3,2,2,2,2,2,1,3,2,1,1,1,3,3,2,2,1,3,2,2,3,2,2,2,1,2,2,3,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,1,1,1,1,2,3,3,3,3,3,3,2,2,2,3,2,3,2,1,3,3,2,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,3,2,1,3,2,3,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,2,2,1,2,3,2,3,2,3,2,3,2,3,1,1,3,2,2,2,3,2,2,3,3,3,2,3,3,2,3,2,2,3,2,2,1,3,1,1,2,3,3,1,3,2,2,1,2,3,3,2,3,2,3,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[3],[[[1,3,2]]],20,<[],[385410,304440,1]>,[[304441,0],[0,1],[219848,262143]]>,<31,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[187103561644025839200801693822,-267871416282334406723414650484,1]>,[[-267871416282334406723414650489,0],[267871416282334406723414650487,-1],[3,1]]>,<47,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-1101216980226579114297386683300755,-1102880374476779568961732478802358,1]>,[[-1102880374476779568961732478802375,0],[1102880374476779568961732478802367,-1],[9,1]]>*] [x,x^2+2914,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,31,47],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,2^3*31*47,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,31,47],[4,4,4],1,[1.000000000,0.6983712382,0.9131908994],<"notfaithful",0>,[3,2]>,<2,2^3*31*47,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]]],[2,31,47],[4,4,4],1,[1.000000000,1.783032104,1.288581034],<"2.2e3_31_47.3t2.2",1>,[3,2]>]
x^3-x^2+22*x-13 -5^2*1663 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 13 x-1 5 [[-33085],[-61471],[94557]] 2 [3,2,2,2,3,1,2,3,1,2,2,2,1,1,2,2,1,3,2,2,3,2,2,2,2,1,2,3,3,3,3,2,1,3,3,2,3,2,3,3,2,1,2,2,2,1,3,1,2,1,3,3,3,1,3,3,3,2,3,2,2,3,1,2,1,2,3,2,2,2,2,3,2,2,3,3,2,1,2,3,3,3,3,2,3,3,2,1,3,3,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,3,2,1,3,2,3,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,1,2,2,3,2,3,1,2,2,1,2,3,3,3,2,2,1,2,3,3,3,3,2,2,2,1,2,1,2,3,2,1,3,2,3,2,2,2,3,2,2,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<5,6,3,[[2,3,1],[3,2,1]],[[1,2,3],[2,1,3],[2,3,1]],[3,2,1],[1,2,3],[1],[[[2,3,1]]],20,<<[],[2,4,1]>,[[35,0],[30,0],[5,0],[1,0]]>,[[[22028629517432,-12827543151440],[5620675744933,7578709454498],[-1639569194657,8716958566734]],[[2,0],[1,0],[0,0]],[[-22028629517433,12827543151440],[-5620675744934,-7578709454498],[1639569194657,-8716958566734]]]>,<1663,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[1024333922141429582676053473235088491693397417390971262797071336,6548133128935201089833848501002443732102737263944185011209714253,1]>,[[6548133128935201089833848501002443732102737263944185011209711822,0],[-6548133128935201089833848501002443732102737263944185011209713037,-1],[1216,1]]>*] [x,x^2-x+416,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,1663],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,1663,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[5,1663],[2,4],1,[1.000000000,1.309642226,1.145711357],<"notfaithful",0>,[3,2]>,<2,5^2*1663,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[5,1663],[4,5],1,[1.000000000,0.7691941620,0.7770200142],<"2.5e2_1663.3t2.1",1>,[3,2]>]
x^4-x^3+3*x^2+26*x+92 73^2*97 0 2 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 89 x-1 5 [[2496803909],[1677314182],[-1806026289],[-2368091801]] 2 [2,2,5,5,3,5,5,4,4,5,3,4,4,3,3,3,5,2,4,4,2,2,5,1,1,3,3,5,1,3,4,5,4,5,4,3,5,3,3,4,5,4,3,3,3,5,4,4,1,3,5,5,3,4,4,5,2,5,5,5,2,2,3,4,3,4,5,5,4,4,2,4,4,4,3,4,1,2,4,5,2,3,3,5,4,5,3,4,2,1,3,1,1,3,4,1,2,3,4,5,1,1,5,5,3,5,4,1,5,5,1,3,3,4,3,4,3,3,4,4,2,2,3,3,3,3,5,5,1,2,4,3,3,4,5,5,3,1,4,2,2,4,3,4,3,4,4,1,5,5,2,3,5,5,5,4,5,5,1,4,4,4,2,3,5,5,5,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-47,2>,<x^2-34*x+192,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[1,1,1]>,[[-433944,-280191],[-153753,280191],[-258924,-56970],[-201954,56970]]>,<11,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,7,1]>,[[320176439710487417598,276702936468819669915],[-271244125706130253405,-276702936468819669915],[10051110545372475041,-25085975242650867270],[2175665898684907058,25085975242650867270]]>,<73,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[1],[[[2,1,4,3]]],20,<<[],[5,70,1]>,[[-5541575049860295419685899945982287670,-965143199187030173237885142735673230],[-4339771251353997862528682614890214958,-6192572303740248834399376422878682759],[1,0]]>,[[[4339771251353997862528682614890214986,6192572303740248834399376422878682777],[-1,0]],[[28,18],[1,0]],[[4443868045960968470215442125994231738,8085607716690466230488165054396711537],[-78605217161313364092442002060767819,39490146195632930391248486307352207]],[[-8783639297314966332744124740884446751,4191407751704477225673283930191012869],[78605217161313364092442002060767819,-39490146195632930391248486307352207]]]>,<97,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[245865009898970482379311166570042488335,-358431811786181996926993983826270821828,1]>,[[-1548989182852838392815676163078769159897,0],[1190557371066656395888682179252498337948,0],[358431811786181996926993983826270821889,-1],[61,1]]>*] [x,x^2-x-18,x^2-x-24,x^2-x-1770,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,11,73,97],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,73,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,11,73,97],[1,3,6,1],1,[1.000000000,1.794636484,1.392509374],<"notfaithful",0>,[4,3]>,<1,97,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,11,73,97],[1,1,1,6],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[4,3]>,<1,73*97,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,11,73,97],[1,3,6,6],1,[1.000000000,3.736454792,1.585876711],<"notfaithful",0>,[4,3]>,<2,73*97,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,11,73,97],[2,3,6,7],1,[1.000000000,0.2345753883,0.5170937458],<"2.73_97.4t3.1",1>,[4,3]>]
x^6+8*x^4+16*x^2-3020 2^8*5^3*151^3 2 2 12 "D12" [[6,5,4,3,2,1],[1,6,5,4,3,2],[4,3,2,1,6,5]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,3,2,1,6,5]>,<2,3,[1,6,5,4,3,2]>,<3,2,[3,4,5,6,1,2]>,<6,2,[2,3,4,5,6,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 43 x^2+42*x+3 8 [[-2429046004399,1628780239835],[708614411863,1628780239835],[3137660416262,0],[2429046004399,-1628780239835],[-708614411863,-1628780239835],[-3137660416262,0]] 4 [4,6,1,6,2,1,3,6,6,5,6,3,3,4,4,1,2,3,2,4,5,4,2,3,3,3,4,6,3,5,4,4,3,6,3,4,5,6,4,3,4,3,6,3,5,4,4,4,4,1,1,6,5,6,5,6,5,4,1,3,6,5,4,6,3,5,2,5,4,5,5,4,2,5,4,4,3,3,5,3,4,3,4,5,6,6,3,3,5,4,2,4,4,6,4,4,3,5,2,5,4,1,4,5,2,3,6,5,4,5,6,3,5,4,4,1,4,4,3,6,3,3,5,6,4,5,5,4,4,5,4,4,4,3,3,3,3,4,3,3,4,3,4,4,5,6,3,5,4,6,5,3,4,6,4,2,4,3,3,3,2,3,2,4,5,6,6,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x+48,2>,<x^3-1728*x-17640288,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,12,6,[[2,1,4,3,6,5],[6,5,1,2,4,3],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3],[2,1,5,6,3,4],[6,5,1,2,4,3],[5,6,2,1,3,4]],[1,2,6,5,4,3],[1,2,4,3,5,6],[1,4],[[[2,1,4,3,6,5],[6,5,1,2,4,3]],[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[110,0],[840,0],[724,0],[3090,0],[20388,0],[8,0],[1,0]]>,[[[107540,0],[-116136,0],[114077,0],[24136,0],[86194,0],[56798,0]],[[-107540,0],[116136,0],[16995,0],[106936,0],[44878,0],[74274,0]],[[84680,14756],[-111436,-76864],[76656,5245],[18984,62104],[78910,112942],[4704,66206]],[[-84680,-14756],[111436,76864],[54416,125827],[112088,68968],[52162,18130],[126368,64866]],[[-69924,14756],[34572,-76864],[59661,5245],[43120,62104],[34032,112942],[61502,66206]],[[69924,-14756],[-34572,76864],[71411,125827],[87952,68968],[97040,18130],[69570,64866]]]>,<5,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[30828615857855,0,1]>,[[0,-1],[0,1],[33206498755184,-9536743164062],[33206498755184,9536743164062],[-33206498755184,-9536743164062],[-33206498755184,9536743164062]]>,<11,2,1,[[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4]],[2,1,5,6,3,4],[1,2],[1],[[]],20,<[],[2,7,1]>,[[-123721540352894428342,-131456153662621266555],[123721540352894428342,131456153662621266555],[12916232179640899473,3690352051325971278],[-11512872723575563713,5447620714466202695],[-12916232179640899473,-3690352051325971278],[11512872723575563713,-5447620714466202695]]>,<13,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[3274966957139203185140,-3274966957139203185140,636532185484156130659,474261728502979016232,-636532185484156130659,-474261728502979016232]>,<151,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[6,149,1]>,[[-18795366633148369786132158669387231384029278,0],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[1,0]],[[-3058392168104873695950983523677324048491629,-5393740766759085140141567453908365922084371],[-125756952051544298090380256005202124612675,0]],[[-3058392168104873695950983523677324048491629,-5393740766759085140141567453908365922084371],[125756952051544298090380256005202124612675,0]],[[3058392168104873695950983523677324048491629,5393740766759085140141567453908365922084371],[-125756952051544298090380256005202124612675,0]],[[3058392168104873695950983523677324048491629,5393740766759085140141567453908365922084371],[125756952051544298090380256005202124612675,0]]]>*] [x,x^2-x+189,x^2-755,x^2+1,x^3-x^2-x+11,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,13,151],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,5*151,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,11,13,151],[3,7,1,1,7],1,[1.000000000,1.372011157,0.9330277026],<"notfaithful",0>,[6,3]>,<1,2^2*5*151,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,13,151],[7,7,2,1,7],1,[1.000000000,0.5670649051,0.8725265467],<"notfaithful",0>,[6,3]>,<1,2^2,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,13,151],[7,1,2,1,2],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,3]>,<2,2^2*5*151,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,5,11,13,151],[7,8,1,1,8],1,[1.000000000,0.9391640747,0.9294550798],<"notfaithful",0>,[6,3]>,<2,2^4*5*151,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,11,13,151],[7,8,2,1,9],1,[1.000000000,1.859218902,1.178422584],<"2.2e4_5_151.6t3.8",1>,[6,3]>]
x^6-48*x^4+576*x^2-3020 2^8*5^3*151^3 2 2 12 "D12" [[2,1,3,5,4,6],[1,3,2,4,6,5],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,6,5,1,3,2]>,<2,3,[2,1,3,5,4,6]>,<3,2,[3,1,2,6,4,5]>,<6,2,[5,6,4,2,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 43 x^2+42*x+3 9 [[-189772629844662,53744894807019],[65904847944755,-53744894807019],[123867781899907,0],[189772629844662,-53744894807019],[-65904847944755,53744894807019],[-123867781899907,0]] 4 [4,2,1,6,6,5,3,2,6,5,6,3,3,4,4,1,6,3,6,4,5,4,6,3,3,3,4,6,3,5,4,4,3,6,3,4,1,6,4,3,4,3,6,3,5,4,4,4,4,5,5,2,5,6,1,6,1,4,1,3,2,5,4,6,3,1,2,1,4,1,5,4,2,5,4,4,3,3,5,3,4,3,4,5,6,6,3,3,5,4,2,4,4,6,4,4,3,5,6,1,4,5,4,5,6,3,6,1,4,1,6,3,5,4,4,5,4,4,3,2,3,3,5,2,4,5,5,4,4,1,4,4,4,3,3,3,3,4,3,3,4,3,4,4,5,6,3,1,4,6,5,3,4,2,4,6,4,3,3,3,6,3,6,4,5,6,6,3] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x-288,2>,<x^3-62208*x-11640672,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,12,6,[[2,1,4,3,6,5],[6,5,1,2,4,3],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3],[2,1,5,6,3,4],[6,5,1,2,4,3],[5,6,2,1,3,4]],[1,2,6,5,4,3],[1,2,4,3,5,6],[1,4],[[[2,1,4,3,6,5],[6,5,1,2,4,3]],[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[94,0],[32,0],[1896,0],[11538,0],[61712,0],[262096,0],[1,0]]>,[[[-21168,0],[-116624,0],[98845,0],[6688,0],[9076,0],[44542,0]],[[21168,0],[116624,0],[32227,0],[124384,0],[121996,0],[86530,0]],[[-13152,-47472],[37768,-41088],[98688,34077],[46496,99680],[15948,40972],[49920,13310]],[[13152,47472],[-37768,41088],[32384,96995],[84576,31392],[115124,90100],[81152,117762]],[[-34320,-47472],[-78856,-41088],[66461,34077],[53184,99680],[25024,40972],[94462,13310]],[[34320,47472],[78856,41088],[64611,96995],[77888,31392],[106048,90100],[36610,117762]]]>,<3,2,1,[[4,6,5,1,3,2]],[[1,2,3,4,5,6],[4,6,5,1,3,2]],[4,6,5,1,3,2],[1,2],[1],[[]],20,<[],[2,2,1]>,[[93581858,93581858],[-36872569,-36872569],[-56709289,-56709289],[-93581858,-93581858],[56709289,56709289],[36872569,36872569]]>,<5,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[-38948092309845,0,1]>,[[0,-1],[0,1],[22983235800103,-9536743164062],[22983235800103,9536743164062],[-22983235800103,-9536743164062],[-22983235800103,9536743164062]]>,<151,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[6,149,1]>,[[-3349762031173305566429089557566489886299787,0],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[1,0]],[[7037580185383366265030106463521013028586349,-15453821545790485415375334652354305460117687],[-125756952051544298090380256005202124612675,0]],[[7037580185383366265030106463521013028586349,-15453821545790485415375334652354305460117687],[125756952051544298090380256005202124612675,0]],[[-7037580185383366265030106463521013028586349,15453821545790485415375334652354305460117687],[-125756952051544298090380256005202124612675,0]],[[-7037580185383366265030106463521013028586349,15453821545790485415375334652354305460117687],[125756952051544298090380256005202124612675,0]]]>*] [x,x^2-x+189,x^2-755,x^2+1,x^3+8*x-6,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,151],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,5*151,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,151],[3,1,7,7],1,[1.000000000,1.372011157,0.9330277026],<"notfaithful",0>,[6,3]>,<1,2^2*5*151,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,151],[7,2,7,7],1,[1.000000000,0.5670649051,0.8725265467],<"notfaithful",0>,[6,3]>,<1,2^2,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,151],[7,2,1,2],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[6,3]>,<2,2^2*5*151,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,151],[7,1,8,8],1,[1.000000000,1.981635744,1.274746255],<"notfaithful",0>,[6,3]>,<2,2^4*5*151,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[-1]],[[1],[1]]],[2,3,5,151],[7,2,8,9],1,[1.000000000,0.8206452051,0.8608097177],<"2.2e4_5_151.6t3.14",1>,[6,3]>]
