x^2-x+424 -3*5*113 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 29 x-1 5 [[-1347124],[1347125]] 2 [1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[426,3,1]>,[[-1,-1],[2,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[430,5,1]>,[[-2,-1],[3,1]]>,<113,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[3616,113,1]>,[[-56,-1],[57,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,5,113],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*5*113,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,5,113],[3,3,3],1,[1.000000000,1.526142255,1.282991645],<"1.3t5t113.2.1.2t1.1",1>,[2,1]>]
x^4-10*x^2+4 2^6*3^2*7^2 4 0 4 "C2^2" [[2,1,4,3],[4,3,2,1]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,1,[4,3,2,1]>,<2,1,[3,4,1,2]>] [[1,1,1,1],[2,2]] 5 x-1 6 [[-1154],[3737],[-3737],[1154]] 1 [2,4,1,2,2,2,3,4,4,4,2,3,3,1,1,4,3,2,1,4,4,3,3,3,4,1,2,2,3,2,3,3,2,4,4,3,2,1,1,1,2,2,4,1,4,2,1,2,3,2,2,4,4,3,3,4,1,2,3,2,4,1,4,1,4,4,1,1,2,2,3,4,2,3,1,1,4,2,2,4,3,3,4,4,2,2,2,1,1,3,3,1,3,2,1,1,1,3,4,3,1,4,3,2,1,4,3,3,4,4,2,3,2,4,3,2,4,1,4,2,2,1,1,2,4,4,3,1,2,2,1,4,3,3,3,4,1,4,1,2,4,4,3,2,2,1,2,3,4,4,3,3,1,1,1,4,3,3,4,1,2,2,3,3,2,1,3,2] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+24,2>,<x-60,3>,<x-24,4>]*]] [*<2,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,4],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[-474960,98666],[0,0],[1,0]]>,[[[0,0],[1,0]],[[0,0],[131071,0]],[[0,0],[24669,49333]],[[0,0],[106403,81739]]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,4,3],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-1712079177,0],[-887352609,-887352609],[1,0]]>,[[[887352611,887352611],[-1,0]],[[2,2],[1,0]],[[-2,-2],[-1,0]],[[-887352611,-887352611],[1,0]]]>,<7,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,4,2,3],[1],[[[2,1,4,3]]],20,<<[],[3,6,1]>,[[-28,-49],[7,7],[1,0]]>,[[[-5,-4],[-1,0]],[[2,3],[1,0]],[[-2,-3],[-1,0]],[[5,4],[1,0]]]>*] [x,x^2-x-5,x^2-14,x^2-6] [1,2,2,2] <[1],[2],[3],[4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,2]>,<1,3*7,1,[[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7],[2,5,5],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,2]>,<1,2^3*7,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7],[5,3,5],1,[1.000000000,0.9087107831,0.9420581177],<"notfaithful",0>,[4,2]>,<1,2^3*3,1,[[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7],[5,5,2],1,[1.000000000,0.9358813101,1.007312281],<"notfaithful",0>,[4,2]>]
x^4-2*x^3-13*x^2+14*x+7 2^6*3^2*7^2 4 0 4 "C2^2" [[2,1,4,3],[4,3,2,1]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,1,[4,3,2,1]>,<2,1,[3,4,1,2]>] [[1,1,1,1],[2,2]] 17 x-1 5 [[-35035],[532495],[-532494],[35036]] 1 [2,4,4,1,3,3,1,3,2,3,2,4,1,4,1,3,4,3,4,2,2,1,4,1,2,4,2,3,4,2,1,4,2,3,3,1,3,4,1,4,3,3,2,1,3,2,4,2,4,3,2,2,2,4,1,2,4,2,4,2,3,4,3,1,2,3,4,1,3,3,1,2,2,4,4,1,3,3,2,2,4,4,2,2,2,3,2,1,4,1,4,1,1,3,4,1,4,1,3,4,4,3,4,2,4,2,4,1,2,2,2,4,2,3,1,2,3,1,3,3,3,1,4,3,3,3,4,1,2,3,4,2,1,4,1,2,4,3,4,2,3,3,1,3,3,1,3,1,3,2,4,1,4,1,4,2,1,1,2,4,3,2,1,4,2,1,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"RES",<[1],x^2>,[<x-2,2>,<x+14,3>,<x-28,4>]*]] [*<2,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,4,2,3],[3],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[138814,-98668],[-474956,98668],[1,0]]>,[[[0,1],[1,0]],[[-49332,-98667],[262143,0]],[[49333,98667],[1,0]],[[1,-1],[262143,0]]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,4,3],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-811851231,1604959902],[-1069973271,-1069973268],[1,0]]>,[[[1069973271,1069973269],[-1,0]],[[0,1],[1,0]],[[1,-1],[-1,0]],[[-1069973270,-1069973269],[1,0]]]>,<7,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[-4609765579368306,9219531158736605,1]>,[[-9219531158736605,-1],[0,1],[1,-1],[9219531158736606,1]]>,<13,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,12,1]>,[[2925636553828391635349,5238847036024931798925],[-2925636553828391635348,-5238847036024931798925],[589222793105696859012,220030489715569985725],[-589222793105696859011,-220030489715569985725]]>*] [x,x^2-42,x^2-2,x^2-x-5] [1,2,2,2] <[1],[2],[3],[4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,13],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,2]>,<1,2^3*3*7,1,[[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,13],[5,5,5,1],1,[1.000000000,1.005012886,0.9790155141],<"notfaithful",0>,[4,2]>,<1,2^3,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,13],[5,3,1,3],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,2]>,<1,3*7,1,[[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,13],[2,5,5,2],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,2]>]
