x^2-x+109 -3*5*29 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 11 x-1 5 [[-64852],[64853]] 2 [2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[111,3,1]>,[[-1,-1],[2,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[115,5,1]>,[[-2,-1],[3,1]]>,<29,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[319,29,1]>,[[-14,-1],[15,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,5,29],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*5*29,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,5,29],[3,3,3],1,[1.000000000,0.6025113543,0.7829419124],<"1.3_5_29.2t1.1",1>,[2,1]>]
x^6-x^5-5*x^4+4*x^3+31*x^2-30*x+25 -3^3*983^2 0 3 12 "D12" [[5,6,4,3,1,2],[2,1,3,4,6,5],[1,4,6,2,5,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[5,6,4,3,1,2]>,<2,3,[2,1,3,4,6,5]>,<2,3,[6,5,4,3,2,1]>,<3,2,[4,1,6,2,3,5]>,<6,2,[3,5,2,6,4,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 13 x^2+12*x+2 7 [[-14163942,3471788],[6923119,-3471788],[-11380717,0],[27511506,0],[-26306501,22501629],[17416536,-22501629]] 4 [6,5,4,5,4,3,4,5,6,4,1,1,2,5,6,6,2,3,1,4,3,1,4,6,3,4,3,6,3,4,3,6,4,5,4,5,3,5,6,6,4,3,2,1,4,3,3,5,4,3,2,4,3,2,4,2,6,3,3,6,3,2,3,4,5,4,3,1,4,5,6,6,5,3,3,4,6,3,6,3,4,3,4,1,1,2,4,3,6,3,4,4,3,4,3,6,4,6,1,3,5,6,6,4,5,5,2,4,4,3,3,5,2,5,1,4,3,4,4,4,3,5,6,4,5,4,5,2,3,5,1,2,5,5,4,3,6,3,4,6,3,4,5,6,1,4,3,4,3,2,3,6,3,4,3,4,3,4,3,4,4,2,3,4,4,2,5,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,3*],[*[2,2,2],"RES",<[1],x^2>,[<x+2,2>,<x^3+11*x^2+284*x-451,4>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<3,6,2,[[2,1,4,3,6,5],[5,6,1,2,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[5,6,1,2,3,4],[3,4,5,6,1,2],[6,5,2,1,4,3],[4,3,6,5,2,1]],[5,6,1,2,3,4],[1,2,5,5,6,6],[1],[[[2,1,4,3,6,5]]],20,<<[],[1,2,0,1]>,[[1224912957,1460806218,248529894],[-327730614,1574183769,625898142],[1,0,0]]>,[[[327730614,-1574183767,-625898141],[-1,0,0]],[[0,2,1],[1,0,0]],[[-1310862018,-113667917,131385241],[-317605495,-393686521,-380504497]],[[-1154695515,1432099864,1506231010],[317605495,393686521,380504497]],[[1304314493,702070380,-331067120],[502782190,-437713902,54482431]],[[833512427,-446318562,-680650991],[-502782190,437713902,-54482431]]]>,<5,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,4],[1],[[]],20,<[],[2,4,1]>,[[-24899268839157,9657665111948],[31837502353676,-9657665111948],[4208030068970,4784665224515],[4142855499035,-4784665224515],[4862413845021,1485115111110],[-1078046599419,-1485115111110]]>,<37,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-4434918706921230630462915790146,7234002942035548141151018818342,-8744582882122925424982882486092,5891364371343604519813797429681,224161768736308369302670402432,-170027493071304974821688374216]>,<983,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,3,4],[1],[[[1,2,4,3,6,5]]],20,<<[],[5,981,1]>,[[109922866384738212587880748572018786731895585612826817767528,203273649225266357515075509354928563374133936977265327162371],[70480859036156903488320129644971613537203259895573440211709,-220341683816828809381493311874553162845037300246723992901411],[1,0]]>,[[[-43335439780405105312105403680678067663178662458583635027711,285832912192499510893646232757493685216393975198844598728140],[0,0]],[[-116793791051337503454011140893045211070505764753155697400656,-285832912192499510893646232757493685216393975198844598728140],[0,0]],[[-70480859036156903488320129644971613537203259895573440211057,220341683816828809381493311874553162845037300246723992901439],[-1,0]],[[652,28],[1,0]],[[137454339647856950405180566699958254885552915194178871275780,-63217670893478616636814365935116035003398410277816803677674],[-285415932224665033094530548438975976024393243825670734688,207691732937586185687014789073316337073060406358990643404]],[[93155750220042561849256107518736637385334771913133901362993,-157124012923350192744678945939437127841638889968907189223793],[285415932224665033094530548438975976024393243825670734688,-207691732937586185687014789073316337073060406358990643404]]]>*] [x,x^2-x+246,x^2-x-737,x^2-x+1,x^3-x^2+6*x-5,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,37,983],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,983,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[3,5,37,983],[1,3,1,7],1,[1.000000000,2.705433591,1.456456546],<"notfaithful",0>,[6,3]>,<1,3*983,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,37,983],[7,1,1,7],1,[1.000000000,1.068868574,0.8578805506],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,37,983],[7,2,1,2],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<2,983,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[3,5,37,983],[5,3,1,7],1,[1.000000000,0.3819245909,0.6653136057],<"notfaithful",0>,[6,3]>,<2,3^2*983,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[3,5,37,983],[7,3,1,8],1,[1.000000000,1.329757666,1.210206173],<"2.3e2_983.6t3.2",1>,[6,3]>]
x^6-16*x^4+64*x^2-345 3^3*5^3*23^3*43^2 2 2 12 "D12" [[1,3,2,4,6,5],[4,6,5,1,3,2],[2,1,6,5,4,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,6,5,1,3,2]>,<2,3,[1,3,2,4,6,5]>,<3,2,[5,3,4,2,6,1]>,<6,2,[3,1,5,6,4,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 7 x^2+6*x+3 12 [[5556598492,3655206907],[3023242743,0],[2533355749,3655206907],[-5556598492,-3655206907],[-3023242743,0],[-2533355749,-3655206907]] 4 [4,4,4,4,5,3,3,6,1,6,5,4,3,1,5,3,3,2,5,2,6,3,3,4,1,3,5,3,3,6,3,6,6,5,4,4,4,6,1,5,6,3,4,3,5,6,4,6,6,3,4,3,6,1,4,6,3,5,6,1,5,3,3,3,4,5,4,5,4,4,5,5,5,4,3,6,4,3,5,4,4,6,1,4,5,1,6,4,3,6,6,5,3,2,4,6,3,4,4,5,3,3,3,5,6,6,4,4,3,4,6,1,3,3,2,4,5,4,4,5,3,6,6,5,4,1,3,3,4,4,4,2,2,4,6,3,2,1,3,3,4,3,3,3,4,4,3,1,4,4,3,1,3,4,5,4,3,2,4,5,5,2,3,5,3,6,4,6] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2-3*x+1>,[<x-96,2>,<x^3-6912*x-1790856,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,2,1,[[1,2,6,5,4,3]],[[1,2,3,4,5,6],[1,2,6,5,4,3]],[1,2,6,5,4,3],[1,4],[1],[[]],20,<[],[1,1,1]>,[[-59147,0],[59147,0],[-130104,204933],[130104,-204933],[-189251,204933],[189251,-204933]]>,<3,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[-967037403,0],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[1,0]],[[952217180,952217180],[-581130733,0]],[[952217180,952217180],[581130733,0]],[[-952217180,-952217180],[-581130733,0]],[[-952217180,-952217180],[581130733,0]]]>,<5,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,4,1]>,[[-6689788064455,0],[0,0],[1,0]]>,[[[0,0],[-1,0]],[[0,0],[1,0]],[[-27774255433211,33796588103707],[-9536743164062,0]],[[-27774255433211,33796588103707],[9536743164062,0]],[[27774255433211,-33796588103707],[-9536743164062,0]],[[27774255433211,-33796588103707],[9536743164062,0]]]>,<13,2,1,[[2,1,6,5,4,3]],[[1,2,3,4,5,6],[2,1,6,5,4,3]],[2,1,6,5,4,3],[1,3],[1],[[]],20,<[],[2,12,1]>,[[5665245602050332251158,7279195525301988521460],[-5665245602050332251158,-7279195525301988521460],[-203489603173665869637,-715757181900102039376],[385925162625118061187,-715757181900102039376],[203489603173665869637,715757181900102039376],[-385925162625118061187,715757181900102039376]]>,<23,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[625699969753474158226441571,0,1]>,[[0,-1],[0,1],[530900324397428848728231863,-37307735463795355280954243],[530900324397428848728231863,37307735463795355280954243],[-530900324397428848728231863,-37307735463795355280954243],[-530900324397428848728231863,37307735463795355280954243]]>,<43,2,2,[[1,2,4,3,6,5]],[[1,2,3,4,5,6],[1,2,4,3,6,5]],[1,2,3,4,5,6],[1,4],[1],[[[1,2,4,3,6,5]]],20,<[],[-127418281505283344428870962841817,13601327100172872639765361355509,1]>,[[13601327100172872639765361355461,0],[-13601327100172872639765361355461,0],[-13601327100172872639765361355485,-1],[24,1],[-24,-1],[13601327100172872639765361355485,1]]>*] [x,x^2-x+3709,x^2-x-86,x^2-x+11,x^3-x^2-10*x+52,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,13,23,43],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,3*5*23*43,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,13,23,43],[3,7,7,3,7,7],1,[1.000000000,0.6190380425,0.7863136542],<"notfaithful",0>,[6,3]>,<1,3*5*23,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,13,23,43],[1,7,7,2,7,1],1,[1.000000000,2.048451238,1.355357224],<"notfaithful",0>,[6,3]>,<1,43,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,13,23,43],[2,2,2,1,1,7],1,[1.000000000,0.4790883882,0.6905410722],<"notfaithful",0>,[6,3]>,<2,3*5*23*43,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,5,13,23,43],[3,7,7,3,7,7],1,[1.000000000,2.125214706,1.236771649],<"notfaithful",0>,[6,3]>,<2,3*5*23*43,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1],[-1]]],[2,3,5,13,23,43],[3,7,7,3,8,8],1,[1.000000000,0.8579755133,0.9198951825],<"2.3_5_23_43.6t3.11",1>,[6,3]>]
x^4-x^3+26*x^2-48*x+56 7^2*281^2 0 2 12 "A4" [[2,3,1,4],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<3,4,[2,3,1,4]>,<3,4,[3,1,2,4]>] [[1,1,1,1],[1,3],[2,2]] 41 x-1 5 [[-647669],[-49990422],[-49329703],[-15888406]] 2 [4,3,4,1,3,2,3,4,4,2,3,4,1,2,4,3,3,4,3,2,3,4,2,4,2,3,4,4,3,2,1,4,3,1,4,3,3,4,2,4,3,2,4,3,2,3,2,1,3,4,4,1,3,2,4,3,3,4,3,2,3,2,2,3,4,4,4,2,3,1,3,4,3,4,2,4,3,4,4,3,2,2,3,2,4,4,1,4,2,2,4,3,3,2,4,2,4,3,4,4,1,3,3,4,3,3,2,4,3,2,4,3,2,3,1,3,2,3,4,2,3,1,4,3,4,1,4,4,2,4,3,1,4,2,4,2,3,3,2,3,2,4,3,2,3,1,2,3,4,4,4,2,2,4,3,2,4,4,2,3,4,2,2,4,3,3,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,3],"ALT",[1,3,4,2],[<x-15736,4>,<x+15736,3>]*],[*[2,2],"CYC",0,2*]] [*<2,3,1,[[1,4,2,3]],[[1,2,3,4],[1,4,2,3],[1,3,4,2]],[1,4,2,3],[1,4,3],[1],[[]],20,<[],[1,1,0,1]>,[[-308517,0,0],[49386,51246,-80180],[-46370,-106186,-92742],[43358,54940,-89222]]>,<7,3,3,[[1,4,2,3]],[[1,2,3,4],[1,4,2,3],[1,3,4,2]],[1,2,3,4],[1,3,4],[1],[[[1,4,2,3]]],20,<[],[4521355800102477,15761223592340303,-26797659985214034,1]>,[[-26797659985214048,11398895185373143,11398895185373143],[-6773599419699751,1224600505700513,-5641290129193654],[33571259404913795,-1224600505700514,5641290129193654],[5,1,0]]>,<281,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,2,2],[1],[[[2,1,4,3]]],20,<<[],[3,280,1]>,[[-1143263125132409856065522505970908527053061123138,-571871504645204609993493622140895223782302080846],[-4093946873682111181818997908066395928293103596750,-3831546248455458409112567723949681679519070367137],[1,0]]>,[[[4093946873682111181818997908066395928293103596997,3831546248455458409112567723949681679519070367346],[-1,0]],[[247,209],[1,0]],[[-4586503600700760715902829480329200646022320527160,-3693854991636703777859988796942730787946186764641],[3893212065149250250658011880420578998913469734,-12276068994807992484424511018101617791913937715]],[[492556727018649534083831572262804717729216929917,-137691256818754631252578927006950891572883602914],[-3893212065149250250658011880420578998913469734,12276068994807992484424511018101617791913937715]]]>*] [x,x^3-x^2-2*x+1,x^3-x^2-2*x+1,0] [1,2,3,4] <[1],[2,3],[4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,281],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,4]>,<1,7,3,[[1,0],[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,7,281],[4,5,1],0,[0.8959532197-0.4441484303*i,0.5377473805-0.1052975456*i,0.7992187436-0.1018472971*i],<"notfaithful",0>,[4,4]>,<1,7,3,[[1,0],[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,7,281],[4,5,1],0,[0.8959532197+0.4441484303*i,0.5377473805+0.1052975456*i,0.7992187436+0.1018472971*i],<"notfaithful",0>,[4,4]>,<3,7^2*281^2,1,[[3],[-1],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1]],[[1],[1]]],[2,7,281],[3,5,6],1,[0,0,0],<"3.7e2_281e2.4t4.1",1>,[4,4]>]
