x^2-x+2609 -5*2087 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[6645],[-6644]] 2 [2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2615,5,1]>,[[-2,-1],[3,1]]>,<2087,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1091501,2087,1]>,[[-1043,-1],[1044,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,2087],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*2087,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,2087],[3,3],1,[1.000000000,0.6765911718,0.7414237129],<"1.5_2087.2t1.1",1>,[2,1]>]
x^2+5102 -2^3*2551 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[1],[-1]] 2 [1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[5102,0,1]>,[[0,1],[0,262143]]>,<2551,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[5102,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,2551],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*2551,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,2551],[3,3],1,[1.000000000,1.495404085,1.097467020],<"1.2e3_2551.2t1.2",1>,[2,1]>]
x^4-37*x^2+84 3*7*1033^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 127 x-1 5 [[14531856041],[14105578525],[-14105578525],[-14531856041]] 1 [4,1,3,1,5,5,2,4,5,5,4,2,2,2,3,5,3,4,3,5,5,3,2,3,5,2,5,5,3,4,1,3,4,5,5,1,5,2,1,3,4,5,4,3,5,5,1,5,3,5,4,5,5,3,3,4,1,4,1,5,5,3,4,1,5,4,3,3,4,4,3,5,4,2,3,3,5,5,5,5,2,1,4,4,5,4,5,2,1,3,3,1,3,4,3,2,3,2,5,2,1,4,1,5,3,4,3,1,4,4,5,3,5,5,3,4,4,3,5,5,4,3,3,4,4,4,2,3,4,4,1,4,3,3,2,5,1,4,3,4,4,5,3,5,4,3,5,3,5,5,3,1,1,3,1,4,2,3,4,3,4,5,3,2,4,1,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-222,2>,<x^2-12096,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[1,1,1]>,[[-121126,19892],[121126,-19892],[19817,0],[-19817,0]]>,<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[696903144,0,1]>,[[748149917,0],[-748149917,0],[0,-1],[0,1]]>,<7,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[18031482284651759,0,1]>,[[33524932261187784,0],[-33524932261187784,0],[0,-1],[0,1]]>,<1033,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[911877852756603046008672117796662318001645688361294887708174,541969500390747717576106807592703394765682414050601432891864,1]>,[[-541969500390747717576106807592703394765682414050601432890882,-1],[982,1],[-982,-1],[541969500390747717576106807592703394765682414050601432890882,1]]>*] [x,x^2-x-258,x^2-x-5,x^2-x-5423,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,1033],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,1033,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,1033],[1,1,1,6],1,[1.000000000,2.517852252,1.457805971],<"notfaithful",0>,[4,3]>,<1,3*7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,7,1033],[4,6,6,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,3]>,<1,3*7*1033,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,7,1033],[3,6,6,6],1,[1.000000000,0.7537237817,0.7836712977],<"notfaithful",0>,[4,3]>,<2,3*7*1033,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,7,1033],[3,6,6,6],1,[1.000000000,1.847442309,1.213641518],<"2.3_7_1033.4t3.3",1>,[4,3]>]
x^4-2*x^3+52*x^2-51*x+392 3*7*1033^2 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 41 x-1 6 [[665102086],[1131805920],[-1131805919],[-665102085]] 2 [4,4,3,1,5,5,1,4,5,5,4,2,1,2,3,5,3,4,3,5,5,3,1,3,5,1,5,5,3,4,1,3,4,5,5,1,5,2,2,3,4,5,4,3,5,5,1,5,3,5,4,5,5,3,3,4,2,4,1,5,5,3,4,2,5,4,3,3,4,4,3,5,4,2,3,3,5,5,5,5,1,1,4,4,5,4,5,2,2,3,3,2,3,4,3,1,3,1,5,2,1,4,2,5,3,4,3,2,4,4,5,3,5,5,3,4,4,3,5,5,4,3,3,4,4,4,2,3,4,4,1,4,3,3,1,5,2,4,3,4,4,5,3,5,4,3,5,3,5,5,3,2,1,3,1,4,2,3,4,3,4,5,3,1,4,2,1,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-51,2>,<x^2+100*x-3569,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,2,1]>,[[-696903135,0],[3,0],[1,0]]>,[[[544594950,-1198797251],[0,0]],[[-544594949,1198797251],[0,0]],[[-1,0],[-1,0]],[[2,0],[1,0]]]>,<7,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[18031482284651815,7,1]>,[[26966542720548739,11398895185373143],[30027933206316977,0],[-3,-1],[4,1]]>,<17,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[-68534409331841834051127,68534409331841834051128,-76095224090559907294636,76095224090559907294637]>,<1033,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[177183078134319294762320228584052259008625232914307559855211,420455326445580814389449026784068798725664017430012272039785,1]>,[[-420455326445580814389449026784068798725664017430012272039027,-1],[758,1],[-757,-1],[420455326445580814389449026784068798725664017430012272039028,1]]>*] [x,x^2-x-258,x^2-x-5,x^2-x-5423,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,17,1033],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,1033,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,7,17,1033],[1,1,1,6],1,[1.000000000,2.517852252,1.457805971],<"notfaithful",0>,[4,3]>,<1,3*7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,7,17,1033],[6,6,1,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,3]>,<1,3*7*1033,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,7,17,1033],[6,6,1,6],1,[1.000000000,0.7537237817,0.7836712977],<"notfaithful",0>,[4,3]>,<2,3*7*1033,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[3,7,17,1033],[6,7,1,7],1,[1.000000000,1.340200985,0.9875179769],<"2.3_7_1033.4t3.4",1>,[4,3]>]
