x^2-x-417 1669 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[78],[-77]] 1 [2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<1669,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[695973,1669,1]>,[[-834,-1],[835,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[1669],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,1669,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[1669],[3],1,[1.000000000,1.027111752,0.9084440302],<"1.1669.2t1.1",1>,[2,1]>]
x^6+12*x^4+36*x^2+8 -2^9*3^8 0 3 6 "C6" [[4,5,6,1,2,3],[5,6,4,2,3,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<3,1,[3,1,2,6,4,5]>,<3,1,[2,3,1,5,6,4]>,<6,1,[5,6,4,2,3,1]>,<6,1,[6,4,5,3,1,2]>] [[1,1,1,1,1,1],[2,2,2],[3,3],[6]] 37 x^2+33*x+2 5 [[-23419947,-20331379],[10390152,-11978286],[13029795,32309665],[23419947,20331379],[-10390152,11978286],[-13029795,-32309665]] 2 [5,1,6,5,4,6,1,1,6,5,6,2,3,4,5,2,3,5,3,2,1,5,4,1,4,5,6,1,2,3,2,3,4,3,6,5,6,1,6,5,1,2,5,3,2,2,3,5,4,6,1,6,4,1,3,5,2,2,5,4,3,6,1,6,4,5,4,3,3,5,4,2,5,6,1,6,5,2,3,3,3,5,2,1,5,4,1,4,5,6,1,5,2,3,3,2,6,1,1,2,4,2,3,4,3,1,4,1,6,4,6,2,3,4,2,4,3,2,6,4,6,4,5,1,4,2,5,2,5,6,1,6,6,2,3,3,2,3,6,1,1,5,6,1,2,5,5,4,3,2,6,1,1,6,4,5,2,4,1,6,4,1,6,1,3,5,2,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^5+2*x^4+3*x^3+4*x^2+5*x+6>,[<x-228,3>,<x-372,4>]*],[*[6],"RES",<[1],x^5+2*x^4+3*x^3+4*x^2+5*x+6>,[<x+372,5>,<x+228,6>]*]] [*<2,6,2,[[3,4,6,5,1,2]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[6,5,2,1,3,4],[4,3,5,6,2,1],[3,4,6,5,1,2],[5,6,1,2,4,3]],[3,4,6,5,1,2],[1,2,3,4,5,6],[3],[[[2,1,4,3,6,5]]],20,<<[],[1,1,0,1]>,[[-461068,-183630,-495000],[262144,0,-131072],[1,0,0]]>,[[[0,0,65536],[1,0,32768]],[[0,0,65536],[65535,0,32768]],[[65536,0,65536],[40608,36703,11757]],[[65536,0,65536],[24928,28833,53779]],[[65536,0,0],[24929,28833,21011]],[[65536,0,0],[40607,36703,44525]]]>,<3,3,3,[[3,1,2,5,6,4]],[[1,2,3,4,5,6],[3,1,2,5,6,4],[2,3,1,6,4,5]],[1,2,3,4,5,6],[1,4,3],[2],[[[3,1,2,5,6,4]]],20,<[],[-1069973250,18,6,1]>,[[2,1,0],[-184576396,-92288198,73783073],[184576394,92288197,313637416],[-2,-1,0],[-184576394,-92288197,73783073],[184576396,92288198,313637416]]>*] [x,x^2+2,x^3-3*x-1,0,x^3-3*x-1,0] [1,2,3,4,2,6] <[1],[2],[3,5],[4,6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,1]>,<1,2^3,1,[[1],[-1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3],[7,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[6,1]>,<1,3^2,3,[[1,0],[1,0],[0,1],[-1,-1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3],[4,7],0,[0.7660444431-0.6427876097*i,0.5894898174-0.1730977885*i,0.8313555572-0.1465904153*i],<"notfaithful",0>,[6,1]>,<1,2^3*3^2,3,[[1,0],[-1,0],[0,1],[-1,-1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[2,3],[7,7],0,[0.7660444431-0.6427876097*i,1.263065016-0.2227124408*i,1.035467336-0.03117135005*i],<"1.2e3_3e2.6t1.1",1>,[6,1]>,<1,3^2,3,[[1,0],[1,0],[-1,-1],[0,1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3],[4,7],0,[0.7660444431+0.6427876097*i,0.5894898174+0.1730977885*i,0.8313555572+0.1465904153*i],<"notfaithful",0>,[6,1]>,<1,2^3*3^2,3,[[1,0],[-1,0],[-1,-1],[0,1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[2,3],[7,7],0,[0.7660444431+0.6427876097*i,1.263065016+0.2227124408*i,1.035467336+0.03117135005*i],<"1.2e3_3e2.6t1.1",2>,[6,1]>]
x^3-48*x-188 -2^2*3^4*5*79 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 47 x-1 5 [[-114404298],[86505663],[27898635]] 2 [2,1,1,3,3,2,3,3,2,2,3,3,2,3,1,3,2,2,2,2,2,1,2,3,2,1,3,3,2,1,3,3,3,2,2,3,1,2,2,3,3,1,2,3,3,2,2,2,3,2,3,1,1,2,2,2,1,2,2,3,2,1,3,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,1,1,2,2,2,3,2,1,2,2,3,1,2,2,2,1,2,2,2,1,1,1,1,2,3,2,3,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,3,3,3,3,1,3,2,3,1,2,2,2,2,2,3,2,2,3,1,2,3,3,3,2,2,3,1,1,2,2] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[3,1,2]]],20,<<[],[1,1,1]>,[[126654,0],[576,0],[524240,0],[1,0]]>,[[[0,0],[89240,0],[214735,0]],[[157568,-209152],[-233080,147368],[159488,9423]],[[-157568,209152],[143840,-147368],[150065,252721]]]>,<3,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,3],[2],[[[3,1,2]]],20,<[],[-276,-36,6,1]>,[[2,1,0],[-187857175,177539236,370216994],[187857173,-177539237,17203495]]>,<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[33876351131630,-28864276700975,1]>,[[-28864276700977,0],[28864276700976,-1],[1,1]]>,<79,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-33227019892345581736510468486928307493,33125420641365546532696308519905088806,1]>,[[33125420641365546532696308519905088798,0],[-33125420641365546532696308519905088802,-1],[4,1]]>*] [x,x^2-x+99,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,79],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,5*79,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,79],[2,1,4,4],1,[1.000000000,1.264565450,0.9253110104],<"notfaithful",0>,[3,2]>,<2,2^2*3^4*5*79,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,3,5,79],[4,4,5,5],1,[1.000000000,0.8558822907,1.004054312],<"2.2e2_3e4_5_79.3t2.1",1>,[3,2]>]
x^6-6*x^4+9*x^2+8 -2^9*3^8 0 3 6 "S3" [[3,5,1,6,2,4],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,3,[3,5,1,6,2,4]>,<3,2,[5,3,4,2,6,1]>] [[1,1,1,1,1,1],[2,2,2],[3,3]] 7 x^2+6*x+3 5 [[6230,-5150],[2714,6507],[3516,5150],[-6230,5150],[-2714,-6507],[-3516,-5150]] 2 [1,1,2,2,3,2,3,3,2,2,2,2,3,3,2,2,3,2,3,2,3,2,1,1,3,2,2,3,2,1,2,1,3,3,2,2,2,1,2,2,1,2,2,3,2,2,1,2,3,2,3,2,3,3,3,2,2,2,2,1,1,2,3,2,3,2,1,3,3,2,3,2,2,2,3,2,2,2,3,3,1,2,2,3,2,3,3,3,2,2,3,2,2,3,3,2,2,3,1,2,3,2,3,3,3,3,3,1,2,3,2,2,3,3,2,3,3,2,2,1,2,1,2,3,1,2,2,2,2,2,3,2,2,2,1,1,2,1,2,3,3,2,2,1,2,2,2,1,3,2,2,1,3,2,3,2,2,1,1,2,3,3,2,1,3,2,2,2] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[2,2,2],"CYC",0,2*],[*[3,3],"CYC",0,3*]] [*<2,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,2],[3],[[[2,1,4,3,6,5]]],20,<[],[90258,0,1]>,[[0,131070],[0,2],[-12267,1],[-12267,65535],[12267,1],[12267,65535]]>,<3,3,3,[[3,1,2,5,6,4]],[[1,2,3,4,5,6],[3,1,2,5,6,4],[2,3,1,6,4,5]],[1,2,3,4,5,6],[1,3,3],[2],[[[3,1,2,5,6,4]]],20,<[],[-1069973268,9,6,1]>,[[2,1,0],[-534986635,-267493316,193710245],[534986633,267493315,193710244],[-2,-1,0],[-534986633,-267493315,193710245],[534986635,267493316,193710244]]>*] [x,x^2+2,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,2]>,<1,2^3,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3],[4,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[6,2]>,<2,2^3*3^4,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1]],[[1]]],[2,3],[4,5],1,[1.000000000,1.653898930,1.315131442],<"2.2e3_3e4.3t2.2",1>,[6,2]>]
x^6-12*x^2+8 -2^9*3^8 4 1 24 "C2*A4" [[3,1,2,6,4,5],[1,2,6,4,5,3]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,5,6,1,2,3]>,<2,3,[4,2,3,1,5,6]>,<2,3,[4,2,6,1,5,3]>,<3,4,[3,1,2,6,4,5]>,<3,4,[2,3,1,5,6,4]>,<6,4,[6,1,2,3,4,5]>,<6,4,[2,3,4,5,6,1]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[2,2,2],[3,3],[6]] 17 x^2+16*x+3 12 [[-96058560806226,0],[-38405778566874,140854836986581],[-69872955745217,64093660185568],[96058560806226,0],[38405778566874,-140854836986581],[69872955745217,-64093660185568]] 3 [8,1,7,8,6,7,4,4,7,8,7,3,5,6,8,3,5,8,5,2,4,8,6,4,6,8,7,4,3,5,3,5,6,5,7,8,7,4,7,8,4,3,8,5,2,2,5,8,6,7,1,7,6,4,5,8,3,3,8,6,5,7,4,7,6,8,6,5,5,8,6,3,8,7,1,7,8,3,5,5,5,8,3,4,8,6,4,6,8,7,4,8,3,5,5,2,7,1,1,2,6,3,5,6,5,4,6,4,7,6,7,3,5,6,3,6,5,3,7,6,7,6,8,4,6,3,8,3,8,7,1,7,7,2,5,5,3,5,7,4,4,8,7,4,3,8,8,6,5,3,7,4,4,7,6,8,3,6,4,7,6,4,7,1,5,8,3,8] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^3-7*x^2+11*x-5>,[<x^4+16992*x^2+609792*x+97212672,5>,<x^4+4320*x^2+609792*x+16756992,6>]*],[*[6],"RES",<[1],x^3-7*x^2+11*x-5>,[<x^4+16992*x^2-609792*x+97212672,7>,<x^4+4320*x^2-609792*x+16756992,8>]*]] [*<2,24,8,[[2,1,4,3,5,6],[4,3,6,5,2,1]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[2,1,3,4,6,5],[1,2,4,3,5,6],[5,6,1,2,3,4],[3,4,5,6,1,2],[4,3,6,5,2,1],[6,5,2,1,4,3]],[4,3,6,5,2,1],[1,2,4,3,5,6,8,7],[2,6],[[[1,2,4,3,5,6],[2,1,3,4,6,5],[2,1,4,3,5,6]],[[2,1,4,3,6,5]]],20,<<[],[1,1,0,1]>,[[-154160,102370,280346],[-142272,383736,47056],[380864,95504,-422060],[-153612,-27464,-421852],[182460,310284,73438],[-26096,-480804,382856],[389704,-67186,-174884],[389344,166808,404536],[1,0,0]]>,[[[37514,-36240,34454],[28398,59640,-278],[-45488,63694,60886],[-38750,-10408,-19726],[21253,35552,56364],[35988,53172,28528],[45673,35208,1243],[8556,58680,18769]],[[-37514,36240,-34454],[-28398,-59640,278],[45488,-63694,-60886],[38750,10408,19726],[44283,29984,9172],[29548,12364,37008],[19863,30328,64293],[56980,6856,46767]],[[19710,26130,14478],[20272,-29310,-38180],[58942,37426,-35640],[-34644,48020,38036],[15760,46906,61435],[26924,53130,19306],[63002,29367,50326],[62204,33127,54447]],[[-19710,-26130,-14478],[-20272,29310,38180],[-58942,-37426,35640],[34644,-48020,-38036],[49776,18630,4101],[38612,12406,46230],[2534,36169,15210],[3332,32409,11089]],[[-64410,-32974,41208],[24990,13010,7426],[-11714,-48872,16746],[1214,-41848,63012],[2851,59842,32941],[10480,8464,6400],[18699,64131,4333],[18344,4805,31024]],[[64410,32974,-41208],[-24990,-13010,-7426],[11714,48872,-16746],[-1214,41848,-63012],[62685,5694,32595],[55056,57072,59136],[46837,1405,61203],[47192,60731,34512]]]>,<3,3,3,[[3,1,2,5,6,4]],[[1,2,3,4,5,6],[3,1,2,5,6,4],[2,3,1,6,4,5]],[1,2,3,4,5,6],[1,5,6],[2],[[[3,1,2,5,6,4]]],20,<[],[305220525,1602431424,-414278835,1]>,[[2,1,0],[563245409,16609372,314740568],[-148966570,-16609373,72679921],[-2,-1,0],[148966570,16609373,314740568],[-563245409,-16609372,72679921]]>*] [x,x^2+2,x^3-3*x-1,x^6+12*x^4+36*x^2+8,x^6+12*x^4+36*x^2+8,x^3-3*x-1,x^4-2*x^3+6*x^2-4*x+2,0] [1,2,3,6,4,2,4,8] <[1],[2],[3,6],[4,5],[7],[8]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,6]>,<1,2^3,1,[[1],[-1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3],[9,1],1,[1.000000000,1.110720735,1.064734171],<"notfaithful",0>,[6,6]>,<1,3^2,3,[[1,0],[1,0],[1,0],[1,0],[-1,-1],[0,1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3],[6,9],0,[0.7660444431+0.6427876097*i,0.5894898174+0.1730977885*i,0.8313555572+0.1465904153*i],<"notfaithful",0>,[6,6]>,<1,2^3*3^2,3,[[1,0],[-1,0],[-1,0],[1,0],[-1,-1],[0,1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[2,3],[9,9],0,[0.7660444431+0.6427876097*i,1.263065016+0.2227124408*i,1.035467336+0.03117135005*i],<"notfaithful",0>,[6,6]>,<1,2^3*3^2,3,[[1,0],[-1,0],[-1,0],[1,0],[0,1],[-1,-1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[2,3],[9,9],0,[0.7660444431-0.6427876097*i,1.263065016-0.2227124408*i,1.035467336-0.03117135005*i],<"notfaithful",0>,[6,6]>,<1,3^2,3,[[1,0],[1,0],[1,0],[1,0],[0,1],[-1,-1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3],[6,9],0,[0.7660444431-0.6427876097*i,0.5894898174-0.1730977885*i,0.8313555572-0.1465904153*i],<"notfaithful",0>,[6,6]>,<3,2^6*3^4,1,[[3],[3],[-1],[-1],[0],[0],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]]],[2,3],[9,10],1,[1.000000000,1.301153925,1.117021607],<"notfaithful",0>,[6,6]>,<3,2^9*3^4,1,[[3],[-3],[1],[-1],[0],[0],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[1]],[[1],[0],[0],[1]],[[1]],[[1],[-1]]],[2,3],[9,10],1,[1.000000000,1.308463490,1.118118651],<"3.2e9_3e4.6t6.1",1>,[6,6]>]
