x^2-415 2^2*5*83 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[46],[-46]] 1 [1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-414,2,1]>,[[1,1],[-1,-1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-415,0,1]>,[[0,-1],[0,1]]>,<83,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-415,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,5,83],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*5*83,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,5,83],[3,3,3],1,[1.000000000,1.710395632,1.146407683],<"1.2e2_5_83.2t1.1",1>,[2,1]>]
x^4-2*x^3+8*x^2-7*x+16 3^2*5^2*229 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 5 [[-142730],[-491038],[491039],[142731]] 3 [4,3,3,5,3,5,1,2,4,5,4,3,5,3,4,1,5,1,5,3,5,4,1,5,3,5,3,4,4,4,5,5,4,4,3,1,5,5,1,2,5,2,5,3,4,4,4,5,4,1,2,5,1,5,4,4,5,2,3,5,5,2,3,3,5,4,4,3,2,4,4,3,3,3,4,2,5,3,3,2,5,2,3,3,2,1,3,3,3,3,1,5,5,3,4,2,3,5,5,2,5,2,4,3,4,5,1,1,5,4,3,5,2,2,2,3,3,4,4,5,2,3,4,2,1,3,4,5,5,3,4,1,2,3,5,1,4,3,4,5,4,3,5,4,4,5,5,4,1,1,5,5,3,4,3,3,2,5,5,3,4,2,3,3,1,4,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-7,2>,<x^2+12*x-193,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[1528692276,-200375577],[133583715,133583718],[1,0]]>,[[[-133583715,-133583717],[-1,0]],[[0,1],[1,0]],[[1,-1],[-1,0]],[[133583716,133583717],[1,0]]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[19625118879480,-11893335298400],[9514668238715,4757334119360],[1,0]]>,[[[-9514668238711,-4757334119357],[-1,0]],[[4,3],[1,0]],[[-3,-3],[-1,0]],[[9514668238712,4757334119357],[1,0]]]>,<229,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-41915360959004535610290094765206539174655786836,229,1]>,[[-44528052043025482586358788122632597767394695906,0],[44528052043025482586358788122632597767394695907,0],[-114,-1],[115,1]]>*] [x,x^2-x+4,x^2-x-57,x^2-x+859,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,229],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,229],[6,6,1],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[4,3]>,<1,229,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,229],[1,1,6],1,[1.000000000,1.075468516,0.9227658892],<"notfaithful",0>,[4,3]>,<1,3*5*229,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,229],[6,6,6],1,[1.000000000,0.8576428763,0.8184310076],<"notfaithful",0>,[4,3]>,<2,3*5*229,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[3,5,229],[6,6,7],1,[1.000000000,0.8857627002,0.9253786116],<"2.3_5_229.4t3.1",1>,[4,3]>]
x^4-10*x^2+53 2^4*7^2*53 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 11 x-1 7 [[-2445981],[645648],[-645648],[2445981]] 3 [4,5,5,3,1,3,3,5,4,1,5,2,5,1,3,1,3,5,4,4,5,4,5,3,3,5,5,1,4,1,4,3,4,5,1,4,5,2,5,5,4,5,4,4,2,3,1,3,3,3,4,4,3,5,5,4,3,3,4,2,5,3,3,3,5,2,2,4,2,5,5,4,3,4,4,5,4,5,4,3,5,4,1,3,3,4,2,4,3,4,3,5,1,4,4,5,5,3,3,2,1,4,5,4,4,3,3,3,2,5,3,4,4,3,4,4,3,3,2,4,3,2,5,1,5,4,4,5,3,3,4,2,2,2,5,5,5,5,5,4,3,4,1,4,5,3,5,3,3,1,1,5,4,5,2,2,4,3,3,3,2,2,2,3,4,3,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-60,2>,<x^2-7632,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,4,3],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[2,1,3,4]],[1,2,4,3],[1,2,4,4],[2],[[[2,1,4,3]]],20,<<[],[1,1,1]>,[[425618,0],[-262142,0],[1,0]]>,[[[1,0],[1,0]],[[-1,0],[-1,0]],[[50293,-30486],[50293,-30486]],[[-50293,30486],[-50293,30486]]]>,<7,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[3,6,1]>,[[-26180122110579815,37658207158770149],[-27538126824846078,17418046490921979],[1,0]]>,[[[27538126824846080,-17418046490921976],[-1,0]],[[2,3],[1,0]],[[-2,-3],[-1,0]],[[-27538126824846080,17418046490921976],[1,0]]]>,<53,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-4343081071568156629081005590274149,0,1]>,[[11043177470705653988979644531978152,0],[-11043177470705653988979644531978152,0],[0,-1],[0,1]]>*] [x,x^2-x+2,x^2-x-13,x^2-x+93,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,53],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,53],[1,6,1],1,[1.000000000,1.187410412,1.151925471],<"notfaithful",0>,[4,3]>,<1,53,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,53],[4,1,6],1,[1.000000000,0.5400249451,0.7162159234],<"notfaithful",0>,[4,3]>,<1,7*53,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,53],[3,6,6],1,[1.000000000,1.304826910,0.9403861593],<"notfaithful",0>,[4,3]>,<2,2^4*7*53,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[1]],[[1],[-1]]],[2,7,53],[6,7,8],1,[1.000000000,1.001773409,0.9852814887],<"2.2e4_7_53.4t3.1",1>,[4,3]>]
x^4-x^3+23*x^2-17*x+139 3^2*5^2*229 0 2 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 71 x-1 5 [[452253546],[-327829767],[231289148],[-355712926]] 2 [5,3,1,5,2,5,3,2,5,4,4,3,4,3,5,3,4,2,5,1,5,4,3,4,3,4,3,5,4,5,5,4,5,4,1,1,5,5,3,3,4,1,4,3,5,4,4,5,5,4,3,4,2,4,5,5,4,2,3,4,5,3,3,1,5,5,4,3,3,4,5,1,3,3,4,3,4,3,2,1,4,1,1,3,1,3,2,3,2,3,3,4,5,1,4,3,1,4,5,2,5,3,5,2,4,5,3,3,4,4,3,5,3,1,1,1,3,5,5,4,1,3,5,3,1,2,4,4,5,3,4,3,2,3,4,1,5,3,5,4,4,2,5,5,4,4,5,5,1,3,5,4,3,5,3,1,1,4,5,1,5,3,3,2,3,5,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-7,2>,<x^2+35*x-209,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,3,3],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[1219441416,-9],[1133671494,-609720702],[1,0]]>,[[[-1133671494,609720704],[-1,0]],[[0,2],[1,0]],[[468888179,-538825043],[476604893,-478267485]],[[664783316,-70895663],[-476604893,478267485]]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[8606891749380,5138789473960,1]>,[[-5138789473958,-1],[2,1],[-7442683205319,6391374994243],[12581472679276,-6391374994243]]>,<17,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[3,16,1]>,[[1321700132252511815342273,57168838338587308023009],[406998718835114886974129,-57168838338587308023009],[66565425605726499827650,41654220242082692358496],[117315208787857396633173,-41654220242082692358496]]>,<229,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[6,228,1]>,[[-51348409933644026795313084185954343365361634243,0],[-30457979942999809394205879551502510850076115433,0],[1,0]]>,[[[-24324275543076988770643598622305627523569117473,-55270341435511543595186310013068618316123576454],[0,0]],[[-6133704399922820623562280929196883326506998041,55270341435511543595186310013068618316123576454],[0,0]],[[30457979942999809394205879551502510850076115474,0],[-1,0]],[[41,0],[1,0]]]>*] [x,x^2-x-1,x^2-x-57,x^2-x-286,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,17,229],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,17,229],[3,6,3,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[4,3]>,<1,229,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,17,229],[1,1,1,6],1,[1.000000000,1.075468516,0.9227658892],<"notfaithful",0>,[4,3]>,<1,5*229,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,17,229],[3,6,3,6],1,[1.000000000,1.850151876,1.239039300],<"notfaithful",0>,[4,3]>,<2,3^2*5*229,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1]],[[1],[-1]],[[1],[1]]],[3,5,17,229],[6,7,3,8],1,[1.000000000,0.7777960519,0.9587280230],<"2.3e2_5_229.4t3.1",1>,[4,3]>]
x^4-x^3-2*x^2-27*x+69 3^2*5^2*229 0 2 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 61 x-1 5 [[6577941],[61128256],[-324812272],[257106076]] 3 [4,1,1,5,3,5,2,2,4,5,4,3,5,3,4,2,5,1,5,3,5,4,2,5,3,5,3,4,4,4,5,5,4,4,3,1,5,5,2,1,5,2,5,3,4,4,4,5,4,1,1,5,1,5,4,4,5,2,3,5,5,1,3,3,5,4,4,3,1,4,4,3,3,3,4,1,5,3,3,2,5,2,3,3,2,2,3,3,3,3,2,5,5,3,4,1,3,5,5,2,5,1,4,3,4,5,2,2,5,4,3,5,1,2,2,3,3,4,4,5,2,3,4,1,1,3,4,5,5,3,4,2,2,3,5,1,4,3,4,5,4,3,5,4,4,5,5,4,1,2,5,5,3,4,3,3,2,5,5,3,4,1,3,3,2,4,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+33,2>,<x^2+50*x+396,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[2,1,3,4]],[[1,2,3,4],[2,1,3,4]],[2,1,3,4],[1,4],[1],[[]],20,<[],[1,1,1]>,[[-398486,-215961],[-182525,215961],[51269,0],[5455,0]]>,<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-1103671137,-1737313914,1]>,[[1737313914,-1],[0,1],[1335920414,247150631],[413550074,-247150631]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[31730541547415,13925528674205,1]>,[[-13925528674203,-1],[2,1],[-4363347186289,-7355069570916],[18288875860491,7355069570916]]>,<11,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,7,1]>,[[-146630419741415399070,149934083482547568890],[149330985745871637102,-149934083482547568890],[-5951597998505640884,-1314661427507863391],[3251031994049402853,1314661427507863391]]>,<229,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-5745342493876107504439808220973411663542623201,41915360959004535610290094765206539174655800347,1]>,[[-2215540283032545271170014697491955902489765073,0],[44130901242037080881460109462698495077145565023,0],[-41915360959004535610290094765206539174655800148,-1],[199,1]]>*] [x,x^2-x+4,x^2-x-57,x^2-x+859,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11,229],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*5,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,11,229],[1,6,6,3,1],1,[1.000000000,1.622311470,1.296618597],<"notfaithful",0>,[4,3]>,<1,229,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,5,11,229],[4,1,1,1,6],1,[1.000000000,1.075468516,0.9227658892],<"notfaithful",0>,[4,3]>,<1,3*5*229,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,11,229],[3,6,6,3,6],1,[1.000000000,0.8576428763,0.8184310076],<"notfaithful",0>,[4,3]>,<2,3*5*229,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,3,5,11,229],[3,6,6,3,6],1,[1.000000000,1.936174449,1.233600312],<"2.3_5_229.4t3.2",1>,[4,3]>]
x^4-x^3+37*x^2-9*x+351 3^2*5^2*229 0 2 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 43 x-1 5 [[22120797],[10228864],[-32376609],[26949]] 3 [5,1,3,4,3,4,3,1,5,5,4,2,5,1,5,3,5,2,4,3,4,4,3,5,2,5,1,5,4,5,4,5,5,4,3,1,4,4,3,3,5,2,5,1,5,4,4,4,5,4,3,5,2,5,5,5,5,1,1,5,4,3,1,3,4,5,4,1,3,4,5,3,2,2,4,3,5,1,3,2,5,2,3,1,2,3,3,2,3,1,3,5,4,3,4,3,3,5,4,1,4,3,5,3,4,4,3,3,5,4,1,4,3,2,2,3,2,5,5,5,2,2,5,3,1,3,4,5,4,2,4,3,1,1,5,1,5,2,5,5,4,3,4,5,4,5,4,5,1,3,4,5,2,5,2,3,2,5,4,3,5,3,2,3,3,5,2,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-27,2>,<x^2+17*x-1359,3>]*],[*[4],"CYC",0,5*]] [*<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[95409534,81287016,1]>,[[-387420489,258280329],[-243861048,129140160],[1196566265,-427628536],[-952705216,427628536]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,3,3],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[-8290290162210,-50],[21769285369610,-12957215225345],[1,0]]>,[[[-21769285369608,12957215225349],[-1,0]],[[2,4],[1,0]],[[39649322899586,-45246968196504],[-5341850340541,-7638735180945]],[[-17880037529979,32289752971151],[5341850340541,7638735180945]]]>,<19,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[202192803133320112227243,5583788835988815736017373,605230886145043222042707,-455953558286238302915385]>,<229,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[6,228,1]>,[[5304865820418666594822367080807942481425273553,0],[7521723770450990736609298235770604557555575196,0],[1,0]]>,[[[-47772617564813890641542112888928241202089984923,4377125779663818127155279585302389619858275746],[0,0]],[[55294341335264881378151411124698845759645559796,-4377125779663818127155279585302389619858275746],[0,0]],[[-7521723770450990736609298235770604557555575034,0],[-1,0]],[[162,0],[1,0]]]>*] [x,x^2-x+1,x^2-x-57,x^2-x+172,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,5,19,229],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,5,19,229],[6,3,1,1],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[4,3]>,<1,229,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,5,19,229],[1,1,1,6],1,[1.000000000,1.075468516,0.9227658892],<"notfaithful",0>,[4,3]>,<1,3*229,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,5,19,229],[6,3,1,6],1,[1.000000000,1.438310829,1.243124791],<"notfaithful",0>,[4,3]>,<2,3*5^2*229,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]],[[1],[1]]],[3,5,19,229],[6,7,1,8],1,[1.000000000,1.321310998,1.064339346],<"2.3_5e2_229.4t3.1",1>,[4,3]>]
x^5-2*x^4+24*x^3-107*x^2+68*x-12 7^2*43^2*79^2 1 2 10 "D10" [[3,5,1,4,2],[4,2,5,1,3]] [<1,1,[1,2,3,4,5]>,<2,5,[3,5,1,4,2]>,<5,2,[5,3,4,1,2]>,<5,2,[2,4,1,5,3]>] [[1,1,1,1,1],[1,2,2],[5]] 13 x^2+12*x+2 7 [[-17866807,21741956],[-29212416,12257616],[-27776211,-21741956],[165176,0],[11941743,-12257616]] 2 [2,2,3,1,3,2,4,3,3,4,2,3,4,1,3,2,1,2,4,4,4,1,2,4,2,2,1,2,2,3,2,1,4,1,1,2,2,2,2,3,2,2,3,2,2,2,3,4,2,3,4,4,4,3,1,2,2,3,2,4,2,1,4,4,3,4,4,3,2,2,4,2,2,4,2,3,2,2,2,2,2,2,4,4,2,2,4,2,4,4,4,2,3,3,2,2,3,2,4,3,3,3,2,1,2,2,2,1,3,2,2,2,1,4,3,2,2,2,2,2,3,4,4,4,2,2,2,2,1,4,3,2,2,2,4,3,3,2,4,4,4,4,2,2,2,1,4,2,2,2,4,3,2,4,3,2,4,2,2,2,2,2,3,2,2,2,1,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-380464,4>,<x+380464,3>]*]] [*<2,2,1,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,3,2,5,4],[1,2],[1],[[]],20,<[],[1,1,1]>,[[34405,0],[-392638,-475197],[82559,475197],[-3674,-20880],[17206,20880]]>,<7,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-28875586542021436,-9345826449304779,1]>,[[26681816149594581,0],[9345826449304781,-1],[2,1],[-9911152342013390,-3300720959577420],[-26116490256885972,3300720959577420]]>,<43,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[3852188212201321219157809192956,110950502985430360090976767526609,1]>,[[-15842805558888614511325825771839,0],[-110950502985430360090976767526577,-1],[32,1],[82413296488625069860624089687776,108959596284466491525733998228],[44380012055693904741678503610610,-108959596284466491525733998228]]>,<79,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[30061828980853409229233907717785986017,-12867619476207976776281674170398899268,1]>,[[8547193607745218122096372722563189139,0],[12867619476207976776281674170398899289,-1],[21,1],[-38909716871072408326522677502978082847,34375347339519174228659550054738086],[17494903787119213428144630610015994400,-34375347339519174228659550054738086]]>*] [x,x^2-x+5945,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,43,79],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,7*43*79,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,7,43,79],[2,5,5,5],1,[1.000000000,0.8149164237,0.7594704391],<"notfaithful",0>,[5,2]>,<2,7*43*79,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,7,43,79],[2,5,5,5],1,[1.000000000,1.079779577,1.015973405],<"2.7_43_79.5t2.1",1>,[5,2]>,<2,7*43*79,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,7,43,79],[2,5,5,5],1,[1.000000000,1.826980876,1.129322367],<"2.7_43_79.5t2.1",2>,[5,2]>]
