x^2-422 2^3*211 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-6290],[6290]] 1 [1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[3],[[[2,1]]],20,<[],[-422,0,1]>,[[0,1],[0,262143]]>,<211,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-422,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,211],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^3*211,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,211],[3,3],1,[1.000000000,0.8011520571,0.8874567326],<"1.2e3t211.2.1.2t1.1",1>,[2,1]>]
x^4-2*x^3-4*x^2+5*x+3 3*13^2*23 4 0 8 "D8" [[2,1,4,3],[1,3,2,4]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[4,2,3,1]>,<4,2,[3,1,4,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 107 x-1 5 [[5359009528],[4636661423],[-4636661422],[-5359009527]] 1 [5,1,3,5,3,3,2,5,4,4,3,5,5,4,5,2,5,4,5,5,3,4,3,3,5,4,4,1,5,1,1,4,3,2,3,3,4,3,5,4,4,4,1,3,5,4,2,3,3,5,4,5,5,1,4,2,4,3,2,3,4,3,3,4,4,5,3,4,4,3,5,3,4,4,5,3,2,3,3,3,2,5,3,4,2,4,5,5,5,3,2,3,3,4,3,2,5,1,4,3,1,3,1,2,4,3,5,5,4,2,2,5,3,5,5,1,5,4,4,2,5,1,1,5,3,1,5,4,4,5,3,3,4,4,5,5,3,5,1,4,3,5,2,3,2,3,3,4,2,5,3,1,2,4,4,2,4,5,4,3,5,1,3,2,3,3,1,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+5,2>,<x^2-12*x-33,3>]*],[*[4],"CYC",0,5*]] [*<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[42835440,3,1]>,[[946441029,0],[-946441028,0],[-1,-1],[2,1]]>,<13,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,12,1]>,[[1119559400379131179130,5831885932085716629919],[-1572755673797550394919,6072861979327341413800],[1,0]]>,[[[1572755673797550394927,-6072861979327341413789],[-1,0]],[[8,11],[1,0]],[[-7,-11],[-1,0]],[[-1572755673797550394926,6072861979327341413789],[1,0]]]>,<23,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[5,21,1]>,[[241157648543443436882425803,0],[23,0],[1,0]]>,[[[99428500557600498402263173,172912793513541603935824607],[0,0]],[[-99428500557600498402263172,-172912793513541603935824607],[0,0]],[[-11,0],[-1,0]],[[12,0],[1,0]]]>*] [x,x^2-x-3,x^2-x-17,x^2-x-224,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,13,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,13,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,13,23],[1,6,1],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[4,3]>,<1,3*23,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,13,23],[6,1,6],1,[1.000000000,0.7746280617,0.8265466055],<"notfaithful",0>,[4,3]>,<1,3*13*23,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,13,23],[6,6,6],1,[1.000000000,1.893400457,1.304920452],<"notfaithful",0>,[4,3]>,<2,3*13*23,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[3,13,23],[6,7,7],1,[1.000000000,0.9594183073,1.044247187],<"2.3t13t23.8.1.4t3.1",1>,[4,3]>]
x^4-x^3+3*x^2-3*x+9 3*13^2*23 0 2 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 5 [[466232],[-87808],[-6173],[-372250]] 2 [5,1,3,5,3,3,1,5,1,4,3,5,5,4,5,1,5,4,5,5,3,4,3,3,5,4,4,2,5,2,1,4,3,2,3,3,4,3,5,4,4,4,2,3,5,4,2,3,3,5,4,5,5,2,4,1,4,3,2,3,4,3,3,4,4,5,3,4,4,3,5,3,4,4,5,3,1,3,3,3,1,5,3,4,2,4,5,5,5,3,1,3,3,4,3,1,5,2,4,3,1,3,2,1,4,3,5,5,4,2,2,5,3,5,5,2,5,4,4,1,5,1,2,5,3,2,5,4,4,5,3,3,4,4,5,5,3,5,2,4,3,5,2,3,2,3,3,4,2,5,3,2,2,4,4,1,4,5,4,3,5,2,3,1,3,3,1,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-3,2>,<x^2+9*x+3,3>]*],[*[4],"CYC",0,5*]] [*<3,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[3,42835440,1]>,[[307941688,0],[509734731,0],[-42835440,-1],[0,1]]>,<13,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,12,1]>,[[3654234729766844358655,-1867446160342707755408],[-7424723767944457125554,3513786982396123672109],[1,0]]>,[[[7424723767944457125563,-3513786982396123672107],[-1,0]],[[9,2],[1,0]],[[-4669616344571022302330,4855873253833477068100],[-303934397986579865196,454771111656144235845]],[[-2755107423373434823241,-1342086271437353395995],[303934397986579865196,-454771111656144235845]]]>,<23,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-426210714025922304271020123,-241157648543443436882425642,1]>,[[53062654768493092040109119,0],[-294220303311936528922534792,0],[241157648543443436882425658,-1],[16,1]]>*] [x,x^2-x-3,x^2-x-17,x^2-x-224,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,13,23],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,13,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,13,23],[1,6,1],1,[1.000000000,0.6627353911,0.8422571535],<"notfaithful",0>,[4,3]>,<1,3*23,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,13,23],[6,1,6],1,[1.000000000,0.7746280617,0.8265466055],<"notfaithful",0>,[4,3]>,<1,3*13*23,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,13,23],[6,6,6],1,[1.000000000,1.893400457,1.304920452],<"notfaithful",0>,[4,3]>,<2,3*13*23,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1],[1]]],[3,13,23],[6,7,6],1,[1.000000000,1.318145997,1.063543921],<"2.3t13t23.8.1.4t3.2",1>,[4,3]>]
