x^2-x+570 -43*53 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[66],[-65]] 2 [1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<43,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1032,43,1]>,[[-21,-1],[22,1]]>,<53,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[1272,53,1]>,[[-26,-1],[27,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[43,53],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,43*53,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[43,53],[3,3],1,[1.000000000,3.685239667,1.555066096],<"1.43_53.2t1.1",1>,[2,1]>]
x^4-x^3-4902*x^2-169132*x-1541848 2^3*17^3*769^3 4 0 8 "D8" [[2,1,4,3],[1,4,3,2]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[3,2,1,4]>,<4,2,[4,1,2,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 7 x-1 16 [[778201182962],[5835943828590],[12215836672987],[14402948885063]] 1 [1,3,3,1,4,3,1,4,1,4,5,4,5,4,1,3,3,4,3,1,1,2,3,2,2,3,5,4,4,5,5,3,5,4,4,5,4,4,2,3,3,3,1,5,3,5,3,1,4,4,2,5,2,4,1,2,3,5,3,5,3,3,4,5,5,3,3,5,3,3,5,2,2,3,4,2,4,3,1,2,4,3,5,5,2,3,5,5,4,1,3,1,5,3,3,2,3,5,4,3,4,3,3,2,4,1,4,5,2,1,5,3,5,3,5,5,4,5,4,3,4,5,4,3,4,4,3,5,5,4,4,2,5,4,2,1,4,3,3,5,4,4,5,4,4,1,4,1,4,2,3,2,4,2,4,2,1,5,5,3,3,5,5,3,5,1,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+170766,2>,<x^2+341532*x+29159353412,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[3],[[[1,2,4,3]]],20,<[],[-26354,75336,1]>,[[-500017,0],[-3226,4096],[-570,2040],[6,-2040]]>,<17,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[-4542638,-288303,-3927,51,1]>,[[1079561467390761451261986,50429341902336607584912,97123176997092725719156,87784409978141502092314],[-1546569913005424954239302,-83867692749911983636568,-112798264270394187174746,-43892204989070751046157],[467008445614663502977304,33438350847575376051655,15675087273301461455590,-43892204989070751046157],[13,1,0,0]]>,<769,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,5,5],[1],[[[2,4,1,3]]],20,<[],[108918470038,761575305,1990941,2307,1]>,[[-1389299064968267074469517882956530827134698740563514015673,1434677379107443242204428319430365345851635661103614829,-2125447969048064062525078991748689401261682460894233027,-53136199226201601563126974793717235031542061522355826],[-2474279251227723188599231031488730726569102385832659254814,598085648052899392918992099039125609854490111317954278,1357350247587530994493995638476120447474216382125402784,26568099613100800781563487396858617515771030761177913],[-1366724046037485781992965468449913324920947073372355395690,-2032763027160342635123420418469490955706125772421569108,768097721460533068031083353272568953787466078768830243,26568099613100800781563487396858617515771030761177913],[577,1,0,0]]>*] [x,x^2-x-3268,x^2-26146,x^2-2,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17,769],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,17*769,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,17,769],[1,6,6],1,[1.000000000,1.673724920,1.187471370],<"notfaithful",0>,[4,3]>,<1,2^3*17*769,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,17,769],[6,6,6],1,[1.000000000,2.072064121,1.189599644],<"notfaithful",0>,[4,3]>,<1,2^3,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,17,769],[6,1,1],1,[1.000000000,0.6232252402,0.8723580249],<"notfaithful",0>,[4,3]>,<2,2^3*17^2*769^2,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]],[[1]]],[2,17,769],[6,7,7],1,[0,0,0],<"2.2e3_17e2_769e2.4t3.2",1>,[4,3]>]
x^5-2*x^4+17*x^3+76*x^2+70*x+25 43^2*269^2 1 2 10 "D10" [[5,4,3,2,1],[4,3,2,1,5]] [<1,1,[1,2,3,4,5]>,<2,5,[4,3,2,1,5]>,<5,2,[2,3,4,5,1]>,<5,2,[3,4,5,1,2]>] [[1,1,1,1,1],[1,2,2],[5]] 17 x^2+16*x+3 7 [[-37148688,0],[-97448379,-47095759],[23256661,-15792333],[-134404684,15792333],[-164593581,47095759]] 2 [4,3,2,3,1,3,2,3,3,3,2,2,3,1,3,4,2,2,3,4,2,3,2,2,3,2,3,2,2,4,4,2,4,2,2,2,4,3,2,4,4,2,2,2,2,2,2,1,1,2,2,4,1,2,4,2,1,2,4,2,3,4,4,2,2,2,2,2,2,2,4,2,2,3,2,1,2,2,2,3,2,2,2,2,4,2,2,2,2,3,3,2,4,2,3,3,2,4,3,2,4,2,4,2,3,4,2,2,3,3,3,2,3,1,2,2,1,4,2,3,2,4,3,2,3,2,2,2,2,3,3,2,2,1,1,4,2,4,2,2,2,1,1,3,4,1,2,2,2,2,4,2,2,2,3,3,2,3,1,2,2,4,2,3,4,2,1,2] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x+636185,3>,<x-636185,4>]*]] [*<5,2,1,[[3,2,1,5,4]],[[1,2,3,4,5],[3,2,1,5,4]],[3,2,1,5,4],[1,2],[1],[[]],20,<[],[2,4,1]>,[[27120614687309,14013380272907],[-27172956750168,0],[-28932906404319,-14013380272907],[8547960186945,6564411140740],[1363801952110,-6564411140740]]>,<11,1,1,[],[[1,2,3,4,5]],[1,2,3,4,5],[1],[1],[[]],20,[],[-65152497240183200387,-242823826087046786474,32603609320437289872,6071231978655286313,24665120234479225514]>,<43,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-43822640113889896849663683881877,109233609605258959308557301342117,1]>,[[55861148737847629479529818046205,0],[-109233609605258959308557301342089,-1],[28,1],[-210883674811071092045779871519343,-2777047714747061834182429310894],[-202800032098915492566249316678800,2777047714747061834182429310894]]>,<269,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[570438333883782009729897226943574293683876104881,-1802922918130732326213460140733350885711179085638,1]>,[[-1465855554612196145030312998697723292455754194788,0],[1802922918130732326213460140733350885711179085882,-1],[244,1],[-418901040709374278771795919751976375903657902473,-8797974724893948409669251791632453050783363],[81833677190838097588648777716348782648233011137,8797974724893948409669251791632453050783363]]>*] [x,x^2-x+2892,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,43,269],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,43*269,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,11,43,269],[1,2,1,5,5],1,[1.000000000,3.505264149,1.495591851],<"notfaithful",0>,[5,2]>,<2,43*269,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,11,43,269],[4,2,1,5,5],1,[1.000000000,0.4384352696,0.8918677142],<"2.43_269.5t2.1",1>,[5,2]>,<2,43*269,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,11,43,269],[4,2,1,5,5],1,[1.000000000,0.7970897715,0.7502793797],<"2.43_269.5t2.1",2>,[5,2]>]
x^4-2*x^3-10*x-8 -2^2*5*11^2*71 2 1 24 "S4" [[2,3,4,1],[2,1,3,4]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<2,6,[2,1,3,4]>,<3,8,[2,3,1,4]>,<4,6,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[1,3],[2,2],[4]] 67 x-1 5 [[275285793],[-322142277],[-54633968],[101490454]] 3 [3,5,3,4,3,4,2,4,2,4,3,5,5,3,4,4,3,3,1,3,5,4,5,4,4,4,5,3,4,4,4,4,4,5,3,2,3,4,5,2,4,5,4,4,4,4,3,3,4,4,5,5,5,2,4,5,5,4,5,5,4,5,4,4,5,1,5,1,2,5,4,2,5,3,4,4,5,2,5,1,2,5,4,2,3,4,5,4,3,3,4,3,4,5,2,5,4,4,2,3,5,5,1,4,2,5,3,3,5,3,2,5,3,5,5,4,5,3,4,2,5,4,3,4,5,5,3,2,4,4,4,4,3,2,3,3,2,3,5,3,4,4,4,2,4,2,5,3,3,4,3,4,4,4,4,5,5,4,4,4,5,5,4,4,5,3,5,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,3*],[*[1,3],"CYC",0,4*],[*[2,2],"CYC",0,2*],[*[4],"CYC",0,5*]] [*<2,6,3,[[1,3,4,2],[1,2,4,3]],[[1,2,3,4],[1,2,4,3],[1,3,4,2]],[1,2,4,3],[1,3,4],[1],[[[1,3,4,2]]],20,<<[],[1,1,1]>,[[116118,0],[-17032,0],[-13430,0],[1,0]]>,[[[-13428,0],[0,0],[0,0]],[[0,0],[1,0],[0,0]],[[183914,-169890],[-256120,12049],[-193142,138004]],[[-170484,169890],[256119,-12049],[193142,-138004]]]>,<5,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[2,4,1]>,[[-3783768423335,0],[24978461258445,0],[1,0]]>,[[[-40980511119110,44790702856304],[0,0]],[[-29408459263076,-44790702856304],[0,0]],[[-24978461258441,0],[-1,0]],[[4,0],[1,0]]]>,<11,4,2,[[2,1,4,3],[1,2,4,3]],[[1,2,3,4],[2,1,4,3],[1,2,4,3],[2,1,3,4]],[1,2,4,3],[1,2,3,3],[1],[[[2,1,4,3]]],20,<<[],[2,7,1]>,[[29395460423280083143,0],[-278969984370132213158,0],[1,0]]>,[[[278969984370132213167,0],[-1,0]],[[9,0],[1,0]],[[-38674299618792781941,317124481418603810985],[-26487266777703980549,-7567790507915423014]],[[-240295684751339431233,-317124481418603810985],[26487266777703980549,7567790507915423014]]]>,<71,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,3,3,2],[1],[[[1,2,4,3]]],20,<<[],[7,69,1]>,[[-1739333901739245894735112868816929288,0],[366098671034828199742427739923995303,0],[1,0]]>,[[[-2864767754770694375411626174350119319,3136712868458603257034123621074971254],[0,0]],[[3230866425805522575154053914274114576,-3136712868458603257034123621074971254],[0,0]],[[-366098671034828199742427739923995279,0],[-1,0]],[[24,0],[1,0]]]>*] [x,x^2-x+89,x^3-x^2-5*x+17,0,0] [1,2,3,4,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,11,71],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,5]>,<1,5*71,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,11,71],[3,6,3,6],1,[1.000000000,0.6669537020,0.7386201739],<"notfaithful",0>,[4,5]>,<2,2^2*5*71,1,[[2],[2],[0],[-1],[0]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[0],[-1]],[[1]],[[1],[-1]]],[2,5,11,71],[6,7,3,7],1,[1.000000000,1.177247430,1.033061221],<"notfaithful",0>,[4,5]>,<3,2^2*5^2*11^2*71^2,1,[[3],[-1],[-1],[0],[1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[-1],[1],[-1]],[[1],[1]]],[2,5,11,71],[6,6,6,6],1,[0,0,0],<"3.2e2_5e2_11e2_71e2.6t8.1",1>,[4,5]>,<3,2^2*5*11^2*71,1,[[3],[-1],[1],[0],[-1]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[-1],[-1],[1]],[[1],[0],[0],[-1]],[[1],[1],[1],[1]],[[1],[-1]],[[1],[0],[-1]]],[2,5,11,71],[6,7,6,7],1,[1.000000000,1.413421505,1.191903851],<"3.2e2_5_11e2_71.4t5.1",1>,[4,5]>]
x^6-2*x^5-3*x^4-146*x^3-105*x^2+1854*x+3294 2^6*7^3*19^2*37^3 2 2 12 "D12" [[2,1,5,6,3,4],[1,3,2,4,6,5],[4,6,5,1,3,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[4,6,5,1,3,2]>,<2,3,[2,1,5,6,3,4]>,<2,3,[6,4,3,2,5,1]>,<3,2,[6,3,4,2,1,5]>,<6,2,[3,1,6,5,2,4]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 13 x^2+12*x+2 10 [[23219755515,50113447204],[53385129567,25615457077],[62756733942,0],[21716628341,-25615457077],[3487888023,0],[-26707643537,-50113447204]] 4 [4,4,5,1,3,4,5,2,1,6,6,4,2,5,5,4,6,1,6,6,3,4,5,4,4,3,6,2,6,6,6,3,5,1,5,2,3,5,6,6,4,2,5,6,5,3,6,4,6,3,1,1,4,3,4,3,6,5,3,2,3,6,4,3,5,4,4,4,5,3,1,3,1,4,6,2,3,3,6,4,5,6,4,6,2,3,6,3,5,5,3,3,4,3,5,3,6,6,2,3,4,3,2,2,3,1,3,3,6,6,6,5,1,5,5,4,3,3,3,6,4,4,6,4,5,3,3,5,3,3,3,6,6,3,3,1,6,4,4,3,4,5,3,4,4,4,1,4,3,6,4,3,1,4,4,4,5,3,3,6,5,4,5,4,6,4,4,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x-264,2>,<x^3-10*x^2-90751*x-10319208,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[2,1,4,3,6,5],[1,2,6,5,4,3]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,6,5,4,3],[2,1,5,6,3,4]],[1,2,6,5,4,3],[1,3,4,2],[2],[[[2,1,4,3,6,5]]],20,<<[],[1,1,1]>,[[242630,0],[-192034,0],[1,0]]>,[[[0,0],[1,0]],[[192034,0],[-1,0]],[[-7336,177361],[36962,73923]],[[142428,-239433],[-36962,-73923]],[[-142427,239433],[36961,73923]],[[-184697,-177361],[-36961,-73923]]]>,<3,2,1,[[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5]],[1,3,2,4,6,5],[1,4],[1],[[]],20,<[],[2,2,1]>,[[1102881562,0],[248721123,-156346286],[561413695,156346286],[-35293839,0],[-52072005,47378205],[-17688252,-47378205]]>,<7,2,2,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[1,2,3,4,5,6],[1,3],[1],[[[2,1,4,3,6,5]]],20,<[],[26738573651014722,-1531615672123635,1]>,[[1531615672123639,-1],[4,1],[-5120961450116145,-76370340769779],[-5205161157599876,76370340769779],[39401846713719302,3180456855051118],[-19208444592753779,-3180456855051118]]>,<19,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,18,1]>,[[16834783797419497569640273,11032302247153436436696401],[-4168172860975187059569447,-13964850919987700114501983],[1,0]]>,[[[-15930670504018292352022809,13964850919987700114501993],[0,0]],[[-4168172860975187059569476,-13964850919987700114501993],[0,0]],[[4168172860975187059569462,13964850919987700114501988],[-1,0]],[[15,5],[1,0]],[[-7239383138559682696505717,18137098904528539847107834],[-88138693782753522047464,736280182532237566750227]],[[-14419919814967983144827074,5488023633029718231745774],[88138693782753522047464,-736280182532237566750227]]]>,<37,4,2,[[2,1,4,3,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[4,3,2,1,5,6],[3,4,1,2,6,5]],[4,3,2,1,5,6],[1,3,4,2],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,33,1]>,[[5472039941864199815138810974848,0],[8866807136501079893372517447110,0],[1,0]]>,[[[758427238418933288496166774471,-6960847945144658202723339524820],[-148122015342002333986335443274,-27914424899237781688513576240]],[[-4372640750726021306671268711441,6473113576626014083640832818122],[148122015342002333986335443274,27914424899237781688513576240]],[[-9883035779434057526642467628258,-6473113576626014083640832818122],[-148122015342002333986335443273,-27914424899237781688513576240]],[[-758427238418933288496166774479,6960847945144658202723339524820],[148122015342002333986335443273,27914424899237781688513576240]],[[-8866807136501079893372517447101,0],[-1,0]],[[9,0],[1,0]]]>,<233,1,1,[],[[1,2,3,4,5,6]],[1,2,3,4,5,6],[1],[1],[[]],20,[],[-102833014253181451920690117539025494837247677242,-2478763170495435991978940049609284382438804756,-76821800956162610815786067817303590796204188263,-42736805851807992242969866197118062231035396095,209310788677874476399005081929731695737411116,360511428502951601593273580954684464688627447]>*] [x,x^2+4921,x^2-259,x^2-x+5,x^3+x-54,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,7,19,37,233],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^2*7*19*37,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,7,19,37,233],[7,3,7,7,7,1],1,[1.000000000,1.074816765,0.9335280118],<"notfaithful",0>,[6,3]>,<1,2^2*7*37,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,19,37,233],[7,1,7,2,7,1],1,[1.000000000,1.782445001,1.169706890],<"notfaithful",0>,[6,3]>,<1,19,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,7,19,37,233],[2,2,1,7,2,1],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[6,3]>,<2,2^2*7*19*37,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,7,19,37,233],[7,3,7,7,7,1],1,[1.000000000,2.116007478,1.324925997],<"notfaithful",0>,[6,3]>,<2,2^2*7*19*37,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1],[-1]]],[2,3,7,19,37,233],[7,3,8,7,7,1],1,[1.000000000,0.7170282293,0.7924111676],<"2.2e2_7_19_37.6t3.13",1>,[6,3]>]
