x^2-x-797 3*1063 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[-1558],[1559]] 1 [2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-795,3,1]>,[[-1,-1],[2,1]]>,<1063,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[281695,1063,1]>,[[-531,-1],[532,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,1063],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*1063,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,1063],[3,3],1,[1.000000000,0.9608084841,0.8475001964],<"1.3_1063.2t1.1",1>,[2,1]>]
x^6-2*x^5-6*x^4+10*x^3+10*x^2-11*x-1 7^4*13*41 6 0 24 "C2*A4" [[1,2,6,4,5,3],[4,5,1,3,6,2]] [<1,1,[1,2,3,4,5,6]>,<2,1,[2,1,6,5,4,3]>,<2,3,[2,1,3,4,5,6]>,<2,3,[2,1,6,4,5,3]>,<3,4,[4,5,1,3,6,2]>,<3,4,[3,6,4,1,2,5]>,<6,4,[6,3,4,1,2,5]>,<6,4,[4,5,2,3,6,1]>] [[1,1,1,1,1,1],[1,1,1,1,2],[1,1,2,2],[2,2,2],[3,3],[6]] 43 x^2+42*x+3 6 [[-1105022379,-2896971443],[461880296,2896971443],[2184917377,-2434947921],[-2015775891,0],[-2836920676,0],[-3010441774,2434947921]] 1 [7,8,7,1,5,4,8,6,6,3,8,7,4,4,6,8,8,6,5,4,8,7,3,6,4,8,6,6,5,4,1,6,5,4,6,5,8,7,4,6,8,3,7,5,3,8,2,3,5,6,7,1,8,4,7,8,5,7,5,4,5,1,3,8,7,6,6,4,8,3,8,7,5,6,3,6,5,6,7,8,4,4,8,4,7,6,2,6,3,4,6,5,8,4,6,3,6,8,6,7,3,5,8,6,8,5,4,6,5,2,6,8,3,8,3,8,4,5,7,3,8,3,6,5,6,4,6,7,3,7,8,3,7,3,7,3,5,8,4,8,3,7,8,1,5,4,3,5,6,7,7,4,3,7,5,1,7,6,3,8,7,4,1,7,5,8,8,8] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,1,1,2],"CYC",0,3*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"CYC",0,2*],[*[3,3],"RES",<[1],x^2>,[<x^4-26*x^3+111*x^2+1287*x-7154,5>,<x^4-12*x^3-169*x^2+1763*x+3444,6>]*],[*[6],"RES",<[1],x^2>,[<x^4-12*x^3-169*x^2+697*x+6642,7>,<x^4-26*x^3+111*x^2+221*x-225,8>]*]] [*<7,3,3,[[3,1,2,6,4,5]],[[1,2,3,4,5,6],[3,1,2,6,4,5],[2,3,1,5,6,4]],[1,2,3,4,5,6],[1,5,6],[1],[[[3,1,2,6,4,5]]],20,<[],[9091471599502271,-22224024009863648,17055039299060315,1]>,[[25915560986388611,4505655938057677,-4672085632839550],[36821666012163087,-4505655938057678,4672085632839550],[6,1,0],[-15958266810529039,3940141653982293,-3134207574480699],[-37687488588520550,-3366375293099747,-2608543497205289],[-9091471599502113,-573766360882546,-5656144113687155]]>,<13,4,2,[[1,2,3,4,6,5],[4,3,2,1,5,6]],[[1,2,3,4,5,6],[4,3,2,1,5,6],[1,2,3,4,6,5],[4,3,2,1,6,5]],[4,3,2,1,5,6],[1,4,3,2],[1],[[[1,2,3,4,6,5]]],20,<<[],[2,12,1]>,[[7254536342243000541666,0],[-6292985241433510560395,0],[1,0]]>,[[[2234110959498851326784,5161719345177376660075],[0,0]],[[1725382722930043282964,-8728629238373301538116],[0,0]],[[-7560849065875134892450,8728629238373301538116],[0,0]],[[-2691629857987270277713,-5161719345177376660075],[0,0]],[[6292985241433510560406,0],[-1,0]],[[11,0],[1,0]]]>,<41,4,2,[[1,2,3,4,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[3,4,1,2,5,6],[1,2,3,4,6,5],[3,4,1,2,6,5]],[3,4,1,2,5,6],[1,4,3,2],[1],[[[1,2,3,4,6,5]]],20,<<[],[6,38,1]>,[[63761526320491190780694038997792,0],[74455165533921265063093557602176,0],[1,0]]>,[[[34179223655121992941608988460823,-43353343968640150476113337564042],[0,0]],[[-35241722417414167792420504076126,88750650981948142062049702611813],[0,0]],[[60096247855659345506647201311210,43353343968640150476113337564042],[0,0]],[[15421416440554094407257871906199,-88750650981948142062049702611813],[0,0]],[[-74455165533921265063093557602140,0],[-1,0]],[[36,0],[1,0]]]>*] [x,x^2-x-133,x^3-x^2-2*x+1,x^6-x^5-404*x^4+269*x^3+53205*x^2-17956*x-2282281,x^6-x^5-404*x^4+269*x^3+53205*x^2-17956*x-2282281,x^3-x^2-2*x+1,x^4-x^3-65*x^2-34*x+623,0] [1,2,2,6,4,3,4,8] <[1],[2],[3,6],[4,5],[7],[8]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,13,41],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,6]>,<1,13*41,1,[[1],[-1],[-1],[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,7,13,41],[2,1,9,9],1,[1.000000000,0.5435799194,0.7122326812],<"notfaithful",0>,[6,6]>,<1,7,3,[[1,0],[1,0],[1,0],[1,0],[0,1],[-1,-1],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[3,7,13,41],[5,9,1,1],0,[0.8959532197-0.4441484303*i,0.5377473805-0.1052975456*i,0.7992187436-0.1018472971*i],<"notfaithful",0>,[6,6]>,<1,7*13*41,3,[[1,0],[-1,0],[-1,0],[1,0],[0,1],[-1,-1],[1,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0],[-1,-1]],[[1,0],[0,1]],[[1,0]]],[3,7,13,41],[8,9,9,9],0,[0.8959532197-0.4441484303*i,1.353219806+0.3202461922*i,1.168439049+0.2064157699*i],<"notfaithful",0>,[6,6]>,<1,7*13*41,3,[[1,0],[-1,0],[-1,0],[1,0],[-1,-1],[0,1],[0,-1],[1,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,-1]],[[1,0]]],[3,7,13,41],[8,9,9,9],0,[0.8959532197+0.4441484303*i,1.353219806-0.3202461922*i,1.168439049-0.2064157699*i],<"notfaithful",0>,[6,6]>,<1,7,3,[[1,0],[1,0],[1,0],[1,0],[-1,-1],[0,1],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[3,7,13,41],[5,9,1,1],0,[0.8959532197+0.4441484303*i,0.5377473805+0.1052975456*i,0.7992187436+0.1018472971*i],<"notfaithful",0>,[6,6]>,<3,7^2*13^2*41^2,1,[[3],[3],[-1],[-1],[0],[0],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[-1]]],[3,7,13,41],[5,9,9,9],1,[0,0,0],<"notfaithful",0>,[6,6]>,<3,7^2*13*41,1,[[3],[-3],[1],[-1],[0],[0],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[3],[3],[1]],[[1],[-1],[-1],[1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[1]],[[1],[0],[0],[1]],[[1],[-1]],[[1],[2],[1]]],[3,7,13,41],[7,9,10,10],1,[1.000000000,0.8218881402,0.9912956246],<"3.7e2_13_41.6t6.1",1>,[6,6]>]
x^4-x^3-3*x^2+25*x-38 -17^2*127 2 1 8 "D8" [[2,1,4,3],[3,2,1,4]] [<1,1,[1,2,3,4]>,<2,1,[3,4,1,2]>,<2,2,[2,1,4,3]>,<2,2,[1,4,3,2]>,<4,2,[2,3,4,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 19 x-1 5 [[491568],[288448],[-353919],[-426096]] 4 [1,5,5,5,3,2,2,1,5,5,3,3,3,4,2,4,4,3,4,3,3,3,4,4,5,4,1,3,5,3,4,3,4,5,1,4,2,3,5,5,1,5,2,5,3,3,3,4,3,4,5,4,5,2,4,2,3,1,5,4,5,4,4,5,5,5,4,5,5,4,1,4,3,4,5,1,2,3,5,4,3,4,3,1,5,2,3,2,4,1,4,3,5,4,5,3,2,3,1,5,5,1,4,2,5,1,2,4,4,5,3,4,5,5,4,5,3,4,3,4,2,3,3,5,5,4,3,3,4,1,2,5,5,2,4,4,2,3,2,3,3,5,3,5,4,5,5,5,4,4,3,5,1,5,3,3,2,5,4,3,5,2,4,2,1,3,5,5] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-26,2>,<x^2-46*x+656,3>]*],[*[4],"CYC",0,5*]] [*<2,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[352058,119685,13371,39175]>,<17,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[1],[[[2,1,4,3]]],20,<<[],[3,16,1]>,[[542771206511587377428824,-1406528258102028179714382],[-728221312444558640356281,-853071052801989677994830],[1,0]]>,[[[728221312444558640356292,853071052801989677994834],[-1,0]],[[11,4],[1,0]],[[449256878152912687477552,-375078971665991978247117],[4817325742693651388596,-14303819710517679293469]],[[-1177478190597471327833854,-477992081135997699747721],[-4817325742693651388596,14303819710517679293469]]]>,<127,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[3,126,1]>,[[-120876751748112228002962019274572978917120,0],[294084139609183657319309296318147785573672,0],[1,0]]>,[[[335067147241107787869633989369123558908005,315029945906716171627627016872406512428540],[0,0]],[[-40983007631924130550324693050975773334402,-315029945906716171627627016872406512428540],[0,0]],[[-294084139609183657319309296318147785573637,0],[-1,0]],[[35,0],[1,0]]]>*] [x,x^2-x-4,x^2-x+32,x^2-x+540,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17,127],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,17,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,17,127],[1,6,1],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[4,3]>,<1,127,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,17,127],[1,1,6],1,[1.000000000,1.393856346,1.152703517],<"notfaithful",0>,[4,3]>,<1,17*127,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,17,127],[1,6,6],1,[1.000000000,4.056717840,1.593822168],<"notfaithful",0>,[4,3]>,<2,17*127,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[2,17,127],[1,6,6],1,[1.000000000,2.973233284,1.734369099],<"2.17_127.4t3.2",1>,[4,3]>]
x^4-19*x^2+37 3^2*37*71^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 11 x-1 8 [[-79458661],[-58857937],[58857937],[79458661]] 1 [5,3,5,3,1,5,4,4,4,5,5,4,2,4,1,1,4,5,3,1,2,4,3,5,5,3,4,3,4,4,3,5,1,3,1,1,2,5,5,1,5,3,5,5,2,4,3,2,4,2,3,4,5,5,4,3,2,1,4,4,5,3,3,5,4,2,5,3,4,3,4,3,1,1,2,4,4,3,4,4,3,5,5,3,5,2,4,5,4,4,4,4,5,2,4,5,3,3,5,5,4,5,4,5,1,4,5,3,2,3,5,2,3,3,5,3,4,5,4,3,5,3,3,4,3,4,5,3,5,3,2,2,3,5,2,5,1,2,5,4,2,3,3,4,4,3,4,5,5,2,1,3,5,1,5,4,5,3,3,3,5,3,5,3,5,3,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-114,2>,<x^2-5328,3>]*],[*[4],"CYC",0,5*]] [*<2,4,1,[[4,3,1,2]],[[1,2,3,4],[2,1,4,3],[4,3,1,2],[3,4,2,1]],[4,3,1,2],[1,2,5,5],[1],[[]],20,<[],[1,1,0,0,1]>,[[221042,-42831,226097,119960],[-221042,42831,-226097,-119960],[-91011,131019,49729,-121348],[91011,-131019,-49729,121348]]>,<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-541945407,0],[1081687845,1081687845],[1,0]]>,[[[-1081687843,-1081687843],[-1,0]],[[2,2],[1,0]],[[-2,-2],[-1,0]],[[1081687843,1081687843],[1,0]]]>,<37,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,33,1]>,[[-10195016677609254543325738846893,0],[0,0],[1,0]]>,[[[-9077847382605968187858170355092,-6155623154500036551188071848624],[0,0]],[[9077847382605968187858170355092,6155623154500036551188071848624],[0,0]],[[0,0],[-1,0]],[[0,0],[1,0]]]>,<71,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[5089597322270175490528365127562738962,5284050005565346041030430703641308870,1]>,[[-5284050005565346041030430703641308819,-1],[51,1],[-51,-1],[5284050005565346041030430703641308819,1]]>*] [x,x^2-x-53,x^2-x-9,x^2-x-1970,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,37,71],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*71,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,37,71],[3,6,1,6],1,[1.000000000,0.5879291511,0.7619765077],<"notfaithful",0>,[4,3]>,<1,37,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,3,37,71],[4,1,6,1],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[4,3]>,<1,3*37*71,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,37,71],[1,6,6,6],1,[1.000000000,2.397467407,1.373209952],<"notfaithful",0>,[4,3]>,<2,3*37*71,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[2,3,37,71],[5,6,6,7],1,[1.000000000,0.6981810917,0.8598739395],<"2.3_37_71.4t3.3",1>,[4,3]>]
x^4-2*x^3+38*x^2-37*x+289 3^2*37*71^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 41 x-1 5 [[-4385917],[16830846],[-16830845],[4385918]] 2 [5,3,5,3,2,5,4,4,4,5,5,4,1,4,2,2,4,5,3,3,2,4,3,5,5,3,4,3,4,4,3,5,2,3,2,1,2,5,5,2,5,3,5,5,1,4,3,2,4,2,3,4,5,5,4,3,1,1,4,4,5,3,3,5,4,1,5,3,4,3,4,3,1,1,2,4,4,3,4,4,3,5,5,3,5,1,4,5,4,4,4,4,5,1,4,5,3,3,5,5,4,5,4,5,1,4,5,3,1,3,5,2,3,3,5,3,4,5,4,3,5,3,3,4,3,4,5,3,5,3,2,1,3,5,1,5,2,2,5,4,2,3,3,4,4,3,4,5,5,1,1,3,5,2,5,4,5,3,3,3,5,3,5,3,5,3,5,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-37,2>,<x^2+72*x-3181,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-1168985388,-118101915],[78734607,78734610],[1,0]]>,[[[-78734607,-78734609],[-1,0]],[[0,1],[1,0]],[[1,-1],[-1,0]],[[78734608,78734609],[1,0]]]>,<11,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,7,1]>,[[137814951908283701297,327697126944892490028],[-137814951908283701296,-327697126944892490028],[1275157976205668715,-8372682070857601266],[-1275157976205668714,8372682070857601266]]>,<37,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,33,1]>,[[-10195016677609254543325738846523,0],[37,0],[1,0]]>,[[[6554827155778229042217323571314,4601350191258285164986429389801],[0,0]],[[-6554827155778229042217323571313,-4601350191258285164986429389801],[0,0]],[[-18,0],[-1,0]],[[19,0],[1,0]]]>,<71,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[7,69,1]>,[[-5272936010672189707426182156316761844,5206170991866426542985868428793789254],[-5055853577364539819079001693430115167,-5214490669212260488638153898713853661],[1,0]]>,[[[5055853577364539819079001693430115222,5214490669212260488638153898713853713],[-1,0]],[[55,52],[1,0]],[[-54,-52],[-1,0]],[[-5055853577364539819079001693430115221,-5214490669212260488638153898713853713],[1,0]]]>*] [x,x^2-x-53,x^2-x-9,x^2-x-1970,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,11,37,71],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*71,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,11,37,71],[6,1,1,6],1,[1.000000000,0.5879291511,0.7619765077],<"notfaithful",0>,[4,3]>,<1,37,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,11,37,71],[1,1,6,1],1,[1.000000000,0.8192921687,0.8770556587],<"notfaithful",0>,[4,3]>,<1,3*37*71,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,11,37,71],[6,1,6,6],1,[1.000000000,2.397467407,1.373209952],<"notfaithful",0>,[4,3]>,<2,3*37*71,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[3,11,37,71],[6,2,6,6],1,[1.000000000,0.4447019901,0.8306490105],<"2.3_37_71.4t3.4",1>,[4,3]>]
x^4-2*x^3+x-15 -5*47*61^2 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 13 x-1 5 [[14575],[-149821],[149822],[-14574]] 4 [5,4,1,5,5,1,5,4,3,5,5,5,4,3,1,5,3,1,3,3,1,3,4,3,4,3,4,2,4,2,2,2,2,5,2,5,5,2,1,5,4,5,3,3,4,4,5,3,3,4,3,1,1,3,2,4,1,1,5,5,4,1,5,5,3,2,3,5,4,5,4,5,2,3,1,5,5,5,3,5,5,5,2,3,2,1,4,5,4,1,3,1,4,1,5,2,5,3,5,3,3,3,2,4,2,3,3,3,5,1,2,4,5,1,5,5,5,5,5,2,3,3,3,4,4,5,3,1,2,4,3,3,4,2,3,3,4,3,1,4,3,5,5,4,4,4,4,1,4,4,3,4,5,3,5,2,4,2,2,3,5,3,4,4,4,3,2,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+1,2>,<x^2-4*x+239,3>]*],[*[4],"CYC",0,5*]] [*<5,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-34116794790910,5,1]>,[[19357802724890,19073486328125],[18789169931361,0],[-2,-1],[3,1]]>,<47,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[-229765384308377116531091800443899,47,1]>,[[-292124545374421903388854125189155,0],[292124545374421903388854125189156,0],[-23,-1],[24,1]]>,<61,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-66561846831840797226816479041594041,-200154953272044353382563320645028989,1]>,[[200154953272044353382563320645029024,-1],[35,1],[-34,-1],[-200154953272044353382563320645029023,1]]>*] [x,x^2-x-15,x^2-x+59,x^2-x+3584,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[5,47,61],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,61,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[5,47,61],[1,1,6],1,[1.000000000,0.9383101983,0.9115020912],<"notfaithful",0>,[4,3]>,<1,5*47,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[5,47,61],[6,6,1],1,[1.000000000,0.4098698164,0.6995723037],<"notfaithful",0>,[4,3]>,<1,5*47*61,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[5,47,61],[6,6,6],1,[1.000000000,2.099138099,1.242878789],<"notfaithful",0>,[4,3]>,<2,5*47*61,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[5,47,61],[6,6,6],1,[1.000000000,1.264467448,1.004422199],<"2.5_47_61.4t3.1",1>,[4,3]>]
