x^2-x-3270 103*127 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-75],[76]] 1 [1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<103,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-618,103,1]>,[[-51,-1],[52,1]]>,<127,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[762,127,1]>,[[-63,-1],[64,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[103,127],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,103*127,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[103,127],[3,3],1,[1.000000000,3.260200938,1.531425204],<"1.103_127.2t1.1",1>,[2,1]>]
x^3+6*x-31 -3^4*331 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 17 x-1 5 [[-576158],[-141189],[-702510]] 2 [2,2,3,2,2,2,1,1,2,2,1,2,2,3,2,3,2,2,3,3,2,3,3,1,2,2,1,2,3,3,3,3,2,3,1,2,3,3,3,3,3,2,1,3,1,2,2,1,2,2,3,3,3,2,2,2,3,3,2,3,1,3,2,2,3,2,1,3,1,2,3,2,3,2,2,2,3,2,3,2,1,2,3,3,2,2,1,1,3,3,2,2,1,2,2,1,2,2,2,2,3,2,1,1,2,2,3,2,3,3,1,2,2,2,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,3,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,3,1,1,3,2,3,1,2,3,3,2,2,2,2,3,2,1,2,2,2,1,3,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[2],[[[3,1,2]]],20,<<[],[2,2,1]>,[[-24,0],[9,0],[3,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[-108426206,472704528],[-356387444,224743290],[82653746,82653746]],[[108426205,-472704528],[356387443,-224743290],[304766743,304766743]]]>,<331,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-50075813164425790925195846316703885737339323222764,83481641446794767283215057349600376805799195704751,1]>,[[83481641446794767283215057349600376805799195704239,0],[-83481641446794767283215057349600376805799195704495,-1],[256,1]]>*] [x,x^2-x+83,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,331],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,331,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,331],[2,4],1,[1.000000000,0.5180326472,0.7273844767],<"notfaithful",0>,[3,2]>,<2,3^4*331,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,331],[4,5],1,[1.000000000,1.335585151,1.038000459],<"2.3e4_331.3t2.1",1>,[3,2]>]
x^3+36*x-45 -3^4*331 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 5 x-1 5 [[-30],[-1468],[1498]] 2 [2,2,1,2,2,2,3,3,2,2,3,2,2,1,2,1,2,2,3,3,2,3,3,1,2,2,1,2,3,3,3,1,2,3,3,2,3,1,3,3,3,2,3,3,3,2,2,3,2,2,3,3,1,2,2,2,3,1,2,1,3,3,2,2,1,2,1,1,1,2,3,2,3,2,2,2,3,2,3,2,3,2,3,3,2,2,3,3,3,3,2,2,3,2,2,1,2,2,2,2,1,2,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,3,2,2,2,1,2,1,2,2,2,3,1,3,3,3,2,2,3,3,2,2,1,2,3,3,1,3,3,3,3,2,3,3,2,3,3,2,2,2,2,3,2,1,2,2,2,3,1,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[2],[[[3,1,2]]],20,<<[],[2,2,1]>,[[-75,0],[144,0],[24,0],[1,0]]>,[[[0,0],[154968198,0],[77484098,0]],[[93174918,93174918],[60624,77544723],[-170461984,-131719935]],[[-93174918,-93174918],[-155028822,-77544723],[92977886,131719935]]]>,<331,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-15605623946363337687433937669755208846158261798580,73853561733296233491635387245807020697213301912562,1]>,[[73853561733296233491635387245807020697213301912310,0],[-73853561733296233491635387245807020697213301912436,-1],[126,1]]>*] [x,x^2-x+83,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,331],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,331,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,331],[2,4],1,[1.000000000,0.5180326472,0.7273844767],<"notfaithful",0>,[3,2]>,<2,3^4*331,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,331],[4,5],1,[1.000000000,1.882553621,1.150918843],<"2.3e4_331.3t2.2",1>,[3,2]>]
x^3-18*x-99 -3^4*331 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 67 x-1 5 [[-22553642],[360900364],[-338346722]] 2 [2,2,3,2,2,2,3,3,2,2,3,2,2,3,2,3,2,2,1,1,2,1,3,1,2,2,1,2,1,3,1,3,2,3,3,2,1,3,1,3,1,2,3,3,3,2,2,3,2,2,1,3,3,2,2,2,1,3,2,3,3,3,2,2,3,2,1,3,1,2,1,2,3,2,2,2,3,2,1,2,3,2,3,1,2,2,3,3,1,3,2,2,3,2,2,1,2,2,2,2,3,2,3,3,2,2,3,2,1,1,3,2,2,2,2,2,2,3,2,1,2,2,2,1,2,3,2,2,2,3,3,1,3,3,2,2,1,3,2,2,3,2,1,1,3,3,3,3,1,2,3,3,2,1,3,2,2,2,2,1,2,1,2,2,2,3,3,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<3,6,3,[[3,1,2],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[2],[[[3,1,2]]],20,<<[],[2,2,1]>,[[-363,0],[36,0],[-12,0],[1,0]]>,[[[0,0],[-35220045,0],[70440089,0]],[[-170416515,-170416515],[-21162339,154937883],[26770265,-131719935]],[[170416515,170416515],[56382384,-154937883],[-97210354,131719935]]]>,<331,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[112359611216882509002189063095906240889947089622573,-84023376896727307211100199833569790444758701805284,1]>,[[-84023376896727307211100199833569790444758701805764,0],[84023376896727307211100199833569790444758701805524,-1],[240,1]]>*] [x,x^2-x+83,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,331],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,331,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[3,331],[2,4],1,[1.000000000,0.5180326472,0.7273844767],<"notfaithful",0>,[3,2]>,<2,3^4*331,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[3,331],[4,5],1,[1.000000000,1.041068045,1.017845614],<"2.3e4_331.3t2.3",1>,[3,2]>]
x^5-2*x^4-2*x^3+29*x^2-146*x-2353 34487^2 1 2 10 "D10" [[3,5,1,4,2],[2,1,3,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[3,5,1,4,2]>,<5,2,[3,4,2,5,1]>,<5,2,[2,5,4,1,3]>] [[1,1,1,1,1],[1,2,2],[5]] 13 x^2+12*x+2 10 [[27072301087,0],[43286875099,302213364],[-27699300940,16039948407],[39660314731,-302213364],[55538301874,-16039948407]] 2 [4,4,2,4,3,2,2,3,4,4,3,4,2,2,2,3,4,1,2,4,2,4,1,4,2,2,4,2,3,3,2,2,3,1,1,2,2,4,2,4,3,2,2,2,2,1,4,4,2,2,2,2,4,2,4,2,1,2,2,2,2,3,2,2,3,4,3,1,4,4,2,2,2,2,2,2,2,2,1,4,2,3,4,3,2,3,2,2,4,2,4,3,2,2,2,2,1,4,3,4,4,2,2,4,2,2,2,2,4,1,1,2,3,3,2,2,3,2,4,2,2,2,4,2,4,2,2,4,3,1,3,2,1,4,3,2,2,2,4,2,4,3,3,2,1,4,2,3,2,2,1,4,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-313452343,4>,<x+313452343,3>]*]] [*<61,1,1,[],[[1,2,3,4,5]],[1,2,3,4,5],[1],[1],[[]],20,[],[-250713894479642284564643856488993635,-108498955798992734051907219614574679,-48827522185780635502517526244877642,1628264820393861679985654632180966,-2342767296376197182117410820091317]>,<149,1,1,[],[[1,2,3,4,5]],[1,2,3,4,5],[1],[1],[[]],20,[],[12693862692375154712669967582107932018970713,-12911821619748145508418150391186483309896511,4912537070534630275839352175794568864211927,-49007211163677744417900560649813480043245,39868644089986707992096456418310903485494]>,<34487,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[1932201770890898772754426940479543151661705472071772106402371201263360508894640342627258838,1946050923256515444260897983286312657233346842163683695351822637326882621937602148018731812,1]>,[[872576861535712132571773415238312442246598262683476998760502401687526152520218662272737278,0],[-1946050923256515444260897983286312657233346842163683695351822637326882621937602148018726120,-1],[5692,1],[-348826240981834409082861545954096893585077762604213957726516773383906030457281220276631853,24148879861201372451103895493328244099011378127157286624054514724238202021221434004151],[1422300302702637720771986114002097108571826342084420654317837009023262499874664706022615005,-24148879861201372451103895493328244099011378127157286624054514724238202021221434004151]]>*] [x,x^2-x+8622,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,61,149,34487],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,34487,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,61,149,34487],[1,1,1,5],1,[1.000000000,3.298805998,1.481122406],<"notfaithful",0>,[5,2]>,<2,34487,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,61,149,34487],[4,1,1,5],1,[1.000000000,1.157222363,1.164152772],<"2.34487.5t2.1",1>,[5,2]>,<2,34487,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,61,149,34487],[4,1,1,5],1,[1.000000000,0.2279459746,0.5547970398],<"2.34487.5t2.1",2>,[5,2]>]
