x^2-255 2^2*3*5*17 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 23 x-1 5 [[2283721],[-2283721]] 1 [1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-254,2,1]>,[[1,1],[-1,-1]]>,<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-255,0,1]>,[[0,-1],[0,1]]>,<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-255,0,1]>,[[0,-1],[0,1]]>,<17,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-255,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,3,5,17],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*3*5*17,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,3,5,17],[3,3,3,3],1,[1.000000000,0.8678862256,0.9695036893],<"1.2e2t3t5t17.2.1.2t1.1",1>,[2,1]>]
x^5-2*x^4+3*x^3-2*x^2+x-2 2^4*2557 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 199 x-1 5 [[97336880556],[67888046651],[-124347109528],[91096119384],[-131973937061]] 3 [5,6,5,6,4,6,7,4,4,3,5,4,7,7,7,6,6,6,5,6,3,7,5,7,4,5,5,5,7,2,3,2,2,6,6,5,2,5,5,6,6,7,5,4,3,1,3,5,5,7,7,7,4,5,6,4,4,2,6,6,3,7,4,7,2,5,7,5,5,5,6,3,4,5,7,5,4,5,4,6,6,6,5,4,7,3,4,6,2,4,4,6,6,7,5,4,5,5,6,7,5,2,5,3,4,7,3,5,4,2,7,7,5,3,6,6,5,7,7,5,6,7,7,3,4,3,7,6,6,2,3,3,6,5,4,6,3,6,4,4,2,6,7,4,6,1,5,7,2,5,7,4,4,5,5,3,7,6,5,5,6,4,3,5,4,5,5,6] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,4,2,[[1,5,4,2,3]],[[1,2,3,4,5],[1,3,2,5,4],[1,5,4,2,3],[1,4,5,3,2]],[1,5,4,2,3],[1,3,5,5],[2],[[[1,3,2,5,4]]],20,<<[],[1,1,1]>,[[-118310,63006],[288388,34650],[1,0]]>,[[[17842,524288],[524288,524288]],[[0,1],[1,0]],[[235900,-34649],[-1,0]],[[217827,-65423],[-160646,13895]],[[52721,100071],[160646,-13895]]]>,<2557,6,2,[[1,2,3,5,4],[3,1,2,4,5]],[[1,2,3,4,5],[1,2,3,5,4],[3,1,2,4,5],[2,3,1,4,5],[3,1,2,5,4],[2,3,1,5,4]],[3,1,2,4,5],[1,2,4,4,7,7],[1],[[[1,2,3,5,4]]],20,<<[],[2555,6,0,1]>,[[-26644420074055069438541811953751759032082618422127527582514918607983,0,0],[-3673526658694511835106208061189147796124503748411178013757780125524,0,0],[1,0,0]]>,[[[20935951633759138365641916165182813697062754931343017131125852215297,24667458037751875734736973932817615143468549152725684950666178079673,-53944316846542889495088872251960622859113476997244003645365996906524],[0,0,0]],[[53582313735706886400621461797513136675668626551878008165160276371171,40261828662162683531842206104973330838756178640514314739697426009650,25598592050792707600965856514148464205205440158826571428295339097445],[0,0,0]],[[64570844715536783573250098692167914470479013270241451320261551217707,-64929286699914559266579180037790945982224727793239999690363604089323,28345724795750181894123015737812158653908036838417432217070657809079],[0,0,0]],[[3673526658694511835106208061189147796124503748411178013757780125676,0,0],[-1,0,0]],[[152,0,0],[1,0,0]]]>*] [x,x^2-x-639,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,2557],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2557,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,2557],[2,8],1,[1.000000000,1.132835953,0.8967421657],<"notfaithful",0>,[5,5]>,<4,2^4*2557^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1],[0],[-1]],[[1],[-1]]],[2,2557],[8,9],1,[0,0,0],<"4.2e4t2557e3.120.1.10t12.1",1>,[5,5]>,<4,2^4*2557,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]]],[2,2557],[8,9],1,[1.000000000,0.7414350162,0.9304009708],<"4.2e4t2557.120.1.5t5.1",1>,[5,5]>,<5,2^4*2557^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]]],[2,2557],[8,9],1,[0,0,0],<"5.2e4t2557e2.120.1.10t13.1",1>,[5,5]>,<5,2^4*2557^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1],[-1],[1]],[[1],[1],[1]]],[2,2557],[8,9],1,[0,0,0],<"5.2e4t2557e3.120.1.6t14.1",1>,[5,5]>,<6,2^8*2557^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[-1]],[[1],[0],[0],[-1]]],[2,2557],[8,9],1,[0,0,0],<"6.2e8t2557e3.120.1.20t35.1",1>,[5,5]>]
x^5-2*x^4+2*x^3-2*x^2+4*x-2 2^4*2557 1 2 120 "S5" [[2,1,3,4,5],[2,3,4,5,1]] [<1,1,[1,2,3,4,5]>,<2,10,[2,1,3,4,5]>,<2,15,[2,1,4,3,5]>,<3,20,[2,3,1,4,5]>,<4,30,[2,3,4,1,5]>,<5,24,[2,3,4,5,1]>,<6,20,[2,3,1,5,4]>] [[1,1,1,1,1],[1,1,1,2],[1,1,3],[1,2,2],[1,4],[2,3],[5]] 389 x-1 5 [[1533866328401],[-839080439484],[4154110494411],[-3469704260523],[-1379192122803]] 3 [5,6,7,4,3,4,5,6,4,3,5,3,5,5,7,3,6,3,7,6,6,7,2,5,6,5,7,5,7,7,4,7,7,6,6,5,2,5,5,3,4,7,7,6,6,4,6,7,5,7,5,2,4,5,3,6,4,5,6,4,6,5,6,2,5,5,2,5,2,2,6,6,6,5,5,7,1,7,4,6,6,6,7,4,5,4,6,6,7,1,4,6,4,2,5,3,5,5,4,7,5,5,2,6,4,5,6,7,3,5,7,5,5,6,4,4,5,7,7,2,6,7,5,3,4,4,7,6,6,7,6,4,4,7,6,3,6,3,6,3,2,3,5,4,3,6,5,5,5,5,5,4,6,5,5,6,5,4,7,7,4,6,6,5,6,5,7,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,1,1,2],"CYC",0,2*],[*[1,1,3],"CYC",0,4*],[*[1,2,2],"CYC",0,3*],[*[1,4],"CYC",0,5*],[*[2,3],"CYC",0,7*],[*[5],"CYC",0,6*]] [*<2,20,5,[[2,3,4,5,1],[1,3,5,2,4]],[[1,2,3,4,5],[3,2,1,5,4],[4,2,5,3,1],[5,2,4,1,3],[2,3,4,5,1]],[1,3,5,2,4],[1,3,5,5,6],[1],[[[2,3,4,5,1]]],20,<<[],[1,1,0,0,1]>,[[-2,0,0,0],[4,0,0,0],[-2,0,0,0],[2,0,0,0],[-2,0,0,0],[1,0,0,0]]>,[[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-469322,-353350,132840,-276238],[238382,471576,12548,317843],[390112,132520,421830,170624],[225384,431963,369572,300512],[215831,136113,309627,113012]],[[-347106,449780,-216196,236242],[392832,201332,437473,174251],[69346,192890,195240,267224],[204078,334102,69237,272104],[194430,152827,253699,259240]],[[444992,-428378,334074,-455254],[355568,69789,119478,474091],[519112,43930,463716,342624],[143705,168600,280845,16844],[9722,54005,308877,362488]],[[371438,331948,-250718,495250],[61793,305879,479077,82391],[70006,154948,492078,268104],[475409,113911,328922,459116],[104305,181343,176373,313836]]]>,<2557,4,2,[[1,2,3,5,4],[1,3,2,4,5]],[[1,2,3,4,5],[1,3,2,4,5],[1,2,3,5,4],[1,3,2,5,4]],[1,3,2,4,5],[1,2,2,3],[1],[[[1,2,3,5,4]]],20,<<[],[2,2553,1]>,[[17112824041842564657183432849102312395072631058162301230747166105843,0],[-170898062940127913206155723178002086478836150019292426800864273914,0],[1,0]]>,[[[-8508642582550797770575088987674099729456237368275382110566619163389,0],[0,0]],[[-61588006235063984001646723601908962898690691048544091734658673929536,-58040097164200493403423923004706340826647335891013836319929434018862],[0,0]],[[69925750754674653859015656866405060541668092266800181418424428814113,58040097164200493403423923004706340826647335891013836319929434018862],[0,0]],[[170898062940127913206155723178002086478836150019292426800864276364,0],[-1,0]],[[2450,0],[1,0]]]>*] [x,x^2-x-639,0,0,0,0,0] [1,2,3,4,5,6,7] <[1],[2],[3],[4],[5],[6],[7]> [<1,1,1,[[1],[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,2557],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,5]>,<1,2557,1,[[1],[-1],[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,2557],[2,8],1,[1.000000000,1.132835953,0.8967421657],<"notfaithful",0>,[5,5]>,<4,2^4*2557^3,1,[[4],[-2],[0],[1],[0],[-1],[1]],[[[1],[-4],[6],[-4],[1]],[[1],[2],[0],[-2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[-1],[0],[1],[-1]],[[1]],[[1],[1]]],[2,2557],[8,9],1,[0,0,0],<"4.2e4t2557e3.120.1.10t12.2",1>,[5,5]>,<4,2^4*2557,1,[[4],[2],[0],[1],[0],[-1],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[-2],[0],[2],[-1]],[[1],[0],[-2],[0],[1]],[[1],[-1],[0],[-1],[1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1],[1],[0],[-1],[-1]],[[1]],[[1],[-1],[-1],[1]]],[2,2557],[8,9],1,[1.000000000,0.6401434171,0.8756615824],<"4.2e4t2557.120.1.5t5.2",1>,[5,5]>,<5,2^4*2557^2,1,[[5],[1],[1],[-1],[-1],[0],[1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[1],[0],[0],[-1],[-1]],[[1],[0],[0],[0],[0],[-1]],[[1],[-1],[1],[-1],[1],[-1]],[[1],[1]],[[1],[-1],[-1],[1]]],[2,2557],[8,9],1,[0,0,0],<"5.2e4t2557e2.120.1.10t13.2",1>,[5,5]>,<5,2^4*2557^3,1,[[5],[-1],[1],[-1],[1],[0],[-1]],[[[1],[-5],[10],[-10],[5],[-1]],[[1],[1],[-2],[-2],[1],[1]],[[1],[-1],[-2],[2],[1],[-1]],[[1],[1],[1],[-1],[-1],[-1]],[[1],[-1],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1],[1]],[[1],[-1]],[[1],[0],[-1]]],[2,2557],[8,9],1,[0,0,0],<"5.2e4t2557e3.120.1.6t14.2",1>,[5,5]>,<6,2^4*2557^3,1,[[6],[0],[-2],[0],[0],[1],[0]],[[[1],[-6],[15],[-20],[15],[-6],[1]],[[1],[0],[-3],[0],[3],[0],[-1]],[[1],[2],[-1],[-4],[-1],[2],[1]],[[1],[0],[0],[-2],[0],[0],[1]],[[1],[0],[1],[0],[-1],[0],[-1]],[[1],[-1],[0],[0],[0],[-1],[1]],[[1],[0],[0],[0],[0],[0],[-1]],[[1],[0],[1]],[[1],[1],[-1],[-1]]],[2,2557],[8,9],1,[0,0,0],<"6.2e4t2557e3.120.1.20t35.1",1>,[5,5]>]
