x^2-x+2233 -3*13*229 0 1 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 5 x-1 5 [[1082],[-1081]] 2 [2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<3,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2235,3,1]>,[[-1,-1],[2,1]]>,<13,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[2275,13,1]>,[[-6,-1],[7,1]]>,<229,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[15343,229,1]>,[[-114,-1],[115,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[3,13,229],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,3*13*229,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[3,13,229],[3,3,3],1,[1.000000000,1.063775065,0.8552082300],<"1.3_13_229.2t1.1",1>,[2,1]>]
x^3-x^2-15*x-47 -2^2*14699 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 19 x-1 5 [[602861],[-841440],[238580]] 2 [2,3,3,3,2,3,2,1,2,1,2,1,3,2,1,2,1,2,2,2,2,2,3,2,2,1,3,2,3,3,2,2,2,3,2,3,2,1,2,3,1,3,3,3,1,2,3,3,2,3,2,2,1,1,3,2,3,1,2,2,2,3,3,3,3,2,3,1,3,1,3,3,1,3,2,3,2,1,1,1,2,3,2,2,2,3,3,1,3,2,2,3,2,1,2,2,3,2,1,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,1,3,3,2,3,3,2,1,3,2,3,2,3,1,2,1,2,2,3,2,2,2,3,1,2,3,1,3,2,2,3,3,2,2,3,3,3,3,2,2,2,3,2,3,2,1,2,2,2,3,3,2,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[-62,0],[-14,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[-382129,284318],[159110,318221],[406217,288146]],[[382129,-284318],[365177,206067],[118071,236142]]]>,<14699,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-6954555288897775857051838202619644440441894243260708233338980724156945125511662291,18401629037209811391047424955572092524225463586453052152197816685366790236021622391,1]>,[[18401629037209811391047424955572092524225463586453052152197816685366790236021603868,0],[-18401629037209811391047424955572092524225463586453052152197816685366790236021613129,-1],[9262,1]]>*] [x,x^2-x+3675,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,14699],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,14699,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,14699],[2,4],1,[1.000000000,1.425176548,0.9529271433],<"notfaithful",0>,[3,2]>,<2,2^2*14699,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,14699],[4,5],1,[1.000000000,0.5850491434,0.8406329846],<"2.2e2_14699.3t2.1",1>,[3,2]>]
x^4-x^3+2*x^2+28*x-35 -3^2*7^2*563 2 1 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 47 x-1 5 [[76846653],[67985712],[11651471],[72861172]] 4 [5,3,4,1,3,3,2,3,3,5,5,4,4,4,1,5,1,3,2,3,5,4,4,4,5,2,3,3,4,3,2,4,3,5,3,4,5,4,4,4,3,3,3,1,3,5,1,3,4,5,5,5,3,1,1,5,1,3,1,3,5,4,5,4,5,5,4,2,3,3,4,5,5,4,2,1,5,5,3,3,4,2,5,5,3,5,3,4,1,4,2,4,4,3,4,1,1,2,5,1,4,3,4,5,4,5,4,1,3,5,3,4,5,5,1,5,5,2,3,5,5,1,4,3,5,5,1,2,5,3,2,5,2,2,4,5,1,5,4,3,3,3,4,5,5,1,5,4,3,3,2,1,4,1,1,5,4,4,5,4,5,3,1,4,5,4,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-35,2>,<x^2-51*x+791,3>]*],[*[4],"CYC",0,5*]] [*<3,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,2,1]>,[[-1596820812,1738286751],[384672207,-1358719989],[1,0]]>,[[[-384672207,1358719991],[-1,0]],[[0,2],[1,0]],[[-743338486,1405652035],[-67832533,-248253661]],[[1128010694,722412373],[67832533,248253661]]]>,<7,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-38418614685210676,23510302121418462,1]>,[[-23510302121418462,-1],[0,1],[20777924795031352,910792442129036],[2732377326387111,-910792442129036]]>,<11,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,7,1]>,[[190980172463617079916,-59357920405057720059],[-66264379633538888872,59357920405057720059],[26016614273277320850,25249860196661833249],[-28414226206526419311,-25249860196661833249]]>,<563,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[2,559,1]>,[[-4315442165552403500594215465655866825139173235716272980,0],[4570446635740034744786441399735482871272104873916543814,0],[1,0]]>,[[[2610517950876926007601367062977361134155773045633302039,1612695205201996358770579979743488483124039840314601451],[0,0]],[[1959928684863108737185074336758121737116331828283241418,-1612695205201996358770579979743488483124039840314601451],[0,0]],[[-4570446635740034744786441399735482871272104873916543635,0],[-1,0]],[[179,0],[1,0]]]>*] [x,x^2-x-5,x^2-x+141,x^2-x+2956,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,11,563],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,7,11,563],[6,6,3,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,3]>,<1,563,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,7,11,563],[1,1,1,6],1,[1.000000000,1.191621100,0.9002069384],<"notfaithful",0>,[4,3]>,<1,3*7*563,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,7,11,563],[6,6,3,6],1,[1.000000000,1.386842893,1.263488781],<"notfaithful",0>,[4,3]>,<2,3*7*563,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1],[-1]]],[3,7,11,563],[6,7,3,6],1,[1.000000000,0.6954994323,0.8610138774],<"2.3_7_563.4t3.1",1>,[4,3]>]
x^4-x^3+16*x^2+42*x-21 -3^2*7^2*563 2 1 8 "D8" [[3,4,1,2],[1,2,4,3]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[2,1,3,4]>,<4,2,[4,3,1,2]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 17 x-1 6 [[-10995800],[-3628933],[-3066841],[-6445994]] 4 [5,1,4,1,3,3,1,3,3,5,5,4,4,4,2,5,2,3,2,3,5,4,4,4,5,1,3,3,4,3,2,4,3,5,3,4,5,4,4,4,3,3,3,1,3,5,1,3,4,5,5,5,3,2,2,5,2,3,1,3,5,4,5,4,5,5,4,2,3,3,4,5,5,4,2,2,5,5,3,3,4,2,5,5,3,5,3,4,2,4,1,4,4,3,4,2,2,1,5,1,4,3,1,5,4,5,4,2,3,5,3,4,5,5,1,5,5,1,3,5,5,1,4,3,5,5,1,1,5,3,2,5,2,2,4,5,2,5,4,3,3,3,4,5,5,2,5,4,3,3,2,2,4,2,1,5,4,4,5,4,5,3,1,4,5,4,1,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-63,2>,<x^2-79*x+1701,3>]*],[*[4],"CYC",0,5*]] [*<3,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[-299840547,-1543279677,1]>,[[1543279677,-1],[0,1],[-195863371,116656773],[-185154838,270763716]]>,<7,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[27795809152756519,10680688072261557,1]>,[[-10680688072261557,-1],[0,1],[-15200349430025686,-1663129610766438],[25881037502287244,1663129610766438]]>,<11,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,7,1]>,[[-321730585401407778786,-263766865884946386796],[179137485928096910384,263766865884946386796],[-4976191928817930937,-4318186062016805385],[25251110505299706758,4318186062016805385]]>,<563,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[1],[[[1,2,4,3]]],20,<[],[2519244918427668652097700801118089949983137115434827075,-4570446635740034744786441399735482871272104873916543251,1]>,[[3549010380095899544220075534616850747803573719796562240,0],[2117429693731135566474595746902107547620899014451805105,0],[4570446635740034744786441399735482871272104873916543354,-1],[103,1]]>*] [x,x^2-x-5,x^2-x+141,x^2-x+2956,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[3,7,11,563],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3*7,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[3,7,11,563],[6,6,3,1],1,[1.000000000,0.6838072478,0.8204663809],<"notfaithful",0>,[4,3]>,<1,563,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[3,7,11,563],[1,1,1,6],1,[1.000000000,1.191621100,0.9002069384],<"notfaithful",0>,[4,3]>,<1,3*7*563,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[3,7,11,563],[6,6,3,6],1,[1.000000000,1.386842893,1.263488781],<"notfaithful",0>,[4,3]>,<2,3*7*563,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[3,7,11,563],[6,6,3,6],1,[1.000000000,1.485738011,1.088224095],<"2.3_7_563.4t3.2",1>,[4,3]>]
x^5-15*x^3+45*x-24 3^4*5^5*11^2 5 0 20 "F5" [[3,4,1,2,5],[2,3,4,1,5],[5,4,2,1,3]] [<1,1,[1,2,3,4,5]>,<2,5,[3,4,1,2,5]>,<4,5,[2,3,4,1,5]>,<4,5,[4,1,2,3,5]>,<5,4,[5,4,2,1,3]>] [[1,1,1,1,1],[1,2,2],[1,4],[5]] 41 x^2+38*x+6 9 [[-117635477417098,-69498077987672],[-95763989037250,69498077987672],[-43773521483443,-64961424176872],[124085931457825,0],[133087056479966,64961424176872]] 1 [3,3,1,3,1,4,3,5,3,5,5,4,2,4,4,3,2,2,4,5,4,5,4,2,4,2,3,3,5,3,3,2,4,5,5,2,4,3,3,4,2,5,5,4,3,2,2,3,3,2,4,5,2,5,4,4,2,2,3,2,4,4,3,1,3,4,1,3,3,5,3,5,4,4,2,3,2,4,5,5,2,5,2,3,5,3,2,3,2,3,4,5,4,2,2,4,2,5,4,2,3,3,4,5,2,4,4,4,2,2,3,4,4,2,5,1,3,4,3,1,5,4,3,3,5,2,2,2,4,4,1,4,5,4,2,5,3,3,4,5,2,2,3,3,2,2,4,3,2,3,3,5,3,3,4,5,5,2,3,2,4,4,3,5,4,3,5,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[1,4],"RES",<[1],x^2>,[<x^5-3375*x^3+2278125*x+11475000,3>,<x^5-3375*x^3+2278125*x-18225000,4>]*],[*[5],"CYC",0,5*]] [*<2,4,1,[[1,4,5,3,2]],[[1,2,3,4,5],[1,3,2,5,4],[1,4,5,3,2],[1,5,4,2,3]],[1,4,5,3,2],[1,2,3,4],[1],[[]],20,<[],[1,1,0,0,1]>,[[-327304,0,0,0],[-163064,-257943,-171955,197768],[-262040,145519,-165733,65800],[-8867,-139191,155255,-120924],[236987,251615,182433,-142644]]>,<3,20,5,[[2,3,4,5,1],[2,5,3,1,4]],[[1,2,3,4,5],[2,1,5,4,3],[5,3,1,4,2],[3,5,2,4,1],[2,3,4,5,1]],[2,5,3,1,4],[1,2,3,4,5],[1],[[[2,3,4,5,1]]],20,<<[],[2,0,0,2,1]>,[[-24,0,0,0],[45,0,0,0],[0,0,0,0],[-15,0,0,0],[0,0,0,0],[1,0,0,0]]>,[[[165112110,-1329837759,-1243585431,-1078473321],[-244696811,-479321476,-415928524,-65199615],[-110074740,-275702961,-333204513,-443279253],[0,0,0,0],[-378247594,119830369,-262798324,521215549]],[[1661610312,-1496498202,-913361211,748249101],[-354951750,-442285822,-267011467,526003264],[54521259,-164595999,-553353993,-498832734],[0,0,0,0],[92311684,-470559278,142967955,235279639]],[[0,0,0,0],[1,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],[[-1661610312,1496498202,913361211,-748249101],[383541722,442285822,-285529294,83717442],[-54521259,164595999,553353993,498832734],[0,0,0,0],[-92311684,470559278,-142967955,-235279639]],[[-165112110,1329837759,1243585431,1078473321],[216106838,479321476,-193792182,-544521091],[110074740,275702961,333204513,443279253],[0,0,0,0],[378247594,-119830369,262798324,-521215549]]]>,<5,20,20,[[5,1,2,3,4],[1,3,5,2,4]],[[1,2,3,4,5],[1,5,4,3,2],[1,3,5,2,4],[1,4,2,5,3],[5,1,2,3,4]],[1,2,3,4,5],[1,2,4,3,5],[1,2],[[[5,1,2,3,4],[1,3,5,2,4]],[[5,1,2,3,4]]],20,<[],[-11280548474020,-17438053099575,28541713258875,38604195363075,-41514735845870,-45988722727375,37004363715025,-10425215097300,-13099811219660,-18995342024290,46277005906500,-4675225295925,-21438192009225,23205955593440,4873385021295,-40109985123800,25402785332680,-18423253840790,41723251343080,-30,1]>,[[-4184745459291,-7983236587530,3963163656635,5957928244325,-2528484812191,-4888055746615,-7747604733250,8723820804470,404671763660,5063735400528,-9188604009270,7009145235380,-5312461361946,728407571149,-9061025171639,9528300126745,-1798295455214,-5046060303077,4788197474900,-7950532931804],[7763955761754,-7121887805125,6275819751480,-3082587189865,7890999867029,-6667416680806,-3395762902890,1815536854520,6111586001490,-5450857167472,8017439139133,-4911904044465,8960301231534,-820566837537,-239384678060,5004184260531,874946054376,-7513081274701,439510660018,6276998854601],[-6594781345796,-2170369937770,-658012900820,6729658096985,7851509130749,-2325429951252,4620840657210,2353589510500,5829130255030,-2337854334237,-4535930105708,-3392788759780,-8782753972656,-6321974518093,-7113333554798,-929650070022,6977952934716,958505305015,-7013923179885,-7671525029251],[6046690765504,1822259934485,5027077391510,1350904860910,7484186991219,396950690472,9163503321800,8064482085610,7370791578490,9279154167883,-9439566176628,-9028341075630,2103769859944,-3303872956384,9493713407157,1578309744772,4011888535706,-6726829819079,4489605950841,-7208373850038],[-3031119722171,-3620251932185,4465438429320,8117582315770,-1624724848681,-5589534639924,-2640976342870,-1883942926975,-642693270545,-6554178066702,-3926825175652,-8749597683630,3031144243124,-9355479587260,6920029997340,3892342266099,9006994258541,-746020236283,-2703390905874,-2520053371633]]>,<11,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-84924488808590446631,-304238987617205079769,1]>,[[-16812905209073563030,0],[304238987617205079773,-1],[4,1],[118796196694628237710,29309933017440146508],[266527715829800254744,-29309933017440146508]]>*] [x,x^2-x-1,x^4-x^3-14*x^2+14*x+31,x^4-x^3-14*x^2+14*x+31,0] [1,2,2,4,5] <[1],[2],[3,4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,3]>,<1,5,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,3,5,11],[3,3,6,1],1,[1.000000000,0.4304089410,0.7062114032],<"notfaithful",0>,[5,3]>,<1,5*11,4,[[1,0],[-1,0],[0,-1],[0,1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,11],[3,3,6,6],0,[-0.8506508084-0.5257311121*i,0.5681825933-0.6908970148*i,0.9010603843-0.3533508164*i],<"notfaithful",0>,[5,3]>,<1,5*11,4,[[1,0],[-1,0],[0,1],[0,-1],[1,0]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0],[-1,0]],[[1,0]]],[2,3,5,11],[3,3,6,6],0,[-0.8506508084+0.5257311121*i,0.5681825933+0.6908970148*i,0.9010603843+0.3533508164*i],<"notfaithful",0>,[5,3]>,<4,3^4*5^5*11^2,1,[[4],[0],[0],[0],[-1]],[[[1],[-4],[6],[-4],[1]],[[1],[0],[-2],[0],[1]],[[1],[0],[0],[0],[-1]],[[1],[0],[0],[0],[-1]],[[1],[1],[1],[1],[1]],[[1]],[[1],[-2],[1]]],[2,3,5,11],[3,6,6,7],1,[0,0,0],<"4.3e4_5e5_11e2.5t3.1",1>,[5,3]>]
x^4-2006*x^2+946832 2^6*17^3*59^2 4 0 4 "C4" [[4,3,2,1],[2,4,1,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<4,1,[2,4,1,3]>,<4,1,[3,1,4,2]>] [[1,1,1,1],[2,2],[4]] 13 x-1 9 [[1846209899],[3678692905],[-3678692905],[-1846209899]] 1 [1,3,4,3,3,1,1,2,4,4,3,3,4,1,1,1,1,4,2,4,4,3,1,2,4,1,1,3,4,3,1,4,1,3,1,2,1,4,4,3,1,3,1,4,3,4,3,1,3,2,4,2,3,1,2,1,3,2,4,2,3,2,1,4,3,3,2,4,3,2,2,1,4,2,3,1,1,4,3,2,3,1,4,2,4,2,4,1,1,1,1,4,3,2,4,4,1,4,1,3,3,2,1,1,3,1,1,2,2,3,4,1,3,4,1,3,3,2,3,2,1,3,4,4,3,1,4,3,2,1,1,4,3,1,1,2,2,3,2,3,4,3,4,4,2,4,4,3,1,1,3,4,1,3,4,3,1,3,1,4,3,1,2,2,1,3,3,3] [[*[1,1,1,1],"CYC",0,1*],[*[2,2],"CYC",0,2*],[*[4],"RES",<[1],x^3-7*x^2+11*x-5>,[<x+946832,3>,<x-946832,4>]*]] [*<2,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[3],[[[2,1,4,3]]],20,<[],[163058,0,1]>,[[0,32766],[0,32770],[0,103285],[0,27787]]>,<17,4,4,[[2,4,1,3]],[[1,2,3,4],[4,3,2,1],[2,4,1,3],[3,1,4,2]],[1,2,3,4],[1,2,4,3],[1],[[[2,4,1,3]]],20,<[],[946832,0,-2006,0,1]>,[[0,-1,0,0],[0,-119536217842575662423572,0,-47611883377975051982272],[0,119536217842575662423572,0,47611883377975051982272],[0,1,0,0]]>,<59,2,2,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[1,2,3,4],[1,2],[1],[[[4,3,2,1]]],20,<[],[108785897597479186739941183088745136,0,1]>,[[0,-1],[0,26851534391556648011420303478906],[0,-26851534391556648011420303478906],[0,1]]>*] [x,0,x^2-x-4,0] [1,2,2,4] <[1],[2,4],[3]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,17,59],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,1]>,<1,2^3*17*59,4,[[1,0],[-1,0],[0,1],[0,-1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,-1]],[[1,0],[0,1]],[[1,0]]],[2,17,59],[5,5,5],0,[0.6154122094+0.7882054380*i,1.001456312+0.2997707087*i,0.9928493744+0.09655519517*i],<"1.2e3_17_59.4t1.1",1>,[4,1]>,<1,17,1,[[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,17,59],[1,5,1],1,[1.000000000,1.016084834,1.126461493],<"notfaithful",0>,[4,1]>,<1,2^3*17*59,4,[[1,0],[-1,0],[0,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,0]],[[1,0],[0,1]],[[1,0],[0,-1]],[[1,0]]],[2,17,59],[5,5,5],0,[0.6154122094-0.7882054380*i,1.001456312-0.2997707087*i,0.9928493744-0.09655519517*i],<"1.2e3_17_59.4t1.1",2>,[4,1]>]
