x^2-x-274 1097 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 17 x-1 5 [[-226098],[226099]] 1 [1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<1097,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[300578,1097,1]>,[[-548,-1],[549,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[1097],[1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,1097,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[1097],[3],1,[1.000000000,1.059998357,1.119146704],<"1.1097.2t1.1",1>,[2,1]>]
x^3-x^2-5*x-17 -2^2*7*317 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 11 x-1 5 [[38776],[76289],[45987]] 2 [2,3,3,1,1,3,1,1,1,2,2,3,3,3,3,3,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2,2,1,3,2,2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,3,3,1,3,2,2,2,2,2,1,2,2,2,3,2,3,3,2,2,2,2,3,2,2,1,3,2,3,1,2,2,2,2,2,2,1,2,2,1,2,3,2,1,2,3,3,3,1,3,2,3,3,2,1,1,2,2,2,2,3,2,3,2,3,3,1,2,3,2,3,2,2,3,2,1,2,2,3,3,2,3,3,3,3,3,2,2,3,1,2,1,2,2,2,2,2,2,2,3,1,2,3,3,2,1,2,3,3,1,1,1,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[-22,0],[-4,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[471243,-106090],[22880,45761],[235528,471056]],[[-471243,106090],[501407,478527],[288760,53232]]]>,<7,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-23335886435761214,2345723866930675,1]>,[[2345723866930664,0],[-2345723866930669,-1],[6,1]]>,<317,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[20703533727997505411899395400184149994394135021113,-24308347696982548122742274377691916075408231909696,1]>,[[-24308347696982548122742274377691916075408231910121,0],[24308347696982548122742274377691916075408231909909,-1],[213,1]]>*] [x,x^2-x+555,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,317],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,7*317,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,317],[2,4,4],1,[1.000000000,1.600598713,0.9578002607],<"notfaithful",0>,[3,2]>,<2,2^2*7*317,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,7,317],[4,5,5],1,[1.000000000,0.8843600448,0.8939032717],<"2.2e2_7_317.3t2.1",1>,[3,2]>]
x^3-x^2+13*x+1 -2^2*7*317 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 37 x-1 5 [[16947671],[-1077702],[-15869968]] 2 [2,3,3,1,3,3,3,3,3,2,2,1,3,3,1,3,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,3,2,2,1,2,3,2,2,2,3,2,2,1,2,2,3,1,1,3,1,2,2,2,2,2,1,2,2,2,1,2,3,3,2,2,2,2,1,2,2,1,1,2,1,3,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,3,3,3,1,1,2,3,3,2,3,3,2,2,2,2,1,2,1,2,3,3,3,2,1,2,3,2,2,1,2,3,2,2,3,3,2,3,3,1,3,1,2,2,3,1,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,3,2,1,3,3,3,3,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[14,0],[14,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[-349089,350398],[159602,319205],[30445,60890]],[[349089,-350398],[364685,205083],[493843,463398]]]>,<7,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-17772713863474829,31135901491055774,1]>,[[31135901491055773,0],[-31135901491055773,-1],[1,1]]>,<317,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[38628218953825370401112098053699851249257588082458,-2441892129123413766774698567596568196037297640149,1]>,[[-2441892129123413766774698567596568196037297640698,0],[2441892129123413766774698567596568196037297640424,-1],[275,1]]>*] [x,x^2-x+555,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,317],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,7*317,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,317],[2,4,4],1,[1.000000000,1.600598713,0.9578002607],<"notfaithful",0>,[3,2]>,<2,2^2*7*317,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,7,317],[4,5,5],1,[1.000000000,0.5144441932,0.8541328707],<"2.2e2_7_317.3t2.2",1>,[3,2]>]
x^3-x^2-19*x-31 -2^2*7*317 1 1 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 5 x-1 5 [[-974],[587],[388]] 2 [2,3,1,1,3,1,3,3,3,2,2,3,3,1,3,1,2,2,1,2,2,1,2,2,1,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,1,3,3,3,3,2,2,2,2,2,1,2,2,2,3,2,1,1,2,2,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,2,3,2,2,3,2,1,2,3,2,3,3,3,1,3,2,3,1,2,3,3,2,2,2,2,3,2,3,2,1,3,3,2,3,2,1,2,2,3,2,3,2,2,3,3,2,3,3,3,1,3,2,2,3,1,2,3,2,2,2,2,2,2,2,1,3,2,1,3,2,3,2,3,1,3,3,3,1] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[-50,0],[-18,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[502623,-43330],[266066,7845],[395037,265786]],[[-502623,43330],[258221,516443],[129251,258502]]]>,<7,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[33993633091896394,13897317551418252,1]>,[[13897317551418241,0],[-13897317551418246,-1],[6,1]]>,<317,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[38207696850368489485355728584597445385372220033092,-35913238196063703032108685738616876055311155183206,1]>,[[-35913238196063703032108685738616876055311155183495,0],[35913238196063703032108685738616876055311155183351,-1],[145,1]]>*] [x,x^2-x+555,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,317],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,7*317,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,317],[2,4,4],1,[1.000000000,1.600598713,0.9578002607],<"notfaithful",0>,[3,2]>,<2,2^2*7*317,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,7,317],[4,5,5],1,[1.000000000,1.179344475,0.9821230904],<"2.2e2_7_317.3t2.3",1>,[3,2]>]
x^5-2*x^4-11*x^3+15*x^2+61*x-89 5^2*1459^2 1 2 10 "D10" [[3,4,1,2,5],[2,1,5,4,3]] [<1,1,[1,2,3,4,5]>,<2,5,[3,4,1,2,5]>,<5,2,[5,4,2,1,3]>,<5,2,[3,1,4,5,2]>] [[1,1,1,1,1],[1,2,2],[5]] 7 x^2+6*x+3 7 [[83437,90550],[261770,300674],[363680,-90550],[104812,-300674],[9846,0]] 2 [3,4,1,2,4,2,4,4,2,1,2,2,2,3,4,2,3,4,2,3,2,1,3,2,2,3,4,2,2,1,1,3,4,2,4,2,2,1,2,3,2,3,4,2,4,2,2,1,3,4,3,2,2,2,1,1,2,3,2,2,3,2,2,3,3,3,1,2,4,2,2,2,2,3,2,2,1,2,4,2,2,4,3,4,2,3,3,1,4,4,4,2,2,4,4,2,3,4,2,4,2,3,2,2,2,2,1,4,3,2,2,4,2,2,2,2,3,1,4,4,2,4,3,2,3,2,2,2,2,1,2,2,3,4,2,2,2,4,2,3,3,4,2,2,3,3,3,3,2,3,3,1,4,3,4,4,1,4,2,3,2,2,3,3,3,2,2,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x+36475,3>,<x-36475,4>]*]] [*<5,2,2,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[1,2,3,4,5],[1,2],[1],[[[2,1,3,5,4]]],20,<[],[-2576324659095,34287937540565,1]>,[[-34287937540563,-1],[2,1],[-2576324659094,0],[-346415950054,-346415950056],[-936294506539,346415950056]]>,<1459,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-379555392050321695857543278914762306030708194752699253252027629,-681982866121152687198515594445508204615322441234304175160179378,1]>,[[-883212148063608270573348802952902839932485138609186379999653128,0],[681982866121152687198515594445508204615322441234304175160180721,-1],[1343,1],[629740662711532719613929902483376764659547039033252489773197144,-153215068932306588967034400815909753162069950713460755694870],[-428511380769077136239096693975982129342384341658370284933726078,153215068932306588967034400815909753162069950713460755694870]]>*] [x,x^2-x+1824,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,1459],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,5*1459,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,5,1459],[1,5,5],1,[1.000000000,2.942572769,1.480134665],<"notfaithful",0>,[5,2]>,<2,5*1459,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,1459],[3,5,5],1,[1.000000000,0.7817139605,0.7605459408],<"2.5_1459.5t2.1",1>,[5,2]>,<2,5*1459,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,5,1459],[3,5,5],1,[1.000000000,0.6694464317,0.9427924303],<"2.5_1459.5t2.1",2>,[5,2]>]
x^5-x^4+23*x^3-137*x^2+192*x-30 2^4*3^2*1439^2 1 2 10 "D10" [[3,4,1,2,5],[5,3,2,4,1]] [<1,1,[1,2,3,4,5]>,<2,5,[3,4,1,2,5]>,<5,2,[2,4,5,3,1]>,<5,2,[4,3,1,5,2]>] [[1,1,1,1,1],[1,2,2],[5]] 11 x^2+7*x+2 8 [[20749984,85371923],[23346896,-35111903],[66223166,-85371923],[54771336,35111903],[49267500,0]] 2 [1,1,2,3,2,3,4,2,2,1,2,4,2,2,4,4,4,3,2,2,2,2,2,4,3,2,3,2,4,2,4,2,2,3,1,3,2,4,3,2,4,3,2,2,2,1,1,4,2,2,3,2,2,3,1,2,4,2,2,2,3,2,2,2,2,3,2,3,3,2,3,2,4,2,2,4,2,2,4,4,4,3,3,4,4,3,2,3,2,3,2,2,4,2,3,2,3,2,2,2,2,3,4,2,2,2,3,4,3,2,4,4,1,3,3,2,2,4,2,2,2,2,2,4,1,3,3,2,2,1,2,4,3,1,3,2,4,2,2,2,2,2,3,4,2,2,2,3,2,2,2,1,2,3,2,4,3,2,2,2,2,3,4,2,3,2,2,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x+1105152,4>,<x-1105152,3>]*]] [*<2,2,2,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[1,2,3,4,5],[1,2],[2],[[[2,1,3,5,4]]],20,<[],[491078,-147390,1]>,[[0,1],[147390,-1],[-1611,0],[3767,-656],[-2089,656]]>,<3,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-1030660140,1172466801,1]>,[[-1582300399,0],[-1172466801,-1],[0,1],[694713436,446231594],[-1426730636,-446231594]]>,<1439,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[670864925302514860565605955667248701623872478708456867202936583,424422135538658007479531983047246329417511734999283504366485234,1]>,[[139402246745136694088775445616061148527491421374714395274638927,0],[-424422135538658007479531983047246329417511734999283504366484106,-1],[1128,1],[628916780725884670242138711091265070850251443681258952340589822,492453226287308374129812915097105585100305291165149478493942],[-343896891932363356851382173660079889960231130056689843248745770,-492453226287308374129812915097105585100305291165149478493942]]>*] [x,x^2+4317,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,1439],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,2^2*3*1439,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,1439],[5,5,5],1,[1.000000000,0.9562883038,0.9785669352],<"notfaithful",0>,[5,2]>,<2,2^2*3*1439,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,1439],[5,5,5],1,[1.000000000,2.410294723,1.447142504],<"2.2e2_3_1439.5t2.1",1>,[5,2]>,<2,2^2*3*1439,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,1439],[5,5,5],1,[1.000000000,3.006228185,1.517203524],<"2.2e2_3_1439.5t2.1",2>,[5,2]>]
x^6-x^5-67*x^4+45*x^3+1760*x^2-578*x-17522 2^4*19^2*97^3 2 2 12 "D12" [[1,3,2,5,4,6],[2,1,3,6,5,4],[6,5,4,3,2,1]] [<1,1,[1,2,3,4,5,6]>,<2,1,[6,4,5,2,3,1]>,<2,3,[6,5,4,3,2,1]>,<2,3,[2,1,3,6,5,4]>,<3,2,[3,1,2,6,4,5]>,<6,2,[4,5,6,3,1,2]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 31 x^2+29*x+3 8 [[202675184599,0],[-391027595198,315016582607],[-144707078950,-315016582607],[115309076982,315016582607],[361629593230,-315016582607],[-143879180662,0]] 4 [4,4,6,6,5,3,6,2,2,3,4,3,3,5,5,4,3,5,3,3,5,4,2,4,4,1,4,3,4,4,3,6,6,6,6,4,2,1,4,3,3,3,5,4,1,6,3,3,4,5,6,6,4,6,3,6,4,2,6,3,5,4,4,6,1,3,3,3,6,6,1,6,2,3,4,3,5,5,3,3,1,4,4,3,3,6,4,6,5,5,5,1,4,1,6,1,4,4,3,6,4,5,3,3,1,6,6,1,3,3,4,5,5,2,5,3,5,5,6,3,4,4,4,4,5,1,2,6,5,1,6,4,4,6,6,6,4,4,3,5,4,6,5,3,4,3,2,4,6,3,4,5,6,3,3,3,2,2,5,3,2,3,1,4,3,3,3,5] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+30,2>,<x^3+78*x^2+2092*x+18952,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,6,3,[[2,3,1,5,6,4],[1,3,2,4,6,5]],[[1,2,3,4,5,6],[1,3,2,4,6,5],[2,3,1,5,6,4]],[1,3,2,4,6,5],[1,4,5],[1],[[[2,3,1,5,6,4]]],20,<<[],[1,1,1]>,[[83486,0],[268836,0],[242294,0],[1,0]]>,[[[0,0],[1,0],[0,0]],[[-83906,74482],[449488,374689],[396276,268264]],[[-158388,-74482],[74799,149599],[128012,256024]],[[511055,0],[1,0],[0,0]],[[427149,74482],[449488,374689],[396276,268264]],[[352667,-74482],[74799,149599],[128012,256024]]]>,<19,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[2,18,1]>,[[10894859721080836130582142,-18244806878377144164567570],[18436314431438272963193983,4028014330900523698208452],[1,0]]>,[[[-18484736786387062775421835,2014007165450261849104222],[0,0]],[[-17146892306945817865942230,-2014007165450261849104222],[0,0]],[[-18436314431438272963193973,-4028014330900523698208448],[-1,0]],[[10,4],[1,0]],[[17815814546666440320682023,-4],[-1,0]],[[-1337844479441244909479595,4028014330900523698208448],[1,0]]]>,<97,4,2,[[2,1,4,3,6,5],[3,4,1,2,5,6]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[3,4,1,2,5,6],[4,3,2,1,6,5]],[3,4,1,2,5,6],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[5,96,1]>,[[-1249329604612345553438201935079441520770,0],[1447959328100022904180885757699257474782,0],[1,0]]>,[[[-2652219856013787014921585510203763789632,1849902550338362173624879997407992656215],[-1,0]],[[-1204260527913764110740699752504506314850,1849902550338362173624879997407992656215],[1,0]],[[-790731522669960724418726143164151423039,-1849902550338362173624879997407992656215],[-1,0]],[[657227805430062179762159614535106051743,-1849902550338362173624879997407992656215],[1,0]],[[-1447959328100022904180885757699257474702,0],[-1,0]],[[80,0],[1,0]]]>,<1069501,2,1,[[4,3,2,1,6,5]],[[1,2,3,4,5,6],[4,3,2,1,6,5]],[4,3,2,1,6,5],[1,3],[1],[[]],20,<[],[2,0,1]>,[[540193554596227265500333137428045303621439026970484535375737475729635427666027687287079141044524094022189281018021169723,-1030783126817898758968333021880321344536364199160594716358862124939766143623325776851108407581959304039111907959990372913],[836488378994753041656547887183747373467969246543643678338878578868040129226656179312328323288906204422687363387842105555,1103320502504396359080185875138189041935130327017374348434282106359509677329995438500371046655536790071285910511369621750],[836488378994753041656547887183747373467969246543643678338878578868040129226656179312328323288906204422687363387842105555,-1103320502504396359080185875138189041935130327017374348434282106359509677329995438500371046655536790071285910511369621750],[540193554596227265500333137428045303621439026970484535375737475729635427666027687287079141044524094022189281018021169723,1030783126817898758968333021880321344536364199160594716358862124939766143623325776851108407581959304039111907959990372913],[-989062611401848826629212807774621897382230498300661663323920416532549116971292175592625190980645346141257467189975,301492082518345005751898521784621852121575362262058298462383369348369655403168886474000563398637525216359049501942],[-989062611401848826629212807774621897382230498300661663323920416532549116971292175592625190980645346141257467189975,-301492082518345005751898521784621852121575362262058298462383369348369655403168886474000563398637525216359049501942]]>*] [x,x^2-x+5,x^2-x-24,x^2-x+461,x^3-2*x-2,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,19,97,1069501],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,19,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,19,97,1069501],[3,7,3,3],1,[1.000000000,0.7207307842,0.7688512744],<"notfaithful",0>,[6,3]>,<1,97,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,19,97,1069501],[1,2,7,2],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[6,3]>,<1,19*97,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,19,97,1069501],[2,7,7,1],1,[1.000000000,0.4390747427,0.6863252658],<"notfaithful",0>,[6,3]>,<2,2^2*19,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,19,97,1069501],[7,8,3,3],1,[1.000000000,0.7341304810,0.9462840683],<"notfaithful",0>,[6,3]>,<2,2^2*19*97^2,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1]],[[1],[1]]],[2,19,97,1069501],[7,8,7,3],1,[1.000000000,1.291295313,1.061025681],<"2.2e2_19_97e2.6t3.1",1>,[6,3]>]
