x^3-x^2-25*x-33 2^2*5*937 3 0 6 "S3" [[2,3,1],[2,1,3]] [<1,1,[1,2,3]>,<2,3,[2,1,3]>,<3,2,[2,3,1]>] [[1,1,1],[1,2],[3]] 29 x-1 5 [[-9987367],[-7066454],[-3457327]] 1 [2,2,1,3,2,2,2,3,3,1,3,2,2,1,3,2,2,1,1,2,2,2,3,3,2,2,1,2,2,3,3,3,2,2,2,3,3,3,1,3,3,2,2,2,3,2,3,3,2,2,3,3,3,2,1,2,2,1,2,2,3,2,2,3,2,3,2,2,2,3,2,3,3,3,3,2,3,3,2,2,2,2,1,1,2,2,3,1,2,3,2,2,2,2,1,1,3,3,3,2,3,3,1,2,3,3,3,3,1,2,2,2,1,3,1,3,2,3,3,2,2,3,3,1,2,2,3,2,2,2,2,2,3,1,2,2,3,2,2,3,2,3,2,2,3,3,3,1,3,2,1,2,2,2,3,3,3,3,1,3,1,2,3,3,3,1,3,3] [[*[1,1,1],"CYC",0,1*],[*[1,2],"CYC",0,2*],[*[3],"CYC",0,3*]] [*<2,6,3,[[2,3,1],[1,3,2]],[[1,2,3],[2,1,3],[2,3,1]],[1,3,2],[1,2,3],[1],[[[2,3,1]]],20,<<[],[1,1,1]>,[[-58,0],[-24,0],[2,0],[1,0]]>,[[[1,0],[1,0],[0,0]],[[385187,-278202],[237512,475025],[188562,377124]],[[-385187,278202],[286775,49263],[335726,147164]]]>,<5,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-43492207765860,35824661819625,1]>,[[35824661819618,0],[-35824661819621,-1],[4,1]]>,<937,2,2,[[1,3,2]],[[1,2,3],[1,3,2]],[1,2,3],[1,2],[1],[[[1,3,2]]],20,<[],[-89197381949006566604944870218814058570795542915511392739635,-63530403039308596810124983489677301448406951070951868443313,1]>,[[-63530403039308596810124983489677301448406951070951868444516,0],[63530403039308596810124983489677301448406951070951868443915,-1],[602,1]]>*] [x,x^2-x-1171,0] [1,2,3] <[1],[2],[3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,937],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,2]>,<1,5*937,1,[[1],[-1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,937],[2,4,4],1,[1.000000000,0.5471007257,0.7265985871],<"notfaithful",0>,[3,2]>,<2,2^2*5*937,1,[[2],[0],[-1]],[[[1],[-2],[1]],[[1],[0],[-1]],[[1],[1],[1]],[[1]],[[1],[-1]]],[2,5,937],[4,5,5],1,[1.000000000,1.165650328,1.030972155],<"2.2e2_5_937.3t2.1",1>,[3,2]>]
x^3-x^2-1362*x-17559 61^2*67^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 7 x-1 7 [[358499],[-212329],[-146169]] 1 [2,1,3,1,2,2,1,1,3,3,3,3,2,3,3,1,3,1,1,3,1,1,2,1,1,1,3,3,3,2,1,1,3,2,1,1,1,2,1,1,2,1,3,2,3,2,3,3,3,2,2,1,1,2,1,2,2,1,1,3,3,2,2,3,1,1,3,1,3,2,2,3,2,1,2,1,3,2,2,1,3,2,3,1,1,1,1,3,1,1,2,3,3,1,3,1,3,1,1,1,1,2,2,2,1,2,3,1,2,3,2,3,3,3,2,3,1,3,2,3,2,3,1,1,2,3,3,2,2,2,2,3,2,3,2,2,2,2,3,3,1,3,1,3,2,1,3,1,1,1,3,3,3,3,2,2,1,2,3,2,2,1,2,1,3,3,3,3] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x-36783,2>,<x+36783,3>]*]] [*<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-68801360,-124103607,192904968]>,<61,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[-6161,3599,122,1]>,[[226159159830968502194042828759344507,-2780645407757809453205444615893574,-3707527210343745937607259487858107],[-226159159830968502194042828759344547,2780645407757809453205444615893573,3707527210343745937607259487858107],[41,1,0]]>,<67,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[10251,4623,134,1]>,[[-1107579220567695224119492229534193200,22041377523735228340686412528043653,11020688761867614170343206264021823],[1107579220567695224119492229534193156,-22041377523735228340686412528043654,-11020688761867614170343206264021823],[45,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,61,67],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,61*67,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3,61,67],[2,1,4,4],0,[0.9922206937-0.1244913450*i,1.149807224+0.1944023903*i,0.9658802171+0.1593198270*i],<"1.61_67.3t1.1",1>,[3,1]>,<1,61*67,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,61,67],[2,1,4,4],0,[0.9922206937+0.1244913450*i,1.149807224-0.1944023903*i,0.9658802171-0.1593198270*i],<"1.61_67.3t1.1",2>,[3,1]>]
x^3-x^2-1362*x+19224 61^2*67^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 13 x-1 6 [[1890955],[2229909],[705946]] 1 [1,1,3,2,3,1,3,3,2,1,1,2,3,3,1,1,3,1,1,1,3,2,1,1,3,2,1,3,3,3,2,1,3,2,1,3,3,3,2,3,2,2,2,2,1,1,2,3,1,1,3,2,1,1,2,2,2,1,1,2,3,2,1,3,1,3,1,3,1,2,1,3,3,2,1,3,2,2,2,2,2,1,1,2,3,2,2,1,1,3,1,2,2,1,2,2,3,1,3,1,2,3,2,3,2,3,2,3,3,2,3,2,3,2,1,1,1,2,1,1,2,3,2,3,3,1,2,1,1,3,1,2,2,1,2,3,3,1,1,3,2,2,3,2,2,2,2,1,2,1,2,2,1,2,3,2,3,2,3,2,2,1,3,2,2,3,3,3] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x-24522,2>,<x+24522,3>]*]] [*<2,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-212217,225028,-12810]>,<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-1183524908,424703853,-403440411]>,<61,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[30622,3599,122,1]>,[[-169619369873226376645532121569508156,-4170968111636714179808166923840354,-1390322703878904726602722307946790],[169619369873226376645532121569508116,4170968111636714179808166923840353,1390322703878904726602722307946790],[41,1,0]]>,<67,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,2,3],[1],[[[3,1,2]]],20,<[],[47034,4623,134,1]>,[[-357,-8265516571400710627757404698016386,8265516571400710627757404698016367],[313,8265516571400710627757404698016385,-8265516571400710627757404698016367],[45,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,61,67],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,61*67,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3,61,67],[1,1,4,4],0,[0.5693424410-0.8221004713*i,2.474985364-0.4957670691*i,1.453779315-0.04080835135*i],<"1.61_67.3t1.2",1>,[3,1]>,<1,61*67,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,61,67],[1,1,4,4],0,[0.5693424410+0.8221004713*i,2.474985364+0.4957670691*i,1.453779315+0.04080835135*i],<"1.61_67.3t1.2",2>,[3,1]>]
