x^2-x-1971 5*19*83 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 3 x-1 5 [[-27],[28]] 1 [2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<5,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1965,5,1]>,[[-2,-1],[3,1]]>,<19,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1881,19,1]>,[[-9,-1],[10,1]]>,<83,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-249,83,1]>,[[-41,-1],[42,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[5,19,83],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,5*19*83,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[5,19,83],[3,3,3],1,[1.000000000,0.8285117781,0.8784653654],<"1.5_19_83.2t1.1",1>,[2,1]>]
x^4+35*x^2+224 2^3*7^3*47^2 0 2 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 5 x-1 11 [[3417986],[-4981738],[4981738],[-3417986]] 2 [4,5,1,4,3,1,5,4,5,5,1,4,4,3,1,4,5,3,3,4,4,4,5,5,5,3,3,3,5,3,5,5,3,4,4,5,3,3,2,3,3,2,4,3,4,2,3,2,4,2,3,4,5,5,4,4,3,3,4,3,5,1,5,1,4,5,1,2,1,2,5,5,1,5,1,3,5,3,2,4,4,5,4,4,3,3,3,1,2,5,4,3,4,2,3,1,1,5,5,4,3,5,4,3,1,4,4,4,5,5,2,4,2,5,5,3,5,3,4,2,3,3,1,1,4,5,4,3,1,3,2,5,5,5,5,5,3,4,2,3,5,5,4,1,1,2,3,4,4,4,5,4,1,2,2,4,5,5,4,3,2,3,4,4,1,2,4,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x+210,2>,<x^2-32256,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[2,1,3,4],[1,2,4,3]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[1,2,4,3],[1,4,4,2],[3],[[[2,1,3,4]]],20,<<[],[1,1,1]>,[[47706,0],[0,0],[1,0]]>,[[[0,0],[4,0]],[[0,0],[65532,0]],[[209345,-105598],[0,0]],[[-209345,105598],[0,0]]]>,<7,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[3,6,1]>,[[224,0],[0,0],[35,0],[0,0],[1,0]]>,[[[0,0],[-1,0],[0,0],[0,0]],[[0,0],[-2717372758556656,2893840808938829],[0,0],[1315294313535502,-3361200290612547]],[[0,0],[1,0],[0,0],[0,0]],[[0,0],[2717372758556656,-2893840808938829],[0,0],[-1315294313535502,3361200290612547]]]>,<47,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[1035459499952839956162056230148875,-674881638619207754918072348245921,1]>,[[674881638619207754918072348245958,-1],[37,1],[-37,-1],[-674881638619207754918072348245958,1]]>*] [x,x^2-x-82,x^2-14,x^2-94,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,7,47],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,7*47,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,7,47],[1,6,6],1,[1.000000000,1.695219767,1.243723210],<"notfaithful",0>,[4,3]>,<1,2^3*7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,7,47],[6,6,1],1,[1.000000000,0.9087107831,0.9420581177],<"notfaithful",0>,[4,3]>,<1,2^3*47,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,7,47],[6,3,6],1,[1.000000000,1.575083602,1.147925835],<"notfaithful",0>,[4,3]>,<2,2^3*7^2*47,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]],[[1],[-1]]],[2,7,47],[6,7,8],1,[1.000000000,1.163396534,0.8697897252],<"2.2e3_7e2_47.4t3.3",1>,[4,3]>]
x^4-x^3-60*x^2-11*x+121 2^3*7^3*47^2 4 0 8 "D8" [[2,1,3,4],[3,4,1,2]] [<1,1,[1,2,3,4]>,<2,1,[2,1,4,3]>,<2,2,[3,4,1,2]>,<2,2,[1,2,4,3]>,<4,2,[3,4,2,1]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 167 x-1 5 [[10193556441],[-33607398381],[-46907405296],[-59570738370]] 1 [4,5,2,4,3,2,5,4,5,5,2,4,4,3,2,4,5,3,3,4,4,4,5,5,5,3,3,3,5,3,5,5,3,4,4,5,3,3,1,3,3,1,4,3,4,1,3,1,4,1,3,4,5,5,4,4,3,3,4,3,5,2,5,2,4,5,1,2,1,1,5,5,2,5,1,3,5,3,2,4,4,5,4,4,3,3,3,1,1,5,4,3,4,2,3,2,2,5,5,4,3,5,4,3,1,4,4,4,5,5,1,4,2,5,5,3,5,3,4,2,3,3,2,1,4,5,4,3,2,3,2,5,5,5,5,5,3,4,1,3,5,5,4,1,2,1,3,4,4,4,5,4,1,1,2,4,5,5,4,3,2,3,4,4,1,1,4,2] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x-11,2>,<x^2+104*x+2354,3>]*],[*[4],"CYC",0,5*]] [*<2,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[3],[[[1,2,4,3]]],20,<<[],[1,1,1]>,[[-285286,0],[-285296,0],[1,0]]>,[[[-27574,230149],[0,0]],[[-257723,-230149],[0,0]],[[1,0],[1,0]],[[-238991,0],[262143,0]]]>,<5,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,2],[1],[[]],20,<[],[2,4,1]>,[[7519556964358,29584995431563],[-15452993121269,-29584995431563],[-5022536862584,-4494627470520],[-6117513308629,4494627470520]]>,<7,8,4,[[2,3,4,1],[1,4,3,2]],[[1,2,3,4],[3,4,1,2],[1,4,3,2],[2,1,4,3],[2,3,4,1]],[1,4,3,2],[1,2,4,3,5],[1],[[[2,3,4,1]]],20,<<[],[3,6,1]>,[[-133,0],[-231,0],[-42,0],[7,0],[1,0]]>,[[[36269211953460012,0],[-1036263198670281,0],[2072526397340571,0],[-4145052794681143,0]],[[19283400472052726,25771379865862911],[-4749076036499316,2043895849846229],[-1988010541761980,1582566749864959],[4659993458478494,-4836958572307264]],[[2,0],[1,0],[0,0],[0,0]],[[24239653872099262,-25771379865862911],[-5613555950203547,-2043895849846229],[-84515855578591,-1582566749864959],[-514940663797351,4836958572307264]]]>,<11,2,1,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[2,1,4,3],[1,3],[1],[[]],20,<[],[2,7,1]>,[[-48010159561899739546,-263522409281297459856],[-221603279390497548157,263522409281297459856],[-24149821268213317809,7005923028809050632],[-12032192021462125942,-7005923028809050632]]>,<47,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,2,3],[1],[[[2,1,4,3]]],20,<<[],[5,45,1]>,[[871896566058893090508542051495571,-848065245578703791584657578343285],[-665972308513332400760132380594330,523734973125207944078588163130968],[1,0]]>,[[[665972308513332400760132380594335,-523734973125207944078588163130961],[-1,0]],[[5,7],[1,0]],[[-768032937241239210666508496197757,-75458248294817703140245807046840],[-1569570950178832530742782620635,-10235870304096147795114204747757]],[[102060628727906809906376115603418,599193221420025647218833970177794],[1569570950178832530742782620635,10235870304096147795114204747757]]]>*] [x,x^2-x-82,x^2-14,x^2-94,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,7,11,47],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,7*47,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,5,7,11,47],[1,1,6,3,6],1,[1.000000000,1.695219767,1.243723210],<"notfaithful",0>,[4,3]>,<1,2^3*7,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,5,7,11,47],[6,1,6,1,1],1,[1.000000000,0.9087107831,0.9420581177],<"notfaithful",0>,[4,3]>,<1,2^3*47,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,5,7,11,47],[6,1,3,3,6],1,[1.000000000,1.575083602,1.147925835],<"notfaithful",0>,[4,3]>,<2,2^3*7^2*47,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]],[[1]]],[2,5,7,11,47],[6,2,7,3,6],1,[1.000000000,0.3507810152,0.7204459762],<"2.2e3_7e2_47.4t3.6",1>,[4,3]>]
x^5-2*x^4+13*x^3+4*x^2-174*x+288 2^6*5^2*13^2*31^2 1 2 10 "D10" [[2,1,3,5,4],[5,3,2,4,1]] [<1,1,[1,2,3,4,5]>,<2,5,[5,3,2,4,1]>,<5,2,[4,3,1,5,2]>,<5,2,[5,1,4,2,3]>] [[1,1,1,1,1],[1,2,2],[5]] 41 x^2+38*x+6 6 [[919902943,0],[-914832781,145385607],[927116814,-245533850],[757194632,245533850],[-1689381606,-145385607]] 2 [1,2,1,3,2,1,4,4,3,4,1,3,2,2,4,2,3,3,2,2,2,2,4,3,4,2,2,4,3,2,1,2,2,4,3,3,4,2,2,3,3,1,4,4,4,2,2,2,2,2,2,4,3,4,2,4,3,4,2,2,4,2,2,3,1,2,2,3,2,4,2,2,4,3,3,2,1,2,4,1,2,4,2,3,3,1,4,2,2,2,3,2,2,3,2,2,2,4,2,3,3,3,1,2,1,3,3,3,3,2,2,3,3,2,4,2,4,1,1,2,3,3,2,2,3,2,2,2,2,2,2,2,4,2,3,2,4,4,2,2,1,2,3,3,4,2,2,2,3,2,2,2,2,2,3,2,3,4,2,2,1,4,2,2,3,2,2,4] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x+5319600,3>,<x-5319600,4>]*]] [*<2,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[3],[[[1,3,2,5,4]]],20,<[],[306782,202880,1]>,[[155632,0],[-98936,-82283],[-115960,82283],[1,1],[-202879,262143]]>,<3,2,1,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,3,2,5,4],[1,2],[1],[[]],20,<[],[2,2,1]>,[[-1389347002,0],[-820311097,-1099143337],[1377975577,1099143337],[462264183,46422921],[369418341,-46422921]]>,<5,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[1355357063380,-42269346425,1]>,[[-26851082310013,0],[4,5],[211346732129,-5],[34212447019716,-5050593271516],[-7572711441834,5050593271516]]>,<11,2,1,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,3,2,5,4],[1,2],[1],[[]],20,<[],[2,7,1]>,[[168930580682522951915,0],[-248826166015967829421,-230900760784611558985],[21979169611193065072,230900760784611558985],[22926962680480694009,-19197238751159931000],[-26169637406643427864,19197238751159931000]]>,<13,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[2814050194882994617316,197932591343353067500,1]>,[[-1212324586173107317345,0],[-197932591343353067497,-1],[3,1],[-2033069902309054769471,-69201413865843820515],[3443327079825515154312,69201413865843820515]]>,<31,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[191370720765528207825858987400,-139739822447593241143401482402,1]>,[[-65900409420650563917551068764,0],[139739822447593241143401482426,-1],[24,1],[-28484899839439497856615679888,-2629151610210559660597063649],[-45354513187503179369234733796,2629151610210559660597063649]]>*] [x,x^2+4030,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11,13,31],[1,1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,2^3*5*13*31,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,11,13,31],[5,2,5,2,5,5],1,[1.000000000,0.9897541816,0.9196913435],<"notfaithful",0>,[5,2]>,<2,2^3*5*13*31,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,5,11,13,31],[5,2,5,2,5,5],1,[1.000000000,2.312568764,1.369797079],<"2.2e3_5_13_31.5t2.1",1>,[5,2]>,<2,2^3*5*13*31,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,5,11,13,31],[5,2,5,2,5,5],1,[1.000000000,2.642722878,1.417661062],<"2.2e3_5_13_31.5t2.1",2>,[5,2]>]
x^4-2*x^3-42*x^2-112*x+1586 2^6*5^2*13^2*31^2 0 2 12 "A4" [[2,3,1,4],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<3,4,[2,3,1,4]>,<3,4,[3,1,2,4]>] [[1,1,1,1],[1,3],[2,2]] 53 x-1 5 [-69384207,-98654297,-185716218,-64440769] 2 [3,3,2,4,3,1,4,4,3,3,1,3,3,4,2,1,4,4,3,4,1,1,2,3,4,3,1,3,2,4,3,1,4,4,4,2,2,4,3,4,3,2,4,3,3,4,3,3,4,1,2,2,4,4,3,3,4,3,4,2,3,4,2,2,2,2,4,2,4,3,3,2,3,4,3,4,1,4,3,4,3,2,3,4,3,2,4,3,4,1,2,3,4,3,2,4,3,1,3,2,2,3,4,3,1,2,3,1,1,3,4,3,4,2,4,4,4,3,3,4,3,3,2,4,3,2,4,4,2,1,3,3,3,3,4,3,4,4,4,3,2,3,4,2,3,4,2,2,1,2,4,3,2,3,3,2,4,4,2,2,3,4,1,4,3,2,3,4] [[*[1,1,1,1],"CYC",0,1*],[*[1,3],"ALT",[1,3,4,2],[<x+435240,4>,<x-435240,3>]*],[*[2,2],"CYC",0,2*]] [*<2,12,4,[[3,4,1,2],[1,3,4,2]],[[1,2,3,4],[2,1,4,3],[2,3,1,4],[3,1,2,4]],[1,3,4,2],[1,2,4,3],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,0,1]>,[[1586,0,0],[-112,0,0],[-42,0,0],[-2,0,0],[1,0,0]]>,[[[0,0,0],[1,0,0],[0,0,0],[0,0,0]],[[83274,-61542,-137234],[252737,-29660,-145182],[24120,53025,36180],[21422,94726,163205]],[[43390,-172694,65084],[-25711,-138322,-38566],[121286,98296,181929],[159582,38131,108301]],[[-126662,234236,72150],[-227027,167982,183748],[116738,110823,44035],[81140,129287,252782]]]>,<3,3,1,[[1,3,4,2]],[[1,2,3,4],[1,3,4,2],[1,4,2,3]],[1,3,4,2],[1,3,4],[1],[[]],20,<[],[1,2,0,1]>,[[-821711974,0,0],[187441174,-133343451,128863131],[-20103059,-11893566,-123650166],[-120467117,145237017,-5212965]]>,<5,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,2,2],[1],[[[2,1,4,3]]],20,<<[],[2,4,1]>,[[35580697473655,35905866612580],[-36032642137515,-18016321068755],[1,0]]>,[[[36032642137519,18016321068758],[-1,0]],[[4,3],[1,0]],[[-36296589800013,-37428362765758],[-4360984093851,4380208295473]],[[263947662492,19412041696997],[4360984093851,-4380208295473]]]>,<13,3,3,[[1,4,2,3]],[[1,2,3,4],[1,4,2,3],[1,3,4,2]],[1,2,3,4],[1,3,4],[1],[[[1,4,2,3]]],20,<[],[-6941928188777011782196,-737421045146880949153,7790877619334851235246,1]>,[[9252797909710297345910,5847681161501784442708,-5847681161501784442708],[792872703134217399933,642153571516135500233,-563100652381782987870],[-8583750322469068635169,-642153571516135500234,563100652381782987870],[5,1,0]]>,<31,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[237092108419073688451666009702,-11988191064664276595350448077,1]>,[[11988191064664276595350448106,-1],[29,1],[-243314183558282869962044125987,6039990092942419705131814935],[231325992493618593366693677854,-6039990092942419705131814935]]>*] [x,x^3-x^2-4*x-1,x^3-x^2-4*x-1,0] [1,3,2,4] <[1],[2,3],[4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,13,31],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,4]>,<1,13,3,[[1,0],[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3,5,13,31],[3,3,1,5,1],0,[0.2526204075+0.9675654653*i,0.5663299165+0.3150964448*i,0.8121434926+0.2232040771*i],<"notfaithful",0>,[4,4]>,<1,13,3,[[1,0],[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,5,13,31],[3,3,1,5,1],0,[0.2526204075-0.9675654653*i,0.5663299165-0.3150964448*i,0.8121434926-0.2232040771*i],<"notfaithful",0>,[4,4]>,<3,2^6*5^2*13^2*31^2,1,[[3],[-1],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[1]],[[1],[-1]]],[2,3,5,13,31],[5,3,6,7,7],1,[0,0,0],<"3.2e6_5e2_13e2_31e2.4t4.1",1>,[4,4]>]
x^4-2*x^3+26*x^2+130*x+195 2^6*5^2*13^2*31^2 0 2 12 "A4" [[2,3,1,4],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,3,[2,1,4,3]>,<3,4,[2,3,1,4]>,<3,4,[3,1,2,4]>] [[1,1,1,1],[1,3],[2,2]] 47 x-1 5 [-48998907,-86360035,-893538,-93092525] 2 [4,4,1,3,4,1,3,3,4,4,2,4,4,3,1,2,3,3,4,3,2,2,2,4,3,4,2,4,2,3,4,2,3,3,3,2,2,3,4,3,4,2,3,4,4,3,4,4,3,2,2,2,3,3,4,4,3,4,3,2,4,3,2,2,1,2,3,2,3,4,4,2,4,3,4,3,2,3,4,3,4,2,4,3,4,2,3,4,3,2,2,4,3,4,2,3,4,1,4,2,1,4,3,4,2,2,4,1,2,4,3,4,3,1,3,3,3,4,4,3,4,4,2,3,4,1,3,3,2,2,4,4,4,4,3,4,3,3,3,4,2,4,3,2,4,3,1,1,2,2,3,4,1,4,4,1,3,3,1,2,4,3,2,3,4,2,4,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,3],"ALT",[1,3,4,2],[<x-80600,4>,<x+80600,3>]*],[*[2,2],"CYC",0,2*]] [*<2,12,4,[[3,4,1,2],[1,3,4,2]],[[1,2,3,4],[2,1,4,3],[2,3,1,4],[3,1,2,4]],[1,3,4,2],[1,2,3,4],[2],[[[2,1,4,3],[3,4,1,2]]],20,<<[],[1,1,0,1]>,[[350,0,0],[180,0,0],[26,0,0],[2,0,0],[1,0,0]]>,[[[1,0,0],[1,0,0],[0,0,0],[0,0,0]],[[-76937,-72772,146738],[192101,220128,26008],[16504,153847,24756],[36338,150492,54507]],[[-122537,-141954,-183806],[-62523,-62616,-93784],[93210,85664,8743],[212350,9781,56381]],[[199475,214726,37068],[-129579,-157512,67776],[152430,22633,228645],[13456,101871,151256]]]>,<5,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,2],[1],[[[2,1,4,3]]],20,<[],[11895240853920,15427952033095,1]>,[[-15427952033095,-1],[0,1],[-1256430632589,-353598342870],[-2389103662439,353598342870]]>,<13,3,3,[[1,4,2,3]],[[1,2,3,4],[1,4,2,3],[1,3,4,2]],[1,2,3,4],[1,4,3],[1],[[[1,4,2,3]]],20,<[],[4027880269651755595091,-2577264731840162440596,-3548014568474794574715,1]>,[[-3548014568474794574713,0,0],[5907864063022788598550,466018172012509012685,548149578369647896020],[-2359849494547994023835,-466018172012509012686,-548149578369647896020],[0,1,0]]>,<31,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,2,2,2],[1],[[[2,1,4,3]]],20,<<[],[3,29,1]>,[[-171875821431634080354303971977,127320732481365050593291845216],[-135947199651700279131198961744,245441428196776018763281748101],[1,0]]>,[[[135947199651700279131198961746,-245441428196776018763281748087],[-1,0]],[[2,14],[1,0]],[[171196892276146068419903779835,11736369546384382055032612387],[8667608785727102322858857276,-6842380686011812813937904225]],[[-307144091927846347551102741581,233705058650391636708249135686],[-8667608785727102322858857276,6842380686011812813937904225]]]>*] [x,x^3-x^2-4*x-1,x^3-x^2-4*x-1,0] [1,2,3,4] <[1],[2,3],[4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,5,13,31],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,4]>,<1,13,3,[[1,0],[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,5,13,31],[4,1,5,1],0,[0.2526204075-0.9675654653*i,0.5663299165-0.3150964448*i,0.8121434926-0.2232040771*i],<"notfaithful",0>,[4,4]>,<1,13,3,[[1,0],[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,5,13,31],[4,1,5,1],0,[0.2526204075+0.9675654653*i,0.5663299165+0.3150964448*i,0.8121434926+0.2232040771*i],<"notfaithful",0>,[4,4]>,<3,2^6*5^2*13^2*31^2,1,[[3],[-1],[0],[0]],[[[1],[-3],[3],[-1]],[[1],[1],[-1],[-1]],[[1],[0],[0],[-1]],[[1],[0],[0],[-1]],[[1]],[[1],[-1]],[[1],[1]]],[2,5,13,31],[5,6,6,7],1,[0,0,0],<"3.2e6_5e2_13e2_31e2.4t4.2",1>,[4,4]>]
