x^2-1163 2^2*1163 2 0 2 "C2" [[2,1]] [<1,1,[1,2]>,<2,1,[2,1]>] [[1,1],[2]] 7 x-1 5 [[-2701],[2701]] 1 [1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2] [[*[1,1],"CYC",0,1*],[*[2],"CYC",0,2*]] [*<2,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[2],[[[2,1]]],20,<[],[-1162,2,1]>,[[1,1],[-1,-1]]>,<1163,2,2,[[2,1]],[[1,2],[2,1]],[1,2],[1,2],[1],[[[2,1]]],20,<[],[-1163,0,1]>,[[0,-1],[0,1]]>*] [x,0] [1,2] <[1],[2]> [<1,1,1,[[1],[1]],[[[1],[-1]],[[1],[-1]]],[2,1163],[1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[2,1]>,<1,2^2*1163,1,[[1],[-1]],[[[1],[-1]],[[1],[1]],[[1]]],[2,1163],[3,3],1,[1.000000000,0.6347803839,0.8710844383],<"1.2e2_1163.2t1.1",1>,[2,1]>]
x^3-x^2-1260*x-3641 19^2*199^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 11 x-1 7 [[19217],[-9283051],[9263835]] 1 [2,2,3,3,1,1,3,1,1,1,2,2,1,2,1,3,3,2,2,2,2,2,1,1,1,2,1,1,3,2,3,1,2,2,2,2,3,3,3,1,2,2,1,1,3,1,3,2,1,2,2,1,2,2,3,3,1,1,1,2,2,2,1,2,2,1,1,3,2,2,2,1,3,1,3,2,3,3,2,2,2,2,1,1,1,3,3,1,3,3,2,1,3,3,3,3,2,1,2,1,1,2,3,1,2,2,2,3,1,2,3,2,3,3,1,1,1,3,3,2,2,1,3,2,2,2,3,2,1,1,1,1,3,1,3,2,1,2,1,3,1,2,2,3,3,2,1,3,2,1,2,1,3,3,3,3,1,1,3,1,1,3,3,2,1,3,1,1] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x-86963,2>,<x+86963,3>]*]] [*<19,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,2,3],[1],[[[3,1,2]]],20,<[],[-17993,-779,38,1]>,[[-17977813392739371309865696,-86018245898274503874957,430091229491372519374778],[17977813392739371309865684,86018245898274503874956,-430091229491372519374778],[13,1,0]]>,<23,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[47560395113447090406724700,21004158185743904984893297,6050917628399715170290491]>,<199,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[2163727,51541,398,1]>,[[1237242833431874943669461787837350408202730548,-2072433556837311463432934317985511571528850,12434601341023868780597605907913069429173165],[-1237242833431874943669461787837350408202730680,2072433556837311463432934317985511571528849,-12434601341023868780597605907913069429173165],[133,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,19,23,199],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,19*199,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,19,23,199],[2,4,1,4],0,[-0.07926787107+0.9968533516*i,0.5955826098+0.2431769015*i,0.7894851954+0.1841461063*i],<"1.19_199.3t1.1",1>,[3,1]>,<1,19*199,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,19,23,199],[2,4,1,4],0,[-0.07926787107-0.9968533516*i,0.5955826098-0.2431769015*i,0.7894851954-0.1841461063*i],<"1.19_199.3t1.1",2>,[3,1]>]
x^3-x^2-1260*x+15264 19^2*199^2 3 0 3 "C3" [[2,3,1]] [<1,1,[1,2,3]>,<3,1,[2,3,1]>,<3,1,[3,1,2]>] [[1,1,1],[3]] 11 x-1 6 [[-534903],[-741711],[-494946]] 1 [1,1,2,3,1,2,2,1,2,2,2,2,3,1,2,1,2,3,3,1,1,1,1,2,3,3,1,1,2,2,1,3,3,3,1,2,2,3,1,3,2,3,1,3,3,1,2,1,1,2,1,1,3,3,1,2,3,3,1,3,1,2,3,2,3,2,1,2,1,2,2,3,1,1,3,1,1,2,1,3,2,1,2,2,3,1,3,1,2,3,2,2,3,2,2,1,3,1,3,2,2,3,3,1,2,2,1,1,2,2,3,1,1,3,2,3,3,3,3,3,3,1,3,2,2,1,1,1,3,1,3,3,1,3,3,3,2,2,1,3,2,3,3,1,3,1,3,2,3,1,1,1,1,1,2,3,1,3,1,2,3,2,2,1,1,2,3,2] [[*[1,1,1],"CYC",0,1*],[*[3],"ALT",[2,3,1],[<x-45372,2>,<x+45372,3>]*]] [*<2,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[194237,111240,-43332]>,<3,1,1,[],[[1,2,3]],[1,2,3],[1],[1],[[]],20,[],[-39408191,438277812,-398869620]>,<19,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[912,-779,38,1]>,[[-44,824341523191797328801661,824341523191797328801658],[32,-824341523191797328801662,-824341523191797328801658],[13,1,0]]>,<199,3,3,[[3,1,2]],[[1,2,3],[2,3,1],[3,1,2]],[1,2,3],[1,3,2],[1],[[[3,1,2]]],20,<[],[2182632,51541,398,1]>,[[1526,19860821586357568191232287214027819227151606,19860821586357568191232287214027819227151583],[-1658,-19860821586357568191232287214027819227151607,-19860821586357568191232287214027819227151583],[133,1,0]]>*] [x,0,0] [1,2,3] <[1],[2,3]> [<1,1,1,[[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,19,199],[1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[3,1]>,<1,19*199,3,[[1,0],[0,1],[-1,-1]],[[[1,0],[-1,0]],[[1,0],[0,-1]],[[1,0],[1,1]],[[1,0]]],[2,3,19,199],[1,1,4,4],0,[0.3394718486+0.9406162151*i,2.418489104+0.5750951308*i,1.456669592+0.04131149339*i],<"1.19_199.3t1.2",1>,[3,1]>,<1,19*199,3,[[1,0],[-1,-1],[0,1]],[[[1,0],[-1,0]],[[1,0],[1,1]],[[1,0],[0,-1]],[[1,0]]],[2,3,19,199],[1,1,4,4],0,[0.3394718486-0.9406162151*i,2.418489104-0.5750951308*i,1.456669592-0.04131149339*i],<"1.19_199.3t1.2",2>,[3,1]>]
x^4-35*x^2-676 -2^2*3929^2 2 1 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 5 x-1 12 [[-96896209],[32815527],[-32815527],[96896209]] 4 [1,5,1,4,5,1,2,5,5,3,5,2,3,4,4,2,4,1,5,4,3,5,4,3,2,3,4,5,1,2,5,5,2,4,3,5,2,5,4,3,5,3,4,1,3,5,5,4,4,1,2,5,3,4,3,5,3,5,3,2,4,3,5,4,1,3,5,2,5,3,2,5,4,3,4,5,3,3,1,3,5,2,4,2,5,5,2,3,3,4,4,4,4,4,4,5,3,3,5,1,4,3,5,3,4,3,4,3,4,2,4,3,3,5,4,3,5,5,1,5,3,3,1,5,4,1,3,4,5,1,4,5,4,1,3,3,1,5,1,3,4,3,4,4,3,5,3,3,5,4,2,1,5,4,4,4,4,3,3,2,5,2,4,4,3,5,4,1] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2-3*x+1>,[<x-210,2>,<x^2+97344,3>]*],[*[4],"CYC",0,5*]] [*<2,2,2,[[1,2,4,3]],[[1,2,3,4],[1,2,4,3]],[1,2,3,4],[1,4],[2],[[[1,2,4,3]]],20,<[],[-397182,2,1]>,[[-50790,0],[50790,0],[1,1],[-1,-1]]>,<13,1,1,[],[[1,2,3,4]],[1,2,3,4],[1],[1],[[]],20,[],[6681029269828200587817,-6681029269828200587817,353658820513705366309,-353658820513705366309]>,<3929,2,2,[[2,1,4,3]],[[1,2,3,4],[2,1,4,3]],[1,2,3,4],[1,3],[1],[[[2,1,4,3]]],20,<[],[178477389582258045886416334631962332848555004771047462396090101107101655,230173694654719372146770950032376220554819758955220395370681549213613224,1]>,[[-230173694654719372146770950032376220554819758955220395370681549213609810,-1],[3414,1],[-3414,-1],[230173694654719372146770950032376220554819758955220395370681549213609810,1]]>*] [x,x^2-x-982,x^2+1,x^2+3929,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,13,3929],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,3929,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,13,3929],[1,1,6],1,[1.000000000,2.051906847,1.270867680],<"notfaithful",0>,[4,3]>,<1,2^2,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,13,3929],[6,1,1],1,[1.000000000,0.7853981634,0.9159655942],<"notfaithful",0>,[4,3]>,<1,2^2*3929,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,13,3929],[6,1,6],1,[1.000000000,2.205268808,1.173597536],<"notfaithful",0>,[4,3]>,<2,2^2*3929,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[-1]]],[2,13,3929],[6,1,6],1,[1.000000000,2.683846316,1.433833475],<"2.2e2_3929.4t3.2",1>,[4,3]>]
x^4-2*x^3-27*x^2+28*x-1 97*197^2 4 0 8 "D8" [[4,2,3,1],[2,1,4,3]] [<1,1,[1,2,3,4]>,<2,1,[4,3,2,1]>,<2,2,[2,1,4,3]>,<2,2,[1,3,2,4]>,<4,2,[2,4,1,3]>] [[1,1,1,1],[1,1,2],[2,2],[4]] 53 x-1 5 [[-107874767],[-26880316],[26880317],[107874768]] 1 [3,3,5,4,3,5,5,4,4,4,3,4,4,2,2,1,4,1,5,5,3,3,4,3,4,2,3,4,2,3,4,5,4,5,5,3,4,2,3,4,5,4,2,1,3,5,5,4,3,3,4,4,3,4,4,5,3,5,5,5,3,1,3,4,1,5,4,5,4,5,1,5,5,5,2,5,3,3,4,4,2,3,2,4,5,4,2,4,3,3,3,1,1,1,4,2,3,2,5,5,3,2,4,4,3,5,4,3,5,4,2,1,1,4,1,5,3,3,4,5,2,3,3,1,2,3,5,5,2,2,4,3,1,5,5,4,1,2,4,3,1,4,3,4,2,4,4,3,5,5,3,2,5,5,5,5,5,5,3,5,5,5,3,3,5,5,4,3] [[*[1,1,1,1],"CYC",0,1*],[*[1,1,2],"CYC",0,4*],[*[2,2],"RES",<[1],x^2>,[<x+28,2>,<x^2-58*x+744,3>]*],[*[4],"CYC",0,5*]] [*<2,2,1,[[4,3,2,1]],[[1,2,3,4],[4,3,2,1]],[4,3,2,1],[1,3],[1],[[]],20,<[],[1,1,1]>,[[106556,-146139],[-252694,-146139],[-106555,146139],[252695,146139]]>,<97,4,2,[[1,2,4,3],[2,1,3,4]],[[1,2,3,4],[2,1,3,4],[1,2,4,3],[2,1,4,3]],[2,1,3,4],[1,4,4,2],[1],[[[1,2,4,3]]],20,<<[],[5,96,1]>,[[1478765706979865884944286771823109224547,0],[97,0],[1,0]]>,[[[-2077247442907631703157835390107791040067,-1459407089765646643425094890688853185835],[0,0]],[[2077247442907631703157835390107791040068,1459407089765646643425094890688853185835],[0,0]],[[-48,0],[-1,0]],[[49,0],[1,0]]]>,<197,4,2,[[2,1,4,3],[3,4,1,2]],[[1,2,3,4],[2,1,4,3],[3,4,1,2],[4,3,2,1]],[3,4,1,2],[1,3,3,2],[1],[[[2,1,4,3]]],20,<<[],[2,192,1]>,[[-1223860314562067545513087429400848312986575167,-2086944283198673481276661286831729217421615686],[948551712649868116730853978253865889767944302,-2815788561916977346205926052006283265168105319],[1,0]]>,[[[-948551712649868116730853978253865889767944160,2815788561916977346205926052006283265168105420],[-1,0]],[[142,101],[1,0]],[[-141,-101],[-1,0]],[[948551712649868116730853978253865889767944161,-2815788561916977346205926052006283265168105420],[1,0]]]>*] [x,x^2-x-49,x^2-x-24,x^2-x-4777,0] [1,2,2,2,5] <[1],[2],[3],[4],[5]> [<1,1,1,[[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,97,197],[1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[4,3]>,<1,197,1,[[1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,97,197],[3,1,6],1,[1.000000000,0.4750008885,0.6996107555],<"notfaithful",0>,[4,3]>,<1,97,1,[[1],[1],[1],[-1],[-1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1]]],[2,97,197],[1,6,1],1,[1.000000000,1.893495324,1.405015296],<"notfaithful",0>,[4,3]>,<1,97*197,1,[[1],[1],[-1],[-1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1]]],[2,97,197],[3,6,6],1,[1.000000000,0.4893289877,0.7305829481],<"notfaithful",0>,[4,3]>,<2,97*197,1,[[2],[-2],[0],[0],[0]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[0],[1]],[[1],[1]]],[2,97,197],[3,6,6],1,[1.000000000,1.363095397,1.077366100],<"2.97_197.4t3.1",1>,[4,3]>]
x^5-x^3-50*x^2+132*x-187 3^2*11^2*719^2 1 2 10 "D10" [[4,5,3,1,2],[3,2,1,5,4]] [<1,1,[1,2,3,4,5]>,<2,5,[4,5,3,1,2]>,<5,2,[5,4,1,3,2]>,<5,2,[2,3,5,1,4]>] [[1,1,1,1,1],[1,2,2],[5]] 7 x^2+6*x+3 10 [[-59740022,0],[-74971533,76755268],[64450940,98098030],[29447357,-76755268],[40813258,-98098030]] 2 [3,1,2,2,1,2,2,1,4,3,3,4,2,3,4,3,2,2,2,3,4,4,4,1,2,2,1,4,4,2,3,2,2,4,1,2,2,3,1,2,3,3,2,3,2,2,2,2,1,2,2,2,2,4,2,4,3,3,2,4,2,3,3,2,2,2,3,3,2,4,3,2,3,2,3,4,2,3,2,4,4,2,2,4,1,2,3,2,4,2,3,2,2,4,4,2,4,2,1,2,2,2,2,2,4,4,2,2,1,3,4,2,2,2,4,4,4,1,2,2,2,2,2,3,2,2,2,1,3,2,2,4,4,2,4,2,2,3,2,3,1,2,4,3,2,2,3,2,4,2,3,2,2,4,2,2,2,2,4,1,4,1,2,2,4,4,2,3] [[*[1,1,1,1,1],"CYC",0,1*],[*[1,2,2],"CYC",0,2*],[*[5],"ALT",[2,3,4,5,1],[<x-3203145,3>,<x+3203145,4>]*]] [*<3,2,2,[[1,4,5,2,3]],[[1,2,3,4,5],[1,4,5,2,3]],[1,2,3,4,5],[1,2],[1],[[[1,4,5,2,3]]],20,<[],[1190336106,445331637,1]>,[[-1124067107,0],[-57911146,-1],[-56549017,135712424],[2,1],[76265801,-135712424]]>,<5,2,1,[[2,1,3,5,4]],[[1,2,3,4,5],[2,1,3,5,4]],[2,1,3,5,4],[1,2],[1],[[]],20,<[],[2,4,1]>,[[-46637867263110,-43192010341107],[30762742460693,43192010341107],[-45934530835854,0],[3909971083688,807686378370],[679225570208,-807686378370]]>,<11,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-81778121882070180479,-215242394197089548641,1]>,[[-152143312201792484335,0],[215242394197089548641,-1],[0,1],[244479375097372963297,-19739699633844009425],[-307578457092670027603,19739699633844009425]]>,<719,2,2,[[1,3,2,5,4]],[[1,2,3,4,5],[1,3,2,5,4]],[1,2,3,4,5],[1,2],[1],[[[1,3,2,5,4]]],20,<[],[-419812199428925165294261049248080788452392651664961353200,-212262518546543028353062437050485019851037541424046525676,1]>,[[127444963171905035019674253005372422700104793984495836004,0],[212262518546543028353062437050485019851037541424046526284,-1],[608,1],[-78686938121962351980267983134937470576297506461674377130,105070142063134730585705000833807871876538464654870652],[-261020543596485711392468706920919971974844828946867985766,-105070142063134730585705000833807871876538464654870652]]>*] [x,x^2-x+5932,0,0] [1,2,3,4] <[1],[2],[3,4]> [<1,1,1,[[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,5,11,719],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[5,2]>,<1,3*11*719,1,[[1],[-1],[1],[1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,5,11,719],[1,5,2,5,5],1,[1.000000000,1.631617837,1.255172110],<"notfaithful",0>,[5,2]>,<2,3*11*719,5,[[2,0,0,0],[0,0,0,0],[0,0,1,1],[-1,0,-1,-1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,5,11,719],[3,5,2,5,5],1,[1.000000000,0.8595164580,0.7769919783],<"2.3_11_719.5t2.1",1>,[5,2]>,<2,3*11*719,5,[[2,0,0,0],[0,0,0,0],[-1,0,-1,-1],[0,0,1,1]],[[[1,0,0,0],[-2,0,0,0],[1,0,0,0]],[[1,0,0,0],[0,0,0,0],[-1,0,0,0]],[[1,0,0,0],[1,0,1,1],[1,0,0,0]],[[1,0,0,0],[0,0,-1,-1],[1,0,0,0]],[[1,0,0,0],[-1,0,0,0]]],[2,3,5,11,719],[3,5,2,5,5],1,[1.000000000,1.858449902,1.254586753],<"2.3_11_719.5t2.1",2>,[5,2]>]
x^6-13*x^4-44*x^3+169*x^2+286*x+484 -2^6*3^3*683^2 0 3 12 "D12" [[2,1,4,3,5,6],[3,6,1,5,4,2],[1,5,3,6,2,4]] [<1,1,[1,2,3,4,5,6]>,<2,1,[3,4,1,2,6,5]>,<2,3,[3,6,1,5,4,2]>,<2,3,[2,1,4,3,5,6]>,<3,2,[5,1,6,3,2,4]>,<6,2,[4,6,2,5,3,1]>] [[1,1,1,1,1,1],[1,1,2,2],[2,2,2],[3,3],[6]] 7 x^2+6*x+3 11 [[260328295,0],[250540638,-202652862],[866369020,0],[589126723,340770411],[-510868933,202652862],[521831000,-340770411]] 3 [2,4,6,4,2,5,3,4,3,3,4,5,3,5,3,3,3,4,4,2,4,4,3,3,5,3,1,6,4,3,5,6,6,5,6,5,1,4,6,3,6,1,6,4,3,4,4,4,3,4,6,6,5,6,6,3,6,4,1,6,5,3,5,2,5,3,5,5,3,4,2,3,5,4,5,3,3,4,3,5,6,5,6,4,4,3,3,4,6,4,3,6,4,6,1,6,3,6,1,4,5,2,2,6,4,1,3,3,6,4,4,4,3,5,5,3,5,3,6,3,5,4,3,2,1,2,4,6,4,1,4,3,4,4,2,1,3,4,6,6,1,3,5,3,4,3,5,3,5,3,1,6,1,3,4,6,5,6,4,3,3,2,5,2,3,6,5,4] [[*[1,1,1,1,1,1],"CYC",0,1*],[*[1,1,2,2],"CYC",0,4*],[*[2,2,2],"RES",<[1],x^2>,[<x+66,2>,<x^3+2197*x-48334,3>]*],[*[3,3],"CYC",0,5*],[*[6],"CYC",0,6*]] [*<2,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[3],[[[1,2,4,3,6,5]]],20,<<[],[1,1,1]>,[[208966,208966],[0,201788],[1,0]]>,[[[-141430,-141430],[0,262144]],[[0,141430],[262144,0]],[[0,120713],[131070,0]],[[0,1],[2,0]],[[-120713,-120713],[0,131070]],[[-1,-1],[0,2]]]>,<3,4,2,[[2,1,4,3,6,5],[1,2,5,6,3,4]],[[1,2,3,4,5,6],[2,1,4,3,6,5],[1,2,5,6,3,4],[2,1,6,5,4,3]],[1,2,5,6,3,4],[1,2,4,3],[1],[[[2,1,4,3,6,5]]],20,<<[],[2,2,1]>,[[-283188471,0],[303428091,0],[1,0]]>,[[[-303428089,0],[-1,0]],[[2,0],[1,0]],[[885510450,885510451],[442755225,-138375508]],[[1572410565,-322695680],[-442755225,138375508]],[[-885510452,-885510451],[-442755226,138375508]],[[-1268982476,322695680],[442755226,-138375508]]]>,<11,2,1,[[2,1,4,3,6,5]],[[1,2,3,4,5,6],[2,1,4,3,6,5]],[2,1,4,3,6,5],[1,2],[1],[[]],20,<[],[2,7,1]>,[[265245970290094321089,76935830128249257432],[-273304840607650480935,-76935830128249257432],[-40426678949563387768,-181837481818728549927],[-113064296083583556681,181837481818728549927],[19414594000746759870,17416529206349800087],[19817070453127251843,-17416529206349800087]]>,<13,3,1,[[5,6,1,2,3,4]],[[1,2,3,4,5,6],[5,6,1,2,3,4],[3,4,5,6,1,2]],[5,6,1,2,3,4],[1,5,5],[1],[[]],20,<[],[11,2,0,1]>,[[-484435461751024464197,708682545156183684301,-728806668907129875817],[-277624825306463051453,-98379688967107849567,-573698691573708816259],[-373455522050467999744,-207636729440070184246,-280091641537850999808],[-275424777900813555031,629136013150088446205,158911489168251361396],[-604029306573953646736,-501045815716113500055,-453021979930465235052],[553049603207276606484,-530756324182980596638,414787202405457454863]]>,<683,4,2,[[1,2,4,3,6,5],[2,1,5,6,3,4]],[[1,2,3,4,5,6],[2,1,5,6,3,4],[1,2,4,3,6,5],[2,1,6,5,4,3]],[2,1,5,6,3,4],[1,2,4,3],[1],[[[1,2,4,3,6,5]]],20,<<[],[5,682,1]>,[[154960103344250038218041026556166198187932271532068056589,243947543261518749244146450223849118273650344730311576034],[-66485055548305643961485232899307622176151082303166405667,-220998753878673797754484598604262237354521302187935492061],[1,0]]>,[[[-66485055548305643961485232899307622176151082303166406911,-220998753878673797754484598604262237354521302187935492405],[0,0]],[[-135339023126050836613770169262750131443445270613249903410,220998753878673797754484598604262237354521302187935492405],[0,0]],[[66485055548305643961485232899307622176151082303166406289,220998753878673797754484598604262237354521302187935492233],[-1,0]],[[622,172],[1,0]],[[-205819570685958538731878146655055464197385502261512169407,-199872632310809340605307854309996389884581342938385608071],[-356612211629551656539680297288776219188572850102205782,289148440607385749521374049345504165214417543628017997]],[[-146834947006221288930114729986628994602052147126798086784,-21126121567864457149176744294265847469939959249549884334],[356612211629551656539680297288776219188572850102205782,-289148440607385749521374049345504165214417543628017997]]]>*] [x,x^2+1366,x^2-x+1,x^2-4098,x^3+13*x-22,0] [1,2,2,2,3,6] <[1],[2],[3],[4],[5],[6]> [<1,1,1,[[1],[1],[1],[1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]],[[1],[-1]]],[2,3,11,13,683],[1,1,1,1,1],1,[1.000000000,0.0000000000,1.644934067],<"notfaithful",0>,[6,3]>,<1,2^3*683,1,[[1],[1],[-1],[-1],[1],[1]],[[[1],[-1]],[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1]]],[2,3,11,13,683],[7,3,1,1,7],1,[1.000000000,0.7650098596,0.9214710192],<"notfaithful",0>,[6,3]>,<1,3,1,[[1],[-1],[-1],[1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[1]],[[1],[-1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,13,683],[2,7,2,1,2],1,[1.000000000,0.6045997881,0.7813024129],<"notfaithful",0>,[6,3]>,<1,2^3*3*683,1,[[1],[-1],[1],[-1],[1],[-1]],[[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1],[-1]],[[1],[1]],[[1]]],[2,3,11,13,683],[7,7,2,1,7],1,[1.000000000,0.8445898368,0.9449140110],<"notfaithful",0>,[6,3]>,<2,2^3*683,1,[[2],[2],[0],[0],[-1],[-1]],[[[1],[-2],[1]],[[1],[-2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[1],[1]],[[1],[-1]]],[2,3,11,13,683],[7,3,1,5,7],1,[1.000000000,1.914748480,1.308889669],<"notfaithful",0>,[6,3]>,<2,2^3*3^2*683,1,[[2],[-2],[0],[0],[-1],[1]],[[[1],[-2],[1]],[[1],[2],[1]],[[1],[0],[-1]],[[1],[0],[-1]],[[1],[1],[1]],[[1],[-1],[1]],[[1],[1]],[[1]]],[2,3,11,13,683],[7,8,2,5,7],1,[1.000000000,0.6323764253,0.8128817097],<"2.2e3_3e2_683.6t3.2",1>,[6,3]>]
